TABLE=080 | AREA=Xã Nghĩa Trung | RECORDS=51 | GROUPS=51 | REVIEW=51
ID=NQ28-080-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=950,810 | ROAD=80. Xã Nghĩa Trung Tên đường TT giao thông Đường Quốc lộ Ranh giữa | START=Đoạn đường thôn 8 - Cầu Pan | END=Giá thương đất ở Toong 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-06 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=thôn Bình Trung | START=trường cao | END=su | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=950,810 | ROAD=Đường Quốc lộ Hết trụ sở | START=Nông Ranh giữa | END=thôn 8 - 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-07 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=trường cao | START=su thôn Bình | END=Lợi | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=1400,1200 | ROAD=Đường Quốc lộ Giáp ranh | START=với xã Cầu 23 (gần | END=chợ Bù 2.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-08 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=Đồng Tâm | START=Na) | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=1900,1600 | ROAD=Đường Quốc lộ Cầu 23 (gần | START=chợ Bù Thửa đất | END=305 tờ bản 2.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-09 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=Na) | START=đồ số 116 | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=1100,970 | ROAD=Đường Quốc lộ Thửa đất 305 | START=tờ bản Ranh giữa | END=thôn 11 - 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-10 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=đồ số 116 | START=thôn Bình | END=Trung | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=880,760 | ROAD=Đường Quốc lộ Ngã ba 32 | START=Ngã ba 33 | END=1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-11 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=cũ | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=1100,970 | ROAD=Đường Quốc lộ Ngã ba 33 | START=Ngã ba Đức | END=Liễu 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-12 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=cũ | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=820,700 | ROAD=Đường Quốc lộ Ngã ba Đức | START=Liễu Cầu 38 | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-13 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=cũ | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0014-14 | SEC=non-agricultural | TT=14 | REL=main | PRICES=1100,960 | ROAD=Đường Sao Ngã ba Sao Bọng - Đăng Hà | START=Ngã ba đường Bọng tổ 7 thôn | END=vào 1.600 2 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=560,480 | ROAD=Đường Sao Ngã ba đường Bọng - Đăng Hà tổ 7 thôn 2 | START=vào Ranh giữa xã Phước | END=thôn 9 - 800 Sơn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=2300,1900 | ROAD=Đường bên hông chợ Đức Toàn tuyến Liễu cũ (2 bên) | START= | END=3.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=440,380 | ROAD=Đường tổ 3B Bên hông điện | START=Giáp Nhà lực bột VeDan | END=máy tinh 630 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=570,490 | ROAD=Đường tổ 1 Đường Quốc | START=Đầu ranh hàng Nông lộ 14 và Phát triển thôn | END=đất Ngân nghiệp 810 nông | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=500,430 | ROAD=Đầu ranh đất hàng Nông Đường tổ 1 và Phát triển thôn | START=Ngân nghiệp Đối diện Nhà nông tinh bột VeDan | END=máy 720 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=570,490 | ROAD=Đường liên xã Đức Liễu - Toàn tuyến Nghĩa Bình (cũ) | START= | END=810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=950,810 | ROAD=Đường nhựa Nghĩa Bình - Đường Quốc Nghĩa Trung | START=Hết đất ông lộ 14 Tuấn Anh | END=Nguyễn 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=820,700 | ROAD=Đường nhựa Hết đất ông Nghĩa Bình - Tuấn Anh Nghĩa Trung | START=Nguyễn Giáp ranh Trung (cũ) | END=xã Nghĩa 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=630,540 | ROAD=Đường liên xã Ranh xã Nghĩa | START=Bình Ngã ba Minh | END=Đức 900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=540,460 | ROAD=Nghĩa Bình - - Đức Liễu Thống Nhất (cũ) Đường tên xã Nghĩa Bình - Ngã ba Minh Thống Nhất (cũ) | START=(cũ) Giáp ranh Đức Sơn | END=xã Phước 770 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=440,380 | ROAD=Đường Sóc 28 Đường Quốc | START=lộ 14 Hết tuyến | END=630 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=450,390 | ROAD=Đường Sóc 29 Đường Quốc | START=Giáp ranh lộ 14 Liễu (cũ) | END=xã Đức 650 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=420,360 | ROAD=Đường vào nhà văn hóa thôn Đường Quốc Bình Thọ | START=Giáp ranh lộ 14 Tiến | END=thôn Bình 600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=440,380 | ROAD=Đường vào nông trường Đường Quốc cao su Nghĩa Trung | START=Vườn cao lộ 14 trang Nghĩa | END=su Nghĩa 630 Trung | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=330 | ROAD=Đường liên thôn Bình Trung - Ngã ba sân Bình Tiến | START=Giáp ranh bay Tiến | END=thôn Bình 560 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_1
ID=NQ28-080-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=400,340 | ROAD=Đường liên thôn Nhà ông Biện Bình Trung - Hai Bình Tiến | START=Văn Giáp ranh Tiến | END=thôn Bình 570 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=3400,2900 | ROAD=Đường hai bên Hành lang chợ Nghĩa chợ chính Trung | START=Hành lang nhà lồng chợ chính 15m | END=nhà lồng vào sâu 4.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=1100,970 | ROAD=Ngã ba đường Đường ĐT 759 lộ 14 | START=Ranh giới Quốc Tân, Huyện Riềng (cũ) | END=xã Phước Phú 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=760,650 | ROAD=Đường ĐT Ngã ba 21 Lam Sơn 753B | START=đi qua Hết thửa tờ bản đồ | END=đất số 27, 1.100 số 131 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=630,540 | ROAD=Đường ĐT Từ thửa đất tờ bản đồ 131 753B | START=số 11, Hết tuyến | END=900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=630,540 | ROAD=Trục đường chính Thôn 3 đi Đường Quốc Thôn 2 | START=lộ 14 Đường ĐT | END=753B 900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=630,540 | ROAD=Ngã ba cổng Đường đi thôn 2 thôn 2 | START=Giáp ranh chào Bình (cũ) | END=xã Nghĩa 900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=1000,860 | ROAD=Đường nội ô khu Trung tâm Toàn tuyến hành chính | START= | END=1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=350,300 | ROAD=Các tuyến Toàn tuyến đường còn lại | START= | END=500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
