TABLE=089 | AREA=Xã Phú Nghĩa | RECORDS=115 | GROUPS=115 | REVIEW=0
ID=NQ28-089-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=202,161,49 | ROAD=89. Xã Phú Nghĩa Tên đường giao TT thông Ngã ba Đường ĐT 760 Tiền Giang | START=Đoạn đường Tỉnh ủy Suối Tiền | END=Giá đất trồng cây lâu năm Giang 252 | FLAGS=
ID=NQ28-089-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=90,72,49 | ROAD=Đường chợ thôn Giáp đường 2 (Đường bàn cờ 760 khu vực chợ) | START=Hết ranh ĐT bà Thời (thửa số 11, tờ 100) | END=đất nhà đất 112 bản đồ số | FLAGS=
ID=NQ28-089-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=90,72,49 | ROAD=Giáp đường Đường dưới lòng lòng hồ số 383, hồ (thôn 1) số 103) | START=trên (thửa đất Giáp đường tờ bản đồ lòng hồ | END=trên 112 | FLAGS=
ID=NQ28-089-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=90,72,49 | ROAD=Giáp đường Đường trên lòng 760 (Quán hồ Cát Bụi) | START=Giấy ranh ĐT Hạnh (cũ) cà phê quán nhà Hồng) | END=xã Đức (đối diện 112 ông | FLAGS=
ID=NQ28-089-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=202,161 | ROAD=Đường ĐT 741 Ngã ba | START=Giáp ranh chốt số 6 Hạnh (cũ) | END=xã Đức 252 | FLAGS=
ID=NQ28-089-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=202,161,49 | ROAD=Giáp ranh Đường ĐT 741 Hạnh (cũ) | START=Đầu ngã đá Thanh xã Đức (Hết thửa 64, tờ bản 28) | END=ba xưởng Dung đất số 252 đồ số | FLAGS=
ID=NQ28-089-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=202,161,49 | ROAD=Đầu ngã đá Thanh Đường ĐT 741 (Hết thửa 64, tờ bản 28) | START=ba xưởng Ngã ba Đường Dung chùa Hưng đất số (Hết thửa đồ số 291, tờ bản 63) | END=vào Thạnh đất số 252 đồ số | FLAGS=
ID=NQ28-089-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=202,161,49 | ROAD=Ngã ba chùa Hưng Đường ĐT 741 (hết thửa 291, tờ 63) | START=đường vào Đầu đường Thạnh (hết thửa đất số 501, tờ bản bản đồ số 60) | END=đôi đất số 252 đồ số | FLAGS=
ID=NQ28-089-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=202,161,49 | ROAD=Đầu đường (hết thửa Đường ĐT 741 501, tờ 60) | START=đôi đất số Ngã tư tiếp bản đồ số đường 19/5 | END=giáp 252 | FLAGS=
ID=NQ28-089-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=202,161,49 | ROAD=Ngã tư Đường ĐT 741 đường 19/5 | START=Ngã tư tiếp tiếp giáp đường vành trung tâm | END=giáp đai 252 huyện | FLAGS=
ID=NQ28-089-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=202,161,49 | ROAD=Ngã tư Đường ĐT 741 đường vành trung tâm | START=tiếp giáp đai Cầu Phú huyện | END=Nghĩa 252 | FLAGS=
ID=NQ28-089-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 741 Cầu Phú | START=Nghĩa Đầu ngã | END=ba gốc gỡ 252 | FLAGS=
ID=NQ28-089-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=202,161,49 | ROAD=Đầu ngã Đường ĐT 741 gõ | START=ba gốc Ngã ba Đức | END=Lập 252 | FLAGS=
ID=NQ28-089-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 741 Ngã ba | START=Đức Lập Ngã ba Toàn | END=Hữu 252 | FLAGS=
ID=NQ28-089-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 741 Ngã ba | START=Toàn Hữu Ngã ba Sóc | END=Cùi 252 | FLAGS=
ID=NQ28-089-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 741 Ngã ba | START=Ngã ba cây Sóc Cùi Thanh Thương | END=xăng 252 | FLAGS=
ID=NQ28-089-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=202,161,49 | ROAD=Ngã ba Đường ĐT 741 Thanh Thương | START=cây xăng Giáp ranh Ơ Hết ranh | END=xã Đắk 252 thửa đất | FLAGS=
ID=NQ28-089-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=90,72 | ROAD=Trung tâm Đức Ngã ba đường ĐT741 Hạnh | START=số 276, tờ tiếp giáp số 129 đến đất số 396, đồ số 119 | END=bản đồ thửa 112 tờ bản | FLAGS=
ID=NQ28-089-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=90,72 | ROAD=Hết ranh số 276, Trung tâm Đức số 129, Hạnh số 396, | START=thửa đất Hết ranh tờ bản đồ số 59, thửa thửa đất 68 thuộc tờ bản đồ số 106 | END=thửa đất đất số 112 tờ bản đồ | FLAGS=
ID=NQ28-089-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=90,72 | ROAD=số 119 Trung tâm Đức Hết ranh | START=thửa đất Ngã tư Quốc | END=tế 112 | FLAGS=
ID=NQ28-089-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=90,72 | ROAD=số 59, thửa Hạnh 68 thuộc số 106 Ngã ba Phước Sơn Đường thôn 19/5 đường trung xã) | START=đất số tờ bản đồ thôn Hết ranh (giáp số 155, tờ tâm số 118 | END=thửa đất bản đồ 112 | FLAGS=
ID=NQ28-089-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=90,72 | ROAD=Hết ranh Đường thôn 19/5 số 155, số 118 | START=thửa đất tờ bản đồ Cổng 19/5 | END=112 | FLAGS=
ID=NQ28-089-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=90,72,49 | ROAD=Cổng 19/5 giới xã Phú Đường thôn 19/5 và xã Đức (cũ)) | START=(ranh Nghĩa Ngã ba đường Hạnh 741 | END=ĐT 112 | FLAGS=
ID=NQ28-089-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=90,72 | ROAD=Đường thôn 19/5 Giáp đường đi thôn Bù K'Roai 19/5 | START=thân Cầu 19/5 | END=112 | FLAGS=
ID=NQ28-089-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=90,72 | ROAD=Đường thôn 19/5 Cầu 19/5 đi thôn Bù K'Roai | START=Hết thửa thửa đất thuộc tờ 114 | END=đất số 4, số 13 112 bản đồ số | FLAGS=
ID=NQ28-089-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=90,72 | ROAD=Hết thửa Đường thôn 19/5 thửa đất đi thôn Bù K'Roai thuộc tờ (ĐH.06) 114 | START=đất số 4, số 13 Giáp đường bản đồ số 760 | END=ĐT 112 | FLAGS=
ID=NQ28-089-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=90,72 | ROAD=Đường Đội 3 - Ngã ba Bình Đức 2 Bình Đức | START=Hội trường Giáp đường 2 tâm xã | END=trung 112 | FLAGS=
ID=NQ28-089-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=90,72 | ROAD=Ngã ba Đường Đội 4 - Thôn Sơn Sơn Trung (đường (ĐHA.14) xã) | START=hội trường Hết ranh Trung số 287, tờ trung tâm số 107 (giáp Phú Văn | END=thửa đất bản đồ 112 xã (cũ)) | FLAGS=
ID=NQ28-089-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=90,72 | ROAD=Ngã tư Quốc Đường Liên xã 01 (đường (ĐHA.28) xã) | START=Tế Hết ranh trung tâm số 86, tờ 107 | END=thửa đất bản đồ số 112 | FLAGS=
ID=NQ28-089-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=90,72 | ROAD=Hết ranh Đường Liên xã 01 số 86, tờ (ĐHA28) số 107 | START=thửa đất bản đồ Bến đò | END=112 | FLAGS=
ID=NQ28-089-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=90,72 | ROAD=Hết ranh Đường Đội 4 - số 9, thửa Sơn Trung 154 thuộc (ĐHA.03) đồ số 85 | START=thửa đất Nhà ông đất số (đến thửa tờ bản 85, tờ bản 85) | END=Hữu chạy đất số 112 đồ số | FLAGS=
ID=NQ28-089-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=90,72 | ROAD=Đường Phước Giáp đường Sơn - Đường tâm xã Đức (cũ) 19/5 | START=trung Suối (đất Hạnh Nhì) | END=bà Thủy 112 | FLAGS=
ID=NQ28-089-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=90,72 | ROAD=Suối (đặt Đường Phước Nhì) (hết Sơn - Đường số 22, thửa 26, tờ bản 19/5 125) | START=bà Thủy thửa đất Giáp đường đất số Bù K'Roai đồ số | END=19/5 đi 112 | FLAGS=
ID=NQ28-089-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=90,72 | ROAD=Đường đi Xóm Toàn tuyến Mới | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=90,72 | ROAD=Đường đi Xóm Toàn tuyến Chài | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=90,72 | ROAD=Đường Xóm Mới Giáp Đường nái 19/5 Mới | START=Xóm Giáp đường | END=19/5 112 | FLAGS=
ID=NQ28-089-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=90,72 | ROAD=Đường sau khu Toàn tuyến tái định cư | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=90,72 | ROAD=Đường Đội 2 Toàn tuyến (Bình Đức 1 cũ) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=90,72 | ROAD=Đường Đội 2 Toàn tuyến Bình Đức 1 (mới) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=90,72 | ROAD=Ngã ba Đường vào trung Thái Thị tâm Bình Đức 1 (thửa đất bản đồ số | START=nhà bà Hướng Giáp trung số 37, tờ Bình Đức 130) | END=tâm 112 1 | FLAGS=
ID=NQ28-089-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=90,72 | ROAD=Tiếp giáp Đường thôn Sơn trung tâm Trung đi thôn Bù đất số 298, K'Roai đồ số 111) | START=đường Giáp đường xã (thửa 19/5 đi thôn tờ bản K'Roai | END=thôn Bù 112 | FLAGS=
ID=NQ28-089-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=90,72 | ROAD=Tiếp giáp trung tâm Đường vào chùa đất số 281, đồ số 128) | START=đường Hết ranh xã (thửa số 527, tờ tờ bản số 128 | END=thửa đất bản đồ 112 | FLAGS=
ID=NQ28-089-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=90,72,49 | ROAD=Đường N8 (Khu Trung tâm hành Ngã ba chính huyện (cũ)) 741 (Hướng Đông) | START=đường ĐT Ngã ba đường vành đai | END=112 trung tâm | FLAGS=
ID=NQ28-089-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=90,72,49 | ROAD=Đường N9 (Khu Ngã ba trung tâm hành 741 chính huyện (cũ)) | START=đường ĐT Ngã ba đường vành đai | END=112 trung tâm | FLAGS=
ID=NQ28-089-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=90,72,49 | ROAD=Đường N10 (Khu Ngã ba Trung tâm hành D15 chính huyện (cũ)) | START=đường Ngã ba đường | END=D11 112 | FLAGS=
ID=NQ28-089-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=90,72,49 | ROAD=Đường N11 (Khu Ngã ba Trung tâm hành 741 chính huyện (cũ)) | START=đường ĐT Ngã ba đường vành đai | END=112 trung tâm | FLAGS=
ID=NQ28-089-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=90,72,49 | ROAD=Đường D15 (Khu Trung tâm hành Ngã ba chính huyện (cũ)) | START=Tiếp giáp đường N9 vành đai | END=đường 112 trung tâm | FLAGS=
ID=NQ28-089-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=90,72,49 | ROAD=Đường D14 (Khu Ngã ba Trung tâm hành N10 chính huyện) | START=đường Ngã ba đường | END=N11 112 | FLAGS=
ID=NQ28-089-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=90,72,49 | ROAD=Đường D12(Khu Trung tâm hành Ngã ba chính huyện (cũ)) | START=đường N9 Ngã tư đường | END=N11 112 | FLAGS=
ID=NQ28-089-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=90,72,49 | ROAD=Đường D11 (Khu Trung tâm hành Ngã ba chính huyện (cũ)) | START=đường N9 Ngã ba đường | END=N11 112 | FLAGS=
ID=NQ28-089-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=90,72,49 | ROAD=Đường D10 (Khu Trung tâm hành Ngã ba chính huyện (cũ)) | START=đường N8 Ngã tư đường | END=N11 112 | FLAGS=
ID=NQ28-089-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=90,72,49 | ROAD=Đường D8 (Khu Ngã ba trung tâm xã Phú Vành đai Nghĩa) | START=đường Ngã ba đường | END=N7 112 | FLAGS=
ID=NQ28-089-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=90,72,49 | ROAD=Đường D7 (Khu Ngã ba trung tâm xã Phú Vành đai Nghĩa) | START=đường Ngã ba đường | END=N7 112 | FLAGS=
ID=NQ28-089-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=90,72,49 | ROAD=Đường N7 (Khu Ngã ba trung tâm hành 741 chính huyện (cũ)) | START=đường ĐT Tiếp giáp vành đai | END=đường 112 trung tâm | FLAGS=
ID=NQ28-089-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=90,72,49 | ROAD=Đường thôn Đắk Ngã ba Son 741 | START=đườNg ĐT Hết ranh hoạch chợ | END=quy 112 huyện | FLAGS=
ID=NQ28-089-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=90,72,49 | ROAD=Đường thôn Đắk Giáp ranh Son hoạch chợ | START=quy Ngã ba xưởng huyện ông Hùng | END=mộc 112 | FLAGS=
ID=NQ28-089-S01-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=90,72,49 | ROAD=Đường thôn Đắk Ngã ba Son mộc ông | START=xưởng Ngã ba Hoa Hùng | END=Thuận 112 | FLAGS=
ID=NQ28-089-S01-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=90,72,49 | ROAD=Ranh đất Đường thôn Bù 778 (thửa 142, tờ Gia Phúc 1 16) | START=cao su Hết ranh đất số số 105, tờ bản đồ số số 39 | END=thửa đất bản đồ 112 | FLAGS=
ID=NQ28-089-S01-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=90,72,49 | ROAD=Hết ranh Đường thôn Bù số 105, Gia Phúc 1 số 39 | START=thửa đất Hết ranh tờ bản đồ số 56, tờ 37 | END=thửa đất bản đồ số 112 | FLAGS=
ID=NQ28-089-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=90,72,49 | ROAD=Hết ranh Đường thôn Bù số 56, tờ Gia Phúc 1 số 37 | START=Công thôn thửa đất Phúc 1 (Thửa bản đồ số 106, tờ số 8) | END=Bù Gia đất 112 bản đồ | FLAGS=
ID=NQ28-089-S01-TT0076-01 | SEC=agricultural | TT=76 | REL=main | PRICES=90,72,49 | ROAD=Đường thôn đi Bù Giấy đường Cà Mau 741 | START=Quán ông ĐT ranh thửa 137, tờ bản 59) | END=Lập (hết đất số 112 đồ số | FLAGS=
ID=NQ28-089-S01-TT0077-01 | SEC=agricultural | TT=77 | REL=main | PRICES=90,72,49 | ROAD=Quán ông Đường thôn đi Bù ranh thửa 137, tờ Cà Mau 59) | START=Lập (hết đất số Suối Tà Niên bản đồ số | END=112 | FLAGS=
ID=NQ28-089-S01-TT0078-01 | SEC=agricultural | TT=78 | REL=main | PRICES=90,72,49 | ROAD=Đường thôn Tân Giáp đường Lập Gốc gõ đi 741 đường ĐT 760 | START=ĐT Ngã ba Sơn | END=Hà 112 | FLAGS=
ID=NQ28-089-S01-TT0079-01 | SEC=agricultural | TT=79 | REL=main | PRICES=90,72,49 | ROAD=Đường thôn Tân Lập Gốc gõ đi Ngã ba đường ĐT 760 | START=Ngã ba đường Sơn Hà 760 (ngay Hồng Chiến) | END=ĐT nhà ông 112 | FLAGS=
ID=NQ28-089-S01-TT0080-01 | SEC=agricultural | TT=80 | REL=main | PRICES=90,72,49 | ROAD=Đường thôn Tân Ngã ba | START=đường ĐT Đường An | END=Lương 112 | FLAGS=
ID=NQ28-089-S01-TT0081-01 | SEC=agricultural | TT=81 | REL=main | PRICES=90,72,49 | ROAD=Lập Gốc gò đi 760 (ngay đường ĐT 760 Hồng Chiến) Đường thôn Hai Giáp đường Căn 741 | START=nhà ông Ngã ba (Hết ĐT đất số 105, đất số 48 bản đồ số | END=thửa thửa 112 thuộc tờ 43) | FLAGS=
ID=NQ28-089-S01-TT0082-01 | SEC=agricultural | TT=82 | REL=main | PRICES=90,72,49 | ROAD=Ngã ba Đường thôn Hai đất số 105, Căn đất số 48 bản đồ số | START=(Hết thửa thửa Hết tuyến thuộc tờ 43) | END=112 | FLAGS=
ID=NQ28-089-S01-TT0083-01 | SEC=agricultural | TT=83 | REL=main | PRICES=90,72,49 | ROAD=Giáp đường Đường liên thôn 741 (Thửa 58, tờ bản Bù Gia Phúc 2 36) | START=ĐT Ngã ba Hải đất số (Thửa đất đồ số bản đồ số | END=Yến số 50, tờ 112 39) | FLAGS=
ID=NQ28-089-S01-TT0084-01 | SEC=agricultural | TT=84 | REL=main | PRICES=90,72,49 | ROAD=Đường đi vào Giáp đường thôn Khắc Khoan 741 | START=Hết ranh ĐT số 334, tờ số 63 | END=thửa đất bản đồ 112 | FLAGS=
ID=NQ28-089-S01-TT0085-01 | SEC=agricultural | TT=85 | REL=main | PRICES=90,72,49 | ROAD=Hết ranh Đường đi vào số 334, thôn Khắc Khoan số 63 | START=thửa đất Hết ranh tờ bản đồ phật đường Sơn | END=khu niệm Tiên 112 | FLAGS=
ID=NQ28-089-S01-TT0086-01 | SEC=agricultural | TT=86 | REL=main | PRICES=90,72,49 | ROAD=Đường Vành đai Ngã tư trung tâm (phía đường ĐT Đông) | START=tiếp giáp Ngã ba tiếp 741 ĐT760 | END=giáp 112 | FLAGS=
ID=NQ28-089-S01-TT0087-01 | SEC=agricultural | TT=87 | REL=main | PRICES=90,72,49 | ROAD=Ngã ba Đường vành đai đường ĐT trung tâm hành (Cây xăng chính huyện (cũ) Tưởng) | START=tiếp giáp 741 Ngã ba đường Trọng | END=D8 112 | FLAGS=
ID=NQ28-089-S01-TT0088-01 | SEC=agricultural | TT=88 | REL=main | PRICES=90,72,49 | ROAD=Đường D19 (Khu Trung tâm hành Toàn tuyến chính huyện (cũ)) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0089-01 | SEC=agricultural | TT=89 | REL=main | PRICES=90,72,49 | ROAD=Đường D7 (Khu Ngã tư trung tâm xã Phú đường N7 Nghĩa) | START=tiếp giáp Ngã tư tiếp đường ĐT | END=giáp 112 760 | FLAGS=
ID=NQ28-089-S01-TT0090-01 | SEC=agricultural | TT=90 | REL=main | PRICES=90,72,49 | ROAD=Đường N15 (Khu dân cư trường Ngã ba đường ĐT tiểu học Phú Nghĩa) | START=tiếp giáp Ngã ba tiếp 741 đường D16 | END=giáp 112 | FLAGS=
ID=NQ28-089-S01-TT0091-01 | SEC=agricultural | TT=91 | REL=main | PRICES=90,72,49 | ROAD=Đường D16 (Khu Ngã ba dân cư trường đường vành tiểu học Phú trung tâm Nghĩa) | START=tiếp giáp Ngã ba tiếp đai đường vành ngoài | END=giáp đai 112 | FLAGS=
ID=NQ28-089-S01-TT0092-01 | SEC=agricultural | TT=92 | REL=main | PRICES=90,72,49 | ROAD=Đường NB1 (Khu dân cư trường Ngã ba đường N15 tiểu học Phú Nghĩa) | START=tiếp giáp Ngã ba tiếp đường NB3 | END=giáp 112 | FLAGS=
ID=NQ28-089-S01-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=90,72,49 | ROAD=Đường NB2 (Khu Ngã ba dân cư trường đường N15 tiểu học Phú | START=Ngã ba tiếp tiếp giáp đường vành ngoài | END=giáp đai 112 | FLAGS=
ID=NQ28-089-S01-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=90,72,49 | ROAD=Nghĩa) Đường NB3 (Khu dân cư trường Ngã ba đường ĐT tiểu học Phú Nghĩa) | START=tiếp giáp Ngã ba tiếp 741 đường D16 | END=giáp 112 | FLAGS=
ID=NQ28-089-S01-TT0095-01 | SEC=agricultural | TT=95 | REL=main | PRICES=90,72,49 | ROAD=Đường N17 (đường sau lưng Toàn tuyến bộ đội) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0096-01 | SEC=agricultural | TT=96 | REL=main | PRICES=90,72,49 | ROAD=Đường nội bộ N1 Toàn tuyến | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0097-01 | SEC=agricultural | TT=97 | REL=main | PRICES=90,72,49 | ROAD=Đường nhựa vào cao su Phú Thịnh Đường (cạnh cây xăng Thanh Lương) | START=ĐT 741 Cầu Bù Ka | END=112 | FLAGS=
ID=NQ28-089-S01-TT0098-01 | SEC=agricultural | TT=98 | REL=main | PRICES=90,72,49 | ROAD=Đường nhựa vào Đường dốc 3 tầng | START=Hết ranh số 157, thửa ĐT 741 145 thuộc đồ số 11 | END=thửa đất đất số 112 tờ bản | FLAGS=
ID=NQ28-089-S01-TT0099-01 | SEC=agricultural | TT=99 | REL=main | PRICES=90,72,49 | ROAD=Hết ranh Đường nhựa vào số 157, dốc 3 tầng số 145 thuộc bản đồ số | START=thửa đất thửa đất Dốc 3 tầng tờ 11 | END=112 | FLAGS=
ID=NQ28-089-S01-TT0100-01 | SEC=agricultural | TT=100 | REL=main | PRICES=90,72,49 | ROAD=Đường vào đội 3 Đường thôn Khắc Khoan | START=ĐT 741 Hết tuyến | END=112 | FLAGS=
ID=NQ28-089-S01-TT0101-01 | SEC=agricultural | TT=101 | REL=main | PRICES=90,72,49 | ROAD=Đường nhựa thôn Thửa đất Phú Nghĩa tờ bản đồ | START=số 240, Hết tuyến số 16 Phú Văn | END=(ranh xã 112 (cũ)) | FLAGS=
