TABLE=056 | AREA=Phường Bình Phước | RECORDS=693 | GROUPS=258 | REVIEW=3
ID=NQ28-056-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=800,640,380 | ROAD=56. Phường Bình Phước Tên đường giao thông TT Đường Quốc lộ 14 | START=Đoạn Ngã tư Đồng Xoài | END=đường Giá trồng cây năm Đường Đồng Khởi | FLAGS=
ID=NQ28-056-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Duẩn | START=Đường Quốc 14 | END=lộ Đường Lý Thường Kiệt | FLAGS=
ID=NQ28-056-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Lai | START=Đường Phú Riềng Đỏ | END=Đường Nguyễn Huệ | FLAGS=
ID=NQ28-056-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Lợi | START=Đường Lê Trọng Tấn | END=Đường Nguyễn Hữu Cảnh | FLAGS=
ID=NQ28-056-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Lợi | START=Đường Lê Trọng Tấn | END=Đường Bùi Thị Xuân | FLAGS=
ID=NQ28-056-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Lợi | START=Đường Phú Riềng Đỏ | END=Đường Nguyễn Văn Trỗi Đường Phú | FLAGS=
ID=NQ28-056-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=800,640,380 | ROAD=Đường Lê Quý Đôn | START=Đường Phú Riềng Đỏ | END=Riềng Đỏ + 65m hướng về Ngã tư Bàu Trúc (tính từ tim đường Phú Riềng Đỏ + 65m) | FLAGS=
ID=NQ28-056-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=800,640,380 | ROAD=Đường Lê Quý Đôn | START=Đường Phú Riềng Đỏ + 65m hướng về Ngã tư Bàu Trúc (tính từ tim đường Phú Riềng Đỏ + | END=Đường Ngô Quyền | FLAGS=
ID=NQ28-056-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=800,640,380 | ROAD=Đường Lê Quý Đôn | START=65m) Đường Ngô Quyền | END=Ngã tư Bàu Trúc | FLAGS=
ID=NQ28-056-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Văn Sỹ | START=Đường Nguyễn Huệ | END=Đường Nguyễn Văn Trỗi | FLAGS=
ID=NQ28-056-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=430,340,200 | ROAD=Đường Lý Thường Kiệt | START=Đường Phú Riềng Đỏ | END=Đường Trần Phú | FLAGS=
ID=NQ28-056-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=430,340,200 | ROAD=Đường Lý Thường Kiệt | START=Đường Trần Phú | END=Ngã ba đường Lê Duẩn - đường Lý Thường Kiệt | FLAGS=
ID=NQ28-056-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=430,340,200 | ROAD=Đường Lý Thường Kiệt | START=Ngã ba đường Lê Duẩn - đường Lý Thường Kiệt | END=Đường Hàm Nghi | FLAGS=
ID=NQ28-056-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=430,340,200 | ROAD=Đường Lý Thường Kiệt | START=Đường Hàm Nghi | END=Đường Hồ Xuân Hương | FLAGS=
ID=NQ28-056-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=430,340,200 | ROAD=Đường Lý Thường Kiệt | START=Đường Phú Riềng Đỏ | END=Đường Nguyễn Huệ | FLAGS=
ID=NQ28-056-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Chí Thanh | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Chí Thanh | START=Đường Trần Hưng Đạo | END=Cuối đường | FLAGS=
ID=NQ28-056-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Huệ | START=Đường Quốc 14 | END=lộ Đường Lý Thường Kiệt | FLAGS=
ID=NQ28-056-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Huệ | START=Đường Lý Thường Kiệt | END=Đường Lê Lợi | FLAGS=
ID=NQ28-056-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Huệ | START=Đường Quốc 14 | END=Giáp hẻm 54 lộ đường Nguyễn Huệ | FLAGS=
ID=NQ28-056-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Huệ | START=Tim đường hẻm 54 đường Nguyễn Huệ | END=Ngã tư Bàu Trúc | FLAGS=
ID=NQ28-056-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Huệ | START=Ngã tư Bàu Trúc | END=Đường Võ Thị Sáu | FLAGS=
ID=NQ28-056-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Huệ | START=Đường Võ Thị Sáu | END=Đường Phú Riềng Đỏ | FLAGS=
ID=NQ28-056-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Lê Duẩn | END=Đường Lương Thế Vinh | FLAGS=
ID=NQ28-056-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Lương Thế Vinh | END=Hết ranh giới đã giải phóng mặt bằng | FLAGS=
ID=NQ28-056-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Khuyến | START=Đường Nguyễn Trường Tộ | END=Đường Lê Văn Sỹ | FLAGS=
ID=NQ28-056-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=430,340,200 | ROAD=Đường Ông Ích Khiêm | START=Đường Nguyễn Trường Tộ | END=Đường Lê Văn Sỹ | FLAGS=
ID=NQ28-056-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=430,340,200 | ROAD=Đường Huỳnh Khương | START=Đường Ông ích Ninh Khiêm | END=Đường Nguyễn Khuyến | FLAGS=
ID=NQ28-056-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=430,340,200 | ROAD=Đường Lý Thái Tổ | START=Đường Lê Lợi | END=Đường Lê Lai | FLAGS=
ID=NQ28-056-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Thượng Hiền | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Thượng Hiền | START=Đường Trần Hưng Đạo | END=Đường Lý Thường Kiệt | FLAGS=
ID=NQ28-056-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Trường | START=Đường Nguyễn Tộ Huệ | END=Đường Nguyễn Văn Trỗi | FLAGS=
ID=NQ28-056-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Trường | START=Đường Nguyễn Tộ Huệ | END=Đường Lý Thái Tổ | FLAGS=
ID=NQ28-056-S01-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Văn Linh | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Văn Linh | START=Đường Phạm Đình Hổ | END=Đường Hồ Xuân Hương | FLAGS=
ID=NQ28-056-S01-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Văn Trỗi | START=Đường Quốc 14 | END=lộ Đường Lê Lợi | FLAGS=
ID=NQ28-056-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=430,340,200 | ROAD=Đường Phan Bội Châu | START=Đường Quốc 14 | END=lộ Đường Tôn Đức Thắng | FLAGS=
ID=NQ28-056-S01-TT0076-01 | SEC=agricultural | TT=76 | REL=main | PRICES=430,340,200 | ROAD=Đường Phan Bội Châu | START=Đường Tôn Đức Thắng | END=Giáp ranh xã Tiến Hưng | FLAGS=
ID=NQ28-056-S01-TT0077-01 | SEC=agricultural | TT=77 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Hưng Đạo | START=Đường Phú Riềng Đỏ | END=Đường Trần Phú | FLAGS=
ID=NQ28-056-S01-TT0078-01 | SEC=agricultural | TT=78 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Hưng Đạo | START=Đường Lê Duẩn | END=Đường Nguyễn Chí Thanh | FLAGS=
ID=NQ28-056-S01-TT0079-01 | SEC=agricultural | TT=79 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Hưng Đạo | START=Đường Nguyễn Chí Thanh | END=Đường Nguyễn Bình | FLAGS=
ID=NQ28-056-S01-TT0080-01 | SEC=agricultural | TT=80 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Hưng Đạo | START=Đường Nguyễn Bình | END=Giáp ranh phường Đồng Xoài | FLAGS=
ID=NQ28-056-S01-TT0081-01 | SEC=agricultural | TT=81 | REL=main | PRICES=430,340,200 | ROAD=Đường Triệu Quang Phục | START=Đường Nguyễn Văn Linh | END=Đường Nguyễn Xí | FLAGS=
ID=NQ28-056-S01-TT0082-01 | SEC=agricultural | TT=82 | REL=main | PRICES=430,340,200 | ROAD=Đường Triệu Quang Phục | START=Đường Trường Chinh | END=Đường Nguyễn Văn Linh | FLAGS=
ID=NQ28-056-S01-TT0083-01 | SEC=agricultural | TT=83 | REL=main | PRICES=430,340,200 | ROAD=Đường Trường Chinh | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0084-01 | SEC=agricultural | TT=84 | REL=main | PRICES=430,340,200 | ROAD=Đường Trường Chinh | START=Đường Trần Hưng Đạo | END=Đập Suối Cam | FLAGS=
ID=NQ28-056-S01-TT0085-01 | SEC=agricultural | TT=85 | REL=main | PRICES=430,340,200 | ROAD=Đường Trường Chinh (đoạn đường đã được đầu tư nhựa) | START=Đường Quốc thảm 14 | END=Đường số 32 lộ (đường Vành đai phía Nam Đồng Xoài) | FLAGS=
ID=NQ28-056-S01-TT0086-01 | SEC=agricultural | TT=86 | REL=main | PRICES=430,340,200 | ROAD=Đường Trường Chinh (đoạn đường đã được đầu tư nhựa) | START=Đường số 32 (đường Vành thảm đai phía Nam Đồng Xoài) | END=Hết tuyến | FLAGS=
ID=NQ28-056-S01-TT0087-01 | SEC=agricultural | TT=87 | REL=main | PRICES=430,340,200 | ROAD=Đường Trương Công Định | START=Đường Phú Riềng Đỏ | END=Đường Đặng Thai Mai | FLAGS=
ID=NQ28-056-S01-TT0088-01 | SEC=agricultural | TT=88 | REL=main | PRICES=430,340,200 | ROAD=Đường Trương Công Định | START=Đường Đặng Thai Mai | END=Đường Lê Trọng Tấn | FLAGS=
ID=NQ28-056-S01-TT0089-01 | SEC=agricultural | TT=89 | REL=main | PRICES=430,340,200 | ROAD=Đường Võ Văn Tần | START=Đường Hùng Vương | END=Đường Nơ Trang Long | FLAGS=
ID=NQ28-056-S01-TT0090-01 | SEC=agricultural | TT=90 | REL=main | PRICES=430,340,200 | ROAD=Đường Võ Văn Tần | START=Đường Điểu Ông | END=Đường Nơ Trang Long | FLAGS=
ID=NQ28-056-S01-TT0091-01 | SEC=agricultural | TT=91 | REL=main | PRICES=430,340,200 | ROAD=Đường Võ Văn Tần (đoạn đường đã được đầu tư nhựa) | START=Đường Hùng thảm Vương | END=Đường Tôn Đức Thắng | FLAGS=
ID=NQ28-056-S01-TT0092-01 | SEC=agricultural | TT=92 | REL=main | PRICES=430,340,200 | ROAD=Đường Võ Văn Tần | START=Đường Tôn | END=Đường số 31 | FLAGS=
ID=NQ28-056-S01-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=430,340,200 | ROAD=Đường Võ Văn Tần (đoạn đường đã được đầu tư nhựa) | START=Đức Thắng thảm Đường số 31 | END=Đường Trường Chinh | FLAGS=
ID=NQ28-056-S01-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=430,340,200 | ROAD=Đường 6 tháng 1 | START=Đường Lê Duẩn | END=Đường Nguyễn Văn Linh | FLAGS=
ID=NQ28-056-S01-TT0095-01 | SEC=agricultural | TT=95 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Văn Cừ | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0096-01 | SEC=agricultural | TT=96 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Thị Minh Khai | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0097-01 | SEC=agricultural | TT=97 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Chánh | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0098-01 | SEC=agricultural | TT=98 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Bình | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0099-01 | SEC=agricultural | TT=99 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Hồng Phong | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0100-01 | SEC=agricultural | TT=100 | REL=main | PRICES=430,340,200 | ROAD=Đường Hoàng Văn Thụ | START=Đường Lý Tự Trọng | END=Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0101-01 | SEC=agricultural | TT=101 | REL=main | PRICES=430,340,200 | ROAD=Đường Lý Tự Trọng | START=Đường Nguyễn Văn Linh | END=Đường Lê Hồng Phong | FLAGS=
ID=NQ28-056-S01-TT0102-01 | SEC=agricultural | TT=102 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Văn Trà | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0103-01 | SEC=agricultural | TT=103 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Thái Học | START=Đường Trường Chinh | END=Đường Nguyễn Chí Thanh | FLAGS=
ID=NQ28-056-S01-TT0104-01 | SEC=agricultural | TT=104 | REL=main | PRICES=430,340,200 | ROAD=Đường Hoàng Văn Thái | START=Đường Lê Hồng Phong | END=Đường Nguyễn Bình | FLAGS=
ID=NQ28-056-S01-TT0105-01 | SEC=agricultural | TT=105 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Thị Định | START=Đường Hoàng Văn Thụ | END=Đường Nguyễn Bình | FLAGS=
ID=NQ28-056-S01-TT0106-01 | SEC=agricultural | TT=106 | REL=main | PRICES=430,340,200 | ROAD=Đường Huỳnh Văn Nghệ | START=Đường Lê Hồng Phong | END=Đường Nguyễn Bình | FLAGS=
ID=NQ28-056-S01-TT0107-01 | SEC=agricultural | TT=107 | REL=main | PRICES=430,340,200 | ROAD=Đường Ngô Gia Tự | START=Đường 6 tháng 1 | END=Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0108-01 | SEC=agricultural | TT=108 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Phú | START=Đường Quốc 14 | END=lộ Đường Lý Thường Kiệt | FLAGS=
ID=NQ28-056-S01-TT0109-01 | SEC=agricultural | TT=109 | REL=main | PRICES=430,340,200 | ROAD=Đường Bùi Hữu Nghĩa | START=Đường Nguyễn Chánh | END=Đường Nguyễn Bình | FLAGS=
ID=NQ28-056-S01-TT0110-01 | SEC=agricultural | TT=110 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Cao Vân | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0111-01 | SEC=agricultural | TT=111 | REL=main | PRICES=430,340,200 | ROAD=Đường Hồ Biểu Chánh | START=Đường Lý Thường Kiệt | END=Đường Hồ Xuân Hương | FLAGS=
ID=NQ28-056-S01-TT0112-01 | SEC=agricultural | TT=112 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Gia Thiều | START=Đường Nguyễn Bỉnh Khiêm | END=Đường Hồ Xuân Hương | FLAGS=
ID=NQ28-056-S01-TT0113-01 | SEC=agricultural | TT=113 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Xí | START=Đường Bạch Đằng | END=Đường Hồ Xuân Hương | FLAGS=
ID=NQ28-056-S01-TT0114-01 | SEC=agricultural | TT=114 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Bỉnh Khiêm | START=Đường Hồ Xuân Hương | END=Đường Triệu Quang Phục | FLAGS=
ID=NQ28-056-S01-TT0115-01 | SEC=agricultural | TT=115 | REL=main | PRICES=430,340,200 | ROAD=Đường Ngô Thì Nhậm | START=Đường Bạch Đằng | END=Đường Hồ Xuân Hương | FLAGS=
ID=NQ28-056-S01-TT0116-01 | SEC=agricultural | TT=116 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Văn Siêu | START=Đường Hàm Nghi | END=Đường Hồ Xuân Hương | FLAGS=
ID=NQ28-056-S01-TT0117-01 | SEC=agricultural | TT=117 | REL=main | PRICES=430,340,200 | ROAD=Đường Phạm Phú Thứ | START=Đường Bạch Đằng | END=Đường Hồ Xuân Hương | FLAGS=
ID=NQ28-056-S01-TT0118-01 | SEC=agricultural | TT=118 | REL=main | PRICES=430,340,200 | ROAD=Đường Phan Văn Đạt | START=Đường Trần Quang Diệu | END=Đường Lê Duẩn | FLAGS=
