TABLE=076 | AREA=Xã Tân Hưng | RECORDS=35 | GROUPS=35 | REVIEW=0
ID=NQ28-076-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=160,128,102 | ROAD=76. Xã Tân Hưng Ngã Đường ĐT 756 (thửa bản | START=Đoạn đường ba dốc cà phê đất số 105, tờ đồ số 31) | END=Ngã ba giao đường ĐT 758 (thửa đất số 254, tờ bản đồ số 41) | FLAGS=
ID=NQ28-076-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=115,92,74 | ROAD=Ngã Đường nhựa từ Ngã Trung năm đi Cầu Đúc Trần | START=năm trường học phổ thông Phú A | END=Cầu Đúc, giáp ranh xã Tân Quan (thửa đất số 104, tờ bản đồ số 57) | FLAGS=
ID=NQ28-076-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=115,92,74 | ROAD=Ngã Đường nhựa từ Ngã Trung năm đi Minh Lập Trần Hưng | START=năm trường học phổ thông Phú A đi ấp Phát | END=Ngã ba giao ĐT 756 (thửa đất số 20, tờ bản đồ số 11) | FLAGS=
ID=NQ28-076-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=80,64,51 | ROAD=Đường nhựa ấp 7 - ấp Ngã 5 (giáp ranh xã Tân Lợi đất cũ đi An Khương cũ) số | START=ba đi ấp 7 (thửa số 157, tờ bản đồ 104) | END=Ngã ba nhà ông Nội (thửa đất số 101, tờ bản đồ số 100) | FLAGS=
ID=NQ28-076-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=80,64,51 | ROAD=Đường nhựa ấp 5 (An Ngã Khương có) - ấp Trà (thửa Thanh (Thanh An cũ) bản | START=ba nhà ông Nôi đất số 101, tờ đồ số 100) | END=Giáp ranh xã Thạnh An cũ (thửa đất số 729, tờ bản đồ số 70) | FLAGS=
ID=NQ28-076-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=80,64,51 | ROAD=Đường nhựa thác số 4 Ngã vào Cây xăng An (thửa Khương bản | START=ba nhà bà Thạch đất số 168, tờ đồ số 105) | END=Giáp ranh xã Tân Quan (Tân Lợi cũ, thửa đất số 538, tờ bản đồ số 109) | FLAGS=
ID=NQ28-076-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=115,92,74 | ROAD=Đường Đường nhựa Địa Hạt - đất Sóc Dầm số | START=ĐT 757 (Thửa số 416, tờ bản đồ 123) | END=Hết đất Đình thần Thanh An (thửa đất số 349, tờ bản đồ số 129) | FLAGS=
ID=NQ28-076-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=90,72,58 | ROAD=Từ Đường trục chính ấp Sở Xiêm Xiêm tờ | START=cổng chào ấp Sở (thửa đất số 143, bản đồ số 26) | END=Ngã ba giao đường Tân Hưng - Long Tân (thửa đất số 71, tờ bản đồ số 34) | FLAGS=
ID=NQ28-076-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=90,72,58 | ROAD=Ngã Đường trục chính Vườn (thửa ươm ấp Sóc Quả đồ | START=ba giao ĐT 758 đất số 76, tờ bản số 43) | END=Hết tuyến (thửa đất số 190, tờ bản đồ số 44) | FLAGS=
ID=NQ28-076-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=90,72,58 | ROAD=Ngã Đường trục chính ấp (thửa Hưng Yên đồ | START=ba giao ĐT 756 đất số 54, tờ bản số 55) | END=Ngã ba giao đường ĐT 758 (thửa đất số 40, tờ bản đồ số 42) | FLAGS=
ID=NQ28-076-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=90,72,58 | ROAD=Ngã Ngã ba vào nhà máy ĐT 30/4 đi cầu Long Tân 112, | START=ba giao đường 756 (thửa đất số tờ bản đồ số 26) | END=Đến Hết đường nhựa, đầu ấp Sóc ruộng (thửa đất số 12, tờ bản đồ số 34) | FLAGS=
ID=NQ28-076-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=80,64,51 | ROAD=Ngã ba xã đi hồ An Ngã Khương 848, | START=ba xã (thửa đất số tờ bản đồ số 99) | END=Ngã ba bà Út Cua (thửa đất số 536, tờ bản đồ số 94) | FLAGS=
ID=NQ28-076-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=80,64,51 | ROAD=Ngã Ngã ba xã đi hồ An (thửa Khương (đoạn còn lại) bản | START=ba bà Út Cua đất số 535, tờ đồ số 94) | END=Hồ An Khương (thửa đất số 527, tờ bản đồ số 70) | FLAGS=
ID=NQ28-076-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=80,64,51 | ROAD=Từ Đường nhựa ấp 4 đi Vinh đường ĐT 757 1578, | START=Ngã ba nhà ông (thửa đất số tờ bản đồ số 70) | END=Đường ĐT 757 (thửa đất số 671, tờ bản đồ số 84) | FLAGS=
ID=NQ28-076-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=80,64,51 | ROAD=Ngã Đường nhựa ấp 2 đi (thửa đường ĐT 757 bản | START=ba nhà bà Hằng đất số 222, tờ đồ số 94) | END=Đường ĐT 757 (thửa đất số 296, tờ bản đồ số 69) | FLAGS=
ID=NQ28-076-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=80,64,51 | ROAD=Ngã Đường nhựa ấp 2 đi (thửa đường ĐT 757 bản | START=ba nhà ông Khéc đất số 479, tờ đồ số 69) | END=Đường ĐT 757 (thửa đất số 19, tờ bản đồ số 87) | FLAGS=
ID=NQ28-076-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=115,92,74 | ROAD=Đường nhựa vào đập Ngã thủy điện Srok Phu Tân 364, Miêng | START=ba trạm y tế xã Quan (thửa đất số tờ bản đồ số 123) | END=Cổng Thủy điện Srok Phu Miêng (thửa đất số 357, tờ bản đồ số 76) | FLAGS=
ID=NQ28-076-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=90,72,58 | ROAD=Đường bê tông của các tổ 1, 2, 3, 4, 5, 6, 7, 8, 9 Toàn ấp Hưng Lập B | START=tuyến | END= | FLAGS=
ID=NQ28-076-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=90,72,58 | ROAD=Các tuyến đường ở khu Toàn chợ Tân Hưng | START=tuyến | END= | FLAGS=
ID=NQ28-076-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=90,72,58 | ROAD=Các tuyến đường ở khu Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-076-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=90,72,58 | ROAD=chợ Thanh An (cũ) Đường Bê tông xi măng nông thôn có độ rộng từ 3m trở lên nối với Toàn đường ĐT 756, ĐT757 và đường ĐT 758 trong | START=tuyến | END= | FLAGS=
ID=NQ28-076-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=80,64,51 | ROAD=phạm vi 300m từ HLLG Các tuyến đường nhựa Toàn còn lại | START=tuyến | END= | FLAGS=
ID=NQ28-076-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=80,64,51 | ROAD=Đường bê tông có độ Toàn rộng từ 3 m trở lên | START=tuyến | END= | FLAGS=
ID=NQ28-076-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=80,64,51 | ROAD=Các tuyến đường còn lại trên địa bàn xã Tân Toàn Hưng (cũ) và xã Thanh An (cũ) | START=tuyến | END= | FLAGS=
ID=NQ28-076-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=60,48,38 | ROAD=Các tuyến đường còn lại trên địa bàn xã An Toàn Khương (cũ) | START=tuyến | END= | FLAGS=
