TABLE=074 | AREA=Xã Lộc Quang | RECORDS=153 | GROUPS=153 | REVIEW=44
ID=NQ28-074-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=140,112,90,44 | ROAD=74. Xã Lộc Quang Tên đường giao thông TT Đường ĐT 756 | START=Đoạn đường Thửa đất số Thửa 82, tờ bản đồ 150, đồ số 8 | END=Giá đất trồng cây lâu năm đất số tờ bản 140 số 22 | FLAGS=
ID=NQ28-074-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=105,84,67,44 | ROAD=Đường liên xã Lộc Quang Lộc Thuận (cũ) | START=Thửa đất số Thửa - 161, tờ bản 51, đồ số 22 số | END=đất số tờ bản đồ 105 20 | FLAGS=
ID=NQ28-074-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=60,48,38,38 | ROAD=Đường nhựa vào Trường mẫu giáo Lộc Quang | START=Thửa đất số Thửa 42, tờ bản đồ 195, đồ số 88 | END=đất số tờ bản số 69 | FLAGS=
ID=NQ28-074-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=60,48,38,38 | ROAD=Đường nhựa vào Công an Lộc Quang | START=Thửa đất số Thửa xã 42, tờ bản đồ 192, đồ số 88 | END=đất số tờ bản số 67 | FLAGS=
ID=NQ28-074-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=168,134,108,44 | ROAD=Đường ĐT 759B (đường Quốc lộ 13 - đường Hoàng Diệu | START=Thửa đất số Thửa 22, tờ bản đồ 45, cũ) số 23 số | END=đất số tờ bản đồ 168 53 | FLAGS=
ID=NQ28-074-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=168,134,108,44 | ROAD=Đường ĐT 759B (đường Quốc lộ 13 - đường Hoàng Diệu | START=Thửa đất số Thửa 45, tờ bản đồ 60, cũ) số 53 số | END=đất số tờ bản đồ 168 54 | FLAGS=
ID=NQ28-074-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=168,134,108,44 | ROAD=Đường ĐT 759B (đường Quốc lộ 13 - đường Hoàng Diệu | START=Thửa đất số Thửa 60, tờ bản đồ 154, cũ) đồ số 54 | END=đất số tờ bản 168 số 41 | FLAGS=
ID=NQ28-074-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=168,134,108,44 | ROAD=Đường ĐT 759B (đường Quốc lộ 13 - đường Hoàng Diệu | START=Thửa đất số Thửa 154, tờ bản 344, cũ) đồ số 41 đồ | END=đất số tờ bản 168 số 36 | FLAGS=
ID=NQ28-074-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=70,56,45,44 | ROAD=Các tuyến đường nhựa trong khu quy hoạch trung tâm cụm xã | START=Toàn tuyến Toàn | END=tuyến | FLAGS=
ID=NQ28-074-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=112,90,72,44 | ROAD=Đường nhựa liên ấp Hiệp Hoàn - Hiệp Hoàn A | START=Thửa đất số Thửa 104, tờ bản 15, đồ số 49 số | END=đất số tờ bản đồ 112 55 | FLAGS=
ID=NQ28-074-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=112,90,72,44 | ROAD=Đường nhựa liên ấp Hiệp Hoàn - Hiệp Hoàn A | START=Thửa đất số Thửa 15, tờ bản đồ 267, đồ số 55 | END=đất số tờ bản 112 số 24 | FLAGS=
ID=NQ28-074-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=70,56,45,44 | ROAD=Đường nhựa quanh hồ cầu trắng | START=Toàn tuyến Toàn | END=tuyến | FLAGS=
ID=NQ28-074-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=112,90,72,44 | ROAD=Đường liên xã Lộc Hiệp - Lộc An (cũ) | START=Thửa đất số Thửa 182, tờ bản 134, đồ số 41 đồ | END=đất số tờ bản 112 số 41 | FLAGS=
ID=NQ28-074-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=112,90,72,44 | ROAD=Đường liên xã Lộc Hiệp - Lộc An (cũ) | START=Thửa đất số Thửa 134, tờ bản 43, đồ số 41 số | END=đất số tờ bản đồ 112 35 | FLAGS=
ID=NQ28-074-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=112,90,72,44 | ROAD=Đường liên xã Lộc Hiệp - Lộc Phú (cũ) | START=Thửa đất số Thửa 55, tờ bản đồ 75, số 53 số | END=đất số tờ bản đồ 112 62 | FLAGS=
ID=NQ28-074-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=112,90,72,44 | ROAD=Đường liên xã Lộc Hiệp - Lộc Phú (cũ) | START=Thửa đất số Thửa 75, tờ bản đồ 13, số 62 số | END=đất số tờ bản đồ 112 63 | FLAGS=
ID=NQ28-074-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=70,56,45,44 | ROAD=Đường bê tông trong khu phân lô bán đấu giá ấp Hiệp Hoàn | START=Toàn tuyến Toàn | END=tuyến | FLAGS=
ID=NQ28-074-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=112,90,72,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 759B trong phạm vi 200m (tính từ HLLG) | START=Thửa đất số Thửa 22, tờ bản đồ 45, số 23 số | END=đất số tờ bản đồ 112 53 | FLAGS=
ID=NQ28-074-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=112,90,72,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 759B trong phạm vi 200m (tính từ HLLG) | START=Thửa đất số Thửa 45, tờ bản đồ 60, số 53 số | END=đất số tờ bản đồ 112 54 | FLAGS=
ID=NQ28-074-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=112,90,72,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 759B trong phạm vi 200m (tính từ HLLG) | START=Thửa đất số Thửa 60, tờ bản đồ 154, đồ số 54 | END=đất số tờ bản 112 số 41 | FLAGS=
ID=NQ28-074-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=112,90,72,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 759B trong phạm vi 200m (tính từ HLLG) | START=Thửa đất số Thửa 154, tờ bản 344, đồ số 41 đồ | END=đất số tờ bản 112 số 36 | FLAGS=
ID=NQ28-074-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=105,84,67,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 756 trong phạm vi 200m (tính từ HLLG) | START=Thửa đất số Thửa 82, tờ bản đồ 150, đồ số 8 | END=đất số tờ bản 105 số 22 | FLAGS=
ID=NQ28-074-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=105,84,67,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 756 trong phạm vi 200m (tính từ HLLG) | START=Thửa đất số Thửa 150, tờ bản 281, đồ số 22 đồ | END=đất số tờ bản 105 số 5 | FLAGS=
ID=NQ28-074-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=105,84,67,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 756 trong phạm vi 200m (tính từ HLLG) | START=Thửa đất, số Thửa 281, tờ bản 223, đồ số 5 đồ | END=đất số tờ bản 105 số 68 | FLAGS=
ID=NQ28-074-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=105,84,67,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 756 trong phạm vi 200m (tính từ HLLG) | START=Thửa đất số Thửa 223, tờ bản 24, đồ số 68 số | END=đất số tờ bản đồ 105 83 | FLAGS=
ID=NQ28-074-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=112,90,72,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 756 trong phạm vi 200m (tính từ HLLG) | START=Thửa đất số Thửa 385, tờ bản 255, đồ số 54 đồ | END=đất số tờ bản 112 số 54 | FLAGS=
ID=NQ28-074-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=112,90,72,44 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường ĐT 756 trong phạm vi 200m (tính từ HLLG) | START=Thửa đất số Thửa 255, tờ bản 82, đồ số 54 số | END=đất số tờ bản đồ 112 8 | FLAGS=
ID=NQ28-074-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=112,90,72,44 | ROAD=Đường liên xã Lộc Quang Lộc Ninh | START=Thửa đất số Thửa - 92, tờ bản đồ 12, số 60 số | END=đất số tờ bản đồ 112 51 | FLAGS=
ID=NQ28-074-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=70,56,45,44 | ROAD=Các tuyến đường nhựa còn từ 3m trở lên | START=lại Toàn tuyến Toàn | END=tuyến | FLAGS=
ID=NQ28-074-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=60,48,60,48 | ROAD=Các tuyến đường giao thông theo bản đồ địa chính từ 3,5m | START=nông thôn có bề rộng trở lên | END=đường | FLAGS=
ID=NQ28-074-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=60,48,60,48 | ROAD=Các tuyến đường còn lại | START= | END= | FLAGS=
ID=NQ28-074-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES= | ROAD=Xã Tân Khai Tên đường giao thông TT | START=Đoạn | END=đường Giá đất trồng | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-074-S01-TT0001-02 | SEC=agricultural | TT=1 | REL=main | PRICES=384,307,215 | ROAD=Đường Quốc lộ 13 | START=Ranh giới xã Tân Khai - Phường Bình Long | END=cây lâu năm Trạm thu phí | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0002-02 | SEC=agricultural | TT=2 | REL=main | PRICES=384,307,215 | ROAD=Đường Quốc lộ 13 | START=Trạm thu phí | END=xăng Tân Kiệt | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0003-02 | SEC=agricultural | TT=3 | REL=main | PRICES=384,307,215 | ROAD=Đường Quốc lộ 13 | START=xăng Tấn Kiệt | END=Hết ranh đất cây xăng ĐVT | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0004-02 | SEC=agricultural | TT=4 | REL=main | PRICES=384,307,215 | ROAD=Đường Quốc lộ 13 | START=Giáp ranh đất cây xăng ĐVT | END=Ranh giới xã Tân Khai - Phường Minh Hưng | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0005-02 | SEC=agricultural | TT=5 | REL=main | PRICES=216,173,138 | ROAD=Đường Trục Chính Bắc Nam | START=Ngã ba tiếp giáp đường Đông Tây 10 | END=Ngã tư giao đường Đông Tây 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0006-02 | SEC=agricultural | TT=6 | REL=main | PRICES=216,173,138 | ROAD=Đường Trục Chính Bắc Nam | START=Ngã tư giao đường Đông Tây 7 | END=Vòng xoay ngã năm giao đường Đông | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0007-02 | SEC=agricultural | TT=7 | REL=main | PRICES=216,173,138 | ROAD=Đường Trục Chính Bắc Nam | START=Đoạn còn lại | END=Tây 15 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0008-02 | SEC=agricultural | TT=8 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 1 | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0009-02 | SEC=agricultural | TT=9 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 1a | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0010-02 | SEC=agricultural | TT=10 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 1b | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0011-02 | SEC=agricultural | TT=11 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 2 | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0012-02 | SEC=agricultural | TT=12 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 3 | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0013-02 | SEC=agricultural | TT=13 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 4 | START=Đường Đông Tây 1 | END=Đường Đông Tây 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0014-02 | SEC=agricultural | TT=14 | REL=main | PRICES=216,173,138 | ROAD=Đường Bác Nam 4a | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0015-02 | SEC=agricultural | TT=15 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 4b | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0016-02 | SEC=agricultural | TT=16 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 5 | START=Đường Đông Tây 1 | END=Đường Đông Tây 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0017-02 | SEC=agricultural | TT=17 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 5a | START=Ngã ba tiếp giáp đường Đông Tây 5 | END=Ngã ba tiếp giáp đường Đông Tây 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0018-02 | SEC=agricultural | TT=18 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 5b | START=Ngã ba tiếp giáp đường Đông Tây 5 | END=Ngã ba tiếp giáp đường Đông Tây 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0019-02 | SEC=agricultural | TT=19 | REL=main | PRICES=216,173,138 | ROAD=Đường Bắc Nam 5c | START=Ngã ba tiếp giáp đường Đông Tây 5 | END=Ngã ba tiếp giáp đường Đông Tây 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0020-02 | SEC=agricultural | TT=20 | REL=main | PRICES=216,173,138 | ROAD=Đường Bác Nam 12 | START=Đường ĐT 756C | END=Ngã tư Đường vào cầu Huyện ủy | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0021-02 | SEC=agricultural | TT=21 | REL=main | PRICES=216,173,138 | ROAD=Đường Trục chính Đông Tây | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0022-02 | SEC=agricultural | TT=22 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 1 | START=Ngã ba tiếp giáp đường Quốc lộ 13 | END=Ngã tư giao đường trục chính Bắc Nam | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0023-02 | SEC=agricultural | TT=23 | REL=main | PRICES=216,173,138 | ROAD=Đường Đồng Tây 1 | START=Ngã tư giao đường trục chính Bắc Nam | END=Ngã tư giao đường Bắc Nam 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0024-02 | SEC=agricultural | TT=24 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 2 | START=Ngã ba tiếp giáp đường Bắc Nam 1 | END=Ngã tư giao đường trục chính Bắc Nam | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0025-02 | SEC=agricultural | TT=25 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 2 | START=Ngã tư giao đường trục chính Bắc Nam | END=Ngã ba tiếp giáp đường Bắc Nam 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0026-02 | SEC=agricultural | TT=26 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 3 | START=Ngã ba tiếp giáp đường Quốc lộ 13 | END=Ngã tư giao đường trục chính Bắc Nam | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0027-02 | SEC=agricultural | TT=27 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 3 | START=Ngã tư giao đường trục chính Bắc Nam | END=Ngã ba tiếp giáp đường Bắc Nam 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0028-02 | SEC=agricultural | TT=28 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 4 | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0029-02 | SEC=agricultural | TT=29 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 4a | START=Ngã ba tiếp giáp | END=Ngã ba tiếp | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0030-02 | SEC=agricultural | TT=30 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 4b | START=Đường Quốc lộ 13 Ngã ba tiếp giáp đường Bắc Nam 5 | END=giáp đường Bắc Nam 2 Ngã ba tiếp giáp đường Đắc Nam 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0031-02 | SEC=agricultural | TT=31 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 4c | START=Ngã ba tiếp giáp đường Bắc Nam 5 | END=Ngã ba tiếp giáp đường Bắc Nam 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0032-02 | SEC=agricultural | TT=32 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 5 | START=Ngã ba tiếp giáp đường Quốc lộ 13 | END=Ngã ba tiếp giáp đường Bắc Nam 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0033-02 | SEC=agricultural | TT=33 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 5a | START=Ngã ba tiếp giáp đường Bắc Nam 2 | END=Ngã ba tiếp giáp đường Bắc Nam 3 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0034-02 | SEC=agricultural | TT=34 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 6 | START=Ngã ba tiếp giáp đường Bắc Nam 2 | END=Ngã ba tiếp giáp đường trục chính Bắc Nam | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0035-02 | SEC=agricultural | TT=35 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 6a | START=Ngã ba tiếp giáp đường Bắc Nam 2 | END=Ngã ba tiếp giáp đường Bắc Nam 3 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0036-02 | SEC=agricultural | TT=36 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 7 | START=Ngã ba tiếp giáp đường Quốc lộ 13 | END=Ngã tư giao đường trục chính Bắc Nam | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0037-02 | SEC=agricultural | TT=37 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 7 | START=Ngã tư giao đường trục chính Bắc Nam | END=Ngã ba tiếp giáp đường Bắc Nam 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0038-02 | SEC=agricultural | TT=38 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 9 | START=Đường Quốc lộ 13 | END=Ngã tư giao đường trục chính Bắc Nam | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0039-02 | SEC=agricultural | TT=39 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 9 | START=Ngã tư giao đường trục chính Bắc Nam | END=Ngã ba tiếp giáp đường Bắc Nam 7 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0040-02 | SEC=agricultural | TT=40 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 10 | START=Đường Quốc lộ 13 | END=Đường Bắc Nam 4 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0041-02 | SEC=agricultural | TT=41 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 11 | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-074-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 12 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-074-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 13 | START=Đường Quốc lộ 13 | END=Đường Bắc Nam 3 | FLAGS=
ID=NQ28-074-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 14 | START=Đường Quốc lộ 13 | END=Đường Bắc Nam 3 | FLAGS=
ID=NQ28-074-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 15 | START=Đường Quốc lộ 13 | END=Đường Trục chính Bắc Nam | FLAGS=
ID=NQ28-074-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 15 | START=Đoạn còn lại | END= | FLAGS=
ID=NQ28-074-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 16 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-074-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=216,173,138 | ROAD=Đường Đông Tây 17 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-074-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=384,307,215 | ROAD=Đường ĐT 756C | START=Ngã ba Tân Quan | END=Đến hết thửa đất số 339, tờ bản đồ số 23 | FLAGS=
ID=NQ28-074-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=384,307,215 | ROAD=Đường ĐT 756C | START=Từ thửa đất số 347, tờ bản đồ số 23 | END=Cầu bà Hô giáp ranh xã Tân Quan | FLAGS=
ID=NQ28-074-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=384,307,215 | ROAD=Đường ĐT 756C | START=Ngã tư giao đường Đông Tây 1 và đường Bắc Nam 7 | END=Giáp ranh thôn Đồng Nơ 1 | FLAGS=
ID=NQ28-074-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=216,173,138,42 | ROAD=Đường ĐT 756C (Đường huyện 245) | START=Ngã tư cổng Nông trường 425 | END=Ngã ba bê tông xi măng tổ 4, Sóc 5 (đến hết ranh thửa đất số 213, tờ bản đồ số 81) | FLAGS=
ID=NQ28-074-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=216,173,138,42 | ROAD=Đường ĐT 756C (Đường huyện 245) | START=Ngã ba bê tông xi măng tổ 4, Sóc 5 (từ hết ranh thửa đất số 213, tờ bản đồ số 81) | END=Đến cầu Sóc 5 (giáp ranh thành phố Hồ Chí Minh) | FLAGS=
ID=NQ28-074-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=216,173,138,42 | ROAD=Đường ĐT 756C (Đường huyện 245) | START=Ngã ba đoạn giáp ranh xã Tân Khai - Minh Đức | END=Văn phòng thôn Đồng Nơ 3 (đến hết ranh thửa đất số 195, tờ bản đồ số 95) | FLAGS=
ID=NQ28-074-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=216,173,138,42 | ROAD=Đường ĐT 756C (Đường huyện 245) | START=Văn phòng thôn Đồng Nơ 3 (từ hết ranh thửa đất số 195, tờ bản đồ số 95) | END=Nhà ông Mai Viết Huệ (đến hết ranh thửa đất số 09, tờ bản đồ số 100) | FLAGS=
