TABLE=063 | AREA=Phường Phước Bình | RECORDS=186 | GROUPS=186 | REVIEW=1
ID=NQ28-063-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=420,336,269 | ROAD=63. Phường Phước Bình Tên đường giao TT thông Giáp ranh Đường Nguyễn Tất Phước Thành Đai (cũ) | START=Đoạn đường Đường phường (hết Long, tỉnh Đồng 364, Quảng | END=Trường Chinh ranh thửa đất số tờ bản đồ số 31 và Trường 6-1) | FLAGS=
ID=NQ28-063-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=294,235,188 | ROAD=Đường Lê Anh Đường Xuân | START=Trường Chinh Đường | END=Độc Lập | FLAGS=
ID=NQ28-063-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=294,235,188 | ROAD=Đường Võ Nguyên Đường Giáp | START=Đường Độc Lập Thành | END=Nguyễn Tất | FLAGS=
ID=NQ28-063-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=294,235,188 | ROAD=Đường Võ Nguyên Đường Giáp Thành | START=Nguyễn Tất Đường | END=Nguyễn Hữu Thọ | FLAGS=
ID=NQ28-063-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=294,235,188 | ROAD=Đường Bế Văn Đàn Đường | START=Bùi Văn Dù Đường Ngã | END=Độc lập ba đường Lý | FLAGS=
ID=NQ28-063-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Đường Võ Văn Kiệt Kiệt - Tất Thành | START=đường Võ Văn Thường Đường Nguyễn Văn đất 26) | END=Kiệt - Đường Kiệt (hết ranh thửa số 163, tờ bản đồ | FLAGS=
ID=NQ28-063-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Thường Đường Võ Văn Kiệt Kiệt (Từ 72, tờ | START=đường Lý Ngã Kiệt - Võ Văn Kiệt ranh thửa đất vực bản đồ số 7) số | END=tư đường Võ Văn - Đường Liên Khu 4 (hết ranh thửa đất 71, tờ bản đồ số 7) | FLAGS=
ID=NQ28-063-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=224,179,143 | ROAD=Ngã tư Kiệt - vực 4 Đường Võ Văn Kiệt 65, 13, bản đồ | START=đường Võ Văn Hết Đường Liên Khu tiểu (từ ranh thửa đất số cùng thuộc tờ cùng số 7 và thửa đất | END=ranh điểm trường học thôn 7 (thửa đất 89 và thửa đất số 95, thuộc tờ bản đồ | FLAGS=
ID=NQ28-063-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=224,179,143 | ROAD=số 92, Đường Võ Văn Kiệt Hết ranh | START=78) tờ bản đồ số 101) điểm trường Đường | END=Lý Tự Trọng | FLAGS=
ID=NQ28-063-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=294,235,188 | ROAD=tiểu học thửa đất ranh thửa cùng 78) Đường Phan Đình Đường Giót | START=thôn 7 (hết ranh số 89 và hết đất số 95, thuộc tờ bản đồ số Bùi Văn Dù Đường | END=Độc Lập | FLAGS=
ID=NQ28-063-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=294,235,188 | ROAD=Giao lộ Đường Mai Chí Thọ Khắc | START=Lê Duẩn - Phùng Giao Khoan - | END=lộ Nguyễn Văn Linh Phùng Khắc Khoan | FLAGS=
ID=NQ28-063-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Đường Hữu Thọ | START=Phạm Hùng Đường | END=Võ Văn Kiệt | FLAGS=
ID=NQ28-063-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=294,235,188 | ROAD=Đường Phùng Khắc Giao lộ Khoan Chí Thọ | START=Lê Duẩn - Mai Giao - | END=lộ Nguyễn Văn Linh Mai Chí Thọ | FLAGS=
ID=NQ28-063-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=294,235,188 | ROAD=Đường Lý Thường Giáp Kiệt | START=đường Võ Văn Kiệt Giáp | END=đường Phạm Hùng | FLAGS=
ID=NQ28-063-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=294,235,188 | ROAD=Đường Tô Hiệu Đường | START=Võ Nguyên Giáp Đường | END=Võ Văn Kiệt | FLAGS=
ID=NQ28-063-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Đường Duy Trình | START=Võ Nguyên Giáp Đường | END=Võ Văn Kiệt | FLAGS=
ID=NQ28-063-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=294,235,188 | ROAD=Đường Trần Văn Đường Trà | START=Phạm Hùng Đường | END=Võ Văn Kiệt | FLAGS=
ID=NQ28-063-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=294,235,188 | ROAD=Đường Nơ Trang Toàn Long | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=294,235,188 | ROAD=Đường Trần Xuân Đường Soạn | START=Võ Nguyên Giáp Đường | END=Võ văn Kiệt | FLAGS=
ID=NQ28-063-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=294,235,188 | ROAD=Đường Huỳnh Thúc Đường Kháng | START=Phạm Hùng Đường | END=Nguyễn Văn Linh | FLAGS=
ID=NQ28-063-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=294,235,188 | ROAD=Đường Phan Chu Đường Trinh | START=Lê Duẩn Đường | END=Võ Văn Kiệt | FLAGS=
ID=NQ28-063-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Thị Đường Minh Khai | START=Đặng Văn Ngữ Đường | END=Võ Nguyên Giáp | FLAGS=
ID=NQ28-063-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=294,235,188 | ROAD=Đường Tố Hữu Đường | START=Phạm Hùng Đường | END=Độc Lập | FLAGS=
ID=NQ28-063-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=294,235,188 | ROAD=Đường Tô Ngọc Toàn Vân | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=294,235,188 | ROAD=Đường Bùi Văn Dù Đường | START=Võ Nguyên Giáp Đường | END=Độc Lập | FLAGS=
ID=NQ28-063-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Đường Bỉnh Khiêm | START=Trường chinh Đường | END=Võ Nguyên Giáp | FLAGS=
ID=NQ28-063-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=294,235,188 | ROAD=Đường Hoài Thanh Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Toàn Văn Siêu | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Toàn Huy Tự | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=294,235,188 | ROAD=Đường Lê Thị Hồng Toàn Gấm | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Đường Nguyễn Thái Học Thái Học Nguyễn | START=Ngã Thái đường Nguyễn Tùng - đường đất Tất Thành 42; đất 42; | END=ba đường Nguyễn Học - đường Hồ Mậu (hết ranh thửa số 52, tờ bản đồ số khu phố 4 và thửa số 84, tờ bản đồ số khu phố 3) | FLAGS=
ID=NQ28-063-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Thái Học Tùng Đường Nguyễn đất số 42; khu Thái Học và thửa bản đồ 10) | START=đường Nguyễn Ngã - đường Hồ Thái Mậu (từ ranh thửa Ngũ 243, tờ bản đồ số đất phố Long Phước 39; đất số 43, tờ và số 42; khu phố bản 10) | END=ba đường Nguyễn Học - Đường Phạm Lão (hết ranh thửa số 212, tờ bản đồ khu phố Long Phước thửa đất số 203, tờ đồ số 40; khu phố | FLAGS=
ID=NQ28-063-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Thái Học Ngũ Lão Đường Nguyễn đất số Thái Học 39; Khu Phước 280, tờ Khu phố | START=Ngã đường Nguyễn Thái - Đường Phạm tông (từ ranh thửa điều 213, tờ bản đồ số thửa phố Long đồ và thửa đất số Phước bản đồ số 39; 18, 10) phố | END=ba đường Nguyễn Học - Đường bê bên hông Xưởng Hà Lành (hết ranh đất số 49, tờ bản số 12; Khu phố Long và thửa đất số tờ bản đồ số 39; khu 10) | FLAGS=
ID=NQ28-063-S01-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Thái Học tông bên điều Hà Đường Nguyễn thửa đất Thái Học đồ số Phước | START=đường Nguyễn - Đường bê Giáp hông Xưởng (hết Lành (từ ranh 368, số 421, tờ bản khu 12; khu phố Long thửa và thửa đất số đồ | END=ranh xã Bình Tân, ranh thửa đất số tờ bản đồ số 12; phố Long Phước đất số 182, tờ bản số 12; khu phố 10) | FLAGS=
ID=NQ28-063-S01-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=294,235,188 | ROAD=62, tờ phố 10) Đường Hàn Thuyên Đường | START=bản đồ số 38; khu 3 tháng 2 Đường | END=Phạm Hùng | FLAGS=
ID=NQ28-063-S01-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=294,235,188 | ROAD=Đường Lê Văn Đường Ngôn | START=3 tháng 2 Đường | END=Đặng Trần Côn | FLAGS=
ID=NQ28-063-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=294,235,188 | ROAD=Đường Lê Văn Hưu Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0076-01 | SEC=agricultural | TT=76 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Đường Hiền | START=3 tháng 2 Đường | END=Phạm Hùng | FLAGS=
ID=NQ28-063-S01-TT0077-01 | SEC=agricultural | TT=77 | REL=main | PRICES=294,235,188 | ROAD=Đường Đoàn Nhữ Đường Hài | START=3 tháng 2 Đường | END=Phạm Hùng | FLAGS=
ID=NQ28-063-S01-TT0078-01 | SEC=agricultural | TT=78 | REL=main | PRICES=294,235,188 | ROAD=Đường Lê Quát Đường | START=3 tháng 2 Đường | END=Đặng Trần Côn | FLAGS=
ID=NQ28-063-S01-TT0079-01 | SEC=agricultural | TT=79 | REL=main | PRICES=294,235,188 | ROAD=Đường Đặng Tất Đường | START=3 tháng 2 Đường | END=Đặng Trần Côn | FLAGS=
ID=NQ28-063-S01-TT0080-01 | SEC=agricultural | TT=80 | REL=main | PRICES=294,235,188 | ROAD=Đường Đặng Trần Đường Côn | START=Đường 3 tháng 2 Thành | END=Nguyễn Tất | FLAGS=
ID=NQ28-063-S01-TT0081-01 | SEC=agricultural | TT=81 | REL=main | PRICES=294,235,188 | ROAD=Đường Hồ Văn Huê Đường | START=Đặng Trần Côn Đường | END=Hoàng Lệ Kha | FLAGS=
ID=NQ28-063-S01-TT0082-01 | SEC=agricultural | TT=82 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Đường | START=3 tháng 2 Đường | END=Hoàng Lệ Kha | FLAGS=
ID=NQ28-063-S01-TT0083-01 | SEC=agricultural | TT=83 | REL=main | PRICES=294,235,188 | ROAD=Nghiêm Đường Lương Đường Khánh Thiện | START=3 tháng 2 Đường | END=Hoàng Lệ Kha | FLAGS=
ID=NQ28-063-S01-TT0084-01 | SEC=agricultural | TT=84 | REL=main | PRICES=294,235,188 | ROAD=Đường Hoàng Lệ Đường Kha | START=3 tháng 2 Đường | END=Đặng Trần Côn | FLAGS=
ID=NQ28-063-S01-TT0085-01 | SEC=agricultural | TT=85 | REL=main | PRICES=294,235,188 | ROAD=Đường Phan Bá Đường Vành Thiện | START=Lương Khánh Đường | END=Đinh Văn Chất | FLAGS=
ID=NQ28-063-S01-TT0086-01 | SEC=agricultural | TT=86 | REL=main | PRICES=294,235,188 | ROAD=Đường Liên Khu 8, Ngã ba khu 9 và thửa đất Xương số 166, tờ bản đồ khu 8, số 10 (Khu phố 8) | START=đường Tú Hết và đường Liên 102, 9 (Khu | END=ranh thửa đất số tờ bản đồ số 11 phố 8) | FLAGS=
ID=NQ28-063-S01-TT0087-01 | SEC=agricultural | TT=87 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Đường Liên Khu 8, (tử thửa khu 9 bản đồ | START=Tiếp đường 3 tháng 2 Hoàng đất số 56, tờ thửa số 28) đồ | END=giáp ngã tư đường Lệ Kha (hết ranh đất số 80, tờ bản số 28) | FLAGS=
ID=NQ28-063-S01-TT0088-01 | SEC=agricultural | TT=88 | REL=main | PRICES=294,235,188 | ROAD=Đường Tú Xương Đường | START=Đường (Đường 3 tháng 2 ĐT 759) | END=liên khu vực I nối giữa Đường 741 và Đường ĐT | FLAGS=
ID=NQ28-063-S01-TT0089-01 | SEC=agricultural | TT=89 | REL=main | PRICES=294,235,188 | ROAD=Các đường nội ô Đường Khu phố 9 (5 tuyến) | START=3 tháng 2 Đường | END=Tú Xương | FLAGS=
ID=NQ28-063-S01-TT0090-01 | SEC=agricultural | TT=90 | REL=main | PRICES=294,235,188 | ROAD=Đường Đường Vườn Ươm thửa đất khu phố 9 đồ số | START=Tú Xương (hết Ngã số 163, tờ bản thửa 10) đồ | END=ba đường đất (hết đất số 105, tờ bản số 10) | FLAGS=
ID=NQ28-063-S01-TT0091-01 | SEC=agricultural | TT=91 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Đường Nguyễn - đường Khuyến Thành | START=Nguyễn Khuyến Nguyễn Tất Đường | END=Hồ Tùng Mậu | FLAGS=
ID=NQ28-063-S01-TT0092-01 | SEC=agricultural | TT=92 | REL=main | PRICES=294,235,188 | ROAD=Đường Bom Bo Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=294,235,188 | ROAD=Đường Võ Thị Sáu Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=294,235,188 | ROAD=Đường nội ô khu dân cư Thành Toàn Phương | START=tuyến | END= | FLAGS=
