TABLE=090 | AREA=Xã Đa Kia | RECORDS=54 | GROUPS=53 | REVIEW=5
ID=NQ28-090-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=210,168,134 | ROAD=90. Xã Đa Kia Tên đường giao thông Đầu thửa I Đường ĐT 759 bản đồ Đa Kia) Hết ranh Đường ĐT 759 Tân | START=Đoạn đường đất số 44 tờ Hết số 119 (phía xã Bình Cầu nghĩa địa Bình đất số | END=Giá cây ranh nghĩa địa Tân Đa Kia hết thửa số 142 tờ bản đồ 106 | FLAGS=
ID=NQ28-090-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=55,44,35 | ROAD=Ngã ba Đường thôn Bình trung tâm cũ (hết Tân 8, tờ bản | START=đường rẽ vào Trung hành chính xã xã ranh thửa đất số đất đồ 106) số | END=tâm hành chính (đầu ranh đất thửa số 86, tờ bản đồ 102) | FLAGS=
ID=NQ28-090-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=55,44,35 | ROAD=Ngã ba trung tâm Đường thôn Bình (hết ranh Tân tờ bản Phạm Thị | START=đường rẽ vào Ngã hành chính xã (hết thửa đất số 8, Sỹ đồ số 106 của bà 17, Thúy Hà) | END=ba Suối Muồng ranh đất ông Hà Quý thửa đất số tờ bản đồ số 95) | FLAGS=
ID=NQ28-090-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=55,44,35 | ROAD=Ngã ba Đường thôn Bình ranh đất thửa đất Tân + Bù Tam đồ số 95) | START=Ngã Suối Muồng (hết ranh ông Hà Sỹ Quý Văn số 17, tờ bản số 92 | END=ba Suối đia (giáp đất ông Hoàng Thắng) thửa đất 263, tờ bản đồ số | FLAGS=
ID=NQ28-090-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=55,44,35 | ROAD=Ngã ba Đường thôn Bù ranh đất Văn Thắng) Tam 263, tờ | START=Suối đia (giáp ông Hoàng Trụ thửa đất số Phước bản đồ số 92 | END=sở UBND xã Minh (cũ) | FLAGS=
ID=NQ28-090-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=55,44,35 | ROAD=Đường nhựa ranh giới giữa xã Phước Đường Minh - xã Đa Kia (cũ) | START=Hết ĐT 759 bản | END=thửa đất số 15 tờ đồ số 129 | FLAGS=
ID=NQ28-090-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=84,67,54 | ROAD=Đường liên xã Ngã tư | START=Ngã xanh), đường N7 Nguyễn đất số | END=ba (Bách hóa ranh đất ông Tấn Bà, thửa số 37, tờ bản đồ 170 | FLAGS=
ID=NQ28-090-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=84,67,54 | ROAD=Đi thôn ranh đất Đường liên xã Phương số 307, 149) | START=6B+300m (hết Dịch vụ Kiều, thửa đất Cổng tờ bản đồ số | END=chào thôn 3 | FLAGS=
ID=NQ28-090-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=84,67,54 | ROAD=Đi thôn ranh đất Đường liên xã Phương số 307, 149) | START=6B+300m (hết Dịch vụ Ngã Kiều, thửa đất (Trường tờ bản đồ số Bình | END=ba thôn 6B Tiểu học Thắng B) | FLAGS=
ID=NQ28-090-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=84,67,54 | ROAD=Ngã ba Đường liên xã (Trường Thắng B) | START=thôn 6B Giáp Tiểu học Bình Bình | END=ranh xã Long cũ | FLAGS=
ID=NQ28-090-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=84,67,54 | ROAD=Ngã ba Đường trục xã (Trường Thắng B) | START=thôn 6B Tiểu học Bình Ngã | END=tư Dốc Võng | FLAGS=
ID=NQ28-090-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=84,67,54 | ROAD=Đường trung tâm Ngã tư xã | START=đường N7 Giáp | END=nghĩa địa thôn 5 | FLAGS=
ID=NQ28-090-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=84,67,54 | ROAD=Đường trung tâm Đường xã N3 xã) | START=D1 (Trạm y tế Đường | END=D8 | FLAGS=
ID=NQ28-090-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=84,67,54 | ROAD=Đường trung tâm Đường xã D4 hồ) | START=N3 (Quán Sen Ngã | END=ba đường D7 | FLAGS=
ID=NQ28-090-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=112,90,72 | ROAD=Đường đi xã Bình Ngã ba Thắng cũ ĐT 759 | START=Hết tiếp giáp đường 86, thửa bản | END=ranh thửa đất số tờ bản đồ số 38 và đất số 589, tờ đồ số 38 | FLAGS=
ID=NQ28-090-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=112,90,72 | ROAD=Hết ranh Đường đi xã Bình tờ bản Thắng cũ đoạn 2 đất số 589, 38 | START=thửa đất số 86, đồ số 38 và thửa Giáp tờ bản đồ số Thắng | END=ranh xã Bình (cũ) | FLAGS=
ID=NQ28-090-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=112,90,72 | ROAD=Đường nhựa ranh giới giữa xã Phước Đường Minh - xã Đa Kia (cũ) | START=Hết ĐT 759 bản | END=thửa đất số 6, tờ đồ số 13 | FLAGS=
ID=NQ28-090-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa vào trường TH Đa Kia Đường A | START=Hết ĐT 759 tờ | END=thửa đất số 650, bản đồ số 12 | FLAGS=
ID=NQ28-090-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa thôn Đường | START=Hết tờ ĐT 759 | END=thửa đất số 142, bản đồ số 10 và hết | FLAGS=
ID=NQ28-090-S01-TT0002-02 | SEC=agricultural | TT=2 | REL=main | PRICES= | ROAD= | START=thửa đồ | END=đất số 20, tờ bản số 12 | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-090-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=60,48,38 | ROAD=Đường vào nhà Đường thờ An Bình | START=Hết ĐT 759 và 12 | END=thửa đất số 128 427, tờ bản đồ số | FLAGS=
ID=NQ28-090-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa thôn Đường | START=Hết ĐT 759 | END=thửa đất số 65 và | FLAGS=
ID=NQ28-090-S01-TT0003-02 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD= | START=73, | END=tờ bản đồ số 19 | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-090-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa thôn Đường | START=Hết ĐT 759 | END=thửa đất số 47 và | FLAGS=
ID=NQ28-090-S01-TT0003-03 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD= | START=231, | END=tờ bản đồ số 28 | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-090-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa thôn Đường Bình Thủy | START=Hết ĐT 759 và | END=thửa đất số 173 215, tờ 20 | FLAGS=
ID=NQ28-090-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa thôn Đường Bình Thủy Các tuyến đường | START=Hết ĐT 759 và 30 | END=thửa đất số 149 367, tờ bản đồ số | FLAGS=
ID=NQ28-090-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=112,90,72 | ROAD=nhựa nội đô thuộc khu Quy hoạch Toàn tuyến 1/500 thôn 4 (Trung tâm hành | START= | END= | FLAGS=
ID=NQ28-090-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=60,48,38 | ROAD=chính xã) Đường nhựa thôn Đường | START=Hết ĐT 759 | END=thửa đất số 71 và | FLAGS=
ID=NQ28-090-S01-TT0006-02 | SEC=agricultural | TT=6 | REL=main | PRICES= | ROAD= | START=114, | END=tờ bản đồ số 51 | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-090-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa thôn Đường | START=ĐT 759 (cổng Hết | END=thửa đất số 131, | FLAGS=
ID=NQ28-090-S01-TT0006-03 | SEC=agricultural | TT=6 | REL=main | PRICES= | ROAD=chào thân | START=tờ 6) | END=bản đồ số 46 | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-090-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=direct | PRICES=112,90,72 | FLAGS=
ID=NQ28-090-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=60,48,38 | ROAD=vi 250m Đường nhựa ngã Đường ba nhà máy nước | START=Hết ĐT 759 81, | END=thửa đất số 47 và tờ bản đồ số 50 | FLAGS=
ID=NQ28-090-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa vào trường TH Đa Kia Đường C | START=Hết tờ ĐT 760 thửa đồ | END=thửa đất số 170, bản đồ số 33 và đất số 76, tờ bản số 32 | FLAGS=
ID=NQ28-090-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa thôn Đường Bình Hà 1 | START=Hết ĐT 760 và 40 | END=thửa đất số 142 143, tờ bản đồ số | FLAGS=
ID=NQ28-090-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=60,48,38 | ROAD=Đường nhựa thôn Đường Bình Hà 1 | START=Hết ĐT 760 68, | END=thửa đất số 64 và tờ bản đồ số 21 | FLAGS=
ID=NQ28-090-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=60,48,38 | ROAD=Các tuyến đường nhựa, bê tông còn Toàn tuyến lại | START= | END= | FLAGS=
ID=NQ28-090-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=60,48,38 | ROAD=Các tuyến đường Toàn tuyến còn lại | START= | END= | FLAGS=
