TABLE=086 | AREA=Xã Tân Tiến | RECORDS=75 | GROUPS=75 | REVIEW=0
ID=NQ28-086-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=134,108,49 | ROAD=86. Xã Tân Tiến Tên đường giao TT thông Giáp Đường ĐT 759B Tấn | START=Đoạn đường ranh xã Lộc Giáp ranh Quang | END=Giá đất trồng cây lâu năm xã Lộc 168 | FLAGS=
ID=NQ28-086-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=90,72,49 | ROAD=lục này) Đường liên doanh Đường | START=Hết ranh ĐT 759B Trường Tân Thành | END=đất THCS xã 112 cũ | FLAGS=
ID=NQ28-086-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=90,72,49 | ROAD=Hết Đường liên doanh Trường Tân | START=ranh đất THCS xã Đồn cầu Thành cũ | END=trắng 112 | FLAGS=
ID=NQ28-086-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=40,32,32 | ROAD=Đường trong khu vực Toàn chợ Tân Thành | START=tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân (cổng Lợi Tân | START=Ngã ba ĐT 759B (hết ranh chào ấp số 104 đất số Lợi) bản đồ | END=Biển Hồ thửa đất và thửa 50 145, tờ số 16) | FLAGS=
ID=NQ28-086-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân doanh Lợi nhà | START=Ngã ba liên (hết ranh (ngã ba số 104 bà Năm Lầu) đất số bản đồ | END=Biển Hồ thửa đất và thửa 50 136, tờ số 16) | FLAGS=
ID=NQ28-086-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Thửa tờ bản Lợi | START=Hết thửa đất số 77, 427, tờ đồ số 16 9 | END=đất số bản đồ số 50 | FLAGS=
ID=NQ28-086-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân doanh Phú chào | START=liên Ngã ba thửa đất (Cổng ấp Tân tờ bản | END=(hết ranh số 407, 50 đồ số 17) | FLAGS=
ID=NQ28-086-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=40,32,32 | ROAD=Phú) Đường Đường nhựa ấp Tân doanh chào Phong Phong) | START=liên Ngã ba (Cổng thửa đất ấp Tân tờ bản | END=(hết ranh số 120, 50 đồ số 8) | FLAGS=
ID=NQ28-086-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân doanh Phong cây | START=liên Hết ranh số 202, (ngã ba tung) số 7 | END=thửa đất tờ bản đồ 50 | FLAGS=
ID=NQ28-086-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân doanh Hội chào | START=liên (cổng Hết tuyến ấp Tân Hội) | END=50 | FLAGS=
ID=NQ28-086-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân doanh chào Hội Hội) | START=liên Hết ranh (cổng số 42, cũ ấp Tân số 6 | END=thửa đất tờ bản đồ 50 | FLAGS=
ID=NQ28-086-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Đường Lập đi Tân Phú | START=Hết ranh số 215, ĐT 759B số 266, số 26 | END=thửa đất thửa đất 50 tờ bản đồ | FLAGS=
ID=NQ28-086-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa giáp ấp (ngã Tân Phú Thắng | START=Hết ranh ĐT 759B số 31 ba nhà ông số 324, tài chính) số 25 | END=thửa đất và thửa đất 50 tờ bản đồ | FLAGS=
ID=NQ28-086-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân (ngã Phú Thắng | START=ĐT 759B Hết ranh ba nhà ông số 153, Công an) số 21 | END=thửa đất tờ bản đồ 50 | FLAGS=
ID=NQ28-086-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Đường Định | START=Hết ranh số 69 ĐT 759B số 75, số 24 | END=thửa đất và thửa đất 50 tờ bản đồ | FLAGS=
ID=NQ28-086-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân (cổng Định Tân | START=Hết ranh đất số ĐT 759B thửa đất chào ấp đến thửa Định) 92, tờ 24 | END=từ thửa 331 và số 76 50 đất số bản đồ số | FLAGS=
ID=NQ28-086-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa vào hồ Đường bơi Ngọc Thủy | START=Hết ranh số 92 ĐT 759B số 280, số 24 | END=thửa đất và thửa đất 50 tờ bản đồ | FLAGS=
ID=NQ28-086-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Đường Hiệp | START=Hết ranh ĐT 7590 số 232, số 23 | END=thửa đất tờ bản đồ 50 | FLAGS=
ID=NQ28-086-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân 75913 chào Hiệp | START=ĐT Hết ranh (cổng số 32, ấp Tân số 14 | END=thửa đất tờ bản đồ 50 | FLAGS=
ID=NQ28-086-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=90,72,49 | ROAD=Hiệp) Đường nhựa giáp ranh Đường | START=ĐT 759B Hết tuyến | END=112 | FLAGS=
ID=NQ28-086-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=90,72,49 | ROAD=xã Lộc Hiệp cũ Đường nhựa giáp ranh Đường xã Lộc Hiệp cũ | START=Hết ranh ĐT 759B số 111, số 14 | END=thửa đất tờ bản đồ 112 | FLAGS=
ID=NQ28-086-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=90,72,49 | ROAD=Ngã Đường nhựa C3 Liên | START=Hết ranh ba đường sả 104, Doanh số 9 | END=thửa đất tờ bản đồ 112 | FLAGS=
ID=NQ28-086-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân (cổng Động Tân | START=ĐT 759B chào ấp Đập Bù Động) | END=Đạo 50 | FLAGS=
ID=NQ28-086-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa khu dân cư đội 3 - đội 5 Trung Toàn đoàn 717 | START=tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=90,72,49 | ROAD=Đường nhựa giáp ranh Đường xã Tân Tiến - Tân Thành cũ | START=ĐT 759B Suối Bù | END=Đạo 112 | FLAGS=
ID=NQ28-086-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Từ đập Động Bù Đạo | START=Ranh địa tràn suối hành chính Tân Tiến | END=giới xã 50 cũ | FLAGS=
ID=NQ28-086-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=40,32,32 | ROAD=Ranh Đường nhựa ấp Tân hành Đông Tân | START=địa giới Cầu sắt chính xã Hiệp Tiến cũ | END=ấp Tân 50 | FLAGS=
ID=NQ28-086-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân doanh xăng Phú Anh) | START=liên Nhà ông (Từ Cây Thiện Hoàng Lập) | END=Lê Văn (ấp Tân 50 | FLAGS=
ID=NQ28-086-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=40,32,32 | ROAD=Đường bê tông bên Toàn cạnh trường mầm non | START=tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=90,72,49 | ROAD=Đường nhựa giáp Tân Đường Hội - Tân Lợi doanh | START=liên Công ty Tòng | END=Thanh 112 | FLAGS=
ID=NQ28-086-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=40,32,32 | ROAD=Từ ngã bà Đồng Đường nhựa ấp Tân Huỳnh Định số 354, đồ số | START=ba nhà Đến ranh Thị đất số (thửa đất đất số tờ bản bản đồ 24) | END=thửa 92 và thửa 50 280, tờ số 24 | FLAGS=
ID=NQ28-086-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=40,32,32 | ROAD=Từ ngã Đường nhựa ấp Tân đất Đông bản | START=ba (thửa Hết ranh số 121, tờ số 52, đồ số 41) số 41 | END=thửa đất tờ bản đồ 50 | FLAGS=
ID=NQ28-086-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=40,32,32 | ROAD=Từ ngã Đường nhựa ấp Tấn đất Động đồ số | START=ba (thửa Hết ranh số 16, tờ bản số 33, 44) số 43 | END=thửa đất tờ bản đồ 50 | FLAGS=
ID=NQ28-086-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=40,32,32 | ROAD=Từ ngã Đường nhựa ấp Tân đất Động đồ số | START=ba (thửa Hết ranh số 16, tờ bản số 26, 44) số 44 | END=thửa đất tờ bản đồ 50 | FLAGS=
ID=NQ28-086-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ngã tư cầu Trắng đi Đội 3 Toàn Trung đoàn 717 | START=tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ngã tư cầu Trắng đi Đội 5 Toàn Trung đoàn 717 | START=tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=90,72,49 | ROAD=Đường Sóc Nê Ngã | START=Hết ranh Trường ba Sóc Nê và Trường học | END=đất cấp II+III 112 tiểu | FLAGS=
ID=NQ28-086-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=90,72,49 | ROAD=Hết Trường Đường Sóc Nê và Trường học | START=ranh đất Cấp II+III Suối Đá tiểu | END=112 | FLAGS=
ID=NQ28-086-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=90,72,49 | ROAD=Đường Sóc Nê Suối | START=Hết ranh ông 3 Đá đất số bản đồ | END=đất nhà đến (Thửa 112 631, tờ số 88) | FLAGS=
ID=NQ28-086-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=40,32,32 | ROAD=Đường trong khu vực Toàn chợ Tân Tiến | START=tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=90,72,49 | ROAD=Đường nhựa K2 Đường | START=ĐT 759B Suối K2 | END=112 | FLAGS=
ID=NQ28-086-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=90,72,49 | ROAD=Đường nhựa K2 Suối | START=K2 Hết tuyến Hết ranh | END=112 đất ông | FLAGS=
ID=NQ28-086-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa giáp ấp Đường (đoạn Tân Bình, Tân Hòa | START=Phan Văn ĐT 759B (Hết ranh nắn cua) đất số đồ số | END=Hoàng thửa 50 60, tờ bản 72) | FLAGS=
ID=NQ28-086-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=40,32,32 | ROAD=Hết Phan Đường nhựa giáp ấp (Hết Tân Bình, Tân Hòa đất đồ số | START=ranh đất ông Ngã ba Văn Hoàng Trường ranh thửa ranh thửa số 60, tờ bản 525, tờ 72) 72) | END=nhà Yên (hết đất số 50 bản đồ số | FLAGS=
ID=NQ28-086-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân (cổng An Tân | START=Hết ranh ĐT 759B Nông Văn chào ấp (Hết ranh đất số An) bản đồ | END=đất ông Píu thửa 50 100, tờ số 79) | FLAGS=
ID=NQ28-086-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân (cổng Thuận Tân | START=Hết ranh ĐT 75 9B Đinh Hoàng chào ấp (Hết ranh đất số Thuận) đồ số | END=đất ông Tuấn thửa 50 57, tờ bản 70) | FLAGS=
ID=NQ28-086-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=40,32,32 | ROAD=Đường Đường nhựa ấp Tân (cổng Nhân Tân | START=Hết ranh ĐT 759B Bùi Văn chào ấp (thửa Nhân) tờ bản | END=đất ông Quỳ 50 đất số 201, đồ số 77) | FLAGS=
ID=NQ28-086-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Đường An | START=hết ranh ĐT 759B số 380, số 73) | END=thửa đất tờ bản đồ 50 | FLAGS=
ID=NQ28-086-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=90,72,49 | ROAD=Đường nhựa H8 Đường | START=Ngã tư ĐT 759B ông Viện | END=máy trà 112 (hết | FLAGS=
ID=NQ28-086-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=90,72,49 | ROAD=Đường nhựa giáp ranh Toàn Tân Thành - Tân Tiến | START=ranh thửa 170, tờ 80) tuyến | END=đất số bản đồ số 112 | FLAGS=
ID=NQ28-086-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Đường An (Đường Đào Tiên) | START=Ngã ba ĐT 759B Thái Hoàng | END=nhà ông 50 Déng | FLAGS=
ID=NQ28-086-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=40,32,32 | ROAD=Đường bê tông, nhựa (bên cạnh Cây xăng Đường Thanh xổ) | START=ĐT 759B Hết tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Đường Bình (cổng chào Tân Bình) | START=ĐT 759B Hết tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Đường Hòa (bên cạnh Cây xăng Hoàng Trọng) | START=ĐT 759B Kênh nhánh | END=N12 50 | FLAGS=
ID=NQ28-086-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa ấp Tân Thuận (trại cá Tư Đường Nghĩa) | START=Ngã ba ĐT 759B Bế Văn | END=nhà ông 50 Ba | FLAGS=
ID=NQ28-086-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa giáp ranh Tân Tiến - Thanh Hòa Toàn (ấp 2 Thạnh Hòa) | START=tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=40,32,32 | ROAD=Đường nhựa giáp ranh Tân Tiến - Thanh Hòa Toàn (ấp 6 Thanh Hòa) | START=tuyến | END=50 | FLAGS=
ID=NQ28-086-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=84,67,44 | ROAD=Đường liên xã Lộc An Giáp - Lộc Tấn cũ Thạnh | START=ranh xã Lộc Giáp ranh Tấn | END=xã Lộc 105 | FLAGS=
ID=NQ28-086-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=84,67,44 | ROAD=Đường liên xã Lộc An Nông - Lộc Tấn cũ | START=Thửa trường II tờ bản | END=đất số 16, 105 đồ số 119 | FLAGS=
ID=NQ28-086-S01-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=84,67,44 | ROAD=Đường liên xã Lộc An Thửa - Lộc Tấn cũ tờ bản | START=đất số 16, Ngã ba đồ số 119 | END=Trạm y tế 105 | FLAGS=
ID=NQ28-086-S01-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=84,67,44 | ROAD=Đường liên xã Lộc An Ngã - Lộc Tấn cũ | START=Giáp ranh ba Trạm y tế Quáng | END=xã Lộc 105 | FLAGS=
ID=NQ28-086-S01-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=40,32,32 | ROAD=Các tuyến đường giao thông | START=nông thôn từ 3,5m | END=trở lên 50 | FLAGS=
ID=NQ28-086-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=40,32,32 | ROAD=Các tuyến đường còn Toàn lại | START=tuyến | END=50 | FLAGS=
