TABLE=058 | AREA=Phường Minh Hưng | RECORDS=236 | GROUPS=236 | REVIEW=10
ID=NQ28-058-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=700,560,336 | ROAD=58. Phường Minh Hưng Tên đường giao TT thông Phía đường Đường ĐT 751 (Ranh Chơn | START=Đoạn đường Phía giới Bắc: Ngã ba tờ Ngô Đức Kế Phía giới phường đường Thành) ranh Chơn | END=Giá trồng cây năm Bắc: Hết ranh thửa đất số 69, bản đồ số 140; Nam: Ngã ba bê tông giới phường Thành | FLAGS=
ID=NQ28-058-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=394,315,189 | ROAD=Phía đường đường Đường ĐH 06 Nam: đường ĐH | START=Bắc: Ngã ba số 36 và Hết ĐH 06; Phía Thành Ngã ba Minh) bê tông và 06 | END=tuyến (ranh giới phố Hồ Chí | FLAGS=
ID=NQ28-058-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=394,315,189 | ROAD=Đường Ngô Đức Kế (Ranh giới Đường phường Chơn Thành) | START=Ngã ĐT 751 Đức số | END=ba đường Ngô Kế và đường 3A | FLAGS=
ID=NQ28-058-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=394,315,189 | ROAD=Đường Ngô Đức Ngã Kế (Ranh giới Đức phường Chơn số Thành) | START=ba đường Ngô Kế và đường Hết 3A | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=276,221,132 | ROAD=Đường số 1 - Khu Đường phố Minh Long 6 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=394,315,189 | ROAD=Đường số 2 - Khu Đường phố Minh Long 6 | START=ĐT 751 Đường | END=ĐH 06 | FLAGS=
ID=NQ28-058-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=394,315,189 | ROAD=Đường số 3 - Khu Đường phố Minh Long 6 | START=Ngã và ĐT 751 (Nhà phố | END=tư đường số 3 đường số 3A Văn hóa Khu Minh Long 6) | FLAGS=
ID=NQ28-058-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=276,221,132 | ROAD=Đường số 3A - Khu Đường phố Minh Long 6 Kế | START=Ngô Đức Đường | END=số 7 | FLAGS=
ID=NQ28-058-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=276,221,132 | ROAD=Đường số 3B - Khu Đường phố Minh Long 6 | START=số 3 Đường | END=số 7 | FLAGS=
ID=NQ28-058-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=276,221,132 | ROAD=Đường số 3C - Khu Đường phố Minh Long 6 | START=số 3A Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=276,221,132 | ROAD=Đường số 4 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=276,221,132 | ROAD=Đường số 5 - Khu Đường phố Minh Long 6 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=276,221,132 | ROAD=Đường số 6 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết Phía | END=tuyến Tây: Hết ranh | FLAGS=
ID=NQ28-058-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=394,315,189 | ROAD=Đường số 7 - Khu Đường phố Minh Long 1 | START=thửa bản ĐT 751 Phía đường đường | END=đất số 72, tờ đồ số 131; Đông: Ngã ba số 3 và số 7 | FLAGS=
ID=NQ28-058-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=394,315,189 | ROAD=Phía Đường số 7 - Khu thửa phố Minh Long 1 và bản Khu phố Minh Long Phía | START=Tây: Hết ranh đất số 72, tờ đồ số 131; Hết Đông: Ngã ba | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0007-02 | SEC=agricultural | TT=7 | REL=main | PRICES= | ROAD=đường đường | START=số 3 và số 7 | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=276,221,132 | ROAD=Đường số 8 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=276,221,132 | ROAD=Đường số 9 - Khu Đường phố Minh Long 1 | START=ĐT751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=276,221,132 | ROAD=Đường số 10 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=276,221,132 | ROAD=Đường số 11 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=276,221,132 | ROAD=Đường số 12 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=276,221,132 | ROAD=Đường số 13 - Khu phố Minh Long 1 và Đường Khu phố Minh Long | START=ĐT 751 Đường | END=số 52 | FLAGS=
ID=NQ28-058-S01-TT0007-03 | SEC=agricultural | TT=7 | REL=main | PRICES= | ROAD=Đường số 13 - Khu | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=276,221,132 | ROAD=phố Minh Long 1 và Đường Khu phố Minh Long | START=số 52 Đường | END=ĐH 05 | FLAGS=
ID=NQ28-058-S01-TT0007-04 | SEC=agricultural | TT=7 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=276,221,132 | ROAD=Đường số 15 - Khu Đường phố Minh Long 1 | START=ĐT 751 Đường | END=số 52 | FLAGS=
ID=NQ28-058-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=276,221,132 | ROAD=Đường số 16 - Khu Đường phố Minh Long 2 | START=ĐT 751 Đường | END=số 18 | FLAGS=
ID=NQ28-058-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=276,221,132 | ROAD=Đường số 17 - Khu Đường phố Minh Long 2 | START=ĐT 751 Đường | END=số 52 | FLAGS=
ID=NQ28-058-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=276,221,132 | ROAD=Đường số 18 - Khu Đường phố Minh Long 2 | START=ĐT751 Đường | END=số 16 | FLAGS=
ID=NQ28-058-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=276,221,132 | ROAD=Đường số 20 - Khu Đường phố Minh Long 2 | START=ĐT751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=276,221,132 | ROAD=Đường số 21 - Khu Đường phố Minh Long 2 | START=ĐT751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=276,221,132 | ROAD=Đường số 22 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=276,221,132 | ROAD=Đường số 23 - Khu Đường phố Minh Long 2 | START=Ranh thửa ĐT 751 thửa bản | END=phía Bắc đất số 56 và đất số 60 tờ đồ số 137 | FLAGS=
ID=NQ28-058-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=276,221,132 | ROAD=Ranh Đường số 23 - Khu thửa phố Minh Long 2 thửa bản | START=phía Bắc đất số 56 và Đường đất số 60 tờ đồ số 137 | END=số 29 | FLAGS=
ID=NQ28-058-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=276,221,132 | ROAD=Đường số 24 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=276,221,132 | ROAD=Đường số 25 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=276,221,132 | ROAD=Đường số 26 - Khu Đường phố Minh Long 2 | START=Ranh thửa ĐT 751 bản đất đồ | END=phía Bắc đất số 103 tờ đồ 136 và thửa số 405 tờ bản số 137 | FLAGS=
ID=NQ28-058-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=276,221,132 | ROAD=Ranh thửa Đường số 26 - Khu bản phố Minh Long 2 đất đồ | START=phía Bắc đất số 103 tờ đồ 136 và thửa Hết số 405 tờ bản số 137 | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=276,221,132 | ROAD=Đường số 27 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=276,221,132 | ROAD=Đường số 28 - Khu Đường phố Minh Long 3 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=394,315,189 | ROAD=Đường số 29 - Khu Đường phố Minh Long 2 | START=Phía đường ĐT 751 Đông: thửa bản | END=Tây: Ngã ba số 33; Phía Hết ranh đất số 189, tờ đồ số 130 | FLAGS=
ID=NQ28-058-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=394,315,189 | ROAD=Phía đường Đường số 29 - Khu Đông: phố Minh Long 2 thửa bản | START=Tây: Ngã ba Phía số 33; Phía đường Hết ranh Phía đất số 189, tờ ranh đồ số 130 tờ | END=Tây: Ngã ba số 29B; Đông: Hết thửa đất số 2, bản đồ số 130 | FLAGS=
ID=NQ28-058-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=394,315,189 | ROAD=Phía đường Đường số 29 - Khu Phía phố Minh Long 2 ranh tờ | START=Tây: Ngã ba số 29B; Đông: Hết Đường thửa đất số 2, bản đồ số 130 | END=ĐH 15 | FLAGS=
ID=NQ28-058-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=276,221,132 | ROAD=Đường số 29A - Khu phố Minh Long Đường | START=số 29 Đường | END=số 29B | FLAGS=
ID=NQ28-058-S01-TT0002-02 | SEC=agricultural | TT=2 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=276,221,132 | ROAD=Đường số 29B - Khu phố Minh Long Suối | START=Bà Và Suối | END=1 | FLAGS=
ID=NQ28-058-S01-TT0002-03 | SEC=agricultural | TT=2 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=276,221,132 | ROAD=Đường số 30 - Khu Đường phố Minh Long 3 | START=Ranh thửa ĐT 751 thửa bản | END=phía Nam đất số 97 và đất số 98 tờ đồ 136 | FLAGS=
ID=NQ28-058-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=276,221,132 | ROAD=Ranh Đường số 30 - Khu thửa phố Minh Long 3 thửa bản | START=phía Nam đất số 97 và Hết đất số 98 tờ đồ 136 | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=276,221,132 | ROAD=Đường số 31 - Khu Đường phố Minh Long 2 | START=Ngã tông ĐT 751 Bắc tờ | END=ba đường Bê (Ranh phía thửa đất số 11 bản đồ số 137) | FLAGS=
ID=NQ28-058-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32 - Khu Đường phố Minh Long 3 | START=ĐT 751 Đường | END=số 40 | FLAGS=
ID=NQ28-058-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32 - Khu Đường phố Minh Long 3 | START=số 40 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32A - Khu phố Minh Long Đường | START=số 32 Đường | END=số 30 | FLAGS=
ID=NQ28-058-S01-TT0003-02 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32B - Khu phố Minh Long Đường | START=số 32 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0003-03 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32C - Khu phố Minh Long Đường | START=số 32 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0003-04 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=276,221,132 | ROAD=Đường số 33 - Khu Đường phố Minh Long 2 | START=ĐT 751 Đường | END=số 35 | FLAGS=
ID=NQ28-058-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=276,221,132 | ROAD=Đường số 34 - Khu Đường phố Minh Long 3 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=276,221,132 | ROAD=Đường số 35 - Khu Đường phố Minh Long 2 | START=Ngã ĐT 751 đường | END=ba đường số 33 và 35 | FLAGS=
ID=NQ28-058-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=276,221,132 | ROAD=Đường số 35 - Khu Ngã phố Minh Long 2 đường | START=ba đường Đường số 33 và 35 | END=số 51 | FLAGS=
ID=NQ28-058-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=394,315,189 | ROAD=Đường số 36 - Khu Đường phố Minh Long 3 | START=Ngã ĐT 751 40 | END=tư đường số | FLAGS=
ID=NQ28-058-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=394,315,189 | ROAD=Đường số 36 - Khu Ngã phố Minh Long 3 40 | START=Mương tư đường số - Khu Long Cao) | END=thoát nước phố Minh 3 (Cầu Bưng | FLAGS=
ID=NQ28-058-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=394,315,189 | ROAD=Mương Đường số 36 - Khu - Khu phố Minh Long 3 Long Cao) | START=thoát nước phố Minh Đường 3 (Cầu Bưng | END=ĐH 06 | FLAGS=
ID=NQ28-058-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=276,221,132 | ROAD=Đường số 37 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=394,315,189 | ROAD=Đường số 38 - Khu Đường phố Minh Long 3 | START=Ngã ĐT 751 40 | END=ba đường số | FLAGS=
ID=NQ28-058-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=394,315,189 | ROAD=Đường số 38 - Khu Ngã phố Minh Long 3 40 | START=ba đường số Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=276,221,132 | ROAD=Đường số 39 - Khu Đường phố Minh Long 4 | START=ĐT751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=276,221,132 | ROAD=Đường số 40- Khu Đường phố Minh Long 3 | START=số 32 Đường Mương | END=số 38 thoát nước | FLAGS=
ID=NQ28-058-S01-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=394,315,189 | ROAD=Đường số 41 - Khu Đường phố Minh Long 4 | START=- Khu ĐT 751 Long thửa bản | END=phố Minh 4 (Hết ranh đất số 161 tờ đồ số 128) | FLAGS=
ID=NQ28-058-S01-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=394,315,189 | ROAD=Mương - Khu Đường số 41 - Khu Long phố Minh Long 4 thửa bản | START=thoát nước phố Minh 4 (Hết ranh Hết đất số 161 tờ đồ số 128) | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=276,221,132 | ROAD=Đường số 43A- Khu phố Minh Long Đường | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0004-02 | SEC=agricultural | TT=4 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0076-01 | SEC=agricultural | TT=76 | REL=main | PRICES=276,221,132 | ROAD=Đường số 43B- Khu phố Minh Long Đường | START=Ngã ĐT 751 tông | END=tư đường bê và đường số | FLAGS=
ID=NQ28-058-S01-TT0004-03 | SEC=agricultural | TT=4 | REL=main | PRICES= | ROAD= | START=43B Ranh | END=phía Tây | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0077-01 | SEC=agricultural | TT=77 | REL=main | PRICES=276,221,132 | ROAD=Đường số 44- Khu Đường phố Minh Long 5 | START=Nam số ĐH 06 số số số | END=các thửa đất 292 tờ bản đồ 146 và thửa đất 293 tờ bản đồ 122 | FLAGS=
ID=NQ28-058-S01-TT0078-01 | SEC=agricultural | TT=78 | REL=main | PRICES=276,221,132 | ROAD=Ranh Nam Đường số 44- Khu số phố Minh Long 5 số số số | START=phía Tây các thửa đất 292 tờ bản đồ Đường 146 và thửa đất 293 tờ bản đồ 122 | END=ĐH 06 | FLAGS=
ID=NQ28-058-S01-TT0079-01 | SEC=agricultural | TT=79 | REL=main | PRICES=394,315,189 | ROAD=Đường số 45 - Khu Đường phố Minh Long 4 | START=Ngã tông Minh ĐT 751 ranh 179 128) | END=tư đường bê - Khu phố Long 4 (hết thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-058-S01-TT0080-01 | SEC=agricultural | TT=80 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường số 45 - Khu tông phố Minh Long 4 Minh ranh | START=tư đường bê - Khu phố Hết Long 4 (hết thửa đất số | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0081-01 | SEC=agricultural | TT=81 | REL=main | PRICES=276,221,132 | ROAD=179 128) Đường số 47- Khu Đường phố Minh Long 4 | START=tờ bản đồ số Ranh thửa ĐT 751 thửa bản | END=phía Bắc các đất số 55 và đất số 58 tờ đồ số 127 | FLAGS=
ID=NQ28-058-S01-TT0082-01 | SEC=agricultural | TT=82 | REL=main | PRICES=276,221,132 | ROAD=Ranh Đường số 47- Khu thửa phố Minh Long 4 thửa bản | START=phía Bắc các đất số 55 và Đường đất số 58 tờ đồ số 127 | END=số 45 | FLAGS=
ID=NQ28-058-S01-TT0083-01 | SEC=agricultural | TT=83 | REL=main | PRICES=276,221,132 | ROAD=Đường số 49- Khu Đường phố Minh Long 4 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0084-01 | SEC=agricultural | TT=84 | REL=main | PRICES=394,315,189 | ROAD=Đường số 51 - Khu Đường phố Minh Long 4 | START=số 41 Đường | END=số 29 | FLAGS=
ID=NQ28-058-S01-TT0085-01 | SEC=agricultural | TT=85 | REL=main | PRICES=276,221,132 | ROAD=Đường số 52- Khu Đường phố Minh Long 4 | START=ĐH05 Đường | END=số 3 | FLAGS=
ID=NQ28-058-S01-TT0086-01 | SEC=agricultural | TT=86 | REL=main | PRICES=700,560,336 | ROAD=Ranh Chơn Đường Quốc lộ 13 tư Cao | START=giới phường Thành (ngã Ngã giao với đường 89, Bá Quát) | END=tư đường số đường số 20 | FLAGS=
ID=NQ28-058-S01-TT0087-01 | SEC=agricultural | TT=87 | REL=main | PRICES=700,560,336 | ROAD=Ngã Đường Quốc lộ 13 89, | START=tư đường số Ngã đường số 20 84, | END=tư đường số đường số 97 | FLAGS=
ID=NQ28-058-S01-TT0088-01 | SEC=agricultural | TT=88 | REL=main | PRICES=700,560,336 | ROAD=Ngã Đường Quốc lộ 13 84, | START=Phía tư đường số đường đường số 97 đông ĐH01 | END=tây giáp số 35, phía giáp đường | FLAGS=
ID=NQ28-058-S01-TT0089-01 | SEC=agricultural | TT=89 | REL=main | PRICES=700,560,336 | ROAD=Phía đường Đường Quốc lộ 13 đông ĐH01 | START=tây giáp Phía số 35, phía đường giáp đường đông số | END=tây giáp ĐH 04, phía giáp đường 69 | FLAGS=
ID=NQ28-058-S01-TT0090-01 | SEC=agricultural | TT=90 | REL=main | PRICES=700,560,336 | ROAD=Phía đường Đường Quốc lộ 13 đông số | START=tây giáp Phía ĐH 04, phía đường giáp đường phía đường 69 | END=tây giáp số 36A, đông giáp số 25 | FLAGS=
ID=NQ28-058-S01-TT0091-01 | SEC=agricultural | TT=91 | REL=main | PRICES=700,560,336 | ROAD=Phía đường Đường Quốc lộ 13 phía đường | START=Phía tây giáp đường số 36A, đông đông giáp đất số 25 số | END=tây giáp số 37, phía hết ranh thửa số 36 tờ bản đồ 11 | FLAGS=
ID=NQ28-058-S01-TT0092-01 | SEC=agricultural | TT=92 | REL=main | PRICES=700,560,336 | ROAD=Phía đường Đường Quốc lộ 13 đông đất số | START=tây giáp số 37, phía Ranh hết ranh thửa Khai số 36 tờ bản đồ 11 | END=giới xã Tân | FLAGS=
ID=NQ28-058-S01-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐT752B Đường | START=Ngã Quốc lộ 13 Nông su | END=tư hết đất trường cao Minh Hưng | FLAGS=
ID=NQ28-058-S01-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐT752B Ngã | START=tư hết đất Giáp | END=ranh xã Tân | FLAGS=
