TABLE=081 | AREA=Xã Bù Đăng | RECORDS=111 | GROUPS=111 | REVIEW=2
ID=NQ28-081-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=182,146,116,32 | ROAD=81. Xã Bù Đăng Đường Quốc lộ 14 Ranh | START=Đoạn đường xã Thọ Sơn | END=Ngã ba Vườn chuối đi Đồng Nai | FLAGS=
ID=NQ28-081-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường nhựa vào Sóc (Phía đất Bù Môn số | START=ba Sóc ông Đố Tây: Từ thửa số 60, tờ bản đồ 60, Phía Đông: Hết | END=Cuối tuyến | FLAGS=
ID=NQ28-081-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=182,146,116,32 | ROAD=thửa đồ Đường Nguyễn Văn Toàn Trỗi | START=đất số 12, tờ bản số 64) tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Lê Hồng Phong 14 | START=tư đường Quốc lộ | END=Ngã tư đường D1 | FLAGS=
ID=NQ28-081-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Lê Hồng Phong Ngã | START=tư đường D1 | END=Giáp đường Lý Thường Kiệt | FLAGS=
ID=NQ28-081-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Lý Thường Kiệt Đường | START=Quốc lộ 14 | END=Ngã ba Lê Hồng Phong | FLAGS=
ID=NQ28-081-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Lý Thường Kiệt Phong | START=ba Lê Hồng | END=ĐT 755 | FLAGS=
ID=NQ28-081-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Nguyễn Thị Đường Minh Khai | START=Quốc lộ 14 | END=Ngã ba vào hồ Bra măng | FLAGS=
ID=NQ28-081-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Nguyễn Thị Đoạn Minh Khai | START=còn lại | END= | FLAGS=
ID=NQ28-081-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Nơ Trang Long Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Nguyễn Văn Cừ Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=182,146,116,32 | ROAD=Đường số 3 Xưởng Đường điều Long Đăng | START=Quốc lộ 14 | END=Ngã tư nhà ông Bọt (thửa đất số 20, tờ bản đồ số 15) | FLAGS=
ID=NQ28-081-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=182,146,116,32 | ROAD=Đường số 3 Xưởng Đoạn điều Long Đăng | START=còn lại | END= | FLAGS=
ID=NQ28-081-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=182,146,116,32 | ROAD=Đường D1 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=182,146,116,32 | ROAD=Đường bên hông nhà Đường thuốc Hà Loan | START=Quốc lộ 14 | END=Ngã ba đường Lê Lợi | FLAGS=
ID=NQ28-081-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Cầu sắt Đức Hòa (đường bên hông Đường nhà bà Yến Cain) | START=Hùng Vương | END=Cầu sắt Đức Hòa | FLAGS=
ID=NQ28-081-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Cầu sắt Đức Hòa (đường bên hông Cầu nhà bà Yến Cam) | START=sắt Đức Hòa | END=Ngã ba vị trí đập lấy nước thủy lợi Bù Môn, thôn Vĩnh Thiện | FLAGS=
ID=NQ28-081-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=182,146,116,32 | ROAD=Đường quanh hồ 7 mẫu Đường | START=Quốc lộ 14 | END=Nhà ông Lê Xuân Huy (Phía Bắc: Hết thửa đất số 150, tờ bản đồ số 9, Phía Nam: Hết thửa đất số 230, tờ bản đồ số 9) | FLAGS=
ID=NQ28-081-S01-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=182,146,116,32 | ROAD=Kết Xuân Từ Đường quanh hồ 7 mẫu bản Nam: 229, | START=ranh nhà ông Lê Huy (Phía Bắc: thửa đất số 160, tờ đồ số 9, Phía Từ thửa đất số tờ bản đồ số 9) | END=Nhà ông Hồ Minh Toàn (Phía Tây: Hết thửa đất số 192, tờ bản đồ số 9, Phía Đông: Hết thửa đất số 220, tờ | FLAGS=
ID=NQ28-081-S01-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=182,146,116,32 | ROAD=Hết Minh Từ Đường quanh hồ 7 mẫu bản Nam: | START=ranh nhà ông Hồ Toản (Phía Bắc: thửa đất số 193, tờ đồ số 9, Phía Từ thửa đất số | END=bản đồ số 9) Ngã ba giao đường Điểu Ong | FLAGS=
ID=NQ28-081-S01-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=182,146,116,32 | ROAD=49, Đường bên hông huyện Toàn đội | START=tờ bản đồ số 14) tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Ngã ba Lê Quý Đôn đi Nguyễn Thị Minh Toàn Khai | START=tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0076-01 | SEC=agricultural | TT=76 | REL=main | PRICES=182,146,116,32 | ROAD=Đường vào sóc Bù Ra Đường Mang | START=Quốc lộ 14 | END=Ngã ba cuối tuyến (Hết ranh nhà ông Điểu MRắc thửa đất số 67, tờ bản đồ số 5) | FLAGS=
ID=NQ28-081-S01-TT0077-01 | SEC=agricultural | TT=77 | REL=main | PRICES=182,146,116,32 | ROAD=Cầu Đường ĐT 755 xã | START=Đăk Chậm (ranh Phước Sơn) | END=Trung tâm hành chính xã Đoàn Kết cũ (đường D6) | FLAGS=
ID=NQ28-081-S01-TT0078-01 | SEC=agricultural | TT=78 | REL=main | PRICES=182,146,116,32 | ROAD=Trung Đường ĐT 755 xã (đường | START=tâm hành chính Đoàn Kết cũ D6) | END=Cầu Tân Minh | FLAGS=
ID=NQ28-081-S01-TT0079-01 | SEC=agricultural | TT=79 | REL=main | PRICES=182,146,116,32 | ROAD=Đường ĐT 755 Cầu | START=Tân Minh | END=Giáp ranh thị trấn Đức Phong cũ | FLAGS=
ID=NQ28-081-S01-TT0080-01 | SEC=agricultural | TT=80 | REL=main | PRICES=100,80,64,32 | ROAD=Đường Đoàn Kết - Ngã Đồng Nai | START=ba Vườn chuối | END=Hết ranh trại heo nhà ông Sang (thửa 106 tờ bản đồ 75) | FLAGS=
ID=NQ28-081-S01-TT0081-01 | SEC=agricultural | TT=81 | REL=main | PRICES=100,80,64,32 | ROAD=Giáp Đường Đoàn Kết - ông Đồng Nai bản | START=ranh trại heo nhà Sang (thửa 106 tờ đồ 75) | END=Giáp ranh xã Thọ Sơn | FLAGS=
ID=NQ28-081-S01-TT0082-01 | SEC=agricultural | TT=82 | REL=main | PRICES=100,80,64,32 | ROAD=Đường Thác Đứng Giáp | START=đường ĐT 755 | END=Ngã tư danh lam Thác Đứng | FLAGS=
ID=NQ28-081-S01-TT0083-01 | SEC=agricultural | TT=83 | REL=main | PRICES=100,80,64,32 | ROAD=Ngã Đường sân bay cũ đường (Tránh lũ) Kiệt | START=ba tiếp giáp Lý Thường | END=Đường ĐT 755 | FLAGS=
ID=NQ28-081-S01-TT0084-01 | SEC=agricultural | TT=84 | REL=main | PRICES=100,80,64,32 | ROAD=Đường Đường liên thôn Kiệt | START=Lý Thường (Quán cà phê 92) | END=Ngã ba Đường vào chùa Thanh Đức | FLAGS=
ID=NQ28-081-S01-TT0085-01 | SEC=agricultural | TT=85 | REL=main | PRICES=88,70,56,32 | ROAD=Đường Đường liên thôn ba | START=ĐT 755 (Ngã Tân Minh) | END=Dốc bà Thơm (bà Tham) | FLAGS=
ID=NQ28-081-S01-TT0086-01 | SEC=agricultural | TT=86 | REL=main | PRICES=88,70,56,32 | ROAD=Ngã Đường liên thôn Nghĩa | START=ba nhà ông Tư | END=Đi thôn Đoàn Kết (thôn 7 - Đoàn Kết cũ) (tiếp giáp đường ĐT 755) | FLAGS=
ID=NQ28-081-S01-TT0087-01 | SEC=agricultural | TT=87 | REL=main | PRICES=238,190,152,32 | ROAD=Đường ĐT 760 Ngã | START=ba Minh Hưng | END=Kết ranh nhà ông Vũ Văn Hảo (thửa | FLAGS=
ID=NQ28-081-S01-TT0088-01 | SEC=agricultural | TT=88 | REL=main | PRICES=238,190,152,32 | ROAD=Hết Đường ĐT 760 Văn bản | START=ranh nhà ông Vũ Hảo (thửa 40 tờ đồ 189) | END=40 tờ bản đồ 189) Đường bê tông phải tuyến (vào Hội trường thôn Hưng Phước) | FLAGS=
ID=NQ28-081-S01-TT0089-01 | SEC=agricultural | TT=89 | REL=main | PRICES=238,190,152,32 | ROAD=Đường Đường ĐT 760 tuyến thôn | START=bê tông phải (vào Hội trường Hưng Phước) | END=Đường bê tông phải tuyến vào Nhà hàng ẩm thực Bến Tre 2 | FLAGS=
ID=NQ28-081-S01-TT0090-01 | SEC=agricultural | TT=90 | REL=main | PRICES=238,190,152,32 | ROAD=Đường Đường ĐT 760 tuyến ẩm | START=bê tông phải vào Nhà hàng thực Bến Tre 2 | END=Đường bê tông phải tuyến (Hết thửa đất số 304 tờ bản đồ 116) | FLAGS=
ID=NQ28-081-S01-TT0091-01 | SEC=agricultural | TT=91 | REL=main | PRICES=238,190,152,32 | ROAD=Đường Đường ĐT 760 tuyến 304 | START=bê tông phải (Hết thửa đất số tờ bản đồ 116) | END=Cầu Sông Lấp (giáp ranh xã Bom Bo) | FLAGS=
ID=NQ28-081-S01-TT0092-01 | SEC=agricultural | TT=92 | REL=main | PRICES=126,101,81,32 | ROAD=Đường hai bên chợ Hành Minh Hưng chợ | START=lang nhà lồng chính | END=Hành lang bên hông nhà lồng chợ chính | FLAGS=
ID=NQ28-081-S01-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=126,101,81,32 | ROAD=Đường xâm nhập nhựa Đường | START=Quốc lộ 14 | END=Khu bảo tồn Thác Đứng Bù Đăng | FLAGS=
ID=NQ28-081-S01-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=100,80,64,32 | ROAD=Đường xâm nhập vào Hết thôn Hưng Phát (thôn 7 thôn Minh Hưng cũ) 3 | START=ranh Khu dân cư Hưng Thịnh (thôn Minh Hưng cũ) | END=Nhà ông Bùi Văn Tuy (thửa 89 tờ bản đồ 124) | FLAGS=
ID=NQ28-081-S01-TT0095-01 | SEC=agricultural | TT=95 | REL=main | PRICES=3,100,80,64,32 | ROAD=Đường xâm nhập nhựa thôn Hưng Thịnh (thôn Đường | START=ĐT 760 | END=Khu dân cư thôn Hưng Thịnh (thôn 3 | FLAGS=
ID=NQ28-081-S01-TT0003-02 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD=Minh Hưng cũ) Đường xâm nhập nhựa | START= | END=Minh Hưng cũ) | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
