TABLE=071 | AREA=Xã Lộc Hưng | RECORDS=30 | GROUPS=27 | REVIEW=0
ID=NQ28-071-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=90,72,44 | ROAD=71. Xã Lộc Hưng Đường liên xã Lộc Điền - Lộc Khánh (cũ) | START=Đoạn đường Giáp ranh xã Lộc Điền - xã Cầu Sóc Lộc Khánh (cũ) | END=Giá đất trồng cây lâu năm Lớn 112 | FLAGS=
ID=NQ28-071-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Điền - Lộc Quang (cũ) | START=Giáp Trường Giáp tiểu học A su | END=ranh lô cao 112 | FLAGS=
ID=NQ28-071-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Điền - Lộc Quang (cũ) | START=Giáp ranh lô Giáp Quang cao su | END=xã Lộc 112 (cũ) | FLAGS=
ID=NQ28-071-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Điền - Lộc Khánh (cũ) | START=Ngã ba Giáp Trường tiểu Điền học Lộc Điền Khánh A | END=ranh xã Lộc - xã Lộc 112 (cũ) | FLAGS=
ID=NQ28-071-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=134,108,44 | ROAD=Đường Quốc lộ 13 | START=Giáp cây xăng Ngã tư Đồng Phát Tâm số 388, đồ số | END=ranh đất Lộc (Thửa đất 168 tờ bản 20) | FLAGS=
ID=NQ28-071-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=134,108,44 | ROAD=Đường Quốc 1ộ 13 | START=Cây xăng Lộc Giáp Thái (cũ) Phát | END=ranh xã Lộc 168 | FLAGS=
ID=NQ28-071-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=134,108,44 | ROAD=Đường ĐT 754 | START=Ngã tư Đồng Cầu số Tâm | END=1 168 | FLAGS=
ID=NQ28-071-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=134,108,44 | ROAD=Đường ĐT 754 | START=Giáp Cầu số 1 Thịnh | END=ranh xã Lộc 168 (cũ) | FLAGS=
ID=NQ28-071-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Hưng - Lộc Thành | START=Ngã ba Giáng Cống Hương | END=Bảy Phụng 112 | FLAGS=
ID=NQ28-071-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Hưng - Lộc Thành | START=Cống Bảy Giáp Phụng Thành | END=ranh xã Lộc 112 | FLAGS=
ID=NQ28-071-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Hưng - Lộc Thái (cũ) | START=Ngã ba Đường Quốc vào ấp ranh lộ 13 Thị Dung) | END=Đường 7 (Hết 112 nhà bà Đỗ | FLAGS=
ID=NQ28-071-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Hưng - Lộc Thái (Cũ) | START=Ngã ba Đường vào ấp Giáp 7 (giáp ranh Thái (cũ) nhà bà Đỗ Thị Dung) | END=ranh xã Lộc 112 | FLAGS=
ID=NQ28-071-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Hưng - Lộc Khánh (cũ) | START=Ngã tư Đồng Cầu Suối Tám | END=1 112 | FLAGS=
ID=NQ28-071-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Hưng - Lộc Khánh (cũ) | START=Giáp Cầu Suối 1 Khánh | END=ranh xã Lộc 112 (cũ) | FLAGS=
ID=NQ28-071-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=90,72,44 | ROAD=Đường tránh Quốc lộ 13 | START=Đường Quốc Giáp Thái (cũ) lộ 13 | END=ranh xã Lộc 112 | FLAGS=
ID=NQ28-071-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=direct | PRICES=90,72,44 | FLAGS=
ID=NQ28-071-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=direct | PRICES=90,72,44 | FLAGS=
ID=NQ28-071-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=direct | PRICES=90,72,44 | FLAGS=
ID=NQ28-071-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=56,45,44 | ROAD=giá) Các tuyến đường giao thông | START=nông thôn từ 3,5m | END=trở lên 70 | FLAGS=
ID=NQ28-071-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=56,45,44 | ROAD=Các tuyến đường còn lại | START= | END=70 | FLAGS=
