TABLE=059 | AREA=Phường Chơn Thành | RECORDS=213 | GROUPS=213 | REVIEW=23
ID=NQ28-059-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=700,560,336 | ROAD=59. Phường Chơn Thành Tên đường giao TT thông Đường 02 tháng 4 Ngã (Đường Quốc lộ | START=Đoạn đường Phía đường (hết số 42, tư Chơn 84) | END=Giá trồng cây năm Đông: Giáp bê Tông ranh thửa đất tờ bản đồ số Phía Tây: Giáp | FLAGS=
ID=NQ28-059-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=394,315,189 | ROAD=Phía ranh tờ bản Đường Phạm Hồng Phía Thái (Đường số 8) đường (Hết số 106, số 12) | START=Đông: Hết thửa đất số 5, đồ số 56 Tây: Giáp Ngã bê Tông Phạm ranh thửa đất tờ bản đồ | END=tư đường Hồng Thái | FLAGS=
ID=NQ28-059-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=394,315,189 | ROAD=Đường Phạm Hồng Ngã Thái (Đường số 8) Phạm | START=Phía ngã thửa tư đường bản Hồng Thái Phía đất | END=Đông: Đến ba (Hết ranh đất số 29, tờ đồ số 49) Tây: Hết ranh thửa đất số 5, | FLAGS=
ID=NQ28-059-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=394,315,189 | ROAD=Đầu Đường Ngô Gia Tự HLBVĐB (Đường số 3) 02 | START=tờ bản Ngã tuyến (Cách tông - Đường đất tháng 4: 25m) đồ số | END=đồ số 49 tư đường bê (hết ranh thửa số 15, tờ bản 72) | FLAGS=
ID=NQ28-059-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường Ngô Gia Tự tông (Đường số 3) đất đồ | START=tư đường bê (hết ranh thửa Cuối số 15, tờ bản Nguyễn số 72) | END=tuyến (đường Huệ) | FLAGS=
ID=NQ28-059-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=394,315,189 | ROAD=Đường Hoàng Hoa Toàn Thám (D1) | START=tuyến | END= | FLAGS=
ID=NQ28-059-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=394,315,189 | ROAD=Đường Phạm Ngọc Toàn Thạch (D9) | START=tuyến | END= | FLAGS=
ID=NQ28-059-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=394,315,189 | ROAD=Trung Đường Nguyễn chính Văn Linh Chơn | START=tâm hành Ngã phường Bá Thành | END=tư đường Cao Quát | FLAGS=
ID=NQ28-059-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=394,315,189 | ROAD=Đường Phan Đình Toàn Giót (N1) | START=tuyến | END= | FLAGS=
ID=NQ28-059-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=394,315,189 | ROAD=Đường Phan Đình Toàn Phùng (N9) | START=tuyến | END= | FLAGS=
ID=NQ28-059-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=394,315,189 | ROAD=Các đường quy hoạch còn lại trong Toàn khu trung tâm hành chính thị xã | START=tuyến | END= | FLAGS=
ID=NQ28-059-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=394,315,189 | ROAD=Đường Phước Đường Long | START=02 tháng 4 Đường | END=D5 | FLAGS=
ID=NQ28-059-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=394,315,189 | ROAD=Đường Phước Đường Long | START=D5 Cuối Ngã | END=tuyến ba đường tổ | FLAGS=
ID=NQ28-059-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=394,315,189 | ROAD=Đường Phú Riềng Đường Đỏ (Gò Mạc cũ) | START=Khu nhà 02 tháng 4 Văn đất đồ số | END=phố 6 (Hết đất ông Nguyễn Hùng) (thửa số 69, tờ bản 34) | FLAGS=
ID=NQ28-059-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=394,315,189 | ROAD=Ngã Khu Đường Phú Riềng nhà Đỏ (Gò Mạc cũ) Văn đất đồ | START=ba đường tổ phố 6 (Hết đất Cống ông Nguyễn đất Hùng) (thửa đồ số số 69, tờ bản số 34) | END=Gò Mạc (thửa số 96, tờ bản 35) | FLAGS=
ID=NQ28-059-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=394,315,189 | ROAD=Đường Phú Riềng Cống Đỏ (Gò Mạc cũ) nối (thửa bản dài | START=Ngã Gò Mạc tông đất số 96, tờ số 48, đồ số 35) 193) | END=ba đường bê (hết thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=394,315,189 | ROAD=Đường Âu Cơ Đường (Đường tổ 7, khu Huệ phố 1) | START=Ngã Nguyễn số 4, 86 | END=tư hết thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=394,315,189 | ROAD=Đường Âu Cơ Ngã (Đường tổ 7, khu số 4, phố 1) 86 | START=tư hết thửa đất Đường tờ bản đồ số Quân | END=Lạc Long | FLAGS=
ID=NQ28-059-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=394,315,189 | ROAD=Đường Cao Thắng Đường (Đường tổ 3, tổ 4, Huệ Khu phố Hiếu lộ 14) Cảm) | START=Nguyễn Hết (Đường Quốc số 771, số 27) | END=ranh thửa đất tờ bản đồ | FLAGS=
ID=NQ28-059-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=394,315,189 | ROAD=Đường Cao Thắng Hết (Đường tổ 3, tổ 4, số 771, khu phố Hiếu Cảm) số 27) | START=ranh thửa đất Cầu tờ bản đồ đất Long) | END=Suối Đĩa (Hết ông Hoàng Văn | FLAGS=
ID=NQ28-059-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=394,315,189 | ROAD=Đường Cao Thắng cầu (Đường tổ 3, tổ 4, đất khu phố Hiếu Cảm) Long) | START=Suối Đĩa (Hết Hết ông Hoàng Văn 110KV | END=đường điện | FLAGS=
ID=NQ28-059-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=394,315,189 | ROAD=Đường Cao Thắng Đầu (Đường tổ 3, tổ 4, 110KV khu phố Hiếu Cảm) | START=đường điện Đường Minh | END=Hồ Chí | FLAGS=
ID=NQ28-059-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=358,286,172 | ROAD=Đường tổ 4, Khu Đoạn phố Trung Lợi Nguyễn | START=Ngã từ đường tông đất Huệ tờ bản | END=tư đường bê (Hết ranh thửa số 282 và 279, đồ số 20) | FLAGS=
ID=NQ28-059-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=358,286,172 | ROAD=Ngã Đường tổ 4, khu tông đất phố Trung Lợi tờ bản | START=Phía tư đường bê hết (Hết ranh thửa số 142, số 282 và 279, số 20 đồ số 20) Giáp | END=Đông: Ngã ba ranh thửa đất tờ bản đồ Phía Tây: đường đất hết | FLAGS=
ID=NQ28-059-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=358,286,172 | ROAD=Phía hết số 142, Đường tổ 4, khu số 20 phố Trung Lợi Giáp thửa | START=thửa bản Đông: Ngã ba ranh thửa đất tờ bản đồ Đường Phía Tây: đường đất hết đất số 158, tờ | END=đất Số 158, tờ đồ số 20 Lê Duẩn | FLAGS=
ID=NQ28-059-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=394,315,189 | ROAD=bản Đường Đường Lê Duẩn Huệ | START=đồ số 20 Ngã Nguyễn số 1172, số 20 Phía | END=tư hết thửa đất tờ bản đồ Đông: Giáp | FLAGS=
ID=NQ28-059-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường Lê Duẩn số 325, số 20 | START=thửa tư hết thửa đất bản tờ bản đồ Phía đường thửa bản | END=đất số 372, tờ đồ số 13 Tây: Giáp bê tông đất số 143, tờ đồ số 13 | FLAGS=
ID=NQ28-059-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=394,315,189 | ROAD=Phía thửa bản Đường Lê Duẩn Phía đường thửa bản | START=Đông: Giáp Phía đất số 372, tờ thửa đồ số 13 bản Tây: Giáp Phía bê tông đường đất số 143, tờ đất đồ số 13 đồ số | END=Đông: Giáp đất số 99, tờ đồ số 3 Tây: Giáp đất (thửa số 100, tờ bản 3) | FLAGS=
ID=NQ28-059-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=394,315,189 | ROAD=Phía thửa bản Đường Lê Duẩn Phía đường đất | START=Đông: Giáp đất số 99, tờ đồ số 3 Giáp Tây: Giáp Bá đất (thửa số 100, tờ bản | END=đường Cao Quát | FLAGS=
ID=NQ28-059-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=358,286,172 | ROAD=đồ Đường Ngô Tất Tố (Đường Khu phố 9, Đầu Hưng Long (cũ) đi 39, Minh Hưng) | START=số 3) thửa đất số Giáp tờ bản đồ số 58 Văn | END=đường Huỳnh Bánh | FLAGS=
ID=NQ28-059-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=394,315,189 | ROAD=Đường Cao Bá Quát (Đường ranh Đường giới Chơn Thành - Minh Hưng) | START=Đường 02 tháng 4 Văn | END=Nguyễn Linh | FLAGS=
ID=NQ28-059-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=394,315,189 | ROAD=Đường Cao Bá Quát (Đường ranh Đường giới Chơn Thành - Văn Minh Hưng) | START=Nguyễn Ranh Linh Minh | END=giới phường Thành (cũ) | FLAGS=
ID=NQ28-059-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=394,315,189 | ROAD=Đường Cao Bá Quát (Đường ranh Đường giới Chơn Thành - Minh Hưng) | START=Ngã 02 tháng 4 khu | END=ba tổ 9 -10, phố 10 | FLAGS=
ID=NQ28-059-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=394,315,189 | ROAD=Đường Cao Bá Quát (Đường ranh Ngã giới Chơn Thành - Khu Minh Hưng (cũ)) | START=Giáp ba tổ 9 -10, Minh phố 10 đất đồ số | END=ranh phường Hưng (thửa số 815, tờ bản 1) | FLAGS=
ID=NQ28-059-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=358,286,172 | ROAD=Đường Phùng Hưng (Đường liên Đường tổ 9, 10 khu phố 10, phường Hưng Long (cũ)) | START=Ngã 02 tháng 4 10, | END=tư đường tổ 9 - khu phố 10 | FLAGS=
ID=NQ28-059-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=358,286,172 | ROAD=Đường Phùng Hưng (Đường liên Ngã tổ 9, 10, khu phố - 10, 10, phường Hưng Long (cũ)) | START=Ngã tư đường tổ 9 khu đất khu phố 10 đồ số | END=ba đường tổ 9, phố 10 (thửa số 1185, tờ bản 6) | FLAGS=
ID=NQ28-059-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=394,315,189 | ROAD=Đường Trừ Văn Đường Thố (Đường 239 Huệ cũ) | START=Phía tổ 6, (Hết Nguyễn phòng Phía thửa bản | END=Bắc: Ngã ba Khu phố 8 ranh đất văn Khu phố 4) Nam: hết ranh đất số 173, tờ đồ số 82 | FLAGS=
ID=NQ28-059-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=394,315,189 | ROAD=Phía tổ 6, Đường Trừ Văn (Hết Thố (Đường 239 phòng cũ) Phía thửa bản | START=Bắc: Ngã ba Phía Khu phố 8 đường ranh đất ăn bệnh Khu phố 4) Nam: Nam: Hết ranh thửa đất số 173, tờ bản đồ số 82 | END=Bắc: Ngã ba bê tông sau viện cũ Phía Hết ranh đất đất số 4, tờ đồ số 25 | FLAGS=
ID=NQ28-059-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=394,315,189 | ROAD=Phía đường Đường Trừ Văn bệnh Thổ (Đường 23 9 Nam: cũ) thửa bản | START=Phía Bắc: Ngã ba giới bê tông sau Hưng viện cũ Phía 55, Hết ranh đất 67) đất số 4, tờ giới đồ số 25 Hưng 6, tờ | END=Bắc: Ranh phường Minh (thửa đất số tờ bản đồ số Phía Bắc; Ranh phường Minh (thửa đất số bản đồ số 29) | FLAGS=
ID=NQ28-059-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=358,286,172 | ROAD=Đường liên khu phố 4, khu phố 5 đến Khu công nghiệp Chơn Đường Thành (Đường sỏi Toản đỏ liên khu 4-5-8 phường Hưng Long (cũ)) | START=Phía đường phố thửa Trần Quốc bản Phía ranh 63, 103) | END=Bắc: Ngã ba tổ 4, Khu 5 (Hết ranh đất số 19, tờ đồ số 103) Nam: Hết thửa đất số tờ bản đồ số | FLAGS=
