TABLE=070 | AREA=Xã Lộc Thành | RECORDS=33 | GROUPS=33 | REVIEW=1
ID=NQ28-070-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=134,108,44 | ROAD=70. Xã Lộc Thành Tên đường giao TT thông Giáp xã Bình Đường Quốc lộ 13 (cũ) Lê) | START=Đoạn đường ranh thị Long Ngã tư Đồng (Cầu Cần Tâm | END=Giá đất Giá trồng trồng cây lâu hằng năm 168 | FLAGS=
ID=NQ28-070-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=84,67,44 | ROAD=Ngã Đường liên xã Lộc xăng Thành - Lộc Hưng Thành | START=ba cây Giáp ranh Lộc Hưng | END=xã Lộc 105 | FLAGS=
ID=NQ28-070-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=84,67,44 | ROAD=Ngã Đường liên xã Lộc xăng Thành - Lộc Thiện (cũ) Thành | START=ba cây Giáp ranh Lộc Thiện (cũ) | END=xã Lộc 105 | FLAGS=
ID=NQ28-070-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=84,67,44 | ROAD=Đường liên xã Lộc Ngã Thành - Lộc Thái (cũ) Bình | START=ba Lộc Giáp ranh Thái (cũ) | END=xã Lộc 105 | FLAGS=
ID=NQ28-070-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=84,67,44 | ROAD=Đường qua trung tâm Nhà ấp Tà xã Lộc Thành | START=văn hóa Nhà văn hóa Tê 1 Kliêu | END=ấp 105 | FLAGS=
ID=NQ28-070-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=84,67,44 | ROAD=Nhà Đường liên ấp ấp KLiêu | START=văn hóa Ngã ba nhà Lâm Kh Lao | END=ông 105 | FLAGS=
ID=NQ28-070-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=48,38,38 | ROAD=Ngã Đường liên ấp ông Lao | START=ba nhà Trại heo Huy Lâm Kh (Lộc Ninh | END=Anh 60 5) | FLAGS=
ID=NQ28-070-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=48,38,38 | ROAD=Nhà Đường liên ấp ấp Tà | START=văn hóa Đập nước Tê 1 | END=Tà Tê 60 | FLAGS=
ID=NQ28-070-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=48,38,38 | ROAD=Ngã Đường liên ấp ông Kỳ | START=ba nhà Thửa đất Mã Hữu 65 tờ bản 37 | END=số 63, đồ số 60 | FLAGS=
ID=NQ28-070-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=48,38,38 | ROAD=Xưởng Đường liên ấp Lộc | START=Giáp đường đũa ấp Tà Tê Hà Tê 2 | END=liên 1 - Tà 60 | FLAGS=
ID=NQ28-070-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=48,38,38 | ROAD=Đập Đường liên ấp Tà Tê 2 Tê 2 | START=Đường Quốc nước Tà 14C (đường Xuyên Á) | END=lộ 60 | FLAGS=
ID=NQ28-070-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=48,38,38 | ROAD=Đường liên ấp (đường Cổng | START=chào ấp Đội 4 nông | END=60 | FLAGS=
ID=NQ28-070-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=48,38,38 | ROAD=cổng chào ấp Tân Tân Bình 1) Thửa Đường nhựa Tân Bình tờ bản | START=trường cao Bình 1 Lộc Ninh số 05, Thửa số 24, đồ số | END=su tờ 60 | FLAGS=
ID=NQ28-070-S01-TT0001-02 | SEC=agricultural | TT=1 | REL=main | PRICES= | ROAD=10 | START=bản đồ số | END=10 | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-070-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=48,38,38 | ROAD=Các tuyến đường giao thông đường theo bản đồ địa chính | START=nông thôn có bề rộng từ 3,5m trở lên | END=60 | FLAGS=
ID=NQ28-070-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=48,38,38 | ROAD=Các tuyến đường còn lại | START= | END=60 | FLAGS=
