TABLE=062 | AREA=Phường An Lộc | RECORDS=200 | GROUPS=200 | REVIEW=10
ID=NQ28-062-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=490,392,274 | ROAD=62. Phường An Lộc Tên đường giao TT thông Đường Nguyễn Đường Trần Huệ | START=Đoạn đường Đường Hưng Đạo Vương | END=Giá cây Hùng | FLAGS=
ID=NQ28-062-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=280,224,157 | ROAD=Đường Nơ Trang Đường ray Long | START=Đường xe lửa Học | END=Nguyễn Thái | FLAGS=
ID=NQ28-062-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=280,224,157 | ROAD=Đường Nơ Trang Đường Nguyễn Long | START=Huệ Đường | END=Nguyễn Du | FLAGS=
ID=NQ28-062-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=280,224,157 | ROAD=Đường Nơ Trang Đường Nguyễn Long | START=Du Đường | END=ray xe lửa | FLAGS=
ID=NQ28-062-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=280,224,157 | ROAD=Đường Bà Triệu Đường Hai | START=Bà Trưng Đường | END=Nguyễn Du | FLAGS=
ID=NQ28-062-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=280,224,157 | ROAD=Đường Hai Bà Đường Trần Trưng | START=Hưng Đạo Đường | END=Bà Triệu | FLAGS=
ID=NQ28-062-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=280,224,157 | ROAD=Đường Hai Bà Đường Bà Trưng | START=Triệu Cầu | END=Ba Tặng | FLAGS=
ID=NQ28-062-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=280,224,157 | ROAD=Đường Hai Bà Cầu Ba Trưng | START=Đường Tặng Học | END=Nguyễn Thái | FLAGS=
ID=NQ28-062-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=280,224,157 | ROAD=Đường Hồ Tùng Mậu (Đường PTT Đường Trần | START=Hưng Đạo Đường | END=Bà Triệu | FLAGS=
ID=NQ28-062-S01-TT0006-02 | SEC=agricultural | TT=6 | REL=main | PRICES= | ROAD=cũ) | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=280,224,157 | ROAD=Đường Nguyễn Đường Nguyễn Thái Học | START=Huệ Đường | END=TPT 18 | FLAGS=
ID=NQ28-062-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=280,224,157 | ROAD=Đường Nguyễn Đường TPT Thái Học | START=Đường 18 Trưng | END=Hai Bà | FLAGS=
ID=NQ28-062-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=280,224,157 | ROAD=Đường Nguyễn Đường Hai Thái Học | START=Bà Trưng Ranh | END=xã Tân Quan | FLAGS=
ID=NQ28-062-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=280,224,157 | ROAD=Thửa đất Đường PTT 5 đồ số 6 | START=số 168, tờ bản Suối | END= | FLAGS=
ID=NQ28-062-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=280,224,157 | ROAD=Đường PTT 7 Giáp lô cao | START=Hết su Nhà nước tờ | END=thửa đất số 36, bản đồ số 07 | FLAGS=
ID=NQ28-062-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=280,224,157 | ROAD=Đường PTT 8 Đường ĐT | START=758 Đường | END=PTT 7 | FLAGS=
ID=NQ28-062-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=280,224,157 | ROAD=Đường PTT 9 Đường ĐT | START=758 Cuối | END=đường | FLAGS=
ID=NQ28-062-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=280,224,157 | ROAD=Đường PTT 10 Đường Trần | START=Hưng Đạo Cuối | END=đường | FLAGS=
ID=NQ28-062-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=280,224,157 | ROAD=Đường PTT 11 Đường Nơ | START=Trang Long Nguyễn | END=Du | FLAGS=
ID=NQ28-062-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=280,224,157 | ROAD=Đường PTT 22 Thửa đất (Nguyễn Thái số 2 (Ngã Học nối dài) | START=số 02, tờ bản đồ Ngã ba ông Dân) bà | END=ba cuối đất nhà Long | FLAGS=
ID=NQ28-062-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=252,202,141 | ROAD=Đường tổ 2 KP Đường Nơ Phú Xuân | START=Trang Long Đường | END=Nguyễn Du | FLAGS=
ID=NQ28-062-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=252,202,141 | ROAD=Đường bê tông nằm trên ray xe Đường Trần lửa | START=Hưng Đạo Đường | END=PTT 4 | FLAGS=
ID=NQ28-062-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=252,202,141 | ROAD=Đường Nguyễn Đường bê Tông đất số 66, | START=Du (thửa Đường tờ bản đồ số 5) | END=ray xe lửa | FLAGS=
ID=NQ28-062-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=420,336,235 | ROAD=Đường Quốc lộ Đường TLT | START=Hết 3 | END=ranh đất nhà | FLAGS=
ID=NQ28-062-S01-TT0013-02 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=ông | END=Tuyến Nhật | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=490,392,274 | ROAD=Đường Quốc lộ Giáp ranh | START=đất nhà ông Đường | END=TLT 18 | FLAGS=
ID=NQ28-062-S01-TT0013-03 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=Tuyến Nhật | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=490,392,274 | ROAD=Đường Quốc lộ Đường TLT | START=18 Đường | END=TLT 15 | FLAGS=
ID=NQ28-062-S01-TT0013-04 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=490,392,274 | ROAD=Đường Quốc lộ Đường TLT | START=Đường 15 | END=vào nhà máy | FLAGS=
ID=NQ28-062-S01-TT0013-05 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=xi | END=măng | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=490,392,274 | ROAD=Đường Quốc lộ Đường vào | START=nhà máy xi Giáp | END=ranh xã Lộc | FLAGS=
ID=NQ28-062-S01-TT0013-06 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=măng | START=Thành | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=420,336,235 | ROAD=Đường Quốc lộ Đường Nguyễn | START=Ngã Thái Học | END=ba Sóc Bế | FLAGS=
ID=NQ28-062-S01-TT0013-07 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=(đường | END=TP T1) | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=420,336,235 | ROAD=Đường Quốc lộ Ngã ba | START=Sóc Bế (đường Hết | END=ranh đất Cây | FLAGS=
ID=NQ28-062-S01-TT0013-08 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=TPT1) | START=Xăng | END=Thạnh Phú | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=420,336,235 | ROAD=Đường Quốc lộ Giáp ranh | START=đất Cây xăng Hết | END=ranh đất Nông | FLAGS=
ID=NQ28-062-S01-TT0013-09 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=Thạnh Phú | START=Trường | END=Xa Cam | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=420,336,235 | ROAD=Đường Quốc lộ Giáp ranh | START=đất Nông Đường | END=TLT 3 | FLAGS=
ID=NQ28-062-S01-TT0013-10 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=Trường Đường bao | START=Xa Cam | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=420,336,235 | ROAD=quanh khu dân Toàn tuyến cư chợ xã Thanh Phú | START= | END= | FLAGS=
ID=NQ28-062-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=420,336,235 | ROAD=Đường ĐT 757 Đường Quốc | START=Giáp lộ 13 Hưng | END=ranh xã Tân | FLAGS=
ID=NQ28-062-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=420,336,235 | ROAD=Đường bao Toàn tuyến quanh chợ | START= | END= | FLAGS=
ID=NQ28-062-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=252,202,141 | ROAD=Đường vào nhà Đường Quốc máy xi măng | START=lộ 13 Suối | END= | FLAGS=
ID=NQ28-062-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=252,202,141 | ROAD=Đường vào nhà Suối máy xi măng | START=Cuối thảm | END=đường đã nhựa | FLAGS=
ID=NQ28-062-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=330,264,185 | ROAD=Các tuyến Khu dân cư khu dân Khang Minh chính trừ Quân nhà máy | START=đường trong cư (Đường trục tuyến Đường vào xi măng) | END= | FLAGS=
ID=NQ28-062-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=330,264,185 | ROAD=Khu dân cư Các tuyến khu dân Khang Minh Quân (đường Quân | START=đường trong cư Khang Minh còn lại) | END= | FLAGS=
ID=NQ28-062-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=330,264,185 | ROAD=Các tuyến Khu dân cư Ngọc khu dân Điền Phát Phát (đường | START=đường trong cư Ngọc Điền trục chính) | END= | FLAGS=
ID=NQ28-062-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=330,264,185 | ROAD=Các tuyến Khu dân cư Ngọc khu dân Điền Phát Phát (đường | START=đường trong cư Ngọc Điền còn lại) | END= | FLAGS=
ID=NQ28-062-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 1 Đường Quốc | START=lộ 13 Đường | END=TPT 4 | FLAGS=
ID=NQ28-062-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 1 Đường TPT | START=4 TLT | END=21 | FLAGS=
ID=NQ28-062-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=252,202,141 | ROAD=Đường bao Đường TPT 2 cư chợ xã | START=quanh khu dân Cuối Thanh Phú cấp | END=đường nâng mở rộng | FLAGS=
ID=NQ28-062-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 3 Cầu cây | START=Đường Sung | END=TPT 27 | FLAGS=
ID=NQ28-062-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 4 Đường TPT | START=1 Đường | END=TPT 12 | FLAGS=
ID=NQ28-062-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 4 Đường TPT | START=12 Hết | END=tuyến | FLAGS=
ID=NQ28-062-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=252,202,141 | ROAD=Thửa đất Đường TPT 5 số 14 thuộc Thanh Hà | START=Thửa số 28, tờ bản đồ bản tổ 4, khu phố tổ Bưng | END=đất số 126, tờ đồ số 03 thuộc 6, Khu phố Sóc | FLAGS=
ID=NQ28-062-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 6 Đường TPT | START=7 Đường | END=TPT 4 | FLAGS=
ID=NQ28-062-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 7 Đường TPT | START=8 Đường | END=TPT 4 | FLAGS=
ID=NQ28-062-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 8 Đường TPT | START=5 Đường | END=TPT 12 | FLAGS=
ID=NQ28-062-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 9 Đường ray | START=xe lửa Đường | END=TPT 5 | FLAGS=
ID=NQ28-062-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 10 Đường TPT | START=5 Đường | END=TPT 8 | FLAGS=
ID=NQ28-062-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 11 Đường TPT | START=Lô 4 Huỳnh TPT | END=cao su (nhà ông Thái), đường 22 | FLAGS=
ID=NQ28-062-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 12 Đường TPT | START=Xóm 1 Sáu), | END=(nhà ông phạm đến nghĩa địa | FLAGS=
ID=NQ28-062-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 13 Đường TPT | START=4 Đường | END=TPT 11 | FLAGS=
ID=NQ28-062-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 14 Đường TPT | START=1 Đường | END=TPT 15 | FLAGS=
ID=NQ28-062-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 15 Đường Quốc | START=lộ 13 Đường | END=TPT 1 | FLAGS=
ID=NQ28-062-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT Đường TPT 16 Chưởng | START=Lô 18 (chùa Vũ Phước) TPT | END=cao su (nhà bà Thị Ngọ), đường 20 | FLAGS=
ID=NQ28-062-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 17 Đường TPT | START=15 Đường | END=Quốc lộ 13 | FLAGS=
ID=NQ28-062-S01-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 18 Đường TPT | START=Đường 1 Học | END=Nguyễn Thái | FLAGS=
ID=NQ28-062-S01-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 19 Đường TPT | START=16 Đường | END=TPT 20 | FLAGS=
ID=NQ28-062-S01-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 20 Đường TPT | START=18 Đường | END=TPT 22 | FLAGS=
ID=NQ28-062-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 21 Đường Quốc | START=lộ 13 Đường | END=TPT 18 | FLAGS=
ID=NQ28-062-S01-TT0076-01 | SEC=agricultural | TT=76 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 23 Đường Quốc | START=lộ 13 Đường | END=TPT 1 | FLAGS=
ID=NQ28-062-S01-TT0077-01 | SEC=agricultural | TT=77 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 24 Đường Quốc | START=lộ 13 Đường | END=TPT 23 | FLAGS=
ID=NQ28-062-S01-TT0078-01 | SEC=agricultural | TT=78 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 25 Đường TPT | START=50 Đường | END=TPT 26 | FLAGS=
ID=NQ28-062-S01-TT0079-01 | SEC=agricultural | TT=79 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 26 Đường Quốc | START=Hết lộ 13 (ngã Tâm) | END=đường nhựa ba nhà bà | FLAGS=
ID=NQ28-062-S01-TT0080-01 | SEC=agricultural | TT=80 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 27 Đường Quốc | START=lộ 13 Đường | END=TPT 3 | FLAGS=
ID=NQ28-062-S01-TT0081-01 | SEC=agricultural | TT=81 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 28 Đường Quốc | START=lộ 13 Đường | END=TPT 27 | FLAGS=
ID=NQ28-062-S01-TT0082-01 | SEC=agricultural | TT=82 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 29 Đường Quốc | START=Xóm lộ 13 Xuân phường | END=(nhà ông Lê Đạo), ranh An Lộc | FLAGS=
ID=NQ28-062-S01-TT0083-01 | SEC=agricultural | TT=83 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 30 Đường Quốc | START=lộ 13 Đường | END=TPT 29 | FLAGS=
ID=NQ28-062-S01-TT0084-01 | SEC=agricultural | TT=84 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 31 Đường TPT | START=Đường 32 (Suối) | END=TPT 30 | FLAGS=
ID=NQ28-062-S01-TT0085-01 | SEC=agricultural | TT=85 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 32 Đường Quốc | START=lộ 13 Đường | END=TPT 31 | FLAGS=
ID=NQ28-062-S01-TT0086-01 | SEC=agricultural | TT=86 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 32 Đường TPT | START=31 Đường | END=TPT 30 | FLAGS=
ID=NQ28-062-S01-TT0087-01 | SEC=agricultural | TT=87 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 33 Đường Quốc | START=lộ 13 Đường | END=TPT 32 | FLAGS=
ID=NQ28-062-S01-TT0088-01 | SEC=agricultural | TT=88 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 34 Đường TPT | START=27 Đường | END=TPT 35 | FLAGS=
ID=NQ28-062-S01-TT0089-01 | SEC=agricultural | TT=89 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 35 Đường TPT | START=Đường 34 (Suối) | END=TPT 39 | FLAGS=
ID=NQ28-062-S01-TT0090-01 | SEC=agricultural | TT=90 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 36 Đường TPT | START=3 Đường | END=TPT 35 | FLAGS=
ID=NQ28-062-S01-TT0091-01 | SEC=agricultural | TT=91 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 37 Đường TPT | START=1 Đường | END=TPT 12 | FLAGS=
ID=NQ28-062-S01-TT0092-01 | SEC=agricultural | TT=92 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 38 Đường TPT | START=26 Đường | END=TPT 48 | FLAGS=
ID=NQ28-062-S01-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 39 Đường TPT | START=35 Đường | END=TPT 49 | FLAGS=
ID=NQ28-062-S01-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 40 Đường TPT | START=35 Đường | END=TPT 2 | FLAGS=
ID=NQ28-062-S01-TT0095-01 | SEC=agricultural | TT=95 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 41 Đường Quốc | START=lộ 13 Đường | END=TPT 42 | FLAGS=
ID=NQ28-062-S01-TT0096-01 | SEC=agricultural | TT=96 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 42 Trường | START=cấp 2 Lô | END=cao su | FLAGS=
ID=NQ28-062-S01-TT0097-01 | SEC=agricultural | TT=97 | REL=main | PRICES=252,202,141 | ROAD=Dường TPT 43 Đường Quốc | START=lộ 13 Đường | END=TPT 1 | FLAGS=
ID=NQ28-062-S01-TT0098-01 | SEC=agricultural | TT=98 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 44 Đường TPT | START=20 Đường | END=TPT 19 | FLAGS=
ID=NQ28-062-S01-TT0099-01 | SEC=agricultural | TT=99 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 46 Đường TLT | START=Đường 34 đường | END=TPT 4 (dọc ray) | FLAGS=
ID=NQ28-062-S01-TT0100-01 | SEC=agricultural | TT=100 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 47 Đường TLT | START=Đường 34 đường | END=TPT 4 (dọc ray) | FLAGS=
ID=NQ28-062-S01-TT0101-01 | SEC=agricultural | TT=101 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 48 Đường TL | START=T30 Đường | END=TLT 30 | FLAGS=
ID=NQ28-062-S01-TT0102-01 | SEC=agricultural | TT=102 | REL=main | PRICES=252,202,141 | ROAD=Đập Suối Đường TPT 49 phường | START=Trâu (ranh Đường An Lộc (cũ)) | END=TPT 2 | FLAGS=
ID=NQ28-062-S01-TT0103-01 | SEC=agricultural | TT=103 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 50 Đường TPT | START=48 Đường | END=Quốc lộ 13 | FLAGS=
ID=NQ28-062-S01-TT0104-01 | SEC=agricultural | TT=104 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 51 Đường TPT | START=49 Đường | END=TPT 39 | FLAGS=
ID=NQ28-062-S01-TT0105-01 | SEC=agricultural | TT=105 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 52 Đường TPT | START=40 Đường | END=TPT 51 | FLAGS=
ID=NQ28-062-S01-TT0106-01 | SEC=agricultural | TT=106 | REL=main | PRICES=252,202,141 | ROAD=Đường TPT 53 Đường TPT | START=33 Đường | END=TPT 29 | FLAGS=
ID=NQ28-062-S01-TT0107-01 | SEC=agricultural | TT=107 | REL=main | PRICES=252,202,141 | ROAD=Đường TLT 1 Đường TLT | START=2 Đường | END=ĐT 757 | FLAGS=
ID=NQ28-062-S01-TT0108-01 | SEC=agricultural | TT=108 | REL=main | PRICES=252,202,141 | ROAD=Đường TLT 2 Đường Quốc | START=lộ 13 Đường | END=ray xe lửa | FLAGS=
ID=NQ28-062-S01-TT0109-01 | SEC=agricultural | TT=109 | REL=main | PRICES=252,202,141 | ROAD=Đường TLT 2 Đường ray | START=xe lửa Đường | END=TLT 34 | FLAGS=
ID=NQ28-062-S01-TT0110-01 | SEC=agricultural | TT=110 | REL=main | PRICES=252,202,141 | ROAD=Đường TLT 2 Đường TLT | START=34 Đường | END=ĐT 757 | FLAGS=
ID=NQ28-062-S01-TT0111-01 | SEC=agricultural | TT=111 | REL=main | PRICES=252,202,141 | ROAD=Đường TLT 3 Đường Quốc | START=lộ 13 Đường | END=TLT 20 | FLAGS=
ID=NQ28-062-S01-TT0112-01 | SEC=agricultural | TT=112 | REL=main | PRICES=252,202,141 | ROAD=Đường TLT 3 Đường TLT | START=20 Đường | END=TLT 21 | FLAGS=
ID=NQ28-062-S01-TT0113-01 | SEC=agricultural | TT=113 | REL=main | PRICES=252,202,141 | ROAD=Đường TLT 3 Đường TLT | START=21 Xóm | END=(đường TPT 1) | FLAGS=
ID=NQ28-062-S01-TT0114-01 | SEC=agricultural | TT=114 | REL=main | PRICES=252,202,141 | ROAD=Đường TLT 4 (Vòng quanh Đài Đường Quốc liệt sĩ) | START=lộ 13 Đường | END=Quốc lộ 13 | FLAGS=
ID=NQ28-062-S01-TT0115-01 | SEC=agricultural | TT=115 | REL=main | PRICES=252,202,141 | ROAD=Đường TLT 5 Đường Quốc | START=lộ 13 Đường | END=TLT 29 | FLAGS=
