TABLE=093 | AREA=Xã Phú Trung | RECORDS=39 | GROUPS=39 | REVIEW=4
ID=NQ28-093-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=182,146,116 | ROAD=93. Xã Phú Trung Tên đường giao TT thông Giáp Đường ĐT 759 Phước | START=Đoạn đường Ngã ranh phường Nhà Long Đồng | END=Giá trồng cây ba Đường vào văn hóa thôn Tiến | FLAGS=
ID=NQ28-093-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=112,90,72 | ROAD=Đường Phú Trung - Phước Tân (cũ) kết Đường nối ĐH312 cũ với ĐT | START=Giáp ĐH312 Tân - | END=đường Phước Bù Nho (cũ) | FLAGS=
ID=NQ28-093-S01-TT0759-01 | SEC=agricultural | TT=759 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-093-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=112,90,72 | ROAD=Đường N4 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-093-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=112,90,72 | ROAD=Đường N5 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-093-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=112,90,72 | ROAD=Đường N7 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-093-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=112,90,72 | ROAD=Đường D1 Toàn Đường giao thông | START=tuyến | END= | FLAGS=
ID=NQ28-093-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=112,90,72 | ROAD=đấu nối trục đường Quốc lộ 14 và ĐT Toàn 753B (ĐH 312 cũ) phạm vi 200m | START=tuyến | END= | FLAGS=
ID=NQ28-093-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=112,90,72 | ROAD=Đường giao thông đấu nối trục đường Toàn ĐT 759 phạm vi 200m | START=tuyến | END= | FLAGS=
ID=NQ28-093-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=112,90,72 | ROAD=Đường Đồng Tâm - Đường Bù Tố | START=Giáp Thác Ba Phước | END=ranh phường Long | FLAGS=
ID=NQ28-093-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=112,90,72 | ROAD=Đường D2 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-093-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=112,90,72 | ROAD=Đường Thôn Đồng Đường Tiến | START=Hết ranh ĐT 759 18 tờ | END=thửa đất số bản đồ số 76 | FLAGS=
ID=NQ28-093-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=112,90,72 | ROAD=Ngã ba Đường Bình Trung đi (Tiếp Bình Tân ĐT 759) | START=Bình Trung giáp đường Giáp | END=ranh xã Bình Tân | FLAGS=
ID=NQ28-093-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=112,90,72 | ROAD=Đường Bình Trưng Đường đi Phường Phước đi Bình Bình | START=Bình Trung Giáp Tân Phước | END=ranh phường Binh | FLAGS=
ID=NQ28-093-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=112,90,72 | ROAD=Ngã ba Đường Đồng Tháp đi 759 (từ xã Phú Trung 69 tờ | START=tiếp giáp ĐT Ngã đầu thửa đất Đường bản đồ số xã Phước | END=ba tiếp giáp xã Phú Trung - Tân (cũ) | FLAGS=
ID=NQ28-093-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=112,90,72 | ROAD=115) Toàn Các tuyến đường các tờ trung tâm xã 24, 31, | START=(Đến 500 tờ tuyến thuộc bản đồ: 23, 0 46 | END=hết thửa đất số bản đồ số 115) | FLAGS=
ID=NQ28-093-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=112,90,72 | ROAD=Đường Đường thôn Phú An (Ngã thôn Phú | START=ĐT 753B Đến ba hội trường ranh An) 15) | END=lô cao Su NT (hết thửa đất 245 tờ | FLAGS=
ID=NQ28-093-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=112,90,72 | ROAD=Đường giao thông Toàn liên xã | START=tuyến | END= | FLAGS=
ID=NQ28-093-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=77,62,49 | ROAD=Các tuyến đường giao thông còn lại Toàn trên địa bàn xã | START=tuyến | END= | FLAGS=
