TABLE=084 | AREA=Xã Bom Bo | RECORDS=44 | GROUPS=44 | REVIEW=1
ID=NQ28-084-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=135,108,32 | ROAD=84. Xã Bom Bo Tên đường TT giao thông Cầu Sông Lấp Đường ĐT 760 ranh xã Minh | START=Đoạn đường Thửa đất (giáp Hưng) tờ bản đồ | END=Giá đất trồng cây lâu năm số 34, 124 169 số 78 | FLAGS=
ID=NQ28-084-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=70,56,45,32 | ROAD=Đường 24 Đường ĐT (đường liên xã) | START=Thửa đất 760 22, tờ bản Đất ông | END=số 10 & 70 đồ số 55 Dương Văn | FLAGS=
ID=NQ28-084-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=70,56,45,32 | ROAD=Đường Ba Trà Đường ĐT đi thôn 678 | START=Hùng (lối 760 đường vành thửa đất bản đồ số | END=vào đai xã) 70 số 65, tờ 64 | FLAGS=
ID=NQ28-084-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=70,56,45,32 | ROAD=Tuyến nghĩa tình đến khu đất nhỏ Đường ĐT Nguyễn Thanh Tâm | START=Thửa đất 760 54, tờ bản | END=số 47 và 70 đồ số 52 | FLAGS=
ID=NQ28-084-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=70,56,45,32 | ROAD=Ranh đất ông Văn Chấp (thửa Tuyến đường 37, tờ bản đồ vành đai xã Đất ông Lữ (thửa đất số đồ số 66) | START=Nguyễn Hết ranh đất số Dương số 80) - (thửa đất Văn Lâm bản đồ số 6, tờ bản đất số 92, | END=đất ông Văn Hùng số 65, tờ 70 64); thửa tờ bản đồ | FLAGS=
ID=NQ28-084-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=83,67,32 | ROAD=Đường liên xã Bom Bo - Đak Ngã tư Bom Nhau | START=số 64 Ngã ba Bo Bóng | END=đường Sân 104 | FLAGS=
ID=NQ28-084-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=83,67,32 | ROAD=Đường liên xã Ngã ba đường Bom Bo - Đak Bong Nhau | START=Sân Hết ranh Lương Thế | END=Trường 104 Vinh | FLAGS=
ID=NQ28-084-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=83,67,32 | ROAD=Đường liên xã Giáp ranh Trường Bom Bo - Đak Lương Thế Nhau | START=Giáp ranh Vinh Nhau | END=xã Đắk 104 | FLAGS=
ID=NQ28-084-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=83,67,32 | ROAD=Đường đi Đắk Ngã tư Bom Liên | START=Ngã tư nhà Bo Đình Hùng | END=ông Đỗ 104 | FLAGS=
ID=NQ28-084-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=83,67,32 | ROAD=Đường đi Đắk Ngã tư nhà Đình Hùng Liễn | START=ông Đỗ Ngã ba Ngộ | END=nhà ông 104 | FLAGS=
ID=NQ28-084-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=83,67,32 | ROAD=Đường đi Đắk Ngã ba nhà Liên | START=Ngã ba ông Ngộ Tuấn Anh | END=nhà ông 104 | FLAGS=
ID=NQ28-084-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=83,67,32 | ROAD=Đường đi Đắk Ngã ba nhà Liên | START=Ngã ba cấp 1, 2 ông Ngộ Ơn | END=vào Trường Trần Văn 104 | FLAGS=
ID=NQ28-084-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=83,67,32 | ROAD=Đường đi Đắk Ngã ba vào Cấp 1, 2 Trần Liên | START=trường Hết ranh Văn Ơn phần | END=đất lâm 104 | FLAGS=
ID=NQ28-084-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=83,67,32 | ROAD=Hết ranh nhà Đường Nội Ô Thành | START=Ngã ba ông Ba Tân Mỹ đi Đắk Nhau | END=Cây xăng Hoa đường 104 | FLAGS=
ID=NQ28-084-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=83,67,32 | ROAD=Hết ranh nhà Đường Nội Ô Văn Yên | START=ông Cao Ngã ba Ông Trúc | END=đường nhà 104 Lam | FLAGS=
ID=NQ28-084-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=83,67,32 | ROAD=Đường hai bên Hành lang nhà chợ Bom Bo chợ chính | START=Hành lang làng chợ chính 15m | END=nhà lồng vào sâu 104 | FLAGS=
ID=NQ28-084-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=83,67,32 | ROAD=Đường ô trường Tiểu Ngã ba nhà học | START=Ngã ba ông Tiền Long Quý | END=nhà ông 104 | FLAGS=
ID=NQ28-084-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=70,56,45,32 | ROAD=Đường Thôn 7 Ngã ba vào cấp 1,2 Trần - Thôn 9 | START=Trường Ngã ba Văn Ơn Văn Tướng | END=nhà ông Tô 70 | FLAGS=
ID=NQ28-084-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=83,67,32 | ROAD=Đường bên Hết ranh nhà hông Trung tâm thương Đinh Hà mại | START=ông Đỗ Suối Đắk | END=Liên 104 | FLAGS=
ID=NQ28-084-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=83,67,32 | ROAD=Đường vào Khu dân cư Ngã ba nhà Thái Thành | START=Khu dân ông Toàn Thành | END=cư Thái 104 | FLAGS=
ID=NQ28-084-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=70,56,45,32 | ROAD=Đường vành đai Bom Bo Ngã ba ông giáp với đường | START=Ngã ba Xây Thái | END=nhà ông 70 | FLAGS=
ID=NQ28-084-S01-TT0010-02 | SEC=agricultural | TT=10 | REL=main | PRICES= | ROAD=cũ | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-084-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=70,56,45,32 | ROAD=Đường bên Đường ĐT hông Thái Thành | START=760 UBND xã | END=Bom Bo 70 | FLAGS=
ID=NQ28-084-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=70,56,45,32 | ROAD=Các tuyến đường bê tông, Toàn tuyến nhựa còn lại | START= | END=70 | FLAGS=
ID=NQ28-084-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=70,56,45,32 | ROAD=Các tuyến đường đất còn Toàn tuyến lại | START= | END=70 | FLAGS=
