TABLE=067 | AREA=Xã Đồng Tâm | RECORDS=265 | GROUPS=264 | REVIEW=146
ID=NQ28-067-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=202,161,64 | ROAD=67. Xã Đồng Tâm Tên đường giao TT thông Giáp Đường Quốc lộ 14 Bình 2) | START=Đoạn đường Hết ranh trang hướng Đăng ranh Phường đường Phước (cầu Hết đường ranh giữa và ấp (bên phải Quốc | END=Giá đất trồng cây lâu năm Nghĩa liệt sĩ tỉnh đi xã Bù (bên trải Quốc lộ 14) 252 B3 - ấp Cầu 2 Đồng Tiến 4 đường lộ 14) | FLAGS=
ID=NQ28-067-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=156,125,47 | ROAD=Quốc lộ 14)] trong phạm vi 200m Đường giao thông nông thôn đấu nối trục đường Quốc lộ Toàn | START=tuyến | END=195 | FLAGS=
ID=NQ28-067-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES= | ROAD=(đoạn còn lại) trong phạm vi 200m | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-067-S01-TT0009-02 | SEC=agricultural | TT=9 | REL=main | PRICES= | ROAD=Đường ĐH Cây số (đường kết nối | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=156,125,64 | ROAD=Toàn ngang Quốc lộ 14 với ĐT 755 và nối | START=tuyến | END=195 | FLAGS=
ID=NQ28-067-S01-TT0014-02 | SEC=agricultural | TT=14 | REL=main | PRICES=156,125,64 | ROAD=ĐT 753) đấu nối trục đường Quốc lộ trong phạm vi 200m Đường ĐH Cây số 9 (đường kết nối ngang Quốc lộ 14 với ĐT 755 và nối Toàn ĐT 753) đẩu nối trục đường Quốc lộ ngoài phạm vi 200m | START=tuyến | END=195 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=156,125,47 | ROAD=Các tuyến đường trong khu quy hoạch Trung tâm Toàn hành chính xã Đồng Tâm | START=tuyến | END=195 | FLAGS=
ID=NQ28-067-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=156,125,47 | ROAD=Đường Đường Lam Sơn - (giáp Tân Phước số 26, 254) | START=ĐT 753B ranh thửa đất tờ bản đồ số | END=195 | FLAGS=
ID=NQ28-067-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=156,125,47 | ROAD=Đường ĐH Đồng Quốc Tâm - Thuận Lợi | START=lộ 14 | END=195 | FLAGS=
ID=NQ28-067-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=156,125,47 | ROAD=Đường ĐH Đồng Đoạn Tâm - Thuận Lợi | START=còn lại | END=195 | FLAGS=
ID=NQ28-067-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=156,125,54 | ROAD=Đường giao thông nông thôn đấu nối Toàn trục đường ĐT 753 phạm vi 200m Đường Thanh | START=tuyến | END=195 | FLAGS=
ID=NQ28-067-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=156,125,54 | ROAD=Niên, đường ĐH Tân Phước - Đồng Tiến (cũ) đấu nối Toàn trục đường ĐT 753 trong phạm vi 500m | START=tuyến | END=195 | FLAGS=
ID=NQ28-067-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=156,125,54 | ROAD=Đường Thanh Niên, đường ĐH Tân Phước - Đồng Tiến (cũ) đấu nối Toàn trục đường ĐT 753 ngoài phạm vi | START=tuyến | END=195 | FLAGS=
ID=NQ28-067-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=156,125,54 | ROAD=500m Đường Đồng Tiến - Thửa Tân Phú (cũ) bản đồ | START=đất số 28, tờ số 270 | END=195 | FLAGS=
ID=NQ28-067-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=156,125,64 | ROAD=Đường giao thông Toàn liên xã còn lại | START=tuyến | END=195 | FLAGS=
ID=NQ28-067-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=156,125,54 | ROAD=Đường giao thông có hành lang lộ Toàn giới 14m trở lên | START=tuyến | END=195 | FLAGS=
ID=NQ28-067-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=156,125,54 | ROAD=tính từ tim đường Đường giao thông có hành lang lộ Toàn giới từ 10 - 14m tính từ tim đường | START=tuyến | END=195 | FLAGS=
ID=NQ28-067-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=90,72,47 | ROAD=Đường giao thông liên thôn, liên ấp có Toàn kết cấu trải nhựa, bê Tông | START=tuyến | END=113 | FLAGS=
ID=NQ28-067-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=90,72,47 | ROAD=Đường giao thông liên thôn, liên ấp Toàn còn lại | START=tuyến | END=113 | FLAGS=
ID=NQ28-067-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=90,72,47 | ROAD=Các tuyến đường giao thông còn lại Toàn trên địa bàn xã 68. Xã Đồng Phú | START=tuyến Đoạn | END=113 đường Giá đất trồng | FLAGS=
ID=NQ28-067-S01-TT0001-02 | SEC=agricultural | TT=1 | REL=main | PRICES=448,358,251 | ROAD=Đường Cách Mạng Tháng (đường ĐT 741) | START=Giáp ranh Tám phường Đồng Xoài | END=cây lâu năm Đường Tổ 99 (Tân Phú cũ, hết ranh đất khu dân cư 17ha) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0002-02 | SEC=agricultural | TT=2 | REL=main | PRICES=448,358,251 | ROAD=Đường Cách Mạng Tháng (đường ĐT 741) | START=Đường Tổ 99 (Tân Phú cũ, Tám hết ranh đất khu dân cư 17ha) | END=Hết ranh đất Hạt Kiểm Lâm | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0003-02 | SEC=agricultural | TT=3 | REL=main | PRICES=448,358,251 | ROAD=Đường Cách Mạng Tháng (đường ĐT 741) | START=Tám Giáp ranh đất Hạt Kiểm Lâm | END=Đầu ranh Trường Trung học cơ sở Tân Phú cũ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0004-02 | SEC=agricultural | TT=4 | REL=main | PRICES=448,358,251 | ROAD=Đường Cách Mạng Tháng (đường ĐT 741) | START=Đầu ranh Tám Trường Trung học cơ sở Tân Phú cũ | END=Đường Tổ 6 (Tân Phú cũ, đường xuống khu Trũng Đồng Ca) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0005-02 | SEC=agricultural | TT=5 | REL=main | PRICES=448,358,251 | ROAD=Đường Cách Mạng Tháng (đường ĐT 741) | START=Đường Tổ 6 (Tân Phú cũ, Tám đường xuống Khu Trũng Đồng Ca) | END=Giáp ranh xã Tân Tiến (cũ) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0006-02 | SEC=agricultural | TT=6 | REL=main | PRICES=252,202,161 | ROAD=Đường ĐT 741 | START=Giáp ranh thị trấn Tân Phú (cũ) | END=Hết ranh Thửa đất số 74 là số 87, tờ bản đồ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0007-02 | SEC=agricultural | TT=7 | REL=main | PRICES=252,202,161 | ROAD=Đường ĐT 741 | START=Giáp ranh Thửa đất số 74, tờ bản đồ số 222 Đường Tổ 32 (Thửa đất số 87, tờ bản đồ số 222) | END=số 222 Đường Tổ 33 (Thửa đất số 192, tờ bản đồ số 222) Đường tổ 28 (thửa đất số 318, tờ bản đồ số 222) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0008-02 | SEC=agricultural | TT=8 | REL=main | PRICES=252,202,161 | ROAD=Đường ĐT 741 | START=Đường Tổ 33 (Thửa đất số 206, tờ bản đồ số 222) Đường Tổ 28 (Thửa đất số 211, tờ bản đồ số 222) | END=Đường Tổ 27 (thửa đất số 143, tờ bản đồ số 224) Đường Tổ 22 (thửa đất số 147, tờ bản đồ số 224) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0009-03 | SEC=agricultural | TT=9 | REL=main | PRICES=252,202,161 | ROAD=Đường ĐT 741 | START=Đường Tổ 27 (Thửa đất số 142, tờ bản đồ số 224) Đường Tổ 22 (Thửa đất số 395, tờ bản đồ số 224) | END=Đường Tổ 23 (Hết ranh Thửa đất số 256, tờ bản đồ số 224) Đường Tổ 18 (Hết ranh Thửa đất số 424, tờ bản đồ số 224) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0010-02 | SEC=agricultural | TT=10 | REL=main | PRICES=252,202,161 | ROAD=Đường ĐT 741 | START=Đường Tổ 23 (Thửa đất số 388, tờ bản đồ số 224) Đường Tổ 18 (Thửa đất số 275, tờ bản đồ số 224) | END=Giáp ranh xã Tân Lập (cũ) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0011-02 | SEC=agricultural | TT=11 | REL=main | PRICES=252,202,161,54 | ROAD=Đường ĐT 741 | START=Giáp ranh xã Tân Lập (cũ) | END=Đường Tổ 23B (Thửa đất số 158, tờ bản đồ số 234) Đường lộ 26B (Thửa đất số 113, tờ bản đồ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0012-02 | SEC=agricultural | TT=12 | REL=main | PRICES=252,202,161,54 | ROAD=Đường ĐT 741 | START=Đường Tổ 23B (Thửa đất số 181, tờ bản đồ số 234) | END=số 234) Đường Tổ 9 (Thửa đất số 54, tờ bản đồ số 243) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0013-02 | SEC=agricultural | TT=13 | REL=main | PRICES=252,202,161,54 | ROAD=Đường ĐT 741 | START=Đường Tổ 9 (Thửa đất số 17, tờ bản đồ | END=Tiếp giáp ranh Thửa đất số 98, tờ bản đồ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0014-03 | SEC=agricultural | TT=14 | REL=main | PRICES=252,202,161,54 | ROAD=Đường ĐT 741 | START=số 242) Thửa đất số tờ bản đồ số 188) | END=số 188) 98, Giáp ranh Thành phố Hồ Chí Minh | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0015-02 | SEC=agricultural | TT=15 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Thị Minh Khai | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0016-02 | SEC=agricultural | TT=16 | REL=main | PRICES=266,213,170 | ROAD=Đường Mai Thúc Loan | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0017-02 | SEC=agricultural | TT=17 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Thị Định | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0018-02 | SEC=agricultural | TT=18 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Tất Thành | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0019-02 | SEC=agricultural | TT=19 | REL=main | PRICES=448,358,215 | ROAD=Đường Phú Riềng Đỏ | START=Giáp ranh khu công nghiệp Bắc Đồng Phú | END=Đường Tổ 29 (Tân Phú cũ) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0020-02 | SEC=agricultural | TT=20 | REL=main | PRICES=448,358,215 | ROAD=Đường Phú Riềng Đỏ | START=Đường Tổ 29 (Tân Phú cũ) | END=Đường Nguyễn Văn Linh | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0021-02 | SEC=agricultural | TT=21 | REL=main | PRICES=448,358,215 | ROAD=Đường Phú Riềng Đỏ | START=Đường Nguyễn Văn Linh | END=Đường Âu Cơ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0022-02 | SEC=agricultural | TT=22 | REL=main | PRICES=448,358,215 | ROAD=Đường Phú Riềng Đỏ | START=Đường Âu Cơ | END=Đường Phạm Ngọc Thạch | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0023-02 | SEC=agricultural | TT=23 | REL=main | PRICES=448,358,215 | ROAD=Đường Phú Riềng Đỏ | START=Đường Phạm Ngọc Thạch | END=Giáp ranh xã Tân Tiến cũ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0024-02 | SEC=agricultural | TT=24 | REL=main | PRICES=266,213,170 | ROAD=Đường Lý Nam Đế | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0025-02 | SEC=agricultural | TT=25 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Tôn Đức Thắng | END=Đường Phú Riềng Đỏ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0026-02 | SEC=agricultural | TT=26 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Phú Riềng Đỏ | END=Đường Cách Mạng Tháng Tám (Đường ĐT 741) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0027-02 | SEC=agricultural | TT=27 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Cách Mạng Tháng Tám (đường 741) | END=Đường Hùng ĐT Vương | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0028-02 | SEC=agricultural | TT=28 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Văn Linh | START=Đường Tôn Đức Thắng | END=Đường Phú Riềng Đỏ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Văn Linh | START=Đường Phú Riềng Đỏ | END=Đường Cách Mạng Tháng Tám (đường ĐT 741) | FLAGS=
ID=NQ28-067-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Văn Linh | START=Đường Cách Mạng Tháng Tám (đường 741) | END=Đường Hùng ĐT Vương | FLAGS=
ID=NQ28-067-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Văn Linh | START=Đường Tôn Đức Thắng | END=Hết tuyến | FLAGS=
ID=NQ28-067-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=266,213,170 | ROAD=Đường Trường Chinh | START=Đường Cách Mạng Tháng | END=Đường Trần Phú | FLAGS=
ID=NQ28-067-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=266,213,170 | ROAD=Đường Lê Duẩn | START=Tám (đường 741) Đường Cách Mạng Tháng Tám (đường 741) | END=ĐT Đường Trần ĐT Phú | FLAGS=
ID=NQ28-067-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Văn Cừ | START=Đường Nguyễn Văn Linh | END=Đường Nguyễn Hữu Thọ | FLAGS=
ID=NQ28-067-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Chí Thanh | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=266,213,170 | ROAD=Đường Hùng Vương | START=Đường Lý Nam Đế | END=Đường Nguyễn Hữu Thọ | FLAGS=
ID=NQ28-067-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=266,213,170 | ROAD=Đường Hùng Vương | START=Đường Nguyễn Hữu Thọ | END=Đường Nguyễn Văn Linh | FLAGS=
ID=NQ28-067-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=266,213,170 | ROAD=Đường Phạm Ngọc Thạch | START=Cách Mạng Tháng Tám | END=Đường Phú Riềng Đỏ | FLAGS=
ID=NQ28-067-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=266,213,170 | ROAD=Đường Phạm Ngọc Thạch | START=Đường Phú Riềng Đỏ | END=Hết ranh khu dân cư Hoàn Thành | FLAGS=
ID=NQ28-067-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=266,213,170 | ROAD=Đường Phạm Ngọc Thạch | START=Giáp ranh khu dân cư Hoàn Thành | END=Cầu Bà Mụ | FLAGS=
ID=NQ28-067-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=266,213,170 | ROAD=Đường Tôn Đức Thắng | START=Đường Nguyễn Văn Linh | END=Đường Phạm Ngọc Thạch | FLAGS=
ID=NQ28-067-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=266,213,170 | ROAD=Đường Tôn Đức Thắng (nối | START=Đường Nguyễn dài) Văn Linh | END=Hết ranh thửa đất số 1159, tờ bản đồ số 19 | FLAGS=
ID=NQ28-067-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=266,213,170 | ROAD=Đường Tân Phú - Tân Phước (Đường vào khu B - khu công nghiệp Bắc Đồng Phú) | START=Đường Cách Mạng Tháng Tám (đường 741) | END=Hết thửa đất số 57 và số ĐT 32, tờ bản đồ số 43 | FLAGS=
ID=NQ28-067-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=266,213,170 | ROAD=Đường Tân Phú - Tân Phước (Đường vào khu B - khu công nghiệp Bắc Đồng Phú) | START=Từ ranh Thửa đất số 472, tờ bản đồ số 21 | END=Hết Thửa đất số 63, tờ bản đồ số 22 | FLAGS=
ID=NQ28-067-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=266,213,170 | ROAD=Đường di xã Tân Lợi (đường Trung tâm thương mại đến Tân Lợi) | START=từ Đường Hùng xã Vương | END=Hết Thửa đất số 8 và số 9, Từ bản đồ số 37 | FLAGS=
ID=NQ28-067-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=224,179,143 | ROAD=Tuyến đường giao thông trung tâm thông Dên Dên (đường nhựa) | START=Cổng Chùa Phật Đà (Thửa đất số 146, 183, tờ bản đồ số | END=Cổng chào làng Hải Phòng (thửa đất số 259, tờ | FLAGS=
ID=NQ28-067-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=224,179,143 | ROAD=Các tuyến đường giao thông | START=33) Toàn tuyến | END=bản đồ số 27) | FLAGS=
ID=NQ28-067-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=266,213,170 | ROAD=trong thôn Dên Dên (không biệt phạm vi) Đường Nguyễn Huệ | START=phân Đường Phú Riềng Đỏ | END=Đường Tôn Đức Thắng | FLAGS=
ID=NQ28-067-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=266,213,170 | ROAD=Đường Lê Đại Hành | START=Đường Phú Riềng Đỏ | END=Đường Tôn Đức Thắng | FLAGS=
ID=NQ28-067-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Trãi | START=Đường Trần Nhân Tông | END=Đường Tôn Đức Thắng | FLAGS=
ID=NQ28-067-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=266,213,170 | ROAD=Đường Ngô Quyền | START=Đường Phú Riềng Đỏ | END=Đường Tôn Đức Thắng | FLAGS=
ID=NQ28-067-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=266,213,170 | ROAD=Đường Đinh Bộ Lĩnh | START=Đường Phú Riềng Đỏ | END=Đường Tôn Đức Thắng | FLAGS=
ID=NQ28-067-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=266,213,170 | ROAD=Đường Lý Thái Tổ | START=Đường Lý Tự Trọng | END=Đường Tôn Đức Thắng | FLAGS=
ID=NQ28-067-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=266,213,170 | ROAD=Đường Lý Tự Trọng | START=Đường Đinh Lĩnh | END=Bộ Đường Âu Cơ | FLAGS=
ID=NQ28-067-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=266,213,170 | ROAD=Đường Âu Cơ | START=Đường Cách Mạng Tháng Tám (đường 741) | END=Đường Tôn ĐT Đức Thắng | FLAGS=
ID=NQ28-067-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=266,213,170 | ROAD=Đường Điện Biên Phủ | START=Đường Âu Cơ | END=Đường Phạm Ngọc Thạch | FLAGS=
ID=NQ28-067-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=266,213,170 | ROAD=Đường Lê Lợi | START=Đường Phạm Ngọc Thạch | END=Đường Nguyễn Huệ | FLAGS=
ID=NQ28-067-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=266,213,170 | ROAD=Đường Hải Thượng Lãn Ông | START=Đường Lê Đại Hành | END=Đường Nguyễn Trãi | FLAGS=
ID=NQ28-067-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=266,213,170 | ROAD=Đường Trần Văn Trà | START=Đường Phạm Ngọc Thạch | END=Đường Nguyễn Huệ | FLAGS=
ID=NQ28-067-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=266,213,170 | ROAD=Đường Trần Nhân Tông | START=Đường Lê Đại Hành | END=Đường Ngô Quyền | FLAGS=
ID=NQ28-067-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Văn Trỗi | START=Đường Cách Mạng Tháng Tám (đường 741) | END=Đường Hùng ĐT Vương | FLAGS=
ID=NQ28-067-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=266,213,170 | ROAD=Đường Nguyễn Du | START=Đường Cách Mạng Tháng Tám (đường 741) | END=Đường Hùng ĐT Vương | FLAGS=
ID=NQ28-067-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=266,213,170 | ROAD=Đường Chu Văn An | START=Đường Cách Mạng Tháng Tám (đường 741) | END=Đường Hùng ĐT Vương | FLAGS=
ID=NQ28-067-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=213,170 | ROAD=Đường Võ Thị Sáu | START=Đường Cách Mạng Tháng Tám (đường 741) | END=Đường Hùng ĐT Vương | FLAGS=
ID=NQ28-067-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=266,213,170 | ROAD=Đường Huỳnh Thúc Kháng | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=266,213,170 | ROAD=Đường Trần Phú | START=Toàn tuyến | END= | FLAGS=
