TABLE=085 | AREA=Xã Thiện Hưng | RECORDS=136 | GROUPS=136 | REVIEW=5
ID=NQ28-085-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=350,280,224 | ROAD=85. Xã Thiện Hưng Tên đường giao TT thông Ranh Đường Nguyễn Huệ Hòa | START=Đoạn đường Ngã tư xã Thanh (Thửa (cũ) bản đồ | END=Giá đất trồng cây lâu năm vòng xoay đất số 51, tờ 350 số 74) | FLAGS=
ID=NQ28-085-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=350,280,224 | ROAD=Hết Đường Lê Duẩn đất thửa | START=ranh thửa số 94 và Cầu sông đất số 91, | END=Bé mới 350 | FLAGS=
ID=NQ28-085-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=168,134,108 | ROAD=tờ bản Đường Hùng Vương Vòng | START=đồ số 20) Giao lộ xoay Phạm | END=đường 168 Ngọc Thạch | FLAGS=
ID=NQ28-085-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=168,134,108 | ROAD=Giao Đường Hùng Vương Phạm Thạch | START=lộ đường Ngọc Hết tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=168,134,108 | ROAD=Đường Lê Hồng Toàn Phong | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=126,101,81 | ROAD=Đường trong khu vực Toàn chợ (cũ) | START=tuyến | END=126 | FLAGS=
ID=NQ28-085-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=168,134,108 | ROAD=Đường Nguyễn Trãi Toàn | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=168,134,108 | ROAD=Đường Lê Văn Sỹ Toàn | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=168,134,108 | ROAD=Đường Trần Huy Liệu Toàn | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=168,134,108 | ROAD=Đường Nguyễn Toàn Lương Bằng | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=168,134,108 | ROAD=Đường Phạm Ngọc Đường (Đường Thạch | START=Bệnh viện Lê Duẩn (Cầu số ĐT 759) Tài) cũ) | END=Bù Đốp 1 (ông Điều 168 | FLAGS=
ID=NQ28-085-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=168,134,108 | ROAD=Bệnh Đường Phạm Ngọc Đốp (ông Thạch cũ) | START=viện Bù (Cầu số 1 Giáp ranh Điểu Tài) Hòa (cũ) | END=xã Thanh 168 | FLAGS=
ID=NQ28-085-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=168,134,108 | ROAD=Đường Nguyễn Văn Đường Trỗi Huệ | START=Nguyễn Đường Thụ (D1) | END=Hoàng Văn 168 | FLAGS=
ID=NQ28-085-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=168,134,108 | ROAD=Đường trong Trung Toàn tâm thương mại | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=168,134,108 | ROAD=Đường Nguyễn Chí Toàn Thanh | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=168,134,108 | ROAD=Đường Đường 7/4 Lương | START=Nguyễn Đường Bằng | END=Chu Văn An 168 | FLAGS=
ID=NQ28-085-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=168,134,108 | ROAD=Đường Phan Đăng Toàn Lưu | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=168,134,108 | ROAD=Đường Lý Tự Trọng Toàn | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=168,134,108 | ROAD=Đường Chu Văn An Toàn | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=168,134,108 | ROAD=Đường Hoàng Văn Vòng Thụ | START=Đường xoay | END=tránh 168 | FLAGS=
ID=NQ28-085-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=168,134,108 | ROAD=Đường Hoàng Văn Đường Thụ | START=Đường tránh Trỗi | END=Nguyễn Văn 168 | FLAGS=
ID=NQ28-085-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=168,134,108 | ROAD=Đường Hoàng Văn Đường Văn Thụ (nối dài) | START=Nguyễn Đường Trỗi | END=ĐT 759B 168 | FLAGS=
ID=NQ28-085-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=168,134,108 | ROAD=Đường Tô Hiến Thành Toàn | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=168,134,108 | ROAD=Đường khu phố Đấu Hùng Thanh Xuân | START=nối đường Đấu nối Vương (từ Hùng Vương | END=đường 168 (thửa | FLAGS=
ID=NQ28-085-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=168,134,108 | ROAD=thửa bản Đường Nguyễn Đình Toàn Chiểu | START=đất số 2, tờ đất số đồ số 76) số 16) tuyến | END=1, tờ bản đồ 168 | FLAGS=
ID=NQ28-085-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=168,134,108 | ROAD=Đường Lương Đình Toàn Của | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=168,134,108 | ROAD=Đường Đường Cống Quỳnh Huệ | START=Nguyễn Giáp đường Đình Chiểu | END=Nguyễn 168 (D2) | FLAGS=
ID=NQ28-085-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=168,134,108 | ROAD=Đường nhựa Cần Đường Đơn (Đường | START=Lê Duẩn Trụ điện ĐT 759) | END=02 168 | FLAGS=
ID=NQ28-085-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=168,134,108 | ROAD=Đường nhựa Cần Trụ Đơn | START=điện 02 Hết tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=168,134,108 | ROAD=Đường Lê Thị Riềng Toàn | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=168,134,108 | ROAD=Đường D4 Toàn | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=168,134,108 | ROAD=Đường Tôn Thất Tùng Toàn | START=tuyến Hết ranh | END=168 đất bà Bùi | FLAGS=
ID=NQ28-085-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=126,101,81 | ROAD=Đường Suối Đá ấp Đường Thanh Trung Huệ | START=Thị Thùy Nguyễn (thửa thửa đất bản đồ | END=Dung đất số 212 và 126 số 24, tờ số 02) | FLAGS=
ID=NQ28-085-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=126,101,81 | ROAD=Hết Bùi Đường Suối Đá ấp Dung Thanh Trung số 212 đất | START=ranh đất bà Thị Thùy (thửa đất Suối Đá và thửa số 24, tờ | END=126 | FLAGS=
ID=NQ28-085-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=126,101,81 | ROAD=bản Đường Suối Đá ấp Suối Thanh Trung | START=đồ số 02) Đá Đường | END=Lê Duẩn 126 | FLAGS=
ID=NQ28-085-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=168,134,108 | ROAD=Giáp Đường Nguyễn Văn Hoàng Trỗi (nối dài) (D1) | START=đường Ngã ba Văn Thụ Thạnh Bắc) | END=đi ấp 3 Hòa (phía 168 | FLAGS=
ID=NQ28-085-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=168,134,108 | ROAD=Ngã Đường Nguyễn Văn Thạnh Trỗi (nối dài) Bắc) | START=ba đi ấp 3 Ranh xa Hòa (phía (cũ) | END=Thanh Hòa 168 | FLAGS=
ID=NQ28-085-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=126,101,81 | ROAD=Đường ấp Thanh Đường Trung | START=Giáp ranh Hưng Lê Duẩn số 01, 04) | END=xã Thiện cũ (thửa đất 126 tờ bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=126,101,81 | ROAD=Đường ranh ấp Thanh Đường Tâm - Thanh Sơn | START=Lê Duẩn Ngã ba | END=Kiết Lành 126 | FLAGS=
ID=NQ28-085-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=168,134,108 | ROAD=Đường cặp hàng rào Đường Văn Công an huyện | START=Hoàng Đến ranh Thụ lý thị trường | END=đội Quản 168 | FLAGS=
ID=NQ28-085-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=168,134,108 | ROAD=Đường giao thông đấu nối từ đường Lê Duẩn Toàn và đường Nguyễn Huệ vào 200m (trừ | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=168,134,108 | ROAD=các đoạn đã quy định giá đất cụ thể trong Đường nhựa bên hông Bệnh viện đa Đường khoa huyện Bù Đốp Ngọc (cũ) | START=Đến ngã Phạm Nhựa số 374, Thạch 17) | END=ba Đường (hết thửa đất 168 tờ bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=168,134,108 | ROAD=Đường bê tông quanh Bệnh viện đa khoa Toàn huyện Bù Đốp (cũ) | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=126,101,81 | ROAD=Ngã thửa Đường nhựa đi công và thửa ty Chuối 11, 28) | START=ba (hết ranh Ranh xã đất số 24 Hưng đất số số 94, tờ bản đồ số 5) | END=Thiện cũ (thửa đất 126 tờ bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=126,101,81 | ROAD=Đường nhựa đi ấp Thửa Thanh Sơn tờ bản | START=Ngã ba đất số 94, 104, tờ đồ số 20 20) | END=(Hết thửa số bản đồ số 126 | FLAGS=
ID=NQ28-085-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=126,101,81 | ROAD=Đường nhựa đi ấp Thửa tờ bản Thanh Thủy | START=Hết thửa đất số 91, tờ bản đồ số 20 (xưởng Đoàn) | END=đất số 86, đồ số 20 126 điều Thu | FLAGS=
ID=NQ28-085-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=126,101,81 | ROAD=Đường nhựa đi ấp Thửa 114, Thanh Thủy (Cổng chào ấp) số 13 | START=đất số Hết thửa tờ bản đồ tờ bản | END=đất số 77, 126 đồ số 13 | FLAGS=
ID=NQ28-085-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=126,101,81 | ROAD=Đường nhựa ấp Thửa Thanh Trung di ấp 574, Thiện Cư số 11 | START=Hết thửa đất số tờ bản tờ bản đồ ranh thị Bình (cũ)) | END=đất số 13, đồ số 11 (Hết 126 trấn Thanh | FLAGS=
ID=NQ28-085-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=126,101,81 | ROAD=Đường nhựa đi ấp Ngã Thanh Sơn Lành | START=Trụ sở Tâm (hết ba Kiết số 42, 12) | END=ấp Thanh thửa đất 126 tờ bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=126,101,81 | ROAD=Đường nhựa đi ấp Ngã Thanh Sơn Lành | START=Hết thửa ba Kiết tờ bản | END=đất số 413, 126 đồ số 11 | FLAGS=
ID=NQ28-085-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=126,101,81 | ROAD=Các tuyến đường trong Khu quy hoạch Toàn song song Chu Văn An, Nguyễn Huệ | START=tuyến | END=126 | FLAGS=
ID=NQ28-085-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=126,101,81 | ROAD=Đường nhựa (Sao Đường Biển) Huệ | START=Nguyễn Hết thửa tờ bản | END=đất số 01, 126 đồ số 45 | FLAGS=
ID=NQ28-085-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=126,101,81 | ROAD=Đường bê tông bên Thửa hông Trường THCS tờ bản Thanh Bình | START=đất số 01, Thửa đồ số 36 bản đồ | END=đất số 37, tờ 126 số 36 | FLAGS=
ID=NQ28-085-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=168,134,108 | ROAD=Đường nhựa giáp ranh Trụ Sở khối Mặt Toàn trận - Đoàn thể | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=168,134,108 | ROAD=Tuyến đường song Toàn | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=168,134,108 | ROAD=song giữa đường Chu Văn An và đường Nguyễn Trãi Các đường đấu nối giữa đường Chu Văn Toàn An và đường Nguyễn Trãi | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=168,134,108 | ROAD=Các đường đấu nối giữa đường Chu Văn Toàn An và đường Nguyễn Huệ | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=168,134,108 | ROAD=Tuyến đường bê tông nối từ đường Hùng Vương đến đường bê Toàn tông giáp ranh giữa thị trấn Thanh Bình - xã Thanh Hòa (cũ) | START=tuyến | END=168 | FLAGS=
ID=NQ28-085-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=168,134,108 | ROAD=Đường bê tông giáp ranh giữa Thanh Hòa Đường và Thanh Bình (cũ) Huệ (đường quán tỉnh) | START=Nguyễn Hết ranh 81, tờ | END=thửa đất số 168 bản đồ số 74 | FLAGS=
ID=NQ28-085-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=168,134,108 | ROAD=Đường bê tông giáp Hết ranh giữa Thanh Hòa đất và Thanh Bình (cũ) bản (đường quán tỉnh) | START=Hết ranh ranh thửa số 81, tờ 213, tờ đồ số 74 16 | END=thửa đất số bản đồ số 168 | FLAGS=
ID=NQ28-085-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=168,134,108 | ROAD=Đường bê lông giáp Đường ranh giữa Thanh Hòa Huệ và Thanh Bình (cũ) | START=Nguyễn Hết ranh 11, tờ | END=thửa đất số 168 bản đồ số 66 | FLAGS=
ID=NQ28-085-S01-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=168,134,108 | ROAD=Đường bê tông giáp Hết ranh giữa Thanh Hòa đất và Thanh Bình (cũ) bản | START=ranh thửa Hết ranh số 11, tờ 74, tờ đồ số 66 | END=thửa đất số 168 bản đồ số 8 | FLAGS=
ID=NQ28-085-S01-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=168,134,108,49 | ROAD=Giáp Đường ĐT 759B Tân | START=ranh xã Cống Tầm Tiến | END=Ron 168 | FLAGS=
ID=NQ28-085-S01-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=168,134,108,49 | ROAD=Đường ĐT 759B Cống | START=Ngã ba Tầm Ron ấp 7 (ngã Sao) | END=đường vào ba Cây 168 | FLAGS=
ID=NQ28-085-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=168,134,108,49 | ROAD=Ngã Đường ĐT 759B vào Cây | START=ba đường Giáp ranh ấp 7 (ngã ba Thanh Sao) | END=thị trấn 168 Bình (cũ) | FLAGS=
ID=NQ28-085-S01-TT0076-01 | SEC=agricultural | TT=76 | REL=main | PRICES=168,134,108,49 | ROAD=Ngã Luyện Đường ĐT 759B số 01, số 84) | START=ba nhà ông (thửa đất Cầu sông tờ bản đồ | END=Bé mới 168 | FLAGS=
ID=NQ28-085-S01-TT0077-01 | SEC=agricultural | TT=77 | REL=main | PRICES=168,134,108,49 | ROAD=Giáp Đường ĐT 759B trấn (cũ) | START=ranh thị Hết ranh Thanh Bình Ba Đừng | END=trại hòm 168 | FLAGS=
ID=NQ28-085-S01-TT0078-01 | SEC=agricultural | TT=78 | REL=main | PRICES=168,134,108,49 | ROAD=Hết Đường ĐT 759B hòm | START=ranh trại Ngã ba Ba Đừng đường | END=xuống 168 sau chợ | FLAGS=
ID=NQ28-085-S01-TT0079-01 | SEC=agricultural | TT=79 | REL=main | PRICES=168,134,108,49 | ROAD=Ngã Đường ĐT 759B đường Thiện | START=Thiện ba xuống Hết ranh sau chợ 121, tờ Hưng 178 | END=Hưng thửa đất số bản đồ số 168 | FLAGS=
ID=NQ28-085-S01-TT0080-01 | SEC=agricultural | TT=80 | REL=main | PRICES=168,134,108,49 | ROAD=Hết Đường ĐT 759B đất bản | START=ranh thửa Hết ranh số 121, tờ niệm đồ số 178 | END=Đài tưởng 168 | FLAGS=
ID=NQ28-085-S01-TT0081-01 | SEC=agricultural | TT=81 | REL=main | PRICES=168,134,108,49 | ROAD=Hết Đường ĐT 759B tưởng | START=Giáp ranh ranh Đài Phước niệm Thiện | END=xã Hưng và Phước 168 (cũ) | FLAGS=
ID=NQ28-085-S01-TT0082-01 | SEC=agricultural | TT=82 | REL=main | PRICES=105,84,67,49 | ROAD=Đường D11 vào Giáp UBND xã Thanh Hòa Thanh (cũ) | START=thị trấn Cổng chào Bình (cá) | END=ấp 8 105 | FLAGS=
ID=NQ28-085-S01-TT0083-01 | SEC=agricultural | TT=83 | REL=main | PRICES=105,84,67,49 | ROAD=Đường D11 vào UBND xã Thanh Hòa Cổng (cũ) | START=chào ấp 8 Nhà văn | END=hóa ấp 8 105 | FLAGS=
ID=NQ28-085-S01-TT0084-01 | SEC=agricultural | TT=84 | REL=main | PRICES=105,84,67,49 | ROAD=Đường D11 vào Nhà UBND xã Thanh Hòa 8 (cũ) | START=văn hóa ấp Chùa Thanh | END=Vân 105 | FLAGS=
ID=NQ28-085-S01-TT0085-01 | SEC=agricultural | TT=85 | REL=main | PRICES=50,40,32,32 | ROAD=Đường cổng chào ấp Giáp | START=thị trấn Giáp ranh | END=xã Thiện 50 | FLAGS=
ID=NQ28-085-S01-TT0003-02 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD=Thanh | START=Bình (cũ) Hưng | END=cũ | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-085-S01-TT0086-01 | SEC=agricultural | TT=86 | REL=main | PRICES=105,84,67,49 | ROAD=Đường Quy hoạch trung tâm hành chính Toàn xã Thanh Hòa (cũ) | START=tuyến | END=105 | FLAGS=
ID=NQ28-085-S01-TT0087-01 | SEC=agricultural | TT=87 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp 1 Đường | START=Hết ranh ĐT 759B hóa ấp | END=nhà văn 50 1 | FLAGS=
ID=NQ28-085-S01-TT0088-01 | SEC=agricultural | TT=88 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp 2 Đường | START=ĐT 759B Ngã tư | END=ấp 2 và ấp 3 50 | FLAGS=
ID=NQ28-085-S01-TT0089-01 | SEC=agricultural | TT=89 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp 7 Đường (ngã ba cây Sao) | START=Ngã tư ĐT 759B Thanh | END=UBND xã 50 Hòa (cũ) | FLAGS=
ID=NQ28-085-S01-TT0090-01 | SEC=agricultural | TT=90 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp 7 Đường (ngã ba quán cây me) | START=Hết ranh ĐT 759B 25, tờ 129 | END=thửa đất số bản đồ số 50 | FLAGS=
ID=NQ28-085-S01-TT0091-01 | SEC=agricultural | TT=91 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp 6 Đường | START=Hết ranh ĐT 759B 126, tờ 126 | END=thửa đất số bản đồ số 50 | FLAGS=
ID=NQ28-085-S01-TT0092-01 | SEC=agricultural | TT=92 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp 4 Đường (ngã ba nhà ông Hỷ) | START=Hết ranh ĐT 759 73, tờ | END=thửa đất số 50 bản đồ số 91 | FLAGS=
ID=NQ28-085-S01-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=50,40,32,32 | ROAD=Ngã Đường nhựa ấp 9 tiểu | START=tư trường Hết Nhà học ấp 9 9 | END=văn hóa ấp 50 | FLAGS=
ID=NQ28-085-S01-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp 3 Thửa giáp ranh xã Thiện tờ bản Hưng cũ (hướng trụ 112 sở Trung đoàn 717) | START=đất số 7, Hết ranh đồ số 40, tờ 110 | END=thửa đất số bản đồ số 50 | FLAGS=
ID=NQ28-085-S01-TT0095-01 | SEC=agricultural | TT=95 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp 3 Giáp trấn giáp ranh thị trấn Thanh Bình (cũ) (cũ) | START=Hết ranh ranh thị Thanh Bình 91, tờ 116 | END=thửa đất số bản đồ số 50 | FLAGS=
ID=NQ28-085-S01-TT0096-01 | SEC=agricultural | TT=96 | REL=main | PRICES=105,84,67,49 | ROAD=(hướng từ đường Nguyễn Văn Trỗi) Đường bê tông giáp ranh giữa thị trấn Đường Thanh Bình - xã Thanh Hòa (cũ) | START=Hết ranh ĐT 759B 4, tờ bản | END=thửa đất số 105 đồ số 125 | FLAGS=
ID=NQ28-085-S01-TT0097-01 | SEC=agricultural | TT=97 | REL=main | PRICES=105,84,67,49 | ROAD=Đường bê tông giáp Hết ranh giữa thị trấn đất Thanh Bình - xã đồ Thanh Hòa (cũ) | START=ranh thửa Hết ranh số 4, tờ bản 6 và thửa số 125 tờ bản | END=thửa đất số đất số 11, 105 đồ số 129 | FLAGS=
ID=NQ28-085-S01-TT0098-01 | SEC=agricultural | TT=98 | REL=main | PRICES=50,40,32,32 | ROAD=Đường bê tông vào ấp Đường | START=Hết thửa ĐT 759B | END=đất số 4, 50 | FLAGS=
ID=NQ28-085-S01-TT0006-02 | SEC=agricultural | TT=6 | REL=main | PRICES= | ROAD= | START=tờ bản | END=đồ số 124 | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-085-S01-TT0099-01 | SEC=agricultural | TT=99 | REL=main | PRICES=50,40,32,32 | ROAD=Đường bê tông vào ấp Đường | START=Hết thửa ĐT 759B | END=đất số 254, 50 | FLAGS=
ID=NQ28-085-S01-TT0006-03 | SEC=agricultural | TT=6 | REL=main | PRICES= | ROAD= | START=tờ bản | END=đồ số 124 | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-085-S01-TT0100-01 | SEC=agricultural | TT=100 | REL=main | PRICES=50,40,32,32 | ROAD=Đường bê tông vào ấp Dường | START=Hết thửa ĐT 759B | END=đất số 44, 50 | FLAGS=
ID=NQ28-085-S01-TT0006-04 | SEC=agricultural | TT=6 | REL=main | PRICES= | ROAD=Đường nhựa thôn 3 | START=tờ bản | END=đồ số 123 | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
