TABLE=082 | AREA=Xã Thọ Sơn | RECORDS=38 | GROUPS=38 | REVIEW=0
ID=NQ28-082-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=169,135,108 | ROAD=82. Xã Thọ Sơn Ranh Đường Quốc lộ 14 Sơn | START=Đoạn đường giới xã Phú Giáp cũ Duy | END=Giá trồng cây năm ranh cây xăng Kỳ | FLAGS=
ID=NQ28-082-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=91,73,58 | ROAD=Ngã Đường liên thôn vào Nông | START=Hết ba Đường ông đập thủy lợi số trường số | END=ranh đất nhà Anh (thửa đất 447, tờ bản đồ 90) | FLAGS=
ID=NQ28-082-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=91,73,58 | ROAD=Ngã Đường liên thôn vào trường | START=Giáp ba Đường trường cổng Nông (thửa tờ | END=ranh Nông cao su đất số 340, bản đồ số 90) | FLAGS=
ID=NQ28-082-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=104,83,67,32 | ROAD=Ngã Đường Đoàn Kết - Đồng chuối số Nai 72) | START=Ngã ba Vườn vào (Thửa đất cũ) 7, tờ bản đồ số 29, 72) | END=ba đường rẽ thôn 6 (thôn 5 (Thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-082-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=104,83,67,32 | ROAD=Ngã Đường Đoàn Kết - Đồng vào Nai cũ) | START=ba đường rẽ Hết thôn 6 (thôn 5 ông (Thửa đất số số | END=ranh đất nhà Tụy (Thửa đất 10, tờ bản đồ số | FLAGS=
ID=NQ28-082-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=104,83,67,32 | ROAD=29, 72) Hết Đường Đoàn Kết - Đồng ông số Nai số | START=tờ bản đồ số 106) ranh đất nhà Hết Tụy (Thửa đất ông 10, tờ bản đồ đất đồ 106) | END=ranh đất nhà Hùng (Thửa số 298, tờ bản số 111) | FLAGS=
ID=NQ28-082-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=104,83,67,32 | ROAD=Hết Đường Đoàn Kết - Đồng ông đất Nai đồ | START=ranh đất nhà Ngã Hùng (Thửa Công số 298, tờ bản (Thửa số 111) bản | END=ba cổng chào ty An Phước đất số 86, tờ đồ số 112) | FLAGS=
ID=NQ28-082-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=104,83,67,32 | ROAD=Ngã Đường Đoàn Kết - Đồng Công (Thửa Nai tờ | START=ba cổng chào Hết ty An Phước Điểu đất số 86, đất bản đồ số 112) đồ | END=ranh đất ông Quang (Thửa số 32, tờ bản số 113) | FLAGS=
ID=NQ28-082-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=104,83,67,32 | ROAD=Hết Đường Đoàn Kết - Đồng Điểu đất Nai đồ | START=ranh đất ông Quang (Thửa Hết số 32, tờ bản số 113) | END=tuyến | FLAGS=
ID=NQ28-082-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=104,83,67,32 | ROAD=Hết Đường Đoàn Kết - Đồng ông đất Nai đồ | START=ranh đất nhà Hết Hùng (Thửa ông số 298, tờ bản đất số đồ | END=ranh đất nhà Ngọt (Thửa số 71, tờ bản số 115) | FLAGS=
ID=NQ28-082-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=104,83,67,32 | ROAD=Hết Đường Đoàn Kết - Đồng ông đất Nai đồ | START=ranh đất nhà Ngã Ngọt (Thửa (Thửa số 71, tờ bản bản số 115) | END=ba Bù Chóp đất số 59, tờ đồ số 121) | FLAGS=
ID=NQ28-082-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=104,83,67,32 | ROAD=Ngã Đường Đoàn Kết - Đồng (Thửa Nai tờ | START=ba Bù Chóp đất số 59, Cuối bản đồ số 121) | END=tuyến | FLAGS=
ID=NQ28-082-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=104,83,67,32 | ROAD=Giáp Đường Đoàn Kết - Đồng Đoàn Nai Sơn | START=Ngã ranh xã Công Kết - Thọ đất cũ bản | END=ba ông Đình Thành (Thửa số 28&266, tờ đồ số 38) | FLAGS=
ID=NQ28-082-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=104,83,67,32 | ROAD=Ngã Công Đường Đoàn Kết - Đồng (Thửa Nai 28&266, số | START=ba ông Đình Thành Giáp đất số Nai tờ bản đồ 38) | END=ranh xã Đồng - Thọ Sơn cũ | FLAGS=
ID=NQ28-082-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=91,73,58,32 | ROAD=Nhà Đường liên thôn Sơn Lập Trọng - Sơn Thọ đất tờ | START=Nhà ông Trần Thống thửa Công số 164&238, đất Bản đồ số 48 bản | END=Ông Đoàn Thức thửa số 24&3, tờ đồ số 43 | FLAGS=
ID=NQ28-082-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=91,73,58,32 | ROAD=Nhà Đường liên thôn Sơn Lập Công - Sơn Thọ đất bản | START=ông Đoàn Ngã Thức thửa Tổng số 24 &3, tờ 276&23, đồ số 43 số | END=ba chùa ông thửa đất số tờ bản đồ 35 | FLAGS=
ID=NQ28-082-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=91,73,58,32 | ROAD=Ngã Đường liên thôn Sơn Lập Tòng - Sơn Thọ 276 | START=ba chùa Ông Cuối thửa đất số Nguyễn &23, tờ bản thửa | END=nhà ông Văn Nhân đất số 294 & | FLAGS=
ID=NQ28-082-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=73,58,32 | ROAD=đồ Cuối Nguyễn Đường liên thôn Sơn Lập thửa - Sơn Thọ 335, 32 | START=số 35 335, 32 nhà ông Cầu Văn Nhân nhà đất số 294 & Minh tờ bản đồ số Sông đồ | END=tờ bản đồ số Sông R lấp ông Đặng Lộc giáp cầu R Lấp tờ bản số 33 | FLAGS=
ID=NQ28-082-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=91,73,58,32 | ROAD=Ngã Đường liên thôn Sơn Lợi (giáp - Sơn Hòa lộ | START=ba Sơn Lợi Ngã đường Quốc THCS 14) | END=ba vào trường (Cấp 1,2) | FLAGS=
ID=NQ28-082-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=91,73,58,32 | ROAD=Ngã Đường liên thôn Sơn Lợi trường - Sơn Hòa (Cấp | START=ba vào THCS Suối 1,2) | END=Sơn Hòa | FLAGS=
ID=NQ28-082-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=91,73,58,32 | ROAD=Đường vào trường Tiểu Toàn học Thọ Sơn Các tuyến đường bê | START=tuyến | END= | FLAGS=
ID=NQ28-082-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=91,73,58,32 | ROAD=tông xi măng theo Quyết định số 2541/QĐ-UBND Đường ngày 29/12/2023 của huyện Bù Đăng | START=Rẫy thôn Sơn | END=ông Đạo, thôn Thọ | FLAGS=
ID=NQ28-082-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=91,73,58,32 | ROAD=Đoạn Đường bê tông xi măng hóa | START=vào nhà văn thôn Sơn Thọ | END= | FLAGS=
ID=NQ28-082-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=91,73,58,32 | ROAD=Đường bê tông xi măng Nhà | START=Rẫy ông Quỳnh thôn | END=ông Phong, Sơn Lập | FLAGS=
ID=NQ28-082-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=91,73,58,32 | ROAD=Đường bê tông xi măng Nhà | START=Rẫy ông Năm thôn | END=ông Mạnh, Sơn Lập | FLAGS=
ID=NQ28-082-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=91,73,58,32 | ROAD=Đoạn Đường nối tiếp bê tông xi Toán, măng Lập | START=nhà ông thân Sơn | END= | FLAGS=
ID=NQ28-082-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=91,73,58,32 | ROAD=Các tuyến đường nhựa, Toàn bê tông còn | START=tuyến | END= | FLAGS=
ID=NQ28-082-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=70,56,45,32 | ROAD=Các tuyến đường đất còn Toàn tại | START=tuyến | END= | FLAGS=
