TABLE=087 | AREA=Xã Hưng Phước | RECORDS=23 | GROUPS=23 | REVIEW=0
ID=NQ28-087-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=134,108,49 | ROAD=87. Xã Hưng Phước Tên đường giao TT thông Giáp Đường ĐT 759B Thiện | START=Đoạn đường ranh xã Cầu sắt 2 Hưng | END=Giá đất trồng cây lâu năm 168 | FLAGS=
ID=NQ28-087-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=50,40,32,32 | ROAD=Đường Đường vào cầu suối 759B | START=ĐT Cầu suối số 41, thửa | END=(Tờ bản đồ 50 đất số 66 | FLAGS=
ID=NQ28-087-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=84,67,49 | ROAD=Đường Đường nhựa 759B hạt Kiểm | START=đến thửa ĐT Hết ranh (ngã ba 85, tờ bản lâm) | END=đất số 67) thửa đất số 105 đồ số 22 | FLAGS=
ID=NQ28-087-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=84,67,49 | ROAD=hết ranh Đường nhựa đất số bản | START=thửa Thửa đất 85, tờ bản đồ số đồ số 22 | END=số 78, tờ 105 13 | FLAGS=
ID=NQ28-087-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=84,67,49 | ROAD=Thửa Đường nhựa 78, tờ số 13 | START=đất số Thửa đất bản đồ bản đồ số | END=số 230, tờ 105 8 | FLAGS=
ID=NQ28-087-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp 5 - Đường Phước Tiến 759B | START=Ngã ba Đường ĐT điểm lẻ Trường học ấp Phước | END=vào Tiểu 50 Tiến | FLAGS=
ID=NQ28-087-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=50,40,32,32 | ROAD=Ngã Đường Đường nhựa ấp 5 - điểm Phước Tiến Trường học | START=ba vào lẻ Hết tuyến Tiểu ấp Phước | END=50 | FLAGS=
ID=NQ28-087-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=50,40,32,32 | ROAD=Tiến Đường nhựa ấp 4 - Đường Bù Tam 759B | START=ĐT Nghĩa địa | END=ấp Bù Tam 50 | FLAGS=
ID=NQ28-087-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=50,40,32,32 | ROAD=Đường Đường nhựa ấp 3 759B | START=ĐT Hết ranh Ra | END=Công ty La 50 | FLAGS=
ID=NQ28-087-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=50,40,32,32 | ROAD=Đường Đường vào ấp 6 759B | START=ĐT Hết thửa tờ bản đồ | END=đất số 17, 50 số 30 ấp 6 | FLAGS=
ID=NQ28-087-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=50,40,32,32 | ROAD=Đường Đường vào ấp 6 759B chào | START=ĐT (Cổng Hết tuyến văn hóa) | END=50 | FLAGS=
ID=NQ28-087-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=50,40,32,32 | ROAD=Các tuyến đường đất Toàn còn lại | START=tuyến | END=50 | FLAGS=
