TABLE=078 | AREA=Xã Minh Đức | RECORDS=54 | GROUPS=54 | REVIEW=5
ID=NQ28-078-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=96,77,61,42 | ROAD=78. Xã Minh Đức Tên đường TT giao thông Ngã ba T&T Đường ĐH 246 đất số 324, số 66) | START=Đoạn đường Suối (Hết (thửa 191 và thửa tờ bản đồ 106 thuộc số 66) | END=Giá đất trồng cây lâu năm thửa đất số đất số 96 tờ bản đồ | FLAGS=
ID=NQ28-078-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=96,77,61,42 | ROAD=Đường liên xã Từ thửa đất (xã Minh Đức thửa đất số cũ) tờ bản đồ | START=số 9 và Đến hết 41 thuộc đất số 234, số 64 số 39 | END=ranh thửa tờ bản đồ 96 | FLAGS=
ID=NQ28-078-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=70,56,45,42 | ROAD=Đầu ranh Đường Lộ đal ấp thửa đất số | START=đất thuộc Hết ranh 61, thửa thửa đất | END=đất thuộc số 125, tờ 70 | FLAGS=
ID=NQ28-078-S01-TT0003-02 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD=số 62, tờ bản 73) | START=đồ số bản đồ số | END=73) | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-078-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=70,56,45,42 | ROAD=Đường nhựa ấp Từ thửa đất 1A đi ấp Sóc bản đồ số Ruộng | START=số 53, tờ Hết thửa 73 tờ bản đồ | END=đất số 52, 70 số 74 | FLAGS=
ID=NQ28-078-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=70,56,45,42 | ROAD=Ngã ba nông Bình Minh Đường nhựa ấp đường ĐH 1A đầu thửa tờ bản đồ | START=trường Ngã ba trường (Giao với Minh Đức 246, từ thửa đất đất số 118, bản đồ số số 66) | END=THCS (hết ranh 70 số 372, tờ 66) | FLAGS=
ID=NQ28-078-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=70,56,45,42 | ROAD=Ngã ba bên nông trường Đường nhựa ấp Minh (Giao đường ĐH 1B đầu thửa tờ bản đồ | START=hông Bình Giáp đất với trường Bình 246, từ (Đến hết đất số 73, 30, tờ bản số 66) | END=nông Minh 70 thửa đất số đồ số 59) | FLAGS=
ID=NQ28-078-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=70,56,45,42 | ROAD=Đường nhựa từ Giáp đường ấp 2 đi ấp Chà (xã Minh Đức Lon | START=Suối (Đến liên xã đất số 133 cũ) đất số 124 | END=hết thửa và thửa 70 thuộc tờ | FLAGS=
ID=NQ28-078-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=70,56,45,42 | ROAD=Suối (Từ đầu Đường nhựa từ đất số 67, ấp 2 đi ấp Chà số 72 và đầu đất số 163, Lon số 73) | START=bản đồ số thửa Đến hết tờ bản đồ 29 và thửa thửa thuộc tờ tờ bản đồ 43 | END=73) thửa đất số đất số 38 70 bản đồ số | FLAGS=
ID=NQ28-078-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=96,77,61,42 | ROAD=Đường xã Minh Giáp đường Đức đi xã Tân (xã Minh Đức Khai | START=Giáp ranh liên xã số 52 và cũ) 63 thuộc số 74 | END=thửa đất thửa đất số 96 tờ bản đồ | FLAGS=
ID=NQ28-078-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=96,77,61,42 | ROAD=Giáp ranh Đường xã Minh số 52 và thửa Đức đi xã Tân 63 thuộc tờ Khai số 74 | START=thửa đất Hết thửa đất số và thửa bản đồ thuộc tờ 44 | END=đất số 27 đất số 40 96 bản đồ số | FLAGS=
ID=NQ28-078-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=115,92,42 | ROAD=Giáp ranh Đường ĐT 752 Bình Long | START=phường Hết ranh 26, tờ bản | END=thửa đất số 144 đồ số 02 | FLAGS=
ID=NQ28-078-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=115,92,42 | ROAD=Hết ranh thửa Đường ĐT 752 26, tờ bản | START=Phía Bắc: đất số 170, đất số số 11 Phía đồ số 02 thửa đất bản đồ số | END=Hết thửa tờ bản đồ Nam: Hết 144 số 169, tờ 11 | FLAGS=
ID=NQ28-078-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=115,92,42 | ROAD=Phía Bắc: đất số 170, Đường ĐT 752 số 11 Phía thửa đất số bản đồ số | START=Hết thửa tờ bản đồ Giáp sông Nam: Hết (giáp tỉnh 169, tờ 11 | END=Sài Gòn 144 Tây Ninh) | FLAGS=
ID=NQ28-078-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=86,69,42 | ROAD=Đường Nhựa Đường ĐT752 vào Nhà máy xi ba Hòa Đào) măng | START=Ngã tư nhà (Ngã măng (Hết 374 và 151 số 9) | END=máy xi ranh thửa 108 tờ bản đồ | FLAGS=
ID=NQ28-078-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=96,77,42 | ROAD=Đường giao thông phía Tây Giáp ranh Quốc lộ 13 kết Khai nối Chơn Thành - Hoa Lư | START=xã Tân Giáp ranh | END=Suối 120 | FLAGS=
ID=NQ28-078-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=96,77,42 | ROAD=Đường giao thông phía Tây Quốc lộ 13 kết Ranh Suối nối Chơn Thành - Hoa Lư | START=Giao ngã Nhựa ĐT752 Minh Tâm | END=tư đường (xã 120 cũ ) | FLAGS=
ID=NQ28-078-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=96,77,42 | ROAD=Đường giao thông phía Tây Giao ngã Quốc lộ 13 kết Nhựa ĐT752 nối Chơn Thành Minh Tâm - Hoa Lư | START=tư đường Ngã tư nhà (xã măng cũ) | END=máy xi 120 | FLAGS=
ID=NQ28-078-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=96,77,42 | ROAD=Đường giao thông phía Tây Ngã tư nhà Quốc lộ 13 kết măng nối Chơn Thành - Hoa Lư | START=Ngã Tư máy xi liên xã Minh An Phú | END=ranh đường Tâm - 120 cũ | FLAGS=
ID=NQ28-078-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=90,72,58,42 | ROAD=Đường giao thông phía Tây Ngã Tư ranh Quốc lộ 13 kết liên xã Minh nối Chơn Thành An Phú cũ - Hoa Lư | START=đường Đến hết Tâm - giáp xã | END=ranh suối; 90 Lộc Thành | FLAGS=
ID=NQ28-078-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=90,72,58,42 | ROAD=Đường ranh giữa xã An Phú Cầu Ba Nông cũ và Minh Tâm cũ | START=Cầu cần | END=Lê 1 90 | FLAGS=
ID=NQ28-078-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=90,72,58,42 | ROAD=Đường ranh giữa xã An Phú Cầu Cần Lê cũ và Minh Tâm cũ | START=Ngã ba đường liên xã (Lô 1 Nông trường Cam) | END=nhựa 3/92, 90 Xa | FLAGS=
ID=NQ28-078-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=86,69,42 | ROAD=Đường giáp Đầu thửa ranh phường tờ bản đồ Hưng Chiến (cũ) | START=đất số 78, Hết tuyến số 7 | END=108 | FLAGS=
ID=NQ28-078-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=60,48,38,38 | ROAD=Đường nhựa Đầu thửa liên ấp 1 đến ấp tờ bản đồ | START=đất số 130, Hết thửa số 11 tờ bản đồ | END=đất số 161, 60 số 22 | FLAGS=
ID=NQ28-078-S01-TT0003-03 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-078-S01-TT0003-04 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD=Đường nhựa ấp xã Minh Tâm Đầu thửa | START=đất số 444, Hết thửa | END=đất số 249, | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-078-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=60,48,38,38 | ROAD=cũ đi phường tờ bản đồ Hưng Chiến, thị xã Bình Long | START=số 22 tờ bản đồ | END=60 số 7 | FLAGS=
ID=NQ28-078-S01-TT0002-02 | SEC=agricultural | TT=2 | REL=main | PRICES= | ROAD=Đường nhựa ấp Sóc Vàng, xã Đầu thửa | START=đất số 316, Hết thửa | END=đất số 247, | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-078-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=60,48,38,38 | ROAD=Minh Tâm đi Sóc tờ bản đồ Rul, xã An Phú | START=số 6 tờ bản đồ | END=60 số 6 | FLAGS=
ID=NQ28-078-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=60,48,38,38 | ROAD=Đường nhựa Ngã ba Sóc Vàng đi cầu Đầu thửa Thanh Niên ấp tờ bản đồ 4, xã Minh Tâm (Đoạn 1) | START=đất số 57, Hết thửa số 20 bản đồ số | END=đất số 4, tờ 60 17 | FLAGS=
ID=NQ28-078-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=60,48,38,38 | ROAD=Đường nhựa Ngã ba Sóc Vàng đi cầu Từ đầu thửa Thanh Niên ấp 4, tờ bản 4, xã Minh Tâm (Đoạn 2) | START=đất số Đến hết đồ số 17 220, tờ bản | END=thửa đất số 60 đồ số 5 | FLAGS=
ID=NQ28-078-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=60,48,38,38 | ROAD=Đường nhựa vô Ngã tư nhà nhà máy xi măng măng Minh Tâm | START=máy xi Hết tuyến | END=60 | FLAGS=
ID=NQ28-078-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=60,48,38,38 | ROAD=Đường nhựa liên xã An Phú Toàn tuyến cũ | START= | END=60 | FLAGS=
ID=NQ28-078-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=60,48,38,38 | ROAD=Đường từ Ngã Từ thửa đất tư Tằng Hách tờ bản đồ đến Ngã tư Phúc | START=Đường giao số 1125, phía Tây số 51 kết nối Chơn | END=thông Quốc lộ 13 60 Thành - | FLAGS=
ID=NQ28-078-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=60,48,38,38 | ROAD=Sơn Đường từ Ngã ba nghĩa địa Từ thửa đất Tằng Hách đi tờ bản đồ Phường An Lộc (đường số 1) | START=Hoa Lư số 283, Giáp ranh số 51 An Lộc | END=phường 60 | FLAGS=
ID=NQ28-078-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=90,72,58,42 | ROAD=Đường Nhựa ấp Ngã tư đường sóc 5 (ĐT 752B- ĐT752 QH QL14C cũ) | START=Giáp đất Tống Chân | END=trại giam 90 (K4) | FLAGS=
ID=NQ28-078-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=90,72,58,42 | ROAD=Đường Nhựa ấp Ngã tư đường | START=Giáp suối | END=90 | FLAGS=
ID=NQ28-078-S01-TT0004-02 | SEC=agricultural | TT=4 | REL=main | PRICES= | ROAD=ĐT752 Đường từ Ngã | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-078-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=60,48,38,38 | ROAD=ba Phố Lố đến Từ thửa đất bản đồ số cổng chào An Tân | START=số 31, tờ Đến thửa 84 tờ bản đồ | END=đất số 126, 60 số 50 | FLAGS=
ID=NQ28-078-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=60,48,38,38 | ROAD=Giáp ranh Đường Nhựa Bình Long Bình Phú - Sóc số 45, tờ bản Rul 93) | START=phường (thửa đất Hết thửa đồ số tờ bản đồ | END=đất số 53, 60 số 94 | FLAGS=
ID=NQ28-078-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=60,48,38,38 | ROAD=Đường Bình Phú Từ thửa đất bản đồ số - Sóc Rui | START=số 54, tờ Giáp ranh 93 Tâm cũ | END=xã Minh 60 | FLAGS=
ID=NQ28-078-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=60,48,38,38 | ROAD=Đường nhựa đi Ngã ba giao phường An Lộc liên xã An (Từ thửa đất (xã Thanh Lương cũ) tờ bản đồ | START=đường Phú (cũ) Hết ranh số 40, 21, tờ bản số 86) | END=thửa đất số 60 đồ số 83 | FLAGS=
ID=NQ28-078-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=50,40,32,32 | ROAD=Đường giao thông nông thôn Toàn tuyến có độ rộng từ 3m trở lên | START= | END=50 | FLAGS=
ID=NQ28-078-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=50,40,32,32 | ROAD=Các tuyến Toàn tuyến đường còn lại | START= | END=50 | FLAGS=
