TABLE=020 | AREA=Phường Bảo Vinh | SECTION=agricultural | SEGMENTS=1
P=0663 | X=0108.770-0415.900 | Y=0090.020-0101.260 | Đường Suối Chồn - Bàu Cối đoạn từ Đường Nguyễn Trung Trực đến
P=0663 | X=0108.770-0400.110 | Y=0101.540-0112.780 | Ngã ba Suối Chồn có hiện trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0096.530-0102.130 | Y=0109.420-0118.740 | 5
P=0663 | X=0456.650-0473.290 | Y=0109.420-0118.740 | 470
P=0663 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 340
P=0663 | X=0108.770-0331.680 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0663 | X=0108.770-0385.940 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0663 | X=0108.770-0394.030 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0663 | X=0108.770-0415.900 | Y=0165.650-0176.890 | Đường Suối Chồn - Bàu Cối đoạn từ Đường Nguyễn Trung Trực đến
P=0663 | X=0108.770-0400.110 | Y=0177.170-0188.410 | Ngã ba Suối Chồn có hiện trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0096.530-0331.940 | Y=0194.690-0209.030 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0663 | X=0456.650-0473.290 | Y=0199.710-0209.030 | 370
P=0663 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 270
P=0663 | X=0108.770-0415.190 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0663 | X=0108.770-0142.290 | Y=0223.750-0234.990 | ≤600m.
P=0663 | X=0108.770-0331.940 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0663 | X=0108.770-0394.030 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0663 | X=0108.770-0415.900 | Y=0270.550-0281.790 | Đường Suối Chồn - Bàu Cối đoạn từ Đường Nguyễn Trung Trực đến
P=0663 | X=0108.770-0400.110 | Y=0282.100-0293.340 | Ngã ba Suối Chồn có hiện trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0096.530-0102.130 | Y=0289.980-0299.300 | 7
P=0663 | X=0456.650-0473.290 | Y=0289.980-0299.300 | 310
P=0663 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 210
P=0663 | X=0108.770-0386.180 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0663 | X=0108.770-0335.060 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0663 | X=0331.320-0414.700 | Y=0336.780-0346.100 | Chùa Quảng Hạnh
P=0663 | X=0096.530-0324.200 | Y=0340.660-0351.900 | 8 Đường Suối Chồn - Bàu Cối Ngã ba Suối Chồn
P=0663 | X=0456.650-0473.290 | Y=0342.540-0351.860 | 700
P=0663 | X=0505.390-0522.030 | Y=0342.540-0351.860 | 580
P=0663 | X=0331.320-0344.300 | Y=0348.300-0357.620 | Tự
P=0663 | X=0108.770-0412.940 | Y=0363.940-0375.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0663 | X=0108.770-0422.630 | Y=0375.480-0386.720 | Bàu Cối đoạn từ Ngã ba Suối Chồn đến Chùa Quảng Hạnh Tự có hiện
P=0663 | X=0108.770-0280.550 | Y=0387.000-0398.240 | trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0096.530-0102.130 | Y=0394.880-0404.200 | 9
P=0663 | X=0456.650-0473.290 | Y=0394.880-0404.200 | 470
P=0663 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 340
P=0663 | X=0108.770-0331.680 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0663 | X=0108.770-0385.940 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0663 | X=0108.770-0412.940 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0663 | X=0108.770-0422.630 | Y=0451.340-0462.580 | Bàu Cối đoạn từ Ngã ba Suối Chồn đến Chùa Quảng Hạnh Tự có hiện
P=0663 | X=0108.770-0280.550 | Y=0462.860-0474.100 | trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0093.620-0331.940 | Y=0480.380-0494.460 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0663 | X=0456.650-0473.290 | Y=0485.140-0494.460 | 370
P=0663 | X=0505.390-0522.030 | Y=0485.140-0494.460 | 270
P=0663 | X=0108.770-0415.190 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0663 | X=0108.770-0142.290 | Y=0509.420-0520.660 | ≤600m.
P=0663 | X=0108.770-0331.940 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0663 | X=0108.770-0412.940 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0663 | X=0108.770-0422.630 | Y=0556.010-0567.250 | Bàu Cối đoạn từ Ngã ba Suối Chồn đến Chùa Quảng Hạnh Tự có hiện
P=0663 | X=0108.770-0280.580 | Y=0567.530-0578.770 | trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0093.620-0104.740 | Y=0575.410-0584.730 | 11
P=0663 | X=0456.650-0473.290 | Y=0575.410-0584.730 | 310
P=0663 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 210
P=0663 | X=0108.770-0386.180 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0663 | X=0108.770-0332.410 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0663 | X=0108.770-0394.030 | Y=0620.350-0631.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0663 | X=0108.770-0402.230 | Y=0631.870-0643.110 | Đường Suối Chồn - Bàu Cối đoạn từ Ngã ba Suối Chồn đến Chùa
P=0663 | X=0108.770-0390.750 | Y=0643.390-0654.630 | Quảng Hạnh Tự có hiện trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0093.620-0104.740 | Y=0651.270-0660.590 | 12
P=0663 | X=0456.650-0473.290 | Y=0651.270-0660.590 | 470
P=0663 | X=0505.390-0522.030 | Y=0651.270-0660.590 | 340
P=0663 | X=0108.770-0331.680 | Y=0660.910-0672.150 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0663 | X=0108.770-0385.940 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0663 | X=0108.770-0394.030 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0663 | X=0093.620-0104.740 | Y=0703.860-0713.180 | 13
P=0663 | X=0456.650-0473.290 | Y=0703.860-0713.180 | 370
P=0663 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 270
P=0663 | X=0108.770-0402.230 | Y=0707.730-0718.970 | Đường Suối Chồn - Bàu Cối đoạn từ Ngã ba Suối Chồn đến Chùa
P=0664 | X=0108.770-0390.750 | Y=0072.500-0083.740 | Quảng Hạnh Tự có hiện trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0108.770-0331.940 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0664 | X=0108.770-0415.190 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0664 | X=0108.770-0142.290 | Y=0119.090-0130.330 | ≤600m.
P=0664 | X=0108.770-0331.940 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0664 | X=0108.770-0394.030 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0664 | X=0108.770-0402.230 | Y=0165.650-0176.890 | Đường Suối Chồn - Bàu Cối đoạn từ Ngã ba Suối Chồn đến Chùa
P=0664 | X=0108.770-0390.750 | Y=0177.170-0188.410 | Quảng Hạnh Tự có hiện trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0093.620-0104.740 | Y=0185.050-0194.370 | 14
P=0664 | X=0456.650-0473.290 | Y=0185.050-0194.370 | 310
P=0664 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 210
P=0664 | X=0108.770-0386.180 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0664 | X=0108.770-0335.060 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0664 | X=0242.260-0325.640 | Y=0231.870-0241.190 | Chùa Quảng Hạnh
P=0664 | X=0093.620-0234.420 | Y=0235.750-0246.990 | 15 Đường Suối Chồn - Bàu Cối
P=0664 | X=0331.320-0417.500 | Y=0235.750-0246.990 | Hết cơ sở Thủ Mây
P=0664 | X=0456.650-0473.290 | Y=0237.630-0246.950 | 410
P=0664 | X=0505.390-0522.030 | Y=0237.630-0246.950 | 250
P=0664 | X=0242.260-0255.240 | Y=0243.390-0252.710 | Tự
P=0664 | X=0108.770-0412.940 | Y=0259.270-0270.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0664 | X=0108.770-0426.980 | Y=0270.790-0282.030 | Bàu Cối đoạn từ Chùa Quảng Hạnh Tự đến Hết cơ sở Thủ Mây có hiện
P=0664 | X=0108.770-0280.550 | Y=0282.340-0293.580 | trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0093.620-0104.740 | Y=0290.220-0299.540 | 16
P=0664 | X=0456.650-0473.290 | Y=0290.220-0299.540 | 260
P=0664 | X=0505.390-0522.030 | Y=0290.220-0299.540 | 230
P=0664 | X=0108.770-0339.850 | Y=0299.860-0311.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0664 | X=0108.770-0385.940 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0664 | X=0108.770-0412.940 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0664 | X=0108.770-0426.980 | Y=0346.660-0357.900 | Bàu Cối đoạn từ Chùa Quảng Hạnh Tự đến Hết cơ sở Thủ Mây có hiện
P=0664 | X=0108.770-0280.550 | Y=0357.940-0369.180 | trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0093.620-0340.320 | Y=0375.480-0389.800 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0664 | X=0456.650-0473.290 | Y=0380.480-0389.800 | 210
P=0664 | X=0505.390-0522.030 | Y=0380.480-0389.800 | 190
P=0664 | X=0108.770-0415.190 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0664 | X=0108.770-0150.450 | Y=0404.520-0415.760 | ≤1.000m.
P=0664 | X=0108.770-0331.940 | Y=0422.040-0433.280 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0664 | X=0108.770-0412.940 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0664 | X=0108.770-0426.980 | Y=0451.340-0462.580 | Bàu Cối đoạn từ Chùa Quảng Hạnh Tự đến Hết cơ sở Thủ Mây có hiện
P=0664 | X=0108.770-0280.550 | Y=0462.860-0474.100 | trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0093.620-0104.770 | Y=0470.740-0480.060 | 18
P=0664 | X=0456.650-0473.290 | Y=0470.740-0480.060 | 150
P=0664 | X=0505.390-0522.030 | Y=0470.740-0480.060 | 140
P=0664 | X=0108.770-0394.560 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0664 | X=0108.770-0332.410 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0664 | X=0108.770-0394.030 | Y=0515.660-0526.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0664 | X=0108.770-0425.540 | Y=0527.180-0538.420 | Đường Suối Chồn - Bàu Cối đoạn từ Chùa Quảng Hạnh Tự đến Hết cơ
P=0664 | X=0108.770-0371.540 | Y=0538.490-0549.730 | sở Thủ Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0093.620-0104.740 | Y=0546.370-0555.690 | 19
P=0664 | X=0456.650-0473.290 | Y=0546.370-0555.690 | 260
P=0664 | X=0505.390-0522.030 | Y=0546.370-0555.690 | 230
P=0664 | X=0108.770-0339.880 | Y=0556.010-0567.250 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0664 | X=0108.770-0385.940 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0664 | X=0108.770-0394.030 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0664 | X=0108.770-0425.540 | Y=0602.810-0614.050 | Đường Suối Chồn - Bàu Cối đoạn từ Chùa Quảng Hạnh Tự đến Hết cơ
P=0664 | X=0108.770-0371.560 | Y=0614.330-0625.570 | sở Thủ Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0093.620-0340.320 | Y=0631.870-0646.190 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0664 | X=0456.650-0473.290 | Y=0636.870-0646.190 | 210
P=0664 | X=0505.390-0522.030 | Y=0636.870-0646.190 | 190
P=0664 | X=0108.770-0415.190 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0664 | X=0108.770-0150.450 | Y=0660.910-0672.150 | ≤1.000m.
P=0664 | X=0108.770-0331.940 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0664 | X=0108.770-0394.030 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0664 | X=0093.620-0104.740 | Y=0703.860-0713.180 | 21
P=0664 | X=0456.650-0473.290 | Y=0703.860-0713.180 | 150
P=0664 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 140
P=0664 | X=0108.770-0425.540 | Y=0707.730-0718.970 | Đường Suối Chồn - Bàu Cối đoạn từ Chùa Quảng Hạnh Tự đến Hết cơ
P=0665 | X=0108.770-0371.540 | Y=0072.500-0083.740 | sở Thủ Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0108.770-0394.560 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0665 | X=0108.770-0335.060 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0665 | X=0331.320-0414.680 | Y=0127.210-0136.530 | Giáp ranh xã Xuân
P=0665 | X=0093.620-0328.440 | Y=0131.090-0142.330 | 22 Đường Suối Chồn - Bàu Cối Hết cơ sở Thủ Mây
P=0665 | X=0456.650-0473.290 | Y=0132.970-0142.290 | 410
P=0665 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 250
P=0665 | X=0331.320-0348.600 | Y=0138.730-0148.050 | Bắc
P=0665 | X=0108.770-0412.940 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0665 | X=0108.770-0409.410 | Y=0166.130-0177.370 | Bàu Cối đoạn từ Hết cơ sở Thủ Mây đến Giáp ranh xã Xuân Bắc có
P=0665 | X=0108.770-0302.380 | Y=0177.410-0188.650 | hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0093.620-0104.740 | Y=0185.290-0194.610 | 23
P=0665 | X=0456.650-0473.290 | Y=0185.290-0194.610 | 260
P=0665 | X=0505.390-0522.030 | Y=0185.290-0194.610 | 230
P=0665 | X=0108.770-0339.850 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0665 | X=0108.770-0385.940 | Y=0212.470-0223.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0665 | X=0108.770-0412.940 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0665 | X=0108.770-0409.410 | Y=0241.750-0252.990 | Bàu Cối đoạn từ Hết cơ sở Thủ Mây đến Giáp ranh xã Xuân Bắc có
P=0665 | X=0108.770-0302.410 | Y=0253.270-0264.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0093.620-0340.320 | Y=0270.790-0284.870 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0665 | X=0456.650-0473.290 | Y=0275.550-0284.870 | 210
P=0665 | X=0505.390-0522.030 | Y=0275.550-0284.870 | 190
P=0665 | X=0108.770-0415.190 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0665 | X=0108.770-0150.450 | Y=0299.860-0311.100 | ≤1.000m.
P=0665 | X=0108.770-0331.940 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0665 | X=0108.770-0412.940 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0665 | X=0108.770-0409.410 | Y=0346.660-0357.900 | Bàu Cối đoạn từ Hết cơ sở Thủ Mây đến Giáp ranh xã Xuân Bắc có
P=0665 | X=0108.770-0302.380 | Y=0357.940-0369.180 | hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0093.620-0104.740 | Y=0365.820-0375.140 | 25
P=0665 | X=0456.650-0473.290 | Y=0365.820-0375.140 | 150
P=0665 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 140
P=0665 | X=0108.770-0394.560 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0665 | X=0108.770-0332.410 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0665 | X=0108.770-0394.030 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0665 | X=0108.770-0426.700 | Y=0422.280-0433.520 | Đường Suối Chồn - Bàu Cối đoạn từ Hết cơ sở Thủ Mây đến Giáp ranh
P=0665 | X=0108.770-0375.160 | Y=0433.800-0445.040 | xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0093.620-0104.740 | Y=0441.680-0451.000 | 26
P=0665 | X=0456.650-0473.290 | Y=0441.680-0451.000 | 260
P=0665 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 230
P=0665 | X=0108.770-0339.850 | Y=0451.340-0462.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0665 | X=0108.770-0385.960 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0665 | X=0108.770-0394.030 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0665 | X=0108.770-0426.700 | Y=0498.140-0509.380 | Đường Suối Chồn - Bàu Cối đoạn từ Hết cơ sở Thủ Mây đến Giáp ranh
P=0665 | X=0108.770-0375.160 | Y=0509.660-0520.900 | xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0093.620-0340.320 | Y=0527.180-0541.260 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0665 | X=0456.650-0473.290 | Y=0531.940-0541.260 | 210
P=0665 | X=0505.390-0522.030 | Y=0531.940-0541.260 | 190
P=0665 | X=0108.770-0415.190 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0665 | X=0108.770-0150.450 | Y=0556.010-0567.250 | ≤1.000m.
P=0665 | X=0108.770-0331.940 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0665 | X=0108.770-0394.030 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0665 | X=0108.770-0426.710 | Y=0602.810-0614.050 | Đường Suối Chồn - Bàu Cối đoạn từ Hết cơ sở Thủ Mây đến Giáp ranh
P=0665 | X=0108.770-0375.160 | Y=0614.330-0625.570 | xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0093.620-0104.740 | Y=0622.230-0631.550 | 28
P=0665 | X=0456.650-0473.290 | Y=0622.230-0631.550 | 150
P=0665 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 140
P=0665 | X=0108.770-0394.560 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0665 | X=0108.770-0335.060 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0665 | X=0242.260-0412.540 | Y=0667.150-0678.390 | Giáp ranh phường Đường Suối Chồn
P=0665 | X=0093.620-0230.740 | Y=0672.910-0684.150 | 29 Đường Nguyễn Trung Trực
P=0665 | X=0456.650-0473.290 | Y=0674.790-0684.110 | 700
P=0665 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 580
P=0665 | X=0242.260-0296.120 | Y=0680.550-0689.870 | Long Khánh
P=0665 | X=0331.320-0366.940 | Y=0680.550-0689.870 | Bàu Cối
P=0665 | X=0108.770-0423.340 | Y=0696.430-0707.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Trung
P=0665 | X=0093.620-0104.740 | Y=0704.100-0713.420 | 30
P=0665 | X=0456.650-0473.290 | Y=0704.100-0713.420 | 470
P=0665 | X=0505.390-0522.030 | Y=0704.100-0713.420 | 340
P=0665 | X=0108.770-0412.540 | Y=0707.970-0719.210 | Trực đoạn từ Giáp ranh phường Long Khánh đến Đường Suối Chồn
P=0666 | X=0108.770-0354.010 | Y=0072.500-0083.740 | Bàu Cối có hiện trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0108.770-0331.680 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0666 | X=0108.770-0385.940 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0666 | X=0108.770-0423.340 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Trung
P=0666 | X=0108.770-0412.540 | Y=0136.850-0148.090 | Trực đoạn từ Giáp ranh phường Long Khánh đến Đường Suối Chồn
P=0666 | X=0108.770-0354.010 | Y=0148.370-0159.610 | Bàu Cối có hiện trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0093.620-0331.940 | Y=0165.650-0179.970 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0666 | X=0456.650-0473.290 | Y=0170.650-0179.970 | 370
P=0666 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 270
