TABLE=033 | AREA=Xã Sông Ray | SECTION=agricultural | SEGMENTS=1
P=1086 | X=0121.490-0350.160 | Y=0159.650-0170.890 | Mộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1086 | X=0121.490-0353.040 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1086 | X=0102.770-0108.370 | Y=0182.170-0191.490 | 3
P=1086 | X=0446.330-0462.970 | Y=0182.170-0191.490 | 310
P=1086 | X=0505.390-0522.030 | Y=0182.170-0191.490 | 200
P=1086 | X=0121.490-0374.800 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1086 | X=0121.490-0216.460 | Y=0206.230-0217.470 | >500m đến ≤1.000m.
P=1086 | X=0121.490-0344.660 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1086 | X=0121.490-0389.030 | Y=0241.510-0252.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1086 | X=0121.490-0388.730 | Y=0253.030-0264.270 | 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại giam Xuyên
P=1086 | X=0121.490-0350.160 | Y=0264.550-0275.790 | Mộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1086 | X=0102.770-0108.370 | Y=0278.190-0287.510 | 4
P=1086 | X=0446.330-0462.970 | Y=0278.190-0287.510 | 220
P=1086 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 140
P=1086 | X=0121.490-0362.600 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1086 | X=0121.490-0163.630 | Y=0295.500-0304.820 | >1.000m.
P=1086 | X=0121.490-0345.130 | Y=0311.140-0322.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1086 | X=0121.490-0395.000 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1086 | X=0121.490-0398.380 | Y=0340.420-0351.660 | ra Đường tỉnh 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại
P=1086 | X=0121.490-0375.070 | Y=0351.700-0362.940 | giam Xuyên Mộc có hiện trạng là đường nhựa, bê tông xi
P=1086 | X=0121.490-0149.490 | Y=0363.220-0374.460 | măng:
P=1086 | X=0102.770-0108.370 | Y=0365.340-0374.660 | 5
P=1086 | X=0446.330-0462.970 | Y=0365.340-0374.660 | 380
P=1086 | X=0505.390-0522.030 | Y=0365.340-0374.660 | 250
P=1086 | X=0121.490-0352.570 | Y=0380.760-0392.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1086 | X=0121.490-0398.680 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1086 | X=0121.490-0395.000 | Y=0416.040-0427.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1086 | X=0121.490-0398.380 | Y=0427.560-0438.800 | ra Đường tỉnh 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại
P=1086 | X=0121.490-0375.070 | Y=0439.080-0450.320 | giam Xuyên Mộc có hiện trạng là đường nhựa, bê tông xi
P=1086 | X=0121.490-0149.490 | Y=0450.620-0461.860 | măng:
P=1086 | X=0102.770-0108.370 | Y=0467.140-0476.460 | 6
P=1086 | X=0446.330-0462.970 | Y=0467.140-0476.460 | 310
P=1086 | X=0505.390-0522.030 | Y=0467.140-0476.460 | 200
P=1086 | X=0121.490-0353.040 | Y=0468.140-0479.380 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1086 | X=0121.490-0374.800 | Y=0485.660-0496.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1086 | X=0121.490-0216.460 | Y=0497.180-0508.420 | >500m đến ≤1.000m.
P=1086 | X=0121.490-0344.660 | Y=0514.460-0525.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1086 | X=0121.490-0395.000 | Y=0532.220-0543.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1086 | X=0121.490-0398.380 | Y=0543.770-0555.010 | ra Đường tỉnh 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại
P=1086 | X=0121.490-0375.070 | Y=0555.290-0566.530 | giam Xuyên Mộc có hiện trạng là đường nhựa, bê tông xi
P=1086 | X=0121.490-0149.490 | Y=0566.810-0578.050 | măng:
P=1086 | X=0102.770-0108.370 | Y=0574.690-0584.010 | 7
P=1086 | X=0446.330-0462.970 | Y=0574.690-0584.010 | 220
P=1086 | X=0505.390-0522.030 | Y=0574.690-0584.010 | 140
P=1086 | X=0121.490-0362.600 | Y=0584.330-0595.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1086 | X=0121.490-0163.630 | Y=0597.730-0607.050 | >1.000m.
P=1086 | X=0121.490-0345.130 | Y=0613.370-0624.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1086 | X=0312.840-0395.160 | Y=0631.150-0642.390 | Hết Trường THCS
P=1086 | X=0224.740-0284.710 | Y=0633.030-0642.350 | Hết Trại giam
P=1086 | X=0121.490-0191.680 | Y=0636.910-0648.150 | Đường tỉnh 764
P=1086 | X=0102.770-0108.370 | Y=0638.790-0648.110 | 8
P=1086 | X=0446.330-0462.970 | Y=0638.790-0648.110 | 530
P=1086 | X=0505.390-0522.030 | Y=0638.790-0648.110 | 400
P=1086 | X=0224.740-0274.660 | Y=0644.550-0653.870 | Xuyên Mộc
P=1086 | X=0312.840-0356.760 | Y=0644.550-0653.870 | Sông Ray
P=1086 | X=0121.490-0389.030 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1086 | X=0121.490-0395.650 | Y=0671.950-0683.190 | 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết Trường THCS
P=1086 | X=0102.770-0108.370 | Y=0682.470-0691.790 | 9
P=1086 | X=0446.330-0462.970 | Y=0682.470-0691.790 | 380
P=1086 | X=0505.390-0522.030 | Y=0682.470-0691.790 | 250
P=1086 | X=0121.490-0374.910 | Y=0683.470-0694.710 | Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1086 | X=0121.490-0352.570 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1087 | X=0121.490-0398.680 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1087 | X=0121.490-0389.030 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1087 | X=0121.490-0395.650 | Y=0107.780-0119.020 | 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết Trường THCS
P=1087 | X=0121.490-0374.910 | Y=0119.330-0130.570 | Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1087 | X=0121.490-0353.040 | Y=0136.850-0148.090 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1087 | X=0100.130-0111.250 | Y=0141.610-0150.930 | 10
P=1087 | X=0446.330-0462.970 | Y=0141.610-0150.930 | 310
P=1087 | X=0505.390-0522.030 | Y=0141.610-0150.930 | 200
P=1087 | X=0121.490-0374.800 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1087 | X=0121.490-0216.470 | Y=0165.650-0176.890 | >500m đến ≤1.000m.
P=1087 | X=0121.490-0344.660 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1087 | X=0121.490-0389.030 | Y=0200.950-0212.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1087 | X=0121.490-0395.650 | Y=0212.470-0223.710 | 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết Trường THCS
P=1087 | X=0121.490-0374.910 | Y=0223.990-0235.230 | Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1087 | X=0100.130-0111.250 | Y=0237.630-0246.950 | 11
P=1087 | X=0446.330-0462.970 | Y=0237.630-0246.950 | 220
P=1087 | X=0505.390-0522.030 | Y=0237.630-0246.950 | 140
P=1087 | X=0121.490-0362.600 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1087 | X=0121.490-0163.630 | Y=0254.910-0264.230 | >1.000m.
P=1087 | X=0121.490-0345.130 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1087 | X=0121.490-0395.000 | Y=0288.340-0299.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1087 | X=0121.490-0393.910 | Y=0299.860-0311.100 | ra Đường tỉnh 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết
P=1087 | X=0121.490-0401.260 | Y=0311.380-0322.620 | Trường THCS Sông Ray có hiện trạng là đường nhựa, bê tông
P=1087 | X=0121.490-0159.320 | Y=0322.900-0334.140 | xi măng:
P=1087 | X=0100.130-0111.250 | Y=0325.020-0334.340 | 12
P=1087 | X=0446.330-0462.970 | Y=0325.020-0334.340 | 380
P=1087 | X=0505.390-0522.030 | Y=0325.020-0334.340 | 250
P=1087 | X=0121.490-0352.570 | Y=0340.420-0351.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1087 | X=0121.490-0398.680 | Y=0357.700-0368.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1087 | X=0121.490-0395.000 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1087 | X=0121.490-0393.910 | Y=0387.000-0398.240 | ra Đường tỉnh 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết
P=1087 | X=0121.490-0401.260 | Y=0398.520-0409.760 | Trường THCS Sông Ray có hiện trạng là đường nhựa, bê tông
P=1087 | X=0121.490-0159.320 | Y=0410.040-0421.280 | xi măng:
P=1087 | X=0100.130-0111.250 | Y=0426.800-0436.120 | 13
P=1087 | X=0446.330-0462.970 | Y=0426.800-0436.120 | 310
P=1087 | X=0505.390-0522.030 | Y=0426.800-0436.120 | 200
P=1087 | X=0121.490-0353.040 | Y=0427.560-0438.800 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1087 | X=0121.490-0374.800 | Y=0445.080-0456.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1087 | X=0121.490-0216.460 | Y=0456.620-0467.860 | >500m đến ≤1.000m.
P=1087 | X=0121.490-0344.660 | Y=0474.140-0485.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1087 | X=0121.490-0395.000 | Y=0491.900-0503.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1087 | X=0121.490-0393.910 | Y=0503.420-0514.660 | ra Đường tỉnh 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết
P=1087 | X=0121.490-0401.260 | Y=0514.940-0526.180 | Trường THCS Sông Ray có hiện trạng là đường nhựa, bê tông
P=1087 | X=0121.490-0159.320 | Y=0526.220-0537.460 | xi măng:
P=1087 | X=0100.130-0111.250 | Y=0534.100-0543.420 | 14
P=1087 | X=0446.330-0462.970 | Y=0534.100-0543.420 | 220
P=1087 | X=0505.390-0522.030 | Y=0534.100-0543.420 | 140
P=1087 | X=0121.490-0362.600 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1087 | X=0121.490-0163.630 | Y=0557.170-0566.490 | >1.000m.
P=1087 | X=0121.490-0345.130 | Y=0572.810-0584.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1087 | X=0224.740-0391.340 | Y=0590.570-0601.810 | Hết Trường THCS Đường liên ấp 1 -
P=1087 | X=0121.490-0191.680 | Y=0596.330-0607.570 | Đường tỉnh 764
P=1087 | X=0100.130-0111.250 | Y=0598.210-0607.530 | 15
P=1087 | X=0446.330-0462.970 | Y=0598.210-0607.530 | 530
P=1087 | X=0505.390-0522.030 | Y=0598.210-0607.530 | 400
P=1087 | X=0312.840-0332.360 | Y=0602.090-0613.330 | ấp 5
P=1087 | X=0224.740-0268.660 | Y=0603.970-0613.290 | Sông Ray
P=1087 | X=0121.490-0389.030 | Y=0619.870-0631.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1087 | X=0121.490-0401.740 | Y=0631.390-0642.630 | 764 đoạn từ Hết Trường THCS Sông Ray đến Đường liên ấp 1
P=1087 | X=0121.490-0356.660 | Y=0642.910-0654.150 | - ấp 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1087 | X=0100.130-0111.250 | Y=0650.790-0660.110 | 16
P=1087 | X=0446.330-0462.970 | Y=0650.790-0660.110 | 380
P=1087 | X=0505.390-0522.030 | Y=0650.790-0660.110 | 250
P=1087 | X=0121.490-0352.570 | Y=0660.430-0671.670 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1087 | X=0121.490-0398.680 | Y=0677.950-0689.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1087 | X=0121.490-0389.030 | Y=0695.710-0706.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1087 | X=0100.130-0111.250 | Y=0703.380-0712.700 | 17
P=1087 | X=0446.330-0462.970 | Y=0703.380-0712.700 | 310
P=1087 | X=0505.390-0522.030 | Y=0703.380-0712.700 | 200
P=1087 | X=0121.490-0401.740 | Y=0707.250-0718.490 | 764 đoạn từ Hết Trường THCS Sông Ray đến Đường liên ấp 1
P=1088 | X=0121.490-0356.660 | Y=0072.500-0083.740 | - ấp 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1088 | X=0121.490-0353.040 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1088 | X=0121.490-0374.800 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1088 | X=0121.490-0216.460 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=1088 | X=0121.490-0344.660 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1088 | X=0121.490-0389.030 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1088 | X=0121.490-0401.740 | Y=0165.650-0176.890 | 764 đoạn từ Hết Trường THCS Sông Ray đến Đường liên ấp 1
P=1088 | X=0121.490-0356.660 | Y=0177.170-0188.410 | - ấp 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1088 | X=0100.130-0111.250 | Y=0190.810-0200.130 | 18
P=1088 | X=0446.330-0462.970 | Y=0190.810-0200.130 | 220
P=1088 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 140
P=1088 | X=0121.490-0362.600 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1088 | X=0121.490-0163.630 | Y=0208.110-0217.430 | >1.000m.
P=1088 | X=0121.490-0345.140 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1088 | X=0121.490-0395.000 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1088 | X=0121.490-0391.670 | Y=0253.030-0264.270 | ra Đường tỉnh 764 đoạn từ Hết Trường THCS Sông Ray đến
P=1088 | X=0121.490-0400.990 | Y=0264.550-0275.790 | Đường liên ấp 1 - ấp 5 có hiện trạng là đường nhựa, bê tông xi
P=1088 | X=0121.490-0149.490 | Y=0276.070-0287.310 | măng:
P=1088 | X=0100.130-0111.250 | Y=0278.190-0287.510 | 19
P=1088 | X=0446.330-0462.970 | Y=0278.190-0287.510 | 380
P=1088 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 250
P=1088 | X=0121.490-0352.570 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1088 | X=0121.490-0398.680 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1088 | X=0121.490-0395.000 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1088 | X=0121.490-0391.670 | Y=0340.420-0351.660 | ra Đường tỉnh 764 đoạn từ Hết Trường THCS Sông Ray đến
P=1088 | X=0121.490-0400.990 | Y=0351.700-0362.940 | Đường liên ấp 1 - ấp 5 có hiện trạng là đường nhựa, bê tông xi
P=1088 | X=0121.490-0149.490 | Y=0363.220-0374.460 | măng:
P=1088 | X=0100.130-0111.250 | Y=0380.000-0389.320 | 20
P=1088 | X=0446.330-0462.970 | Y=0380.000-0389.320 | 310
P=1088 | X=0505.390-0522.030 | Y=0380.000-0389.320 | 200
P=1088 | X=0121.490-0353.040 | Y=0380.760-0392.000 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1088 | X=0121.490-0374.800 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1088 | X=0121.490-0216.460 | Y=0409.800-0421.040 | >500m đến ≤1.000m.
P=1088 | X=0121.490-0344.660 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1088 | X=0121.490-0395.000 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1088 | X=0121.490-0391.670 | Y=0456.620-0467.860 | ra Đường tỉnh 764 đoạn từ Hết Trường THCS Sông Ray đến
P=1088 | X=0121.490-0400.990 | Y=0468.140-0479.380 | Đường liên ấp 1 - ấp 5 có hiện trạng là đường nhựa, bê tông xi
P=1088 | X=0121.490-0149.490 | Y=0479.660-0490.900 | măng:
P=1088 | X=0100.130-0111.250 | Y=0487.540-0496.860 | 21
P=1088 | X=0446.330-0462.970 | Y=0487.540-0496.860 | 220
P=1088 | X=0505.390-0522.030 | Y=0487.540-0496.860 | 140
P=1088 | X=0121.490-0362.600 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1088 | X=0121.490-0163.630 | Y=0510.340-0519.660 | >1.000m.
P=1088 | X=0121.490-0345.130 | Y=0525.980-0537.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1088 | X=0224.740-0398.120 | Y=0543.770-0555.010 | Đường liên ấp 1 - Hết cây xăng Nông
P=1088 | X=0121.490-0191.680 | Y=0549.530-0560.770 | Đường tỉnh 764
P=1088 | X=0100.130-0111.250 | Y=0551.410-0560.730 | 22
P=1088 | X=0446.330-0462.970 | Y=0551.410-0560.730 | 530
P=1088 | X=0505.390-0522.030 | Y=0551.410-0560.730 | 400
P=1088 | X=0224.740-0244.260 | Y=0555.290-0566.530 | ấp 5
P=1088 | X=0312.840-0390.130 | Y=0555.290-0566.530 | trường Sông Ray
P=1088 | X=0121.490-0389.030 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1088 | X=0121.490-0386.130 | Y=0584.570-0595.810 | 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây xăng Nông
P=1088 | X=0121.490-0377.710 | Y=0596.090-0607.330 | trường Sông Ray có hiện trạng là đường nhựa, bê tông xi
P=1088 | X=0121.490-0149.490 | Y=0607.610-0618.850 | măng:
P=1088 | X=0100.130-0111.250 | Y=0609.730-0619.050 | 23
P=1088 | X=0446.330-0462.970 | Y=0609.730-0619.050 | 380
P=1088 | X=0505.390-0522.030 | Y=0609.730-0619.050 | 250
P=1088 | X=0121.490-0352.570 | Y=0625.150-0636.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1088 | X=0121.490-0398.680 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1088 | X=0121.490-0389.030 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1088 | X=0121.490-0386.130 | Y=0671.950-0683.190 | 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây xăng Nông
P=1088 | X=0100.130-0111.250 | Y=0679.590-0688.910 | 24
P=1088 | X=0446.330-0462.970 | Y=0679.590-0688.910 | 310
P=1088 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 200
P=1088 | X=0121.490-0377.720 | Y=0683.470-0694.710 | trường Sông Ray có hiện trạng là đường nhựa, bê tông xi
P=1088 | X=0121.490-0149.490 | Y=0694.750-0705.990 | măng:
P=1089 | X=0121.490-0353.040 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1089 | X=0121.490-0374.800 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1089 | X=0121.490-0216.460 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1089 | X=0121.490-0344.660 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1089 | X=0121.490-0389.030 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1089 | X=0121.490-0386.130 | Y=0154.370-0165.610 | 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây xăng Nông
P=1089 | X=0121.490-0377.710 | Y=0165.650-0176.890 | trường Sông Ray có hiện trạng là đường nhựa, bê tông xi
P=1089 | X=0121.490-0149.490 | Y=0177.170-0188.410 | măng:
P=1089 | X=0100.130-0111.250 | Y=0185.050-0194.370 | 25
P=1089 | X=0446.330-0462.970 | Y=0185.050-0194.370 | 220
P=1089 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 140
P=1089 | X=0121.490-0362.600 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1089 | X=0121.490-0163.630 | Y=0208.110-0217.430 | >1.000m.
P=1089 | X=0121.490-0345.130 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1089 | X=0121.490-0395.000 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1089 | X=0121.490-0399.970 | Y=0253.030-0264.270 | ra Đường tỉnh 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây
P=1089 | X=0121.490-0396.700 | Y=0264.550-0275.790 | xăng Nông trường Sông Ray có hiện trạng là đường nhựa, bê
P=1089 | X=0121.490-0181.650 | Y=0276.070-0287.310 | tông xi măng:
P=1089 | X=0100.130-0111.250 | Y=0278.190-0287.510 | 26
P=1089 | X=0446.330-0462.970 | Y=0278.190-0287.510 | 380
P=1089 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 250
P=1089 | X=0121.490-0352.570 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1089 | X=0121.490-0398.680 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1089 | X=0121.490-0395.000 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1089 | X=0121.490-0399.970 | Y=0340.420-0351.660 | ra Đường tỉnh 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây
P=1089 | X=0121.490-0396.700 | Y=0351.700-0362.940 | xăng Nông trường Sông Ray có hiện trạng là đường nhựa, bê
P=1089 | X=0121.490-0181.650 | Y=0363.220-0374.460 | tông xi măng:
P=1089 | X=0100.130-0111.250 | Y=0380.000-0389.320 | 27
P=1089 | X=0446.330-0462.970 | Y=0380.000-0389.320 | 310
P=1089 | X=0505.390-0522.030 | Y=0380.000-0389.320 | 200
P=1089 | X=0121.490-0353.040 | Y=0380.760-0392.000 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1089 | X=0121.490-0374.800 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1089 | X=0121.490-0216.460 | Y=0409.800-0421.040 | >500m đến ≤1.000m.
P=1089 | X=0121.490-0344.660 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1089 | X=0121.490-0395.000 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1089 | X=0121.490-0399.970 | Y=0456.620-0467.860 | ra Đường tỉnh 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây
P=1089 | X=0121.490-0396.700 | Y=0468.140-0479.380 | xăng Nông trường Sông Ray có hiện trạng là đường nhựa, bê
P=1089 | X=0121.490-0181.650 | Y=0479.660-0490.900 | tông xi măng:
P=1089 | X=0100.130-0111.250 | Y=0487.540-0496.860 | 28
P=1089 | X=0446.330-0462.970 | Y=0487.540-0496.860 | 220
P=1089 | X=0505.390-0522.030 | Y=0487.540-0496.860 | 140
P=1089 | X=0121.490-0362.600 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
