TABLE=004 | AREA=Phường Long Bình | SECTION=agricultural | SEGMENTS=1
P=0139 | X=0117.410-0343.700 | Y=0422.040-0433.280 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0139 | X=0227.860-0297.520 | Y=0439.800-0451.040 | Đường Bùi Văn
P=0139 | X=0316.920-0400.310 | Y=0445.560-0456.800 | Đến đường Hoàng
P=0139 | X=0117.410-0300.920 | Y=0451.340-0462.580 | Đường Hoàng Bá Bích Hòa (Quốc lộ 15
P=0139 | X=0100.850-0106.450 | Y=0453.220-0462.540 | 8
P=0139 | X=0441.050-0466.100 | Y=0453.220-0462.540 | 1.500
P=0139 | X=0505.390-0522.030 | Y=0453.220-0462.540 | 970
P=0139 | X=0316.920-0351.720 | Y=0458.980-0468.300 | Tam Kỳ
P=0139 | X=0227.860-0260.950 | Y=0464.740-0474.060 | nối dài)
P=0139 | X=0117.410-0397.910 | Y=0480.620-0491.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0139 | X=0117.410-0392.870 | Y=0492.140-0503.380 | Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến
P=0139 | X=0117.410-0407.250 | Y=0503.660-0514.900 | Đến đường Hoàng Tam Kỳ có hiện trạng là đường nhựa, bê tông
P=0139 | X=0117.410-0155.240 | Y=0515.180-0526.420 | xi măng:
P=0139 | X=0100.850-0106.450 | Y=0517.300-0526.620 | 9
P=0139 | X=0441.050-0466.100 | Y=0517.300-0526.620 | 1.030
P=0139 | X=0505.390-0522.030 | Y=0517.300-0526.620 | 680
P=0139 | X=0117.410-0340.320 | Y=0532.490-0543.730 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0139 | X=0117.410-0394.600 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0139 | X=0117.410-0397.910 | Y=0567.770-0579.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0139 | X=0117.410-0392.870 | Y=0579.290-0590.530 | Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến
P=0139 | X=0117.410-0407.250 | Y=0590.810-0602.050 | Đến đường Hoàng Tam Kỳ có hiện trạng là đường nhựa, bê tông
P=0139 | X=0117.410-0155.240 | Y=0602.330-0613.570 | xi măng:
P=0139 | X=0097.970-0340.580 | Y=0619.110-0631.110 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0139 | X=0449.210-0465.850 | Y=0619.110-0628.430 | 860
P=0139 | X=0505.390-0522.030 | Y=0619.110-0628.430 | 570
P=0139 | X=0117.410-0404.300 | Y=0637.390-0648.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0139 | X=0117.410-0170.370 | Y=0648.910-0660.150 | đến ≤600m.
P=0139 | X=0117.410-0340.580 | Y=0666.430-0677.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0139 | X=0117.410-0397.910 | Y=0684.190-0695.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0139 | X=0097.970-0392.870 | Y=0695.710-0706.950 | 11 Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến
P=0139 | X=0449.210-0465.850 | Y=0697.590-0706.910 | 670
P=0139 | X=0505.390-0522.030 | Y=0697.590-0706.910 | 450
P=0139 | X=0117.410-0407.250 | Y=0707.250-0718.490 | Đến đường Hoàng Tam Kỳ có hiện trạng là đường nhựa, bê tông
P=0140 | X=0117.410-0155.240 | Y=0072.500-0083.740 | xi măng:
P=0140 | X=0117.410-0394.840 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0140 | X=0117.410-0341.050 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0140 | X=0117.410-0402.670 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0140 | X=0117.410-0404.380 | Y=0136.850-0148.090 | Đường Hoàng Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15
P=0140 | X=0117.410-0397.180 | Y=0148.370-0159.610 | nối dài) đến Đến đường Hoàng Tam Kỳ có hiện trạng là đường
P=0140 | X=0097.970-0220.520 | Y=0159.650-0171.330 | 12 nhựa, bê tông xi măng:
P=0140 | X=0441.050-0466.100 | Y=0162.010-0171.330 | 1.030
P=0140 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 680
P=0140 | X=0117.410-0340.320 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0140 | X=0117.410-0394.600 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0140 | X=0117.410-0402.670 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0140 | X=0117.410-0404.380 | Y=0223.990-0235.230 | Đường Hoàng Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15
P=0140 | X=0117.410-0397.180 | Y=0235.510-0246.750 | nối dài) đến Đến đường Hoàng Tam Kỳ có hiện trạng là đường
P=0140 | X=0117.410-0220.520 | Y=0247.030-0258.270 | nhựa, bê tông xi măng:
P=0140 | X=0097.970-0340.580 | Y=0263.550-0275.790 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0140 | X=0449.210-0465.850 | Y=0263.550-0272.870 | 860
P=0140 | X=0505.390-0522.030 | Y=0263.550-0272.870 | 570
P=0140 | X=0117.410-0404.300 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0140 | X=0117.410-0170.370 | Y=0293.620-0304.860 | đến ≤600m.
P=0140 | X=0117.410-0340.600 | Y=0311.140-0322.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0140 | X=0117.410-0402.670 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0140 | X=0117.410-0404.380 | Y=0340.420-0351.660 | Đường Hoàng Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15
P=0140 | X=0117.410-0397.180 | Y=0351.700-0362.940 | nối dài) đến Đến đường Hoàng Tam Kỳ có hiện trạng là đường
P=0140 | X=0097.970-0220.520 | Y=0363.220-0374.660 | 14 nhựa, bê tông xi măng:
P=0140 | X=0449.210-0465.850 | Y=0365.340-0374.660 | 670
P=0140 | X=0505.390-0522.030 | Y=0365.340-0374.660 | 450
P=0140 | X=0117.410-0394.840 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0140 | X=0117.410-0343.700 | Y=0398.280-0409.520 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0140 | X=0117.410-0201.490 | Y=0416.040-0427.280 | Đường Thân Nhân
P=0140 | X=0227.860-0308.360 | Y=0416.040-0427.280 | Đường Nguyễn Ái
P=0140 | X=0316.920-0379.860 | Y=0421.800-0433.040 | Suối Săn Máu
P=0140 | X=0097.970-0109.090 | Y=0423.680-0433.000 | 15
P=0140 | X=0441.050-0466.100 | Y=0423.680-0433.000 | 1.500
P=0140 | X=0505.390-0522.030 | Y=0423.680-0433.000 | 970
P=0140 | X=0117.410-0143.650 | Y=0429.440-0438.760 | Trung
P=0140 | X=0227.860-0251.860 | Y=0429.440-0438.760 | Quốc
P=0140 | X=0117.410-0391.420 | Y=0445.320-0456.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thân
P=0140 | X=0117.410-0402.680 | Y=0456.860-0468.100 | Nhân Trung đoạn từ Đường Nguyễn Ái Quốc đến Suối Săn Máu
P=0140 | X=0117.410-0324.260 | Y=0468.380-0479.620 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0140 | X=0097.970-0109.090 | Y=0476.260-0485.580 | 16
P=0140 | X=0441.050-0466.100 | Y=0476.260-0485.580 | 1.030
P=0140 | X=0505.390-0522.030 | Y=0476.260-0485.580 | 680
P=0140 | X=0117.410-0340.320 | Y=0485.900-0497.140 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0140 | X=0117.410-0394.600 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0140 | X=0117.410-0391.420 | Y=0521.180-0532.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thân
P=0140 | X=0117.410-0402.680 | Y=0532.490-0543.730 | Nhân Trung đoạn từ Đường Nguyễn Ái Quốc đến Suối Săn Máu
P=0140 | X=0117.410-0324.260 | Y=0544.010-0555.250 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0140 | X=0097.970-0340.580 | Y=0561.530-0575.850 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0140 | X=0449.210-0465.850 | Y=0566.530-0575.850 | 860
P=0140 | X=0505.390-0522.030 | Y=0566.530-0575.850 | 570
P=0140 | X=0117.410-0404.300 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0140 | X=0117.410-0170.370 | Y=0590.570-0601.810 | đến ≤600m.
P=0140 | X=0117.410-0340.580 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0140 | X=0117.410-0391.420 | Y=0625.870-0637.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thân
P=0140 | X=0117.410-0402.680 | Y=0637.390-0648.630 | Nhân Trung đoạn từ Đường Nguyễn Ái Quốc đến Suối Săn Máu
P=0140 | X=0117.410-0324.260 | Y=0648.910-0660.150 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0140 | X=0097.970-0109.090 | Y=0656.790-0666.110 | 18
P=0140 | X=0449.210-0465.850 | Y=0656.790-0666.110 | 670
P=0140 | X=0505.390-0522.030 | Y=0656.790-0666.110 | 450
P=0140 | X=0117.410-0394.840 | Y=0666.430-0677.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0140 | X=0117.410-0341.050 | Y=0683.950-0695.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0140 | X=0097.970-0402.670 | Y=0701.730-0712.970 | 19 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0140 | X=0441.050-0466.100 | Y=0703.620-0712.940 | 1.030
P=0140 | X=0505.390-0522.030 | Y=0703.620-0712.940 | 680
P=0141 | X=0117.410-0396.940 | Y=0072.500-0083.740 | Đường Thân Nhân Trung đoạn từ Đường Nguyễn Ái Quốc đến
P=0141 | X=0117.410-0390.020 | Y=0084.020-0095.260 | Suối Săn Máu có hiện trạng là đường nhựa, bê tông xi măng:
P=0141 | X=0117.410-0340.320 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0141 | X=0117.410-0394.600 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0141 | X=0117.410-0402.670 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0141 | X=0117.410-0396.940 | Y=0148.370-0159.610 | Đường Thân Nhân Trung đoạn từ Đường Nguyễn Ái Quốc đến
P=0141 | X=0117.410-0390.020 | Y=0159.650-0170.890 | Suối Săn Máu có hiện trạng là đường nhựa, bê tông xi măng:
P=0141 | X=0097.970-0340.580 | Y=0177.170-0191.490 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0141 | X=0449.210-0465.850 | Y=0182.170-0191.490 | 860
P=0141 | X=0505.390-0522.030 | Y=0182.170-0191.490 | 570
P=0141 | X=0117.410-0404.300 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0141 | X=0117.410-0170.370 | Y=0206.230-0217.470 | đến ≤600m.
P=0141 | X=0117.410-0340.580 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0141 | X=0117.410-0402.670 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0141 | X=0117.410-0396.940 | Y=0253.030-0264.270 | Đường Thân Nhân Trung đoạn từ Đường Nguyễn Ái Quốc đến
P=0141 | X=0117.410-0390.020 | Y=0264.550-0275.790 | Suối Săn Máu có hiện trạng là đường nhựa, bê tông xi măng:
P=0141 | X=0097.970-0109.090 | Y=0272.430-0281.750 | 21
P=0141 | X=0449.210-0465.850 | Y=0272.430-0281.750 | 670
P=0141 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 450
P=0141 | X=0117.410-0394.840 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0141 | X=0117.410-0343.700 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0141 | X=0227.860-0314.820 | Y=0319.260-0328.580 | Công viên 30 tháng
P=0141 | X=0227.860-0302.990 | Y=0330.780-0340.100 | 4 (bên phải: hẻm
P=0141 | X=0316.920-0404.160 | Y=0334.660-0345.900 | Ranh phường Long
P=0141 | X=0097.970-0303.640 | Y=0340.420-0351.660 | 22 Đường Nguyễn Ái Quốc Đền Thánh Hiếu;
P=0141 | X=0441.050-0466.100 | Y=0342.300-0351.620 | 1.500
P=0141 | X=0505.390-0522.030 | Y=0342.300-0351.620 | 970
P=0141 | X=0316.920-0337.630 | Y=0347.820-0357.140 | Bình
P=0141 | X=0227.860-0306.250 | Y=0353.580-0362.900 | bên trái: hẻm chợ
P=0141 | X=0227.860-0294.580 | Y=0365.100-0374.420 | nhỏ khu phố 4)
P=0141 | X=0117.410-0402.950 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0141 | X=0117.410-0378.710 | Y=0392.520-0403.760 | Ái Quốc đoạn từ Công viên 30 tháng 4 (bên phải: hẻm Đền
P=0141 | X=0117.410-0407.030 | Y=0404.040-0415.280 | Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4) đến Ranh phường
P=0141 | X=0097.970-0372.490 | Y=0415.560-0427.000 | 23 Long Bình có hiện trạng là đường nhựa, bê tông xi măng:
P=0141 | X=0441.050-0466.100 | Y=0417.680-0427.000 | 1.030
P=0141 | X=0505.390-0522.030 | Y=0417.680-0427.000 | 680
P=0141 | X=0117.410-0340.320 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0141 | X=0117.410-0394.600 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0141 | X=0117.410-0402.950 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0141 | X=0117.410-0378.710 | Y=0479.900-0491.140 | Ái Quốc đoạn từ Công viên 30 tháng 4 (bên phải: hẻm Đền
P=0141 | X=0117.410-0407.030 | Y=0491.420-0502.660 | Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4) đến Ranh phường
P=0141 | X=0117.410-0372.490 | Y=0502.940-0514.180 | Long Bình có hiện trạng là đường nhựa, bê tông xi măng:
P=0141 | X=0097.970-0340.580 | Y=0519.460-0531.460 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0141 | X=0449.210-0465.850 | Y=0519.460-0528.780 | 860
P=0141 | X=0505.390-0522.030 | Y=0519.460-0528.780 | 570
P=0141 | X=0117.410-0404.300 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0141 | X=0117.410-0170.370 | Y=0549.290-0560.530 | đến ≤600m.
P=0141 | X=0117.410-0340.580 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0141 | X=0117.410-0402.950 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0141 | X=0117.410-0378.710 | Y=0596.090-0607.330 | Ái Quốc đoạn từ Công viên 30 tháng 4 (bên phải: hẻm Đền
P=0141 | X=0117.410-0407.020 | Y=0607.610-0618.850 | Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4) đến Ranh phường
P=0141 | X=0097.970-0372.490 | Y=0619.150-0630.590 | 25 Long Bình có hiện trạng là đường nhựa, bê tông xi măng:
P=0141 | X=0449.210-0465.850 | Y=0621.270-0630.590 | 670
P=0141 | X=0505.390-0522.030 | Y=0621.270-0630.590 | 450
P=0141 | X=0117.410-0394.840 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0141 | X=0117.410-0341.050 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0141 | X=0117.410-0402.670 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0141 | X=0117.410-0407.090 | Y=0683.470-0694.710 | Đường Nguyễn Ái Quốc đoạn từ Công viên 30 tháng 4 (bên phải:
P=0141 | X=0097.970-0109.090 | Y=0691.110-0700.430 | 26
P=0141 | X=0441.050-0466.100 | Y=0691.110-0700.430 | 1.030
P=0141 | X=0505.390-0522.030 | Y=0691.110-0700.430 | 680
P=0141 | X=0117.410-0385.420 | Y=0694.750-0705.990 | hẻm Đền Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4) đến
P=0141 | X=0117.410-0407.000 | Y=0706.290-0717.530 | Ranh phường Long Bình có hiện trạng là đường nhựa, bê tông xi
P=0142 | X=0117.410-0145.410 | Y=0072.500-0083.740 | măng:
P=0142 | X=0117.410-0340.320 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0142 | X=0117.410-0394.600 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0142 | X=0117.410-0402.670 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0142 | X=0117.410-0407.090 | Y=0136.850-0148.090 | Đường Nguyễn Ái Quốc đoạn từ Công viên 30 tháng 4 (bên phải:
P=0142 | X=0117.410-0385.420 | Y=0148.370-0159.610 | hẻm Đền Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4) đến
P=0142 | X=0117.410-0407.000 | Y=0159.650-0170.890 | Ranh phường Long Bình có hiện trạng là đường nhựa, bê tông xi
P=0142 | X=0117.410-0145.410 | Y=0171.170-0182.410 | măng:
P=0142 | X=0097.970-0109.090 | Y=0182.170-0191.490 | 27
P=0142 | X=0449.210-0465.850 | Y=0182.170-0191.490 | 860
P=0142 | X=0505.390-0522.030 | Y=0182.170-0191.490 | 570
P=0142 | X=0117.410-0340.580 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0142 | X=0117.410-0404.300 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0142 | X=0117.410-0170.370 | Y=0217.750-0228.990 | đến ≤600m.
P=0142 | X=0117.410-0340.580 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0142 | X=0117.410-0402.670 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0142 | X=0117.410-0407.090 | Y=0264.550-0275.790 | Đường Nguyễn Ái Quốc đoạn từ Công viên 30 tháng 4 (bên phải:
P=0142 | X=0117.410-0385.420 | Y=0276.070-0287.310 | hẻm Đền Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4) đến
P=0142 | X=0117.410-0407.000 | Y=0287.620-0298.860 | Ranh phường Long Bình có hiện trạng là đường nhựa, bê tông xi
P=0142 | X=0097.970-0109.090 | Y=0295.500-0304.820 | 28
P=0142 | X=0449.210-0465.850 | Y=0295.500-0304.820 | 670
P=0142 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 450
P=0142 | X=0117.410-0145.410 | Y=0299.140-0310.380 | măng:
P=0142 | X=0117.410-0394.870 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0142 | X=0117.410-0343.700 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông > 200m.
