TABLE=031 | AREA=Xã Xuân Quế | SECTION=agricultural | SEGMENTS=1
P=1058 | X=0126.050-0357.600 | Y=0491.660-0502.900 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1058 | X=0105.170-0110.770 | Y=0496.420-0505.740 | 3
P=1058 | X=0451.610-0468.250 | Y=0496.420-0505.740 | 310
P=1058 | X=0505.390-0522.030 | Y=0496.420-0505.740 | 200
P=1058 | X=0126.050-0379.360 | Y=0509.180-0520.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1058 | X=0126.050-0221.020 | Y=0520.460-0531.700 | >500m đến ≤1.000m.
P=1058 | X=0126.050-0349.220 | Y=0538.010-0549.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1058 | X=0126.050-0400.550 | Y=0555.770-0567.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1058 | X=0126.050-0385.670 | Y=0567.290-0578.530 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Quế đến Cầu
P=1058 | X=0126.050-0369.620 | Y=0578.810-0590.050 | Quân Y có hiện trạng là đường nhựa, bê tông xi măng:
P=1058 | X=0105.170-0110.770 | Y=0592.450-0601.770 | 4
P=1058 | X=0451.610-0468.250 | Y=0592.450-0601.770 | 220
P=1058 | X=0505.390-0522.030 | Y=0592.450-0601.770 | 140
P=1058 | X=0126.050-0375.610 | Y=0596.330-0607.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1058 | X=0126.050-0162.450 | Y=0609.730-0619.050 | 1.000m.
P=1058 | X=0126.050-0352.340 | Y=0625.390-0636.630 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1058 | X=0126.050-0411.310 | Y=0643.150-0654.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1058 | X=0126.050-0405.580 | Y=0654.670-0665.910 | Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Quế
P=1058 | X=0126.050-0410.190 | Y=0666.190-0677.430 | đến Cầu Quân Y có hiện trạng là đường nhựa, bê tông xi măng:
P=1058 | X=0105.170-0110.770 | Y=0674.070-0683.390 | 5
P=1058 | X=0451.610-0468.250 | Y=0674.070-0683.390 | 380
P=1058 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 250
P=1058 | X=0126.050-0357.130 | Y=0683.710-0694.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1058 | X=0126.050-0403.240 | Y=0701.250-0712.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1059 | X=0126.050-0411.310 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1059 | X=0126.050-0405.580 | Y=0090.020-0101.260 | Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Quế
P=1059 | X=0126.050-0410.190 | Y=0101.540-0112.780 | đến Cầu Quân Y có hiện trạng là đường nhựa, bê tông xi măng:
P=1059 | X=0105.170-0110.770 | Y=0118.090-0127.410 | 6
P=1059 | X=0451.610-0468.250 | Y=0118.090-0127.410 | 310
P=1059 | X=0505.390-0522.030 | Y=0118.090-0127.410 | 200
P=1059 | X=0126.050-0357.130 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1059 | X=0126.050-0403.240 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1059 | X=0126.050-0349.220 | Y=0154.130-0165.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1059 | X=0126.050-0411.310 | Y=0171.650-0182.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1059 | X=0126.050-0405.580 | Y=0183.170-0194.410 | Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Quế
P=1059 | X=0126.050-0410.190 | Y=0194.690-0205.930 | đến Cầu Quân Y có hiện trạng là đường nhựa, bê tông xi măng:
P=1059 | X=0105.170-0110.770 | Y=0208.350-0217.670 | 7
P=1059 | X=0451.610-0468.250 | Y=0208.350-0217.670 | 220
P=1059 | X=0505.390-0522.030 | Y=0208.350-0217.670 | 140
P=1059 | X=0126.050-0375.610 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1059 | X=0126.050-0162.450 | Y=0225.630-0234.950 | 1.000m.
P=1059 | X=0126.050-0352.340 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1059 | X=0126.050-0216.790 | Y=0259.030-0270.270 | Đường Sông Nhạn -
P=1059 | X=0320.520-0392.370 | Y=0259.030-0270.270 | Đường vào Nhà
P=1059 | X=0105.170-0110.770 | Y=0266.670-0275.990 | 8
P=1059 | X=0231.220-0286.410 | Y=0266.670-0275.990 | Cầu Quân Y
P=1059 | X=0451.610-0468.250 | Y=0266.670-0275.990 | 530
P=1059 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 400
P=1059 | X=0320.520-0380.140 | Y=0270.550-0281.790 | Văn hóa ấp 4
P=1059 | X=0126.050-0168.040 | Y=0272.430-0281.750 | Dầu Giây
P=1059 | X=0126.050-0400.550 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1059 | X=0126.050-0410.130 | Y=0299.860-0311.100 | Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến Đường vào Nhà Văn
P=1059 | X=0126.050-0374.430 | Y=0311.380-0322.620 | hóa ấp 4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1059 | X=0105.170-0110.770 | Y=0319.260-0328.580 | 9
P=1059 | X=0451.610-0468.250 | Y=0319.260-0328.580 | 380
P=1059 | X=0505.390-0522.030 | Y=0319.260-0328.580 | 250
P=1059 | X=0126.050-0357.130 | Y=0328.900-0340.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1059 | X=0126.050-0403.240 | Y=0346.420-0357.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1059 | X=0126.050-0400.550 | Y=0363.940-0375.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1059 | X=0126.050-0410.130 | Y=0375.480-0386.720 | Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến Đường vào Nhà Văn
P=1059 | X=0126.050-0374.430 | Y=0387.000-0398.240 | hóa ấp 4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1059 | X=0126.050-0357.600 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1059 | X=0102.290-0113.410 | Y=0409.520-0418.840 | 10
P=1059 | X=0451.610-0468.250 | Y=0409.520-0418.840 | 310
P=1059 | X=0505.390-0522.030 | Y=0409.520-0418.840 | 200
P=1059 | X=0126.050-0379.360 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1059 | X=0126.050-0221.020 | Y=0433.560-0444.800 | >500m đến ≤1.000m.
P=1059 | X=0126.050-0349.220 | Y=0451.100-0462.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1059 | X=0126.050-0400.550 | Y=0468.860-0480.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1059 | X=0126.050-0410.130 | Y=0480.380-0491.620 | Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến Đường vào Nhà Văn
P=1059 | X=0126.050-0374.470 | Y=0491.900-0503.140 | hóa ấp 4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1059 | X=0102.290-0113.410 | Y=0505.540-0514.860 | 11
P=1059 | X=0451.610-0468.250 | Y=0505.540-0514.860 | 220
P=1059 | X=0505.390-0522.030 | Y=0505.540-0514.860 | 140
P=1059 | X=0126.050-0375.610 | Y=0509.420-0520.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1059 | X=0126.050-0162.450 | Y=0522.820-0532.140 | 1.000m.
P=1059 | X=0126.050-0352.340 | Y=0538.250-0549.490 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1059 | X=0126.050-0411.310 | Y=0556.010-0567.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1059 | X=0126.050-0410.150 | Y=0567.530-0578.770 | Đường Sông Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến Đường
P=1059 | X=0126.050-0404.600 | Y=0579.050-0590.290 | vào Nhà Văn hóa ấp 4 có hiện trạng là đường nhựa, bê tông xi
P=1059 | X=0126.050-0154.050 | Y=0590.570-0601.810 | măng:
P=1059 | X=0102.290-0113.410 | Y=0592.690-0602.010 | 12
P=1059 | X=0451.610-0468.250 | Y=0592.690-0602.010 | 380
P=1059 | X=0505.390-0522.030 | Y=0592.690-0602.010 | 250
P=1059 | X=0126.050-0357.130 | Y=0608.090-0619.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1059 | X=0126.050-0403.240 | Y=0625.630-0636.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1059 | X=0126.050-0411.310 | Y=0643.390-0654.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1059 | X=0126.050-0410.150 | Y=0654.910-0666.150 | Đường Sông Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến Đường
P=1059 | X=0126.050-0404.600 | Y=0666.430-0677.670 | vào Nhà Văn hóa ấp 4 có hiện trạng là đường nhựa, bê tông xi
P=1059 | X=0102.290-0113.410 | Y=0671.190-0680.510 | 13
P=1059 | X=0451.610-0468.250 | Y=0671.190-0680.510 | 310
P=1059 | X=0505.390-0522.030 | Y=0671.190-0680.510 | 200
P=1059 | X=0126.050-0154.050 | Y=0677.950-0689.190 | măng:
P=1059 | X=0126.050-0357.130 | Y=0695.470-0706.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1060 | X=0126.050-0400.680 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >500m
P=1060 | X=0126.050-0187.170 | Y=0090.020-0101.260 | đến ≤1.000m.
P=1060 | X=0126.050-0349.230 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1060 | X=0126.050-0411.310 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1060 | X=0126.050-0410.150 | Y=0136.850-0148.090 | Đường Sông Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến Đường
P=1060 | X=0126.050-0404.600 | Y=0148.370-0159.610 | vào Nhà Văn hóa ấp 4 có hiện trạng là đường nhựa, bê tông xi
P=1060 | X=0126.050-0154.050 | Y=0159.650-0170.890 | măng:
P=1060 | X=0102.290-0113.410 | Y=0167.530-0176.850 | 14
P=1060 | X=0451.610-0468.250 | Y=0167.530-0176.850 | 220
P=1060 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 140
P=1060 | X=0126.050-0375.620 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1060 | X=0126.050-0162.450 | Y=0190.570-0199.890 | 1.000m.
P=1060 | X=0126.050-0352.340 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1060 | X=0126.050-0216.790 | Y=0223.990-0235.230 | Đường Sông Nhạn -
P=1060 | X=0231.220-0303.070 | Y=0223.990-0235.230 | Đường vào Nhà
P=1060 | X=0320.520-0399.110 | Y=0225.870-0235.190 | Giáp ranh xã Dầu
P=1060 | X=0102.290-0113.410 | Y=0231.630-0240.950 | 15
P=1060 | X=0451.610-0468.250 | Y=0231.630-0240.950 | 530
P=1060 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 400
P=1060 | X=0231.220-0290.820 | Y=0235.510-0246.750 | Văn hóa ấp 4
P=1060 | X=0126.050-0168.040 | Y=0237.390-0246.710 | Dầu Giây
P=1060 | X=0320.520-0341.390 | Y=0237.390-0246.710 | Giây
P=1060 | X=0126.050-0400.550 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1060 | X=0126.050-0394.060 | Y=0264.790-0276.030 | Nhạn - Dầu Giây đoạn từ Đường vào Nhà Văn hóa ấp 4 đến
P=1060 | X=0126.050-0406.750 | Y=0276.310-0287.550 | Giáp ranh xã Dầu Giây có hiện trạng là đường nhựa, bê tông xi
P=1060 | X=0126.050-0154.050 | Y=0287.860-0299.100 | măng:
P=1060 | X=0102.290-0113.410 | Y=0289.980-0299.300 | 16
P=1060 | X=0451.610-0468.250 | Y=0289.980-0299.300 | 380
P=1060 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 250
P=1060 | X=0126.050-0357.130 | Y=0305.380-0316.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1060 | X=0126.050-0403.240 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1060 | X=0126.050-0400.550 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1060 | X=0126.050-0394.060 | Y=0351.940-0363.180 | Nhạn - Dầu Giây đoạn từ Đường vào Nhà Văn hóa ấp 4 đến
P=1060 | X=0126.050-0406.750 | Y=0363.460-0374.700 | Giáp ranh xã Dầu Giây có hiện trạng là đường nhựa, bê tông xi
P=1060 | X=0126.050-0154.050 | Y=0375.000-0386.240 | măng:
P=1060 | X=0102.290-0113.410 | Y=0391.760-0401.080 | 17
P=1060 | X=0451.610-0468.250 | Y=0391.760-0401.080 | 310
P=1060 | X=0505.390-0522.030 | Y=0391.760-0401.080 | 200
P=1060 | X=0126.050-0357.600 | Y=0392.520-0403.760 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1060 | X=0126.050-0379.360 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1060 | X=0126.050-0221.040 | Y=0421.560-0432.800 | >500m đến ≤1.000m.
P=1060 | X=0126.050-0349.220 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1060 | X=0126.050-0400.550 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1060 | X=0126.050-0394.060 | Y=0468.380-0479.620 | Nhạn - Dầu Giây đoạn từ Đường vào Nhà Văn hóa ấp 4 đến
P=1060 | X=0126.050-0406.750 | Y=0479.900-0491.140 | Giáp ranh xã Dầu Giây có hiện trạng là đường nhựa, bê tông xi
P=1060 | X=0126.050-0154.050 | Y=0491.420-0502.660 | măng:
P=1060 | X=0102.290-0113.410 | Y=0499.300-0508.620 | 18
P=1060 | X=0451.610-0468.250 | Y=0499.300-0508.620 | 220
P=1060 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 140
P=1060 | X=0126.050-0375.610 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1060 | X=0126.050-0162.450 | Y=0522.100-0531.420 | 1.000m.
P=1060 | X=0126.050-0352.340 | Y=0537.770-0549.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1060 | X=0126.050-0411.310 | Y=0555.530-0566.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1060 | X=0126.050-0393.310 | Y=0567.050-0578.290 | Đường Sông Nhạn - Dầu Giây đoạn từ Đường vào Nhà Văn
P=1060 | X=0126.050-0393.100 | Y=0578.570-0589.810 | hóa ấp 4 đến Giáp ranh xã Dầu Giây có hiện trạng là đường
P=1060 | X=0126.050-0229.160 | Y=0590.090-0601.330 | nhựa, bê tông xi măng:
P=1060 | X=0102.290-0113.410 | Y=0592.210-0601.530 | 19
P=1060 | X=0451.610-0468.250 | Y=0592.210-0601.530 | 380
P=1060 | X=0505.390-0522.030 | Y=0592.210-0601.530 | 250
P=1060 | X=0126.050-0357.130 | Y=0607.610-0618.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1060 | X=0126.050-0403.240 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1060 | X=0126.050-0411.310 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1060 | X=0126.050-0393.310 | Y=0654.430-0665.670 | Đường Sông Nhạn - Dầu Giây đoạn từ Đường vào Nhà Văn
P=1060 | X=0126.050-0393.100 | Y=0665.950-0677.190 | hóa ấp 4 đến Giáp ranh xã Dầu Giây có hiện trạng là đường
P=1060 | X=0102.290-0113.410 | Y=0670.710-0680.030 | 20
P=1060 | X=0451.610-0468.250 | Y=0670.710-0680.030 | 310
P=1060 | X=0505.390-0522.030 | Y=0670.710-0680.030 | 200
P=1060 | X=0126.050-0229.160 | Y=0677.470-0688.710 | nhựa, bê tông xi măng:
P=1060 | X=0126.050-0357.130 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1061 | X=0126.050-0379.360 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1061 | X=0126.050-0221.020 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1061 | X=0126.050-0349.220 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1061 | X=0126.050-0411.310 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1061 | X=0126.050-0393.310 | Y=0136.850-0148.090 | Đường Sông Nhạn - Dầu Giây đoạn từ Đường vào Nhà Văn
P=1061 | X=0126.050-0393.100 | Y=0148.370-0159.610 | hóa ấp 4 đến Giáp ranh xã Dầu Giây có hiện trạng là đường
P=1061 | X=0126.050-0229.160 | Y=0159.650-0170.890 | nhựa, bê tông xi măng:
P=1061 | X=0102.290-0113.410 | Y=0167.530-0176.850 | 21
P=1061 | X=0451.610-0468.250 | Y=0167.530-0176.850 | 220
P=1061 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 140
P=1061 | X=0126.050-0375.610 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1061 | X=0126.050-0162.450 | Y=0190.570-0199.890 | 1.000m.
P=1061 | X=0126.050-0352.340 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1061 | X=0231.220-0319.080 | Y=0223.990-0235.230 | Đường Sông Nhạn-
P=1061 | X=0320.520-0409.580 | Y=0229.750-0240.990 | Giáp đường cao tốc
P=1061 | X=0231.220-0303.040 | Y=0235.510-0246.750 | Dầu Giây đi qua
P=1061 | X=0126.050-0228.630 | Y=0241.270-0252.510 | Đường Trung tâm ấp 1
P=1061 | X=0102.290-0113.410 | Y=0243.150-0252.470 | 22
P=1061 | X=0320.520-0390.710 | Y=0243.150-0252.470 | Phan Thiết-Dầu
P=1061 | X=0451.610-0468.250 | Y=0243.150-0252.470 | 470
P=1061 | X=0505.390-0522.030 | Y=0243.150-0252.470 | 330
P=1061 | X=0231.220-0306.360 | Y=0247.030-0258.270 | Trường Tiểu học
P=1061 | X=0320.520-0341.390 | Y=0254.670-0263.990 | Giây
P=1061 | X=0231.220-0281.230 | Y=0260.430-0269.750 | Sông Nhạn
P=1061 | X=0126.050-0403.420 | Y=0276.310-0287.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trung
P=1061 | X=0126.050-0401.510 | Y=0287.860-0299.100 | tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đi qua Trường
P=1061 | X=0126.050-0401.270 | Y=0299.380-0310.620 | Tiểu học Sông Nhạn đến Giáp đường cao tốc Phan Thiết-Dầu
P=1061 | X=0126.050-0356.400 | Y=0310.900-0322.140 | Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1061 | X=0102.290-0113.410 | Y=0313.020-0322.340 | 23
P=1061 | X=0451.610-0468.250 | Y=0313.020-0322.340 | 330
P=1061 | X=0505.390-0522.030 | Y=0313.020-0322.340 | 200
P=1061 | X=0126.050-0357.130 | Y=0328.420-0339.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1061 | X=0126.050-0403.240 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1061 | X=0126.050-0403.420 | Y=0363.460-0374.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trung
P=1061 | X=0126.050-0401.510 | Y=0375.000-0386.240 | tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đi qua Trường
P=1061 | X=0126.050-0401.270 | Y=0386.520-0397.760 | Tiểu học Sông Nhạn đến Giáp đường cao tốc Phan Thiết-Dầu
P=1061 | X=0126.050-0356.400 | Y=0398.040-0409.280 | Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1061 | X=0102.290-0113.410 | Y=0414.800-0424.120 | 24
P=1061 | X=0451.610-0468.250 | Y=0414.800-0424.120 | 260
P=1061 | X=0505.390-0522.030 | Y=0414.800-0424.120 | 150
P=1061 | X=0126.050-0357.600 | Y=0415.560-0426.800 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1061 | X=0126.050-0379.360 | Y=0433.080-0444.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1061 | X=0126.050-0221.020 | Y=0444.600-0455.840 | >500m đến ≤1.000m.
P=1061 | X=0126.050-0349.220 | Y=0462.140-0473.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1061 | X=0126.050-0403.420 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trung
P=1061 | X=0126.050-0401.510 | Y=0491.420-0502.660 | tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đi qua Trường
P=1061 | X=0126.050-0401.270 | Y=0502.940-0514.180 | Tiểu học Sông Nhạn đến Giáp đường cao tốc Phan Thiết-Dầu
P=1061 | X=0126.050-0356.400 | Y=0514.220-0525.460 | Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1061 | X=0102.290-0113.410 | Y=0522.100-0531.420 | 25
P=1061 | X=0451.610-0468.250 | Y=0522.100-0531.420 | 180
P=1061 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 110
P=1061 | X=0126.050-0375.610 | Y=0531.740-0542.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1061 | X=0126.050-0162.450 | Y=0545.170-0554.490 | 1.000m.
P=1061 | X=0126.050-0352.340 | Y=0560.810-0572.050 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1061 | X=0126.050-0411.310 | Y=0578.570-0589.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1061 | X=0126.050-0408.200 | Y=0590.090-0601.330 | Đường Trung tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đi
P=1061 | X=0126.050-0410.860 | Y=0601.610-0612.850 | qua Trường Tiểu học Sông Nhạn đến Giáp đường cao tốc Phan
P=1061 | X=0126.050-0402.990 | Y=0613.130-0624.370 | Thiết-Dầu Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1061 | X=0102.290-0113.410 | Y=0615.250-0624.570 | 26
P=1061 | X=0451.610-0468.250 | Y=0615.250-0624.570 | 330
P=1061 | X=0505.390-0522.030 | Y=0615.250-0624.570 | 200
P=1061 | X=0126.050-0357.130 | Y=0630.670-0641.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1061 | X=0126.050-0403.240 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1061 | X=0126.050-0411.310 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1061 | X=0126.050-0408.220 | Y=0677.470-0688.710 | Đường Trung tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đi
P=1061 | X=0102.290-0113.410 | Y=0685.110-0694.430 | 27
P=1061 | X=0451.610-0468.250 | Y=0685.110-0694.430 | 260
P=1061 | X=0505.390-0522.030 | Y=0685.110-0694.430 | 150
P=1061 | X=0126.050-0410.860 | Y=0688.750-0699.990 | qua Trường Tiểu học Sông Nhạn đến Giáp đường cao tốc Phan
