TABLE=012 | AREA=Xã Bình An | SECTION=agricultural | SEGMENTS=1
P=0399 | X=0115.970-0287.750 | Y=0241.750-0252.990 | trạng là đường nhựa, bê tông xi măng:
P=0399 | X=0097.250-0350.170 | Y=0259.270-0273.590 | 10 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0399 | X=0454.970-0471.610 | Y=0264.270-0273.590 | 400
P=0399 | X=0505.390-0522.030 | Y=0264.270-0273.590 | 350
P=0399 | X=0115.970-0402.860 | Y=0276.790-0288.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0399 | X=0115.970-0177.090 | Y=0288.340-0299.580 | đến ≤1.000m.
P=0399 | X=0115.970-0339.140 | Y=0305.860-0317.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0399 | X=0115.970-0411.340 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Lê Duẩn (Quốc lộ
P=0399 | X=0115.970-0395.980 | Y=0335.140-0346.380 | 51A cũ) đoạn từ Mũi tàu đến Giáp ranh Xã Long Thành có hiện
P=0399 | X=0115.970-0287.750 | Y=0346.660-0357.900 | trạng là đường nhựa, bê tông xi măng:
P=0399 | X=0097.250-0108.370 | Y=0354.540-0363.860 | 11
P=0399 | X=0454.970-0471.610 | Y=0354.540-0363.860 | 270
P=0399 | X=0505.390-0522.030 | Y=0354.540-0363.860 | 270
P=0399 | X=0115.970-0401.780 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0399 | X=0115.970-0339.610 | Y=0381.480-0392.720 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0399 | X=0115.970-0415.150 | Y=0399.240-0410.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Lê
P=0399 | X=0115.970-0395.240 | Y=0410.760-0422.000 | Duẩn (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long
P=0399 | X=0115.970-0354.010 | Y=0422.280-0433.520 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0399 | X=0097.250-0108.370 | Y=0430.160-0439.480 | 12
P=0399 | X=0454.970-0471.610 | Y=0430.160-0439.480 | 500
P=0399 | X=0505.390-0522.030 | Y=0430.160-0439.480 | 430
P=0399 | X=0115.970-0347.050 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0399 | X=0115.970-0393.160 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0399 | X=0115.970-0415.150 | Y=0475.100-0486.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Lê
P=0399 | X=0115.970-0395.240 | Y=0486.620-0497.860 | Duẩn (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long
P=0399 | X=0115.970-0354.010 | Y=0498.140-0509.380 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0399 | X=0097.250-0347.520 | Y=0515.660-0529.740 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0399 | X=0454.970-0471.610 | Y=0520.420-0529.740 | 400
P=0399 | X=0505.390-0522.030 | Y=0520.420-0529.740 | 350
P=0399 | X=0115.970-0402.870 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0399 | X=0115.970-0177.090 | Y=0544.490-0555.730 | đến ≤1.000m.
P=0399 | X=0115.970-0339.140 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0399 | X=0115.970-0415.150 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Lê
P=0399 | X=0115.970-0395.240 | Y=0591.290-0602.530 | Duẩn (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long
P=0399 | X=0115.970-0354.010 | Y=0602.810-0614.050 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0399 | X=0097.250-0108.370 | Y=0610.690-0620.010 | 14
P=0399 | X=0454.970-0471.610 | Y=0610.690-0620.010 | 270
P=0399 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 270
P=0399 | X=0115.970-0404.430 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0399 | X=0115.970-0339.610 | Y=0637.870-0649.110 | - Có bề rộng <3m. cách đường giao thông >200m.
P=0399 | X=0115.970-0208.870 | Y=0655.630-0666.870 | Trường Chinh (Quốc
P=0399 | X=0333.960-0397.420 | Y=0655.630-0666.870 | Đường Võ Thị
P=0399 | X=0217.270-0250.220 | Y=0661.390-0672.630 | Mũi tàu
P=0399 | X=0097.250-0108.370 | Y=0663.270-0672.590 | 15
P=0399 | X=0454.970-0471.610 | Y=0663.270-0672.590 | 730
P=0399 | X=0505.390-0522.030 | Y=0663.270-0672.590 | 600
P=0399 | X=0115.970-0161.320 | Y=0667.150-0678.390 | lộ 51B cũ)
P=0399 | X=0333.960-0351.800 | Y=0669.030-0678.350 | Sáu
P=0399 | X=0115.970-0395.740 | Y=0684.910-0696.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Trường Chinh
P=0399 | X=0097.250-0405.350 | Y=0696.430-0707.670 | 16 (Quốc lộ 51B cũ) đoạn từ Mũi tàu đến Đường Võ Thị Sáu có hiện
P=0399 | X=0454.970-0471.610 | Y=0698.310-0707.630 | 500
P=0399 | X=0505.390-0522.030 | Y=0698.310-0707.630 | 430
P=0399 | X=0115.970-0287.750 | Y=0707.970-0719.210 | trạng là đường nhựa, bê tông xi măng:
P=0400 | X=0115.970-0347.050 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0400 | X=0115.970-0393.160 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0400 | X=0115.970-0395.740 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Trường Chinh
P=0400 | X=0115.970-0405.350 | Y=0125.330-0136.570 | (Quốc lộ 51B cũ) đoạn từ Mũi tàu đến Đường Võ Thị Sáu có hiện
P=0400 | X=0115.970-0287.750 | Y=0136.850-0148.090 | trạng là đường nhựa, bê tông xi măng:
P=0400 | X=0097.250-0347.520 | Y=0154.370-0168.450 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0400 | X=0454.970-0471.610 | Y=0159.130-0168.450 | 400
P=0400 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 350
P=0400 | X=0115.970-0402.860 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0400 | X=0115.970-0177.090 | Y=0183.170-0194.410 | đến ≤1.000m.
P=0400 | X=0115.970-0339.140 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0400 | X=0115.970-0395.740 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Trường Chinh
P=0400 | X=0115.970-0405.350 | Y=0229.990-0241.230 | (Quốc lộ 51B cũ) đoạn từ Mũi tàu đến Đường Võ Thị Sáu có hiện
P=0400 | X=0115.970-0287.750 | Y=0241.510-0252.750 | trạng là đường nhựa, bê tông xi măng:
P=0400 | X=0097.250-0108.370 | Y=0249.390-0258.710 | 18
P=0400 | X=0454.970-0471.610 | Y=0249.390-0258.710 | 270
P=0400 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 270
P=0400 | X=0115.970-0401.820 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0400 | X=0115.970-0339.610 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0400 | X=0115.970-0401.230 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0400 | X=0115.970-0415.180 | Y=0305.860-0317.100 | Trường Chinh (Quốc lộ 51B cũ) đoạn từ Mũi tàu đến Đường Võ Thị
P=0400 | X=0115.970-0343.450 | Y=0317.380-0328.620 | Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0400 | X=0097.250-0108.370 | Y=0325.260-0334.580 | 19
P=0400 | X=0454.970-0471.610 | Y=0325.260-0334.580 | 500
P=0400 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 430
P=0400 | X=0115.970-0347.050 | Y=0334.900-0346.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0400 | X=0115.970-0393.160 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0400 | X=0115.970-0401.230 | Y=0369.960-0381.200 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0400 | X=0115.970-0415.180 | Y=0381.480-0392.720 | Trường Chinh (Quốc lộ 51B cũ) đoạn từ Mũi tàu đến Đường Võ Thị
P=0400 | X=0115.970-0343.450 | Y=0393.000-0404.240 | Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0400 | X=0097.250-0347.520 | Y=0410.520-0424.840 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0400 | X=0454.970-0471.610 | Y=0415.520-0424.840 | 400
P=0400 | X=0505.390-0522.030 | Y=0415.520-0424.840 | 350
P=0400 | X=0115.970-0402.860 | Y=0428.040-0439.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0400 | X=0115.970-0177.090 | Y=0439.560-0450.800 | đến ≤1.000m.
P=0400 | X=0115.970-0339.140 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0400 | X=0115.970-0401.260 | Y=0474.860-0486.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0400 | X=0115.970-0415.180 | Y=0486.380-0497.620 | Trường Chinh (Quốc lộ 51B cũ) đoạn từ Mũi tàu đến Đường Võ Thị
P=0400 | X=0115.970-0343.450 | Y=0497.900-0509.140 | Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0400 | X=0097.250-0108.370 | Y=0505.780-0515.100 | 21
P=0400 | X=0454.970-0471.610 | Y=0505.780-0515.100 | 270
P=0400 | X=0505.390-0522.030 | Y=0505.780-0515.100 | 270
P=0400 | X=0115.970-0401.780 | Y=0515.420-0526.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0400 | X=0115.970-0339.610 | Y=0532.970-0544.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0400 | X=0115.970-0394.290 | Y=0550.490-0561.730 | Đường từ Sân bóng khu 15 đến hết đoạn đường Ráp thuộc xã
P=0400 | X=0097.250-0108.370 | Y=0558.130-0567.450 | 22
P=0400 | X=0454.970-0471.610 | Y=0558.130-0567.450 | 670
P=0400 | X=0505.390-0522.030 | Y=0558.130-0567.450 | 530
P=0400 | X=0115.970-0151.810 | Y=0563.890-0573.210 | Bình An
P=0400 | X=0115.970-0397.420 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ Sân
P=0400 | X=0115.970-0400.310 | Y=0591.290-0602.530 | bóng khu 15 đến hết đoạn đường Ráp thuộc xã Bình An có hiện
P=0400 | X=0115.970-0287.750 | Y=0602.810-0614.050 | trạng là đường nhựa, bê tông xi măng:
P=0400 | X=0097.250-0108.370 | Y=0610.690-0620.010 | 23
P=0400 | X=0454.970-0471.610 | Y=0610.690-0620.010 | 450
P=0400 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 380
P=0400 | X=0115.970-0347.060 | Y=0620.350-0631.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0400 | X=0115.970-0393.160 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0400 | X=0115.970-0397.420 | Y=0655.630-0666.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ Sân
P=0400 | X=0115.970-0400.310 | Y=0667.150-0678.390 | bóng khu 15 đến hết đoạn đường Ráp thuộc xã Bình An có hiện
P=0400 | X=0097.250-0287.750 | Y=0677.670-0689.910 | 24 trạng là đường nhựa, bê tông xi măng:
P=0400 | X=0454.970-0471.610 | Y=0677.670-0686.990 | 350
P=0400 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 310
P=0400 | X=0115.970-0350.170 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0401 | X=0115.970-0402.860 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0401 | X=0115.970-0177.090 | Y=0090.020-0101.260 | đến ≤1.000m.
P=0401 | X=0115.970-0339.140 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0401 | X=0115.970-0397.420 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ Sân
P=0401 | X=0115.970-0400.310 | Y=0136.850-0148.090 | bóng khu 15 đến hết đoạn đường Ráp thuộc xã Bình An có hiện
P=0401 | X=0115.970-0287.750 | Y=0148.370-0159.610 | trạng là đường nhựa, bê tông xi măng:
P=0401 | X=0097.250-0108.370 | Y=0156.250-0165.570 | 25
P=0401 | X=0454.970-0471.610 | Y=0156.250-0165.570 | 230
P=0401 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 230
P=0401 | X=0115.970-0401.780 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0401 | X=0115.970-0339.610 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0401 | X=0115.970-0401.260 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0401 | X=0115.970-0394.290 | Y=0212.470-0223.710 | Đường từ Sân bóng khu 15 đến hết đoạn đường Ráp thuộc xã
P=0401 | X=0115.970-0361.220 | Y=0223.990-0235.230 | Bình An có hiện trạng là đường nhựa, bê tông xi măng:
P=0401 | X=0097.250-0108.370 | Y=0231.870-0241.190 | 26
P=0401 | X=0454.970-0471.610 | Y=0231.870-0241.190 | 450
P=0401 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 380
P=0401 | X=0115.970-0347.050 | Y=0241.510-0252.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0401 | X=0115.970-0393.160 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0401 | X=0115.970-0401.230 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp vá thông ra
P=0401 | X=0115.970-0394.290 | Y=0288.340-0299.580 | Đường từ Sân bóng khu 15 đến hết đoạn đường Ráp thuộc xã
P=0401 | X=0115.970-0361.220 | Y=0299.860-0311.100 | Bình An có hiện trạng là đường nhựa, bê tông xi măng:
P=0401 | X=0097.250-0350.170 | Y=0317.380-0331.460 | 27 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0401 | X=0454.970-0471.610 | Y=0322.140-0331.460 | 350
P=0401 | X=0505.390-0522.030 | Y=0322.140-0331.460 | 310
P=0401 | X=0115.970-0402.860 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0401 | X=0115.970-0177.090 | Y=0346.420-0357.660 | đến ≤1.000m.
P=0401 | X=0115.970-0339.140 | Y=0363.700-0374.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0401 | X=0115.970-0401.230 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0401 | X=0115.970-0394.290 | Y=0393.000-0404.240 | Đường từ Sân bóng khu 15 đến hết đoạn đường Ráp thuộc xã
P=0401 | X=0115.970-0361.220 | Y=0404.520-0415.760 | Bình An có hiện trạng là đường nhựa, bê tông xi măng:
P=0401 | X=0097.250-0108.370 | Y=0412.400-0421.720 | 28
P=0401 | X=0454.970-0471.610 | Y=0412.400-0421.720 | 230
P=0401 | X=0505.390-0522.030 | Y=0412.400-0421.720 | 230
P=0401 | X=0115.970-0404.430 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0401 | X=0115.970-0339.610 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0401 | X=0333.960-0402.460 | Y=0457.340-0468.580 | Đường Trường
P=0401 | X=0097.250-0289.620 | Y=0463.100-0474.340 | 29 Đường Vũ Hồng Phô Đường Lê Duẩn
P=0401 | X=0454.970-0471.610 | Y=0464.980-0474.300 | 670
P=0401 | X=0505.390-0522.030 | Y=0464.980-0474.300 | 530
P=0401 | X=0333.960-0360.200 | Y=0470.740-0480.060 | Chinh
P=0401 | X=0115.970-0406.070 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Vũ Hồng
P=0401 | X=0115.970-0400.790 | Y=0498.140-0509.380 | Phô đoạn từ Đường Lê Duẩn đến Đường Trường Chinh có hiện
P=0401 | X=0115.970-0287.750 | Y=0509.660-0520.900 | trạng là đường nhựa, bê tông xi măng:
P=0401 | X=0097.250-0108.370 | Y=0517.540-0526.860 | 30
P=0401 | X=0454.970-0471.610 | Y=0517.540-0526.860 | 450
P=0401 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 380
P=0401 | X=0115.970-0347.050 | Y=0527.180-0538.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0401 | X=0115.970-0393.160 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0401 | X=0115.970-0406.060 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Vũ Hồng
P=0401 | X=0115.970-0400.790 | Y=0573.770-0585.010 | Phô đoạn từ Đường Lê Duẩn đến Đường Trường Chinh có hiện
P=0401 | X=0115.970-0287.750 | Y=0585.290-0596.530 | trạng là đường nhựa, bê tông xi măng:
