TABLE=041 | AREA=Xã Gia Kiệm | SECTION=agricultural | SEGMENTS=1
P=1451 | X=0119.570-0408.030 | Y=0393.240-0404.480 | Sơn - Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=1451 | X=0101.810-0107.410 | Y=0401.120-0410.440 | 2
P=1451 | X=0462.650-0479.290 | Y=0401.120-0410.440 | 460
P=1451 | X=0505.390-0522.030 | Y=0401.120-0410.440 | 400
P=1451 | X=0119.570-0350.650 | Y=0410.760-0422.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1451 | X=0119.570-0396.760 | Y=0428.280-0439.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1451 | X=0119.570-0417.120 | Y=0446.040-0457.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường song hành
P=1451 | X=0119.570-0430.970 | Y=0457.580-0468.820 | phía Đông Quốc lộ 20 đoạn từ Giáp ranh xã Gia Kiệm đến Đường Lạc
P=1451 | X=0119.570-0408.030 | Y=0469.100-0480.340 | Sơn - Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=1451 | X=0119.570-0351.120 | Y=0486.620-0497.860 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1451 | X=0101.810-0107.410 | Y=0491.380-0500.700 | 3
P=1451 | X=0462.650-0479.290 | Y=0491.380-0500.700 | 360
P=1451 | X=0505.390-0522.030 | Y=0491.380-0500.700 | 310
P=1451 | X=0119.570-0426.020 | Y=0504.140-0515.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1451 | X=0119.570-0161.250 | Y=0515.660-0526.900 | ≤1.000m.
P=1451 | X=0119.570-0342.740 | Y=0533.210-0544.450 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1451 | X=0119.570-0417.120 | Y=0550.970-0562.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường song hành
P=1451 | X=0119.570-0430.970 | Y=0562.250-0573.490 | phía Đông Quốc lộ 20 đoạn từ Giáp ranh xã Gia Kiệm đến Đường Lạc
P=1451 | X=0119.570-0408.030 | Y=0573.770-0585.010 | Sơn - Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=1451 | X=0101.810-0107.410 | Y=0581.650-0590.970 | 4
P=1451 | X=0462.650-0479.290 | Y=0581.650-0590.970 | 230
P=1451 | X=0505.390-0522.030 | Y=0581.650-0590.970 | 210
P=1451 | X=0119.570-0405.380 | Y=0591.290-0602.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1451 | X=0119.570-0343.210 | Y=0608.810-0620.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1451 | X=0119.570-0404.830 | Y=0626.590-0637.830 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1451 | X=0119.570-0416.600 | Y=0638.110-0649.350 | Đường song hành phía Đông Quốc lộ 20 đoạn từ Giáp ranh xã Gia
P=1451 | X=0119.570-0429.700 | Y=0649.630-0660.870 | Kiệm đến Đường Lạc Sơn - Xuân Thiện có hiện trạng là đường nhựa,
P=1451 | X=0119.570-0193.650 | Y=0661.150-0672.390 | bê tông xi măng:
P=1451 | X=0101.810-0107.410 | Y=0663.270-0672.590 | 5
P=1451 | X=0462.650-0479.290 | Y=0663.270-0672.590 | 460
P=1451 | X=0505.390-0522.030 | Y=0663.270-0672.590 | 400
P=1451 | X=0119.570-0350.650 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1451 | X=0119.570-0396.760 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1452 | X=0119.570-0404.830 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1452 | X=0119.570-0416.590 | Y=0090.020-0101.260 | Đường song hành phía Đông Quốc lộ 20 đoạn từ Giáp ranh xã Gia
P=1452 | X=0119.570-0429.700 | Y=0101.540-0112.780 | Kiệm đến Đường Lạc Sơn - Xuân Thiện có hiện trạng là đường nhựa,
P=1452 | X=0119.570-0193.650 | Y=0113.060-0124.300 | bê tông xi măng:
P=1452 | X=0101.810-0107.410 | Y=0129.610-0138.930 | 6
P=1452 | X=0462.650-0479.290 | Y=0129.610-0138.930 | 360
P=1452 | X=0505.390-0522.030 | Y=0129.610-0138.930 | 310
P=1452 | X=0119.570-0351.120 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1452 | X=0119.570-0426.020 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1452 | X=0119.570-0161.250 | Y=0159.410-0170.650 | ≤1.000m.
P=1452 | X=0119.570-0342.740 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1452 | X=0119.570-0404.830 | Y=0194.690-0205.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1452 | X=0119.570-0416.590 | Y=0206.230-0217.470 | Đường song hành phía Đông Quốc lộ 20 đoạn từ Giáp ranh xã Gia
P=1452 | X=0119.570-0429.700 | Y=0217.750-0228.990 | Kiệm đến Đường Lạc Sơn - Xuân Thiện có hiện trạng là đường nhựa,
P=1452 | X=0119.570-0193.650 | Y=0229.270-0240.510 | bê tông xi măng:
P=1452 | X=0101.810-0107.410 | Y=0231.390-0240.710 | 7
P=1452 | X=0462.650-0479.290 | Y=0231.390-0240.710 | 230
P=1452 | X=0505.390-0522.030 | Y=0231.390-0240.710 | 210
P=1452 | X=0119.570-0405.380 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1452 | X=0119.570-0343.210 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1452 | X=0119.570-0223.840 | Y=0282.100-0293.340 | Đường Lạc Sơn - Xuân
P=1452 | X=0101.810-0107.410 | Y=0289.740-0299.060 | 8
P=1452 | X=0251.140-0299.700 | Y=0289.740-0299.060 | Quốc lộ 20
P=1452 | X=0339.960-0383.230 | Y=0289.740-0299.060 | Km2+500
P=1452 | X=0462.650-0479.290 | Y=0289.740-0299.060 | 720
P=1452 | X=0505.390-0522.030 | Y=0289.740-0299.060 | 630
P=1452 | X=0119.570-0144.850 | Y=0295.500-0304.820 | Thiện
P=1452 | X=0119.570-0414.620 | Y=0311.380-0322.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=1452 | X=0119.570-0428.630 | Y=0322.900-0334.140 | Xuân Thiện đoạn từ Quốc lộ 20 đến Km2+500 có hiện trạng là đường
P=1452 | X=0119.570-0222.680 | Y=0334.420-0345.660 | nhựa, bê tông xi măng:
P=1452 | X=0101.810-0107.410 | Y=0342.300-0351.620 | 9
P=1452 | X=0462.650-0479.290 | Y=0342.300-0351.620 | 480
P=1452 | X=0505.390-0522.030 | Y=0342.300-0351.620 | 430
P=1452 | X=0119.570-0350.650 | Y=0351.700-0362.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1452 | X=0119.570-0396.760 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1452 | X=0119.570-0414.620 | Y=0387.000-0398.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=1452 | X=0119.570-0428.630 | Y=0398.520-0409.760 | Xuân Thiện đoạn từ Quốc lộ 20 đến Km2+500 có hiện trạng là đường
P=1452 | X=0119.570-0222.680 | Y=0410.040-0421.280 | nhựa, bê tông xi măng:
P=1452 | X=0098.930-0351.120 | Y=0427.560-0441.880 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1452 | X=0462.650-0479.290 | Y=0432.560-0441.880 | 370
P=1452 | X=0505.390-0522.030 | Y=0432.560-0441.880 | 330
P=1452 | X=0119.570-0426.020 | Y=0445.080-0456.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1452 | X=0119.570-0161.250 | Y=0456.620-0467.860 | ≤1.000m.
P=1452 | X=0119.570-0342.740 | Y=0474.140-0485.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1452 | X=0119.570-0414.620 | Y=0491.900-0503.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=1452 | X=0119.570-0428.630 | Y=0503.420-0514.660 | Xuân Thiện đoạn từ Quốc lộ 20 đến Km2+500 có hiện trạng là đường
P=1452 | X=0119.570-0222.680 | Y=0514.940-0526.180 | nhựa, bê tông xi măng:
P=1452 | X=0098.930-0110.050 | Y=0522.820-0532.140 | 11
P=1452 | X=0462.650-0479.290 | Y=0522.820-0532.140 | 250
P=1452 | X=0505.390-0522.030 | Y=0522.820-0532.140 | 230
P=1452 | X=0119.570-0405.420 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1452 | X=0119.570-0343.210 | Y=0549.770-0561.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1452 | X=0119.570-0404.830 | Y=0567.530-0578.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1452 | X=0119.570-0418.990 | Y=0579.050-0590.290 | Đường Lạc Sơn - Xuân Thiện đoạn từ Quốc lộ 20 đến Km2+500 có
P=1452 | X=0119.570-0313.210 | Y=0590.570-0601.810 | hiện trạng là đường nhựa, bê tông xi măng:
P=1452 | X=0098.930-0110.050 | Y=0598.450-0607.770 | 12
P=1452 | X=0462.650-0479.290 | Y=0598.450-0607.770 | 480
P=1452 | X=0505.390-0522.030 | Y=0598.450-0607.770 | 430
P=1452 | X=0119.570-0350.650 | Y=0608.090-0619.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1452 | X=0119.570-0396.760 | Y=0625.630-0636.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1452 | X=0119.570-0404.830 | Y=0643.390-0654.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1452 | X=0119.570-0418.990 | Y=0654.910-0666.150 | Đường Lạc Sơn - Xuân Thiện đoạn từ Quốc lộ 20 đến Km2+500 có
P=1452 | X=0119.570-0313.210 | Y=0666.430-0677.670 | hiện trạng là đường nhựa, bê tông xi măng:
P=1452 | X=0098.930-0110.050 | Y=0674.310-0683.630 | 13
P=1452 | X=0462.650-0479.290 | Y=0674.310-0683.630 | 370
P=1452 | X=0505.390-0522.030 | Y=0674.310-0683.630 | 330
P=1452 | X=0119.570-0351.120 | Y=0683.950-0695.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1452 | X=0119.570-0426.020 | Y=0701.490-0712.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1453 | X=0119.570-0161.250 | Y=0072.500-0083.740 | ≤1.000m.
P=1453 | X=0119.570-0342.740 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1453 | X=0119.570-0404.830 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1453 | X=0119.570-0418.990 | Y=0119.330-0130.570 | Đường Lạc Sơn - Xuân Thiện đoạn từ Quốc lộ 20 đến Km2+500 có
P=1453 | X=0119.570-0313.210 | Y=0130.850-0142.090 | hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0098.930-0110.050 | Y=0138.730-0148.050 | 14
P=1453 | X=0462.650-0479.290 | Y=0138.730-0148.050 | 250
P=1453 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 230
P=1453 | X=0119.570-0405.380 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1453 | X=0119.570-0343.210 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1453 | X=0119.570-0223.840 | Y=0183.410-0194.650 | Đường Lạc Sơn - Xuân
P=1453 | X=0339.960-0422.380 | Y=0183.410-0194.650 | Giáp ranh phường
P=1453 | X=0098.930-0110.050 | Y=0191.050-0200.370 | 15
P=1453 | X=0251.140-0294.410 | Y=0191.050-0200.370 | Km2+500
P=1453 | X=0462.650-0479.290 | Y=0191.050-0200.370 | 720
P=1453 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 630
P=1453 | X=0119.570-0144.850 | Y=0196.810-0206.130 | Thiện
P=1453 | X=0339.960-0379.580 | Y=0196.810-0206.130 | Bình Lộc
P=1453 | X=0119.570-0414.620 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=1453 | X=0119.570-0435.860 | Y=0224.230-0235.470 | Xuân Thiện đoạn từ Km2+500 đến Giáp ranh phường Bình Lộc có hiện
P=1453 | X=0119.570-0291.350 | Y=0235.750-0246.990 | trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0098.930-0110.050 | Y=0243.630-0252.950 | 16
P=1453 | X=0462.650-0479.290 | Y=0243.630-0252.950 | 480
P=1453 | X=0505.390-0522.030 | Y=0243.630-0252.950 | 430
P=1453 | X=0119.570-0350.650 | Y=0253.270-0264.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1453 | X=0119.570-0396.760 | Y=0270.790-0282.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1453 | X=0119.570-0414.620 | Y=0288.580-0299.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=1453 | X=0119.570-0435.860 | Y=0300.100-0311.340 | Xuân Thiện đoạn từ Km2+500 đến Giáp ranh phường Bình Lộc có hiện
P=1453 | X=0119.570-0291.350 | Y=0311.620-0322.860 | trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0098.930-0351.120 | Y=0329.140-0343.220 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1453 | X=0462.650-0479.290 | Y=0333.900-0343.220 | 370
P=1453 | X=0505.390-0522.030 | Y=0333.900-0343.220 | 330
P=1453 | X=0119.570-0426.020 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1453 | X=0119.570-0161.250 | Y=0357.940-0369.180 | ≤1.000m.
P=1453 | X=0119.570-0342.740 | Y=0375.480-0386.720 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1453 | X=0119.570-0414.620 | Y=0393.240-0404.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=1453 | X=0119.570-0435.860 | Y=0404.760-0416.000 | Xuân Thiện đoạn từ Km2+500 đến Giáp ranh phường Bình Lộc có hiện
P=1453 | X=0119.570-0291.350 | Y=0416.280-0427.520 | trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0098.930-0110.050 | Y=0424.160-0433.480 | 18
P=1453 | X=0462.650-0479.290 | Y=0424.160-0433.480 | 250
P=1453 | X=0505.390-0522.030 | Y=0424.160-0433.480 | 230
P=1453 | X=0119.570-0405.380 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1453 | X=0119.570-0343.210 | Y=0451.340-0462.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1453 | X=0119.570-0404.830 | Y=0469.100-0480.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1453 | X=0119.570-0401.240 | Y=0480.620-0491.860 | Đường Lạc Sơn - Xuân Thiện đoạn từ Km2+500 đến Giáp ranh
P=1453 | X=0119.570-0407.070 | Y=0492.140-0503.380 | phường Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0098.930-0110.050 | Y=0500.020-0509.340 | 19
P=1453 | X=0462.650-0479.290 | Y=0500.020-0509.340 | 480
P=1453 | X=0505.390-0522.030 | Y=0500.020-0509.340 | 430
P=1453 | X=0119.570-0350.650 | Y=0509.660-0520.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1453 | X=0119.570-0396.760 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1453 | X=0119.570-0404.830 | Y=0544.970-0556.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1453 | X=0119.570-0401.240 | Y=0556.250-0567.490 | Đường Lạc Sơn - Xuân Thiện đoạn từ Km2+500 đến Giáp ranh
P=1453 | X=0119.570-0407.070 | Y=0567.770-0579.010 | phường Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0098.930-0351.120 | Y=0585.290-0599.610 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1453 | X=0462.650-0479.290 | Y=0590.290-0599.610 | 370
P=1453 | X=0505.390-0522.030 | Y=0590.290-0599.610 | 330
P=1453 | X=0119.570-0426.020 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1453 | X=0119.570-0161.250 | Y=0614.330-0625.570 | ≤1.000m.
P=1453 | X=0119.570-0342.740 | Y=0631.870-0643.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1453 | X=0119.570-0404.830 | Y=0649.630-0660.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1453 | X=0119.570-0401.240 | Y=0661.150-0672.390 | Đường Lạc Sơn - Xuân Thiện đoạn từ Km2+500 đến Giáp ranh
P=1453 | X=0119.570-0407.100 | Y=0672.670-0683.910 | phường Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0098.930-0110.050 | Y=0680.550-0689.870 | 21
P=1453 | X=0462.650-0479.290 | Y=0680.550-0689.870 | 250
P=1453 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 230
P=1453 | X=0119.570-0405.380 | Y=0690.190-0701.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1453 | X=0119.570-0343.210 | Y=0707.730-0718.970 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1454 | X=0339.960-0427.430 | Y=0078.500-0089.740 | Giáp ngã ba đường
P=1454 | X=0251.140-0329.730 | Y=0086.140-0095.460 | Giáp ranh xã Dầu
P=1454 | X=0339.960-0435.110 | Y=0090.020-0101.260 | vào Nông trường cao
P=1454 | X=0098.930-0168.130 | Y=0091.900-0101.220 | 22 Quốc lộ 20
P=1454 | X=0462.650-0479.290 | Y=0091.900-0101.220 | 730
P=1454 | X=0505.390-0522.030 | Y=0091.900-0101.220 | 670
P=1454 | X=0251.140-0272.010 | Y=0097.660-0106.980 | Giây
P=1454 | X=0339.960-0392.780 | Y=0103.420-0112.740 | su Bình Lộc
P=1454 | X=0119.570-0422.090 | Y=0119.330-0130.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1454 | X=0119.570-0428.630 | Y=0130.850-0142.090 | Giáp ranh xã Dầu Giây đến Giáp ngã ba đường vào Nông trường cao
P=1454 | X=0119.570-0381.880 | Y=0142.370-0153.610 | su Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1454 | X=0098.930-0110.050 | Y=0150.250-0159.570 | 23
P=1454 | X=0462.650-0479.290 | Y=0150.250-0159.570 | 500
P=1454 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 450
P=1454 | X=0119.570-0350.650 | Y=0159.650-0170.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1454 | X=0119.570-0396.780 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1454 | X=0119.570-0422.090 | Y=0194.930-0206.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1454 | X=0119.570-0428.630 | Y=0206.470-0217.710 | Giáp ranh xã Dầu Giây đến Giáp ngã ba đường vào Nông trường cao
P=1454 | X=0119.570-0381.880 | Y=0217.990-0229.230 | su Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1454 | X=0098.930-0351.160 | Y=0235.510-0249.830 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1454 | X=0462.650-0479.290 | Y=0240.510-0249.830 | 400
P=1454 | X=0505.390-0522.030 | Y=0240.510-0249.830 | 350
P=1454 | X=0119.570-0426.020 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1454 | X=0119.570-0161.250 | Y=0264.550-0275.790 | ≤1.000m.
P=1454 | X=0119.570-0342.740 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1454 | X=0119.570-0422.090 | Y=0299.860-0311.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1454 | X=0119.570-0428.630 | Y=0311.380-0322.620 | Giáp ranh xã Dầu Giây đến Giáp ngã ba đường vào Nông trường cao
P=1454 | X=0119.570-0381.880 | Y=0322.900-0334.140 | su Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1454 | X=0098.930-0110.050 | Y=0330.780-0340.100 | 25
P=1454 | X=0462.650-0479.290 | Y=0330.780-0340.100 | 290
P=1454 | X=0505.390-0522.030 | Y=0330.780-0340.100 | 250
P=1454 | X=0119.570-0405.380 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1454 | X=0119.570-0343.210 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1454 | X=0119.570-0431.450 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1454 | X=0119.570-0411.590 | Y=0387.000-0398.240 | lộ 20 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ngã ba đường vào
P=1454 | X=0119.570-0430.300 | Y=0398.520-0409.760 | Nông trường cao su Bình Lộc có hiện trạng là đường nhựa, bê tông xi
P=1454 | X=0098.930-0147.570 | Y=0410.040-0421.480 | 26 măng:
P=1454 | X=0462.650-0479.290 | Y=0412.160-0421.480 | 500
P=1454 | X=0505.390-0522.030 | Y=0412.160-0421.480 | 450
P=1454 | X=0119.570-0350.650 | Y=0427.560-0438.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1454 | X=0119.570-0396.760 | Y=0445.080-0456.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1454 | X=0119.570-0431.450 | Y=0462.860-0474.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1454 | X=0119.570-0411.590 | Y=0474.380-0485.620 | lộ 20 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ngã ba đường vào
P=1454 | X=0119.570-0430.300 | Y=0485.900-0497.140 | Nông trường cao su Bình Lộc có hiện trạng là đường nhựa, bê tông xi
P=1454 | X=0119.570-0147.570 | Y=0497.420-0508.660 | măng:
P=1454 | X=0098.930-0351.120 | Y=0513.940-0526.180 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1454 | X=0462.650-0479.290 | Y=0513.940-0523.260 | 400
P=1454 | X=0505.390-0522.030 | Y=0513.940-0523.260 | 350
P=1454 | X=0119.570-0426.020 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1454 | X=0119.570-0161.250 | Y=0543.770-0555.010 | ≤1.000m.
P=1454 | X=0119.570-0342.740 | Y=0561.290-0572.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1454 | X=0119.570-0431.450 | Y=0579.050-0590.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1454 | X=0119.570-0411.590 | Y=0590.570-0601.810 | lộ 20 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ngã ba đường vào
P=1454 | X=0119.570-0430.300 | Y=0602.090-0613.330 | Nông trường cao su Bình Lộc có hiện trạng là đường nhựa, bê tông xi
P=1454 | X=0098.930-0147.570 | Y=0613.610-0625.050 | 28 măng:
P=1454 | X=0462.650-0479.290 | Y=0615.730-0625.050 | 290
P=1454 | X=0505.390-0522.030 | Y=0615.730-0625.050 | 250
P=1454 | X=0119.570-0405.380 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1454 | X=0119.570-0343.210 | Y=0648.670-0659.910 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1454 | X=0251.140-0338.610 | Y=0666.430-0677.670 | Giáp ngã ba đường
P=1454 | X=0339.960-0424.070 | Y=0672.190-0683.430 | Ngã ba đường vào
P=1454 | X=0251.140-0327.570 | Y=0677.950-0689.190 | vào Nông trường
P=1454 | X=0098.930-0168.130 | Y=0679.830-0689.150 | 29 Quốc lộ 20
P=1454 | X=0462.650-0479.290 | Y=0679.830-0689.150 | 730
P=1454 | X=0505.390-0522.030 | Y=0679.830-0689.150 | 670
P=1454 | X=0339.960-0391.880 | Y=0683.710-0694.950 | ấp Lạc Sơn
