TABLE=028 | AREA=Xã Xuân Phú | SECTION=agricultural | SEGMENTS=1
P=0962 | X=0506.350-0522.520 | Y=0639.750-0649.070 | 400
P=0962 | X=0327.960-0375.000 | Y=0645.510-0654.830 | 16 + 494m
P=0962 | X=0117.170-0414.040 | Y=0661.390-0672.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0962 | X=0117.170-0395.610 | Y=0672.910-0684.150 | Đường Xuân Phú 16 đến Đường Xuân Phú 16 + 494m có hiện
P=0962 | X=0100.610-0106.210 | Y=0683.430-0692.750 | 9
P=0962 | X=0452.330-0468.500 | Y=0683.430-0692.750 | 380
P=0962 | X=0506.350-0522.520 | Y=0683.430-0692.750 | 250
P=0962 | X=0117.170-0291.130 | Y=0684.430-0695.670 | trạng là đường nhựa, bê tông xi măng:
P=0962 | X=0117.170-0347.560 | Y=0701.970-0713.210 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0963 | X=0117.170-0394.140 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0963 | X=0117.170-0414.890 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0963 | X=0117.170-0396.220 | Y=0107.780-0119.020 | Đường Xuân Phú 16 đến Đường Xuân Phú 16 + 494m có hiện
P=0963 | X=0117.170-0288.030 | Y=0119.330-0130.570 | trạng là đường nhựa, bê tông xi măng:
P=0963 | X=0098.210-0348.040 | Y=0136.850-0150.930 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0963 | X=0452.330-0468.500 | Y=0141.610-0150.930 | 300
P=0963 | X=0506.350-0522.520 | Y=0141.610-0150.930 | 200
P=0963 | X=0117.170-0404.530 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0963 | X=0117.170-0177.810 | Y=0165.650-0176.890 | đến ≤1.000m.
P=0963 | X=0117.170-0339.880 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0963 | X=0117.170-0414.140 | Y=0200.950-0212.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0963 | X=0117.170-0395.610 | Y=0212.470-0223.710 | Đường Xuân Phú 16 đến Đường Xuân Phú 16 + 494m có hiện
P=0963 | X=0117.170-0291.110 | Y=0223.990-0235.230 | trạng là đường nhựa, bê tông xi măng:
P=0963 | X=0098.210-0109.090 | Y=0231.870-0241.190 | 11
P=0963 | X=0452.330-0468.500 | Y=0231.870-0241.190 | 220
P=0963 | X=0506.350-0522.520 | Y=0231.870-0241.190 | 140
P=0963 | X=0117.170-0402.530 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0963 | X=0117.170-0340.360 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0963 | X=0117.170-0402.380 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0963 | X=0117.170-0406.660 | Y=0288.340-0299.580 | Quốc lộ 1 đoạn từ Đường Xuân Phú 16 đến Đường Xuân Phú 16
P=0963 | X=0117.170-0360.390 | Y=0299.860-0311.100 | + 494m có hiện trạng là đường nhựa, bê tông xi măng:
P=0963 | X=0098.210-0109.090 | Y=0307.740-0317.060 | 12
P=0963 | X=0452.330-0468.500 | Y=0307.740-0317.060 | 380
P=0963 | X=0506.350-0522.520 | Y=0307.740-0317.060 | 250
P=0963 | X=0117.170-0347.560 | Y=0317.380-0328.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0963 | X=0117.170-0394.140 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0963 | X=0117.170-0402.460 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0963 | X=0117.170-0407.500 | Y=0363.940-0375.180 | Quốc lộ 1 đoạn từ Đường Xuân Phú 16 đến Đường Xuân Phú 16
P=0963 | X=0117.170-0359.800 | Y=0375.480-0386.720 | + 494m có hiện trạng là đường nhựa, bê tông xi măng:
P=0963 | X=0098.210-0348.040 | Y=0393.000-0407.320 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0963 | X=0452.330-0468.500 | Y=0398.000-0407.320 | 300
P=0963 | X=0506.350-0522.520 | Y=0398.000-0407.320 | 200
P=0963 | X=0117.170-0404.530 | Y=0410.520-0421.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0963 | X=0117.170-0177.810 | Y=0422.040-0433.280 | đến ≤1.000m.
P=0963 | X=0117.170-0339.880 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0963 | X=0117.170-0402.330 | Y=0457.340-0468.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0963 | X=0117.170-0406.660 | Y=0468.860-0480.100 | Quốc lộ 1 đoạn từ Đường Xuân Phú 16 đến Đường Xuân Phú 16
P=0963 | X=0117.170-0360.440 | Y=0480.380-0491.620 | + 494m có hiện trạng là đường nhựa, bê tông xi măng:
P=0963 | X=0098.210-0109.090 | Y=0488.260-0497.580 | 14
P=0963 | X=0452.330-0468.500 | Y=0488.260-0497.580 | 220
P=0963 | X=0506.350-0522.520 | Y=0488.260-0497.580 | 140
P=0963 | X=0117.170-0402.530 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0963 | X=0117.170-0340.360 | Y=0515.420-0526.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0963 | X=0235.300-0411.350 | Y=0533.210-0544.450 | Đường Xuân Phú 16 Giáp ranh xã Xuân
P=0963 | X=0098.210-0160.450 | Y=0538.970-0550.210 | 15 Quốc lộ 1
P=0963 | X=0452.330-0468.500 | Y=0540.850-0550.170 | 570
P=0963 | X=0506.350-0522.520 | Y=0540.850-0550.170 | 400
P=0963 | X=0327.960-0343.560 | Y=0544.490-0555.730 | Lộc
P=0963 | X=0235.300-0268.420 | Y=0546.370-0555.690 | + 494m
P=0963 | X=0117.170-0414.110 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0963 | X=0117.170-0405.690 | Y=0573.770-0585.010 | Đường Xuân Phú 16 + 494m đến Giáp ranh xã Xuân Lộc có hiện
P=0963 | X=0117.170-0291.100 | Y=0585.290-0596.530 | trạng là đường nhựa, bê tông xi măng:
P=0963 | X=0098.210-0109.090 | Y=0593.170-0602.490 | 16
P=0963 | X=0452.330-0468.500 | Y=0593.170-0602.490 | 380
P=0963 | X=0506.350-0522.520 | Y=0593.170-0602.490 | 250
P=0963 | X=0117.170-0347.560 | Y=0602.810-0614.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0963 | X=0117.170-0394.140 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0963 | X=0117.170-0414.400 | Y=0638.110-0649.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0963 | X=0117.170-0405.820 | Y=0649.630-0660.870 | Đường Xuân Phú 16 + 494m đến Giáp ranh xã Xuân Lộc có hiện
P=0963 | X=0117.170-0288.030 | Y=0661.150-0672.390 | trạng là đường nhựa, bê tông xi măng:
P=0963 | X=0098.210-0109.090 | Y=0674.790-0684.110 | 17
P=0963 | X=0452.330-0468.500 | Y=0674.790-0684.110 | 300
P=0963 | X=0506.350-0522.520 | Y=0674.790-0684.110 | 200
P=0963 | X=0117.170-0348.040 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0963 | X=0117.170-0404.530 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0963 | X=0117.170-0177.810 | Y=0707.730-0718.970 | đến ≤1.000m.
P=0964 | X=0117.170-0339.880 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0964 | X=0117.170-0414.040 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0964 | X=0117.170-0405.690 | Y=0107.780-0119.020 | Đường Xuân Phú 16 + 494m đến Giáp ranh xã Xuân Lộc có hiện
P=0964 | X=0117.170-0291.100 | Y=0119.330-0130.570 | trạng là đường nhựa, bê tông xi măng:
P=0964 | X=0098.210-0109.090 | Y=0127.210-0136.530 | 18
P=0964 | X=0452.330-0468.500 | Y=0127.210-0136.530 | 220
P=0964 | X=0506.350-0522.520 | Y=0127.210-0136.530 | 140
P=0964 | X=0117.170-0402.530 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0964 | X=0117.170-0340.360 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0964 | X=0117.170-0402.330 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0964 | X=0117.170-0408.320 | Y=0183.410-0194.650 | Quốc lộ 1 đoạn từ Đường Xuân Phú 16 + 494m đến Giáp ranh xã
P=0964 | X=0117.170-0368.890 | Y=0194.930-0206.170 | Xuân Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0964 | X=0098.210-0109.090 | Y=0202.830-0212.150 | 19
P=0964 | X=0452.330-0468.500 | Y=0202.830-0212.150 | 380
P=0964 | X=0506.350-0522.520 | Y=0202.830-0212.150 | 250
P=0964 | X=0117.170-0347.560 | Y=0212.470-0223.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0964 | X=0117.170-0394.140 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0964 | X=0117.170-0402.460 | Y=0247.750-0258.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0964 | X=0117.170-0408.940 | Y=0259.270-0270.510 | Quốc lộ 1 đoạn từ Đường Xuân Phú 16 + 494m đến Giáp ranh xã
P=0964 | X=0117.170-0367.960 | Y=0270.790-0282.030 | Xuân Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0964 | X=0098.210-0348.040 | Y=0288.340-0302.420 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0964 | X=0452.330-0468.500 | Y=0293.100-0302.420 | 300
P=0964 | X=0506.350-0522.520 | Y=0293.100-0302.420 | 200
P=0964 | X=0117.170-0404.530 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0964 | X=0117.170-0177.810 | Y=0317.380-0328.620 | đến ≤1.000m.
P=0964 | X=0117.170-0339.880 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0964 | X=0117.170-0402.340 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0964 | X=0117.170-0408.320 | Y=0363.940-0375.180 | Quốc lộ 1 đoạn từ Đường Xuân Phú 16 + 494m đến Giáp ranh xã
P=0964 | X=0117.170-0368.830 | Y=0375.480-0386.720 | Xuân Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0964 | X=0098.210-0109.090 | Y=0383.360-0392.680 | 21
P=0964 | X=0452.330-0468.500 | Y=0383.360-0392.680 | 220
P=0964 | X=0506.350-0522.520 | Y=0383.360-0392.680 | 140
P=0964 | X=0117.170-0402.530 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0964 | X=0117.170-0340.360 | Y=0410.520-0421.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0964 | X=0327.960-0406.390 | Y=0428.280-0439.520 | Hết ranh thửa đất
P=0964 | X=0327.960-0411.760 | Y=0439.800-0451.040 | số 18, tờ BĐĐC số
P=0964 | X=0327.960-0407.030 | Y=0451.340-0462.580 | 28 về bên phải và
P=0964 | X=0117.170-0224.550 | Y=0457.100-0468.340 | Đường Bình Hòa - Long
P=0964 | X=0235.300-0278.580 | Y=0462.860-0474.100 | Quốc lộ 1
P=0964 | X=0327.960-0406.840 | Y=0462.860-0474.100 | hết ranh thửa đất
P=0964 | X=0098.210-0109.090 | Y=0464.740-0474.060 | 22
P=0964 | X=0452.330-0468.500 | Y=0464.740-0474.060 | 530
P=0964 | X=0506.350-0522.520 | Y=0464.740-0474.060 | 330
P=0964 | X=0117.170-0145.100 | Y=0470.500-0479.820 | Khánh
P=0964 | X=0327.960-0404.100 | Y=0474.380-0485.620 | số 259, tờ BĐĐC
P=0964 | X=0327.960-0404.900 | Y=0485.900-0497.140 | số 24 về bên trái,
P=0964 | X=0327.960-0384.950 | Y=0499.300-0508.620 | xã Xuân Phú
P=0964 | X=0117.170-0410.140 | Y=0515.180-0526.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Hòa
P=0964 | X=0117.170-0403.110 | Y=0526.460-0537.700 | - Long Khánh đoạn từ Quốc lộ 1 đến Hết ranh thửa đất số 18, tờ
P=0964 | X=0117.170-0414.340 | Y=0538.010-0549.250 | BĐĐC số 28 về bên phải và hết ranh thửa đất số 259, tờ BĐĐC số
P=0964 | X=0117.170-0409.740 | Y=0549.530-0560.770 | 24 về bên trái, xã Xuân Phú có hiện trạng là đường nhựa, bê tông
P=0964 | X=0098.210-0109.090 | Y=0557.410-0566.730 | 23
P=0964 | X=0452.330-0468.500 | Y=0557.410-0566.730 | 350
P=0964 | X=0506.350-0522.520 | Y=0557.410-0566.730 | 200
P=0964 | X=0117.170-0155.000 | Y=0561.050-0572.290 | xi măng:
P=0964 | X=0117.170-0347.560 | Y=0578.570-0589.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0964 | X=0117.170-0394.140 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0964 | X=0117.170-0410.150 | Y=0613.850-0625.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Hòa
P=0964 | X=0117.170-0403.230 | Y=0625.390-0636.630 | - Long Khánh đoạn từ Quốc lộ 1 đến Hết ranh thửa đất số 18, tờ
P=0964 | X=0117.170-0412.060 | Y=0636.910-0648.150 | BĐĐC số 28 về bên phải và hết ranh thửa đất số 259, tờ BĐĐC số
P=0964 | X=0117.170-0410.140 | Y=0648.430-0659.670 | 24 về bên trái, xã Xuân Phú có hiện trạng là đường nhựa, bê tông
P=0964 | X=0098.210-0154.540 | Y=0659.950-0671.390 | 24 xi măng:
P=0964 | X=0452.330-0468.500 | Y=0662.070-0671.390 | 260
P=0964 | X=0506.350-0522.510 | Y=0662.070-0671.390 | 150
P=0964 | X=0117.170-0348.040 | Y=0677.470-0688.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0964 | X=0117.170-0404.530 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0964 | X=0117.170-0177.810 | Y=0706.290-0717.530 | đến ≤1.000m.
P=0965 | X=0117.170-0339.880 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0965 | X=0117.170-0410.000 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Hòa
P=0965 | X=0117.170-0403.110 | Y=0107.780-0119.020 | - Long Khánh đoạn từ Quốc lộ 1 đến Hết ranh thửa đất số 18, tờ
P=0965 | X=0117.170-0414.340 | Y=0119.330-0130.570 | BĐĐC số 28 về bên phải và hết ranh thửa đất số 259, tờ BĐĐC số
P=0965 | X=0117.170-0409.900 | Y=0130.850-0142.090 | 24 về bên trái, xã Xuân Phú có hiện trạng là đường nhựa, bê tông
P=0965 | X=0098.210-0109.090 | Y=0138.730-0148.050 | 25
P=0965 | X=0452.330-0468.500 | Y=0138.730-0148.050 | 180
P=0965 | X=0506.350-0522.520 | Y=0138.730-0148.050 | 110
P=0965 | X=0117.170-0155.000 | Y=0142.370-0153.610 | xi măng:
P=0965 | X=0117.170-0402.530 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0965 | X=0117.170-0340.360 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0965 | X=0117.170-0402.330 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0965 | X=0117.170-0399.520 | Y=0206.470-0217.710 | Đường Bình Hòa - Long Khánh đoạn từ Quốc lộ 1 đến Hết ranh
P=0965 | X=0117.170-0404.390 | Y=0217.990-0229.230 | thửa đất số 18, tờ BĐĐC số 28 về bên phải và hết ranh thửa đất
P=0965 | X=0117.170-0404.190 | Y=0229.510-0240.750 | số 259, tờ BĐĐC số 24 về bên trái, xã Xuân Phú có hiện trạng là
P=0965 | X=0098.210-0109.090 | Y=0237.390-0246.710 | 26
P=0965 | X=0452.330-0468.500 | Y=0237.390-0246.710 | 350
P=0965 | X=0506.350-0522.520 | Y=0237.390-0246.710 | 200
P=0965 | X=0117.170-0252.920 | Y=0241.030-0252.270 | đường nhựa, bê tông xi măng:
P=0965 | X=0117.170-0347.560 | Y=0258.550-0269.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0965 | X=0117.170-0394.150 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0965 | X=0117.170-0402.460 | Y=0293.860-0305.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0965 | X=0117.170-0399.580 | Y=0305.380-0316.620 | Đường Bình Hòa - Long Khánh đoạn từ Quốc lộ 1 đến Hết ranh
P=0965 | X=0117.170-0401.820 | Y=0316.900-0328.140 | thửa đất số 18, tờ BĐĐC số 28 về bên phải và hết ranh thửa đất
P=0965 | X=0117.170-0404.840 | Y=0328.420-0339.660 | số 259, tờ BĐĐC số 24 về bên trái, xã Xuân Phú có hiện trạng là
P=0965 | X=0117.170-0252.510 | Y=0339.700-0350.940 | đường nhựa, bê tông xi măng:
P=0965 | X=0098.210-0109.090 | Y=0350.700-0360.020 | 27
P=0965 | X=0452.330-0468.500 | Y=0350.700-0360.020 | 260
P=0965 | X=0506.350-0522.520 | Y=0350.700-0360.020 | 150
P=0965 | X=0117.170-0348.040 | Y=0357.220-0368.460 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0965 | X=0117.170-0404.530 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0965 | X=0117.170-0177.810 | Y=0386.280-0397.520 | đến ≤1.000m.
P=0965 | X=0117.170-0339.880 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0965 | X=0117.170-0402.380 | Y=0421.560-0432.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0965 | X=0117.170-0399.520 | Y=0433.080-0444.320 | Đường Bình Hòa - Long Khánh đoạn từ Quốc lộ 1 đến Hết ranh
P=0965 | X=0117.170-0404.390 | Y=0444.600-0455.840 | thửa đất số 18, tờ BĐĐC số 28 về bên phải và hết ranh thửa đất
P=0965 | X=0117.170-0404.190 | Y=0456.140-0467.380 | số 259, tờ BĐĐC số 24 về bên trái, xã Xuân Phú có hiện trạng là
P=0965 | X=0098.210-0109.090 | Y=0464.020-0473.340 | 28
P=0965 | X=0452.330-0468.500 | Y=0464.020-0473.340 | 180
P=0965 | X=0506.350-0522.520 | Y=0464.020-0473.340 | 110
P=0965 | X=0117.170-0252.920 | Y=0467.660-0478.900 | đường nhựa, bê tông xi măng:
P=0965 | X=0117.170-0402.530 | Y=0485.180-0496.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
