TABLE=009 | AREA=Phường Phước Tân | SECTION=agricultural | SEGMENTS=1
P=0306 | X=0113.810-0396.690 | Y=0365.400-0376.640 | Đường Võ Nguyên Giáp đoạn từ Giáp ranh phường Long Hưng
P=0306 | X=0113.810-0401.790 | Y=0376.920-0388.160 | đến Đầu cầu số 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0306 | X=0098.930-0336.990 | Y=0394.200-0408.520 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0306 | X=0445.850-0462.490 | Y=0399.200-0408.520 | 560
P=0306 | X=0505.390-0522.030 | Y=0399.200-0408.520 | 380
P=0306 | X=0113.810-0400.700 | Y=0411.720-0422.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0306 | X=0113.810-0166.770 | Y=0423.240-0434.480 | đến ≤600m.
P=0306 | X=0113.810-0336.980 | Y=0440.760-0452.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0306 | X=0113.810-0399.070 | Y=0458.780-0470.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0306 | X=0113.810-0396.700 | Y=0470.300-0481.540 | Đường Võ Nguyên Giáp đoạn từ Giáp ranh phường Long Hưng
P=0306 | X=0113.810-0401.790 | Y=0481.820-0493.060 | đến Đầu cầu số 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0306 | X=0098.930-0104.530 | Y=0489.700-0499.020 | 7
P=0306 | X=0445.850-0462.490 | Y=0489.700-0499.020 | 460
P=0306 | X=0505.390-0522.030 | Y=0489.700-0499.020 | 310
P=0306 | X=0113.810-0391.240 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0306 | X=0113.810-0340.100 | Y=0516.860-0528.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0306 | X=0113.810-0197.890 | Y=0534.890-0546.130 | Đường Võ Nguyên
P=0306 | X=0296.760-0377.510 | Y=0534.890-0546.130 | Đường Chu Mạnh
P=0306 | X=0205.510-0264.420 | Y=0540.650-0551.890 | Đầu cầu số 3
P=0306 | X=0098.930-0104.530 | Y=0542.530-0551.850 | 8
P=0306 | X=0437.690-0462.740 | Y=0542.530-0551.850 | 1.000
P=0306 | X=0505.390-0522.030 | Y=0542.530-0551.850 | 630
P=0306 | X=0113.810-0135.240 | Y=0548.290-0557.610 | Giáp
P=0306 | X=0296.760-0319.860 | Y=0548.290-0557.610 | Trinh
P=0306 | X=0113.810-0377.250 | Y=0564.410-0575.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0306 | X=0113.810-0399.800 | Y=0575.930-0587.170 | Nguyên Giáp đoạn từ Đầu cầu số 3 đến Đường Chu Mạnh Trinh
P=0306 | X=0113.810-0320.660 | Y=0587.450-0598.690 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0306 | X=0098.930-0104.530 | Y=0595.330-0604.650 | 9
P=0306 | X=0445.850-0462.490 | Y=0595.330-0604.650 | 660
P=0306 | X=0505.390-0522.030 | Y=0595.330-0604.650 | 440
P=0306 | X=0113.810-0336.720 | Y=0604.970-0616.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0306 | X=0113.810-0391.010 | Y=0622.270-0633.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0306 | X=0113.810-0377.250 | Y=0640.270-0651.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0306 | X=0113.810-0399.800 | Y=0651.790-0663.030 | Nguyên Giáp đoạn từ Đầu cầu số 3 đến Đường Chu Mạnh Trinh
P=0306 | X=0113.810-0320.660 | Y=0663.310-0674.550 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0306 | X=0096.050-0107.170 | Y=0671.190-0680.510 | 10
P=0306 | X=0445.850-0462.490 | Y=0671.190-0680.510 | 560
P=0306 | X=0505.390-0522.030 | Y=0671.190-0680.510 | 380
P=0306 | X=0113.810-0336.980 | Y=0680.830-0692.070 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0306 | X=0113.810-0400.700 | Y=0698.350-0709.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0307 | X=0113.810-0166.770 | Y=0072.740-0083.980 | đến ≤600m.
P=0307 | X=0113.810-0336.980 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0307 | X=0113.810-0377.250 | Y=0108.260-0119.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0307 | X=0113.810-0399.800 | Y=0119.810-0131.050 | Nguyên Giáp đoạn từ Đầu cầu số 3 đến Đường Chu Mạnh Trinh
P=0307 | X=0113.810-0320.660 | Y=0131.330-0142.570 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0307 | X=0096.050-0107.170 | Y=0139.210-0148.530 | 11
P=0307 | X=0445.850-0462.490 | Y=0139.210-0148.530 | 460
P=0307 | X=0505.390-0522.030 | Y=0139.210-0148.530 | 310
P=0307 | X=0113.810-0391.240 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0307 | X=0113.810-0337.450 | Y=0166.370-0177.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0307 | X=0113.810-0399.070 | Y=0184.370-0195.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0307 | X=0113.810-0395.750 | Y=0195.650-0206.890 | Đường Võ Nguyên Giáp đoạn từ Đầu cầu số 3 đến Đường Chu
P=0307 | X=0113.810-0373.700 | Y=0207.190-0218.430 | Mạnh Trinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0307 | X=0096.050-0107.170 | Y=0215.070-0224.390 | 12
P=0307 | X=0445.850-0462.490 | Y=0215.070-0224.390 | 660
P=0307 | X=0505.390-0522.030 | Y=0215.070-0224.390 | 440
P=0307 | X=0113.810-0336.720 | Y=0224.710-0235.950 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0307 | X=0113.810-0391.000 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0307 | X=0113.810-0399.070 | Y=0260.230-0271.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0307 | X=0113.810-0395.750 | Y=0271.750-0282.990 | Đường Võ Nguyên Giáp đoạn từ Đầu cầu số 3 đến Đường Chu
P=0307 | X=0113.810-0373.700 | Y=0283.300-0294.540 | Mạnh Trinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0307 | X=0096.050-0336.980 | Y=0300.820-0314.900 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0307 | X=0445.850-0462.490 | Y=0305.580-0314.900 | 560
P=0307 | X=0505.390-0522.030 | Y=0305.580-0314.900 | 380
P=0307 | X=0113.810-0400.700 | Y=0318.340-0329.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0307 | X=0113.810-0166.770 | Y=0329.860-0341.100 | đến ≤600m.
P=0307 | X=0113.810-0336.980 | Y=0347.380-0358.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0307 | X=0113.810-0399.070 | Y=0365.400-0376.640 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0307 | X=0113.810-0395.750 | Y=0376.920-0388.160 | Đường Võ Nguyên Giáp đoạn từ Đầu cầu số 3 đến Đường Chu
P=0307 | X=0113.810-0373.700 | Y=0388.200-0399.440 | Mạnh Trinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0307 | X=0096.050-0107.170 | Y=0396.080-0405.400 | 14
P=0307 | X=0445.850-0462.490 | Y=0396.080-0405.400 | 460
P=0307 | X=0505.390-0522.030 | Y=0396.080-0405.400 | 310
P=0307 | X=0113.810-0391.240 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0307 | X=0113.810-0340.100 | Y=0423.240-0434.480 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0307 | X=0113.810-0286.270 | Y=0441.240-0452.480 | Đường Võ Nguyên Đường Chu Mạnh
P=0307 | X=0296.760-0392.860 | Y=0441.240-0452.480 | Hết ranh giới phường
P=0307 | X=0096.050-0107.170 | Y=0448.880-0458.200 | 15
P=0307 | X=0437.690-0462.740 | Y=0448.880-0458.200 | 1.000
P=0307 | X=0505.390-0522.030 | Y=0448.880-0458.200 | 630
P=0307 | X=0296.760-0347.480 | Y=0452.780-0464.020 | Phước Tân
P=0307 | X=0113.810-0135.240 | Y=0454.660-0463.980 | Giáp
P=0307 | X=0205.510-0228.610 | Y=0454.660-0463.980 | Trinh
P=0307 | X=0113.810-0383.270 | Y=0470.780-0482.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đầu
P=0307 | X=0113.810-0369.570 | Y=0482.300-0493.540 | cầu số đoạn từ Đường Chu Mạnh Trinh đến Hết ranh giới
P=0307 | X=0113.810-0381.560 | Y=0493.820-0505.060 | phường Phước Tân có hiện trạng là đường nhựa, bê tông xi
P=0307 | X=0096.050-0141.810 | Y=0505.340-0516.780 | 16 măng:
P=0307 | X=0445.850-0462.490 | Y=0507.460-0516.780 | 660
P=0307 | X=0505.390-0522.030 | Y=0507.460-0516.780 | 440
P=0307 | X=0113.810-0336.720 | Y=0522.860-0534.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0307 | X=0113.810-0391.000 | Y=0540.410-0551.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0307 | X=0113.810-0377.250 | Y=0558.410-0569.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0307 | X=0113.810-0398.370 | Y=0569.930-0581.170 | Nguyên Giáp đoạn từ Đường Chu Mạnh Trinh đến Hết ranh giới
P=0307 | X=0113.810-0381.560 | Y=0581.450-0592.690 | phường Phước Tân có hiện trạng là đường nhựa, bê tông xi
P=0307 | X=0113.810-0141.810 | Y=0592.970-0604.210 | măng:
P=0307 | X=0096.050-0336.980 | Y=0609.490-0621.490 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0307 | X=0445.850-0462.490 | Y=0609.490-0618.810 | 560
P=0307 | X=0505.390-0522.030 | Y=0609.490-0618.810 | 380
P=0307 | X=0113.810-0400.700 | Y=0627.790-0639.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0307 | X=0113.810-0166.770 | Y=0639.310-0650.550 | đến ≤600m.
P=0307 | X=0113.810-0336.980 | Y=0656.830-0668.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0307 | X=0113.810-0377.250 | Y=0674.830-0686.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0307 | X=0096.050-0398.370 | Y=0686.350-0697.590 | 18 Nguyên Giáp đoạn từ Đường Chu Mạnh Trinh đến Hết ranh giới
P=0307 | X=0445.850-0462.490 | Y=0688.230-0697.550 | 460
P=0307 | X=0505.390-0522.030 | Y=0688.230-0697.550 | 310
P=0307 | X=0113.810-0381.560 | Y=0697.870-0709.110 | phường Phước Tân có hiện trạng là đường nhựa, bê tông xi
P=0308 | X=0113.810-0141.810 | Y=0072.740-0083.980 | măng:
P=0308 | X=0113.810-0391.240 | Y=0090.260-0101.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0308 | X=0113.810-0337.450 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0308 | X=0113.810-0399.070 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0308 | X=0113.810-0387.100 | Y=0137.330-0148.570 | Đường Võ Nguyên Giáp đoạn từ Đường Chu Mạnh Trinh đến
P=0308 | X=0113.810-0395.830 | Y=0148.850-0160.090 | Hết ranh giới phường Phước Tân có hiện trạng là đường nhựa,
P=0308 | X=0096.050-0187.890 | Y=0160.370-0171.810 | 19 bê tông xi măng:
P=0308 | X=0445.850-0462.490 | Y=0162.490-0171.810 | 660
P=0308 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 440
P=0308 | X=0113.810-0336.720 | Y=0177.650-0188.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0308 | X=0113.810-0391.000 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0308 | X=0113.810-0399.070 | Y=0213.190-0224.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0308 | X=0113.810-0387.100 | Y=0224.710-0235.950 | Đường Võ Nguyên Giáp đoạn từ Đường Chu Mạnh Trinh đến
P=0308 | X=0113.810-0395.830 | Y=0236.230-0247.470 | Hết ranh giới phường Phước Tân có hiện trạng là đường nhựa,
P=0308 | X=0113.810-0187.890 | Y=0247.750-0258.990 | bê tông xi măng:
P=0308 | X=0096.050-0336.980 | Y=0264.510-0276.510 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0308 | X=0445.850-0462.490 | Y=0264.510-0273.830 | 560
P=0308 | X=0505.390-0522.030 | Y=0264.510-0273.830 | 380
P=0308 | X=0113.810-0400.700 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0308 | X=0113.810-0166.770 | Y=0294.340-0305.580 | đến ≤600m.
P=0308 | X=0113.810-0336.980 | Y=0311.860-0323.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0308 | X=0113.810-0399.070 | Y=0329.860-0341.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0308 | X=0113.810-0387.100 | Y=0341.380-0352.620 | Đường Võ Nguyên Giáp đoạn từ Đường Chu Mạnh Trinh đến
P=0308 | X=0113.810-0395.830 | Y=0352.900-0364.140 | Hết ranh giới phường Phước Tân có hiện trạng là đường nhựa,
P=0308 | X=0096.050-0187.890 | Y=0364.180-0375.860 | 21 bê tông xi măng:
P=0308 | X=0445.850-0462.490 | Y=0366.540-0375.860 | 460
P=0308 | X=0505.390-0522.030 | Y=0366.540-0375.860 | 310
P=0308 | X=0113.810-0391.240 | Y=0381.720-0392.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0308 | X=0113.810-0340.130 | Y=0399.240-0410.480 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0308 | X=0113.810-0201.730 | Y=0417.240-0428.480 | Đường Đinh Quang
P=0308 | X=0096.050-0107.170 | Y=0424.880-0434.200 | 22
P=0308 | X=0205.510-0254.100 | Y=0424.880-0434.200 | Quốc lộ 51
P=0308 | X=0296.760-0393.080 | Y=0424.880-0434.200 | Hết Chùa Viên Thông
P=0308 | X=0437.690-0462.740 | Y=0424.880-0434.200 | 1.000
P=0308 | X=0505.390-0522.030 | Y=0424.880-0434.200 | 630
P=0308 | X=0113.810-0126.130 | Y=0430.640-0439.960 | Ân
P=0308 | X=0113.810-0385.630 | Y=0446.760-0458.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh
P=0308 | X=0113.810-0401.020 | Y=0458.300-0469.540 | Quang Ân đoạn từ Quốc lộ 51 đến Hết Chùa Viên Thông có hiện
P=0308 | X=0113.810-0285.590 | Y=0469.820-0481.060 | trạng là đường nhựa, bê tông xi măng:
P=0308 | X=0096.050-0107.170 | Y=0477.700-0487.020 | 23
P=0308 | X=0445.850-0462.490 | Y=0477.700-0487.020 | 660
P=0308 | X=0505.390-0522.030 | Y=0477.700-0487.020 | 440
P=0308 | X=0113.810-0336.720 | Y=0487.340-0498.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0308 | X=0113.810-0391.000 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0308 | X=0113.810-0385.630 | Y=0522.860-0534.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh
P=0308 | X=0113.810-0401.020 | Y=0534.410-0545.650 | Quang Ân đoạn từ Quốc lộ 51 đến Hết Chùa Viên Thông có hiện
P=0308 | X=0113.810-0285.620 | Y=0545.930-0557.170 | trạng là đường nhựa, bê tông xi măng:
P=0308 | X=0096.050-0336.980 | Y=0563.450-0577.530 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0308 | X=0445.850-0462.490 | Y=0568.210-0577.530 | 560
P=0308 | X=0505.390-0522.030 | Y=0568.210-0577.530 | 380
P=0308 | X=0113.810-0400.700 | Y=0580.970-0592.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0308 | X=0113.810-0166.770 | Y=0592.250-0603.490 | đến ≤600m.
P=0308 | X=0113.810-0336.980 | Y=0609.770-0621.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0308 | X=0113.810-0385.630 | Y=0627.790-0639.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh
P=0308 | X=0113.810-0401.020 | Y=0639.310-0650.550 | Quang Ân đoạn từ Quốc lộ 51 đến Hết Chùa Viên Thông có hiện
P=0308 | X=0113.810-0285.590 | Y=0650.830-0662.070 | trạng là đường nhựa, bê tông xi măng:
P=0308 | X=0096.050-0107.170 | Y=0658.710-0668.030 | 25
P=0308 | X=0445.850-0462.490 | Y=0658.710-0668.030 | 460
P=0308 | X=0505.390-0522.030 | Y=0658.710-0668.030 | 310
P=0308 | X=0113.810-0391.240 | Y=0668.350-0679.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0308 | X=0113.810-0337.450 | Y=0685.870-0697.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0308 | X=0096.050-0399.100 | Y=0703.890-0715.130 | 26 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0308 | X=0445.850-0462.490 | Y=0705.780-0715.100 | 660
P=0308 | X=0505.390-0522.030 | Y=0705.780-0715.100 | 440
P=0309 | X=0113.810-0392.600 | Y=0072.740-0083.980 | Đường Đinh Quang Ân đoạn từ Quốc lộ 51 đến Hết Chùa Viên
P=0309 | X=0113.810-0351.850 | Y=0084.260-0095.500 | Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0309 | X=0113.810-0336.720 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0309 | X=0113.810-0391.000 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0309 | X=0113.810-0399.070 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0309 | X=0113.810-0392.600 | Y=0148.850-0160.090 | Đường Đinh Quang Ân đoạn từ Quốc lộ 51 đến Hết Chùa Viên
P=0309 | X=0113.810-0351.850 | Y=0160.370-0171.610 | Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0309 | X=0096.050-0336.980 | Y=0177.650-0191.970 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0309 | X=0445.850-0462.490 | Y=0182.650-0191.970 | 560
P=0309 | X=0505.390-0522.030 | Y=0182.650-0191.970 | 380
P=0309 | X=0113.810-0400.700 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0309 | X=0113.810-0166.770 | Y=0206.710-0217.950 | đến ≤600m.
P=0309 | X=0113.810-0336.980 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0309 | X=0113.810-0399.070 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0309 | X=0113.810-0392.600 | Y=0253.750-0264.990 | Đường Đinh Quang Ân đoạn từ Quốc lộ 51 đến Hết Chùa Viên
P=0309 | X=0113.810-0351.850 | Y=0265.270-0276.510 | Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0309 | X=0096.050-0107.170 | Y=0273.150-0282.470 | 28
P=0309 | X=0445.850-0462.490 | Y=0273.150-0282.470 | 460
P=0309 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 310
P=0309 | X=0113.810-0391.240 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0309 | X=0113.810-0340.100 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0309 | X=0113.810-0201.730 | Y=0318.340-0329.580 | Đường Đinh Quang
P=0309 | X=0295.800-0379.880 | Y=0318.340-0329.580 | Đường Võ Nguyên
P=0309 | X=0096.050-0107.170 | Y=0325.980-0335.300 | 29
P=0309 | X=0205.030-0283.110 | Y=0325.980-0335.300 | Chùa Viên Thông
P=0309 | X=0437.690-0462.740 | Y=0325.980-0335.300 | 1.000
P=0309 | X=0505.390-0522.030 | Y=0325.980-0335.300 | 630
P=0309 | X=0113.810-0126.130 | Y=0331.740-0341.060 | Ân
P=0309 | X=0295.800-0317.230 | Y=0331.740-0341.060 | Giáp
P=0309 | X=0113.810-0385.630 | Y=0347.860-0359.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh
P=0309 | X=0113.810-0382.770 | Y=0359.380-0370.620 | Quang Ân đoạn từ Chùa Viên Thông đến Đường Võ Nguyên
P=0309 | X=0113.810-0344.650 | Y=0370.920-0382.160 | Giáp có hiện trạng là đường nhựa, bê tông xi măng:
P=0309 | X=0096.050-0107.170 | Y=0378.800-0388.120 | 30
P=0309 | X=0445.850-0462.490 | Y=0378.800-0388.120 | 660
P=0309 | X=0505.390-0522.030 | Y=0378.800-0388.120 | 440
P=0309 | X=0113.810-0336.720 | Y=0388.200-0399.440 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0309 | X=0113.810-0391.000 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0309 | X=0113.810-0385.630 | Y=0423.720-0434.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh
P=0309 | X=0113.810-0382.770 | Y=0435.240-0446.480 | Quang Ân đoạn từ Chùa Viên Thông đến Đường Võ Nguyên
P=0309 | X=0113.810-0344.650 | Y=0446.760-0458.000 | Giáp có hiện trạng là đường nhựa, bê tông xi măng:
