TABLE=001 | AREA=Phường Biên Hòa | SECTION=agricultural | SEGMENTS=1
P=0008 | X=0109.490-0332.400 | Y=0300.340-0311.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0008 | X=0109.490-0386.680 | Y=0317.860-0329.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0008 | X=0109.490-0429.100 | Y=0335.860-0347.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0008 | X=0109.490-0398.370 | Y=0347.380-0358.620 | Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Tri Phương đến Công an
P=0008 | X=0109.490-0417.630 | Y=0358.900-0370.140 | phường Bửu Hòa (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0008 | X=0093.860-0332.660 | Y=0376.200-0390.520 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0008 | X=0456.650-0473.290 | Y=0381.200-0390.520 | 860
P=0008 | X=0505.390-0522.030 | Y=0381.200-0390.520 | 570
P=0008 | X=0109.490-0415.910 | Y=0393.720-0404.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0008 | X=0109.490-0143.010 | Y=0405.240-0416.480 | ≤600m.
P=0008 | X=0109.490-0332.660 | Y=0422.760-0434.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0008 | X=0109.490-0429.100 | Y=0440.760-0452.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0008 | X=0109.490-0398.370 | Y=0452.300-0463.540 | Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Tri Phương đến Công an
P=0008 | X=0109.490-0417.630 | Y=0463.820-0475.060 | phường Bửu Hòa (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0008 | X=0093.860-0104.980 | Y=0471.700-0481.020 | 14
P=0008 | X=0456.650-0473.290 | Y=0471.700-0481.020 | 670
P=0008 | X=0505.390-0522.030 | Y=0471.700-0481.020 | 450
P=0008 | X=0109.490-0386.920 | Y=0481.340-0492.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0008 | X=0109.490-0335.780 | Y=0498.860-0510.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0008 | X=0216.310-0314.360 | Y=0516.860-0528.100 | Công an phường Bửu
P=0008 | X=0093.860-0210.390 | Y=0522.620-0533.860 | 15 Đường Bùi Hữu Nghĩa
P=0008 | X=0323.160-0428.890 | Y=0522.620-0533.860 | Đường Nguyễn Thị Tồn
P=0008 | X=0448.490-0473.540 | Y=0524.500-0533.820 | 1.500
P=0008 | X=0505.390-0522.030 | Y=0524.500-0533.820 | 970
P=0008 | X=0216.310-0254.710 | Y=0528.380-0539.620 | Hòa (cũ)
P=0008 | X=0109.490-0426.930 | Y=0546.410-0557.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0008 | X=0109.490-0427.180 | Y=0557.930-0569.170 | đoạn từ Công an phường Bửu Hòa (cũ) đến Đường Nguyễn Thị Tồn có
P=0008 | X=0109.490-0303.100 | Y=0569.450-0580.690 | hiện trạng là đường nhựa, bê tông xi măng:
P=0008 | X=0093.860-0104.980 | Y=0577.330-0586.650 | 16
P=0008 | X=0448.490-0473.540 | Y=0577.330-0586.650 | 1.030
P=0008 | X=0505.390-0522.030 | Y=0577.330-0586.650 | 680
P=0008 | X=0109.490-0332.400 | Y=0586.970-0598.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0008 | X=0109.490-0386.700 | Y=0604.250-0615.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0008 | X=0109.490-0426.930 | Y=0622.270-0633.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0008 | X=0109.490-0427.180 | Y=0633.790-0645.030 | đoạn từ Công an phường Bửu Hòa (cũ) đến Đường Nguyễn Thị Tồn có
P=0008 | X=0109.490-0303.100 | Y=0645.310-0656.550 | hiện trạng là đường nhựa, bê tông xi măng:
P=0008 | X=0093.860-0104.980 | Y=0658.950-0668.270 | 17
P=0008 | X=0456.650-0473.290 | Y=0658.950-0668.270 | 860
P=0008 | X=0505.390-0522.030 | Y=0658.950-0668.270 | 570
P=0008 | X=0109.490-0332.660 | Y=0662.830-0674.070 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0008 | X=0109.490-0415.910 | Y=0680.350-0691.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0008 | X=0109.490-0143.010 | Y=0691.870-0703.110 | ≤600m.
P=0009 | X=0109.490-0332.660 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0009 | X=0109.490-0426.930 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0009 | X=0109.490-0427.180 | Y=0108.260-0119.500 | đoạn từ Công an phường Bửu Hòa (cũ) đến Đường Nguyễn Thị Tồn có
P=0009 | X=0109.490-0303.100 | Y=0119.810-0131.050 | hiện trạng là đường nhựa, bê tông xi măng:
P=0009 | X=0093.860-0104.980 | Y=0127.690-0137.010 | 18
P=0009 | X=0456.650-0473.290 | Y=0127.690-0137.010 | 670
P=0009 | X=0505.390-0522.030 | Y=0127.690-0137.010 | 450
P=0009 | X=0109.490-0386.920 | Y=0137.330-0148.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0009 | X=0109.490-0333.130 | Y=0154.850-0166.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0009 | X=0109.490-0429.100 | Y=0172.850-0184.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0009 | X=0109.490-0408.710 | Y=0184.370-0195.610 | Bùi Hữu Nghĩa đoạn từ Công an phường Bửu Hòa (cũ) đến Đường
P=0009 | X=0109.490-0390.270 | Y=0195.650-0206.890 | Nguyễn Thị Tồn có hiện trạng là đường nhựa, bê tông xi măng:
P=0009 | X=0093.860-0104.980 | Y=0203.550-0212.870 | 19
P=0009 | X=0448.490-0473.540 | Y=0203.550-0212.870 | 1.030
P=0009 | X=0505.390-0522.030 | Y=0203.550-0212.870 | 680
P=0009 | X=0109.490-0332.400 | Y=0213.190-0224.430 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0009 | X=0109.490-0386.680 | Y=0230.710-0241.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0009 | X=0109.490-0429.100 | Y=0248.710-0259.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0009 | X=0109.490-0408.710 | Y=0260.230-0271.470 | Bùi Hữu Nghĩa đoạn từ Công an phường Bửu Hòa (cũ) đến Đường
P=0009 | X=0109.490-0390.270 | Y=0271.750-0282.990 | Nguyễn Thị Tồn có hiện trạng là đường nhựa, bê tông xi măng:
P=0009 | X=0093.860-0332.660 | Y=0289.300-0303.620 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0009 | X=0456.650-0473.290 | Y=0294.300-0303.620 | 860
P=0009 | X=0505.390-0522.030 | Y=0294.300-0303.620 | 570
P=0009 | X=0109.490-0415.910 | Y=0306.820-0318.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0009 | X=0109.490-0143.010 | Y=0318.340-0329.580 | ≤600m.
P=0009 | X=0109.490-0332.660 | Y=0335.860-0347.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0009 | X=0109.490-0429.100 | Y=0353.860-0365.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0009 | X=0109.490-0408.710 | Y=0365.400-0376.640 | Bùi Hữu Nghĩa đoạn từ Công an phường Bửu Hòa (cũ) đến Đường
P=0009 | X=0109.490-0390.270 | Y=0376.920-0388.160 | Nguyễn Thị Tồn có hiện trạng là đường nhựa, bê tông xi măng:
P=0009 | X=0093.860-0104.980 | Y=0384.800-0394.120 | 21
P=0009 | X=0456.650-0473.290 | Y=0384.800-0394.120 | 670
P=0009 | X=0505.390-0522.030 | Y=0384.800-0394.120 | 450
P=0009 | X=0109.490-0386.920 | Y=0394.200-0405.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0009 | X=0109.490-0335.780 | Y=0411.720-0422.960 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0009 | X=0093.860-0427.300 | Y=0429.720-0440.960 | 22 Đường Bùi Hữu Nghĩa Đường Nguyễn Thị Tồn Đường Huỳnh Mẫn Đạt
P=0009 | X=0448.490-0473.540 | Y=0431.600-0440.920 | 1.430
P=0009 | X=0505.390-0522.030 | Y=0431.600-0440.920 | 900
P=0009 | X=0109.490-0426.930 | Y=0447.720-0458.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0009 | X=0109.490-0413.740 | Y=0459.260-0470.500 | đoạn từ Đường Nguyễn Thị Tồn đến Đường Huỳnh Mẫn Đạt có hiện
P=0009 | X=0109.490-0281.270 | Y=0470.780-0482.020 | trạng là đường nhựa, bê tông xi măng:
P=0009 | X=0093.860-0104.980 | Y=0478.660-0487.980 | 23
P=0009 | X=0456.650-0473.290 | Y=0478.660-0487.980 | 980
P=0009 | X=0505.390-0522.030 | Y=0478.660-0487.980 | 650
P=0009 | X=0109.490-0332.400 | Y=0488.300-0499.540 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0009 | X=0109.490-0386.680 | Y=0505.820-0517.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0009 | X=0109.490-0426.930 | Y=0523.820-0535.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0009 | X=0109.490-0413.740 | Y=0535.370-0546.610 | đoạn từ Đường Nguyễn Thị Tồn đến Đường Huỳnh Mẫn Đạt có hiện
P=0009 | X=0109.490-0281.270 | Y=0546.890-0558.130 | trạng là đường nhựa, bê tông xi măng:
P=0009 | X=0093.860-0332.660 | Y=0564.410-0578.490 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0009 | X=0456.650-0473.290 | Y=0569.170-0578.490 | 810
P=0009 | X=0505.390-0522.030 | Y=0569.170-0578.490 | 550
P=0009 | X=0109.490-0415.910 | Y=0581.930-0593.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0009 | X=0109.490-0143.010 | Y=0593.450-0604.690 | ≤600m.
P=0009 | X=0109.490-0332.660 | Y=0610.970-0622.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0009 | X=0109.490-0426.930 | Y=0628.990-0640.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0009 | X=0109.490-0413.740 | Y=0640.270-0651.510 | đoạn từ Đường Nguyễn Thị Tồn đến Đường Huỳnh Mẫn Đạt có hiện
P=0009 | X=0109.490-0281.270 | Y=0651.790-0663.030 | trạng là đường nhựa, bê tông xi măng:
P=0009 | X=0093.860-0104.980 | Y=0659.670-0668.990 | 25
P=0009 | X=0456.650-0473.290 | Y=0659.670-0668.990 | 630
P=0009 | X=0505.390-0522.030 | Y=0659.670-0668.990 | 430
P=0009 | X=0109.490-0386.930 | Y=0669.310-0680.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0009 | X=0109.490-0333.130 | Y=0686.830-0698.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0009 | X=0093.860-0429.100 | Y=0704.850-0716.090 | 26 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0009 | X=0456.650-0473.290 | Y=0706.740-0716.060 | 980
P=0009 | X=0505.390-0522.030 | Y=0706.740-0716.060 | 650
P=0010 | X=0109.490-0429.370 | Y=0072.740-0083.980 | Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Thị Tồn đến Đường Huỳnh Mẫn
P=0010 | X=0109.490-0334.810 | Y=0084.260-0095.500 | Đạt có hiện trạng là đường nhựa, bê tông xi măng:
P=0010 | X=0109.490-0332.400 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0010 | X=0109.490-0386.680 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0010 | X=0109.490-0429.100 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0010 | X=0109.490-0429.370 | Y=0148.850-0160.090 | Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Thị Tồn đến Đường Huỳnh Mẫn
P=0010 | X=0109.490-0334.810 | Y=0160.370-0171.610 | Đạt có hiện trạng là đường nhựa, bê tông xi măng:
P=0010 | X=0093.860-0332.660 | Y=0177.650-0191.970 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0010 | X=0456.650-0473.290 | Y=0182.650-0191.970 | 810
P=0010 | X=0505.390-0522.030 | Y=0182.650-0191.970 | 550
P=0010 | X=0109.490-0415.910 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0010 | X=0109.490-0143.010 | Y=0206.710-0217.950 | ≤600m.
P=0010 | X=0109.490-0332.660 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0010 | X=0109.490-0429.100 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0010 | X=0109.490-0429.370 | Y=0253.750-0264.990 | Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Thị Tồn đến Đường Huỳnh Mẫn
P=0010 | X=0109.490-0334.810 | Y=0265.270-0276.510 | Đạt có hiện trạng là đường nhựa, bê tông xi măng:
P=0010 | X=0093.860-0104.980 | Y=0273.150-0282.470 | 28
P=0010 | X=0456.650-0473.290 | Y=0273.150-0282.470 | 630
P=0010 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 430
P=0010 | X=0109.490-0386.920 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0010 | X=0109.490-0335.780 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0010 | X=0093.860-0384.940 | Y=0318.340-0329.580 | 29 Đường Bùi Hữu Nghĩa Đường Huỳnh Mẫn Đạt Cầu Rạch Sỏi
P=0010 | X=0448.490-0473.540 | Y=0320.220-0329.540 | 1.430
P=0010 | X=0505.390-0522.030 | Y=0320.220-0329.540 | 900
P=0010 | X=0109.490-0426.930 | Y=0336.340-0347.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0010 | X=0109.490-0406.060 | Y=0347.860-0359.100 | đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu Rạch Sỏi có hiện trạng là
P=0010 | X=0109.490-0245.260 | Y=0359.380-0370.620 | đường nhựa, bê tông xi măng:
P=0010 | X=0093.860-0104.980 | Y=0367.280-0376.600 | 30
P=0010 | X=0456.650-0473.290 | Y=0367.280-0376.600 | 980
P=0010 | X=0505.390-0522.030 | Y=0367.280-0376.600 | 650
P=0010 | X=0109.490-0332.400 | Y=0376.920-0388.160 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0010 | X=0109.490-0386.680 | Y=0394.200-0405.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0010 | X=0109.490-0426.930 | Y=0412.200-0423.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0010 | X=0109.490-0406.060 | Y=0423.720-0434.960 | đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu Rạch Sỏi có hiện trạng là
