TABLE=051 | AREA=Xã Phú Lâm | SECTION=agricultural | SEGMENTS=1
P=1713 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 100
P=1713 | X=0120.530-0351.610 | Y=0159.650-0170.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1713 | X=0120.530-0361.640 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1713 | X=0120.530-0154.050 | Y=0188.690-0199.930 | ≤500m.
P=1713 | X=0120.530-0389.500 | Y=0206.470-0217.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1713 | X=0120.530-0394.540 | Y=0217.990-0229.230 | Xuân - Thanh Sơn đoạn từ Giáp ranh xã Tân Phú đến Đường
P=1713 | X=0120.530-0388.510 | Y=0229.510-0240.750 | Phú Lâm - Thanh Sơn có hiện trạng là đường nhựa, bê tông
P=1713 | X=0120.530-0158.360 | Y=0241.030-0252.270 | xi măng:
P=1713 | X=0102.290-0107.890 | Y=0257.550-0266.870 | 3
P=1713 | X=0448.010-0459.130 | Y=0257.550-0266.870 | 90
P=1713 | X=0511.150-0522.270 | Y=0257.550-0266.870 | 80
P=1713 | X=0120.530-0352.080 | Y=0258.550-0269.790 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1713 | X=0120.530-0373.840 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1713 | X=0120.530-0215.500 | Y=0287.620-0298.860 | >500m đến ≤1.000m.
P=1713 | X=0120.530-0343.700 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1713 | X=0120.530-0389.500 | Y=0322.900-0334.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1713 | X=0120.530-0394.540 | Y=0334.420-0345.660 | Xuân - Thanh Sơn đoạn từ Giáp ranh xã Tân Phú đến Đường
P=1713 | X=0120.530-0388.510 | Y=0345.700-0356.940 | Phú Lâm - Thanh Sơn có hiện trạng là đường nhựa, bê tông
P=1713 | X=0120.530-0158.360 | Y=0357.220-0368.460 | xi măng:
P=1713 | X=0102.290-0107.890 | Y=0365.100-0374.420 | 4
P=1713 | X=0448.010-0459.130 | Y=0365.100-0374.420 | 55
P=1713 | X=0511.150-0522.270 | Y=0365.100-0374.420 | 50
P=1713 | X=0120.530-0361.640 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1713 | X=0120.530-0162.670 | Y=0388.160-0397.480 | >1.000m.
P=1713 | X=0120.530-0344.170 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1713 | X=0120.530-0394.040 | Y=0421.560-0432.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1713 | X=0120.530-0386.840 | Y=0433.080-0444.320 | ra Đường Phú Xuân - Thanh Sơn đoạn từ Giáp ranh xã Tân
P=1713 | X=0120.530-0365.250 | Y=0444.600-0455.840 | Phú đến Đường Phú Lâm - Thanh Sơn có hiện trạng là
P=1713 | X=0120.530-0256.300 | Y=0456.140-0467.380 | đường nhựa, bê tông xi măng:
P=1713 | X=0102.290-0107.890 | Y=0464.020-0473.340 | 5
P=1713 | X=0442.250-0458.890 | Y=0464.020-0473.340 | 130
P=1713 | X=0505.390-0522.030 | Y=0464.020-0473.340 | 100
P=1713 | X=0120.530-0351.610 | Y=0473.660-0484.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1713 | X=0120.530-0361.640 | Y=0491.180-0502.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1713 | X=0120.530-0154.050 | Y=0502.460-0513.700 | ≤500m.
P=1713 | X=0120.530-0394.040 | Y=0520.220-0531.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1713 | X=0120.530-0386.850 | Y=0531.740-0542.980 | ra Đường Phú Xuân - Thanh Sơn đoạn từ Giáp ranh xã Tân
P=1713 | X=0120.530-0365.240 | Y=0543.290-0554.530 | Phú đến Đường Phú Lâm - Thanh Sơn có hiện trạng là
P=1713 | X=0120.530-0256.300 | Y=0554.810-0566.050 | đường nhựa, bê tông xi măng:
P=1713 | X=0102.290-0107.890 | Y=0571.570-0580.890 | 6
P=1713 | X=0448.010-0459.130 | Y=0571.570-0580.890 | 90
P=1713 | X=0511.150-0522.270 | Y=0571.570-0580.890 | 80
P=1713 | X=0120.530-0352.080 | Y=0572.330-0583.570 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1713 | X=0120.530-0373.840 | Y=0589.850-0601.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1713 | X=0120.530-0215.500 | Y=0601.370-0612.610 | >500m đến ≤1.000m.
P=1713 | X=0120.530-0343.720 | Y=0618.910-0630.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1713 | X=0120.530-0394.040 | Y=0636.670-0647.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1713 | X=0120.530-0386.840 | Y=0648.190-0659.430 | ra Đường Phú Xuân - Thanh Sơn đoạn từ Giáp ranh xã Tân
P=1713 | X=0120.530-0365.240 | Y=0659.710-0670.950 | Phú đến Đường Phú Lâm - Thanh Sơn có hiện trạng là
P=1713 | X=0102.290-0107.890 | Y=0670.230-0679.550 | 7
P=1713 | X=0448.010-0459.130 | Y=0670.230-0679.550 | 55
P=1713 | X=0511.150-0522.270 | Y=0670.230-0679.550 | 50
P=1713 | X=0120.530-0256.300 | Y=0671.230-0682.470 | đường nhựa, bê tông xi măng:
P=1713 | X=0120.530-0361.660 | Y=0688.510-0699.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1713 | X=0120.530-0162.670 | Y=0701.940-0711.260 | >1.000m.
P=1714 | X=0120.530-0344.170 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1714 | X=0120.530-0189.320 | Y=0096.260-0107.500 | Đường nhà thờ
P=1714 | X=0297.240-0378.350 | Y=0098.140-0107.460 | Giáp ranh xã Nam
P=1714 | X=0102.290-0107.890 | Y=0103.900-0113.220 | 8
P=1714 | X=0204.550-0253.140 | Y=0103.900-0113.220 | Quốc lộ 20
P=1714 | X=0442.250-0458.890 | Y=0103.900-0113.220 | 270
P=1714 | X=0505.390-0522.030 | Y=0103.900-0113.220 | 220
P=1714 | X=0120.530-0157.330 | Y=0109.660-0118.980 | Kim Lân
P=1714 | X=0297.240-0335.220 | Y=0109.660-0118.980 | Cát Tiên
P=1714 | X=0120.530-0388.310 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà
P=1714 | X=0120.530-0385.190 | Y=0137.090-0148.330 | thờ Kim Lân đoạn từ Quốc lộ 20 đến Giáp ranh xã Nam Cát
P=1714 | X=0120.530-0349.690 | Y=0148.610-0159.850 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1714 | X=0102.290-0107.890 | Y=0162.250-0171.570 | 9
P=1714 | X=0442.250-0458.890 | Y=0162.250-0171.570 | 130
P=1714 | X=0505.390-0522.030 | Y=0162.250-0171.570 | 100
P=1714 | X=0120.530-0351.610 | Y=0166.130-0177.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1714 | X=0120.530-0361.640 | Y=0183.410-0194.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1714 | X=0120.530-0154.050 | Y=0194.930-0206.170 | ≤500m.
P=1714 | X=0120.530-0388.310 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà
P=1714 | X=0120.530-0385.190 | Y=0224.230-0235.470 | thờ Kim Lân đoạn từ Quốc lộ 20 đến Giáp ranh xã Nam Cát
P=1714 | X=0120.530-0349.690 | Y=0235.750-0246.990 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1714 | X=0099.650-0352.080 | Y=0253.270-0267.590 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1714 | X=0448.010-0459.130 | Y=0258.270-0267.590 | 90
P=1714 | X=0511.150-0522.270 | Y=0258.270-0267.590 | 80
P=1714 | X=0120.530-0373.840 | Y=0270.790-0282.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1714 | X=0120.530-0215.500 | Y=0282.340-0293.580 | >500m đến ≤1.000m.
P=1714 | X=0120.530-0343.700 | Y=0299.860-0311.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1714 | X=0120.530-0388.310 | Y=0317.620-0328.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà
P=1714 | X=0120.530-0385.190 | Y=0329.140-0340.380 | thờ Kim Lân đoạn từ Quốc lộ 20 đến Giáp ranh xã Nam Cát
P=1714 | X=0120.530-0349.690 | Y=0340.660-0351.900 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1714 | X=0099.650-0110.770 | Y=0354.300-0363.620 | 11
P=1714 | X=0448.010-0459.130 | Y=0354.300-0363.620 | 55
P=1714 | X=0511.150-0522.270 | Y=0354.300-0363.620 | 50
P=1714 | X=0120.530-0361.640 | Y=0357.940-0369.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1714 | X=0120.530-0162.670 | Y=0371.360-0380.680 | >1.000m.
P=1714 | X=0120.530-0344.170 | Y=0387.000-0398.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1714 | X=0120.530-0394.040 | Y=0404.760-0416.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1714 | X=0120.530-0395.010 | Y=0416.280-0427.520 | ra Đường nhà thờ Kim Lân đoạn từ Quốc lộ 20 đến Giáp ranh
P=1714 | X=0120.530-0374.590 | Y=0427.800-0439.040 | xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1714 | X=0120.530-0148.530 | Y=0439.320-0450.560 | măng:
P=1714 | X=0099.650-0110.770 | Y=0447.200-0456.520 | 12
P=1714 | X=0442.250-0458.890 | Y=0447.200-0456.520 | 130
P=1714 | X=0505.390-0522.030 | Y=0447.200-0456.520 | 100
P=1714 | X=0120.530-0351.610 | Y=0456.860-0468.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1714 | X=0120.530-0361.640 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1714 | X=0120.530-0154.050 | Y=0485.900-0497.140 | ≤500m.
P=1714 | X=0120.530-0394.040 | Y=0503.660-0514.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1714 | X=0120.530-0395.010 | Y=0515.180-0526.420 | ra Đường nhà thờ Kim Lân đoạn từ Quốc lộ 20 đến Giáp ranh
P=1714 | X=0120.530-0374.590 | Y=0526.460-0537.700 | xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1714 | X=0120.530-0148.530 | Y=0538.010-0549.250 | măng:
P=1714 | X=0099.650-0352.080 | Y=0554.770-0566.770 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1714 | X=0448.010-0459.130 | Y=0554.770-0564.090 | 90
P=1714 | X=0511.150-0522.270 | Y=0554.770-0564.090 | 80
P=1714 | X=0120.530-0373.840 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1714 | X=0120.530-0215.500 | Y=0584.570-0595.810 | >500m đến ≤1.000m.
P=1714 | X=0120.530-0343.700 | Y=0602.090-0613.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1714 | X=0120.530-0394.040 | Y=0619.870-0631.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1714 | X=0120.530-0395.010 | Y=0631.390-0642.630 | ra Đường nhà thờ Kim Lân đoạn từ Quốc lộ 20 đến Giáp ranh
P=1714 | X=0120.530-0374.590 | Y=0642.910-0654.150 | xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1714 | X=0120.530-0148.530 | Y=0654.430-0665.670 | măng:
P=1714 | X=0099.650-0110.770 | Y=0662.310-0671.630 | 14
P=1714 | X=0448.010-0459.130 | Y=0662.310-0671.630 | 55
P=1714 | X=0511.150-0522.270 | Y=0662.310-0671.630 | 50
P=1714 | X=0120.530-0361.640 | Y=0671.950-0683.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1714 | X=0120.530-0162.670 | Y=0685.350-0694.670 | >1.000m.
P=1714 | X=0120.530-0344.170 | Y=0700.770-0712.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1715 | X=0297.240-0384.930 | Y=0078.500-0089.740 | Ngã tư Cây Xoài xã
P=1715 | X=0204.550-0282.140 | Y=0080.380-0089.700 | Giáp ranh xã Tân
P=1715 | X=0099.650-0169.090 | Y=0086.140-0095.460 | 15 Quốc lộ 20
P=1715 | X=0442.250-0458.890 | Y=0086.140-0095.460 | 370
P=1715 | X=0505.390-0522.030 | Y=0086.140-0095.460 | 300
P=1715 | X=0204.550-0222.390 | Y=0091.900-0101.220 | Phú
P=1715 | X=0297.240-0337.310 | Y=0091.900-0101.220 | Phú Lâm
P=1715 | X=0120.530-0385.660 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1715 | X=0120.530-0385.810 | Y=0119.330-0130.570 | đoạn từ Giáp ranh xã Tân Phú đến Ngã tư Cây Xoài xã Phú
P=1715 | X=0120.530-0349.690 | Y=0130.850-0142.090 | Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1715 | X=0099.650-0110.770 | Y=0144.490-0153.810 | 16
P=1715 | X=0442.250-0458.890 | Y=0144.490-0153.810 | 160
P=1715 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 130
P=1715 | X=0120.530-0351.610 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1715 | X=0120.530-0361.640 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1715 | X=0120.530-0154.050 | Y=0177.170-0188.410 | ≤500m.
P=1715 | X=0120.530-0385.660 | Y=0194.930-0206.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1715 | X=0120.530-0385.810 | Y=0206.470-0217.710 | đoạn từ Giáp ranh xã Tân Phú đến Ngã tư Cây Xoài xã Phú
P=1715 | X=0120.530-0349.690 | Y=0217.990-0229.230 | Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1715 | X=0099.650-0352.100 | Y=0235.510-0249.830 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1715 | X=0442.250-0458.890 | Y=0240.510-0249.830 | 130
P=1715 | X=0505.390-0522.030 | Y=0240.510-0249.830 | 100
P=1715 | X=0120.530-0373.840 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1715 | X=0120.530-0215.500 | Y=0264.550-0275.790 | >500m đến ≤1.000m.
P=1715 | X=0120.530-0343.700 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1715 | X=0120.530-0385.660 | Y=0299.860-0311.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1715 | X=0120.530-0385.900 | Y=0311.380-0322.620 | đoạn từ Giáp ranh xã Tân Phú đến Ngã tư Cây Xoài xã Phú
P=1715 | X=0120.530-0349.690 | Y=0322.900-0334.140 | Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1715 | X=0099.650-0110.770 | Y=0336.540-0345.860 | 18
P=1715 | X=0448.010-0459.130 | Y=0336.540-0345.860 | 70
P=1715 | X=0511.150-0522.270 | Y=0336.540-0345.860 | 60
P=1715 | X=0120.530-0361.640 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1715 | X=0120.530-0162.670 | Y=0353.580-0362.900 | >1.000m.
P=1715 | X=0120.530-0344.170 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1715 | X=0120.530-0394.040 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1715 | X=0120.530-0392.020 | Y=0398.520-0409.760 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Tân Phú đến Ngã tư Cây
P=1715 | X=0120.530-0375.790 | Y=0410.040-0421.280 | Xoài xã Phú Lâm có hiện trạng là đường nhựa, bê tông xi
P=1715 | X=0120.530-0148.530 | Y=0421.560-0432.800 | măng:
P=1715 | X=0099.650-0110.770 | Y=0429.440-0438.760 | 19
P=1715 | X=0442.250-0458.890 | Y=0429.440-0438.760 | 160
P=1715 | X=0505.390-0522.030 | Y=0429.440-0438.760 | 130
P=1715 | X=0120.530-0351.610 | Y=0439.080-0450.320 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1715 | X=0120.530-0361.640 | Y=0456.620-0467.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1715 | X=0120.530-0154.050 | Y=0468.140-0479.380 | ≤500m.
P=1715 | X=0120.530-0394.040 | Y=0485.900-0497.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1715 | X=0120.530-0392.020 | Y=0497.420-0508.660 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Tân Phú đến Ngã tư Cây
P=1715 | X=0120.530-0375.790 | Y=0508.940-0520.180 | Xoài xã Phú Lâm có hiện trạng là đường nhựa, bê tông xi
P=1715 | X=0120.530-0148.530 | Y=0520.220-0531.460 | măng:
P=1715 | X=0099.650-0352.080 | Y=0537.010-0549.010 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1715 | X=0442.250-0458.890 | Y=0537.010-0546.330 | 130
P=1715 | X=0505.390-0522.030 | Y=0537.010-0546.330 | 100
P=1715 | X=0120.530-0373.840 | Y=0555.290-0566.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1715 | X=0120.530-0215.520 | Y=0566.810-0578.050 | >500m đến ≤1.000m.
P=1715 | X=0120.530-0343.700 | Y=0584.330-0595.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1715 | X=0120.530-0394.040 | Y=0602.090-0613.330 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1715 | X=0120.530-0392.020 | Y=0613.610-0624.850 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Tân Phú đến Ngã tư Cây
P=1715 | X=0120.530-0375.790 | Y=0625.150-0636.390 | Xoài xã Phú Lâm có hiện trạng là đường nhựa, bê tông xi
P=1715 | X=0120.530-0148.530 | Y=0636.670-0647.910 | măng:
P=1715 | X=0099.650-0110.770 | Y=0644.550-0653.870 | 21
P=1715 | X=0448.010-0459.130 | Y=0644.550-0653.870 | 70
P=1715 | X=0511.150-0522.270 | Y=0644.550-0653.870 | 60
P=1715 | X=0120.530-0361.640 | Y=0654.190-0665.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1715 | X=0120.530-0162.670 | Y=0667.590-0676.910 | >1.000m.
P=1715 | X=0120.530-0344.170 | Y=0683.230-0694.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1715 | X=0204.550-0387.570 | Y=0700.770-0712.010 | Ngã tư Cây Xoài xã Ngã tư Cây Dừa (xã
P=1715 | X=0099.650-0169.090 | Y=0702.660-0711.980 | 22 Quốc lộ 20
P=1715 | X=0442.250-0458.890 | Y=0702.660-0711.980 | 370
P=1715 | X=0505.390-0522.030 | Y=0702.660-0711.980 | 300
P=1716 | X=0204.550-0244.620 | Y=0074.380-0083.700 | Phú Lâm
P=1716 | X=0297.240-0340.900 | Y=0074.380-0083.700 | Phú Lâm)
P=1716 | X=0120.530-0385.660 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1716 | X=0120.530-0383.740 | Y=0101.780-0113.020 | đoạn từ Ngã tư Cây Xoài xã Phú Lâm đến Ngã tư Cây Dừa
P=1716 | X=0120.530-0390.270 | Y=0113.300-0124.540 | (xã Phú Lâm) có hiện trạng là đường nhựa, bê tông xi măng:
P=1716 | X=0099.650-0110.770 | Y=0126.970-0136.290 | 23
P=1716 | X=0442.250-0458.890 | Y=0126.970-0136.290 | 160
P=1716 | X=0505.390-0522.030 | Y=0126.970-0136.290 | 130
P=1716 | X=0120.530-0351.610 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1716 | X=0120.530-0361.640 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1716 | X=0120.530-0154.050 | Y=0159.650-0170.890 | ≤500m.
P=1716 | X=0120.530-0385.660 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1716 | X=0120.530-0383.740 | Y=0188.930-0200.170 | đoạn từ Ngã tư Cây Xoài xã Phú Lâm đến Ngã tư Cây Dừa
P=1716 | X=0120.530-0390.270 | Y=0200.470-0211.710 | (xã Phú Lâm) có hiện trạng là đường nhựa, bê tông xi măng:
P=1716 | X=0099.650-0352.080 | Y=0217.990-0232.310 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1716 | X=0442.250-0458.890 | Y=0222.990-0232.310 | 130
P=1716 | X=0505.390-0522.030 | Y=0222.990-0232.310 | 100
P=1716 | X=0120.530-0373.840 | Y=0235.510-0246.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1716 | X=0120.530-0215.500 | Y=0247.030-0258.270 | >500m đến ≤1.000m.
P=1716 | X=0120.530-0343.700 | Y=0264.550-0275.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1716 | X=0120.530-0385.660 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1716 | X=0120.530-0383.740 | Y=0293.860-0305.100 | đoạn từ Ngã tư Cây Xoài xã Phú Lâm đến Ngã tư Cây Dừa
P=1716 | X=0120.530-0390.270 | Y=0305.380-0316.620 | (xã Phú Lâm) có hiện trạng là đường nhựa, bê tông xi măng:
P=1716 | X=0099.650-0110.770 | Y=0319.020-0328.340 | 25
P=1716 | X=0448.010-0459.130 | Y=0319.020-0328.340 | 70
P=1716 | X=0511.150-0522.270 | Y=0319.020-0328.340 | 60
P=1716 | X=0120.530-0361.640 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1716 | X=0120.530-0162.670 | Y=0336.300-0345.620 | >1.000m.
P=1716 | X=0120.530-0344.170 | Y=0351.700-0362.940 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1716 | X=0120.530-0394.040 | Y=0369.480-0380.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1716 | X=0120.530-0391.430 | Y=0381.000-0392.240 | ra Quốc lộ 20 đoạn từ Ngã tư Cây Xoài xã Phú Lâm đến Ngã
P=1716 | X=0120.530-0382.540 | Y=0392.520-0403.760 | tư Cây Dừa (xã Phú Lâm) có hiện trạng là đường nhựa, bê
P=1716 | X=0120.530-0180.690 | Y=0404.040-0415.280 | tông xi măng:
P=1716 | X=0099.650-0110.770 | Y=0411.920-0421.240 | 26
P=1716 | X=0442.250-0458.890 | Y=0411.920-0421.240 | 160
P=1716 | X=0505.390-0522.030 | Y=0411.920-0421.240 | 130
P=1716 | X=0120.530-0351.610 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1716 | X=0120.530-0361.640 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1716 | X=0120.530-0154.050 | Y=0450.620-0461.860 | ≤500m.
P=1716 | X=0120.530-0394.040 | Y=0468.380-0479.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1716 | X=0120.530-0391.430 | Y=0479.900-0491.140 | ra Quốc lộ 20 đoạn từ Ngã tư Cây Xoài xã Phú Lâm đến Ngã
P=1716 | X=0120.530-0382.540 | Y=0491.420-0502.660 | tư Cây Dừa (xã Phú Lâm) có hiện trạng là đường nhựa, bê
P=1716 | X=0120.530-0180.690 | Y=0502.940-0514.180 | tông xi măng:
P=1716 | X=0099.650-0352.080 | Y=0519.460-0531.460 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1716 | X=0442.250-0458.890 | Y=0519.460-0528.780 | 130
P=1716 | X=0505.390-0522.030 | Y=0519.460-0528.780 | 100
P=1716 | X=0120.530-0373.840 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1716 | X=0120.530-0215.500 | Y=0549.290-0560.530 | >500m đến ≤1.000m.
P=1716 | X=0120.530-0343.700 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1716 | X=0120.530-0394.040 | Y=0584.570-0595.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1716 | X=0120.530-0391.430 | Y=0596.090-0607.330 | ra Quốc lộ 20 đoạn từ Ngã tư Cây Xoài xã Phú Lâm đến Ngã
P=1716 | X=0120.530-0382.540 | Y=0607.610-0618.850 | tư Cây Dừa (xã Phú Lâm) có hiện trạng là đường nhựa, bê
P=1716 | X=0120.530-0180.690 | Y=0619.150-0630.390 | tông xi măng:
