TABLE=010 | AREA=Phường Tam Phước | SECTION=agricultural | SEGMENTS=1
P=0325 | X=0113.810-0391.000 | Y=0295.300-0306.540 | - Cố bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0325 | X=0113.810-0396.670 | Y=0313.300-0324.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương
P=0325 | X=0113.810-0405.740 | Y=0324.820-0336.060 | Diên Nghệ đoạn từ Quốc lộ 51 đến Hết ranh Phường Tam Phước
P=0325 | X=0113.810-0320.660 | Y=0336.340-0347.580 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0325 | X=0098.930-0336.980 | Y=0353.860-0367.940 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0325 | X=0456.170-0472.810 | Y=0358.620-0367.940 | 560
P=0325 | X=0505.390-0522.030 | Y=0358.620-0367.940 | 380
P=0325 | X=0113.810-0400.700 | Y=0371.400-0382.640 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0325 | X=0113.810-0166.770 | Y=0382.920-0394.160 | đến ≤600m.
P=0325 | X=0113.810-0336.980 | Y=0400.200-0411.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0325 | X=0113.810-0396.670 | Y=0418.200-0429.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương
P=0325 | X=0113.810-0405.740 | Y=0429.720-0440.960 | Diên Nghệ đoạn từ Quốc lộ 51 đến Hết ranh Phường Tam Phước
P=0325 | X=0113.810-0320.660 | Y=0441.240-0452.480 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0325 | X=0098.930-0104.530 | Y=0449.120-0458.440 | 4
P=0325 | X=0456.170-0472.810 | Y=0449.120-0458.440 | 460
P=0325 | X=0505.390-0522.030 | Y=0449.120-0458.440 | 310
P=0325 | X=0113.810-0391.240 | Y=0458.780-0470.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0325 | X=0113.810-0337.470 | Y=0476.300-0487.540 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0325 | X=0113.810-0399.070 | Y=0494.300-0505.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0325 | X=0113.810-0418.540 | Y=0505.820-0517.060 | Đường Dương Diên Nghệ đoạn từ Quốc lộ 51 đến Hết ranh Phường
P=0325 | X=0113.810-0376.600 | Y=0517.340-0528.580 | Tam Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0325 | X=0098.930-0104.530 | Y=0525.220-0534.540 | 5
P=0325 | X=0456.170-0472.810 | Y=0525.220-0534.540 | 660
P=0325 | X=0505.390-0522.030 | Y=0525.220-0534.540 | 440
P=0325 | X=0113.810-0336.720 | Y=0534.890-0546.130 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0325 | X=0113.810-0391.000 | Y=0552.410-0563.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0325 | X=0113.810-0399.070 | Y=0570.410-0581.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0325 | X=0113.810-0418.540 | Y=0581.930-0593.170 | Đường Dương Diên Nghệ đoạn từ Quốc lộ 51 đến Hết ranh Phường
P=0325 | X=0113.810-0376.600 | Y=0593.450-0604.690 | Tam Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0325 | X=0098.930-0336.980 | Y=0610.970-0625.050 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0325 | X=0456.170-0472.810 | Y=0615.730-0625.050 | 560
P=0325 | X=0505.390-0522.030 | Y=0615.730-0625.050 | 380
P=0325 | X=0113.810-0400.700 | Y=0628.270-0639.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0325 | X=0113.810-0166.770 | Y=0639.790-0651.030 | đến ≤600m.
P=0325 | X=0113.810-0336.980 | Y=0657.310-0668.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0325 | X=0113.810-0399.070 | Y=0675.310-0686.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0325 | X=0098.930-0418.540 | Y=0686.830-0698.070 | 7 Đường Dương Diên Nghệ đoạn từ Quốc lộ 51 đến Hết ranh Phường
P=0325 | X=0456.170-0472.810 | Y=0688.710-0698.030 | 460
P=0325 | X=0505.390-0522.030 | Y=0688.710-0698.030 | 310
P=0325 | X=0113.810-0376.600 | Y=0698.350-0709.590 | Tam Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0326 | X=0113.810-0391.240 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0326 | X=0113.810-0340.100 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0326 | X=0313.560-0405.340 | Y=0114.290-0125.530 | Hết ranh thửa đất số
P=0326 | X=0220.390-0302.120 | Y=0120.050-0131.290 | Ranh giới phường
P=0326 | X=0098.930-0164.530 | Y=0125.810-0137.050 | 8 Hương lộ 2
P=0326 | X=0313.560-0409.180 | Y=0125.810-0137.050 | 247, tờ BĐĐC số 105
P=0326 | X=0448.010-0473.060 | Y=0127.690-0137.010 | 1.000
P=0326 | X=0505.390-0522.030 | Y=0127.690-0137.010 | 630
P=0326 | X=0220.390-0273.940 | Y=0131.570-0142.810 | Tam Phước
P=0326 | X=0313.560-0411.980 | Y=0137.330-0148.570 | (phường Tam Phước)
P=0326 | X=0113.810-0418.490 | Y=0155.330-0166.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 2 đoạn từ
P=0326 | X=0113.810-0399.880 | Y=0166.850-0178.090 | Ranh giới phường Tam Phước đến Hết ranh thửa đất số 247, tờ
P=0326 | X=0113.810-0409.030 | Y=0178.370-0189.610 | BĐĐC số 105 (phường Tam Phước) có hiện trạng là đường nhựa,
P=0326 | X=0098.930-0187.920 | Y=0189.650-0201.330 | 9 bê tông xi măng:
P=0326 | X=0456.170-0472.810 | Y=0192.010-0201.330 | 660
P=0326 | X=0505.390-0522.030 | Y=0192.010-0201.330 | 440
P=0326 | X=0113.810-0336.720 | Y=0207.190-0218.430 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0326 | X=0113.810-0391.000 | Y=0224.710-0235.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0326 | X=0113.810-0418.490 | Y=0242.710-0253.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 2 đoạn từ
P=0326 | X=0113.810-0399.880 | Y=0254.230-0265.470 | Ranh giới phường Tam Phước đến Hết ranh thửa đất số 247, tờ
P=0326 | X=0113.810-0409.030 | Y=0265.750-0276.990 | BĐĐC số 105 (phường Tam Phước) có hiện trạng là đường nhựa,
P=0326 | X=0113.810-0187.890 | Y=0277.270-0288.510 | bê tông xi măng:
P=0326 | X=0096.050-0336.980 | Y=0293.820-0306.060 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0326 | X=0456.170-0472.810 | Y=0293.820-0303.140 | 560
P=0326 | X=0505.390-0522.030 | Y=0293.820-0303.140 | 380
P=0326 | X=0113.810-0400.700 | Y=0312.340-0323.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0326 | X=0113.810-0166.770 | Y=0323.860-0335.100 | đến ≤600m.
P=0326 | X=0113.810-0336.980 | Y=0341.380-0352.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0326 | X=0113.810-0418.490 | Y=0359.380-0370.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 2 đoạn từ
P=0326 | X=0113.810-0399.880 | Y=0370.920-0382.160 | Ranh giới phường Tam Phước đến Hết ranh thửa đất số 247, tờ
P=0326 | X=0113.810-0409.030 | Y=0382.200-0393.440 | BĐĐC số 105 (phường Tam Phước) có hiện trạng là đường nhựa,
P=0326 | X=0096.050-0187.890 | Y=0393.720-0405.160 | 11 bê tông xi măng:
P=0326 | X=0456.170-0472.810 | Y=0395.840-0405.160 | 460
P=0326 | X=0505.390-0522.030 | Y=0395.840-0405.160 | 310
P=0326 | X=0113.810-0391.240 | Y=0411.240-0422.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0326 | X=0113.810-0337.450 | Y=0428.760-0440.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0326 | X=0113.330-0398.590 | Y=0446.760-0458.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0326 | X=0113.330-0402.220 | Y=0458.300-0469.540 | Hương lộ 2 đoạn từ Ranh giới phường Tam Phước đến Hết ranh
P=0326 | X=0113.330-0398.390 | Y=0469.820-0481.060 | thửa đất số 247, tờ BĐĐC số 105 (phường Tam Phước) có hiện
P=0326 | X=0095.810-0285.110 | Y=0481.340-0492.780 | 12 trạng là đường nhựa, bê tông xi măng:
P=0326 | X=0456.170-0472.810 | Y=0483.460-0492.780 | 660
P=0326 | X=0505.390-0522.030 | Y=0483.460-0492.780 | 440
P=0326 | X=0113.330-0336.240 | Y=0498.860-0510.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0326 | X=0113.330-0390.520 | Y=0516.380-0527.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0326 | X=0113.330-0398.590 | Y=0534.410-0545.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0326 | X=0113.330-0402.220 | Y=0545.930-0557.170 | Hương lộ 2 đoạn từ Ranh giới phường Tam Phước đến Hết ranh
P=0326 | X=0113.330-0398.390 | Y=0557.450-0568.690 | thửa đất số 247, tờ BĐĐC số 105 (phường Tam Phước) có hiện
P=0326 | X=0113.330-0285.110 | Y=0568.970-0580.210 | trạng là đường nhựa, bê tông xi măng:
P=0326 | X=0095.810-0336.500 | Y=0585.490-0597.490 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0326 | X=0456.170-0472.810 | Y=0585.490-0594.810 | 560
P=0326 | X=0505.390-0522.030 | Y=0585.490-0594.810 | 380
P=0326 | X=0113.330-0400.220 | Y=0603.770-0615.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0326 | X=0113.330-0166.290 | Y=0615.290-0626.530 | đến ≤600m.
P=0326 | X=0113.330-0336.520 | Y=0632.830-0644.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0326 | X=0113.330-0398.590 | Y=0650.830-0662.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0326 | X=0113.330-0402.220 | Y=0662.350-0673.590 | Hương lộ 2 đoạn từ Ranh giới phường Tam Phước đến Hết ranh
P=0326 | X=0095.810-0398.390 | Y=0673.870-0687.950 | 14 thửa đất số 247, tờ BĐĐC số 105 (phường Tam Phước) có hiện
P=0326 | X=0456.170-0472.810 | Y=0678.630-0687.950 | 460
P=0326 | X=0505.390-0522.030 | Y=0678.630-0687.950 | 310
P=0326 | X=0113.330-0285.110 | Y=0685.390-0696.630 | trạng là đường nhựa, bê tông xi măng:
P=0326 | X=0113.330-0390.760 | Y=0702.930-0714.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0327 | X=0113.330-0339.620 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0327 | X=0313.560-0419.020 | Y=0098.620-0107.940 | Bên phải, hết ranh thửa
P=0327 | X=0313.560-0406.540 | Y=0108.260-0119.500 | đất số 141, tờ BĐĐC
P=0327 | X=0313.560-0397.740 | Y=0121.690-0131.010 | số 82; Bên trái, hết
P=0327 | X=0095.810-0184.360 | Y=0125.570-0136.810 | 15 Đường Hà Nam
P=0327 | X=0221.110-0269.700 | Y=0127.450-0136.770 | Quốc lộ 51
P=0327 | X=0448.010-0473.060 | Y=0127.450-0136.770 | 1.000
P=0327 | X=0505.390-0522.030 | Y=0127.450-0136.770 | 630
P=0327 | X=0313.560-0410.430 | Y=0131.330-0142.570 | ranh thửa đất số 8, tờ
P=0327 | X=0313.560-0410.860 | Y=0142.850-0154.090 | BĐĐC số 82 (phường
P=0327 | X=0313.560-0370.450 | Y=0154.370-0165.610 | Tam Phước)
P=0327 | X=0113.330-0401.150 | Y=0172.370-0183.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà Nam
P=0327 | X=0113.330-0390.760 | Y=0183.650-0194.890 | đoạn từ Quốc lộ 51 đến Bên phải, hết ranh thửa đất số 141, tờ
P=0327 | X=0113.330-0386.140 | Y=0195.170-0206.410 | BĐĐC số 82; Bên trái, hết ranh thửa đất số 8, tờ BĐĐC số 82
P=0327 | X=0113.330-0390.430 | Y=0206.710-0217.950 | (phường Tam Phước) có hiện trạng là đường nhựa, bê tông xi
P=0327 | X=0095.810-0106.930 | Y=0214.590-0223.910 | 16
P=0327 | X=0456.170-0472.810 | Y=0214.590-0223.910 | 660
P=0327 | X=0505.390-0522.030 | Y=0214.590-0223.910 | 440
P=0327 | X=0113.330-0141.330 | Y=0218.230-0229.470 | măng:
P=0327 | X=0113.330-0336.240 | Y=0235.750-0246.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0327 | X=0113.330-0390.520 | Y=0253.270-0264.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0327 | X=0113.330-0401.150 | Y=0271.270-0282.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà Nam
P=0327 | X=0113.330-0390.760 | Y=0282.820-0294.060 | đoạn từ Quốc lộ 51 đến Bên phải, hết ranh thửa đất số 141, tờ
P=0327 | X=0113.330-0386.380 | Y=0294.340-0305.580 | BĐĐC số 82; Bên trái, hết ranh thửa đất số 8, từ BĐĐC số 82
P=0327 | X=0113.330-0390.430 | Y=0305.860-0317.100 | (phường Tam Phước) có hiện trạng là đường nhựa, bê tông xi
P=0327 | X=0113.330-0141.330 | Y=0317.380-0328.620 | măng:
P=0327 | X=0095.810-0106.930 | Y=0328.140-0337.460 | 17
P=0327 | X=0456.170-0472.810 | Y=0328.140-0337.460 | 560
P=0327 | X=0505.390-0522.030 | Y=0328.140-0337.460 | 380
P=0327 | X=0113.330-0336.500 | Y=0334.900-0346.140 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0327 | X=0113.330-0400.220 | Y=0352.180-0363.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0327 | X=0113.330-0166.290 | Y=0363.700-0374.940 | đến ≤600m.
P=0327 | X=0113.330-0336.520 | Y=0381.240-0392.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0327 | X=0113.330-0401.150 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà Nam
P=0327 | X=0113.330-0390.760 | Y=0410.760-0422.000 | đoạn từ Quốc lộ 51 đến Bên phải, hết ranh thửa đất số 141, tờ
P=0327 | X=0113.330-0386.140 | Y=0422.280-0433.520 | BĐĐC số 82; Bên trái, hết ranh thửa đất số 8, tờ BĐĐC số 82
P=0327 | X=0113.330-0395.030 | Y=0433.800-0445.040 | (phường Tam Phước) có hiện trạng 1A đường nhựa, bê tông xi
P=0327 | X=0095.810-0106.930 | Y=0441.680-0451.000 | 18
P=0327 | X=0456.170-0472.810 | Y=0441.680-0451.000 | 460
P=0327 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 310
P=0327 | X=0113.330-0141.330 | Y=0445.320-0456.560 | măng:
P=0327 | X=0113.330-0390.760 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0327 | X=0113.330-0336.970 | Y=0480.380-0491.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0327 | X=0113.330-0398.590 | Y=0498.380-0509.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0327 | X=0113.330-0416.950 | Y=0509.900-0521.140 | Đường Hà Nam đoạn từ Quốc lộ 51 đến Bên phải, hết ranh thửa đất
P=0327 | X=0113.330-0407.020 | Y=0521.420-0532.660 | số 141, tờ BĐĐC số 82; Bên trái, hết ranh thửa đất số 8, tờ BĐĐC
P=0327 | X=0113.330-0417.820 | Y=0532.970-0544.210 | số 82 (phường Tam Phước) có hiện trạng là đường nhựa, bê tông xi
P=0327 | X=0095.810-0106.930 | Y=0540.850-0550.170 | 19
P=0327 | X=0456.170-0472.810 | Y=0540.850-0550.170 | 660
P=0327 | X=0505.390-0522.030 | Y=0540.850-0550.170 | 440
P=0327 | X=0113.330-0141.330 | Y=0544.250-0555.490 | măng:
P=0327 | X=0113.330-0336.240 | Y=0561.770-0573.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0327 | X=0113.330-0390.520 | Y=0579.290-0590.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0327 | X=0113.330-0398.590 | Y=0597.290-0608.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0327 | X=0113.330-0416.950 | Y=0608.810-0620.050 | Đường Hà Nam đoạn từ Quốc lộ 51 đến Bên phải, hết ranh thửa đất
P=0327 | X=0113.330-0407.020 | Y=0620.350-0631.590 | số 141, tờ BĐĐC số 82; Bên trái, hết ranh thửa đất số 8, tờ BĐĐC
P=0327 | X=0113.330-0417.820 | Y=0631.870-0643.110 | số 82 (phường Tam Phước) có hiện trạng là đường nhựa, bê tông xi
P=0327 | X=0113.330-0141.330 | Y=0643.390-0654.630 | măng:
P=0327 | X=0095.810-0106.930 | Y=0654.150-0663.470 | 20
P=0327 | X=0456.170-0472.810 | Y=0654.150-0663.470 | 560
P=0327 | X=0505.390-0522.030 | Y=0654.150-0663.470 | 380
P=0327 | X=0113.330-0336.510 | Y=0660.910-0672.150 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0327 | X=0113.330-0400.220 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0327 | X=0113.330-0166.290 | Y=0689.950-0701.190 | đến ≤600m.
P=0327 | X=0113.330-0336.500 | Y=0707.490-0718.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0328 | X=0113.330-0398.590 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0328 | X=0113.330-0416.950 | Y=0090.260-0101.500 | Đường Hà Nam đoạn từ Quốc lộ 51 đến Bên phải, hết ranh thửa đất
P=0328 | X=0113.330-0409.900 | Y=0101.780-0113.020 | số 14 1, tờ BĐĐC số 82; Bên trái, hết ranh thửa đất số 8, từ BĐĐC
P=0328 | X=0113.330-0417.820 | Y=0113.300-0124.540 | số 82 (phường Tam Phước) có hiện trạng là đường nhựa, bê tông xi
P=0328 | X=0095.810-0106.930 | Y=0121.210-0130.530 | 21
P=0328 | X=0456.170-0472.810 | Y=0121.210-0130.530 | 460
P=0328 | X=0505.390-0522.030 | Y=0121.210-0130.530 | 310
P=0328 | X=0113.330-0141.330 | Y=0124.850-0136.090 | măng:
P=0328 | X=0113.330-0390.760 | Y=0142.370-0153.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0328 | X=0113.330-0339.620 | Y=0159.650-0170.890 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0328 | X=0306.120-0395.690 | Y=0177.650-0188.890 | Đường Dương Diên
P=0328 | X=0095.810-0264.660 | Y=0183.410-0194.650 | 22 Đường Lý Nhân Tông Quốc lộ 51
P=0328 | X=0448.010-0473.060 | Y=0185.290-0194.610 | 1.000
P=0328 | X=0505.390-0522.030 | Y=0185.290-0194.610 | 630
P=0328 | X=0306.120-0329.960 | Y=0191.050-0200.370 | Nghệ
P=0328 | X=0113.330-0401.730 | Y=0207.190-0218.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Nhân
P=0328 | X=0113.330-0398.150 | Y=0218.710-0229.950 | Tông đoạn từ Quốc lộ 51 đến Đường Dương Diên Nghệ có hiện
P=0328 | X=0113.330-0285.110 | Y=0230.230-0241.470 | trạng là đường nhựa, bê tông xi măng:
P=0328 | X=0095.810-0106.930 | Y=0238.110-0247.430 | 23
P=0328 | X=0456.170-0472.810 | Y=0238.110-0247.430 | 660
P=0328 | X=0505.390-0522.030 | Y=0238.110-0247.430 | 440
P=0328 | X=0113.330-0336.240 | Y=0247.750-0258.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0328 | X=0113.330-0390.520 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0328 | X=0113.330-0401.730 | Y=0283.300-0294.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Nhân
P=0328 | X=0113.330-0398.150 | Y=0294.820-0306.060 | Tông đoạn từ Quốc lộ 51 đến Đường Dương Diên Nghệ có hiện
P=0328 | X=0113.330-0285.110 | Y=0306.340-0317.580 | trạng là đường nhựa, bê tông xi măng:
P=0328 | X=0095.810-0336.500 | Y=0323.860-0337.940 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0328 | X=0456.170-0472.810 | Y=0328.620-0337.940 | 560
P=0328 | X=0505.390-0522.030 | Y=0328.620-0337.940 | 380
P=0328 | X=0113.330-0400.220 | Y=0341.380-0352.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0328 | X=0113.330-0166.290 | Y=0352.900-0364.140 | đến ≤600m.
P=0328 | X=0113.330-0336.500 | Y=0370.200-0381.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0328 | X=0113.330-0401.730 | Y=0388.200-0399.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Nhân
P=0328 | X=0113.330-0398.150 | Y=0399.720-0410.960 | Tông đoạn từ Quốc lộ 51 đến Đường Dương Diên Nghệ có hiện
P=0328 | X=0113.330-0285.110 | Y=0411.240-0422.480 | trạng là đường nhựa, bê tông xi măng:
P=0328 | X=0095.810-0106.930 | Y=0419.120-0428.440 | 25
P=0328 | X=0456.170-0472.810 | Y=0419.120-0428.440 | 460
P=0328 | X=0505.390-0522.030 | Y=0419.120-0428.440 | 310
P=0328 | X=0113.330-0390.760 | Y=0428.760-0440.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0328 | X=0113.330-0336.970 | Y=0446.280-0457.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0328 | X=0113.330-0398.590 | Y=0464.300-0475.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0328 | X=0113.330-0410.850 | Y=0475.820-0487.060 | Đường Lý Nhân Tông đoạn từ Quốc lộ 51 đến Đường Dương Diên
P=0328 | X=0113.330-0346.810 | Y=0487.340-0498.580 | Nghệ có hiện trạng là đường nhựa, bê tông xi măng:
P=0328 | X=0095.810-0106.930 | Y=0495.220-0504.540 | 26
P=0328 | X=0456.170-0472.810 | Y=0495.220-0504.540 | 660
P=0328 | X=0505.390-0522.030 | Y=0495.220-0504.540 | 440
P=0328 | X=0113.330-0336.240 | Y=0504.860-0516.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0328 | X=0113.330-0390.520 | Y=0522.380-0533.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0328 | X=0113.330-0398.590 | Y=0540.410-0551.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0328 | X=0113.330-0410.820 | Y=0551.930-0563.170 | Đường Lý Nhân Tông đoạn từ Quốc lộ 51 đến Đường Dương Diên
P=0328 | X=0113.330-0346.810 | Y=0563.450-0574.690 | Nghệ có hiện trạng là đường nhựa, bê tông xi măng:
P=0328 | X=0095.810-0336.500 | Y=0580.970-0595.050 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0328 | X=0456.170-0472.810 | Y=0585.730-0595.050 | 560
P=0328 | X=0505.390-0522.030 | Y=0585.730-0595.050 | 380
P=0328 | X=0113.330-0400.220 | Y=0598.250-0609.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0328 | X=0113.330-0166.290 | Y=0609.770-0621.010 | đến ≤600m.
P=0328 | X=0113.330-0336.500 | Y=0627.310-0638.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0328 | X=0113.330-0398.590 | Y=0645.310-0656.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0328 | X=0113.330-0410.820 | Y=0656.830-0668.070 | Đường Lý Nhân Tông đoạn từ Quốc lộ 51 đến Đường Dương Diên
P=0328 | X=0113.330-0346.810 | Y=0668.350-0679.590 | Nghệ có hiện trạng là đường nhựa, bê tông xi măng:
P=0328 | X=0095.810-0106.930 | Y=0676.230-0685.550 | 28
P=0328 | X=0456.170-0472.810 | Y=0676.230-0685.550 | 460
P=0328 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 310
