TABLE=032 | AREA=Xã Xuân Đường | SECTION=agricultural | SEGMENTS=1
P=1073 | X=0119.810-0153.330 | Y=0252.550-0263.790 | ≤500m.
P=1073 | X=0119.810-0387.350 | Y=0270.310-0281.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1073 | X=0119.810-0388.300 | Y=0281.860-0293.100 | 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã Long Thành đến
P=1073 | X=0119.810-0387.670 | Y=0293.380-0304.620 | Đường Sông Nhạn - Dầu Giây có hiện trạng là đường nhựa,
P=1073 | X=0119.810-0193.890 | Y=0304.900-0316.140 | bê tông xi măng:
P=1073 | X=0102.050-0107.650 | Y=0321.420-0330.740 | 3
P=1073 | X=0442.010-0458.650 | Y=0321.420-0330.740 | 400
P=1073 | X=0505.390-0522.030 | Y=0321.420-0330.740 | 350
P=1073 | X=0119.810-0351.360 | Y=0322.420-0333.660 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1073 | X=0119.810-0373.120 | Y=0339.700-0350.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1073 | X=0119.810-0214.780 | Y=0351.220-0362.460 | >500m đến ≤1.000m.
P=1073 | X=0119.810-0342.980 | Y=0368.760-0380.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1073 | X=0119.810-0387.350 | Y=0386.520-0397.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1073 | X=0119.810-0388.310 | Y=0398.040-0409.280 | 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã Long Thành đến
P=1073 | X=0119.810-0387.670 | Y=0409.560-0420.800 | Đường Sông Nhạn - Dầu Giây có hiện trạng là đường nhựa,
P=1073 | X=0119.810-0193.890 | Y=0421.080-0432.320 | bê tông xi măng:
P=1073 | X=0102.050-0107.650 | Y=0428.960-0438.280 | 4
P=1073 | X=0442.010-0458.650 | Y=0428.960-0438.280 | 270
P=1073 | X=0505.390-0522.030 | Y=0428.960-0438.280 | 270
P=1073 | X=0119.810-0360.920 | Y=0438.600-0449.840 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1073 | X=0119.810-0161.950 | Y=0452.020-0461.340 | >1.000m.
P=1073 | X=0119.810-0343.450 | Y=0467.660-0478.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1073 | X=0119.810-0393.320 | Y=0485.420-0496.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1073 | X=0119.810-0377.720 | Y=0496.940-0508.180 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã
P=1073 | X=0119.810-0391.180 | Y=0508.220-0519.460 | Long Thành đến Đường Sông Nhạn - Dầu Giây có hiện trạng
P=1073 | X=0119.810-0266.140 | Y=0519.740-0530.980 | là đường nhựa, bê tông xi măng:
P=1073 | X=0102.050-0107.650 | Y=0527.620-0536.940 | 5
P=1073 | X=0442.010-0458.650 | Y=0527.620-0536.940 | 500
P=1073 | X=0505.390-0522.030 | Y=0527.620-0536.940 | 430
P=1073 | X=0119.810-0350.890 | Y=0537.290-0548.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1073 | X=0119.810-0360.930 | Y=0554.810-0566.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1073 | X=0119.810-0153.330 | Y=0566.330-0577.570 | ≤500m.
P=1073 | X=0119.810-0393.320 | Y=0584.090-0595.330 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1073 | X=0119.810-0377.720 | Y=0595.610-0606.850 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã
P=1073 | X=0119.810-0391.180 | Y=0607.130-0618.370 | Long Thành đến Đường Sông Nhạn - Dầu Giây có hiện trạng
P=1073 | X=0119.810-0266.140 | Y=0618.670-0629.910 | là đường nhựa, bê tông xi măng:
P=1073 | X=0102.050-0107.650 | Y=0635.190-0644.510 | 6
P=1073 | X=0442.010-0458.650 | Y=0635.190-0644.510 | 400
P=1073 | X=0505.390-0522.030 | Y=0635.190-0644.510 | 350
P=1073 | X=0119.810-0351.360 | Y=0636.190-0647.430 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1073 | X=0119.810-0373.120 | Y=0653.710-0664.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1073 | X=0119.810-0214.780 | Y=0665.230-0676.470 | >500m đến ≤1.000m.
P=1073 | X=0119.810-0342.980 | Y=0682.510-0693.750 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1073 | X=0119.810-0393.320 | Y=0700.290-0711.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1073 | X=0102.050-0107.650 | Y=0702.180-0711.500 | 7
P=1073 | X=0442.010-0458.650 | Y=0702.180-0711.500 | 270
P=1073 | X=0505.390-0522.030 | Y=0702.180-0711.500 | 270
P=1074 | X=0119.810-0377.720 | Y=0072.500-0083.740 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã
P=1074 | X=0119.810-0391.180 | Y=0084.020-0095.260 | Long Thành đến Đường Sông Nhạn - Dầu Giây có hiện trạng
P=1074 | X=0119.810-0266.140 | Y=0095.540-0106.780 | là đường nhựa, bê tông xi măng:
P=1074 | X=0119.810-0360.920 | Y=0113.060-0124.300 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1074 | X=0119.810-0161.950 | Y=0126.490-0135.810 | >1.000m.
P=1074 | X=0119.810-0343.450 | Y=0142.130-0153.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1074 | X=0303.720-0377.900 | Y=0159.650-0170.890 | Giáp khu dân cư
P=1074 | X=0119.810-0189.980 | Y=0165.410-0176.650 | Đường tỉnh 773
P=1074 | X=0219.190-0277.150 | Y=0165.410-0176.650 | Đường Sông
P=1074 | X=0303.720-0379.160 | Y=0171.170-0182.410 | hiện hữu ấp 1 xã
P=1074 | X=0102.050-0107.650 | Y=0173.050-0182.370 | 8
P=1074 | X=0442.010-0458.650 | Y=0173.050-0182.370 | 530
P=1074 | X=0505.390-0522.030 | Y=0173.050-0182.370 | 400
P=1074 | X=0119.810-0196.150 | Y=0176.930-0188.170 | (Hương lộ 10 cũ)
P=1074 | X=0219.190-0293.850 | Y=0178.810-0188.130 | Nhạn - Dầu Giây
P=1074 | X=0303.720-0361.410 | Y=0182.690-0193.930 | Xuân Đường
P=1074 | X=0119.810-0387.350 | Y=0200.470-0211.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1074 | X=0119.810-0390.610 | Y=0211.990-0223.230 | 773 (Hương lộ 10 cũ) đoạn từ Đường Sông Nhạn - Dầu Giây
P=1074 | X=0119.810-0386.870 | Y=0223.510-0234.750 | đến Giáp khu dân cư hiện hữu ấp 1 xã Xuân Đường có hiện
P=1074 | X=0119.810-0291.590 | Y=0235.030-0246.270 | trạng là đường nhựa, bê tông xi măng:
P=1074 | X=0102.050-0107.650 | Y=0242.910-0252.230 | 9
P=1074 | X=0442.010-0458.650 | Y=0242.910-0252.230 | 380
P=1074 | X=0505.390-0522.030 | Y=0242.910-0252.230 | 250
P=1074 | X=0119.810-0350.890 | Y=0252.550-0263.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1074 | X=0119.810-0360.920 | Y=0270.070-0281.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1074 | X=0119.810-0153.330 | Y=0281.620-0292.860 | ≤500m.
P=1074 | X=0119.810-0387.350 | Y=0299.380-0310.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1074 | X=0119.810-0390.610 | Y=0310.900-0322.140 | 773 (Hương lộ 10 cũ) đoạn từ Đường Sông Nhạn - Dầu Giây
P=1074 | X=0119.810-0386.870 | Y=0322.420-0333.660 | đến Giáp khu dân cư hiện hữu ấp 1 xã Xuân Đường có hiện
P=1074 | X=0119.810-0291.590 | Y=0333.700-0344.940 | trạng là đường nhựa, bê tông xi măng:
P=1074 | X=0099.170-0351.360 | Y=0350.460-0362.460 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1074 | X=0442.010-0458.650 | Y=0350.460-0359.780 | 310
P=1074 | X=0505.390-0522.030 | Y=0350.460-0359.780 | 200
P=1074 | X=0119.810-0373.120 | Y=0368.760-0380.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1074 | X=0119.810-0214.780 | Y=0380.280-0391.520 | >500m đến ≤1.000m.
P=1074 | X=0119.810-0342.990 | Y=0397.800-0409.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1074 | X=0119.810-0387.350 | Y=0415.560-0426.800 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1074 | X=0119.810-0390.610 | Y=0427.080-0438.320 | 773 (Hương lộ 10 cũ) đoạn từ Đường Sông Nhạn - Dầu Giây
P=1074 | X=0119.810-0386.870 | Y=0438.600-0449.840 | đến Giáp khu dân cư hiện hữu ấp 1 xã Xuân Đường có hiện
P=1074 | X=0119.810-0291.590 | Y=0450.140-0461.380 | trạng là đường nhựa, bê tông xi măng:
P=1074 | X=0099.170-0110.290 | Y=0458.020-0467.340 | 11
P=1074 | X=0442.010-0458.650 | Y=0458.020-0467.340 | 220
P=1074 | X=0505.390-0522.030 | Y=0458.020-0467.340 | 140
P=1074 | X=0119.810-0360.920 | Y=0467.660-0478.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1074 | X=0119.810-0161.950 | Y=0481.060-0490.380 | >1.000m.
P=1074 | X=0119.810-0343.450 | Y=0496.460-0507.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1074 | X=0119.810-0393.320 | Y=0514.220-0525.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1074 | X=0119.810-0377.980 | Y=0525.740-0536.980 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Đường Sông
P=1074 | X=0119.810-0368.360 | Y=0537.290-0548.530 | Nhạn - Dầu Giây đến Giáp khu dân cư hiện hữu ấp 1 xã
P=1074 | X=0119.810-0387.390 | Y=0548.810-0560.050 | Xuân Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1074 | X=0099.170-0110.290 | Y=0556.690-0566.010 | 12
P=1074 | X=0442.010-0458.650 | Y=0556.690-0566.010 | 380
P=1074 | X=0505.390-0522.030 | Y=0556.690-0566.010 | 250
P=1074 | X=0119.810-0350.890 | Y=0566.330-0577.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1074 | X=0119.810-0360.920 | Y=0583.850-0595.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1074 | X=0119.810-0153.330 | Y=0595.370-0606.610 | ≤500m.
P=1074 | X=0119.810-0393.320 | Y=0613.130-0624.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1074 | X=0119.810-0377.980 | Y=0624.670-0635.910 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Đường Sông
P=1074 | X=0119.810-0368.360 | Y=0636.190-0647.430 | Nhạn - Dầu Giây đến Giáp khu dân cư hiện hữu ấp 1 xã
P=1074 | X=0119.810-0387.390 | Y=0647.710-0658.950 | Xuân Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1074 | X=0099.170-0110.290 | Y=0655.590-0664.910 | 13
P=1074 | X=0442.010-0458.650 | Y=0655.590-0664.910 | 310
P=1074 | X=0505.390-0522.030 | Y=0655.590-0664.910 | 200
P=1074 | X=0119.810-0351.360 | Y=0665.230-0676.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1074 | X=0119.810-0373.120 | Y=0682.510-0693.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1074 | X=0119.810-0214.780 | Y=0694.030-0705.270 | >500m đến ≤1.000m.
P=1075 | X=0119.810-0342.980 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1075 | X=0119.810-0393.320 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1075 | X=0119.810-0377.980 | Y=0107.780-0119.020 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Đường Sông
P=1075 | X=0119.810-0368.360 | Y=0119.330-0130.570 | Nhạn - Dầu Giây đến Giáp khu dân cư hiện hữu ấp 1 xã
P=1075 | X=0119.810-0387.390 | Y=0130.850-0142.090 | Xuân Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1075 | X=0099.170-0110.290 | Y=0138.730-0148.050 | 14
P=1075 | X=0442.010-0458.650 | Y=0138.730-0148.050 | 220
P=1075 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 140
P=1075 | X=0119.810-0360.920 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1075 | X=0119.810-0161.950 | Y=0161.530-0170.850 | >1.000m.
P=1075 | X=0119.810-0343.450 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1075 | X=0219.190-0293.370 | Y=0194.930-0206.170 | Giáp khu dân cư
P=1075 | X=0119.810-0189.980 | Y=0200.710-0211.950 | Đường tỉnh 773
P=1075 | X=0303.720-0384.860 | Y=0202.590-0211.910 | Giáp ranh xã Cẩm
P=1075 | X=0219.190-0294.660 | Y=0206.470-0217.710 | hiện hữu ấp 1 xã
P=1075 | X=0099.170-0110.290 | Y=0208.350-0217.670 | 15
P=1075 | X=0442.010-0458.650 | Y=0208.350-0217.670 | 530
P=1075 | X=0505.390-0522.030 | Y=0208.350-0217.670 | 400
P=1075 | X=0119.810-0196.150 | Y=0212.230-0223.470 | (Hương lộ 10 cũ)
P=1075 | X=0303.720-0317.160 | Y=0214.110-0223.430 | Mỹ
P=1075 | X=0219.190-0276.910 | Y=0217.990-0229.230 | Xuân Đường
P=1075 | X=0119.810-0387.350 | Y=0235.750-0246.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1075 | X=0119.810-0394.060 | Y=0247.270-0258.510 | 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư hiện hữu ấp 1
P=1075 | X=0119.810-0381.810 | Y=0258.790-0270.030 | xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có hiện trạng là
P=1075 | X=0119.810-0255.580 | Y=0270.310-0281.550 | đường nhựa, bê tông xi măng:
P=1075 | X=0099.170-0110.290 | Y=0278.190-0287.510 | 16
P=1075 | X=0442.010-0458.650 | Y=0278.190-0287.510 | 380
P=1075 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 250
P=1075 | X=0119.810-0350.910 | Y=0287.860-0299.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1075 | X=0119.810-0360.920 | Y=0305.380-0316.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1075 | X=0119.810-0153.330 | Y=0316.900-0328.140 | ≤500m.
P=1075 | X=0119.810-0387.350 | Y=0334.660-0345.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1075 | X=0119.810-0394.060 | Y=0345.940-0357.180 | 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư hiện hữu ấp 1
P=1075 | X=0119.810-0381.810 | Y=0357.460-0368.700 | xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có hiện trạng là
P=1075 | X=0119.810-0255.580 | Y=0369.000-0380.240 | đường nhựa, bê tông xi măng:
P=1075 | X=0099.170-0351.360 | Y=0385.760-0397.760 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1075 | X=0442.010-0458.650 | Y=0385.760-0395.080 | 310
P=1075 | X=0505.390-0522.030 | Y=0385.760-0395.080 | 200
P=1075 | X=0119.810-0373.120 | Y=0404.040-0415.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1075 | X=0119.810-0214.780 | Y=0415.560-0426.800 | >500m đến ≤1.000m.
P=1075 | X=0119.810-0342.980 | Y=0433.080-0444.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1075 | X=0119.810-0387.350 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1075 | X=0119.810-0394.060 | Y=0462.380-0473.620 | 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư hiện hữu ấp 1
P=1075 | X=0119.810-0381.810 | Y=0473.900-0485.140 | xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có hiện trạng là
P=1075 | X=0119.810-0255.580 | Y=0485.420-0496.660 | đường nhựa, bê tông xi măng:
P=1075 | X=0099.170-0110.290 | Y=0493.300-0502.620 | 18
P=1075 | X=0442.010-0458.650 | Y=0493.300-0502.620 | 220
P=1075 | X=0505.390-0522.030 | Y=0493.300-0502.620 | 140
P=1075 | X=0119.810-0360.920 | Y=0502.940-0514.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1075 | X=0119.810-0161.950 | Y=0516.100-0525.420 | >1.000m.
P=1075 | X=0119.810-0343.470 | Y=0531.740-0542.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1075 | X=0119.810-0393.320 | Y=0549.530-0560.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1075 | X=0119.810-0394.460 | Y=0561.050-0572.290 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư
P=1075 | X=0119.810-0388.540 | Y=0572.570-0583.810 | hiện hữu ấp 1 xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có
P=1075 | X=0119.810-0313.450 | Y=0584.090-0595.330 | hiện trạng là đường nhựa, bê tông xi măng:
P=1075 | X=0099.170-0110.290 | Y=0591.970-0601.290 | 19
P=1075 | X=0442.010-0458.650 | Y=0591.970-0601.290 | 380
P=1075 | X=0505.390-0522.030 | Y=0591.970-0601.290 | 250
P=1075 | X=0119.810-0350.890 | Y=0601.610-0612.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1075 | X=0119.810-0360.920 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1075 | X=0119.810-0153.330 | Y=0630.670-0641.910 | ≤500m.
P=1075 | X=0119.810-0393.320 | Y=0648.430-0659.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1075 | X=0119.810-0394.460 | Y=0659.950-0671.190 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư
P=1075 | X=0099.170-0388.540 | Y=0671.470-0685.550 | 20 hiện hữu ấp 1 xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có
P=1075 | X=0442.010-0458.650 | Y=0676.230-0685.550 | 310
P=1075 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 200
P=1075 | X=0119.810-0313.450 | Y=0682.750-0693.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=1075 | X=0119.810-0351.360 | Y=0700.290-0711.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1076 | X=0119.810-0373.120 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1076 | X=0119.810-0214.780 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1076 | X=0119.810-0342.980 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1076 | X=0119.810-0393.320 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1076 | X=0119.810-0394.460 | Y=0136.850-0148.090 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư
P=1076 | X=0119.810-0388.540 | Y=0148.370-0159.610 | hiện hữu ấp 1 xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có
P=1076 | X=0119.810-0313.450 | Y=0159.650-0170.890 | hiện trạng là đường nhựa, bê tông xi măng:
P=1076 | X=0099.170-0110.290 | Y=0167.530-0176.850 | 21
P=1076 | X=0442.010-0458.650 | Y=0167.530-0176.850 | 220
P=1076 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 140
P=1076 | X=0119.810-0360.920 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1076 | X=0119.810-0161.960 | Y=0190.570-0199.890 | >1.000m.
P=1076 | X=0119.810-0343.450 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1076 | X=0119.810-0363.060 | Y=0223.990-0235.230 | Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1076 | X=0099.170-0110.290 | Y=0231.630-0240.950 | 22
P=1076 | X=0442.010-0458.650 | Y=0231.630-0240.950 | 730
P=1076 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 600
P=1076 | X=0119.810-0277.390 | Y=0235.510-0246.750 | Thành, đoạn thuộc xã Xuân Đường
P=1076 | X=0119.810-0368.150 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1076 | X=0119.810-0387.590 | Y=0264.790-0276.030 | Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=1076 | X=0119.810-0387.320 | Y=0276.310-0287.550 | thuộc xã Xuân Đường có hiện trạng là đường nhựa, bê tông
P=1076 | X=0119.810-0157.640 | Y=0287.860-0299.100 | xi măng:
P=1076 | X=0099.170-0110.290 | Y=0295.740-0305.060 | 23
P=1076 | X=0442.010-0458.650 | Y=0295.740-0305.060 | 500
P=1076 | X=0505.390-0522.030 | Y=0295.740-0305.060 | 430
P=1076 | X=0119.810-0350.890 | Y=0305.380-0316.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1076 | X=0119.810-0360.920 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1076 | X=0119.810-0153.330 | Y=0334.420-0345.660 | ≤500m.
P=1076 | X=0119.810-0368.150 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1076 | X=0119.810-0387.590 | Y=0363.460-0374.700 | Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=1076 | X=0119.810-0387.320 | Y=0375.000-0386.240 | thuộc xã Xuân Đường có hiện trạng là đường nhựa, bê tông
P=1076 | X=0119.810-0157.640 | Y=0386.520-0397.760 | xi măng:
P=1076 | X=0099.170-0351.360 | Y=0403.280-0415.280 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1076 | X=0442.010-0458.650 | Y=0403.280-0412.600 | 400
P=1076 | X=0505.390-0522.030 | Y=0403.280-0412.600 | 350
P=1076 | X=0119.810-0373.120 | Y=0421.560-0432.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1076 | X=0119.810-0214.780 | Y=0433.080-0444.320 | >500m đến ≤1.000m.
P=1076 | X=0119.810-0342.980 | Y=0450.620-0461.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1076 | X=0119.810-0368.150 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1076 | X=0119.810-0387.590 | Y=0479.900-0491.140 | Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=1076 | X=0119.810-0387.320 | Y=0491.420-0502.660 | thuộc xã Xuân Đường có hiện trạng là đường nhựa, bê tông
P=1076 | X=0119.810-0157.640 | Y=0502.940-0514.180 | xi măng:
P=1076 | X=0099.170-0110.290 | Y=0510.820-0520.140 | 25
P=1076 | X=0442.010-0458.650 | Y=0510.820-0520.140 | 270
P=1076 | X=0505.390-0522.030 | Y=0510.820-0520.140 | 270
P=1076 | X=0119.810-0360.920 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1076 | X=0119.810-0161.950 | Y=0533.620-0542.940 | >1.000m.
P=1076 | X=0119.810-0343.450 | Y=0549.290-0560.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1076 | X=0119.810-0393.320 | Y=0567.050-0578.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1076 | X=0119.810-0374.820 | Y=0578.570-0589.810 | ra Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1076 | X=0119.810-0381.100 | Y=0590.090-0601.330 | Thành, đoạn thuộc xã Xuân Đường có hiện trạng là đường
P=1076 | X=0119.810-0222.930 | Y=0601.610-0612.850 | nhựa, bê tông xi măng:
P=1076 | X=0099.170-0110.290 | Y=0609.490-0618.810 | 26
P=1076 | X=0442.010-0458.650 | Y=0609.490-0618.810 | 500
P=1076 | X=0505.390-0522.030 | Y=0609.490-0618.810 | 430
P=1076 | X=0119.810-0350.890 | Y=0619.150-0630.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1076 | X=0119.810-0360.920 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
