TABLE=007 | AREA=Phường Long Hưng | SECTION=agricultural | SEGMENTS=1
P=0237 | X=0117.170-0402.430 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0237 | X=0117.170-0407.500 | Y=0177.650-0188.890 | Xa lộ Hà Nội đoạn từ Vòng Xoay Tam Hiệp đến Hết ranh giới tỉnh
P=0237 | X=0117.170-0368.440 | Y=0189.170-0200.410 | Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0237 | X=0100.610-0106.210 | Y=0197.050-0206.370 | 7
P=0237 | X=0452.330-0468.970 | Y=0197.050-0206.370 | 480
P=0237 | X=0505.390-0522.030 | Y=0197.050-0206.370 | 330
P=0237 | X=0117.170-0394.600 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0237 | X=0117.170-0343.460 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0237 | X=0117.170-0195.190 | Y=0242.230-0253.470 | Các đường thuộc
P=0237 | X=0301.320-0393.100 | Y=0247.990-0259.230 | Hết ranh thửa đất số
P=0237 | X=0100.610-0106.210 | Y=0255.630-0264.950 | 8
P=0237 | X=0117.170-0201.760 | Y=0255.630-0264.950 | khu chợ Long Bình
P=0237 | X=0213.430-0262.020 | Y=0255.630-0264.950 | Quốc lộ 51
P=0237 | X=0444.170-0469.220 | Y=0255.630-0264.950 | 1.050
P=0237 | X=0505.390-0522.030 | Y=0255.630-0264.950 | 680
P=0237 | X=0301.320-0391.420 | Y=0259.510-0270.750 | 122, tờ BĐĐC số 35
P=0237 | X=0117.170-0162.990 | Y=0267.150-0276.470 | Tân (KP1)
P=0237 | X=0117.170-0411.980 | Y=0283.300-0294.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Các đường thuộc
P=0237 | X=0117.170-0399.100 | Y=0294.820-0306.060 | khu chợ Long Bình Tân (KP1) đoạn từ Quốc lộ 51 đến Hết ranh
P=0237 | X=0117.170-0412.870 | Y=0306.340-0317.580 | thửa đất số 122, tờ BĐĐC số 35 có hiện trạng là mặt đường nhựa,
P=0237 | X=0117.170-0191.250 | Y=0317.860-0329.100 | bê tông xi măng:
P=0237 | X=0100.610-0106.210 | Y=0319.980-0329.300 | 9
P=0237 | X=0452.330-0468.970 | Y=0319.980-0329.300 | 700
P=0237 | X=0505.390-0522.030 | Y=0319.980-0329.300 | 460
P=0237 | X=0117.170-0340.080 | Y=0335.380-0346.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0237 | X=0117.170-0394.360 | Y=0352.900-0364.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0237 | X=0117.170-0411.980 | Y=0370.920-0382.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Các đường thuộc
P=0237 | X=0117.170-0399.100 | Y=0382.200-0393.440 | khu chợ Long Bình Tân (KP1) đoạn từ Quốc lộ 51 đến Hết ranh
P=0237 | X=0117.170-0407.500 | Y=0393.720-0404.960 | thửa đất số 122, tờ BĐĐC số 35 có hiện trạng là đường nhựa, bê
P=0237 | X=0117.170-0177.330 | Y=0405.240-0416.480 | tông xi măng:
P=0237 | X=0097.730-0340.340 | Y=0422.000-0434.000 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0237 | X=0452.330-0468.970 | Y=0422.000-0431.320 | 590
P=0237 | X=0505.390-0522.030 | Y=0422.000-0431.320 | 390
P=0237 | X=0117.170-0404.060 | Y=0440.280-0451.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0237 | X=0117.170-0170.130 | Y=0451.820-0463.060 | đến ≤600m.
P=0237 | X=0117.170-0340.340 | Y=0469.340-0480.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0237 | X=0117.170-0411.980 | Y=0487.340-0498.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Các đường thuộc
P=0237 | X=0117.170-0399.100 | Y=0498.860-0510.100 | khu chợ Long Bình Tân (KP1) đoạn từ Quốc lộ 51 đến Hết ranh
P=0237 | X=0117.170-0406.540 | Y=0510.380-0521.620 | thửa đất số 122, tổ BĐĐC số 35 có hiện trạng là đường nhựa, bê
P=0237 | X=0097.730-0177.330 | Y=0521.900-0533.340 | 11 tông xi măng:
P=0237 | X=0452.330-0468.970 | Y=0524.020-0533.340 | 480
P=0237 | X=0505.390-0522.030 | Y=0524.020-0533.340 | 330
P=0237 | X=0117.170-0394.600 | Y=0539.450-0550.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0237 | X=0117.170-0340.810 | Y=0556.970-0568.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0237 | X=0117.170-0402.430 | Y=0574.970-0586.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0237 | X=0117.170-0405.340 | Y=0586.250-0597.490 | Các đường thuộc khu chợ Long Bình Tân (KP1) đoạn từ Quốc lộ
P=0237 | X=0117.170-0406.770 | Y=0597.770-0609.010 | 51 đến Hết ranh thửa đất số 122, từ BĐĐC số 35 có hiện trạng là
P=0237 | X=0097.730-0252.940 | Y=0609.290-0620.730 | 12 đường nhựa, bê tông xi măng:
P=0237 | X=0452.330-0468.970 | Y=0611.410-0620.730 | 700
P=0237 | X=0505.390-0522.030 | Y=0611.410-0620.730 | 460
P=0237 | X=0117.170-0340.340 | Y=0626.830-0638.070 | - Có bề rộng ≥5m, cách đường giao thông <600m.
P=0237 | X=0117.170-0394.360 | Y=0644.350-0655.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0237 | X=0117.170-0402.430 | Y=0662.350-0673.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0237 | X=0117.170-0405.340 | Y=0673.870-0685.110 | Các đường thuộc khu chợ Long Bình Tân (KP1) đoạn từ Quốc lộ
P=0237 | X=0097.730-0108.850 | Y=0681.510-0690.830 | 13
P=0237 | X=0452.330-0468.970 | Y=0681.510-0690.830 | 590
P=0237 | X=0505.390-0522.030 | Y=0681.510-0690.830 | 390
P=0237 | X=0117.170-0406.530 | Y=0685.390-0696.630 | 51 đến Hết ranh thửa đất số 122, tờ BĐĐC số 35 có hiện trạng là
P=0237 | X=0117.170-0252.940 | Y=0696.910-0708.150 | đường nhựa, bê tông xi măng:
P=0238 | X=0117.170-0340.340 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0238 | X=0117.170-0404.060 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0238 | X=0117.170-0170.130 | Y=0107.780-0119.020 | đến ≤600m.
P=0238 | X=0117.170-0340.340 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0238 | X=0117.170-0402.430 | Y=0143.330-0154.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0238 | X=0117.170-0405.340 | Y=0154.850-0166.090 | Các đường thuộc khu chợ Long Bình Tân (KP1) đoạn từ Quốc lộ
P=0238 | X=0117.170-0406.530 | Y=0166.370-0177.610 | 51 đến Hết ranh thửa đất số 122, tờ BĐĐC số 35 có hiện trạng là
P=0238 | X=0097.730-0252.950 | Y=0177.650-0189.330 | 14 đường nhựa, bê tông xi măng:
P=0238 | X=0452.330-0468.970 | Y=0180.010-0189.330 | 480
P=0238 | X=0505.390-0522.030 | Y=0180.010-0189.330 | 330
P=0238 | X=0117.170-0394.600 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0238 | X=0117.170-0343.460 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0238 | X=0308.760-0405.590 | Y=0230.710-0241.950 | Đường Nguyễn Thiện
P=0238 | X=0213.430-0291.990 | Y=0236.470-0247.710 | Ngã ba Vũng Tàu
P=0238 | X=0097.730-0165.730 | Y=0238.350-0247.670 | 15 Quốc lộ 51
P=0238 | X=0444.170-0469.220 | Y=0238.350-0247.670 | 1.050
P=0238 | X=0505.390-0522.030 | Y=0238.350-0247.670 | 680
P=0238 | X=0344.280-0369.900 | Y=0244.110-0253.430 | Thuật
P=0238 | X=0117.170-0407.260 | Y=0260.230-0271.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0238 | X=0117.170-0390.230 | Y=0271.750-0282.990 | từ Ngã ba Vũng Tàu đến Đường Nguyễn Thiện Thuật có hiện
P=0238 | X=0117.170-0308.390 | Y=0283.300-0294.540 | trạng là mặt đường nhựa, bê tông xi măng:
P=0238 | X=0097.730-0108.850 | Y=0291.180-0300.500 | 16
P=0238 | X=0452.330-0468.970 | Y=0291.180-0300.500 | 700
P=0238 | X=0505.390-0522.030 | Y=0291.180-0300.500 | 460
P=0238 | X=0117.170-0340.120 | Y=0300.820-0312.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0238 | X=0117.170-0394.380 | Y=0318.340-0329.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0238 | X=0117.170-0407.260 | Y=0336.340-0347.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0238 | X=0117.170-0390.230 | Y=0347.860-0359.100 | từ Ngã ba Vũng Tàu đến Đường Nguyễn Thiện Thuật có hiện
P=0238 | X=0117.170-0288.950 | Y=0359.380-0370.620 | trạng là đường nhựa, bê tông xi măng:
P=0238 | X=0097.730-0340.340 | Y=0376.920-0391.000 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0238 | X=0452.330-0468.970 | Y=0381.680-0391.000 | 590
P=0238 | X=0505.390-0522.030 | Y=0381.680-0391.000 | 390
P=0238 | X=0117.170-0404.060 | Y=0394.200-0405.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0238 | X=0117.170-0170.130 | Y=0405.720-0416.960 | đến ≤600m.
P=0238 | X=0117.170-0340.340 | Y=0423.240-0434.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0238 | X=0117.170-0407.260 | Y=0441.240-0452.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0238 | X=0117.170-0390.230 | Y=0452.780-0464.020 | từ Ngã ba Vũng Tàu đến Đường Nguyễn Thiện Thuật có hiện
P=0238 | X=0117.170-0288.950 | Y=0464.300-0475.540 | trạng là đường nhựa, bê tông xi măng:
P=0238 | X=0097.730-0108.850 | Y=0472.180-0481.500 | 18
P=0238 | X=0452.330-0468.970 | Y=0472.180-0481.500 | 480
P=0238 | X=0505.390-0522.030 | Y=0472.180-0481.500 | 330
P=0238 | X=0117.170-0394.610 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0238 | X=0117.170-0340.810 | Y=0499.340-0510.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0238 | X=0117.170-0402.430 | Y=0517.340-0528.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0238 | X=0117.170-0403.190 | Y=0528.860-0540.100 | Quốc lộ 51 đoạn từ Ngã ba Vũng Tàu đến Đường Nguyễn Thiện
P=0238 | X=0117.170-0352.340 | Y=0540.410-0551.650 | Thuật có hiện trạng là đường nhựa, bê tông xi măng:
P=0238 | X=0097.730-0108.850 | Y=0548.290-0557.610 | 19
P=0238 | X=0452.330-0468.970 | Y=0548.290-0557.610 | 700
P=0238 | X=0505.390-0522.030 | Y=0548.290-0557.610 | 460
P=0238 | X=0117.170-0340.120 | Y=0557.930-0569.170 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0238 | X=0117.170-0394.380 | Y=0575.450-0586.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0238 | X=0117.170-0402.430 | Y=0593.450-0604.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0238 | X=0117.170-0403.190 | Y=0604.970-0616.210 | Quốc lộ 51 đoạn từ Ngã ba Vũng Tàu đến Đường Nguyễn Thiện
P=0238 | X=0117.170-0352.340 | Y=0616.270-0627.510 | Thuật có hiện trạng là đường nhựa, bê tông xi măng:
P=0238 | X=0097.730-0343.210 | Y=0633.790-0648.110 | 20 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0238 | X=0452.330-0468.970 | Y=0638.790-0648.110 | 590
P=0238 | X=0505.390-0522.030 | Y=0638.790-0648.110 | 390
P=0238 | X=0117.170-0404.060 | Y=0651.310-0662.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0238 | X=0117.170-0170.130 | Y=0662.830-0674.070 | đến ≤600m.
P=0238 | X=0117.170-0340.340 | Y=0680.350-0691.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0238 | X=0097.730-0402.430 | Y=0698.350-0709.590 | 21 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0238 | X=0452.330-0468.970 | Y=0700.230-0709.550 | 480
P=0238 | X=0505.390-0522.030 | Y=0700.230-0709.550 | 330
P=0239 | X=0117.170-0403.190 | Y=0072.740-0083.980 | Quốc lộ 51 đoạn từ Ngã ba Vũng Tàu đến Đường Nguyễn Thiện
P=0239 | X=0117.170-0352.370 | Y=0084.260-0095.500 | Thuật có hiện trạng là đường nhựa, bê tông xi măng:
P=0239 | X=0117.170-0394.620 | Y=0101.780-0113.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0239 | X=0117.170-0343.490 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0239 | X=0303.960-0410.390 | Y=0137.330-0148.570 | Mũi tàu tiếp giáp đường
P=0239 | X=0225.940-0288.430 | Y=0139.210-0148.530 | Nguyễn Thiện
P=0239 | X=0097.730-0108.850 | Y=0144.970-0154.290 | 22
P=0239 | X=0140.690-0189.270 | Y=0144.970-0154.290 | Quốc lộ 51
P=0239 | X=0444.170-0469.220 | Y=0144.970-0154.290 | 1.050
P=0239 | X=0505.390-0522.030 | Y=0144.970-0154.290 | 680
P=0239 | X=0244.180-0269.780 | Y=0150.730-0160.050 | Thuật
P=0239 | X=0319.800-0394.530 | Y=0150.730-0160.050 | Vữ Nguyên Giáp
P=0239 | X=0117.170-0407.260 | Y=0166.850-0178.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0239 | X=0117.170-0400.790 | Y=0178.370-0189.610 | từ Nguyễn Thiện Thuật đến Mũi tàu tiếp giáp đường Võ Nguyên
P=0239 | X=0117.170-0367.210 | Y=0189.650-0200.890 | Giáp có hiện trạng là mặt đường nhựa, bê tông xi măng:
P=0239 | X=0097.730-0108.850 | Y=0197.530-0206.850 | 23
P=0239 | X=0452.330-0468.970 | Y=0197.530-0206.850 | 700
P=0239 | X=0505.390-0522.030 | Y=0197.530-0206.850 | 460
P=0239 | X=0117.170-0340.080 | Y=0207.190-0218.430 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0239 | X=0117.170-0394.360 | Y=0224.710-0235.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0239 | X=0117.170-0407.260 | Y=0242.710-0253.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0239 | X=0117.170-0400.770 | Y=0254.230-0265.470 | từ Nguyễn Thiện Thuật đến Mũi tàu tiếp giáp đường Võ Nguyên
P=0239 | X=0117.170-0348.010 | Y=0265.750-0276.990 | Giáp có hiện trạng là đường nhựa, bê tông xi măng:
P=0239 | X=0097.730-0340.340 | Y=0283.300-0297.620 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0239 | X=0452.330-0468.970 | Y=0288.300-0297.620 | 590
P=0239 | X=0505.390-0522.030 | Y=0288.300-0297.620 | 390
P=0239 | X=0117.170-0404.060 | Y=0300.820-0312.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0239 | X=0117.170-0170.130 | Y=0312.340-0323.580 | đến ≤600m.
P=0239 | X=0117.170-0340.340 | Y=0329.860-0341.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0239 | X=0117.170-0407.260 | Y=0347.860-0359.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0239 | X=0117.170-0400.770 | Y=0359.380-0370.620 | từ Nguyễn Thiện Thuật đến Mũi tàu tiếp giáp đường Võ Nguyên
P=0239 | X=0117.170-0348.010 | Y=0370.920-0382.160 | Giáp có hiện trạng là đường nhựa, bê tông xi măng:
P=0239 | X=0097.730-0108.850 | Y=0378.800-0388.120 | 25
P=0239 | X=0452.330-0468.970 | Y=0378.800-0388.120 | 480
P=0239 | X=0505.390-0522.030 | Y=0378.800-0388.120 | 330
P=0239 | X=0117.170-0394.600 | Y=0388.200-0399.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0239 | X=0117.170-0340.840 | Y=0405.720-0416.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0239 | X=0117.170-0402.430 | Y=0423.720-0434.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0239 | X=0117.170-0392.140 | Y=0435.240-0446.480 | Quốc lộ 51 đoạn từ Nguyễn Thiện Thuật đến Mũi tàu tiếp giáp
P=0239 | X=0117.170-0402.430 | Y=0446.760-0458.000 | đường Võ Nguyên Giáp có hiện trạng là đường nhựa, bê tông xi
P=0239 | X=0097.730-0145.170 | Y=0458.300-0469.740 | 26 măng:
P=0239 | X=0452.330-0468.970 | Y=0460.420-0469.740 | 700
P=0239 | X=0505.390-0522.030 | Y=0460.420-0469.740 | 460
P=0239 | X=0117.170-0340.080 | Y=0475.820-0487.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0239 | X=0117.170-0394.360 | Y=0493.340-0504.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0239 | X=0117.170-0402.430 | Y=0511.340-0522.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0239 | X=0117.170-0392.140 | Y=0522.860-0534.100 | Quốc lộ 51 đoạn từ Nguyễn Thiện Thuật đến Mũi tàu tiếp giáp
P=0239 | X=0117.170-0402.430 | Y=0534.410-0545.650 | đường Võ Nguyên Giáp có hiện trạng là đường nhựa, bê tông xi
P=0239 | X=0117.170-0145.170 | Y=0545.930-0557.170 | măng:
P=0239 | X=0097.730-0340.340 | Y=0562.450-0574.690 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0239 | X=0452.330-0468.970 | Y=0562.450-0571.770 | 590
P=0239 | X=0505.390-0522.030 | Y=0562.450-0571.770 | 390
P=0239 | X=0117.170-0404.060 | Y=0580.970-0592.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0239 | X=0117.170-0170.130 | Y=0592.250-0603.490 | đến ≤600m.
P=0239 | X=0117.170-0340.340 | Y=0609.770-0621.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0239 | X=0117.170-0402.430 | Y=0627.790-0639.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0239 | X=0117.170-0392.140 | Y=0639.310-0650.550 | Quốc lộ 51 đoạn từ Nguyễn Thiện Thuật đến Mũi tàu tiếp giáp
P=0239 | X=0117.170-0402.430 | Y=0650.830-0662.070 | đường Võ Nguyên Giáp có hiện trạng là đường nhựa, bê tông xi
P=0239 | X=0097.730-0145.170 | Y=0662.350-0673.790 | 28 măng:
P=0239 | X=0452.330-0468.970 | Y=0664.470-0673.790 | 480
P=0239 | X=0505.390-0522.030 | Y=0664.470-0673.790 | 330
P=0239 | X=0117.170-0394.600 | Y=0679.870-0691.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0239 | X=0117.170-0343.460 | Y=0697.390-0708.630 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0240 | X=0213.430-0286.980 | Y=0078.740-0089.980 | Mũi tàu tiếp giáp
P=0240 | X=0301.320-0399.340 | Y=0084.500-0095.740 | Đường Nguyễn Trung
P=0240 | X=0213.430-0295.860 | Y=0090.260-0101.500 | đường Võ Nguyên
P=0240 | X=0097.730-0165.730 | Y=0092.140-0101.460 | 29 Quốc lộ 51
P=0240 | X=0444.170-0469.220 | Y=0092.140-0101.460 | 1.050
P=0240 | X=0505.390-0522.030 | Y=0092.140-0101.460 | 680
P=0240 | X=0301.320-0322.680 | Y=0097.900-0107.220 | Trực
P=0240 | X=0213.430-0234.860 | Y=0103.660-0112.980 | Giáp
