TABLE=008 | AREA=Phường Tân Triều | SECTION=agricultural | SEGMENTS=1
P=0255 | X=0117.170-0340.340 | Y=0661.870-0673.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0255 | X=0117.170-0402.710 | Y=0679.630-0690.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0255 | X=0117.170-0401.740 | Y=0691.150-0702.390 | Ái Quốc đoạn từ Giáp ranh phường Trấn Biên đến Đường Đồng
P=0255 | X=0100.610-0106.210 | Y=0693.030-0702.350 | 4
P=0255 | X=0445.850-0462.490 | Y=0693.030-0702.350 | 520
P=0255 | X=0505.390-0522.030 | Y=0693.030-0702.350 | 350
P=0255 | X=0117.170-0347.780 | Y=0702.690-0713.930 | Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0256 | X=0117.170-0394.600 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0256 | X=0117.170-0340.810 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0256 | X=0117.170-0402.430 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0256 | X=0117.170-0393.100 | Y=0125.330-0136.570 | Đường Nguyễn Ái Quốc đoạn từ Giáp ranh phường Trấn Biên
P=0256 | X=0117.170-0397.630 | Y=0136.850-0148.090 | đến Đường Đồng Khởi có hiện trạng là đường nhựa, bê tông xi
P=0256 | X=0117.170-0145.170 | Y=0148.370-0159.610 | măng:
P=0256 | X=0100.610-0106.210 | Y=0150.490-0159.810 | 5
P=0256 | X=0445.850-0462.490 | Y=0150.490-0159.810 | 780
P=0256 | X=0505.390-0522.030 | Y=0150.490-0159.810 | 510
P=0256 | X=0117.170-0340.340 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông <600m.
P=0256 | X=0117.170-0394.380 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0256 | X=0117.170-0402.430 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0256 | X=0117.170-0393.100 | Y=0212.470-0223.710 | Đường Nguyễn Ái Quốc đoạn từ Giáp ranh phường Trấn Biên
P=0256 | X=0117.170-0397.630 | Y=0223.990-0235.230 | đến Đường Đồng Khởi có hiện trạng là đường nhựa, bê tông xi
P=0256 | X=0117.170-0145.170 | Y=0235.510-0246.750 | măng:
P=0256 | X=0100.610-0106.210 | Y=0252.270-0261.590 | 6
P=0256 | X=0445.850-0462.490 | Y=0252.270-0261.590 | 660
P=0256 | X=0505.390-0522.030 | Y=0252.270-0261.590 | 440
P=0256 | X=0117.170-0340.340 | Y=0253.030-0264.270 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0256 | X=0117.170-0370.480 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0256 | X=0117.170-0203.740 | Y=0282.100-0293.340 | >400m đến ≤600m.
P=0256 | X=0117.170-0340.340 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0256 | X=0117.170-0402.430 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0256 | X=0117.170-0393.100 | Y=0328.900-0340.140 | Đường Nguyễn Ái Quốc đoạn từ Giáp ranh phường Trấn Biên
P=0256 | X=0117.170-0397.630 | Y=0340.420-0351.660 | đến Đường Đồng Khởi có hiện trạng là đường nhựa, bê tông xi
P=0256 | X=0117.170-0145.170 | Y=0351.700-0362.940 | măng:
P=0256 | X=0100.610-0106.210 | Y=0353.820-0363.140 | 7
P=0256 | X=0445.850-0462.490 | Y=0353.820-0363.140 | 520
P=0256 | X=0505.390-0522.030 | Y=0353.820-0363.140 | 350
P=0256 | X=0117.170-0394.600 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0256 | X=0117.170-0343.460 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0256 | X=0233.140-0313.640 | Y=0404.520-0415.760 | Đường Nguyễn Ái
P=0256 | X=0117.170-0199.350 | Y=0410.280-0421.520 | Đường Đồng Khởi
P=0256 | X=0321.000-0389.980 | Y=0410.280-0421.520 | Cầu Đồng Khởi
P=0256 | X=0100.610-0106.210 | Y=0412.160-0421.480 | 8
P=0256 | X=0437.690-0462.740 | Y=0412.160-0421.480 | 1.200
P=0256 | X=0505.390-0522.030 | Y=0412.160-0421.480 | 770
P=0256 | X=0233.140-0257.140 | Y=0417.920-0427.240 | Quốc
P=0256 | X=0117.170-0392.150 | Y=0433.800-0445.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0256 | X=0117.170-0387.810 | Y=0445.320-0456.560 | Khởi đoạn từ Đường Nguyễn Ái Quốc đến cầu Đồng Khởi có
P=0256 | X=0117.170-0310.810 | Y=0456.860-0468.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=0256 | X=0100.610-0106.210 | Y=0464.740-0474.060 | 9
P=0256 | X=0445.850-0462.490 | Y=0464.740-0474.060 | 780
P=0256 | X=0505.390-0522.030 | Y=0464.740-0474.060 | 510
P=0256 | X=0117.170-0340.120 | Y=0474.380-0485.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0256 | X=0117.170-0394.380 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0256 | X=0117.170-0392.150 | Y=0509.660-0520.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0256 | X=0117.170-0390.210 | Y=0521.180-0532.420 | Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu Đồng Khởi có
P=0256 | X=0117.170-0310.810 | Y=0532.490-0543.730 | hiện trạng là đường nhựa, bê tông xi măng:
P=0256 | X=0097.970-0340.340 | Y=0550.010-0564.330 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0256 | X=0445.850-0462.490 | Y=0555.010-0564.330 | 660
P=0256 | X=0505.390-0522.030 | Y=0555.010-0564.330 | 440
P=0256 | X=0117.170-0370.480 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0256 | X=0117.170-0203.740 | Y=0579.050-0590.290 | >400m đến ≤600m.
P=0256 | X=0117.170-0340.340 | Y=0596.570-0607.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0256 | X=0117.170-0392.150 | Y=0614.330-0625.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0256 | X=0117.170-0390.210 | Y=0625.870-0637.110 | Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu Đồng Khởi có
P=0256 | X=0117.170-0310.810 | Y=0637.390-0648.630 | hiện trạng là đường nhựa, bê tông xi măng:
P=0256 | X=0097.970-0109.090 | Y=0645.270-0654.590 | 11
P=0256 | X=0445.850-0462.490 | Y=0645.270-0654.590 | 520
P=0256 | X=0505.390-0522.030 | Y=0645.270-0654.590 | 350
P=0256 | X=0117.170-0394.600 | Y=0654.910-0666.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0256 | X=0117.170-0340.810 | Y=0672.430-0683.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0256 | X=0117.170-0402.430 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0256 | X=0097.970-0109.090 | Y=0697.830-0707.150 | 12
P=0256 | X=0445.850-0462.490 | Y=0697.830-0707.150 | 780
P=0256 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 510
P=0256 | X=0117.170-0384.950 | Y=0701.730-0712.970 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc đến cầu
P=0257 | X=0117.170-0374.420 | Y=0072.500-0083.740 | Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0257 | X=0117.170-0340.120 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0257 | X=0117.170-0394.360 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0257 | X=0117.170-0402.430 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0257 | X=0117.170-0387.110 | Y=0136.850-0148.090 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu
P=0257 | X=0117.170-0374.420 | Y=0148.370-0159.610 | Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0257 | X=0097.970-0340.340 | Y=0165.650-0179.970 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0257 | X=0445.850-0462.490 | Y=0170.650-0179.970 | 660
P=0257 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 440
P=0257 | X=0117.170-0370.480 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0257 | X=0117.170-0203.740 | Y=0194.690-0205.930 | >400m đến ≤600m.
P=0257 | X=0117.170-0340.340 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0257 | X=0117.170-0402.430 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0257 | X=0117.170-0387.110 | Y=0241.510-0252.750 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu
P=0257 | X=0117.170-0374.420 | Y=0253.030-0264.270 | Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0257 | X=0097.970-0109.090 | Y=0260.910-0270.230 | 14
P=0257 | X=0445.850-0462.490 | Y=0260.910-0270.230 | 520
P=0257 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 350
P=0257 | X=0117.170-0394.600 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0257 | X=0117.170-0343.460 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0257 | X=0321.000-0389.980 | Y=0305.860-0317.100 | Đường Nguyễn
P=0257 | X=0097.970-0199.350 | Y=0311.620-0322.860 | 15 Đường Đồng Khởi
P=0257 | X=0233.140-0302.120 | Y=0311.620-0322.860 | Cầu Đồng Khởi
P=0257 | X=0437.690-0462.730 | Y=0313.500-0322.820 | 1.200
P=0257 | X=0505.390-0522.030 | Y=0313.500-0322.820 | 770
P=0257 | X=0321.000-0361.140 | Y=0317.380-0328.620 | Văn Tiên
P=0257 | X=0117.170-0392.150 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0257 | X=0117.170-0394.510 | Y=0346.660-0357.900 | Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn Văn Tiên có
P=0257 | X=0117.170-0310.810 | Y=0357.940-0369.180 | hiện trạng là đường nhựa, bê tông xi măng:
P=0257 | X=0097.970-0109.090 | Y=0365.820-0375.140 | 16
P=0257 | X=0445.850-0462.490 | Y=0365.820-0375.140 | 780
P=0257 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 510
P=0257 | X=0117.170-0340.120 | Y=0375.480-0386.720 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0257 | X=0117.170-0394.360 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0257 | X=0117.170-0392.150 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0257 | X=0117.170-0394.540 | Y=0422.280-0433.520 | Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn Văn Tiên có
P=0257 | X=0117.170-0310.810 | Y=0433.800-0445.040 | hiện trạng là đường nhựa, bê tông xi măng:
P=0257 | X=0097.970-0340.340 | Y=0451.340-0465.420 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0257 | X=0445.850-0462.490 | Y=0456.100-0465.420 | 660
P=0257 | X=0505.390-0522.030 | Y=0456.100-0465.420 | 440
P=0257 | X=0117.170-0370.480 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0257 | X=0117.170-0203.740 | Y=0480.380-0491.620 | >400m đến ≤600m.
P=0257 | X=0117.170-0340.340 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0257 | X=0117.170-0392.150 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0257 | X=0117.170-0394.510 | Y=0527.180-0538.420 | Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn Văn Tiên có
P=0257 | X=0117.170-0310.810 | Y=0538.490-0549.730 | hiện trạng là đường nhựa, bê tông xi măng:
P=0257 | X=0097.970-0109.090 | Y=0546.370-0555.690 | 18
P=0257 | X=0445.850-0462.490 | Y=0546.370-0555.690 | 520
P=0257 | X=0505.390-0522.030 | Y=0546.370-0555.690 | 350
P=0257 | X=0117.170-0394.600 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0257 | X=0117.170-0340.810 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0257 | X=0117.170-0402.430 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0257 | X=0117.170-0399.340 | Y=0602.810-0614.050 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn
P=0257 | X=0117.170-0366.760 | Y=0614.330-0625.570 | Văn Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=0257 | X=0097.970-0109.090 | Y=0622.230-0631.550 | 19
P=0257 | X=0445.850-0462.490 | Y=0622.230-0631.550 | 780
P=0257 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 510
P=0257 | X=0117.170-0340.120 | Y=0631.870-0643.110 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0257 | X=0117.170-0394.380 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0257 | X=0117.170-0402.430 | Y=0667.150-0678.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0257 | X=0117.170-0399.340 | Y=0678.670-0689.910 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn
P=0257 | X=0097.970-0366.730 | Y=0689.190-0701.430 | 20 Văn Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=0257 | X=0445.850-0462.490 | Y=0689.190-0698.510 | 660
P=0257 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 440
P=0257 | X=0117.170-0340.820 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông >600rn.
P=0258 | X=0117.170-0370.480 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0258 | X=0117.170-0203.760 | Y=0090.020-0101.260 | >400m đến ≤600m.
P=0258 | X=0117.170-0340.340 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0258 | X=0117.170-0402.430 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0258 | X=0117.170-0399.340 | Y=0136.850-0148.090 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn
P=0258 | X=0117.170-0366.730 | Y=0148.370-0159.610 | Văn Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=0258 | X=0097.970-0109.090 | Y=0156.250-0165.570 | 21
P=0258 | X=0445.850-0462.490 | Y=0156.250-0165.570 | 520
P=0258 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 350
P=0258 | X=0117.170-0394.600 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0258 | X=0117.170-0343.460 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0258 | X=0233.140-0302.120 | Y=0200.950-0212.190 | Đường Nguyễn
P=0258 | X=0321.000-0396.210 | Y=0200.950-0212.190 | Đường vào công
P=0258 | X=0097.970-0199.350 | Y=0206.710-0217.950 | 22 Đường Đồng Khởi
P=0258 | X=0437.690-0462.740 | Y=0208.590-0217.910 | 1.200
P=0258 | X=0505.390-0522.030 | Y=0208.590-0217.910 | 770
P=0258 | X=0233.140-0273.280 | Y=0212.470-0223.710 | Văn Tiên
P=0258 | X=0321.000-0375.080 | Y=0214.350-0223.670 | ty Trấn Biên
P=0258 | X=0117.170-0392.150 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0258 | X=0117.170-0398.040 | Y=0241.750-0252.990 | Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường vào công ty
P=0258 | X=0117.170-0370.090 | Y=0253.270-0264.510 | Trấn Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=0258 | X=0097.970-0109.090 | Y=0261.150-0270.470 | 23
P=0258 | X=0445.850-0462.490 | Y=0261.150-0270.470 | 780
P=0258 | X=0505.390-0522.030 | Y=0261.150-0270.470 | 510
P=0258 | X=0117.170-0340.120 | Y=0270.790-0282.030 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0258 | X=0117.170-0394.360 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0258 | X=0117.170-0392.150 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0258 | X=0117.170-0398.040 | Y=0317.620-0328.860 | Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường vào công ty
P=0258 | X=0117.170-0370.090 | Y=0329.140-0340.380 | Trấn Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=0258 | X=0097.970-0340.340 | Y=0346.660-0360.740 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0258 | X=0445.850-0462.490 | Y=0351.420-0360.740 | 660
P=0258 | X=0505.390-0522.030 | Y=0351.420-0360.740 | 440
P=0258 | X=0117.170-0370.480 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0258 | X=0117.170-0203.740 | Y=0375.480-0386.720 | >400m đến ≤600m.
P=0258 | X=0117.170-0340.340 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0258 | X=0117.170-0392.150 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0258 | X=0117.170-0398.060 | Y=0422.280-0433.520 | Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường vào công ty
P=0258 | X=0117.170-0370.090 | Y=0433.800-0445.040 | Trấn Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=0258 | X=0097.970-0109.090 | Y=0441.680-0451.000 | 25
P=0258 | X=0445.850-0462.490 | Y=0441.680-0451.000 | 520
P=0258 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 350
P=0258 | X=0117.170-0394.600 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0258 | X=0117.170-0340.810 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0258 | X=0117.170-0402.430 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0258 | X=0117.170-0370.550 | Y=0498.140-0509.380 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên đến
P=0258 | X=0117.170-0395.740 | Y=0509.660-0520.900 | Đường vào công ty Trấn Biên có hiện trạng là đường nhựa, bê
P=0258 | X=0097.970-0177.330 | Y=0521.180-0532.620 | 26 tông xi măng:
P=0258 | X=0445.850-0462.490 | Y=0523.300-0532.620 | 780
P=0258 | X=0505.390-0522.030 | Y=0523.300-0532.620 | 510
P=0258 | X=0117.170-0340.120 | Y=0538.490-0549.730 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0258 | X=0117.170-0394.370 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0258 | X=0117.170-0402.430 | Y=0573.770-0585.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0258 | X=0117.170-0370.550 | Y=0585.290-0596.530 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên đến
P=0258 | X=0117.170-0395.740 | Y=0596.810-0608.050 | Đường vào công ty Trấn Biên có hiện trạng là đường nhựa, bê
P=0258 | X=0117.170-0177.330 | Y=0608.330-0619.570 | tông xi măng:
P=0258 | X=0097.970-0340.360 | Y=0625.110-0637.110 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0258 | X=0445.850-0462.490 | Y=0625.110-0634.430 | 660
P=0258 | X=0505.390-0522.030 | Y=0625.110-0634.430 | 440
P=0258 | X=0117.170-0370.480 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0258 | X=0117.170-0203.740 | Y=0654.910-0666.150 | >400m đến ≤600m.
P=0258 | X=0117.170-0340.340 | Y=0672.430-0683.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0258 | X=0117.170-0402.430 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0258 | X=0097.970-0109.090 | Y=0697.830-0707.150 | 28
P=0258 | X=0445.850-0462.490 | Y=0697.830-0707.150 | 520
P=0258 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 350
P=0258 | X=0117.170-0370.550 | Y=0701.730-0712.970 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên đến
P=0259 | X=0117.170-0395.740 | Y=0072.500-0083.740 | Đường vào công ty Trấn Biên có hiện trạng là đường nhựa, bê
P=0259 | X=0117.170-0177.330 | Y=0084.020-0095.260 | tông xi măng:
P=0259 | X=0117.170-0394.600 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0259 | X=0117.170-0343.460 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0259 | X=0233.140-0318.820 | Y=0136.850-0148.090 | Đường vào công ty
P=0259 | X=0097.970-0199.350 | Y=0142.610-0153.850 | 29 Đường Đồng Khởi
P=0259 | X=0321.000-0391.190 | Y=0142.610-0153.850 | Đường tỉnh 768
P=0259 | X=0437.690-0462.740 | Y=0144.490-0153.810 | 1.200
P=0259 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 770
P=0259 | X=0233.140-0276.660 | Y=0150.250-0159.570 | Trấn Biên
P=0259 | X=0117.170-0392.150 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0259 | X=0117.170-0402.230 | Y=0177.410-0188.650 | Khởi đoạn từ Đường vào công ty Trấn Biên đến Đường tỉnh 768
P=0259 | X=0117.170-0324.020 | Y=0188.930-0200.170 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0259 | X=0097.970-0109.090 | Y=0196.810-0206.130 | 30
P=0259 | X=0445.850-0462.490 | Y=0196.810-0206.130 | 780
P=0259 | X=0505.390-0522.030 | Y=0196.810-0206.130 | 510
P=0259 | X=0117.170-0340.340 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông <600m.
P=0259 | X=0117.170-0394.610 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông <400m.
P=0259 | X=0117.170-0392.150 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0259 | X=0117.170-0402.230 | Y=0253.270-0264.510 | Khởi đoạn từ Đường vào công ty Trấn Biên đến Đường tỉnh 768
P=0259 | X=0117.170-0324.020 | Y=0264.790-0276.030 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0259 | X=0097.970-0340.340 | Y=0282.340-0296.420 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0259 | X=0445.850-0462.490 | Y=0287.100-0296.420 | 660
