TABLE=006 | AREA=Phường Hố Nai | SECTION=agricultural | SEGMENTS=1
P=0199 | X=0505.390-0522.030 | Y=0635.670-0644.990 | 350
P=0199 | X=0107.330-0384.740 | Y=0645.310-0656.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0199 | X=0107.330-0330.970 | Y=0662.830-0674.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0199 | X=0107.330-0426.940 | Y=0680.830-0692.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0199 | X=0095.570-0413.020 | Y=0692.350-0703.590 | 5 Điểu Xiển đoạn từ Ranh phường Hố Nai đến Đường Bắc Sơn - Long
P=0199 | X=0461.210-0477.850 | Y=0694.230-0703.550 | 780
P=0199 | X=0505.390-0522.030 | Y=0694.230-0703.550 | 510
P=0199 | X=0107.330-0345.370 | Y=0703.890-0715.130 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0200 | X=0107.330-0330.240 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0200 | X=0107.330-0384.500 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0200 | X=0107.330-0426.940 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0200 | X=0107.330-0413.020 | Y=0125.810-0137.050 | Điểu Xiển đoạn từ Ranh phường Hố Nai đến Đường Bắc Sơn - Long
P=0200 | X=0107.330-0345.370 | Y=0137.330-0148.570 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0200 | X=0095.570-0330.500 | Y=0154.850-0168.930 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0200 | X=0461.210-0477.850 | Y=0159.610-0168.930 | 660
P=0200 | X=0505.390-0522.030 | Y=0159.610-0168.930 | 440
P=0200 | X=0107.330-0413.750 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0200 | X=0107.330-0140.850 | Y=0183.650-0194.890 | ≤600m.
P=0200 | X=0107.330-0330.500 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0200 | X=0107.330-0426.940 | Y=0219.190-0230.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0200 | X=0107.330-0413.020 | Y=0230.710-0241.950 | Điểu Xiển đoạn từ Ranh phường Hố Nai đến Đường Bắc Sơn - Long
P=0200 | X=0107.330-0345.370 | Y=0242.230-0253.470 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0200 | X=0095.570-0101.170 | Y=0250.110-0259.430 | 7
P=0200 | X=0461.210-0477.850 | Y=0250.110-0259.430 | 520
P=0200 | X=0505.390-0522.030 | Y=0250.110-0259.430 | 350
P=0200 | X=0107.330-0384.740 | Y=0259.750-0270.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0200 | X=0107.330-0333.620 | Y=0277.270-0288.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0200 | X=0107.330-0176.310 | Y=0295.300-0306.540 | Đường Nguyễn
P=0200 | X=0272.020-0377.260 | Y=0301.060-0312.300 | Đường Hoàng Văn Bổn
P=0200 | X=0095.570-0101.170 | Y=0302.940-0312.260 | 8
P=0200 | X=0203.830-0246.900 | Y=0302.940-0312.260 | Quốc lộ 1
P=0200 | X=0453.050-0478.100 | Y=0302.940-0312.260 | 1.200
P=0200 | X=0505.390-0522.030 | Y=0302.940-0312.260 | 770
P=0200 | X=0107.330-0155.900 | Y=0306.820-0318.060 | Trường Tộ
P=0200 | X=0107.330-0392.870 | Y=0324.820-0336.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0200 | X=0107.330-0426.460 | Y=0336.340-0347.580 | Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có hiện trạng
P=0200 | X=0107.330-0253.660 | Y=0347.860-0359.100 | là đường nhựa, bê tông xi măng:
P=0200 | X=0095.570-0101.170 | Y=0355.740-0365.060 | 9
P=0200 | X=0461.210-0477.850 | Y=0355.740-0365.060 | 780
P=0200 | X=0505.390-0522.030 | Y=0355.740-0365.060 | 510
P=0200 | X=0107.330-0330.240 | Y=0365.400-0376.640 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0200 | X=0107.330-0384.500 | Y=0382.920-0394.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0200 | X=0107.330-0392.870 | Y=0400.920-0412.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0200 | X=0107.330-0426.460 | Y=0412.200-0423.440 | Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có hiện trạng
P=0200 | X=0107.330-0253.660 | Y=0423.720-0434.960 | là đường nhựa, bê tông xi măng:
P=0200 | X=0092.900-0330.500 | Y=0441.240-0455.560 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0200 | X=0461.210-0477.850 | Y=0446.240-0455.560 | 660
P=0200 | X=0505.390-0522.030 | Y=0446.240-0455.560 | 440
P=0200 | X=0107.330-0413.750 | Y=0458.780-0470.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0200 | X=0107.330-0140.850 | Y=0470.300-0481.540 | ≤600m.
P=0200 | X=0107.330-0330.500 | Y=0487.820-0499.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0200 | X=0107.330-0392.870 | Y=0505.820-0517.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0200 | X=0107.330-0426.460 | Y=0517.340-0528.580 | Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có hiện trạng
P=0200 | X=0107.330-0253.660 | Y=0528.860-0540.100 | là đường nhựa, bê tông xi măng:
P=0200 | X=0092.900-0104.020 | Y=0536.770-0546.090 | 11
P=0200 | X=0461.210-0477.850 | Y=0536.770-0546.090 | 520
P=0200 | X=0505.390-0522.030 | Y=0536.770-0546.090 | 350
P=0200 | X=0107.330-0384.740 | Y=0546.410-0557.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0200 | X=0107.330-0330.970 | Y=0563.930-0575.170 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0200 | X=0107.330-0426.940 | Y=0581.930-0593.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0200 | X=0107.330-0416.620 | Y=0593.450-0604.690 | Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có
P=0200 | X=0107.330-0300.940 | Y=0604.970-0616.210 | hiện trạng là đường nhựa, bê tông xi măng:
P=0200 | X=0092.900-0104.020 | Y=0612.850-0622.170 | 12
P=0200 | X=0461.210-0477.850 | Y=0612.850-0622.170 | 780
P=0200 | X=0505.390-0522.030 | Y=0612.850-0622.170 | 510
P=0200 | X=0107.330-0330.240 | Y=0622.270-0633.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0200 | X=0107.330-0384.500 | Y=0639.790-0651.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0200 | X=0107.330-0426.940 | Y=0657.790-0669.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0200 | X=0107.330-0416.620 | Y=0669.310-0680.550 | Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có
P=0200 | X=0092.900-0300.940 | Y=0680.070-0692.070 | 13 hiện trạng là đường nhựa, bê tông xi măng:
P=0200 | X=0461.210-0477.850 | Y=0680.070-0689.390 | 660
P=0200 | X=0505.390-0522.030 | Y=0680.070-0689.390 | 440
P=0200 | X=0107.330-0330.510 | Y=0698.350-0709.590 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0201 | X=0107.330-0413.750 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0201 | X=0107.330-0140.850 | Y=0090.260-0101.500 | ≤600m.
P=0201 | X=0107.330-0330.500 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0201 | X=0107.330-0426.940 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0201 | X=0107.330-0416.620 | Y=0137.330-0148.570 | Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có
P=0201 | X=0107.330-0300.940 | Y=0148.850-0160.090 | hiện trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0092.900-0104.020 | Y=0156.730-0166.050 | 14
P=0201 | X=0461.210-0477.850 | Y=0156.730-0166.050 | 520
P=0201 | X=0505.390-0522.030 | Y=0156.730-0166.050 | 350
P=0201 | X=0107.330-0384.740 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0201 | X=0107.330-0333.620 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0201 | X=0203.830-0235.590 | Y=0201.670-0212.910 | Đường
P=0201 | X=0107.330-0191.900 | Y=0207.430-0218.670 | Đường Hoàng Văn
P=0201 | X=0272.020-0413.260 | Y=0207.430-0218.670 | Giáp ranh Nhà máy nước Thiện
P=0201 | X=0092.900-0104.020 | Y=0215.070-0224.390 | 15
P=0201 | X=0203.830-0238.260 | Y=0215.070-0224.390 | Nguyễn
P=0201 | X=0453.050-0478.090 | Y=0215.070-0224.390 | 1.200
P=0201 | X=0505.390-0522.030 | Y=0215.070-0224.390 | 770
P=0201 | X=0107.330-0125.170 | Y=0220.830-0230.150 | Bổn
P=0201 | X=0272.020-0289.380 | Y=0220.830-0230.150 | Tân
P=0201 | X=0203.830-0252.430 | Y=0224.710-0235.950 | Trường Tộ
P=0201 | X=0107.330-0429.140 | Y=0242.710-0253.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn Bổn
P=0201 | X=0107.330-0428.170 | Y=0254.230-0265.470 | đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà máy nước Thiện
P=0201 | X=0107.330-0334.330 | Y=0265.750-0276.990 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0092.900-0104.020 | Y=0273.630-0282.950 | 16
P=0201 | X=0461.210-0477.850 | Y=0273.630-0282.950 | 780
P=0201 | X=0505.390-0522.030 | Y=0273.630-0282.950 | 510
P=0201 | X=0107.330-0330.240 | Y=0283.300-0294.540 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0201 | X=0107.330-0384.500 | Y=0300.820-0312.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0201 | X=0107.330-0429.140 | Y=0318.820-0330.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn Bổn
P=0201 | X=0107.330-0428.170 | Y=0330.340-0341.580 | đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà máy nước Thiện
P=0201 | X=0107.330-0334.330 | Y=0341.860-0353.100 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0092.900-0330.500 | Y=0359.380-0373.460 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0201 | X=0461.210-0477.850 | Y=0364.140-0373.460 | 660
P=0201 | X=0505.390-0522.030 | Y=0364.140-0373.460 | 440
P=0201 | X=0107.330-0413.750 | Y=0376.920-0388.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0201 | X=0107.330-0140.850 | Y=0388.200-0399.440 | ≤600m.
P=0201 | X=0107.330-0330.500 | Y=0405.720-0416.960 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0201 | X=0107.330-0429.140 | Y=0423.720-0434.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn Bổn
P=0201 | X=0107.330-0426.490 | Y=0435.240-0446.480 | đoạn từ đường Nguyễn Trường Tộ đến Giáp ranh Nhà máy nước Thiện
P=0201 | X=0107.330-0334.330 | Y=0446.760-0458.000 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0092.900-0104.020 | Y=0454.660-0463.980 | 18
P=0201 | X=0461.210-0477.850 | Y=0454.660-0463.980 | 520
P=0201 | X=0505.390-0522.030 | Y=0454.660-0463.980 | 350
P=0201 | X=0107.330-0384.740 | Y=0464.300-0475.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0201 | X=0107.330-0330.970 | Y=0481.820-0493.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0201 | X=0107.330-0426.950 | Y=0499.820-0511.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0201 | X=0107.330-0425.240 | Y=0511.340-0522.580 | Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà
P=0201 | X=0107.330-0410.430 | Y=0522.860-0534.100 | máy nước Thiện Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0092.900-0104.020 | Y=0530.740-0540.060 | 19
P=0201 | X=0461.210-0477.850 | Y=0530.740-0540.060 | 780
P=0201 | X=0505.390-0522.030 | Y=0530.740-0540.060 | 510
P=0201 | X=0107.330-0330.240 | Y=0540.410-0551.650 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0201 | X=0107.330-0384.500 | Y=0557.930-0569.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0201 | X=0107.330-0426.940 | Y=0575.930-0587.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0201 | X=0107.330-0425.240 | Y=0587.450-0598.690 | Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà
P=0201 | X=0107.330-0410.430 | Y=0598.970-0610.210 | máy nước Thiện Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0092.900-0330.500 | Y=0616.270-0630.590 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0201 | X=0461.210-0477.850 | Y=0621.270-0630.590 | 660
P=0201 | X=0505.390-0522.030 | Y=0621.270-0630.590 | 440
P=0201 | X=0107.330-0413.750 | Y=0633.790-0645.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0201 | X=0107.330-0140.850 | Y=0645.310-0656.550 | ≤600m.
P=0201 | X=0107.330-0330.500 | Y=0662.830-0674.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0201 | X=0107.330-0426.940 | Y=0680.830-0692.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0201 | X=0092.900-0425.240 | Y=0692.350-0703.590 | 21 Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà
P=0201 | X=0461.210-0477.850 | Y=0694.230-0703.550 | 520
P=0201 | X=0505.390-0522.030 | Y=0694.230-0703.550 | 350
P=0201 | X=0107.330-0410.430 | Y=0703.890-0715.130 | máy nước Thiện Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0107.330-0384.740 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0202 | X=0107.330-0333.620 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0202 | X=0203.830-0268.950 | Y=0116.170-0125.490 | Giáp ranh Nhà
P=0202 | X=0107.330-0191.900 | Y=0120.050-0131.290 | Đường Hoàng Văn
P=0202 | X=0203.830-0249.460 | Y=0125.810-0137.050 | máy nước
P=0202 | X=0272.020-0401.020 | Y=0125.810-0137.050 | Giáp ranh phường Trảng Dài
P=0202 | X=0092.900-0104.020 | Y=0127.690-0137.010 | 22
P=0202 | X=0453.050-0478.100 | Y=0127.690-0137.010 | 1.200
P=0202 | X=0505.390-0522.030 | Y=0127.690-0137.010 | 770
P=0202 | X=0107.330-0125.170 | Y=0133.450-0142.770 | Bổn
P=0202 | X=0203.830-0249.030 | Y=0139.210-0148.530 | Thiện Tân
P=0202 | X=0107.330-0429.140 | Y=0155.330-0166.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn Bổn
P=0202 | X=0107.330-0410.390 | Y=0166.850-0178.090 | đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp ranh phường
P=0202 | X=0107.330-0360.730 | Y=0178.370-0189.610 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng;
P=0202 | X=0092.900-0104.020 | Y=0186.250-0195.570 | 23
P=0202 | X=0461.210-0477.850 | Y=0186.250-0195.570 | 780
P=0202 | X=0505.390-0522.030 | Y=0186.250-0195.570 | 510
P=0202 | X=0107.330-0330.240 | Y=0195.650-0206.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0202 | X=0107.330-0384.500 | Y=0213.190-0224.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0202 | X=0107.330-0427.940 | Y=0231.190-0242.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn bản
P=0202 | X=0107.330-0410.390 | Y=0242.710-0253.950 | đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp ranh phường
P=0202 | X=0107.330-0360.730 | Y=0254.230-0265.470 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0092.900-0330.500 | Y=0271.750-0286.070 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0202 | X=0461.210-0477.850 | Y=0276.750-0286.070 | 660
P=0202 | X=0505.390-0522.030 | Y=0276.750-0286.070 | 440
P=0202 | X=0107.330-0413.750 | Y=0289.300-0300.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0202 | X=0107.330-0140.850 | Y=0300.820-0312.060 | ≤600m.
P=0202 | X=0107.330-0330.500 | Y=0318.340-0329.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0202 | X=0107.330-0429.140 | Y=0336.340-0347.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn Bổn
P=0202 | X=0107.330-0410.390 | Y=0347.860-0359.100 | đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp ranh phường
P=0202 | X=0107.330-0360.730 | Y=0359.380-0370.620 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0092.900-0104.020 | Y=0367.280-0376.600 | 25
P=0202 | X=0461.210-0477.850 | Y=0367.280-0376.600 | 520
P=0202 | X=0505.390-0522.030 | Y=0367.280-0376.600 | 350
P=0202 | X=0107.330-0384.740 | Y=0376.920-0388.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0202 | X=0107.330-0330.970 | Y=0394.200-0405.440 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0202 | X=0107.330-0426.940 | Y=0412.200-0423.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0202 | X=0107.330-0422.620 | Y=0423.720-0434.960 | Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp
P=0202 | X=0107.330-0421.960 | Y=0435.240-0446.480 | ranh phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0092.900-0104.020 | Y=0443.120-0452.440 | 26
P=0202 | X=0461.210-0477.850 | Y=0443.120-0452.440 | 780
P=0202 | X=0505.390-0522.030 | Y=0443.120-0452.440 | 510
P=0202 | X=0110.210-0332.900 | Y=0452.780-0464.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0202 | X=0107.330-0384.530 | Y=0470.300-0481.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0202 | X=0107.330-0426.940 | Y=0488.300-0499.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0202 | X=0107.330-0422.620 | Y=0499.820-0511.060 | Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp
P=0202 | X=0107.330-0421.960 | Y=0511.340-0522.580 | ranh phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0092.900-0330.500 | Y=0528.860-0542.940 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0202 | X=0461.210-0477.850 | Y=0533.620-0542.940 | 660
P=0202 | X=0505.390-0522.030 | Y=0533.620-0542.940 | 440
P=0202 | X=0107.330-0413.750 | Y=0546.410-0557.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0202 | X=0107.330-0140.850 | Y=0557.930-0569.170 | ≤600m.
P=0202 | X=0107.330-0330.500 | Y=0575.450-0586.690 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0202 | X=0107.330-0426.940 | Y=0593.450-0604.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0202 | X=0107.330-0422.620 | Y=0604.970-0616.210 | Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp
P=0202 | X=0107.330-0421.960 | Y=0616.270-0627.510 | ranh phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0092.900-0104.020 | Y=0624.150-0633.470 | 28
P=0202 | X=0461.210-0477.850 | Y=0624.150-0633.470 | 520
P=0202 | X=0505.390-0522.030 | Y=0624.150-0633.470 | 350
P=0202 | X=0107.330-0384.740 | Y=0633.790-0645.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0202 | X=0107.330-0333.620 | Y=0651.310-0662.550 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0202 | X=0092.900-0246.900 | Y=0669.310-0680.550 | 29 Đường Ngô Sĩ Liên Quốc lộ 1
P=0202 | X=0272.020-0349.880 | Y=0669.310-0680.550 | Đường Điểu Xiển
P=0202 | X=0453.050-0478.100 | Y=0671.190-0680.510 | 1.200
P=0202 | X=0505.390-0522.030 | Y=0671.190-0680.510 | 770
P=0202 | X=0107.330-0410.820 | Y=0687.310-0698.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Sĩ Liên
P=0202 | X=0092.900-0104.020 | Y=0694.950-0704.270 | 30
P=0202 | X=0461.210-0477.850 | Y=0694.950-0704.270 | 780
P=0202 | X=0505.390-0522.030 | Y=0694.950-0704.270 | 510
P=0202 | X=0107.330-0420.310 | Y=0698.830-0710.070 | đoạn từ Quốc lộ 1 đến Đường Điểu Xiển có hiện trạng là đường nhựa,
P=0203 | X=0107.330-0181.410 | Y=0072.740-0083.980 | bê tông xi măng;
P=0203 | X=0107.330-0330.240 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0203 | X=0107.330-0384.530 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0203 | X=0107.330-0410.820 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Sĩ Liên
P=0203 | X=0107.330-0420.310 | Y=0137.330-0148.570 | đoạn từ Quốc lộ 1 đến Đường Điểu Xiển có hiện trạng là đường nhựa,
P=0203 | X=0107.330-0181.410 | Y=0148.850-0160.090 | bê tông xi măng;
P=0203 | X=0092.900-0330.500 | Y=0166.370-0180.450 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
