TABLE=094 | AREA=Xã Long Hà | SECTION=agricultural | SEGMENTS=1
P=2135 | X=0470.330-0481.450 | Y=0344.460-0353.780 | 91
P=2135 | X=0511.150-0522.270 | Y=0344.460-0353.780 | 15
P=2135 | X=0207.670-0233.910 | Y=0350.220-0359.540 | Riềng
P=2135 | X=0304.200-0370.430 | Y=0350.220-0359.540 | học Long Hà B
P=2135 | X=0304.200-0397.160 | Y=0368.240-0377.560 | Cách UBND xã Long
P=2135 | X=0207.670-0299.000 | Y=0372.120-0383.360 | Hết đất Trường Tiểu
P=2135 | X=0094.340-0171.970 | Y=0377.880-0389.120 | 2 Đường ĐT 757
P=2135 | X=0304.200-0391.190 | Y=0377.880-0389.120 | Hà 500m hướng xã
P=2135 | X=0423.050-0439.690 | Y=0379.760-0389.080 | 130
P=2135 | X=0470.330-0481.450 | Y=0379.760-0389.080 | 91
P=2135 | X=0511.150-0522.270 | Y=0379.760-0389.080 | 15
P=2135 | X=0207.670-0273.900 | Y=0385.520-0394.840 | học Long Hà B
P=2135 | X=0304.200-0351.080 | Y=0391.280-0400.600 | Phú Riềng
P=2135 | X=0207.670-0300.630 | Y=0409.280-0418.600 | Cách UBND xã Long
P=2135 | X=0304.200-0388.110 | Y=0413.160-0424.400 | Hết ranh đất trụ sở
P=2135 | X=0094.340-0171.970 | Y=0418.920-0430.160 | 3 Đường ĐT 757
P=2135 | X=0207.670-0294.670 | Y=0418.920-0430.160 | Hà 500m hướng xã
P=2135 | X=0423.050-0439.690 | Y=0420.800-0430.120 | 130
P=2135 | X=0470.330-0481.450 | Y=0420.800-0430.120 | 91
P=2135 | X=0511.150-0522.270 | Y=0420.800-0430.120 | 15
P=2135 | X=0304.200-0386.590 | Y=0426.560-0435.880 | UBND xã Long Hà
P=2135 | X=0207.670-0254.580 | Y=0432.080-0441.400 | Phú Riềng
P=2135 | X=0304.200-0379.430 | Y=0448.200-0459.440 | Hết ranh Trường
P=2135 | X=0207.670-0291.590 | Y=0453.980-0465.220 | Hết ranh đất trụ sở
P=2135 | X=0094.340-0171.970 | Y=0459.740-0470.980 | 4 Đường ĐT 757
P=2135 | X=0304.200-0383.990 | Y=0461.620-0470.940 | THPT Ngô Quyền
P=2135 | X=0423.050-0439.690 | Y=0461.620-0470.940 | 130
P=2135 | X=0470.330-0481.450 | Y=0461.620-0470.940 | 91
P=2135 | X=0511.150-0522.270 | Y=0461.620-0470.940 | 15
P=2135 | X=0207.670-0290.060 | Y=0467.380-0476.700 | UBND xã Long Hà
P=2135 | X=0304.200-0379.320 | Y=0471.260-0482.500 | (điểm trường cũ)
P=2135 | X=0207.670-0282.910 | Y=0489.260-0500.500 | Hết ranh Trường
P=2135 | X=0094.340-0171.970 | Y=0500.780-0512.020 | 5 Đường ĐT 757
P=2135 | X=0207.670-0287.470 | Y=0502.660-0511.980 | THPT Ngô Quyền
P=2135 | X=0304.200-0371.710 | Y=0502.660-0511.980 | Cầu Trà Thanh
P=2135 | X=0423.050-0439.690 | Y=0502.660-0511.980 | 130
P=2135 | X=0470.330-0481.450 | Y=0502.660-0511.980 | 91
P=2135 | X=0511.150-0522.270 | Y=0502.660-0511.980 | 15
P=2135 | X=0207.670-0282.820 | Y=0512.300-0523.540 | (điểm trường cũ)
P=2135 | X=0207.670-0391.100 | Y=0530.300-0541.540 | Từ ngã ba đường ĐT Đầu đập NT6 thuộc
P=2135 | X=0094.340-0181.480 | Y=0541.850-0553.090 | 6 Đường ĐT 757 B
P=2135 | X=0207.670-0376.750 | Y=0541.850-0553.090 | 757 đi xã Long Bình Thôn 11 và thôn
P=2135 | X=0423.050-0439.690 | Y=0543.730-0553.050 | 130
P=2135 | X=0470.330-0481.450 | Y=0543.730-0553.050 | 91
P=2135 | X=0511.150-0522.270 | Y=0543.730-0553.050 | 15
P=2135 | X=0207.670-0224.950 | Y=0553.370-0564.610 | (cũ)
P=2135 | X=0304.200-0357.580 | Y=0555.250-0564.570 | Thanh Long
P=2135 | X=0207.670-0294.600 | Y=0571.370-0582.610 | Đầu đập NT6 thuộc
P=2135 | X=0304.200-0381.580 | Y=0577.130-0588.370 | Chòi mũ tổ 8, Đội
P=2135 | X=0094.340-0181.490 | Y=0582.890-0594.130 | 7 Đường ĐT 75 7B
P=2135 | X=0207.670-0280.220 | Y=0584.770-0594.090 | Thôn 11 và thôn
P=2135 | X=0423.050-0439.690 | Y=0584.770-0594.090 | 130
P=2135 | X=0470.330-0481.450 | Y=0584.770-0594.090 | 91
P=2135 | X=0511.150-0522.270 | Y=0584.770-0594.090 | 15
P=2135 | X=0304.200-0341.970 | Y=0590.530-0599.850 | Long Hà
P=2135 | X=0207.670-0261.050 | Y=0596.290-0605.610 | Thanh Long
P=2135 | X=0207.670-0285.060 | Y=0612.410-0623.650 | Chòi mù tổ 8, Đội
P=2135 | X=0304.200-0384.910 | Y=0614.290-0623.610 | Giáp ranh xã Bình
P=2135 | X=0094.340-0175.970 | Y=0618.190-0629.430 | 8 Đường ĐT757B
P=2135 | X=0423.050-0439.690 | Y=0620.070-0629.390 | 130
P=2135 | X=0470.330-0481.450 | Y=0620.070-0629.390 | 91
P=2135 | X=0511.150-0522.270 | Y=0620.070-0629.390 | 15
P=2135 | X=0207.670-0245.440 | Y=0625.830-0635.150 | Long Hà
P=2135 | X=0304.200-0321.560 | Y=0625.830-0635.150 | Tân
P=2135 | X=0304.200-0383.270 | Y=0641.950-0653.190 | Ngã ba đường bê
P=2135 | X=0104.690-0193.110 | Y=0647.710-0658.950 | Đường liên xã Long
P=2135 | X=0207.670-0285.260 | Y=0655.350-0664.670 | Giấy ranh xã Phú
P=2135 | X=0304.200-0399.550 | Y=0655.350-0664.670 | tông thôn Long Tân 2
P=2135 | X=0094.340-0188.740 | Y=0659.230-0670.470 | 9 Tân (cũ) đi Bù Nho
P=2135 | X=0423.050-0439.690 | Y=0661.110-0670.430 | 100
P=2135 | X=0470.330-0481.450 | Y=0661.110-0670.430 | 70
P=2135 | X=0511.150-0522.270 | Y=0661.110-0670.430 | 15
P=2135 | X=0207.670-0233.910 | Y=0666.630-0675.950 | Riềng
P=2135 | X=0304.200-0380.370 | Y=0666.630-0675.950 | (Ngã ba Nhà ông
P=2135 | X=0104.690-0121.970 | Y=0670.510-0681.750 | (cũ)
P=2135 | X=0304.200-0327.710 | Y=0678.150-0687.470 | Tính)
P=2135 | X=0104.690-0286.750 | Y=0694.270-0705.510 | Đường liên xã Long Ngã ba đường bê
P=2135 | X=0304.200-0385.140 | Y=0696.150-0705.470 | Giáp ranh khu QH
P=2135 | X=0091.460-0102.580 | Y=0701.940-0711.260 | 10
P=2135 | X=0423.050-0439.690 | Y=0701.940-0711.260 | 100
P=2135 | X=0470.330-0481.450 | Y=0701.940-0711.260 | 70
P=2135 | X=0511.150-0522.270 | Y=0701.940-0711.260 | 15
P=2135 | X=0104.690-0380.090 | Y=0705.810-0717.050 | Tân (cũ) - Bù Nho (cũ) tông thôn Long Tân 2 đấu giá TTHC xã
P=2136 | X=0104.690-0283.870 | Y=0072.740-0083.980 | (Khu dân cư thôn Long (Ngã ba Nhà ông
P=2136 | X=0304.200-0369.490 | Y=0074.620-0083.940 | (góc phía Bắc)
P=2136 | X=0104.690-0231.180 | Y=0086.140-0095.460 | Tân 1, thôn Long Tân Tính)
P=2136 | X=0104.690-0113.570 | Y=0097.660-0106.980 | 2)
P=2136 | X=0104.690-0193.090 | Y=0113.780-0125.020 | Đường liên xã Long
P=2136 | X=0207.670-0288.610 | Y=0121.450-0130.770 | Giáp ranh khu QH
P=2136 | X=0304.200-0377.240 | Y=0121.450-0130.770 | Ngã ba tiếp giáp
P=2136 | X=0104.690-0204.290 | Y=0125.330-0136.570 | Tân (cũ) - Bù Nho (cũ)
P=2136 | X=0207.670-0283.560 | Y=0131.090-0142.330 | đấu giá TTHC xã
P=2136 | X=0304.200-0373.660 | Y=0131.090-0142.330 | đường QH số 2
P=2136 | X=0091.460-0102.580 | Y=0132.970-0142.290 | 11
P=2136 | X=0423.050-0439.690 | Y=0132.970-0142.290 | 100
P=2136 | X=0470.330-0481.450 | Y=0132.970-0142.290 | 70
P=2136 | X=0511.150-0522.270 | Y=0132.970-0142.290 | 15
P=2136 | X=0104.690-0182.710 | Y=0136.850-0148.090 | (Đoạn UBND xã -
P=2136 | X=0207.670-0337.770 | Y=0144.490-0153.810 | (góc phía Tây Nam) (TTTM)
P=2136 | X=0104.690-0134.900 | Y=0150.250-0159.570 | TTTM)
P=2136 | X=0104.690-0193.100 | Y=0166.370-0177.610 | Đường liên xã Long
P=2136 | X=0304.200-0399.330 | Y=0168.250-0177.570 | Ngã ba tạp hóa Hùng
P=2136 | X=0207.670-0280.740 | Y=0174.010-0183.330 | Ngã ba tiếp giáp
P=2136 | X=0104.690-0204.290 | Y=0177.650-0188.890 | Tân (cũ) - Bù Nho (cũ)
P=2136 | X=0304.200-0381.100 | Y=0177.650-0188.890 | Kiều (thửa đất số
P=2136 | X=0207.670-0277.140 | Y=0183.410-0194.650 | đường QH số 2
P=2136 | X=0091.460-0102.580 | Y=0185.290-0194.610 | 12
P=2136 | X=0423.050-0439.690 | Y=0185.290-0194.610 | 100
P=2136 | X=0470.330-0481.450 | Y=0185.290-0194.610 | 70
P=2136 | X=0511.150-0522.270 | Y=0185.290-0194.610 | 15
P=2136 | X=0104.690-0193.160 | Y=0189.170-0200.410 | (Khu dân cư thôn 4,
P=2136 | X=0304.200-0382.540 | Y=0189.170-0200.410 | 235, tờ bản đồ số
P=2136 | X=0207.670-0241.240 | Y=0196.810-0206.130 | (TTTM)
P=2136 | X=0104.690-0135.890 | Y=0202.590-0211.910 | thôn 5)
P=2136 | X=0304.200-0324.120 | Y=0202.590-0211.910 | 118)
P=2136 | X=0207.670-0276.190 | Y=0220.590-0229.910 | Ngã ba tạp hóa
P=2136 | X=0207.670-0393.340 | Y=0230.230-0241.470 | Hưng Kiều (thửa đất Ngã ba khu đất Hậu
P=2136 | X=0104.690-0188.760 | Y=0232.110-0241.430 | Trung tâm xã Long
P=2136 | X=0091.460-0102.580 | Y=0237.870-0247.190 | 13
P=2136 | X=0423.050-0439.690 | Y=0237.870-0247.190 | 100
P=2136 | X=0470.330-0481.450 | Y=0237.870-0247.190 | 70
P=2136 | X=0511.150-0522.270 | Y=0237.870-0247.190 | 15
P=2136 | X=0104.690-0183.870 | Y=0241.750-0252.990 | Tân (cũ) (kéo dài)
P=2136 | X=0207.670-0366.160 | Y=0241.750-0252.990 | số 235, tờ bản đồ số Cần Quân Sự
P=2136 | X=0207.670-0227.590 | Y=0255.150-0264.470 | 118)
P=2136 | X=0207.670-0389.990 | Y=0271.270-0282.510 | Tiếp giáp đường liên Ngã ba Đường vào
P=2136 | X=0104.690-0389.960 | Y=0282.820-0294.060 | Đường quy hoạch số 2 xã Long Tân (cũ) - trường THCS Long
P=2136 | X=0091.460-0287.950 | Y=0294.340-0305.580 | 14 (trung tâm thương mại Bù Nho (cũ) (thửa
P=2136 | X=0304.200-0387.820 | Y=0296.220-0305.540 | Tân (hết ranh thửa
P=2136 | X=0423.050-0439.690 | Y=0296.220-0305.540 | 100
P=2136 | X=0470.330-0481.450 | Y=0296.220-0305.540 | 70
P=2136 | X=0511.150-0522.270 | Y=0296.220-0305.540 | 15
P=2136 | X=0104.690-0163.730 | Y=0305.860-0317.100 | Long Tân cũ)
P=2136 | X=0207.670-0399.350 | Y=0305.860-0317.100 | đất số 97, tờ bản đồ đất số 527, tờ bản đồ
P=2136 | X=0207.670-0240.790 | Y=0319.260-0328.580 | số 118)
P=2136 | X=0304.200-0337.320 | Y=0319.260-0328.580 | số 118)
P=2136 | X=0104.690-0184.230 | Y=0335.380-0346.620 | Đường QH số 3,4
P=2136 | X=0091.460-0189.220 | Y=0346.900-0358.140 | 15 (Trung tâm thương
P=2136 | X=0207.670-0257.940 | Y=0348.780-0358.100 | Toàn tuyến
P=2136 | X=0423.050-0439.690 | Y=0348.780-0358.100 | 100
P=2136 | X=0470.330-0481.450 | Y=0348.780-0358.100 | 70
P=2136 | X=0511.150-0522.270 | Y=0348.780-0358.100 | 15
P=2136 | X=0104.690-0186.040 | Y=0358.180-0369.420 | mại Long Tân (cũ)
P=2136 | X=0104.690-0198.140 | Y=0376.200-0387.440 | Đường QH số 5, 6, 7
P=2136 | X=0091.460-0189.220 | Y=0387.720-0398.960 | 16 (Trung tâm thương
P=2136 | X=0207.670-0257.940 | Y=0389.600-0398.920 | Toàn tuyến
P=2136 | X=0423.050-0439.690 | Y=0389.600-0398.920 | 100
P=2136 | X=0470.330-0481.450 | Y=0389.600-0398.920 | 70
P=2136 | X=0511.150-0522.270 | Y=0389.600-0398.920 | 15
P=2136 | X=0104.690-0186.040 | Y=0399.240-0410.480 | mại Long Tân (cũ)
P=2136 | X=0104.690-0205.590 | Y=0417.240-0428.480 | Đường liên huyện Phú
P=2136 | X=0104.690-0280.740 | Y=0428.760-0440.000 | Riềng (cũ) - cầu Long Ngã ba tiếp giáp
P=2136 | X=0091.460-0102.580 | Y=0436.400-0445.720 | 17
P=2136 | X=0304.200-0367.640 | Y=0436.400-0445.720 | Cầu Long Tân
P=2136 | X=0423.050-0439.690 | Y=0436.400-0445.720 | 100
P=2136 | X=0470.330-0481.450 | Y=0436.400-0445.720 | 70
P=2136 | X=0511.150-0522.270 | Y=0436.400-0445.720 | 15
P=2136 | X=0104.690-0257.230 | Y=0440.280-0451.520 | Tân đi Tân Hưng (Hớn đường 327
P=2136 | X=0104.690-0152.680 | Y=0451.820-0463.060 | Quản (cũ))
P=2136 | X=0104.690-0205.350 | Y=0469.820-0481.060 | Đường giao thông đấu
P=2136 | X=0104.690-0206.040 | Y=0481.340-0492.580 | nối trục đường ĐT 757
P=2136 | X=0091.460-0102.580 | Y=0488.980-0498.300 | 18
P=2136 | X=0207.670-0257.940 | Y=0488.980-0498.300 | Toàn tuyến
P=2136 | X=0428.810-0439.930 | Y=0488.980-0498.300 | 80
P=2136 | X=0470.330-0481.450 | Y=0488.980-0498.300 | 55
P=2136 | X=0511.150-0522.270 | Y=0488.980-0498.300 | 15
P=2136 | X=0104.690-0195.500 | Y=0492.860-0504.100 | và ĐT 757B phạm vi
P=2136 | X=0104.690-0129.650 | Y=0506.260-0515.580 | 200m
P=2136 | X=0304.200-0376.980 | Y=0524.260-0533.580 | Hết ranh Cao su
P=2136 | X=0304.200-0396.660 | Y=0535.810-0545.130 | thuộc Công ty TNHH
P=2136 | X=0104.690-0196.690 | Y=0539.690-0550.930 | Đường dọc Sông Bé
P=2136 | X=0207.670-0302.890 | Y=0539.690-0550.930 | Từ thửa đất số 63, tờ
P=2136 | X=0091.460-0102.580 | Y=0547.330-0556.650 | 19
P=2136 | X=0304.200-0380.560 | Y=0547.330-0556.650 | MTV Cao su Phú
P=2136 | X=0423.050-0439.690 | Y=0547.330-0556.650 | 100
P=2136 | X=0470.330-0481.450 | Y=0547.330-0556.650 | 70
P=2136 | X=0511.150-0522.270 | Y=0547.330-0556.650 | 15
P=2136 | X=0104.690-0153.730 | Y=0551.210-0562.450 | giai đoạn 2
P=2136 | X=0207.670-0265.380 | Y=0551.210-0562.450 | bản đồ số 14
P=2136 | X=0304.200-0394.550 | Y=0558.850-0568.170 | Riềng tiếp giáp thửa
P=2136 | X=0304.200-0344.360 | Y=0570.130-0579.450 | 61, tờ 63
P=2136 | X=0304.200-0394.830 | Y=0588.130-0597.450 | Hết ranh thửa 24, tờ
P=2136 | X=0104.690-0196.690 | Y=0592.010-0603.250 | Đường dọc Sông Bé
P=2136 | X=0207.670-0302.890 | Y=0592.010-0603.250 | Từ thửa đất số 61, tờ
P=2136 | X=0304.200-0388.790 | Y=0597.770-0609.010 | 51 tiếp giáp đường
P=2136 | X=0091.460-0102.580 | Y=0599.650-0608.970 | 20
P=2136 | X=0423.050-0439.690 | Y=0599.650-0608.970 | 100
P=2136 | X=0470.330-0481.450 | Y=0599.650-0608.970 | 70
P=2136 | X=0511.150-0522.270 | Y=0599.650-0608.970 | 15
P=2136 | X=0104.690-0153.730 | Y=0603.530-0614.770 | giai đoạn 2
P=2136 | X=0207.670-0265.380 | Y=0603.530-0614.770 | bản đồ số 63
P=2136 | X=0304.200-0334.280 | Y=0609.290-0620.530 | ĐT757
P=2136 | X=0104.690-0196.690 | Y=0627.310-0638.550 | Đường dọc Sông Bé
P=2136 | X=0304.200-0384.950 | Y=0629.190-0638.510 | Giáp ranh xã Bình
P=2136 | X=0207.670-0274.980 | Y=0633.070-0644.310 | Đường ĐT 757
P=2136 | X=0091.460-0102.580 | Y=0634.950-0644.270 | 21
P=2136 | X=0423.050-0439.690 | Y=0634.950-0644.270 | 100
P=2136 | X=0470.330-0481.450 | Y=0634.950-0644.270 | 70
P=2136 | X=0511.150-0522.270 | Y=0634.950-0644.270 | 15
P=2136 | X=0104.690-0153.730 | Y=0638.830-0650.070 | giai đoạn 3
P=2136 | X=0304.200-0321.560 | Y=0640.710-0650.030 | Tân
P=2136 | X=0104.690-0378.120 | Y=0656.830-0668.070 | Đường thôn Phu Mang Đường dọc Sông Bé Đường ĐT 757B
P=2136 | X=0091.460-0384.910 | Y=0668.350-0679.590 | 22 1 kết nối đường dọc từ ranh thửa đất số (hướng đi xã Bình
P=2136 | X=0423.050-0439.690 | Y=0670.230-0679.550 | 100
P=2136 | X=0470.330-0481.450 | Y=0670.230-0679.550 | 70
P=2136 | X=0511.150-0522.270 | Y=0670.230-0679.550 | 15
P=2136 | X=0207.670-0286.740 | Y=0679.870-0691.110 | 140, tờ bản đồ 07
P=2136 | X=0104.690-0143.180 | Y=0681.750-0691.070 | Sông Bé
P=2136 | X=0304.200-0324.830 | Y=0681.750-0691.070 | Tân)
P=2136 | X=0091.460-0196.690 | Y=0697.870-0709.110 | 23 Đường dọc Sông Bé
P=2136 | X=0207.670-0389.830 | Y=0697.870-0709.110 | Từ thửa đất số 203, Hết thửa đất số 10,
P=2136 | X=0423.050-0439.690 | Y=0699.750-0709.070 | 100
P=2136 | X=0470.330-0481.450 | Y=0699.750-0709.070 | 70
P=2136 | X=0511.150-0522.270 | Y=0699.750-0709.070 | 15
P=2137 | X=0207.670-0283.140 | Y=0072.740-0083.980 | tờ bản đồ số 130
P=2137 | X=0304.200-0379.660 | Y=0072.740-0083.980 | tờ bản đồ số 137
P=2137 | X=0104.690-0188.790 | Y=0074.620-0083.940 | từ giáp ranh huyện
P=2137 | X=0104.690-0204.960 | Y=0084.260-0095.500 | Đồng Phú (cũ) đến kết
P=2137 | X=0104.690-0201.670 | Y=0097.660-0106.980 | nối 2 KCN Long Tân -
P=2137 | X=0104.690-0142.450 | Y=0109.180-0118.500 | Long Hà
P=2137 | X=0104.690-0196.690 | Y=0125.330-0136.570 | Đường dọc Sông Bé
P=2137 | X=0207.670-0395.350 | Y=0131.090-0142.330 | Từ thửa đất số 13, tờ Hết thửa đất số 188,
P=2137 | X=0091.460-0202.210 | Y=0136.850-0148.090 | 24 giai đoạn 2 (Long Tân
P=2137 | X=0423.050-0439.690 | Y=0138.730-0148.050 | 100
P=2137 | X=0470.330-0481.450 | Y=0138.730-0148.050 | 70
P=2137 | X=0511.150-0522.270 | Y=0138.730-0148.050 | 15
P=2137 | X=0207.670-0270.900 | Y=0142.610-0153.850 | bản đồ số 115
P=2137 | X=0304.200-0379.660 | Y=0142.610-0153.850 | tờ bản đồ số 130
P=2137 | X=0104.690-0118.610 | Y=0148.370-0159.610 | cũ)
P=2137 | X=0104.690-0204.360 | Y=0166.370-0177.610 | Đường giao thông liên
P=2137 | X=0091.460-0102.580 | Y=0174.010-0183.330 | 25
P=2137 | X=0207.670-0257.940 | Y=0174.010-0183.330 | Toàn tuyến
P=2137 | X=0423.050-0439.690 | Y=0174.010-0183.330 | 100
P=2137 | X=0470.330-0481.450 | Y=0174.010-0183.330 | 70
P=2137 | X=0511.150-0522.270 | Y=0174.010-0183.330 | 15
P=2137 | X=0104.690-0115.570 | Y=0179.530-0188.850 | xã
P=2137 | X=0104.690-0204.390 | Y=0195.650-0206.890 | Các tuyến đường giao
P=2137 | X=0091.460-0257.940 | Y=0207.190-0218.430 | 26 thông còn lại trên địa Toàn tuyến
P=2137 | X=0428.810-0439.930 | Y=0209.070-0218.390 | 55
P=2137 | X=0470.330-0481.450 | Y=0209.070-0218.390 | 39
P=2137 | X=0511.150-0522.270 | Y=0209.070-0218.390 | 15
P=2137 | X=0104.690-0135.010 | Y=0220.590-0229.910 | bàn xã
