TABLE=013 | AREA=Xã An Phước | SECTION=agricultural | SEGMENTS=1
P=0420 | X=0112.610-0335.780 | Y=0667.630-0678.870 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0420 | X=0112.610-0404.860 | Y=0685.630-0696.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 2 đoạn
P=0420 | X=0098.210-0393.820 | Y=0697.150-0708.390 | 4 từ Hương lộ 21 đến Hết ranh giới xã An Phước có hiện trạng là
P=0420 | X=0452.330-0468.970 | Y=0699.030-0708.350 | 250
P=0420 | X=0505.390-0522.030 | Y=0699.030-0708.350 | 250
P=0420 | X=0112.610-0248.380 | Y=0708.690-0719.930 | đường nhựa, bê tông xi măng:
P=0421 | X=0112.610-0398.420 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0421 | X=0112.610-0336.250 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0421 | X=0112.610-0397.870 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0421 | X=0112.610-0401.180 | Y=0125.810-0137.050 | Hương lộ 2 đoạn từ Hương lộ 21 đến Hết ranh giới xã An Phước
P=0421 | X=0112.610-0319.460 | Y=0137.330-0148.570 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0421 | X=0098.210-0103.810 | Y=0145.210-0154.530 | 5
P=0421 | X=0452.330-0468.970 | Y=0145.210-0154.530 | 480
P=0421 | X=0505.390-0522.030 | Y=0145.210-0154.530 | 400
P=0421 | X=0112.610-0343.690 | Y=0154.850-0166.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0421 | X=0112.610-0389.800 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0421 | X=0112.610-0397.870 | Y=0190.370-0201.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0421 | X=0112.610-0401.180 | Y=0201.670-0212.910 | Hương lộ 2 đoạn từ Hương lộ 21 đến Hết ranh giới xã An Phước
P=0421 | X=0112.610-0319.460 | Y=0213.190-0224.430 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0421 | X=0098.210-0344.160 | Y=0230.710-0245.030 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0421 | X=0452.330-0468.970 | Y=0235.710-0245.030 | 370
P=0421 | X=0505.390-0522.030 | Y=0235.710-0245.030 | 330
P=0421 | X=0112.610-0399.500 | Y=0248.230-0259.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0421 | X=0112.610-0173.730 | Y=0259.750-0270.990 | đến ≤1.000m.
P=0421 | X=0112.610-0335.780 | Y=0277.270-0288.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0421 | X=0112.610-0397.870 | Y=0295.300-0306.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0421 | X=0112.610-0401.180 | Y=0306.820-0318.060 | Hương lộ 2 đoạn từ Hương lộ 21 đến Hết ranh giới xã An Phước
P=0421 | X=0112.610-0319.460 | Y=0318.340-0329.580 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0421 | X=0098.210-0103.810 | Y=0326.220-0335.540 | 7
P=0421 | X=0452.330-0468.970 | Y=0326.220-0335.540 | 250
P=0421 | X=0505.390-0522.030 | Y=0326.220-0335.540 | 250
P=0421 | X=0112.610-0401.070 | Y=0335.860-0347.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0421 | X=0112.610-0336.250 | Y=0353.380-0364.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0421 | X=0307.560-0386.110 | Y=0371.400-0382.640 | Đường liên xã An
P=0421 | X=0098.210-0168.850 | Y=0377.160-0388.400 | 8 Hương lộ 21
P=0421 | X=0217.030-0265.620 | Y=0379.040-0388.360 | Quốc lộ 51
P=0421 | X=0452.330-0468.970 | Y=0379.040-0388.360 | 700
P=0421 | X=0505.390-0522.030 | Y=0379.040-0388.360 | 570
P=0421 | X=0307.560-0395.440 | Y=0382.920-0394.160 | Phước - Tam An cũ
P=0421 | X=0112.610-0410.620 | Y=0400.920-0412.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 21 đoạn
P=0421 | X=0112.610-0399.580 | Y=0412.200-0423.440 | từ Quốc lộ 51 đến Đường liên xã An Phước - Tam An cũ có hiện
P=0421 | X=0112.610-0284.390 | Y=0423.720-0434.960 | trạng là đường nhựa, bê tông xi măng:
P=0421 | X=0098.210-0103.810 | Y=0431.600-0440.920 | 9
P=0421 | X=0452.330-0468.970 | Y=0431.600-0440.920 | 480
P=0421 | X=0505.390-0522.030 | Y=0431.600-0440.920 | 400
P=0421 | X=0112.610-0341.050 | Y=0441.240-0452.480 | - Có bề rộng≥5m, cách đường giao thông ≤1.000m.
P=0421 | X=0112.610-0389.800 | Y=0458.780-0470.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0421 | X=0112.610-0410.620 | Y=0476.780-0488.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 21 đoạn
P=0421 | X=0112.610-0399.580 | Y=0488.300-0499.540 | từ Quốc lộ 51 đến Đường liên xã An Phước - Tam An cũ có hiện
P=0421 | X=0112.610-0284.390 | Y=0499.820-0511.060 | trạng là đường nhựa, bê tông xi măng:
P=0421 | X=0095.570-0346.810 | Y=0517.340-0531.420 | 10 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0421 | X=0452.330-0468.970 | Y=0522.100-0531.420 | 370
P=0421 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 330
P=0421 | X=0112.610-0399.500 | Y=0534.890-0546.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0421 | X=0112.610-0173.730 | Y=0546.410-0557.650 | đến ≤1.000m.
P=0421 | X=0112.610-0335.780 | Y=0563.930-0575.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0421 | X=0112.610-0410.620 | Y=0581.930-0593.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 21 đoạn
P=0421 | X=0112.610-0399.580 | Y=0593.450-0604.690 | từ Quốc lộ 51 đến Đường liên xã An Phước - Tam An cũ có hiện
P=0421 | X=0112.610-0284.390 | Y=0604.970-0616.210 | trạng là đường nhựa, bê tông xi măng:
P=0421 | X=0095.570-0106.690 | Y=0612.850-0622.170 | 11
P=0421 | X=0452.330-0468.970 | Y=0612.850-0622.170 | 250
P=0421 | X=0505.390-0522.030 | Y=0612.850-0622.170 | 250
P=0421 | X=0112.610-0398.420 | Y=0622.270-0633.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0421 | X=0112.610-0336.250 | Y=0639.790-0651.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0421 | X=0112.610-0397.870 | Y=0657.790-0669.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0421 | X=0112.610-0397.340 | Y=0669.310-0680.550 | Hương lộ 21 đoạn từ Quốc lộ 51 đến Đường liên xã An Phước -
P=0421 | X=0095.570-0370.360 | Y=0680.070-0692.070 | 12 Tam An cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0421 | X=0452.330-0468.970 | Y=0680.070-0689.390 | 480
P=0421 | X=0505.390-0522.030 | Y=0680.070-0689.390 | 400
P=0421 | X=0112.610-0343.690 | Y=0698.350-0709.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0422 | X=0112.610-0389.800 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0422 | X=0112.610-0397.870 | Y=0096.740-0107.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0422 | X=0112.610-0397.340 | Y=0108.260-0119.500 | Hương lộ 21 đoạn từ Quốc lộ 51 đến Đường liên xã An Phước -
P=0422 | X=0112.610-0370.340 | Y=0119.810-0131.050 | Tam An cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0422 | X=0095.570-0344.160 | Y=0137.330-0151.410 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0422 | X=0452.330-0468.970 | Y=0142.090-0151.410 | 370
P=0422 | X=0505.390-0522.030 | Y=0142.090-0151.410 | 330
P=0422 | X=0112.610-0399.500 | Y=0154.850-0166.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0422 | X=0112.610-0173.730 | Y=0166.370-0177.610 | đến ≤1.000m.
P=0422 | X=0112.610-0335.780 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0422 | X=0112.610-0397.870 | Y=0201.670-0212.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0422 | X=0112.610-0397.340 | Y=0213.190-0224.430 | Hương lộ 21 đoạn từ Quốc lộ 51 đến Đường liên xã An Phước -
P=0422 | X=0112.610-0370.340 | Y=0224.710-0235.950 | Tam An cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0422 | X=0095.570-0106.690 | Y=0232.590-0241.910 | 14
P=0422 | X=0452.330-0468.970 | Y=0232.590-0241.910 | 250
P=0422 | X=0505.390-0522.030 | Y=0232.590-0241.910 | 250
P=0422 | X=0112.610-0401.070 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0422 | X=0112.610-0336.270 | Y=0259.750-0270.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0422 | X=0217.030-0393.820 | Y=0277.750-0288.990 | Đường liên xã An Hết ranh giới xã An
P=0422 | X=0095.570-0168.850 | Y=0283.540-0294.780 | 15 Hương lộ 21
P=0422 | X=0452.330-0468.970 | Y=0285.420-0294.740 | 700
P=0422 | X=0505.390-0522.030 | Y=0285.420-0294.740 | 570
P=0422 | X=0217.030-0338.280 | Y=0289.300-0300.540 | Phước - Tam An cũ Phước
P=0422 | X=0112.610-0410.620 | Y=0307.300-0318.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 21 đoạn
P=0422 | X=0112.610-0402.210 | Y=0318.820-0330.060 | từ Đường liên xã An Phước - Tam An cũ đến Hết ranh giới xã An
P=0422 | X=0112.610-0352.810 | Y=0330.340-0341.580 | Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0422 | X=0095.570-0106.690 | Y=0338.220-0347.540 | 16
P=0422 | X=0452.330-0468.970 | Y=0338.220-0347.540 | 480
P=0422 | X=0505.390-0522.030 | Y=0338.220-0347.540 | 400
P=0422 | X=0112.610-0343.690 | Y=0347.860-0359.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0422 | X=0112.610-0389.800 | Y=0365.400-0376.640 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0422 | X=0112.610-0410.620 | Y=0383.400-0394.640 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 21 đoạn
P=0422 | X=0112.610-0402.210 | Y=0394.920-0406.160 | từ Đường liên xã An Phước - Tam An cũ đến Hết ranh giới xã An
P=0422 | X=0112.610-0352.810 | Y=0406.200-0417.440 | Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0422 | X=0095.570-0346.810 | Y=0423.720-0438.040 | 17 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0422 | X=0452.330-0468.970 | Y=0428.720-0438.040 | 370
P=0422 | X=0505.390-0522.030 | Y=0428.720-0438.040 | 330
P=0422 | X=0112.610-0399.500 | Y=0441.240-0452.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0422 | X=0112.610-0173.730 | Y=0452.780-0464.020 | đến ≤1.000m.
P=0422 | X=0112.610-0335.780 | Y=0470.300-0481.540 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0422 | X=0112.610-0410.620 | Y=0488.300-0499.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 21 đoạn
P=0422 | X=0112.610-0402.210 | Y=0499.820-0511.060 | từ Đường liên xã An Phước - Tam An cũ đến Hết ranh giới xã An
P=0422 | X=0112.610-0352.320 | Y=0511.340-0522.580 | Phước có hiện hạng là đường nhựa, bê tông xi măng:
P=0422 | X=0095.570-0106.690 | Y=0519.220-0528.540 | 18
P=0422 | X=0452.330-0468.970 | Y=0519.220-0528.540 | 250
P=0422 | X=0505.390-0522.030 | Y=0519.220-0528.540 | 250
P=0422 | X=0112.610-0401.070 | Y=0528.860-0540.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0422 | X=0112.610-0336.250 | Y=0546.410-0557.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0422 | X=0112.610-0397.870 | Y=0564.410-0575.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0422 | X=0112.610-0397.190 | Y=0575.930-0587.170 | Hương lộ 21 đoạn từ Đường liên xã An Phước - Tam An cũ đến
P=0422 | X=0112.610-0408.680 | Y=0587.450-0598.690 | hết ranh giới xã An Phước có hiện hạng là đường nhựa, bê tông xi
P=0422 | X=0095.570-0140.610 | Y=0598.970-0610.410 | 19 măng:
P=0422 | X=0452.330-0468.970 | Y=0601.090-0610.410 | 480
P=0422 | X=0505.390-0522.030 | Y=0601.090-0610.410 | 400
P=0422 | X=0112.610-0343.690 | Y=0616.270-0627.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0422 | X=0112.610-0389.800 | Y=0633.790-0645.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0422 | X=0112.610-0397.870 | Y=0651.790-0663.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0422 | X=0112.610-0397.190 | Y=0663.310-0674.550 | Hương lộ 21 đoạn từ Đường liên xã An Phước - Tam An cũ đến
P=0422 | X=0095.570-0411.100 | Y=0674.830-0689.150 | 20 Hết ranh giới xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0422 | X=0452.330-0468.970 | Y=0679.830-0689.150 | 370
P=0422 | X=0505.390-0522.030 | Y=0679.830-0689.150 | 330
P=0422 | X=0112.610-0140.610 | Y=0686.350-0697.590 | măng:
P=0422 | X=0112.610-0344.160 | Y=0703.890-0715.130 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0423 | X=0112.610-0399.500 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0423 | X=0112.610-0173.730 | Y=0090.260-0101.500 | đến ≤1.000m.
P=0423 | X=0112.610-0335.780 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0423 | X=0112.610-0397.870 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0423 | X=0112.610-0397.190 | Y=0137.330-0148.570 | Hương lộ 21 đoạn từ Đường liên xã An Phước - Tam An cũ đến
P=0423 | X=0112.610-0409.420 | Y=0148.850-0160.090 | hết ranh giới xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0423 | X=0095.570-0140.610 | Y=0160.370-0171.810 | 21 măng:
P=0423 | X=0452.330-0468.970 | Y=0162.490-0171.810 | 250
P=0423 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 250
P=0423 | X=0112.610-0398.420 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0423 | X=0112.610-0336.250 | Y=0195.170-0206.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0423 | X=0112.610-0191.200 | Y=0213.190-0224.430 | Đường liên xã An
P=0423 | X=0217.030-0363.800 | Y=0218.950-0230.190 | Đường Nguyễn Hải Hương lộ 21
P=0423 | X=0095.570-0106.690 | Y=0220.830-0230.150 | 22
P=0423 | X=0452.330-0468.970 | Y=0220.830-0230.150 | 700
P=0423 | X=0505.390-0522.030 | Y=0220.830-0230.150 | 570
P=0423 | X=0112.610-0207.130 | Y=0224.710-0235.950 | Phước - Tam An (cũ)
P=0423 | X=0112.610-0407.950 | Y=0242.710-0253.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã An
P=0423 | X=0112.610-0398.390 | Y=0254.230-0265.470 | Phước - Tam An (cũ) đoạn từ Đường Nguyễn Hải đến Hương lộ
P=0423 | X=0112.610-0333.400 | Y=0265.750-0276.990 | 21 có hiện trạng là đường nhựa, bê tông xi măng:
P=0423 | X=0095.570-0106.690 | Y=0273.630-0282.950 | 23
P=0423 | X=0452.330-0468.970 | Y=0273.630-0282.950 | 480
P=0423 | X=0505.390-0522.030 | Y=0273.630-0282.950 | 400
P=0423 | X=0112.610-0343.690 | Y=0283.300-0294.540 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0423 | X=0112.610-0389.800 | Y=0300.820-0312.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0423 | X=0112.610-0407.950 | Y=0318.820-0330.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã An
P=0423 | X=0112.610-0398.390 | Y=0330.340-0341.580 | Phước - Tam An (cũ) đoạn từ Đường Nguyễn Hải đến Hương lộ
P=0423 | X=0112.610-0333.380 | Y=0341.860-0353.100 | 21 có hiện trạng là đường nhựa, bê tông xi măng:
P=0423 | X=0095.570-0346.810 | Y=0359.380-0373.460 | 24 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0423 | X=0452.330-0468.970 | Y=0364.140-0373.460 | 370
P=0423 | X=0505.390-0522.030 | Y=0364.140-0373.460 | 330
P=0423 | X=0112.610-0399.500 | Y=0376.920-0388.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0423 | X=0112.610-0173.730 | Y=0388.200-0399.440 | đến ≤1.000m.
P=0423 | X=0112.610-0335.780 | Y=0405.720-0416.960 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0423 | X=0112.610-0407.950 | Y=0423.720-0434.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã An
P=0423 | X=0112.610-0398.390 | Y=0435.240-0446.480 | Phước - Tam An (cũ) đoạn từ Đường Nguyễn Hải đến Hương lộ
P=0423 | X=0112.610-0333.380 | Y=0446.760-0458.000 | 21 có hiện trạng là đường nhựa, bê tông xi măng:
P=0423 | X=0095.570-0106.690 | Y=0454.660-0463.980 | 25
P=0423 | X=0452.330-0468.970 | Y=0454.660-0463.980 | 250
P=0423 | X=0505.390-0522.030 | Y=0454.660-0463.980 | 250
P=0423 | X=0112.610-0401.070 | Y=0464.300-0475.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0423 | X=0112.610-0336.250 | Y=0481.820-0493.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0423 | X=0112.610-0397.870 | Y=0499.820-0511.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0423 | X=0112.610-0396.950 | Y=0511.340-0522.580 | Đường liên xã An Phước - Tam An (cũ) đoạn từ Đường Nguyễn
P=0423 | X=0112.610-0384.910 | Y=0522.860-0534.100 | Hải đến Hương lộ 21 có hiện trạng là đường nhựa, bê tông xi
P=0423 | X=0095.570-0140.610 | Y=0534.410-0545.850 | 26 măng:
P=0423 | X=0452.330-0468.970 | Y=0536.530-0545.850 | 480
P=0423 | X=0505.390-0522.030 | Y=0536.530-0545.850 | 400
P=0423 | X=0112.610-0343.690 | Y=0551.930-0563.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0423 | X=0112.610-0389.800 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0423 | X=0112.610-0397.870 | Y=0587.450-0598.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0423 | X=0112.610-0396.950 | Y=0598.970-0610.210 | Đường liên xã An Phước - Tam An (cũ) đoạn từ Đường Nguyễn
P=0423 | X=0112.610-0384.910 | Y=0610.250-0621.490 | Hải đến Hương lộ 21 có hiện trạng là đường nhựa, bê tông xi
P=0423 | X=0112.610-0140.610 | Y=0621.790-0633.030 | măng:
P=0423 | X=0095.570-0346.810 | Y=0638.550-0650.550 | 27 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0423 | X=0452.330-0468.970 | Y=0638.550-0647.870 | 370
P=0423 | X=0505.390-0522.030 | Y=0638.550-0647.870 | 330
P=0423 | X=0112.610-0399.500 | Y=0656.830-0668.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0423 | X=0112.610-0173.730 | Y=0668.350-0679.590 | đến ≤1.000m.
P=0423 | X=0112.610-0335.780 | Y=0685.870-0697.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0423 | X=0095.570-0397.870 | Y=0703.890-0715.130 | 28 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0423 | X=0452.330-0468.970 | Y=0705.780-0715.100 | 250
P=0423 | X=0505.390-0522.030 | Y=0705.780-0715.100 | 250
P=0424 | X=0112.610-0396.950 | Y=0072.740-0083.980 | Đường liên xã An Phước - Tam An (cũ) đoạn từ Đường Nguyễn
P=0424 | X=0112.610-0384.910 | Y=0084.260-0095.500 | Hải đến Hương lộ 21 có hiện trạng là đường nhựa, bê tông xi
P=0424 | X=0112.610-0140.610 | Y=0095.780-0107.020 | măng:
P=0424 | X=0112.610-0401.070 | Y=0113.300-0124.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0424 | X=0112.610-0336.280 | Y=0130.850-0142.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0424 | X=0217.030-0282.820 | Y=0148.850-0160.090 | Ngã ba Phước
P=0424 | X=0307.560-0396.040 | Y=0148.850-0160.090 | Thửa đất số 173, tờ
P=0424 | X=0095.570-0199.350 | Y=0154.610-0165.850 | 29 Đường Nguyễn Hải
P=0424 | X=0452.330-0468.970 | Y=0156.490-0165.810 | 700
P=0424 | X=0505.390-0522.030 | Y=0156.490-0165.810 | 570
P=0424 | X=0307.560-0363.080 | Y=0160.370-0171.610 | BĐĐC số 64
P=0424 | X=0217.030-0251.460 | Y=0162.250-0171.570 | Nguyên
P=0424 | X=0112.610-0398.150 | Y=0178.370-0189.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0424 | X=0112.610-0381.160 | Y=0189.650-0200.890 | Hải đoạn từ Ngã ba Phước Nguyên đến Thửa đất số 173, tờ
P=0424 | X=0112.610-0377.570 | Y=0201.190-0212.430 | BĐĐC số 64 có hiện trạng là đường nhựa, bê tông xi măng:
P=0424 | X=0095.570-0106.690 | Y=0209.070-0218.390 | 30
P=0424 | X=0452.330-0468.970 | Y=0209.070-0218.390 | 480
P=0424 | X=0505.390-0522.030 | Y=0209.070-0218.390 | 400
P=0424 | X=0112.610-0343.720 | Y=0218.710-0229.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0424 | X=0112.610-0389.800 | Y=0236.230-0247.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0424 | X=0112.610-0398.150 | Y=0254.230-0265.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0424 | X=0112.610-0381.530 | Y=0265.750-0276.990 | Hải đoạn từ Ngã ba Phước Nguyên đến Thửa đất số 173, từ
P=0424 | X=0112.610-0377.570 | Y=0277.270-0288.510 | BĐĐC số 64 có hiện trạng là đường nhựa, bê tông xi măng:
P=0424 | X=0095.570-0346.810 | Y=0294.820-0308.900 | 31 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0424 | X=0452.330-0468.970 | Y=0299.580-0308.900 | 370
P=0424 | X=0505.390-0522.030 | Y=0299.580-0308.900 | 330
P=0424 | X=0112.610-0399.500 | Y=0312.340-0323.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
