TABLE=045 | AREA=Xã La Ngà | SECTION=agricultural | SEGMENTS=1
P=1575 | X=0454.010-0465.130 | Y=0384.080-0393.400 | 90
P=1575 | X=0511.150-0522.270 | Y=0384.080-0393.400 | 55
P=1575 | X=0107.330-0393.120 | Y=0393.720-0404.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1575 | X=0107.330-0330.970 | Y=0411.240-0422.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1575 | X=0107.330-0392.590 | Y=0429.240-0440.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1575 | X=0107.330-0385.330 | Y=0440.760-0452.000 | Quốc lộ 20 đoạn từ Giáp ranh xã Thống Nhất đến Hết chợ Túc
P=1575 | X=0107.330-0344.170 | Y=0452.300-0463.540 | Trưng có hiện trạng là đường nhựa, bê tông xi măng:
P=1575 | X=0095.570-0101.170 | Y=0460.180-0469.500 | 5
P=1575 | X=0448.250-0464.890 | Y=0460.180-0469.500 | 160
P=1575 | X=0505.390-0522.030 | Y=0460.180-0469.500 | 150
P=1575 | X=0107.330-0338.410 | Y=0469.820-0481.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1575 | X=0107.330-0384.500 | Y=0487.340-0498.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1575 | X=0107.330-0392.590 | Y=0505.340-0516.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1575 | X=0107.330-0383.890 | Y=0516.860-0528.100 | Quốc lộ 20 đoạn từ Giáp ranh xã Thống Nhất đến hết chợ Túc
P=1575 | X=0107.330-0344.170 | Y=0528.380-0539.620 | Trưng có hiện trạng là đường nhựa, bê tông xi măng:
P=1575 | X=0095.570-0338.920 | Y=0545.930-0560.010 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1575 | X=0448.250-0464.890 | Y=0550.690-0560.010 | 130
P=1575 | X=0505.390-0522.030 | Y=0550.690-0560.010 | 100
P=1575 | X=0107.330-0394.220 | Y=0563.450-0574.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1575 | X=0107.330-0168.450 | Y=0574.970-0586.210 | đến ≤1.000m.
P=1575 | X=0107.330-0330.500 | Y=0592.250-0603.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1575 | X=0107.330-0392.590 | Y=0610.250-0621.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1575 | X=0107.330-0385.330 | Y=0621.790-0633.030 | Quốc lộ 20 đoạn từ Giáp ranh xã Thống Nhất đến Hết chợ Túc
P=1575 | X=0107.330-0344.170 | Y=0633.310-0644.550 | Trưng có hiện trạng là đường nhựa, bê tông xi măng:
P=1575 | X=0095.570-0101.170 | Y=0641.190-0650.510 | 7
P=1575 | X=0454.010-0465.130 | Y=0641.190-0650.510 | 90
P=1575 | X=0511.150-0522.270 | Y=0641.190-0650.510 | 55
P=1575 | X=0107.330-0393.120 | Y=0650.830-0662.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1575 | X=0107.330-0330.970 | Y=0668.350-0679.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1575 | X=0179.350-0234.540 | Y=0688.230-0697.550 | Hết chợ Túc
P=1575 | X=0248.740-0367.660 | Y=0692.110-0703.350 | Hết trường THPT Điều Cải
P=1575 | X=0095.570-0155.890 | Y=0693.990-0703.310 | 8 Quốc lộ 20
P=1575 | X=0448.250-0464.890 | Y=0693.990-0703.310 | 270
P=1575 | X=0505.390-0522.030 | Y=0693.990-0703.310 | 230
P=1575 | X=0179.350-0206.790 | Y=0697.870-0709.110 | Trưng
P=1576 | X=0107.330-0397.420 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1576 | X=0107.330-0380.860 | Y=0090.260-0101.500 | từ Hết chợ Túc Trưng đến Hết trường THPT Điều Cải có hiện
P=1576 | X=0107.330-0279.110 | Y=0101.780-0113.020 | trạng là đường nhựa, bê tông xi măng:
P=1576 | X=0095.570-0101.170 | Y=0109.660-0118.980 | 9
P=1576 | X=0448.250-0464.890 | Y=0109.660-0118.980 | 160
P=1576 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 150
P=1576 | X=0107.330-0338.410 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1576 | X=0107.330-0384.500 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1576 | X=0107.330-0397.420 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1576 | X=0107.330-0380.860 | Y=0166.370-0177.610 | từ Hết chợ Túc Trưng đến Hết trường THPT Điều Cải có hiện
P=1576 | X=0107.330-0279.110 | Y=0177.650-0188.890 | trạng là đường nhựa, bê tông xi măng:
P=1576 | X=0092.900-0338.880 | Y=0195.170-0209.510 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1576 | X=0448.250-0464.890 | Y=0200.190-0209.510 | 130
P=1576 | X=0505.390-0522.030 | Y=0200.190-0209.510 | 100
P=1576 | X=0107.330-0394.220 | Y=0212.710-0223.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1576 | X=0107.330-0168.450 | Y=0224.230-0235.470 | đến ≤1.000m.
P=1576 | X=0107.330-0330.500 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1576 | X=0107.330-0397.420 | Y=0259.750-0270.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1576 | X=0107.330-0380.860 | Y=0271.270-0282.510 | từ Hết chợ Túc Trưng đến Hết trường THPT Điều Cải có hiện
P=1576 | X=0107.330-0279.110 | Y=0282.820-0294.060 | trạng là đường nhựa, bê tông xi măng:
P=1576 | X=0092.900-0104.020 | Y=0290.700-0300.020 | 11
P=1576 | X=0454.010-0465.130 | Y=0290.700-0300.020 | 90
P=1576 | X=0511.150-0522.270 | Y=0290.700-0300.020 | 55
P=1576 | X=0107.330-0393.120 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1576 | X=0107.330-0330.970 | Y=0317.860-0329.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1576 | X=0107.330-0392.590 | Y=0335.860-0347.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1576 | X=0107.330-0404.150 | Y=0347.380-0358.620 | Quốc lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết trường THPT Điều
P=1576 | X=0107.330-0331.940 | Y=0358.900-0370.140 | Cải có hiện trạng là đường nhựa, bê tông xi măng;
P=1576 | X=0092.900-0104.020 | Y=0366.780-0376.100 | 12
P=1576 | X=0448.250-0464.890 | Y=0366.780-0376.100 | 160
P=1576 | X=0505.390-0522.030 | Y=0366.780-0376.100 | 150
P=1576 | X=0107.330-0338.410 | Y=0376.200-0387.440 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1576 | X=0107.330-0387.140 | Y=0393.720-0404.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.,
P=1576 | X=0107.330-0392.590 | Y=0411.720-0422.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1576 | X=0107.330-0404.150 | Y=0423.240-0434.480 | Quốc lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết trường THPT Điều
P=1576 | X=0107.330-0331.940 | Y=0434.760-0446.000 | Cải có hiện trạng là đường nhựa, bê tông xi măng:
P=1576 | X=0092.900-0338.880 | Y=0452.300-0466.620 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1576 | X=0448.250-0464.890 | Y=0457.300-0466.620 | 130
P=1576 | X=0505.390-0522.030 | Y=0457.300-0466.620 | 100
P=1576 | X=0107.330-0394.220 | Y=0469.820-0481.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1576 | X=0107.330-0168.450 | Y=0481.340-0492.580 | đến ≤1.000m.
P=1576 | X=0107.330-0330.500 | Y=0498.860-0510.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1576 | X=0107.330-0392.590 | Y=0516.860-0528.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1576 | X=0107.330-0404.150 | Y=0528.380-0539.620 | Quốc lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết trường THPT Điều
P=1576 | X=0107.330-0329.780 | Y=0539.930-0551.170 | cải có hiện trạng là đường nhựa, bê tông xi măng:
P=1576 | X=0092.900-0104.020 | Y=0547.810-0557.130 | 14
P=1576 | X=0454.010-0465.130 | Y=0547.810-0557.130 | 90
P=1576 | X=0511.150-0522.270 | Y=0547.810-0557.130 | 55
P=1576 | X=0107.330-0393.120 | Y=0557.450-0568.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1576 | X=0107.330-0330.970 | Y=0574.970-0586.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1576 | X=0179.350-0228.400 | Y=0592.970-0604.210 | Hết trường
P=1576 | X=0248.740-0323.940 | Y=0598.490-0609.730 | Ngã ba cây xăng
P=1576 | X=0092.900-0155.890 | Y=0600.370-0609.690 | 15 Quốc lộ 20
P=1576 | X=0448.250-0464.890 | Y=0600.370-0609.690 | 270
P=1576 | X=0505.390-0522.030 | Y=0600.370-0609.690 | 230
P=1576 | X=0179.350-0246.660 | Y=0604.250-0615.490 | THPT Điều Cải
P=1576 | X=0107.330-0397.420 | Y=0622.270-0633.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1576 | X=0107.330-0396.710 | Y=0633.790-0645.030 | từ Hết trường THPT Điều Cải đến Ngã ba cây xăng có hiện trạng
P=1576 | X=0107.330-0253.660 | Y=0645.310-0656.550 | là đường nhựa, bê tông xi măng:
P=1576 | X=0092.900-0104.020 | Y=0653.190-0662.510 | 16
P=1576 | X=0448.250-0464.890 | Y=0653.190-0662.510 | 160
P=1576 | X=0505.390-0522.030 | Y=0653.190-0662.510 | 150
P=1576 | X=0107.330-0338.410 | Y=0662.830-0674.070 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1576 | X=0107.330-0384.500 | Y=0680.350-0691.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1576 | X=0092.900-0397.420 | Y=0698.350-0709.590 | 17 Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1576 | X=0448.250-0464.890 | Y=0700.230-0709.550 | 130
P=1576 | X=0505.390-0522.030 | Y=0700.230-0709.550 | 100
P=1577 | X=0107.330-0396.710 | Y=0072.740-0083.980 | từ Hết trường THPT Điều Cải đến Ngã ba cây xăng có hiện trạng
P=1577 | X=0107.330-0253.670 | Y=0084.260-0095.500 | là đường nhựa, bê tông xi măng:
P=1577 | X=0107.330-0338.880 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1577 | X=0107.330-0394.220 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1577 | X=0107.330-0168.450 | Y=0130.850-0142.090 | đến ≤1.000m.
P=1577 | X=0107.330-0330.500 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1577 | X=0107.330-0397.420 | Y=0166.370-0177.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1577 | X=0107.330-0396.710 | Y=0177.650-0188.890 | từ Hết trường THPT Điều Cải đến Ngã ba cây xăng có hiện trạng
P=1577 | X=0107.330-0253.660 | Y=0189.170-0200.410 | là đường nhựa, bê tông xi măng:
P=1577 | X=0092.900-0104.020 | Y=0197.050-0206.370 | 18
P=1577 | X=0454.010-0465.130 | Y=0197.050-0206.370 | 90
P=1577 | X=0511.150-0522.270 | Y=0197.050-0206.370 | 55
P=1577 | X=0107.330-0393.120 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1577 | X=0107.330-0330.970 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1577 | X=0107.330-0392.590 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1577 | X=0107.330-0387.470 | Y=0253.750-0264.990 | Quốc lộ 20 đoạn từ Hết trường THPT Điều Cải đến Ngã ba cây
P=1577 | X=0107.330-0338.660 | Y=0265.270-0276.510 | xăng có hiện trạng là đường nhựa, bê tông xi măng:
P=1577 | X=0092.900-0104.020 | Y=0273.150-0282.470 | 19
P=1577 | X=0448.250-0464.890 | Y=0273.150-0282.470 | 160
P=1577 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 150
P=1577 | X=0107.330-0338.410 | Y=0282.820-0294.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1577 | X=0107.330-0384.500 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1577 | X=0107.330-0392.590 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1577 | X=0107.330-0387.470 | Y=0329.860-0341.100 | Quốc lộ 20 đoạn từ Hết trường THPT Điều Cải đến Ngã ba cây
P=1577 | X=0107.330-0338.660 | Y=0341.380-0352.620 | xăng có hiện trạng là đường nhựa, bê tông xi măng:
P=1577 | X=0092.900-0338.880 | Y=0358.900-0372.980 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1577 | X=0448.250-0464.890 | Y=0363.660-0372.980 | 130
P=1577 | X=0505.390-0522.030 | Y=0363.660-0372.980 | 100
P=1577 | X=0107.330-0394.220 | Y=0376.200-0387.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1577 | X=0107.330-0168.450 | Y=0387.720-0398.960 | đến ≤1.000m.
P=1577 | X=0107.330-0330.500 | Y=0405.240-0416.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1577 | X=0107.330-0392.590 | Y=0423.240-0434.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1577 | X=0107.330-0387.470 | Y=0434.760-0446.000 | Quốc lộ 20 đoạn từ Hết trường THPT Điều Cải đến Ngã ba cây
P=1577 | X=0107.330-0338.670 | Y=0446.280-0457.520 | xăng có hiện trạng là đường nhựa, bê tông xi măng:
P=1577 | X=0092.900-0104.020 | Y=0454.180-0463.500 | 21
P=1577 | X=0454.010-0465.130 | Y=0454.180-0463.500 | 90
P=1577 | X=0511.150-0522.270 | Y=0454.180-0463.500 | 55
P=1577 | X=0107.330-0393.120 | Y=0463.820-0475.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1577 | X=0107.330-0330.970 | Y=0481.340-0492.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1577 | X=0179.350-0229.990 | Y=0501.220-0510.540 | Ngã ba cây
P=1577 | X=0092.900-0155.890 | Y=0506.980-0516.300 | 22 Quốc lộ 20
P=1577 | X=0248.740-0320.000 | Y=0506.980-0516.300 | Bến xe Phú Túc
P=1577 | X=0448.250-0464.890 | Y=0506.980-0516.300 | 270
P=1577 | X=0505.390-0522.030 | Y=0506.980-0516.300 | 230
P=1577 | X=0179.350-0201.270 | Y=0510.860-0522.100 | xăng
P=1577 | X=0107.330-0397.420 | Y=0528.860-0540.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1577 | X=0107.330-0392.140 | Y=0540.410-0551.650 | từ Ngã ba cây xăng đến Bến xe Phú Túc có hiện trạng là đường
P=1577 | X=0107.330-0210.440 | Y=0551.930-0563.170 | nhựa, bê tông xi măng:
P=1577 | X=0092.900-0104.020 | Y=0559.810-0569.130 | 23
P=1577 | X=0448.250-0464.890 | Y=0559.810-0569.130 | 160
P=1577 | X=0505.390-0522.030 | Y=0559.810-0569.130 | 150
P=1577 | X=0107.330-0338.410 | Y=0569.450-0580.690 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1577 | X=0107.330-0384.500 | Y=0586.970-0598.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1577 | X=0107.330-0397.420 | Y=0604.970-0616.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1577 | X=0107.330-0392.140 | Y=0616.270-0627.510 | từ Ngã ba cây xăng đến Bến xe Phú Túc có hiện trạng là đường
P=1577 | X=0107.330-0210.440 | Y=0627.790-0639.030 | nhựa, bê tông xi măng:
P=1577 | X=0092.900-0338.880 | Y=0645.310-0659.630 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1577 | X=0448.250-0464.890 | Y=0650.310-0659.630 | 130
P=1577 | X=0505.390-0522.030 | Y=0650.310-0659.630 | 100
P=1577 | X=0107.330-0394.220 | Y=0662.830-0674.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1577 | X=0107.330-0168.450 | Y=0674.350-0685.590 | đến ≤1.000m.
P=1577 | X=0107.330-0330.500 | Y=0691.870-0703.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1578 | X=0107.330-0397.420 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1578 | X=0107.330-0392.140 | Y=0090.260-0101.500 | từ Ngã ba cây xăng đến Bến xe Phú Túc có hiện trạng là đường
P=1578 | X=0107.330-0210.440 | Y=0101.780-0113.020 | nhựa, bê tông xi măng:
P=1578 | X=0092.900-0104.020 | Y=0109.660-0118.980 | 25
P=1578 | X=0454.010-0465.130 | Y=0109.660-0118.980 | 90
P=1578 | X=0511.150-0522.270 | Y=0109.660-0118.980 | 55
P=1578 | X=0107.330-0393.120 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1578 | X=0107.330-0330.970 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1578 | X=0107.330-0392.590 | Y=0154.850-0166.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1578 | X=0107.330-0399.590 | Y=0166.370-0177.610 | Quốc lộ 20 đoạn từ Ngã ba cây xăng đến Bến xe Phú Túc có hiện
P=1578 | X=0107.330-0279.110 | Y=0177.650-0188.890 | trạng là đường nhựa, bê tông xi măng:
P=1578 | X=0092.900-0104.020 | Y=0185.530-0194.850 | 26
P=1578 | X=0448.250-0464.890 | Y=0185.530-0194.850 | 160
P=1578 | X=0505.390-0522.030 | Y=0185.530-0194.850 | 150
P=1578 | X=0107.330-0338.410 | Y=0195.170-0206.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1578 | X=0107.330-0384.500 | Y=0212.710-0223.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1578 | X=0107.330-0392.590 | Y=0230.710-0241.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1578 | X=0107.330-0399.590 | Y=0242.230-0253.470 | Quốc lộ 20 đoạn từ Ngã ba cây xăng đến Bến xe Phú Túc có hiện
P=1578 | X=0107.330-0279.110 | Y=0253.750-0264.990 | trạng là đường nhựa, bê tông xi măng:
P=1578 | X=0092.900-0338.920 | Y=0271.270-0285.590 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1578 | X=0448.250-0464.890 | Y=0276.270-0285.590 | 130
P=1578 | X=0505.390-0522.030 | Y=0276.270-0285.590 | 100
P=1578 | X=0107.330-0394.220 | Y=0288.820-0300.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1578 | X=0107.330-0168.450 | Y=0300.340-0311.580 | đến ≤1.000m.
P=1578 | X=0107.330-0330.500 | Y=0317.860-0329.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1578 | X=0107.330-0392.590 | Y=0335.860-0347.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1578 | X=0107.330-0399.590 | Y=0347.380-0358.620 | Quốc lộ 20 đoạn từ Ngã ba cây xăng đến Bến xe Phú Túc có hiện
P=1578 | X=0107.330-0279.110 | Y=0358.900-0370.140 | trạng là đường nhựa, bê tông xi măng:
P=1578 | X=0092.900-0104.020 | Y=0366.780-0376.100 | 28
P=1578 | X=0454.010-0465.130 | Y=0366.780-0376.100 | 90
P=1578 | X=0511.150-0522.270 | Y=0366.780-0376.100 | 55
P=1578 | X=0107.330-0393.120 | Y=0376.200-0387.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1578 | X=0107.330-0330.970 | Y=0393.720-0404.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1578 | X=0179.350-0231.250 | Y=0413.600-0422.920 | Bến xe Phú
P=1578 | X=0248.740-0353.910 | Y=0417.480-0428.720 | Hết cây xăng Tín Nghĩa
P=1578 | X=0092.900-0155.890 | Y=0419.360-0428.680 | 29 Quốc lộ 20
P=1578 | X=0448.250-0464.890 | Y=0419.360-0428.680 | 270
P=1578 | X=0505.390-0522.030 | Y=0419.360-0428.680 | 230
P=1578 | X=0179.350-0196.140 | Y=0425.120-0434.440 | Túc
P=1578 | X=0107.330-0397.420 | Y=0441.240-0452.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1578 | X=0107.330-0387.820 | Y=0452.780-0464.020 | từ Bến xe Phú Túc đến hết cây xăng Tín Nghĩa có hiện trạng là
P=1578 | X=0107.330-0243.080 | Y=0464.300-0475.540 | đường nhựa, bê tông xi măng:
P=1578 | X=0092.900-0104.020 | Y=0472.180-0481.500 | 30
P=1578 | X=0448.250-0464.890 | Y=0472.180-0481.500 | 160
P=1578 | X=0505.390-0522.030 | Y=0472.180-0481.500 | 150
P=1578 | X=0107.330-0338.410 | Y=0481.820-0493.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1578 | X=0107.330-0384.500 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1578 | X=0107.330-0397.420 | Y=0517.340-0528.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1578 | X=0107.330-0389.730 | Y=0528.860-0540.100 | từ Bến xe Phú Túc đến Hết cây xăng Tín Nghĩa có hiện trạng là
P=1578 | X=0107.330-0243.080 | Y=0540.410-0551.650 | đường nhựa, bê tông xi măng:
P=1578 | X=0092.900-0338.880 | Y=0557.930-0572.010 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1578 | X=0448.250-0464.890 | Y=0562.690-0572.010 | 130
P=1578 | X=0505.390-0522.030 | Y=0562.690-0572.010 | 100
P=1578 | X=0107.330-0394.220 | Y=0575.450-0586.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1578 | X=0107.330-0168.480 | Y=0586.970-0598.210 | đến ≤1.000m.
P=1578 | X=0107.330-0330.500 | Y=0604.250-0615.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1578 | X=0107.330-0397.420 | Y=0622.270-0633.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1578 | X=0107.330-0387.820 | Y=0633.790-0645.030 | từ Bến xe Phú Túc đến hết cây xăng Tín Nghĩa có hiện trạng là
P=1578 | X=0107.330-0243.080 | Y=0645.310-0656.550 | đường nhựa, bê tông xi măng:
