TABLE=005 | AREA=Phường Trảng Dài | SECTION=agricultural | SEGMENTS=1
P=0166 | X=0115.490-0338.660 | Y=0440.760-0452.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0166 | X=0115.490-0400.750 | Y=0458.780-0470.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0166 | X=0115.490-0418.300 | Y=0470.300-0481.540 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn Văn
P=0166 | X=0115.490-0344.650 | Y=0481.820-0493.060 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=0166 | X=0097.010-0108.130 | Y=0489.700-0499.020 | 21
P=0166 | X=0445.610-0462.250 | Y=0489.700-0499.020 | 520
P=0166 | X=0505.390-0522.030 | Y=0489.700-0499.020 | 350
P=0166 | X=0115.490-0392.920 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0166 | X=0115.490-0341.780 | Y=0516.860-0528.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0166 | X=0115.490-0173.910 | Y=0534.890-0546.130 | Đường Đồng
P=0166 | X=0306.840-0415.910 | Y=0534.890-0546.130 | Đường vào công ty Trấn
P=0166 | X=0179.590-0291.520 | Y=0540.650-0551.890 | Đường Nguyễn Văn Tiên
P=0166 | X=0097.010-0108.130 | Y=0542.530-0551.850 | 22
P=0166 | X=0437.450-0462.500 | Y=0542.530-0551.850 | 1.200
P=0166 | X=0505.390-0522.030 | Y=0542.530-0551.850 | 770
P=0166 | X=0115.490-0136.690 | Y=0548.290-0557.610 | Khởi
P=0166 | X=0306.840-0327.080 | Y=0548.290-0557.610 | Biên
P=0166 | X=0115.490-0414.220 | Y=0564.410-0575.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0166 | X=0115.490-0418.540 | Y=0575.930-0587.170 | đoạn từ Đường Nguyễn Văn Tiên đến Đường vào công ty Trấn Biên
P=0166 | X=0115.490-0322.340 | Y=0587.450-0598.690 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0166 | X=0097.010-0108.130 | Y=0595.330-0604.650 | 23
P=0166 | X=0445.610-0462.250 | Y=0595.330-0604.650 | 780
P=0166 | X=0505.390-0522.030 | Y=0595.330-0604.650 | 510
P=0166 | X=0115.490-0338.400 | Y=0604.970-0616.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0166 | X=0115.490-0392.680 | Y=0622.270-0633.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0166 | X=0115.490-0414.220 | Y=0640.270-0651.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0166 | X=0115.490-0418.540 | Y=0651.790-0663.030 | đoạn từ Đường Nguyễn Văn Tiên đến Đường vào công ty Trấn Biên
P=0166 | X=0115.490-0322.340 | Y=0663.310-0674.550 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0166 | X=0097.010-0108.130 | Y=0671.190-0680.510 | 24
P=0166 | X=0445.610-0462.250 | Y=0671.190-0680.510 | 660
P=0166 | X=0505.390-0522.030 | Y=0671.190-0680.510 | 440
P=0166 | X=0115.490-0338.660 | Y=0680.830-0692.070 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0166 | X=0115.490-0421.910 | Y=0698.350-0709.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0167 | X=0115.490-0149.010 | Y=0072.740-0083.980 | ≤600m.
P=0167 | X=0115.490-0338.660 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0167 | X=0115.490-0414.220 | Y=0108.260-0119.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0167 | X=0115.490-0418.540 | Y=0119.810-0131.050 | đoạn từ Đường Nguyễn Văn Tiên đến Đường vào công ty Trấn Biên
P=0167 | X=0115.490-0322.340 | Y=0131.330-0142.570 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0167 | X=0097.010-0108.130 | Y=0139.210-0148.530 | 25
P=0167 | X=0445.610-0462.250 | Y=0139.210-0148.530 | 520
P=0167 | X=0505.390-0522.030 | Y=0139.210-0148.530 | 350
P=0167 | X=0115.490-0392.920 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0167 | X=0115.490-0339.130 | Y=0166.370-0177.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0167 | X=0115.490-0400.750 | Y=0184.370-0195.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0167 | X=0115.490-0422.390 | Y=0195.650-0206.890 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường vào
P=0167 | X=0115.490-0404.670 | Y=0207.190-0218.430 | công ty Trấn Biên cứ hiện trạng là đường nhựa, bê tông xi măng:
P=0167 | X=0097.010-0108.130 | Y=0215.070-0224.390 | 26
P=0167 | X=0445.610-0462.250 | Y=0215.070-0224.390 | 780
P=0167 | X=0505.390-0522.030 | Y=0215.070-0224.390 | 510
P=0167 | X=0115.490-0338.400 | Y=0224.710-0235.950 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0167 | X=0115.490-0392.680 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0167 | X=0115.490-0400.750 | Y=0260.230-0271.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0167 | X=0115.490-0422.390 | Y=0271.750-0282.990 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường vào
P=0167 | X=0115.490-0403.470 | Y=0283.300-0294.540 | công ty Trấn Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=0167 | X=0097.010-0338.660 | Y=0300.820-0314.900 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0167 | X=0445.610-0462.250 | Y=0305.580-0314.900 | 660
P=0167 | X=0505.390-0522.030 | Y=0305.580-0314.900 | 440
P=0167 | X=0115.490-0421.910 | Y=0318.340-0329.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0167 | X=0115.490-0149.010 | Y=0329.860-0341.100 | ≤600m.
P=0167 | X=0115.490-0338.660 | Y=0347.380-0358.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0167 | X=0115.490-0400.750 | Y=0365.400-0376.640 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0167 | X=0115.490-0422.390 | Y=0376.920-0388.160 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường vào
P=0167 | X=0115.490-0403.470 | Y=0388.200-0399.440 | công ty Trấn Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=0167 | X=0097.010-0108.130 | Y=0396.080-0405.400 | 28
P=0167 | X=0445.610-0462.250 | Y=0396.080-0405.400 | 520
P=0167 | X=0505.390-0522.030 | Y=0396.080-0405.400 | 350
P=0167 | X=0115.490-0392.920 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0167 | X=0115.490-0341.780 | Y=0423.240-0434.480 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0167 | X=0115.490-0290.350 | Y=0441.240-0452.480 | Đường Đồng Đường vào công ty Trấn
P=0167 | X=0310.680-0380.850 | Y=0447.000-0458.240 | Đường tỉnh 768
P=0167 | X=0097.010-0108.130 | Y=0448.880-0458.200 | 29
P=0167 | X=0437.450-0462.500 | Y=0448.880-0458.200 | 1.200
P=0167 | X=0505.390-0522.030 | Y=0448.880-0458.200 | 770
P=0167 | X=0115.490-0136.690 | Y=0454.660-0463.980 | Khởi
P=0167 | X=0181.270-0201.510 | Y=0454.660-0463.980 | Biên
P=0167 | X=0115.490-0414.220 | Y=0470.780-0482.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0167 | X=0115.490-0411.820 | Y=0482.300-0493.540 | đoạn từ Đường vào công ty Trấn Biên đến Đường tỉnh 768 cũ hiện
P=0167 | X=0115.490-0287.270 | Y=0493.820-0505.060 | trạng là đường nhựa, bê tông xi măng:
P=0167 | X=0097.010-0108.130 | Y=0501.700-0511.020 | 30
P=0167 | X=0445.610-0462.250 | Y=0501.700-0511.020 | 780
P=0167 | X=0505.390-0522.030 | Y=0501.700-0511.020 | 510
P=0167 | X=0115.490-0341.060 | Y=0511.340-0522.580 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0167 | X=0115.490-0392.680 | Y=0528.860-0540.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0167 | X=0115.490-0414.220 | Y=0546.890-0558.130 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
