TABLE=015 | AREA=Xã Phước Thái | SECTION=agricultural | SEGMENTS=1
P=0444 | X=0115.250-0392.440 | Y=0468.620-0479.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0444 | X=0115.250-0405.340 | Y=0486.380-0497.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0444 | X=0115.250-0402.930 | Y=0497.900-0509.140 | từ Giáp ranh xã Long Phước đến cầu Thái Thiện có hiện trạng là
P=0444 | X=0115.250-0251.020 | Y=0509.420-0520.660 | đường nhựa, bê tông xi măng:
P=0444 | X=0099.650-0346.800 | Y=0526.940-0541.020 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0444 | X=0452.330-0468.970 | Y=0531.700-0541.020 | 400
P=0444 | X=0505.390-0522.030 | Y=0531.700-0541.020 | 350
P=0444 | X=0115.250-0402.140 | Y=0544.250-0555.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0444 | X=0115.250-0176.370 | Y=0555.770-0567.010 | đến ≤1.000m.
P=0444 | X=0115.250-0338.420 | Y=0573.290-0584.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0444 | X=0115.250-0405.340 | Y=0591.050-0602.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0444 | X=0115.250-0402.930 | Y=0602.570-0613.810 | từ Giáp ranh xã Long Phước đến cầu Thái Thiện có hiện trạng là
P=0444 | X=0115.250-0251.020 | Y=0614.090-0625.330 | đường nhựa, bê tông xi măng:
P=0444 | X=0099.650-0105.250 | Y=0621.990-0631.310 | 4
P=0444 | X=0452.330-0468.970 | Y=0621.990-0631.310 | 270
P=0444 | X=0505.390-0522.030 | Y=0621.990-0631.310 | 270
P=0444 | X=0115.250-0401.070 | Y=0631.630-0642.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0444 | X=0115.250-0338.890 | Y=0649.150-0660.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0444 | X=0115.250-0400.510 | Y=0666.910-0678.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0444 | X=0115.250-0410.140 | Y=0678.430-0689.670 | Quốc lộ 51 đoạn từ Giáp ranh xã Long Phước đến Cầu Thái Thiện
P=0444 | X=0099.650-0322.100 | Y=0688.950-0701.190 | 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=0444 | X=0452.330-0468.970 | Y=0688.950-0698.270 | 500
P=0444 | X=0505.390-0522.030 | Y=0688.950-0698.270 | 430
P=0444 | X=0115.250-0346.330 | Y=0707.490-0718.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0445 | X=0115.250-0392.440 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0445 | X=0115.250-0400.510 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0445 | X=0115.250-0410.140 | Y=0107.780-0119.020 | Quốc lộ 51 đoạn từ Giáp ranh xã Long Phước đến Cầu Thái Thiện
P=0445 | X=0115.250-0322.100 | Y=0119.330-0130.570 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0445 | X=0099.650-0349.450 | Y=0136.850-0150.930 | 6 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0445 | X=0452.330-0468.970 | Y=0141.610-0150.930 | 400
P=0445 | X=0505.390-0522.030 | Y=0141.610-0150.930 | 350
P=0445 | X=0115.250-0402.140 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0445 | X=0115.250-0176.370 | Y=0165.650-0176.890 | đến ≤1.000m.
P=0445 | X=0115.250-0338.420 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0445 | X=0115.250-0400.540 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0445 | X=0115.250-0410.140 | Y=0212.470-0223.710 | Quốc lộ 51 đoạn từ Giáp ranh xã Long Phước đến Cầu Thái Thiện
P=0445 | X=0115.250-0322.100 | Y=0223.990-0235.230 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0445 | X=0099.650-0105.250 | Y=0231.870-0241.190 | 7
P=0445 | X=0452.330-0468.970 | Y=0231.870-0241.190 | 270
P=0445 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 270
P=0445 | X=0115.250-0401.060 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0445 | X=0115.250-0338.890 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0445 | X=0308.280-0402.950 | Y=0278.670-0287.990 | Giáp ranh Thành phố
P=0445 | X=0099.650-0163.810 | Y=0284.460-0293.780 | 8 Quốc lộ 51
P=0445 | X=0209.590-0278.100 | Y=0284.460-0293.780 | Cầu Thái Thiện
P=0445 | X=0452.330-0468.970 | Y=0284.460-0293.780 | 730
P=0445 | X=0505.390-0522.030 | Y=0284.460-0293.780 | 600
P=0445 | X=0308.280-0364.030 | Y=0290.220-0299.540 | Hồ Chí Minh
P=0445 | X=0115.250-0405.340 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0445 | X=0115.250-0406.310 | Y=0317.620-0328.860 | từ Cầu Thái Thiện đến Giáp ranh Thành phố Hồ Chí Minh có hiện
P=0445 | X=0115.250-0287.030 | Y=0329.140-0340.380 | trạng là đường nhựa, bê tông xi măng:
P=0445 | X=0099.650-0105.250 | Y=0337.020-0346.340 | 9
P=0445 | X=0452.330-0468.970 | Y=0337.020-0346.340 | 500
P=0445 | X=0505.390-0522.030 | Y=0337.020-0346.340 | 430
P=0445 | X=0115.250-0346.360 | Y=0346.660-0357.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0445 | X=0115.250-0392.440 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0445 | X=0115.250-0405.340 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0445 | X=0115.250-0404.150 | Y=0393.240-0404.480 | từ cầu Thái Thiện đến Giáp ranh Thành phố Hồ Chí Minh có hiện
P=0445 | X=0115.250-0287.030 | Y=0404.760-0416.000 | trạng là đường nhựa, bê tông xi măng:
P=0445 | X=0097.010-0343.930 | Y=0422.280-0436.600 | 10 - Có bề rộng≥5m, cách đường giao thông >1.000m.
P=0445 | X=0452.330-0468.970 | Y=0427.280-0436.600 | 400
P=0445 | X=0505.390-0522.030 | Y=0427.280-0436.600 | 350
P=0445 | X=0115.250-0402.140 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0445 | X=0115.250-0176.370 | Y=0451.340-0462.580 | đến ≤1.000m.
P=0445 | X=0115.250-0338.420 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0445 | X=0115.250-0405.340 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0445 | X=0115.250-0406.310 | Y=0498.140-0509.380 | từ Cầu Thái Thiện đến Giáp ranh Thành phố Hồ Chí Minh có hiện
P=0445 | X=0115.250-0287.030 | Y=0509.660-0520.900 | trạng là đường nhựa, bê tông xi măng:
P=0445 | X=0097.010-0108.130 | Y=0517.540-0526.860 | 11
P=0445 | X=0452.330-0468.970 | Y=0517.540-0526.860 | 270
P=0445 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 270
P=0445 | X=0115.250-0403.710 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0445 | X=0115.250-0338.890 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0445 | X=0115.250-0400.510 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0445 | X=0115.250-0404.380 | Y=0573.770-0585.010 | Quốc lộ 51 đoạn từ Cầu Thái Thiện đến Giáp ranh Thành phố Hồ
P=0445 | X=0115.250-0364.800 | Y=0585.290-0596.530 | Chí Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=0445 | X=0097.010-0108.130 | Y=0593.170-0602.490 | 12
P=0445 | X=0452.330-0468.970 | Y=0593.170-0602.490 | 500
P=0445 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 430
P=0445 | X=0115.250-0343.690 | Y=0602.810-0614.050 | - Có bề rộng≥5m, cách đường giao thông ≤1.000m.
P=0445 | X=0115.250-0392.440 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0445 | X=0115.250-0400.510 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0445 | X=0115.250-0404.380 | Y=0649.630-0660.870 | Quốc lộ 51 đoạn từ Cầu Thái Thiện đến Giáp ranh Thành phố Hồ
P=0445 | X=0115.250-0364.800 | Y=0661.150-0672.390 | Chí Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=0445 | X=0097.010-0108.130 | Y=0674.790-0684.110 | 13
P=0445 | X=0452.330-0468.970 | Y=0674.790-0684.110 | 400
P=0445 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 350
P=0445 | X=0115.250-0349.450 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0445 | X=0115.250-0402.140 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0445 | X=0115.250-0176.370 | Y=0707.730-0718.970 | đến ≤1.000m.
P=0446 | X=0115.250-0338.420 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0446 | X=0115.250-0400.510 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nồi trực tiếp và thông ra
P=0446 | X=0115.250-0404.380 | Y=0107.780-0119.020 | Quốc lộ 51 đoạn từ Cầu Thái Thiện đến Giáp ranh Thành phố Hồ
P=0446 | X=0115.250-0364.840 | Y=0119.330-0130.570 | Chí Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=0446 | X=0097.010-0108.130 | Y=0127.210-0136.530 | 14
P=0446 | X=0452.330-0468.970 | Y=0127.210-0136.530 | 270
P=0446 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 270
P=0446 | X=0115.250-0401.060 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0446 | X=0115.250-0338.890 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0446 | X=0115.250-0197.170 | Y=0172.130-0183.370 | Đường vào UBND
P=0446 | X=0097.010-0108.130 | Y=0179.530-0188.850 | 15
P=0446 | X=0209.590-0258.180 | Y=0179.530-0188.850 | Quốc lộ 51
P=0446 | X=0308.280-0358.020 | Y=0179.530-0188.850 | Cầu Suối 1
P=0446 | X=0452.330-0468.970 | Y=0179.530-0188.850 | 700
P=0446 | X=0505.390-0522.030 | Y=0179.530-0188.850 | 570
P=0446 | X=0115.250-0182.790 | Y=0183.410-0194.650 | xã Tân Hiệp cũ
P=0446 | X=0115.250-0382.770 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0446 | X=0115.250-0407.020 | Y=0212.710-0223.950 | UBND xã Tân Hiệp cũ đoạn từ Quốc lộ 51 đến cầu Suối 1 có hiện
P=0446 | X=0115.250-0287.030 | Y=0224.230-0235.470 | trạng là đường nhựa, bê tông xi măng:
P=0446 | X=0097.010-0108.130 | Y=0232.110-0241.430 | 16
P=0446 | X=0452.330-0468.970 | Y=0232.110-0241.430 | 480
P=0446 | X=0505.390-0522.030 | Y=0232.110-0241.430 | 400
P=0446 | X=0115.250-0346.330 | Y=0241.750-0252.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0446 | X=0115.250-0392.440 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0446 | X=0115.250-0382.770 | Y=0277.030-0288.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0446 | X=0115.250-0407.020 | Y=0288.580-0299.820 | UBND xã Tân Hiệp cũ đoạn từ Quốc lộ 51 đến cầu Suối 1 có hiện
P=0446 | X=0115.250-0287.030 | Y=0300.100-0311.340 | trạng là đường nhựa, bê tông xi măng:
P=0446 | X=0097.010-0346.800 | Y=0317.620-0331.700 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0446 | X=0452.330-0468.970 | Y=0322.380-0331.700 | 370
P=0446 | X=0505.390-0522.030 | Y=0322.380-0331.700 | 330
P=0446 | X=0115.250-0402.140 | Y=0335.140-0346.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0446 | X=0115.250-0176.370 | Y=0346.660-0357.900 | đến ≤1.000m.
P=0446 | X=0115.250-0338.420 | Y=0363.940-0375.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0446 | X=0115.250-0382.770 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0446 | X=0115.250-0407.020 | Y=0393.240-0404.480 | UBND xã Tân Hiệp cũ đoạn từ Quốc lộ 51 đến cầu Suối 1 có hiện
P=0446 | X=0115.250-0287.030 | Y=0404.760-0416.000 | trạng là đường nhựa, bê tông xi măng:
P=0446 | X=0097.010-0108.130 | Y=0412.640-0421.960 | 18
P=0446 | X=0452.330-0468.970 | Y=0412.640-0421.960 | 250
P=0446 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 250
P=0446 | X=0115.250-0403.710 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0446 | X=0115.250-0338.890 | Y=0439.800-0451.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0446 | X=0115.250-0400.510 | Y=0457.580-0468.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0446 | X=0115.250-0393.830 | Y=0469.100-0480.340 | Đường vào UBND xã Tân Hiệp cũ đoạn từ Quốc lộ 51 đến cầu
P=0446 | X=0115.250-0353.290 | Y=0480.620-0491.860 | Suối 1 có hiện trạng là đường nhựa, bê tông xi măng:
P=0446 | X=0097.010-0108.130 | Y=0488.500-0497.820 | 19
P=0446 | X=0452.330-0468.970 | Y=0488.500-0497.820 | 480
P=0446 | X=0505.390-0522.030 | Y=0488.500-0497.820 | 400
P=0446 | X=0115.250-0346.330 | Y=0498.140-0509.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0446 | X=0115.250-0392.440 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0446 | X=0115.250-0400.510 | Y=0533.450-0544.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0446 | X=0115.250-0393.830 | Y=0544.970-0556.210 | Đường vào UBND xã Tân Hiệp cũ đoạn từ Quốc lộ 51 đến cẩu
P=0446 | X=0115.250-0353.310 | Y=0556.250-0567.490 | Suối 1 có hiện trạng là đường nhựa, bê tông xi măng:
P=0446 | X=0097.010-0349.450 | Y=0573.770-0588.090 | 20 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0446 | X=0452.330-0468.970 | Y=0578.770-0588.090 | 370
P=0446 | X=0505.390-0522.030 | Y=0578.770-0588.090 | 330
P=0446 | X=0115.250-0402.140 | Y=0591.290-0602.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0446 | X=0115.250-0179.230 | Y=0602.810-0614.050 | đến ≤ 1.000m.
P=0446 | X=0115.250-0338.420 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0446 | X=0115.250-0400.510 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0446 | X=0115.250-0393.830 | Y=0649.630-0660.870 | Đường vào UBND xã Tân Hiệp cũ đoạn từ Quốc lộ 51 đến cầu
P=0446 | X=0115.250-0353.290 | Y=0661.150-0672.390 | Suối 1 có hiện trạng là đường nhựa, bê tông xi măng:
P=0446 | X=0097.010-0108.130 | Y=0669.030-0678.350 | 21
P=0446 | X=0452.330-0468.970 | Y=0669.030-0678.350 | 250
P=0446 | X=0505.390-0522.030 | Y=0669.030-0678.350 | 250
P=0446 | X=0115.250-0403.710 | Y=0678.670-0689.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0446 | X=0115.250-0338.890 | Y=0696.190-0707.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0447 | X=0115.250-0197.170 | Y=0078.500-0089.740 | Đường vào UBND
P=0447 | X=0308.280-0399.570 | Y=0080.380-0089.700 | Hết ranh giới xã Tân
P=0447 | X=0097.010-0108.130 | Y=0086.140-0095.460 | 22
P=0447 | X=0209.590-0259.380 | Y=0086.140-0095.460 | Cầu Suối 1
P=0447 | X=0452.330-0468.970 | Y=0086.140-0095.460 | 700
P=0447 | X=0505.390-0522.030 | Y=0086.140-0095.460 | 570
P=0447 | X=0115.250-0182.790 | Y=0090.020-0101.260 | xã Tân Hiệp cũ
P=0447 | X=0308.280-0342.440 | Y=0090.020-0101.260 | Hiệp cũ
P=0447 | X=0115.250-0382.770 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0447 | X=0115.250-0395.020 | Y=0119.330-0130.570 | UBND xã Tân Hiệp cũ đoạn từ Cầu Suối 1 đến hết ranh giới xã
P=0447 | X=0115.250-0378.530 | Y=0130.850-0142.090 | Tân Hiệp cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0447 | X=0097.010-0108.130 | Y=0138.730-0148.050 | 23
P=0447 | X=0452.330-0468.970 | Y=0138.730-0148.050 | 480
P=0447 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 400
P=0447 | X=0115.250-0343.690 | Y=0148.370-0159.610 | - Có bề rộng≥5m, cách đường giao thông ≤1.000m.
P=0447 | X=0115.250-0392.440 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0447 | X=0115.250-0382.770 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0447 | X=0115.250-0394.540 | Y=0194.930-0206.170 | UBND xã Tân Hiệp cũ đoạn từ cầu Suối 1 đến Hết ranh giới xã
P=0447 | X=0115.250-0378.540 | Y=0206.470-0217.710 | Tân Hiệp cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0447 | X=0097.010-0349.450 | Y=0223.990-0238.310 | 24 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0447 | X=0452.330-0468.970 | Y=0228.990-0238.310 | 370
P=0447 | X=0505.390-0522.030 | Y=0228.990-0238.310 | 330
P=0447 | X=0115.250-0402.140 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0447 | X=0115.250-0176.370 | Y=0253.030-0264.270 | đến ≤1.000m.
P=0447 | X=0115.250-0338.420 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0447 | X=0115.250-0382.770 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0447 | X=0115.250-0396.700 | Y=0299.860-0311.100 | UBND xã Tân Hiệp cũ đoạn từ Cầu Suối 1 đến Hết ranh giới xã
P=0447 | X=0115.250-0378.530 | Y=0311.380-0322.620 | Tân Hiệp cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0447 | X=0097.010-0108.130 | Y=0319.260-0328.580 | 25
P=0447 | X=0452.330-0468.970 | Y=0319.260-0328.580 | 250
P=0447 | X=0505.390-0522.030 | Y=0319.260-0328.580 | 250
P=0447 | X=0115.250-0403.710 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0447 | X=0115.250-0338.890 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0447 | X=0115.250-0400.510 | Y=0363.940-0375.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0447 | X=0115.250-0391.990 | Y=0375.480-0386.720 | Đường vào UBND xã Tân Hiệp cũ đoạn từ cầu Suối 1 đến Hết
P=0447 | X=0115.250-0403.870 | Y=0387.000-0398.240 | ranh giới xã Tân Hiệp cũ có hiện trạng là đường nhựa, bê tông xi
P=0447 | X=0097.010-0143.250 | Y=0398.520-0409.960 | 26 măng:
P=0447 | X=0452.330-0468.970 | Y=0400.640-0409.960 | 480
P=0447 | X=0505.390-0522.030 | Y=0400.640-0409.960 | 400
P=0447 | X=0115.250-0343.690 | Y=0416.040-0427.280 | - Có bề rộng≥5m, cách đường giao thông ≤1.000m.
P=0447 | X=0115.250-0392.440 | Y=0433.560-0444.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0447 | X=0115.250-0400.510 | Y=0451.340-0462.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0447 | X=0115.250-0391.990 | Y=0462.860-0474.100 | Đường vào UBND xã Tân Hiệp cũ đoạn từ cầu Suối 1 đến Hết
P=0447 | X=0115.250-0403.870 | Y=0474.380-0485.620 | ranh giới xã Tân Hiệp cũ có hiện trạng là đường nhựa, bê tông xi
P=0447 | X=0115.250-0143.250 | Y=0485.900-0497.140 | măng:
P=0447 | X=0097.010-0349.460 | Y=0502.420-0514.660 | 27 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0447 | X=0452.330-0468.970 | Y=0502.420-0511.740 | 370
P=0447 | X=0505.390-0522.030 | Y=0502.420-0511.740 | 330
P=0447 | X=0115.250-0402.140 | Y=0520.940-0532.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0447 | X=0115.250-0176.370 | Y=0532.220-0543.460 | đến ≤1.000m.
P=0447 | X=0115.250-0338.420 | Y=0549.770-0561.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0447 | X=0115.250-0400.510 | Y=0567.530-0578.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0447 | X=0115.250-0391.990 | Y=0579.050-0590.290 | Đường vào UBND xã Tân Hiệp cũ đoạn từ cầu Suối 1 đến Hết
P=0447 | X=0115.250-0403.870 | Y=0590.570-0601.810 | ranh giới xã Tân Hiệp cũ có hiện trạng là đường nhựa, bê tông xi
P=0447 | X=0097.010-0143.250 | Y=0602.090-0613.530 | 28 măng:
P=0447 | X=0452.330-0468.970 | Y=0604.210-0613.530 | 250
P=0447 | X=0505.390-0522.030 | Y=0604.210-0613.530 | 250
P=0447 | X=0115.250-0401.060 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0447 | X=0115.250-0338.890 | Y=0637.150-0648.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0447 | X=0308.280-0400.220 | Y=0656.790-0666.110 | Hết khu làng dân tộc
P=0447 | X=0308.280-0397.740 | Y=0666.430-0677.670 | Chơro (bên phải hết
P=0447 | X=0115.250-0197.170 | Y=0672.190-0683.430 | Đường vào UBND
P=0447 | X=0308.280-0410.670 | Y=0677.950-0689.190 | ranh thửa đất số 26, tờ
P=0447 | X=0097.010-0108.130 | Y=0679.830-0689.150 | 29
P=0447 | X=0208.630-0257.220 | Y=0679.830-0689.150 | Quốc lộ 51
P=0447 | X=0452.330-0468.970 | Y=0679.830-0689.150 | 700
P=0447 | X=0505.390-0522.030 | Y=0679.830-0689.150 | 570
P=0447 | X=0115.250-0195.950 | Y=0683.710-0694.950 | xã Phước Bình cũ
P=0447 | X=0308.280-0408.430 | Y=0689.470-0700.710 | BĐĐC số 190; bên trái
P=0447 | X=0308.280-0409.510 | Y=0700.770-0712.010 | hết ranh thửa đất số 4,
P=0448 | X=0308.280-0397.910 | Y=0072.500-0083.740 | tờ BĐĐC số 190, xã
P=0448 | X=0308.280-0364.430 | Y=0084.020-0095.260 | Phước Thái)
P=0448 | X=0115.250-0382.770 | Y=0101.780-0113.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0448 | X=0115.250-0393.820 | Y=0113.300-0124.540 | UBND xã Phước Bình cũ đoạn từ Quốc lộ 51 đến Hết khu làng
P=0448 | X=0115.250-0389.510 | Y=0124.850-0136.090 | dân tộc Chơro (bên phải hết ranh thửa đất số 26, tờ BĐĐC số
P=0448 | X=0115.250-0400.700 | Y=0136.370-0147.610 | 190; bên trái hết ranh thửa đất số 4, tờ BĐĐC số 190, xã Phước
P=0448 | X=0097.010-0108.130 | Y=0144.250-0153.570 | 30
