TABLE=025 | AREA=Xã Xuân Hòa | SECTION=agricultural | SEGMENTS=1
P=0892 | X=0110.930-0342.010 | Y=0610.250-0621.490 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0892 | X=0110.930-0388.120 | Y=0627.790-0639.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0892 | X=0110.930-0396.190 | Y=0645.550-0656.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0892 | X=0110.930-0406.300 | Y=0657.070-0668.310 | Đường Huỳnh Văn Nghệ đoạn thuộc xã Xuân Hòa đoạn từ Đường
P=0892 | X=0097.490-0407.830 | Y=0668.590-0682.910 | 6 hồ Núi Le đến Hết ranh xã Xuân Hòa có hiện trạng là đường nhựa,
P=0892 | X=0454.730-0471.370 | Y=0673.590-0682.910 | 260
P=0892 | X=0505.390-0522.030 | Y=0673.590-0682.910 | 150
P=0892 | X=0110.930-0185.010 | Y=0680.110-0691.350 | bê tông xi măng:
P=0892 | X=0110.930-0342.480 | Y=0697.630-0708.870 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0893 | X=0110.930-0417.350 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0893 | X=0110.930-0152.610 | Y=0090.020-0101.260 | ≤1.000m.
P=0893 | X=0110.930-0334.100 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0893 | X=0110.930-0396.190 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0893 | X=0110.930-0406.300 | Y=0136.850-0148.090 | Đường Huỳnh Văn Nghệ đoạn thuộc xã Xuân Hòa đoạn từ Đường
P=0893 | X=0110.930-0407.830 | Y=0148.370-0159.610 | hồ Núi Le đến Hết ranh xã Xuân Hòa có hiện trạng là đường nhựa,
P=0893 | X=0097.490-0185.010 | Y=0159.650-0171.330 | 7 bê tông xi măng:
P=0893 | X=0454.730-0471.370 | Y=0162.010-0171.330 | 180
P=0893 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 110
P=0893 | X=0110.930-0396.740 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0893 | X=0110.930-0334.570 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0893 | X=0237.220-0324.140 | Y=0212.470-0223.710 | Đường Ngô Gia Tự
P=0893 | X=0327.240-0404.540 | Y=0218.230-0229.470 | Hết Trường Mầm
P=0893 | X=0237.220-0315.560 | Y=0223.990-0235.230 | (song hành) đoạn
P=0893 | X=0097.490-0153.970 | Y=0225.870-0235.190 | 8 Quốc lộ 1
P=0893 | X=0454.730-0471.370 | Y=0225.870-0235.190 | 530
P=0893 | X=0505.390-0522.030 | Y=0225.870-0235.190 | 400
P=0893 | X=0327.240-0366.200 | Y=0229.750-0240.990 | non ấp 6
P=0893 | X=0237.220-0322.270 | Y=0237.390-0246.710 | thuộc xã Xuân Hòa
P=0893 | X=0110.930-0407.930 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0893 | X=0110.930-0404.470 | Y=0264.790-0276.030 | Đường Ngô Gia Tự (song hành) đoạn thuộc xã Xuân Hòa đến Hết
P=0893 | X=0110.930-0390.430 | Y=0276.310-0287.550 | Trường Mầm non ấp 6 có hiện trạng là đường nhựa, bê tông xi
P=0893 | X=0097.490-0138.930 | Y=0287.860-0299.300 | 9 măng:
P=0893 | X=0454.730-0471.370 | Y=0289.980-0299.300 | 380
P=0893 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 250
P=0893 | X=0110.930-0342.010 | Y=0305.380-0316.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0893 | X=0110.930-0388.120 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0893 | X=0110.930-0407.930 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0893 | X=0110.930-0404.470 | Y=0351.940-0363.180 | Đường Ngô Gia Tự (song hành) đoạn thuộc xã Xuân Hòa đến Hết
P=0893 | X=0110.930-0390.430 | Y=0363.460-0374.700 | Trường Mầm non ấp 6 có hiện trạng là đường nhựa, bê tông xi
P=0893 | X=0110.930-0138.930 | Y=0375.000-0386.240 | măng:
P=0893 | X=0094.820-0342.480 | Y=0391.760-0403.760 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0893 | X=0454.730-0471.370 | Y=0391.760-0401.080 | 310
P=0893 | X=0505.390-0522.030 | Y=0391.760-0401.080 | 200
P=0893 | X=0110.930-0417.350 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0893 | X=0110.930-0152.610 | Y=0421.560-0432.800 | ≤1.000m.
P=0893 | X=0110.930-0334.100 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0893 | X=0110.930-0407.930 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0893 | X=0110.930-0404.470 | Y=0468.380-0479.620 | Đường Ngô Gia Tự (song hành) đoạn thuộc xã Xuân Hòa đến Hết
P=0893 | X=0110.930-0390.430 | Y=0479.900-0491.140 | Trường Mầm non ấp 6 có hiện trạng là đường nhựa, bê tông xi
P=0893 | X=0094.820-0138.930 | Y=0491.420-0502.860 | 11 măng:
P=0893 | X=0454.730-0471.370 | Y=0493.540-0502.860 | 220
P=0893 | X=0505.390-0522.030 | Y=0493.540-0502.860 | 140
P=0893 | X=0110.930-0396.740 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0893 | X=0110.930-0334.570 | Y=0526.220-0537.460 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0893 | X=0110.930-0396.190 | Y=0544.010-0555.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0893 | X=0110.930-0402.460 | Y=0555.530-0566.770 | Quốc lộ 1 đoạn từ Đường Ngô Gia Tự (song hành) đoạn thuộc xã
P=0893 | X=0110.930-0400.540 | Y=0567.050-0578.290 | Xuân Hòa đến Hết Trường Mầm non ấp 6 có hiện trạng là đường
P=0893 | X=0094.820-0214.040 | Y=0578.570-0590.010 | 12 nhựa, bê tông xi măng:
P=0893 | X=0454.730-0471.370 | Y=0580.690-0590.010 | 380
P=0893 | X=0505.390-0522.030 | Y=0580.690-0590.010 | 250
P=0893 | X=0110.930-0342.010 | Y=0596.090-0607.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0893 | X=0110.930-0388.120 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0893 | X=0110.930-0396.190 | Y=0631.390-0642.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0893 | X=0110.930-0402.460 | Y=0642.910-0654.150 | Quốc lộ 1 đoạn từ Đường Ngô Gia Tự (song hành) đoạn thuộc xã
P=0893 | X=0110.930-0400.540 | Y=0654.430-0665.670 | Xuân Hòa đến Hết Trường Mầm non ấp 6 có hiện trạng là đường
P=0893 | X=0094.820-0214.040 | Y=0665.950-0677.390 | 13 nhựa, bê tông xi măng:
P=0893 | X=0454.730-0471.370 | Y=0668.070-0677.390 | 310
P=0893 | X=0505.390-0522.030 | Y=0668.070-0677.390 | 200
P=0893 | X=0110.930-0342.480 | Y=0683.470-0694.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0893 | X=0110.930-0417.350 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0894 | X=0110.930-0152.610 | Y=0072.500-0083.740 | ≤1.000m.
P=0894 | X=0110.930-0334.100 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0894 | X=0110.930-0396.190 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0894 | X=0110.930-0402.460 | Y=0119.330-0130.570 | Quốc lộ 1 đoạn từ Đường Ngô Gia Tự (song hành) đoạn thuộc xã
P=0894 | X=0110.930-0400.540 | Y=0130.850-0142.090 | Xuân Hòa đến Hết Trường Mầm non ấp 6 có hiện trạng là đường
P=0894 | X=0094.820-0214.040 | Y=0142.370-0153.810 | 14 nhựa, bê tông xi măng:
P=0894 | X=0454.730-0471.370 | Y=0144.490-0153.810 | 220
P=0894 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 140
P=0894 | X=0110.930-0396.740 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0894 | X=0110.930-0334.570 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0894 | X=0237.220-0400.300 | Y=0194.930-0206.170 | Giáp Trường Mầm Hết chùa Quảng
P=0894 | X=0094.820-0153.970 | Y=0202.590-0211.910 | 15 Quốc lộ 1
P=0894 | X=0454.730-0471.370 | Y=0202.590-0211.910 | 530
P=0894 | X=0505.390-0522.030 | Y=0202.590-0211.910 | 400
P=0894 | X=0237.220-0276.180 | Y=0206.470-0217.710 | non ấp 6
P=0894 | X=0327.240-0349.400 | Y=0208.350-0217.670 | Long
P=0894 | X=0110.930-0407.930 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0894 | X=0110.930-0416.380 | Y=0235.750-0246.990 | Giáp Trường Mầm non ấp 6 đến Hết chùa Quảng Long có hiện trạng
P=0894 | X=0110.930-0257.260 | Y=0247.270-0258.510 | là đường nhựa, bê tông xi măng:
P=0894 | X=0094.820-0105.940 | Y=0255.150-0264.470 | 16
P=0894 | X=0454.730-0471.370 | Y=0255.150-0264.470 | 380
P=0894 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 250
P=0894 | X=0110.930-0342.010 | Y=0264.790-0276.030 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0894 | X=0110.930-0388.140 | Y=0282.340-0293.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0894 | X=0110.930-0407.930 | Y=0300.100-0311.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0894 | X=0110.930-0416.380 | Y=0311.620-0322.860 | Giáp Trường Mầm non ấp 6 đến Hết chùa Quảng Long có hiện trạng
P=0894 | X=0110.930-0257.260 | Y=0323.140-0334.380 | là đường nhựa, bê tông xi măng:
P=0894 | X=0094.820-0342.480 | Y=0340.660-0354.740 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0894 | X=0454.730-0471.370 | Y=0345.420-0354.740 | 310
P=0894 | X=0505.390-0522.030 | Y=0345.420-0354.740 | 200
P=0894 | X=0110.930-0417.350 | Y=0357.940-0369.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0894 | X=0110.930-0152.610 | Y=0369.480-0380.720 | ≤1.000m.
P=0894 | X=0110.930-0334.100 | Y=0387.000-0398.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0894 | X=0110.930-0407.930 | Y=0404.760-0416.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0894 | X=0110.930-0416.380 | Y=0416.280-0427.520 | Giáp Trường Mầm non ấp 6 đến Hết chùa Quảng Long có hiện trạng
P=0894 | X=0110.930-0257.260 | Y=0427.800-0439.040 | là đường nhựa, bê tông xi măng:
P=0894 | X=0094.820-0105.940 | Y=0435.680-0445.000 | 18
P=0894 | X=0454.730-0471.370 | Y=0435.680-0445.000 | 220
P=0894 | X=0505.390-0522.030 | Y=0435.680-0445.000 | 140
P=0894 | X=0110.930-0396.740 | Y=0445.320-0456.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0894 | X=0110.930-0334.570 | Y=0462.860-0474.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0894 | X=0110.930-0396.190 | Y=0480.620-0491.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0894 | X=0110.930-0413.510 | Y=0492.140-0503.380 | Quốc lộ 1 đoạn từ Giáp Trường Mầm non ấp 6 đến Hết chùa Quảng
P=0894 | X=0110.930-0342.960 | Y=0503.660-0514.900 | Long có hiện trạng là đường nhựa, bê tông xi măng:
P=0894 | X=0094.820-0105.940 | Y=0511.540-0520.860 | 19
P=0894 | X=0454.730-0471.370 | Y=0511.540-0520.860 | 380
P=0894 | X=0505.390-0522.030 | Y=0511.540-0520.860 | 250
P=0894 | X=0110.930-0342.010 | Y=0521.180-0532.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0894 | X=0110.930-0388.120 | Y=0538.490-0549.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0894 | X=0110.930-0396.190 | Y=0556.250-0567.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0894 | X=0110.930-0413.510 | Y=0567.770-0579.010 | Quốc lộ 1 đoạn từ Giáp Trường Mầm non ấp 6 đến Hết chùa Quảng
P=0894 | X=0110.930-0342.960 | Y=0579.290-0590.530 | Long có hiện trạng là đường nhựa, bê tông xi măng:
P=0894 | X=0094.820-0342.480 | Y=0596.810-0611.130 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0894 | X=0454.730-0471.370 | Y=0601.810-0611.130 | 310
P=0894 | X=0505.390-0522.030 | Y=0601.810-0611.130 | 200
P=0894 | X=0110.930-0417.350 | Y=0614.330-0625.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0894 | X=0110.930-0152.610 | Y=0625.870-0637.110 | ≤1.000m.
P=0894 | X=0110.930-0334.120 | Y=0643.390-0654.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0894 | X=0110.930-0396.190 | Y=0661.150-0672.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0894 | X=0110.930-0413.510 | Y=0672.670-0683.910 | Quốc lộ 1 đoạn từ Giáp Trường Mầm non ấp 6 đến Hết chùa Quảng
P=0894 | X=0094.820-0342.960 | Y=0683.190-0695.430 | 21 Long có hiện trạng là đường nhựa, bê tông xi măng:
P=0894 | X=0454.730-0471.370 | Y=0683.190-0692.510 | 220
P=0894 | X=0505.390-0522.030 | Y=0683.190-0692.510 | 140
P=0894 | X=0110.930-0396.740 | Y=0701.730-0712.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0895 | X=0110.930-0334.570 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0895 | X=0237.220-0310.280 | Y=0098.140-0107.460 | Hết chùa Quảng
P=0895 | X=0327.240-0409.190 | Y=0102.020-0113.260 | Đường Cầu Trắng
P=0895 | X=0094.820-0153.970 | Y=0103.900-0113.220 | 22 Quốc lộ 1
P=0895 | X=0454.730-0471.370 | Y=0103.900-0113.220 | 530
P=0895 | X=0505.390-0522.030 | Y=0103.900-0113.220 | 400
P=0895 | X=0237.220-0259.380 | Y=0109.660-0118.980 | Long
P=0895 | X=0110.930-0407.930 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0895 | X=0110.930-0416.630 | Y=0137.090-0148.330 | Hết chùa Quảng Long đến Đường Cầu Trắng có hiện trạng là đường
P=0895 | X=0110.930-0214.070 | Y=0148.610-0159.850 | nhựa, bê tông xi măng:
P=0895 | X=0094.820-0105.940 | Y=0156.490-0165.810 | 23
P=0895 | X=0454.730-0471.370 | Y=0156.490-0165.810 | 380
P=0895 | X=0505.390-0522.030 | Y=0156.490-0165.810 | 250
P=0895 | X=0110.930-0342.010 | Y=0166.130-0177.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0895 | X=0110.930-0388.120 | Y=0183.410-0194.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0895 | X=0110.930-0407.930 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0895 | X=0110.930-0416.630 | Y=0212.710-0223.950 | Hết chùa Quảng Long đến Đường Cầu Trắng có hiện trạng là đường
P=0895 | X=0110.930-0214.040 | Y=0224.230-0235.470 | nhựa, bê tông xi măng:
P=0895 | X=0094.820-0342.480 | Y=0241.750-0256.070 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0895 | X=0454.730-0471.370 | Y=0246.750-0256.070 | 310
P=0895 | X=0505.390-0522.030 | Y=0246.750-0256.070 | 200
P=0895 | X=0110.930-0417.350 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0895 | X=0110.930-0152.610 | Y=0270.790-0282.030 | ≤1.000m.
P=0895 | X=0110.930-0334.100 | Y=0288.340-0299.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0895 | X=0110.930-0407.930 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0895 | X=0110.930-0416.630 | Y=0317.620-0328.860 | Hết chùa Quảng Long đến Đường Cầu Trắng có hiện trạng là đường
P=0895 | X=0110.930-0214.040 | Y=0329.140-0340.380 | nhựa, bê tông xi măng:
P=0895 | X=0094.820-0105.940 | Y=0337.020-0346.340 | 25
P=0895 | X=0454.730-0471.370 | Y=0337.020-0346.340 | 220
P=0895 | X=0505.390-0522.030 | Y=0337.020-0346.340 | 140
P=0895 | X=0110.930-0396.740 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0895 | X=0110.930-0334.570 | Y=0363.940-0375.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0895 | X=0110.930-0396.190 | Y=0381.720-0392.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0895 | X=0110.930-0409.180 | Y=0393.240-0404.480 | Quốc lộ 1 đoạn từ Hết chùa Quảng Long đến Đường Cầu Trắng có
P=0895 | X=0110.930-0304.540 | Y=0404.760-0416.000 | hiện trạng là đường nhựa, bê tông xi măng:
P=0895 | X=0094.820-0105.940 | Y=0412.640-0421.960 | 26
P=0895 | X=0454.730-0471.370 | Y=0412.640-0421.960 | 380
P=0895 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 250
P=0895 | X=0110.930-0342.010 | Y=0422.280-0433.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0895 | X=0110.930-0388.120 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0895 | X=0110.930-0396.190 | Y=0457.580-0468.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0895 | X=0110.930-0409.180 | Y=0469.100-0480.340 | Quốc lộ 1 đoạn từ Hết chùa Quảng Long đến Đường Cầu Trắng có
P=0895 | X=0110.930-0304.540 | Y=0480.620-0491.860 | hiện trạng là đường nhựa, bê tông xi măng:
P=0895 | X=0094.820-0342.480 | Y=0498.140-0512.220 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0895 | X=0454.730-0471.370 | Y=0502.900-0512.220 | 310
P=0895 | X=0505.390-0522.030 | Y=0502.900-0512.220 | 200
P=0895 | X=0110.930-0417.350 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0895 | X=0110.930-0152.610 | Y=0527.180-0538.420 | ≤1.000m.
P=0895 | X=0110.930-0334.100 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0895 | X=0110.930-0396.190 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0895 | X=0110.930-0409.180 | Y=0573.770-0585.010 | Quốc lộ 1 đoạn từ Hết chùa Quảng Long đến Đường Cầu Trắng có
P=0895 | X=0110.930-0304.540 | Y=0585.290-0596.530 | hiện trạng là đường nhựa, bê tông xi măng:
P=0895 | X=0094.820-0105.940 | Y=0593.170-0602.490 | 28
P=0895 | X=0454.730-0471.370 | Y=0593.170-0602.490 | 220
P=0895 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 140
P=0895 | X=0110.930-0396.740 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0895 | X=0110.930-0334.570 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0895 | X=0327.240-0396.000 | Y=0638.110-0649.350 | Đường Tà Lú +
P=0895 | X=0094.820-0153.970 | Y=0645.750-0655.070 | 29 Quốc lộ 1
P=0895 | X=0237.220-0284.590 | Y=0645.750-0655.070 | Cầu Trắng
P=0895 | X=0454.730-0471.370 | Y=0645.750-0655.070 | 530
P=0895 | X=0505.390-0522.030 | Y=0645.750-0655.070 | 400
P=0895 | X=0327.240-0352.200 | Y=0651.510-0660.830 | 800m
P=0895 | X=0110.930-0407.930 | Y=0667.390-0678.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0895 | X=0110.930-0409.750 | Y=0678.910-0690.150 | Cầu Trắng đến Đường Tà Lú + 800m có hiện trạng là đường nhựa,
P=0895 | X=0094.820-0185.010 | Y=0689.430-0701.670 | 30 bê tông xi măng:
P=0895 | X=0454.730-0471.370 | Y=0689.430-0698.750 | 380
P=0895 | X=0505.390-0522.030 | Y=0689.430-0698.750 | 250
P=0895 | X=0110.930-0342.010 | Y=0707.970-0719.210 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0896 | X=0110.930-0388.120 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
