TABLE=021 | AREA=Phường Xuân Lập | SECTION=agricultural | SEGMENTS=1
P=0686 | X=0107.090-0384.040 | Y=0666.670-0677.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0686 | X=0107.090-0412.270 | Y=0684.430-0695.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lương Đình
P=0686 | X=0095.570-0426.240 | Y=0695.950-0707.190 | 3 Của đoạn từ Đường Hồng Thập Tự đến Giáp ranh phường Long Khánh
P=0686 | X=0457.850-0474.490 | Y=0697.830-0707.150 | 320
P=0686 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 260
P=0686 | X=0107.090-0313.940 | Y=0707.490-0718.730 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0687 | X=0107.090-0329.790 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0687 | X=0107.090-0414.220 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0687 | X=0107.090-0140.130 | Y=0107.540-0118.780 | ≤600m.
P=0687 | X=0107.090-0329.800 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0687 | X=0107.090-0412.270 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lương Đình
P=0687 | X=0107.090-0426.240 | Y=0154.370-0165.610 | Của đoạn từ Đường Hồng Thập Tự đến Giáp ranh phường Long Khánh
P=0687 | X=0107.090-0313.940 | Y=0165.650-0176.890 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0687 | X=0095.570-0101.170 | Y=0173.530-0182.850 | 4
P=0687 | X=0457.850-0474.490 | Y=0173.530-0182.850 | 240
P=0687 | X=0505.390-0522.030 | Y=0173.530-0182.850 | 210
P=0687 | X=0107.090-0384.270 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0687 | X=0107.090-0330.280 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0687 | X=0107.090-0426.700 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0687 | X=0107.090-0426.230 | Y=0229.990-0241.230 | Lương Đình Của đoạn từ Đường Hồng Thập Tự đến Giáp ranh phường
P=0687 | X=0107.090-0370.600 | Y=0241.510-0252.750 | Long Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0687 | X=0095.570-0101.170 | Y=0249.390-0258.710 | 5
P=0687 | X=0457.850-0474.490 | Y=0249.390-0258.710 | 400
P=0687 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 320
P=0687 | X=0107.090-0329.560 | Y=0259.030-0270.270 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0687 | X=0107.090-0384.040 | Y=0276.550-0287.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0687 | X=0107.090-0426.700 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0687 | X=0107.090-0426.220 | Y=0305.860-0317.100 | Lương Đình Của đoạn từ Đường Hồng Thập Tự đến Giáp ranh phường
P=0687 | X=0107.090-0370.570 | Y=0317.380-0328.620 | Long Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0687 | X=0095.570-0329.790 | Y=0334.900-0348.980 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0687 | X=0457.850-0474.490 | Y=0339.660-0348.980 | 320
P=0687 | X=0505.390-0522.030 | Y=0339.660-0348.980 | 260
P=0687 | X=0107.090-0414.220 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0687 | X=0107.090-0140.130 | Y=0363.700-0374.940 | ≤600m.
P=0687 | X=0107.090-0329.800 | Y=0381.240-0392.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0687 | X=0107.090-0426.700 | Y=0399.000-0410.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0687 | X=0107.090-0426.230 | Y=0410.520-0421.760 | Lương Đình Của đoạn từ Đường Hồng Thập Tự đến Giáp ranh phường
P=0687 | X=0107.090-0370.570 | Y=0422.040-0433.280 | Long Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0687 | X=0095.570-0101.170 | Y=0429.920-0439.240 | 7
P=0687 | X=0457.850-0474.490 | Y=0429.920-0439.240 | 240
P=0687 | X=0505.390-0522.030 | Y=0429.920-0439.240 | 210
P=0687 | X=0107.090-0384.270 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0687 | X=0107.090-0332.690 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0687 | X=0234.340-0416.860 | Y=0474.860-0486.100 | Đường Xuân Bình - Đường Nguyễn Văn
P=0687 | X=0095.570-0194.550 | Y=0480.620-0491.860 | 8 Đường Võ Văn Tần
P=0687 | X=0457.850-0474.490 | Y=0482.500-0491.820 | 600
P=0687 | X=0505.390-0522.030 | Y=0482.500-0491.820 | 490
P=0687 | X=0234.340-0276.910 | Y=0488.260-0497.580 | Xuân Lập
P=0687 | X=0327.480-0344.840 | Y=0488.260-0497.580 | Trỗi
P=0687 | X=0107.090-0411.100 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Văn Tần
P=0687 | X=0107.090-0422.600 | Y=0515.660-0526.900 | đoạn từ Đường Xuân Bình - Xuân Lập đến Đường Nguyễn Văn Trỗi có
P=0687 | X=0107.090-0300.700 | Y=0527.180-0538.420 | hiện trạng là đường nhựa, bê tông xi măng:
P=0687 | X=0095.570-0101.170 | Y=0535.090-0544.410 | 9
P=0687 | X=0457.850-0474.490 | Y=0535.090-0544.410 | 400
P=0687 | X=0505.390-0522.030 | Y=0535.090-0544.410 | 320
P=0687 | X=0107.090-0329.560 | Y=0544.490-0555.730 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0687 | X=0107.090-0384.040 | Y=0562.010-0573.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0687 | X=0107.090-0411.100 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Văn Tần
P=0687 | X=0107.090-0422.600 | Y=0591.290-0602.530 | đoạn từ Đường Xuân Bình - Xuân Lập đến Đường Nguyễn Văn Trỗi có
P=0687 | X=0107.090-0300.700 | Y=0602.810-0614.050 | hiện trạng là đường nhựa, bê tông xi măng:
P=0687 | X=0092.900-0329.790 | Y=0620.350-0634.670 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0687 | X=0457.850-0474.490 | Y=0625.350-0634.670 | 320
P=0687 | X=0505.390-0522.030 | Y=0625.350-0634.670 | 260
P=0687 | X=0107.090-0414.220 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0687 | X=0107.090-0140.130 | Y=0649.390-0660.630 | ≤600m.
P=0687 | X=0107.090-0329.800 | Y=0666.910-0678.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0687 | X=0107.090-0411.100 | Y=0684.670-0695.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Văn Tần
P=0687 | X=0092.900-0422.600 | Y=0696.190-0707.430 | 11 đoạn từ Đường Xuân Bình - Xuân Lập đến Đường Nguyễn Văn Trỗi có
P=0687 | X=0457.850-0474.490 | Y=0698.070-0707.390 | 240
P=0687 | X=0505.390-0522.030 | Y=0698.070-0707.390 | 210
P=0687 | X=0107.090-0300.700 | Y=0707.730-0718.970 | hiện trạng là đường nhựa, bê tông xi măng:
P=0688 | X=0107.090-0384.270 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0688 | X=0107.090-0330.280 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0688 | X=0107.090-0426.700 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0688 | X=0107.090-0424.060 | Y=0125.330-0136.570 | Võ Văn Tần đoạn từ Đường Xuân Bình - Xuân Lập đến Đường Nguyễn
P=0688 | X=0107.090-0354.500 | Y=0136.850-0148.090 | Văn Trỗi có hiện trạng là đường nhựa, bê tông xi măng:
P=0688 | X=0092.900-0104.020 | Y=0144.730-0154.050 | 12
P=0688 | X=0457.850-0474.490 | Y=0144.730-0154.050 | 400
P=0688 | X=0505.390-0522.030 | Y=0144.730-0154.050 | 320
P=0688 | X=0107.090-0329.560 | Y=0154.370-0165.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0688 | X=0107.090-0384.040 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0688 | X=0107.090-0426.700 | Y=0189.410-0200.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0688 | X=0107.090-0424.060 | Y=0200.950-0212.190 | Võ Văn Tần đoạn từ Đường Xuân Bình - Xuân Lập đến Đường Nguyễn
P=0688 | X=0107.090-0354.500 | Y=0212.470-0223.710 | Văn Trỗi có hiện trạng là đường nhựa, bê tông xi măng:
P=0688 | X=0092.900-0329.790 | Y=0229.990-0244.310 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0688 | X=0457.850-0474.490 | Y=0234.990-0244.310 | 320
P=0688 | X=0505.390-0522.030 | Y=0234.990-0244.310 | 260
P=0688 | X=0107.090-0414.220 | Y=0247.510-0258.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0688 | X=0107.090-0140.130 | Y=0259.030-0270.270 | ≤600m.
P=0688 | X=0107.090-0329.800 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0688 | X=0107.090-0426.700 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0688 | X=0107.090-0424.060 | Y=0305.860-0317.100 | Võ Văn Tần đoạn từ Đường Xuân Bình - Xuân Lập đến Đường Nguyễn
P=0688 | X=0107.090-0354.500 | Y=0317.380-0328.620 | Văn Trỗi có hiện trạng là đường nhựa, bê tông xi măng:
P=0688 | X=0092.900-0104.020 | Y=0325.260-0334.580 | 14
P=0688 | X=0457.850-0474.490 | Y=0325.260-0334.580 | 240
P=0688 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 210
P=0688 | X=0107.090-0384.270 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0688 | X=0107.090-0332.690 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0688 | X=0234.340-0421.660 | Y=0369.960-0381.200 | Đường Lương Định Cuối khu dân cư Khu
P=0688 | X=0092.900-0216.380 | Y=0375.720-0386.960 | 15 Đường Nguyễn Văn Trỗi
P=0688 | X=0457.850-0474.490 | Y=0377.600-0386.920 | 600
P=0688 | X=0505.390-0522.030 | Y=0377.600-0386.920 | 490
P=0688 | X=0327.480-0377.980 | Y=0381.480-0392.720 | phố Núi Đỏ
P=0688 | X=0234.340-0252.660 | Y=0383.360-0392.680 | Của
P=0688 | X=0107.090-0413.260 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0688 | X=0107.090-0426.700 | Y=0410.760-0422.000 | Trỗi đoạn từ Đường Lương Định Của đến Cuối khu dân cư Khu phố Núi
P=0688 | X=0107.090-0329.540 | Y=0422.280-0433.520 | Đỏ có hiện trạng là đường nhựa, bê tông xi măng:
P=0688 | X=0092.900-0104.020 | Y=0430.160-0439.480 | 16
P=0688 | X=0457.850-0474.490 | Y=0430.160-0439.480 | 400
P=0688 | X=0505.390-0522.030 | Y=0430.160-0439.480 | 320
P=0688 | X=0107.090-0329.560 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0688 | X=0107.090-0384.040 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0688 | X=0107.090-0413.260 | Y=0475.100-0486.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0688 | X=0107.090-0426.700 | Y=0486.620-0497.860 | Trỗi đoạn từ Đường Lương Định Của đến Cuối khu dân cư Khu phố Núi
P=0688 | X=0107.090-0329.540 | Y=0498.140-0509.380 | Đỏ có hiện trạng là đường nhựa, bê tông xi măng:
P=0688 | X=0092.900-0329.790 | Y=0515.660-0529.740 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0688 | X=0457.850-0474.490 | Y=0520.420-0529.740 | 320
P=0688 | X=0505.390-0522.030 | Y=0520.420-0529.740 | 260
P=0688 | X=0107.090-0414.220 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0688 | X=0107.090-0140.130 | Y=0544.490-0555.730 | ≤600m.
P=0688 | X=0107.090-0329.800 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0688 | X=0107.090-0413.270 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0688 | X=0107.090-0426.700 | Y=0591.290-0602.530 | Trỗi đoạn từ Đường Lương Định Của đến Cuối khu dân cư Khu phố Núi
P=0688 | X=0107.090-0329.540 | Y=0602.810-0614.050 | Đỏ có hiện trạng là đường nhựa, bê tông xi măng:
P=0688 | X=0092.900-0104.020 | Y=0610.690-0620.010 | 18
P=0688 | X=0457.850-0474.490 | Y=0610.690-0620.010 | 240
P=0688 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 210
P=0688 | X=0107.090-0384.270 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0688 | X=0107.090-0330.280 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0688 | X=0107.090-0426.700 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0688 | X=0107.090-0426.870 | Y=0667.150-0678.390 | Nguyễn Văn Trỗi đoạn từ Đường Lương Định Của đến Cuối khu dân cư
P=0688 | X=0092.900-0387.390 | Y=0677.670-0689.910 | 19 Khu phố Núi Đỏ có hiện trạng là đường nhựa, bê tông xi măng:
P=0688 | X=0457.850-0474.490 | Y=0677.670-0686.990 | 400
P=0688 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 320
P=0688 | X=0107.090-0329.560 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0689 | X=0107.090-0384.040 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0689 | X=0107.090-0426.700 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0689 | X=0107.090-0426.870 | Y=0107.780-0119.020 | Nguyễn Văn Trỗi đoạn từ Đường Lương Định Của đến Cuối khu dân cư
P=0689 | X=0107.090-0387.390 | Y=0119.330-0130.570 | Khu phố Núi Đỏ có hiện trạng là đường nhựa, bê tông xi măng:
P=0689 | X=0092.900-0329.790 | Y=0136.850-0150.930 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0689 | X=0457.850-0474.490 | Y=0141.610-0150.930 | 320
P=0689 | X=0505.390-0522.030 | Y=0141.610-0150.930 | 260
P=0689 | X=0107.090-0414.220 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0689 | X=0107.090-0140.130 | Y=0165.650-0176.890 | ≤600m.
P=0689 | X=0107.090-0329.800 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0689 | X=0107.090-0426.700 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0689 | X=0107.090-0426.870 | Y=0212.470-0223.710 | Nguyễn Văn Trỗi đoạn từ Đường Lương Định Của đến Cuối khu dân cư
P=0689 | X=0107.090-0387.390 | Y=0223.990-0235.230 | Khu phố Núi Đỏ có hiện trạng là đường nhựa, bê tông xi măng:
P=0689 | X=0092.900-0104.020 | Y=0231.870-0241.190 | 21
P=0689 | X=0457.850-0474.490 | Y=0231.870-0241.190 | 240
P=0689 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 210
P=0689 | X=0107.090-0384.270 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0689 | X=0107.090-0332.690 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0689 | X=0234.340-0308.060 | Y=0276.790-0288.030 | Cuối khu dân cư
P=0689 | X=0092.900-0216.380 | Y=0282.580-0293.820 | 22 Đường Nguyễn Văn Trỗi
P=0689 | X=0327.480-0400.510 | Y=0282.580-0293.820 | Đường Bàu Sen
P=0689 | X=0457.850-0474.490 | Y=0284.460-0293.780 | 600
P=0689 | X=0505.390-0522.030 | Y=0284.460-0293.780 | 490
P=0689 | X=0234.340-0305.240 | Y=0288.340-0299.580 | Khu phố Núi Đỏ
P=0689 | X=0107.090-0413.260 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0689 | X=0107.090-0419.720 | Y=0317.620-0328.860 | Trỗi đoạn từ Cuối khu dân cư Khu phố Núi Đỏ đến Đường Bàu Sen có
P=0689 | X=0107.090-0300.700 | Y=0329.140-0340.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=0689 | X=0092.900-0104.020 | Y=0337.020-0346.340 | 23
P=0689 | X=0457.850-0474.490 | Y=0337.020-0346.340 | 400
P=0689 | X=0505.390-0522.030 | Y=0337.020-0346.340 | 320
P=0689 | X=0107.090-0329.560 | Y=0346.660-0357.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0689 | X=0107.090-0384.040 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0689 | X=0107.090-0413.260 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0689 | X=0107.090-0419.720 | Y=0393.240-0404.480 | Trỗi đoạn từ Cuối khu dân cư Khu phố Núi Đỏ đến Đường Bàu Sen có
P=0689 | X=0107.090-0300.700 | Y=0404.760-0416.000 | hiện trạng là đường nhựa, bê tông xi măng:
P=0689 | X=0092.900-0329.790 | Y=0422.280-0436.600 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0689 | X=0457.850-0474.490 | Y=0427.280-0436.600 | 320
P=0689 | X=0505.390-0522.030 | Y=0427.280-0436.600 | 260
P=0689 | X=0107.090-0414.220 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0689 | X=0107.090-0140.130 | Y=0451.340-0462.580 | ≤600m.
P=0689 | X=0107.090-0329.800 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0689 | X=0107.090-0413.260 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0689 | X=0107.090-0419.720 | Y=0498.140-0509.380 | Trỗi đoạn từ Cuối khu dân cư Khu phố Núi Đỏ đến Đường Bàu Sen có
P=0689 | X=0107.090-0300.700 | Y=0509.660-0520.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=0689 | X=0092.900-0104.020 | Y=0517.540-0526.860 | 25
P=0689 | X=0457.850-0474.490 | Y=0517.540-0526.860 | 240
P=0689 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 210
P=0689 | X=0107.090-0384.270 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0689 | X=0107.090-0330.280 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0689 | X=0107.090-0426.700 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0689 | X=0107.090-0423.110 | Y=0573.770-0585.010 | Nguyễn Văn Trỗi đoạn từ Cuối khu dân cư Khu phố Núi Đỏ đến Đường
P=0689 | X=0107.090-0354.970 | Y=0585.290-0596.530 | Bàu Sen có hiện trạng là đường nhựa, bê tông xi măng:
P=0689 | X=0092.900-0104.020 | Y=0593.170-0602.490 | 26
P=0689 | X=0457.850-0474.490 | Y=0593.170-0602.490 | 400
P=0689 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 320
P=0689 | X=0107.090-0329.560 | Y=0602.810-0614.050 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0689 | X=0107.090-0384.040 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0689 | X=0107.090-0426.700 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0689 | X=0107.090-0423.110 | Y=0649.630-0660.870 | Nguyễn Văn Trỗi đoạn từ Cuối khu dân cư Khu phố Núi Đỏ đến Đường
P=0689 | X=0107.090-0354.970 | Y=0661.150-0672.390 | Bàu Sen có hiện trạng là đường nhựa, bê tông xi măng:
P=0689 | X=0092.900-0104.020 | Y=0674.790-0684.110 | 27
P=0689 | X=0457.850-0474.490 | Y=0674.790-0684.110 | 320
P=0689 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 260
P=0689 | X=0107.090-0329.790 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0689 | X=0107.090-0414.220 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0689 | X=0107.090-0140.130 | Y=0707.730-0718.970 | ≤600m.
P=0690 | X=0107.090-0329.800 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0690 | X=0107.090-0426.700 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0690 | X=0107.090-0423.110 | Y=0107.780-0119.020 | Nguyễn Văn Trỗi đoạn từ Cuối khu dân cư Khu phố Núi Đỏ đến Đường
P=0690 | X=0107.090-0354.970 | Y=0119.330-0130.570 | Bàu Sen có hiện trạng là đường nhựa, bê tông xi măng:
P=0690 | X=0092.900-0104.020 | Y=0127.210-0136.530 | 28
P=0690 | X=0457.850-0474.490 | Y=0127.210-0136.530 | 240
P=0690 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 210
P=0690 | X=0107.090-0384.270 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0690 | X=0107.090-0332.690 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0690 | X=0234.340-0410.830 | Y=0172.130-0183.370 | Đường Nguyễn Văn Đường Bàu Sen đi
P=0690 | X=0092.900-0180.120 | Y=0177.650-0188.890 | 29 Đường Bàu Sen
P=0690 | X=0457.850-0474.490 | Y=0179.530-0188.850 | 600
P=0690 | X=0505.390-0522.030 | Y=0179.530-0188.850 | 490
P=0690 | X=0234.340-0251.700 | Y=0185.290-0194.610 | Trỗi
P=0690 | X=0327.480-0370.070 | Y=0185.290-0194.610 | Xuân Lập
P=0690 | X=0107.090-0421.670 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu Sen đoạn
P=0690 | X=0107.090-0415.180 | Y=0212.710-0223.950 | từ Đường Nguyễn Văn Trỗi đến Đường Bàu Sen đi Xuân Lập có hiện
P=0690 | X=0107.090-0278.870 | Y=0224.230-0235.470 | trạng là đường nhựa, bê tông xi măng:
P=0690 | X=0092.900-0104.020 | Y=0232.110-0241.430 | 30
P=0690 | X=0457.850-0474.490 | Y=0232.110-0241.430 | 400
P=0690 | X=0505.390-0522.030 | Y=0232.110-0241.430 | 320
P=0690 | X=0107.090-0329.560 | Y=0241.750-0252.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0690 | X=0107.090-0384.040 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0690 | X=0107.090-0421.670 | Y=0277.030-0288.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu Sen đoạn
P=0690 | X=0107.090-0415.180 | Y=0288.580-0299.820 | từ Đường Nguyễn Văn Trỗi đến Đường Bàu Sen đi Xuân Lập có hiện
P=0690 | X=0107.090-0278.870 | Y=0300.100-0311.340 | trạng là đường nhựa, bê tông xi măng:
P=0690 | X=0092.900-0329.790 | Y=0317.620-0331.700 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0690 | X=0457.850-0474.490 | Y=0322.380-0331.700 | 320
P=0690 | X=0505.390-0522.030 | Y=0322.380-0331.700 | 260
P=0690 | X=0107.090-0414.220 | Y=0335.140-0346.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0690 | X=0107.090-0140.130 | Y=0346.660-0357.900 | ≤600m.
