TABLE=055 | AREA=Xã Phú Lý | SECTION=agricultural | SEGMENTS=1
P=1832 | X=0102.050-0107.650 | Y=0505.780-0515.100 | 7
P=1832 | X=0456.650-0467.770 | Y=0505.780-0515.100 | 80
P=1832 | X=0511.150-0522.270 | Y=0505.780-0515.100 | 60
P=1832 | X=0120.050-0405.860 | Y=0515.420-0526.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1832 | X=0120.050-0343.690 | Y=0532.970-0544.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1832 | X=0120.050-0190.220 | Y=0550.490-0561.730 | Đường tỉnh 761
P=1832 | X=0102.050-0107.650 | Y=0552.370-0561.690 | 8
P=1832 | X=0223.750-0283.840 | Y=0552.370-0561.690 | Cầu suối Kóp
P=1832 | X=0324.360-0393.970 | Y=0552.370-0561.690 | Hết chợ Phú Lý
P=1832 | X=0450.890-0467.530 | Y=0552.370-0561.690 | 230
P=1832 | X=0505.390-0522.030 | Y=0552.370-0561.690 | 200
P=1832 | X=0120.050-0406.790 | Y=0568.250-0579.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1832 | X=0120.050-0400.860 | Y=0579.770-0591.010 | đoạn từ Cầu suối Kóp đến Hết chợ Phú Lý đã được đầu tư mặt
P=1832 | X=0120.050-0255.820 | Y=0591.290-0602.530 | đường nhựa, bê tông xi măng:
P=1832 | X=0102.050-0107.650 | Y=0599.170-0608.490 | 9
P=1832 | X=0450.890-0467.530 | Y=0599.170-0608.490 | 150
P=1832 | X=0505.390-0522.030 | Y=0599.170-0608.490 | 130
P=1832 | X=0120.050-0351.130 | Y=0608.810-0620.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1832 | X=0120.050-0397.240 | Y=0626.350-0637.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1832 | X=0120.050-0406.790 | Y=0644.110-0655.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1832 | X=0120.050-0400.860 | Y=0655.630-0666.870 | đoạn từ Cầu suối Kóp đến Hết chợ Phú Lý đã được đầu tư mặt
P=1832 | X=0120.050-0255.820 | Y=0667.150-0678.390 | đường nhựa, bê tông xi măng:
P=1832 | X=0099.410-0110.530 | Y=0675.030-0684.350 | 10
P=1832 | X=0450.890-0467.530 | Y=0675.030-0684.350 | 120
P=1832 | X=0505.390-0522.030 | Y=0675.030-0684.350 | 100
P=1832 | X=0120.050-0351.600 | Y=0684.670-0695.910 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1832 | X=0120.050-0406.940 | Y=0702.210-0713.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1833 | X=0120.050-0181.170 | Y=0072.500-0083.740 | đến ≤1.000m.
P=1833 | X=0120.050-0343.220 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1833 | X=0120.050-0406.790 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1833 | X=0120.050-0400.860 | Y=0119.330-0130.570 | đoạn từ Cầu suối Kóp đến Hết chợ Phú Lý đã được đầu tư mặt
P=1833 | X=0120.050-0255.820 | Y=0130.850-0142.090 | đường nhựa, bê tông xi măng:
P=1833 | X=0099.410-0110.530 | Y=0138.730-0148.050 | 11
P=1833 | X=0456.650-0467.770 | Y=0138.730-0148.050 | 80
P=1833 | X=0511.150-0522.270 | Y=0138.730-0148.050 | 60
P=1833 | X=0120.050-0405.860 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1833 | X=0120.050-0343.690 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1833 | X=0120.050-0405.310 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1833 | X=0120.050-0395.720 | Y=0194.930-0206.170 | Đường tỉnh 761 đoạn từ Cầu suối Kóp đến Hết chợ Phú Lý đã
P=1833 | X=0120.050-0333.610 | Y=0206.470-0217.710 | được đầu tư mặt đường nhựa, bê tông xi măng:
P=1833 | X=0099.410-0110.530 | Y=0214.350-0223.670 | 12
P=1833 | X=0450.890-0467.530 | Y=0214.350-0223.670 | 150
P=1833 | X=0505.390-0522.030 | Y=0214.350-0223.670 | 130
P=1833 | X=0120.050-0351.130 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1833 | X=0120.050-0397.240 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1833 | X=0120.050-0405.310 | Y=0259.270-0270.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1833 | X=0120.050-0395.720 | Y=0270.790-0282.030 | Đường tỉnh 761 đoạn từ Cầu suối Kóp đến Hết chợ Phú Lý đã
P=1833 | X=0120.050-0333.610 | Y=0282.340-0293.580 | được đầu tư mặt đường nhựa, bê tông xi măng:
P=1833 | X=0099.410-0351.600 | Y=0299.860-0313.940 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1833 | X=0450.890-0467.530 | Y=0304.620-0313.940 | 120
P=1833 | X=0505.390-0522.030 | Y=0304.620-0313.940 | 100
P=1833 | X=0120.050-0406.940 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1833 | X=0120.050-0181.170 | Y=0328.900-0340.140 | đến ≤1.000m.
P=1833 | X=0120.050-0343.220 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1833 | X=0120.050-0405.310 | Y=0363.940-0375.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1833 | X=0120.050-0395.720 | Y=0375.480-0386.720 | Đường tỉnh 761 đoạn từ Cầu suối Kóp đến Hết chợ Phú Lý đã
P=1833 | X=0120.050-0333.610 | Y=0387.000-0398.240 | được đầu tư mặt đường nhựa, bê tông xi măng:
P=1833 | X=0099.410-0110.530 | Y=0394.880-0404.200 | 14
P=1833 | X=0456.650-0467.770 | Y=0394.880-0404.200 | 80
P=1833 | X=0511.150-0522.270 | Y=0394.880-0404.200 | 60
P=1833 | X=0120.050-0405.860 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1833 | X=0120.050-0343.690 | Y=0422.040-0433.280 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1833 | X=0324.360-0407.450 | Y=0439.800-0451.040 | Hết Trung tâm văn
P=1833 | X=0099.410-0190.220 | Y=0445.560-0456.800 | 15 Đường tỉnh 761
P=1833 | X=0223.750-0293.370 | Y=0447.440-0456.760 | Hết chợ Phú Lý
P=1833 | X=0450.890-0467.530 | Y=0447.440-0456.760 | 230
P=1833 | X=0505.390-0522.030 | Y=0447.440-0456.760 | 200
P=1833 | X=0324.360-0388.430 | Y=0453.220-0462.540 | hóa xã Phú Lý
P=1833 | X=0120.050-0406.790 | Y=0469.100-0480.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1833 | X=0120.050-0398.700 | Y=0480.620-0491.860 | đoạn từ Hết chợ Phú Lý đến Hết Trung tâm văn hóa xã Phú Lý
P=1833 | X=0120.050-0347.530 | Y=0492.140-0503.380 | đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1833 | X=0099.410-0110.530 | Y=0500.020-0509.340 | 16
P=1833 | X=0450.890-0467.530 | Y=0500.020-0509.340 | 150
P=1833 | X=0505.390-0522.030 | Y=0500.020-0509.340 | 130
P=1833 | X=0120.050-0351.130 | Y=0509.660-0520.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1833 | X=0120.050-0397.240 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1833 | X=0120.050-0406.790 | Y=0544.970-0556.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1833 | X=0120.050-0398.700 | Y=0556.250-0567.490 | đoạn từ Hết chợ Phú Lý đến Hết Trung tâm văn hóa xã Phú Lý
P=1833 | X=0120.050-0347.530 | Y=0567.770-0579.010 | đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1833 | X=0099.410-0351.600 | Y=0585.290-0599.610 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1833 | X=0450.890-0467.530 | Y=0590.290-0599.610 | 120
P=1833 | X=0505.390-0522.030 | Y=0590.290-0599.610 | 100
P=1833 | X=0120.050-0406.940 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1833 | X=0120.050-0181.170 | Y=0614.330-0625.570 | đến ≤1.000m.
P=1833 | X=0120.050-0343.220 | Y=0631.870-0643.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1833 | X=0120.050-0406.790 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1833 | X=0120.050-0398.700 | Y=0661.150-0672.390 | đoạn từ Hết chợ Phú Lý đến Hết Trung tâm văn hóa xã Phú Lý
P=1833 | X=0120.050-0347.530 | Y=0672.670-0683.910 | đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1833 | X=0099.410-0110.530 | Y=0680.550-0689.870 | 18
P=1833 | X=0456.650-0467.770 | Y=0680.550-0689.870 | 80
P=1833 | X=0511.150-0522.270 | Y=0680.550-0689.870 | 60
P=1833 | X=0120.050-0405.860 | Y=0690.190-0701.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1833 | X=0120.050-0343.690 | Y=0707.730-0718.970 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1834 | X=0120.050-0405.310 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1834 | X=0120.050-0404.810 | Y=0090.020-0101.260 | Đường tỉnh 761 đoạn từ Hết chợ Phú Lý đến Hết Trung tâm văn
P=1834 | X=0120.050-0383.470 | Y=0101.540-0112.780 | hóa xã Phú Lý đã được đầu tư mặt đường nhựa, bê tông xi
P=1834 | X=0099.410-0148.050 | Y=0113.060-0124.500 | 19 măng:
P=1834 | X=0450.890-0467.530 | Y=0115.180-0124.500 | 150
P=1834 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 130
P=1834 | X=0120.050-0351.130 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1834 | X=0120.050-0397.240 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1834 | X=0120.050-0405.310 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1834 | X=0120.050-0404.810 | Y=0177.170-0188.410 | Đường tỉnh 761 đoạn từ Hết chợ Phú Lý đến Hết Trung tâm văn
P=1834 | X=0120.050-0383.470 | Y=0188.690-0199.930 | hóa xã Phú Lý đã được đầu tư mặt đường nhựa, bê tông xi
P=1834 | X=0120.050-0148.050 | Y=0200.230-0211.470 | măng:
P=1834 | X=0099.410-0351.600 | Y=0216.990-0228.990 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1834 | X=0450.890-0467.530 | Y=0216.990-0226.310 | 120
P=1834 | X=0505.390-0522.030 | Y=0216.990-0226.310 | 100
P=1834 | X=0120.050-0406.940 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1834 | X=0120.050-0181.180 | Y=0246.790-0258.030 | đến ≤1.000m.
P=1834 | X=0120.050-0343.220 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1834 | X=0120.050-0405.310 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1834 | X=0120.050-0404.810 | Y=0293.620-0304.860 | Đường tỉnh 761 đoạn từ Hết chợ Phú Lý đến Hết Trung tâm văn
P=1834 | X=0120.050-0383.470 | Y=0305.140-0316.380 | hóa xã Phú Lý đã được đầu tư mặt đường nhựa, bê tông xi
P=1834 | X=0099.410-0148.050 | Y=0316.660-0328.100 | 21 măng:
P=1834 | X=0456.650-0467.770 | Y=0318.780-0328.100 | 80
P=1834 | X=0511.150-0522.270 | Y=0318.780-0328.100 | 60
P=1834 | X=0120.050-0405.860 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1834 | X=0120.050-0343.690 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1834 | X=0223.750-0306.870 | Y=0369.240-0380.480 | Hết Trung tâm văn
P=1834 | X=0324.360-0387.830 | Y=0369.240-0380.480 | Ngã tư đường
P=1834 | X=0099.410-0190.220 | Y=0375.000-0386.240 | 22 Đường tỉnh 761
P=1834 | X=0450.890-0467.530 | Y=0376.880-0386.200 | 230
P=1834 | X=0505.390-0522.030 | Y=0376.880-0386.200 | 200
P=1834 | X=0223.750-0287.820 | Y=0382.640-0391.960 | hóa xã Phú Lý
P=1834 | X=0324.360-0347.640 | Y=0382.640-0391.960 | 322A
P=1834 | X=0120.050-0406.790 | Y=0398.520-0409.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1834 | X=0120.050-0392.620 | Y=0410.040-0421.280 | đoạn từ Hết Trung tâm văn hóa xã Phú Lý đến Ngã tư đường
P=1834 | X=0120.050-0373.440 | Y=0421.560-0432.800 | 322A đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1834 | X=0099.410-0110.530 | Y=0429.440-0438.760 | 23
P=1834 | X=0450.890-0467.530 | Y=0429.440-0438.760 | 150
P=1834 | X=0505.390-0522.030 | Y=0429.440-0438.760 | 130
P=1834 | X=0120.050-0351.130 | Y=0439.080-0450.320 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1834 | X=0120.050-0397.240 | Y=0456.620-0467.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1834 | X=0120.050-0406.790 | Y=0474.380-0485.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1834 | X=0120.050-0392.620 | Y=0485.900-0497.140 | đoạn từ Hết Trung tâm văn hóa xã Phú Lý đến Ngã tư đường
P=1834 | X=0120.050-0373.440 | Y=0497.420-0508.660 | 322A đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1834 | X=0099.410-0351.600 | Y=0514.940-0529.020 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1834 | X=0450.890-0467.530 | Y=0519.700-0529.020 | 120
P=1834 | X=0505.390-0522.030 | Y=0519.700-0529.020 | 100
P=1834 | X=0120.050-0406.940 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1834 | X=0120.050-0181.180 | Y=0543.770-0555.010 | đến ≤1.000m.
P=1834 | X=0120.050-0343.220 | Y=0561.290-0572.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1834 | X=0120.050-0406.790 | Y=0579.050-0590.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1834 | X=0120.050-0392.620 | Y=0590.570-0601.810 | đoạn từ Hết Trung tâm văn hóa xã Phú Lý đến Ngã tư đường
P=1834 | X=0120.050-0373.440 | Y=0602.090-0613.330 | 322A đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1834 | X=0099.410-0110.530 | Y=0609.970-0619.290 | 25
P=1834 | X=0456.650-0467.770 | Y=0609.970-0619.290 | 80
P=1834 | X=0511.150-0522.270 | Y=0609.970-0619.290 | 60
P=1834 | X=0120.050-0405.860 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1834 | X=0120.050-0343.690 | Y=0637.150-0648.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1834 | X=0120.050-0405.310 | Y=0654.910-0666.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1834 | X=0120.050-0399.350 | Y=0666.430-0677.670 | Đường tỉnh 761 đoạn từ Hết Trung tâm văn hóa xã Phú Lý đến
P=1834 | X=0099.410-0409.170 | Y=0677.950-0692.030 | 26 Ngã tư đường 322A đã được đầu tư mặt đường nhựa, bê tông xi
P=1834 | X=0450.890-0467.530 | Y=0682.710-0692.030 | 150
P=1834 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 130
P=1834 | X=0120.050-0148.050 | Y=0689.470-0700.710 | măng:
P=1834 | X=0120.050-0351.130 | Y=0706.770-0718.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1835 | X=0120.050-0397.240 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1835 | X=0120.050-0405.310 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1835 | X=0120.050-0399.340 | Y=0107.780-0119.020 | Đường tỉnh 761 đoạn từ Hết Trung tâm văn hóa xã Phú Lý đến
P=1835 | X=0120.050-0409.170 | Y=0119.330-0130.570 | Ngã tư đường 322A đã được đầu tư mặt đường nhựa, bê tông xi
P=1835 | X=0120.050-0148.050 | Y=0130.850-0142.090 | măng:
P=1835 | X=0099.410-0351.600 | Y=0147.370-0159.610 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1835 | X=0450.890-0467.530 | Y=0147.370-0156.690 | 120
P=1835 | X=0505.390-0522.030 | Y=0147.370-0156.690 | 100
P=1835 | X=0120.050-0406.940 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1835 | X=0120.050-0181.170 | Y=0177.170-0188.410 | đến ≤1.000m.
P=1835 | X=0120.050-0343.220 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1835 | X=0120.050-0405.310 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1835 | X=0120.050-0399.350 | Y=0223.990-0235.230 | Đường tỉnh 761 đoạn từ Hết Trung tâm văn hóa xã Phú Lý đến
P=1835 | X=0120.050-0409.170 | Y=0235.510-0246.750 | Ngã tư đường 322A đã được đầu tư mặt đường nhựa, bê tông xi
P=1835 | X=0099.410-0148.050 | Y=0247.030-0258.470 | 28 măng:
P=1835 | X=0456.650-0467.770 | Y=0249.150-0258.470 | 80
P=1835 | X=0511.150-0522.270 | Y=0249.150-0258.470 | 60
P=1835 | X=0120.050-0405.860 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1835 | X=0120.050-0343.690 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1835 | X=0324.360-0389.510 | Y=0299.860-0311.100 | Ngã ba đường
P=1835 | X=0099.410-0190.220 | Y=0305.620-0316.860 | 29 Đường tỉnh 761
P=1835 | X=0223.750-0313.310 | Y=0305.620-0316.860 | Ngã tư đường 322A
P=1835 | X=0450.890-0467.530 | Y=0307.500-0316.820 | 230
P=1835 | X=0505.390-0522.030 | Y=0307.500-0316.820 | 200
P=1835 | X=0324.360-0347.640 | Y=0313.260-0322.580 | 322B
P=1835 | X=0120.050-0406.790 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1835 | X=0120.050-0400.940 | Y=0340.660-0351.900 | đoạn từ Ngã tư đường 322A đến Ngã ba đường 322B đã được
P=1835 | X=0120.050-0306.940 | Y=0351.940-0363.180 | đầu tư mặt đường nhựa, bê tông xi măng:
P=1835 | X=0099.410-0110.530 | Y=0359.820-0369.140 | 30
P=1835 | X=0450.890-0467.530 | Y=0359.820-0369.140 | 150
P=1835 | X=0505.390-0522.030 | Y=0359.820-0369.140 | 130
P=1835 | X=0120.050-0351.130 | Y=0369.480-0380.720 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1835 | X=0120.050-0397.240 | Y=0387.000-0398.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1835 | X=0120.050-0406.790 | Y=0404.760-0416.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1835 | X=0120.050-0400.940 | Y=0416.280-0427.520 | đoạn từ Ngã tư đường 322A đến Ngã ba đường 322B đã được
