TABLE=043 | AREA=Xã Định Quán | SECTION=agricultural | SEGMENTS=1
P=1495 | X=0452.090-0468.730 | Y=0212.190-0221.510 | 300
P=1495 | X=0505.390-0522.030 | Y=0212.190-0221.510 | 290
P=1495 | X=0112.370-0399.260 | Y=0224.710-0235.950 | - C6 bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=1495 | X=0112.370-0165.330 | Y=0236.230-0247.470 | đến ≤600m.
P=1495 | X=0112.370-0335.540 | Y=0253.750-0264.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1495 | X=0112.370-0405.800 | Y=0271.750-0282.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1495 | X=0112.370-0403.660 | Y=0283.300-0294.540 | đoạn từ Quốc lộ 20 đến Quốc lộ 20+290m (đến giáp suối) có hiện
P=1495 | X=0112.370-0284.150 | Y=0294.820-0306.060 | trạng là đường nhựa, bê tông xi măng:
P=1495 | X=0098.210-0103.810 | Y=0302.700-0312.020 | 4
P=1495 | X=0452.090-0468.730 | Y=0302.700-0312.020 | 220
P=1495 | X=0505.390-0522.030 | Y=0302.700-0312.020 | 220
P=1495 | X=0112.370-0389.800 | Y=0312.340-0323.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1495 | X=0112.370-0336.010 | Y=0329.860-0341.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1495 | X=0112.370-0397.630 | Y=0347.860-0359.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1495 | X=0112.370-0401.990 | Y=0359.380-0370.620 | Đường Gia Canh đoạn từ Quốc lộ 20 đến Quốc lộ 20+290m (đến
P=1495 | X=0112.370-0365.290 | Y=0370.920-0382.160 | giáp suối) có hiện trạng là đường nhựa, bê tông xi măng:
P=1495 | X=0098.210-0103.810 | Y=0378.800-0388.120 | 5
P=1495 | X=0452.090-0468.730 | Y=0378.800-0388.120 | 380
P=1495 | X=0505.390-0522.030 | Y=0378.800-0388.120 | 350
P=1495 | X=0112.370-0335.280 | Y=0388.200-0399.440 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1495 | X=0112.370-0389.560 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1495 | X=0112.370-0397.630 | Y=0423.720-0434.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1495 | X=0112.370-0401.990 | Y=0435.240-0446.480 | Đường Gia Canh đoạn từ Quốc lộ 20 đến Quốc lộ 20+290m (đến
P=1495 | X=0112.370-0365.290 | Y=0446.760-0458.000 | giáp suối) có hiện trạng là đường nhựa, bê tông xi măng:
P=1495 | X=0098.210-0335.540 | Y=0464.300-0478.620 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1495 | X=0452.090-0468.730 | Y=0469.300-0478.620 | 300
P=1495 | X=0505.390-0522.030 | Y=0469.300-0478.620 | 290
P=1495 | X=0112.370-0399.260 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=1495 | X=0112.370-0165.330 | Y=0493.340-0504.580 | đến ≤600m.
P=1495 | X=0112.370-0335.540 | Y=0510.860-0522.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1495 | X=0112.370-0397.630 | Y=0528.860-0540.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1495 | X=0112.370-0401.990 | Y=0540.410-0551.650 | Đường Gia Canh đoạn từ Quốc lộ 20 đến Quốc lộ 20+290m (đến
P=1495 | X=0112.370-0365.290 | Y=0551.930-0563.170 | giáp suối) có hiện trạng là đường nhựa, bê tông xi măng:
P=1495 | X=0098.210-0103.810 | Y=0559.810-0569.130 | 7
P=1495 | X=0452.090-0468.730 | Y=0559.810-0569.130 | 220
P=1495 | X=0505.390-0522.030 | Y=0559.810-0569.130 | 220
P=1495 | X=0112.370-0389.800 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1495 | X=0112.370-0336.010 | Y=0586.970-0598.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1495 | X=0292.200-0402.460 | Y=0604.970-0616.210 | Cổng bệnh viện Đa khoa
P=1495 | X=0198.070-0277.300 | Y=0606.850-0616.170 | Quốc lộ 20+290m
P=1495 | X=0112.370-0189.250 | Y=0610.490-0621.730 | Đường Gia Canh
P=1495 | X=0452.090-0468.730 | Y=0612.370-0621.690 | 570
P=1495 | X=0505.390-0522.030 | Y=0612.370-0621.690 | 500
P=1495 | X=0198.070-0264.340 | Y=0616.270-0627.510 | (đến giáp suối)
P=1495 | X=0292.200-0340.280 | Y=0616.270-0627.510 | Định Quán
P=1495 | X=0098.210-0103.810 | Y=0618.150-0627.470 | 8
P=1495 | X=0112.370-0405.800 | Y=0634.270-0645.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1495 | X=0112.370-0406.060 | Y=0645.790-0657.030 | đoạn từ Quốc lộ 20+290m (đến giáp suối) đến Cổng bệnh viện Đa
P=1495 | X=0112.370-0394.350 | Y=0657.310-0668.550 | khoa Định Quán có hiện trạng là đường nhựa, bê tông xi măng:
P=1495 | X=0098.210-0103.810 | Y=0665.190-0674.510 | 9
P=1495 | X=0452.090-0468.730 | Y=0665.190-0674.510 | 380
P=1495 | X=0505.390-0522.030 | Y=0665.190-0674.510 | 350
P=1495 | X=0112.370-0335.280 | Y=0674.830-0686.070 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1495 | X=0112.370-0389.580 | Y=0692.350-0703.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1496 | X=0112.370-0405.800 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1496 | X=0112.370-0406.060 | Y=0090.260-0101.500 | đoạn từ Quốc lộ 20+290m (đến giáp suối) đến Cổng bệnh viện Đa
P=1496 | X=0112.370-0394.350 | Y=0101.780-0113.020 | khoa Định Quán có hiện trạng là đường nhựa, bê tông xi măng:
P=1496 | X=0095.330-0335.540 | Y=0119.330-0133.410 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1496 | X=0452.090-0468.730 | Y=0124.090-0133.410 | 300
P=1496 | X=0505.390-0522.030 | Y=0124.090-0133.410 | 290
P=1496 | X=0112.370-0399.260 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=1496 | X=0112.370-0165.330 | Y=0148.370-0159.610 | đến ≤600m.
P=1496 | X=0112.370-0335.540 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1496 | X=0112.370-0405.800 | Y=0183.650-0194.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1496 | X=0112.370-0406.060 | Y=0195.170-0206.410 | đoạn từ Quốc lộ 20+290m (đến giáp suối) đến Cổng bệnh viện Đa
P=1496 | X=0112.370-0394.350 | Y=0206.710-0217.950 | khoa Định Quán có hiện trạng là đường nhựa, bê tông xi măng:
P=1496 | X=0095.330-0106.450 | Y=0214.590-0223.910 | 11
P=1496 | X=0452.090-0468.730 | Y=0214.590-0223.910 | 220
P=1496 | X=0505.390-0522.030 | Y=0214.590-0223.910 | 220
P=1496 | X=0112.370-0389.800 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1496 | X=0112.370-0336.010 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1496 | X=0112.370-0397.630 | Y=0259.750-0270.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1496 | X=0112.370-0396.710 | Y=0271.270-0282.510 | Đường Gia Canh đoạn từ Quốc lộ 20+290m (đến giáp suối) đến
P=1496 | X=0112.370-0406.150 | Y=0282.820-0294.060 | Cổng bệnh viện Đa khoa Định Quán có hiện trạng là đường nhựa,
P=1496 | X=0095.330-0186.450 | Y=0294.340-0305.780 | 12 bê tông xi măng:
P=1496 | X=0452.090-0468.730 | Y=0296.460-0305.780 | 380
P=1496 | X=0505.390-0522.030 | Y=0296.460-0305.780 | 350
P=1496 | X=0112.370-0335.280 | Y=0311.860-0323.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1496 | X=0112.370-0389.560 | Y=0329.380-0340.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1496 | X=0112.370-0397.630 | Y=0347.380-0358.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1496 | X=0112.370-0396.710 | Y=0358.900-0370.140 | Đường Gia Canh đoạn từ Quốc lộ 20+290m (đến giáp suối) đến
P=1496 | X=0112.370-0406.150 | Y=0370.200-0381.440 | Cổng bệnh viện Đa khoa Định Quán có hiện trạng là đường nhựa,
P=1496 | X=0112.370-0186.450 | Y=0381.720-0392.960 | bê tông xi măng:
P=1496 | X=0095.330-0335.540 | Y=0398.480-0410.480 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1496 | X=0452.090-0468.730 | Y=0398.480-0407.800 | 300
P=1496 | X=0505.390-0522.030 | Y=0398.480-0407.800 | 290
P=1496 | X=0112.370-0399.260 | Y=0416.760-0428.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=1496 | X=0112.370-0165.330 | Y=0428.280-0439.520 | đến ≤600m.
P=1496 | X=0112.370-0335.540 | Y=0445.800-0457.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1496 | X=0112.370-0397.630 | Y=0463.820-0475.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1496 | X=0112.370-0396.710 | Y=0475.340-0486.580 | Đường Gia Canh đoạn từ Quốc lộ 20+290m (đến giáp suối) đến
P=1496 | X=0112.370-0406.150 | Y=0486.860-0498.100 | Cổng bệnh viện Đa khoa Định Quán có hiện trạng là đường nhựa,
P=1496 | X=0095.330-0186.450 | Y=0498.380-0509.820 | 14 bê tông xi măng:
P=1496 | X=0452.090-0468.730 | Y=0500.500-0509.820 | 220
P=1496 | X=0505.390-0522.030 | Y=0500.500-0509.820 | 220
P=1496 | X=0112.370-0389.800 | Y=0515.900-0527.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1496 | X=0112.370-0336.010 | Y=0533.450-0544.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1496 | X=0198.070-0283.850 | Y=0551.450-0562.690 | Cổng bệnh viện Đa
P=1496 | X=0095.330-0189.250 | Y=0557.210-0568.450 | 15 Đường Gia Canh
P=1496 | X=0292.200-0401.230 | Y=0557.210-0568.450 | Giáp cây xăng Gia Canh
P=1496 | X=0452.090-0468.730 | Y=0559.090-0568.410 | 270
P=1496 | X=0505.390-0522.030 | Y=0559.090-0568.410 | 230
P=1496 | X=0198.070-0270.660 | Y=0562.970-0574.210 | khoa Định Quán
P=1496 | X=0112.370-0405.800 | Y=0580.970-0592.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1496 | X=0112.370-0396.680 | Y=0592.250-0603.490 | đoạn từ Cổng bệnh viện Đa khoa Định Quán đến Giáp cây xăng
P=1496 | X=0112.370-0364.090 | Y=0603.770-0615.010 | Gia Canh có hiện trạng là đường nhựa, bê tông xi măng:
P=1496 | X=0095.330-0106.450 | Y=0611.650-0620.970 | 16
P=1496 | X=0452.090-0468.730 | Y=0611.650-0620.970 | 160
P=1496 | X=0505.390-0522.030 | Y=0611.650-0620.970 | 150
P=1496 | X=0112.370-0343.450 | Y=0621.310-0632.550 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1496 | X=0112.370-0389.570 | Y=0638.830-0650.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1496 | X=0112.370-0405.800 | Y=0656.830-0668.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1496 | X=0112.370-0396.680 | Y=0668.350-0679.590 | đoạn từ Cổng bệnh viện Đa khoa Định Quán đến Giáp cây xăng
P=1496 | X=0095.330-0364.090 | Y=0679.110-0691.110 | 17 Gia Canh có hiện trạng là đường nhựa, bê tông xi măng:
P=1496 | X=0452.090-0468.730 | Y=0679.110-0688.430 | 130
P=1496 | X=0505.390-0522.030 | Y=0679.110-0688.430 | 100
P=1496 | X=0112.370-0343.920 | Y=0697.390-0708.630 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1497 | X=0112.370-0399.260 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1497 | X=0112.370-0173.490 | Y=0090.260-0101.500 | đến ≤1.000m.
P=1497 | X=0112.370-0335.540 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1497 | X=0112.370-0405.800 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1497 | X=0112.370-0396.680 | Y=0137.330-0148.570 | đoạn từ Cổng bệnh viện Đa khoa Định Quán đến Giáp cây xăng
P=1497 | X=0112.370-0364.090 | Y=0148.850-0160.090 | Gia Canh có hiện trạng là đường nhựa, bê tông xi măng:
P=1497 | X=0095.330-0106.450 | Y=0156.730-0166.050 | 18
P=1497 | X=0457.850-0468.970 | Y=0156.730-0166.050 | 90
P=1497 | X=0511.150-0522.270 | Y=0156.730-0166.050 | 50
P=1497 | X=0112.370-0398.180 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1497 | X=0112.370-0336.010 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1497 | X=0112.370-0397.630 | Y=0201.670-0212.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1497 | X=0112.370-0389.960 | Y=0213.190-0224.430 | Đường Gia Canh đoạn từ Cổng bệnh viện Đa khoa Định Quán
P=1497 | X=0112.370-0387.580 | Y=0224.710-0235.950 | đến Giáp cây xăng Gia Canh có hiện trạng là đường nhựa, bê
P=1497 | X=0095.330-0172.530 | Y=0236.230-0247.670 | 19 tông xi măng:
P=1497 | X=0452.090-0468.730 | Y=0238.350-0247.670 | 160
P=1497 | X=0505.390-0522.030 | Y=0238.350-0247.670 | 150
P=1497 | X=0112.370-0343.450 | Y=0253.750-0264.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1497 | X=0112.370-0389.560 | Y=0271.270-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1497 | X=0112.370-0397.630 | Y=0289.300-0300.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1497 | X=0112.370-0389.960 | Y=0300.820-0312.060 | Đường Gia Canh đoạn từ Cổng bệnh viện Đa khoa Định Quán
P=1497 | X=0112.370-0387.580 | Y=0312.340-0323.580 | đến Giáp cây xăng Gia Canh có hiện trạng là đường nhựa, bê
P=1497 | X=0112.370-0172.530 | Y=0323.860-0335.100 | tông xi măng:
P=1497 | X=0095.330-0343.920 | Y=0340.380-0352.620 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1497 | X=0452.090-0468.730 | Y=0340.380-0349.700 | 130
P=1497 | X=0505.390-0522.030 | Y=0340.380-0349.700 | 100
P=1497 | X=0112.370-0399.260 | Y=0358.900-0370.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1497 | X=0112.370-0173.490 | Y=0370.200-0381.440 | đến ≤1.000m.
P=1497 | X=0112.370-0335.540 | Y=0387.720-0398.960 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1497 | X=0112.370-0397.630 | Y=0405.720-0416.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1497 | X=0112.370-0389.960 | Y=0417.240-0428.480 | Đường Gia Canh đoạn từ Cổng bệnh viện Đa khoa Định Quán
P=1497 | X=0112.370-0387.580 | Y=0428.760-0440.000 | đến Giáp cây xăng Gia Canh có hiện trạng là đường nhựa, bê
P=1497 | X=0095.330-0172.530 | Y=0440.280-0451.720 | 21 tông xi măng:
P=1497 | X=0457.850-0468.970 | Y=0442.400-0451.720 | 90
P=1497 | X=0511.150-0522.270 | Y=0442.400-0451.720 | 50
P=1497 | X=0112.370-0398.180 | Y=0457.820-0469.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1497 | X=0112.370-0336.010 | Y=0475.340-0486.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1497 | X=0198.070-0280.700 | Y=0493.340-0504.580 | Giáp cây xăng Gia
P=1497 | X=0292.200-0405.820 | Y=0493.340-0504.580 | Hết trường Tiểu học Trần
P=1497 | X=0095.330-0189.250 | Y=0499.100-0510.340 | 22 Đường Gia Canh
P=1497 | X=0452.090-0468.730 | Y=0500.980-0510.300 | 270
P=1497 | X=0505.390-0522.030 | Y=0500.980-0510.300 | 230
P=1497 | X=0198.070-0221.930 | Y=0506.740-0516.060 | Canh
P=1497 | X=0292.200-0341.960 | Y=0506.740-0516.060 | Quốc Tuấn
P=1497 | X=0112.370-0405.800 | Y=0522.860-0534.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1497 | X=0112.370-0394.300 | Y=0534.410-0545.650 | đoạn từ Giáp cây xăng Gia Canh đến Hết trường Tiểu học Trần
P=1497 | X=0112.370-0371.290 | Y=0545.930-0557.170 | Quốc Tuấn có hiện trạng là đường nhựa, bê tông xi măng:
P=1497 | X=0095.330-0106.450 | Y=0553.810-0563.130 | 23
P=1497 | X=0452.090-0468.730 | Y=0553.810-0563.130 | 160
P=1497 | X=0505.390-0522.030 | Y=0553.810-0563.130 | 150
P=1497 | X=0112.370-0343.450 | Y=0563.450-0574.690 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1497 | X=0112.370-0389.560 | Y=0580.970-0592.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1497 | X=0112.370-0405.800 | Y=0598.970-0610.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1497 | X=0112.370-0394.300 | Y=0610.250-0621.490 | đoạn từ Giáp cây xăng Gia Canh đến Hết trường Tiểu học Trần
P=1497 | X=0112.370-0371.290 | Y=0621.790-0633.030 | Quốc Tuấn có hiện trạng là đường nhựa, bê tông xi măng:
P=1497 | X=0095.330-0343.920 | Y=0639.310-0653.630 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1497 | X=0452.090-0468.730 | Y=0644.310-0653.630 | 130
P=1497 | X=0505.390-0522.030 | Y=0644.310-0653.630 | 100
P=1497 | X=0112.370-0399.260 | Y=0656.830-0668.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1497 | X=0112.370-0173.490 | Y=0668.350-0679.590 | đến ≤1.000m.
P=1497 | X=0112.370-0335.540 | Y=0685.870-0697.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1497 | X=0095.330-0405.800 | Y=0703.890-0715.130 | 25 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1497 | X=0457.850-0468.970 | Y=0705.780-0715.100 | 90
P=1497 | X=0511.150-0522.270 | Y=0705.780-0715.100 | 50
P=1498 | X=0112.370-0394.300 | Y=0072.740-0083.980 | đoạn từ Giáp cây xăng Gia Canh đến Hết trường Tiểu học Trần
P=1498 | X=0112.370-0371.290 | Y=0084.260-0095.500 | Quốc Tuấn có hiện trạng là đường nhựa, bê tông xi măng:
P=1498 | X=0112.370-0398.180 | Y=0101.780-0113.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1498 | X=0112.370-0336.010 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1498 | X=0112.370-0397.630 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1498 | X=0112.370-0375.910 | Y=0148.850-0160.090 | Đường Gia Canh đoạn từ Giáp cây xăng Gia Canh đến Hết
P=1498 | X=0112.370-0406.540 | Y=0160.370-0171.610 | trường Tiểu học Trần Quốc Tuấn có hiện trạng là đường nhựa, bê
P=1498 | X=0095.330-0172.530 | Y=0171.650-0183.330 | 26 tông xi măng:
P=1498 | X=0452.090-0468.730 | Y=0174.010-0183.330 | 160
P=1498 | X=0505.390-0522.030 | Y=0174.010-0183.330 | 150
P=1498 | X=0112.370-0343.450 | Y=0189.170-0200.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1498 | X=0112.370-0389.560 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1498 | X=0112.370-0397.630 | Y=0224.710-0235.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1498 | X=0112.370-0375.910 | Y=0236.230-0247.470 | Đường Gia Canh đoạn từ Giáp cây xăng Gia Canh đến Hết
P=1498 | X=0112.370-0406.540 | Y=0247.750-0258.990 | trường Tiểu học Trần Quốc Tuấn có hiện trạng là đường nhựa, bê
P=1498 | X=0112.370-0172.530 | Y=0259.270-0270.510 | tông xi măng:
P=1498 | X=0095.330-0343.920 | Y=0275.790-0288.030 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1498 | X=0452.090-0468.730 | Y=0275.790-0285.110 | 130
P=1498 | X=0505.390-0522.030 | Y=0275.790-0285.110 | 100
P=1498 | X=0112.370-0399.260 | Y=0294.340-0305.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1498 | X=0112.370-0173.490 | Y=0305.860-0317.100 | đến ≤1.000m.
P=1498 | X=0112.370-0335.540 | Y=0323.380-0334.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1498 | X=0112.370-0397.630 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1498 | X=0112.370-0375.910 | Y=0352.900-0364.140 | Đường Gia Canh đoạn từ Giáp cây xăng Gia Canh đến Hết
P=1498 | X=0112.370-0406.540 | Y=0364.180-0375.420 | trường Tiểu học Trần Quốc Tuấn có hiện trạng là đường nhựa, bê
P=1498 | X=0095.330-0172.520 | Y=0375.720-0387.160 | 28 tông xi măng:
P=1498 | X=0457.850-0468.970 | Y=0377.840-0387.160 | 90
P=1498 | X=0511.150-0522.270 | Y=0377.840-0387.160 | 50
P=1498 | X=0112.370-0398.180 | Y=0393.240-0404.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1498 | X=0112.370-0336.010 | Y=0410.760-0422.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1498 | X=0292.200-0406.150 | Y=0428.760-0440.000 | Hết ranh thửa đất số 199,
P=1498 | X=0292.200-0398.380 | Y=0440.280-0451.520 | tờ BĐĐC số 270 về bên
P=1498 | X=0198.070-0288.340 | Y=0446.040-0457.280 | Hết trường Tiểu học
P=1498 | X=0095.330-0189.250 | Y=0451.820-0463.060 | 29 Đường Gia Canh
P=1498 | X=0292.200-0399.190 | Y=0451.820-0463.060 | trái và hết ranh thửa đất
P=1498 | X=0452.090-0468.730 | Y=0453.700-0463.020 | 270
P=1498 | X=0505.390-0522.030 | Y=0453.700-0463.020 | 230
P=1498 | X=0198.070-0271.140 | Y=0459.460-0468.780 | Trần Quốc Tuấn
P=1498 | X=0292.200-0395.740 | Y=0463.340-0474.580 | số 11, từ BĐĐC số 284
P=1498 | X=0292.200-0343.870 | Y=0476.740-0486.060 | về bên phải
P=1498 | X=0112.370-0405.800 | Y=0492.860-0504.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1498 | X=0112.370-0399.340 | Y=0504.380-0515.620 | đoạn từ Hết trường Tiểu học Trần Quốc Tuấn đến Hết ranh thửa
P=1498 | X=0112.370-0393.580 | Y=0515.900-0527.140 | đất số 199, tờ BĐĐC số 270 về bên trái và hết ranh thửa đất số
P=1498 | X=0112.370-0403.660 | Y=0527.420-0538.660 | 11, tờ BĐĐC số 284 về bên phải có hiện trạng là đường nhựa, bê
P=1498 | X=0095.330-0106.450 | Y=0535.330-0544.650 | 30
P=1498 | X=0452.090-0468.730 | Y=0535.330-0544.650 | 160
P=1498 | X=0505.390-0522.030 | Y=0535.330-0544.650 | 150
P=1498 | X=0112.370-0172.530 | Y=0538.970-0550.210 | tông xi măng:
P=1498 | X=0112.370-0343.450 | Y=0556.250-0567.490 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
