TABLE=091 | AREA=Xã Bù Gia Mập | SECTION=agricultural | SEGMENTS=1
P=2128 | X=0166.150-0256.620 | Y=0149.090-0160.330 | Nhà ông Điểu Thơm
P=2128 | X=0102.770-0150.690 | Y=0154.850-0166.090 | Đường ĐT
P=2128 | X=0257.860-0339.300 | Y=0154.850-0166.090 | ông Đào Đức Sơn
P=2128 | X=0166.150-0249.110 | Y=0160.610-0171.850 | (thửa đất số 83, tờ
P=2128 | X=0093.380-0098.980 | Y=0162.490-0171.810 | 8
P=2128 | X=0374.540-0391.180 | Y=0162.490-0171.810 | 100
P=2128 | X=0426.170-0437.290 | Y=0162.490-0171.810 | 90
P=2128 | X=0472.010-0483.130 | Y=0162.490-0171.810 | 72
P=2128 | X=0511.150-0522.270 | Y=0162.490-0171.810 | 49
P=2128 | X=0257.860-0346.340 | Y=0166.370-0177.610 | (thửa đất số 234, tờ
P=2128 | X=0102.770-0126.050 | Y=0168.250-0177.570 | 760B
P=2128 | X=0166.150-0227.110 | Y=0172.130-0183.370 | bản đồ số 35)
P=2128 | X=0257.860-0318.840 | Y=0177.650-0188.890 | bản đồ số 39)
P=2128 | X=0257.860-0332.600 | Y=0195.650-0206.890 | Hết ranh đất nhà
P=2128 | X=0166.150-0243.510 | Y=0203.310-0212.630 | Hết ranh nhà ông
P=2128 | X=0257.860-0336.210 | Y=0209.070-0218.390 | ông Nguyễn công
P=2128 | X=0102.770-0150.690 | Y=0212.950-0224.190 | Đường ĐT
P=2128 | X=0166.150-0254.820 | Y=0212.950-0224.190 | Đào Đức Sơn (thửa
P=2128 | X=0257.860-0330.680 | Y=0218.710-0229.950 | Mùi (thửa đất số
P=2128 | X=0093.380-0098.980 | Y=0220.590-0229.910 | 9
P=2128 | X=0374.540-0391.180 | Y=0220.590-0229.910 | 100
P=2128 | X=0426.170-0437.290 | Y=0220.590-0229.910 | 90
P=2128 | X=0472.010-0483.130 | Y=0220.590-0229.910 | 72
P=2128 | X=0511.150-0522.270 | Y=0220.590-0229.910 | 49
P=2128 | X=0166.150-0247.380 | Y=0224.470-0235.710 | đất số 234, tờ bản
P=2128 | X=0102.770-0126.050 | Y=0226.350-0235.670 | 760B
P=2128 | X=0257.860-0330.680 | Y=0230.230-0241.470 | 09, tờ bản đồ số
P=2128 | X=0166.150-0207.670 | Y=0235.990-0247.230 | đồ số 39)
P=2128 | X=0257.860-0272.260 | Y=0243.630-0252.950 | 44)
P=2128 | X=0102.770-0160.690 | Y=0259.750-0270.990 | Đường nhựa
P=2128 | X=0090.500-0233.430 | Y=0271.270-0282.510 | 10 nối Đăk Côn, Đường ĐT 741
P=2128 | X=0257.860-0319.850 | Y=0271.270-0282.510 | Suối Đăk Côn
P=2128 | X=0380.300-0391.420 | Y=0273.150-0282.470 | 60
P=2128 | X=0426.170-0437.290 | Y=0273.150-0282.470 | 48
P=2128 | X=0472.010-0483.130 | Y=0273.150-0282.470 | 38
P=2128 | X=0511.150-0522.270 | Y=0273.150-0282.470 | 38
P=2128 | X=0102.770-0136.210 | Y=0284.700-0294.020 | Bù Rên
P=2128 | X=0257.860-0329.690 | Y=0300.820-0312.060 | Nhà Lương Văn
P=2128 | X=0102.770-0160.690 | Y=0312.340-0323.580 | Đường nhựa
P=2128 | X=0257.860-0328.760 | Y=0314.220-0323.540 | Tuyến (hết ranh
P=2128 | X=0166.150-0233.430 | Y=0318.100-0329.340 | Đường ĐT 741
P=2128 | X=0090.500-0101.620 | Y=0319.980-0329.300 | 11
P=2128 | X=0380.300-0391.420 | Y=0319.980-0329.300 | 60
P=2128 | X=0426.170-0437.290 | Y=0319.980-0329.300 | 48
P=2128 | X=0472.010-0483.130 | Y=0319.980-0329.300 | 38
P=2128 | X=0511.150-0522.270 | Y=0319.980-0329.300 | 38
P=2128 | X=0257.860-0342.980 | Y=0323.860-0335.100 | thửa đất số 191, tờ
P=2128 | X=0102.770-0159.340 | Y=0325.740-0335.060 | thôn Cầu sắt
P=2128 | X=0257.860-0318.840 | Y=0335.380-0346.620 | bản đồ số 19)
P=2128 | X=0166.150-0255.280 | Y=0353.380-0364.620 | Từ ngã ba cây xăng
P=2128 | X=0166.150-0336.530 | Y=0364.900-0376.140 | Hoàng Duyên (hết Hết ranh thửa đất
P=2128 | X=0102.770-0160.690 | Y=0370.680-0381.920 | Đường nhựa
P=2128 | X=0166.150-0239.700 | Y=0376.200-0387.440 | ranh thửa đất số
P=2128 | X=0257.860-0344.120 | Y=0376.200-0387.440 | số 73, tờ bản đồ số
P=2128 | X=0090.500-0101.620 | Y=0378.080-0387.400 | 12
P=2128 | X=0380.300-0391.420 | Y=0378.080-0387.400 | 60
P=2128 | X=0426.170-0437.290 | Y=0378.080-0387.400 | 48
P=2128 | X=0472.010-0483.130 | Y=0378.080-0387.400 | 38
P=2128 | X=0511.150-0522.270 | Y=0378.080-0387.400 | 38
P=2128 | X=0102.770-0163.000 | Y=0381.960-0393.200 | đi thôn Đăk Á
P=2128 | X=0166.150-0268.980 | Y=0387.720-0398.960 | 440, tờ bản đồ số 42
P=2128 | X=0166.150-0180.550 | Y=0401.120-0410.440 | 39)
P=2128 | X=0102.770-0147.970 | Y=0419.120-0428.440 | Các tuyến
P=2128 | X=0102.770-0161.740 | Y=0428.760-0440.000 | đường nhựa,
P=2128 | X=0090.500-0101.620 | Y=0436.400-0445.720 | 13
P=2128 | X=0166.150-0216.390 | Y=0436.400-0445.720 | Toàn tuyến
P=2128 | X=0380.300-0391.420 | Y=0436.400-0445.720 | 50
P=2128 | X=0426.170-0437.290 | Y=0436.400-0445.720 | 40
P=2128 | X=0472.010-0483.130 | Y=0436.400-0445.720 | 32
P=2128 | X=0511.150-0522.270 | Y=0436.400-0445.720 | 32
P=2128 | X=0102.770-0155.180 | Y=0442.160-0451.480 | bê tông còn
P=2128 | X=0102.770-0112.930 | Y=0453.700-0463.020 | lại
P=2128 | X=0102.770-0147.970 | Y=0471.700-0481.020 | Các tuyến
P=2128 | X=0090.500-0101.620 | Y=0477.460-0486.780 | 14
P=2128 | X=0166.150-0216.390 | Y=0477.460-0486.780 | Toàn tuyến
P=2128 | X=0380.300-0391.420 | Y=0477.460-0486.780 | 50
P=2128 | X=0426.170-0437.290 | Y=0477.460-0486.780 | 40
P=2128 | X=0472.010-0483.130 | Y=0477.460-0486.780 | 32
P=2128 | X=0511.150-0522.270 | Y=0477.460-0486.780 | 32
P=2128 | X=0102.770-0164.550 | Y=0481.340-0492.580 | đường còn lại
