TABLE=049 | AREA=Xã Tà Lài | SECTION=agricultural | SEGMENTS=1
P=1688 | X=0114.530-0413.260 | Y=0441.720-0452.960 | xã Nam Cát Tiên đoạn từ Ngã ba Phú lập đi xã Núi Tượng (cũ) đến
P=1688 | X=0114.530-0386.920 | Y=0453.260-0464.500 | Đường ấp 2-4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1688 | X=0099.170-0104.770 | Y=0461.140-0470.460 | 4
P=1688 | X=0464.090-0475.210 | Y=0461.140-0470.460 | 55
P=1688 | X=0511.150-0522.270 | Y=0461.140-0470.460 | 50
P=1688 | X=0114.530-0400.340 | Y=0470.780-0482.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1688 | X=0114.530-0338.170 | Y=0488.300-0499.540 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1688 | X=0114.530-0399.790 | Y=0506.300-0517.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1688 | X=0114.530-0407.750 | Y=0517.820-0529.060 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã ba Phú lập đi xã
P=1688 | X=0114.530-0414.700 | Y=0529.340-0540.580 | Núi Tượng (cũ) đến Đường ấp 2-4 có hiện trạng là đường nhựa, bê
P=1688 | X=0099.170-0174.690 | Y=0540.890-0552.330 | 5 tông xi măng:
P=1688 | X=0458.330-0474.970 | Y=0543.010-0552.330 | 130
P=1688 | X=0505.390-0522.030 | Y=0543.010-0552.330 | 100
P=1688 | X=0114.530-0345.610 | Y=0558.410-0569.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1688 | X=0114.530-0391.720 | Y=0575.930-0587.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1688 | X=0114.530-0399.790 | Y=0593.930-0605.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1688 | X=0114.530-0407.740 | Y=0605.450-0616.690 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã ba Phú lập đi xã
P=1688 | X=0114.530-0414.700 | Y=0616.990-0628.230 | Núi Tượng (cũ) đến Đường ấp 2-4 có hiện trạng là đường nhựa, bê
P=1688 | X=0114.530-0174.690 | Y=0628.270-0639.510 | tông xi măng:
P=1688 | X=0099.170-0346.080 | Y=0645.030-0657.030 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1688 | X=0464.090-0475.210 | Y=0645.030-0654.350 | 90
P=1688 | X=0511.150-0522.270 | Y=0645.030-0654.350 | 70
P=1688 | X=0114.530-0401.420 | Y=0663.310-0674.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1688 | X=0114.530-0175.650 | Y=0674.830-0686.070 | đến ≤1.000m.
P=1688 | X=0114.530-0337.700 | Y=0692.350-0703.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1689 | X=0114.530-0399.790 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1689 | X=0114.530-0407.740 | Y=0090.260-0101.500 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã ba Phú lập đi xã
P=1689 | X=0114.530-0414.700 | Y=0101.780-0113.020 | Núi Tượng (cũ) đến Đường ấp 2-4 có hiện trạng là đường nhựa, bê
P=1689 | X=0099.170-0174.690 | Y=0113.300-0124.740 | 7 tông xi măng:
P=1689 | X=0464.090-0475.210 | Y=0115.420-0124.740 | 55
P=1689 | X=0511.150-0522.270 | Y=0115.420-0124.740 | 50
P=1689 | X=0114.530-0400.380 | Y=0130.850-0142.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1689 | X=0114.530-0338.170 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1689 | X=0114.530-0196.710 | Y=0166.370-0177.610 | Đường Phú Lập đi
P=1689 | X=0305.160-0404.650 | Y=0168.250-0177.570 | Giáp ranh xã Nam Cát
P=1689 | X=0209.590-0272.590 | Y=0172.130-0183.370 | Đường ấp 2-4
P=1689 | X=0099.170-0104.770 | Y=0174.010-0183.330 | 8
P=1689 | X=0458.330-0474.970 | Y=0174.010-0183.330 | 200
P=1689 | X=0505.390-0522.030 | Y=0174.010-0183.330 | 170
P=1689 | X=0114.530-0189.690 | Y=0179.530-0188.850 | xã Nam Cát Tiên
P=1689 | X=0305.160-0324.910 | Y=0179.530-0188.850 | Tiên
P=1689 | X=0114.530-0413.500 | Y=0195.650-0206.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập đi
P=1689 | X=0114.530-0414.240 | Y=0207.190-0218.430 | xã Nam Cát Tiên đoạn từ Đường ấp 2-4 đến Giáp ranh xã Nam Cát
P=1689 | X=0114.530-0343.690 | Y=0218.710-0229.950 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1689 | X=0099.170-0104.770 | Y=0226.590-0235.910 | 9
P=1689 | X=0458.330-0474.970 | Y=0226.590-0235.910 | 130
P=1689 | X=0505.390-0522.030 | Y=0226.590-0235.910 | 100
P=1689 | X=0114.530-0345.610 | Y=0236.230-0247.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1689 | X=0114.530-0391.740 | Y=0253.750-0264.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1689 | X=0114.530-0413.500 | Y=0271.750-0282.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập đi
P=1689 | X=0114.530-0414.240 | Y=0283.300-0294.540 | xã Nam Cát Tiên đoạn từ Đường ấp 2-4 đến Giáp ranh xã Nam Cát
P=1689 | X=0114.530-0343.690 | Y=0294.820-0306.060 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1689 | X=0096.530-0346.080 | Y=0312.340-0326.420 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1689 | X=0464.090-0475.210 | Y=0317.100-0326.420 | 90
P=1689 | X=0511.150-0522.270 | Y=0317.100-0326.420 | 70
P=1689 | X=0114.530-0401.420 | Y=0329.860-0341.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1689 | X=0114.530-0175.650 | Y=0341.380-0352.620 | đến ≤1.000m.
P=1689 | X=0114.530-0337.700 | Y=0358.900-0370.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1689 | X=0114.530-0413.500 | Y=0376.920-0388.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập đi
P=1689 | X=0114.530-0414.240 | Y=0388.200-0399.440 | xã Nam Cát Tiên đoạn từ Đường ấp 2-4 đến Giáp ranh xã Nam Cát
P=1689 | X=0114.530-0343.690 | Y=0399.720-0410.960 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1689 | X=0096.530-0107.650 | Y=0407.600-0416.920 | 11
P=1689 | X=0464.090-0475.210 | Y=0407.600-0416.920 | 55
P=1689 | X=0511.150-0522.270 | Y=0407.600-0416.920 | 50
P=1689 | X=0114.530-0400.340 | Y=0417.240-0428.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1689 | X=0114.530-0338.170 | Y=0434.760-0446.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1689 | X=0114.530-0399.790 | Y=0452.780-0464.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1689 | X=0114.530-0396.950 | Y=0464.300-0475.540 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Đường ấp 2-4 đến
P=1689 | X=0114.530-0415.420 | Y=0475.820-0487.060 | Giáp ranh xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1689 | X=0096.530-0142.530 | Y=0487.340-0498.780 | 12 măng:
P=1689 | X=0458.330-0474.970 | Y=0489.460-0498.780 | 130
P=1689 | X=0505.390-0522.030 | Y=0489.460-0498.780 | 100
P=1689 | X=0114.530-0345.610 | Y=0504.860-0516.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1689 | X=0114.530-0391.720 | Y=0522.380-0533.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1689 | X=0114.530-0399.790 | Y=0540.410-0551.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1689 | X=0114.530-0396.950 | Y=0551.930-0563.170 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Đường ấp 2-4 đến
P=1689 | X=0114.530-0415.420 | Y=0563.450-0574.690 | Giáp ranh xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1689 | X=0114.530-0142.530 | Y=0574.970-0586.210 | măng:
P=1689 | X=0096.530-0346.080 | Y=0591.490-0603.490 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1689 | X=0464.090-0475.210 | Y=0591.490-0600.810 | 90
P=1689 | X=0511.150-0522.270 | Y=0591.490-0600.810 | 70
P=1689 | X=0114.530-0401.420 | Y=0609.770-0621.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1689 | X=0114.530-0175.650 | Y=0621.310-0632.550 | đến ≤1.000m.
P=1689 | X=0114.530-0337.700 | Y=0638.830-0650.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1689 | X=0114.530-0399.790 | Y=0656.830-0668.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1689 | X=0114.530-0396.950 | Y=0668.350-0679.590 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Đường ấp 2-4 đến
P=1689 | X=0096.530-0107.650 | Y=0675.990-0685.310 | 14
P=1689 | X=0464.090-0475.210 | Y=0675.990-0685.310 | 55
P=1689 | X=0511.150-0522.270 | Y=0675.990-0685.310 | 50
P=1689 | X=0114.530-0415.420 | Y=0679.870-0691.110 | Giáp ranh xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1689 | X=0114.530-0142.530 | Y=0691.390-0702.630 | măng:
P=1690 | X=0114.530-0400.340 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1690 | X=0114.530-0338.170 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1690 | X=0318.600-0400.780 | Y=0114.290-0125.530 | Đường Phú Lập đi
P=1690 | X=0096.530-0177.520 | Y=0120.050-0131.290 | 15 Đường ấp 2-4
P=1690 | X=0216.550-0278.810 | Y=0120.050-0131.290 | Đường Tà Lài
P=1690 | X=0458.330-0474.970 | Y=0121.930-0131.250 | 180
P=1690 | X=0505.390-0522.030 | Y=0121.930-0131.250 | 150
P=1690 | X=0318.600-0380.570 | Y=0127.690-0137.010 | Nam Cát Tiên
P=1690 | X=0114.530-0419.020 | Y=0143.810-0155.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2-4 đoạn
P=1690 | X=0114.530-0418.780 | Y=0155.330-0166.570 | từ Đường Tà Lài đến Đường Phú Lập đi Nam Cát Tiên có hiện trạng
P=1690 | X=0114.530-0260.860 | Y=0166.850-0178.090 | là đường nhựa, bê tông xi măng:
P=1690 | X=0096.530-0107.650 | Y=0174.730-0184.050 | 16
P=1690 | X=0458.330-0474.970 | Y=0174.730-0184.050 | 110
P=1690 | X=0511.150-0522.270 | Y=0174.730-0184.050 | 90
P=1690 | X=0114.530-0345.610 | Y=0184.370-0195.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1690 | X=0114.530-0391.720 | Y=0201.670-0212.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1690 | X=0114.530-0419.030 | Y=0219.670-0230.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2-4 đoạn
P=1690 | X=0114.530-0418.780 | Y=0231.190-0242.430 | từ Đường Tà Lài đến Đường Phú Lập đi Nam Cát Tiên có hiện trạng
P=1690 | X=0114.530-0260.860 | Y=0242.710-0253.950 | là đường nhựa, bê tông xi măng:
P=1690 | X=0096.530-0346.080 | Y=0260.230-0274.550 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1690 | X=0464.090-0475.210 | Y=0265.230-0274.550 | 80
P=1690 | X=0511.150-0522.270 | Y=0265.230-0274.550 | 65
P=1690 | X=0114.530-0401.420 | Y=0277.750-0288.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1690 | X=0114.530-0175.650 | Y=0289.300-0300.540 | đến ≤1.000m.
P=1690 | X=0114.530-0337.700 | Y=0306.820-0318.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1690 | X=0114.530-0419.030 | Y=0324.820-0336.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2-4 đoạn
P=1690 | X=0114.530-0418.780 | Y=0336.340-0347.580 | từ Đường Tà Lài đến Đường Phú Lập đi Nam Cát Tiên có hiện trạng
P=1690 | X=0114.530-0260.860 | Y=0347.860-0359.100 | là đường nhựa, bê tông xi măng:
P=1690 | X=0096.530-0107.650 | Y=0355.740-0365.060 | 18
P=1690 | X=0464.090-0475.210 | Y=0355.740-0365.060 | 50
P=1690 | X=0511.150-0522.270 | Y=0355.740-0365.060 | 40
P=1690 | X=0114.530-0400.360 | Y=0365.400-0376.640 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1690 | X=0114.530-0338.170 | Y=0382.920-0394.160 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1690 | X=0114.530-0399.790 | Y=0400.920-0412.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1690 | X=0114.530-0407.880 | Y=0412.200-0423.440 | Đường ấp 2-4 đoạn từ Đường Tà Lài đến Đường Phú Lập đi Nam
P=1690 | X=0114.530-0361.940 | Y=0423.720-0434.960 | Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0096.530-0107.650 | Y=0431.600-0440.920 | 19
P=1690 | X=0458.330-0474.970 | Y=0431.600-0440.920 | 110
P=1690 | X=0511.150-0522.270 | Y=0431.600-0440.920 | 90
P=1690 | X=0114.530-0345.610 | Y=0441.240-0452.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1690 | X=0114.530-0391.720 | Y=0458.780-0470.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1690 | X=0114.530-0399.790 | Y=0476.780-0488.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1690 | X=0114.530-0407.880 | Y=0488.300-0499.540 | Đường ấp 2-4 đoạn từ Đường Tà Lài đến Đường Phú Lập đi Nam
P=1690 | X=0114.530-0361.940 | Y=0499.820-0511.060 | Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0096.530-0346.080 | Y=0517.340-0531.420 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1690 | X=0464.090-0475.210 | Y=0522.100-0531.420 | 80
P=1690 | X=0511.150-0522.270 | Y=0522.100-0531.420 | 65
P=1690 | X=0114.530-0401.420 | Y=0534.890-0546.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1690 | X=0114.530-0175.650 | Y=0546.410-0557.650 | đến ≤1.000m.
P=1690 | X=0114.530-0337.700 | Y=0563.930-0575.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1690 | X=0114.530-0399.790 | Y=0581.930-0593.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1690 | X=0114.530-0407.880 | Y=0593.450-0604.690 | Đường ấp 2-4 đoạn từ Đường Tà Lài đến Đường Phú Lập đi Nam
P=1690 | X=0114.530-0361.940 | Y=0604.970-0616.210 | Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0096.530-0107.650 | Y=0612.850-0622.170 | 21
P=1690 | X=0464.090-0475.210 | Y=0612.850-0622.170 | 50
P=1690 | X=0511.150-0522.270 | Y=0612.850-0622.170 | 40
P=1690 | X=0114.530-0400.340 | Y=0622.270-0633.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1690 | X=0114.530-0338.170 | Y=0639.790-0651.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1690 | X=0096.530-0176.790 | Y=0657.790-0669.030 | 22 Đường Tà Lài
P=1690 | X=0216.550-0417.340 | Y=0659.670-0668.990 | Giáp ranh xã Tân Phú Ngã ba chùa Bửu Tân
P=1690 | X=0458.330-0474.970 | Y=0659.670-0668.990 | 200
P=1690 | X=0505.390-0522.030 | Y=0659.670-0668.990 | 170
P=1690 | X=0114.530-0418.540 | Y=0675.790-0687.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1690 | X=0096.530-0416.850 | Y=0687.310-0698.550 | 23 từ Giáp ranh xã Tân Phú đến Ngã ba chùa Bửu Tân có hiện trạng là
P=1690 | X=0458.330-0474.970 | Y=0689.190-0698.510 | 130
P=1690 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 100
P=1690 | X=0114.530-0250.300 | Y=0698.830-0710.070 | đường nhựa, bê tông xi măng:
P=1691 | X=0114.530-0345.640 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1691 | X=0114.530-0391.720 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1691 | X=0114.530-0418.540 | Y=0114.290-0125.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1691 | X=0114.530-0416.850 | Y=0125.810-0137.050 | từ Giáp ranh xã Tân Phú đến Ngã ba chùa Bửu Tân có hiện trạng là
P=1691 | X=0114.530-0250.300 | Y=0137.330-0148.570 | đường nhựa, bê tông xi măng:
P=1691 | X=0096.530-0346.080 | Y=0154.850-0168.930 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1691 | X=0464.090-0475.210 | Y=0159.610-0168.930 | 90
P=1691 | X=0511.150-0522.270 | Y=0159.610-0168.930 | 70
P=1691 | X=0114.530-0401.420 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1691 | X=0114.530-0175.650 | Y=0183.650-0194.890 | đến ≤1.000m.
P=1691 | X=0114.530-0337.700 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1691 | X=0114.530-0418.540 | Y=0219.190-0230.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1691 | X=0114.530-0416.850 | Y=0230.710-0241.950 | từ Giáp ranh xã Tân Phú đến Ngã ba chùa Bửu Tân có hiện trạng là
P=1691 | X=0114.530-0250.300 | Y=0242.230-0253.470 | đường nhựa, bê tông xi măng:
P=1691 | X=0096.530-0107.650 | Y=0250.110-0259.430 | 25
P=1691 | X=0464.090-0475.210 | Y=0250.110-0259.430 | 55
P=1691 | X=0511.150-0522.270 | Y=0250.110-0259.430 | 50
P=1691 | X=0114.530-0400.340 | Y=0259.750-0270.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1691 | X=0114.530-0338.170 | Y=0277.270-0288.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1691 | X=0114.530-0399.790 | Y=0295.300-0306.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1691 | X=0114.530-0415.430 | Y=0306.820-0318.060 | Đường Tà Lài đoạn từ Giáp ranh xã Tân Phú đến Ngã ba chùa Bửu
P=1691 | X=0114.530-0341.530 | Y=0318.340-0329.580 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0096.530-0107.650 | Y=0326.220-0335.540 | 26
P=1691 | X=0458.330-0474.970 | Y=0326.220-0335.540 | 130
P=1691 | X=0505.390-0522.030 | Y=0326.220-0335.540 | 100
P=1691 | X=0114.530-0345.610 | Y=0335.860-0347.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1691 | X=0114.530-0391.720 | Y=0353.380-0364.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1691 | X=0114.530-0399.790 | Y=0371.400-0382.640 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1691 | X=0114.530-0415.430 | Y=0382.920-0394.160 | Đường Tà Lài đoạn từ Giáp ranh xã Tân Phú đến Ngã ba chùa Bửu
P=1691 | X=0114.530-0341.530 | Y=0394.200-0405.440 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0096.530-0346.120 | Y=0411.720-0426.040 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1691 | X=0464.090-0475.210 | Y=0416.720-0426.040 | 90
P=1691 | X=0511.150-0522.270 | Y=0416.720-0426.040 | 70
P=1691 | X=0114.530-0401.420 | Y=0429.240-0440.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1691 | X=0114.530-0175.660 | Y=0440.760-0452.000 | đến ≤1.000m.
P=1691 | X=0114.530-0337.700 | Y=0458.300-0469.540 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1691 | X=0114.530-0399.790 | Y=0476.300-0487.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1691 | X=0114.530-0415.430 | Y=0487.820-0499.060 | Đường Tà Lài đoạn từ Giáp ranh xã Tân Phú đến Ngã ba chùa Bửu
P=1691 | X=0114.530-0341.530 | Y=0499.340-0510.580 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0096.530-0107.650 | Y=0507.220-0516.540 | 28
P=1691 | X=0464.090-0475.210 | Y=0507.220-0516.540 | 55
P=1691 | X=0511.150-0522.270 | Y=0507.220-0516.540 | 50
P=1691 | X=0114.530-0400.340 | Y=0516.860-0528.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1691 | X=0114.530-0338.170 | Y=0534.410-0545.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1691 | X=0318.600-0407.020 | Y=0552.410-0563.650 | Đường Km12 (cổng
P=1691 | X=0096.530-0176.760 | Y=0558.170-0569.410 | 29 Đường Tà Lài
P=1691 | X=0216.550-0315.320 | Y=0560.050-0569.370 | Ngã ba chùa Bửu Tân
P=1691 | X=0458.330-0474.970 | Y=0560.050-0569.370 | 200
P=1691 | X=0505.390-0522.030 | Y=0560.050-0569.370 | 170
P=1691 | X=0318.600-0380.060 | Y=0563.930-0575.170 | văn hóa ấp 2)
P=1691 | X=0114.530-0418.540 | Y=0581.930-0593.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1691 | X=0114.530-0413.250 | Y=0593.450-0604.690 | từ Ngã ba chùa Bửu Tân đến Đường Km12 (cổng văn hóa ấp 2) có
P=1691 | X=0114.530-0308.140 | Y=0604.970-0616.210 | hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0096.530-0107.650 | Y=0612.850-0622.170 | 30
P=1691 | X=0458.330-0474.970 | Y=0612.850-0622.170 | 130
P=1691 | X=0505.390-0522.030 | Y=0612.850-0622.170 | 100
P=1691 | X=0114.530-0345.610 | Y=0622.270-0633.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1691 | X=0114.530-0391.720 | Y=0639.790-0651.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
