TABLE=046 | AREA=Xã Phú Hòa | SECTION=agricultural | SEGMENTS=1
P=1592 | X=0107.090-0371.470 | Y=0184.370-0195.610 | đoạn từ Giáp ranh xã Tân Phú đến cầu đập có hiện trạng là
P=1592 | X=0107.090-0242.840 | Y=0195.650-0206.890 | đường nhựa, bê tông xi măng:
P=1592 | X=0095.330-0338.680 | Y=0213.190-0227.510 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1592 | X=0441.050-0457.690 | Y=0218.190-0227.510 | 120
P=1592 | X=0510.910-0522.030 | Y=0218.190-0227.510 | 90
P=1592 | X=0107.090-0360.380 | Y=0230.710-0241.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1592 | X=0107.090-0202.040 | Y=0242.230-0253.470 | >500m đến ≤1.000m.
P=1592 | X=0107.090-0330.260 | Y=0259.750-0270.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1592 | X=0107.090-0389.020 | Y=0277.750-0288.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trà Cổ
P=1592 | X=0107.090-0371.470 | Y=0289.300-0300.540 | đoạn từ Giáp ranh xã Tân Phú đến cầu đập có hiện trạng là
P=1592 | X=0107.090-0242.840 | Y=0300.820-0312.060 | đường nhựa, bê tông xi măng:
P=1592 | X=0095.330-0100.930 | Y=0314.460-0323.780 | 4
P=1592 | X=0446.810-0457.930 | Y=0314.460-0323.780 | 80
P=1592 | X=0510.910-0522.030 | Y=0314.460-0323.780 | 50
P=1592 | X=0107.090-0348.180 | Y=0318.340-0329.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1592 | X=0107.090-0149.230 | Y=0331.740-0341.060 | >1.000m.
P=1592 | X=0107.090-0330.730 | Y=0347.380-0358.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1592 | X=0107.090-0380.600 | Y=0365.400-0376.640 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1592 | X=0107.090-0381.590 | Y=0376.920-0388.160 | ra Đường Trà Cổ đoạn từ Giáp ranh xã Tân Phú đến Cầu đập
P=1592 | X=0107.090-0313.940 | Y=0388.200-0399.440 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1592 | X=0095.330-0100.930 | Y=0396.080-0405.400 | 5
P=1592 | X=0441.050-0457.690 | Y=0396.080-0405.400 | 150
P=1592 | X=0505.150-0521.790 | Y=0396.080-0405.400 | 130
P=1592 | X=0107.090-0338.170 | Y=0405.720-0416.960 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1592 | X=0107.090-0384.260 | Y=0423.240-0434.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1592 | X=0107.090-0380.600 | Y=0441.240-0452.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1592 | X=0107.090-0381.590 | Y=0452.780-0464.020 | ra Đường Trà Cổ đoạn từ Giáp ranh xã Tân Phú đến Cầu đập
P=1592 | X=0107.090-0313.940 | Y=0464.300-0475.540 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1592 | X=0095.330-0338.640 | Y=0481.820-0496.140 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1592 | X=0441.050-0457.690 | Y=0486.820-0496.140 | 120
P=1592 | X=0510.910-0522.030 | Y=0486.820-0496.140 | 90
P=1592 | X=0107.090-0360.380 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1592 | X=0107.090-0202.040 | Y=0510.860-0522.100 | >500m đến ≤1.000m.
P=1592 | X=0107.090-0330.260 | Y=0528.380-0539.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1592 | X=0107.090-0380.600 | Y=0546.410-0557.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1592 | X=0107.090-0381.590 | Y=0557.930-0569.170 | ra Đường Trà Cổ đoạn từ Giáp ranh xã Tân Phú đến Cầu đập
P=1592 | X=0107.090-0313.940 | Y=0569.450-0580.690 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1592 | X=0095.330-0100.930 | Y=0583.090-0592.410 | 7
P=1592 | X=0446.810-0457.930 | Y=0583.090-0592.410 | 80
P=1592 | X=0510.910-0522.030 | Y=0583.090-0592.410 | 50
P=1592 | X=0107.090-0348.180 | Y=0586.970-0598.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1592 | X=0107.090-0149.230 | Y=0600.130-0609.450 | >1.000m.
P=1592 | X=0107.090-0330.740 | Y=0615.770-0627.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1592 | X=0185.830-0266.590 | Y=0633.790-0645.030 | Giáp ranh xã Định
P=1592 | X=0287.860-0375.320 | Y=0633.790-0645.030 | Đường Ngã ba Phú
P=1592 | X=0095.330-0155.650 | Y=0641.430-0650.750 | 8 Quốc lộ 20
P=1592 | X=0441.050-0457.690 | Y=0641.430-0650.750 | 270
P=1592 | X=0505.150-0521.790 | Y=0641.430-0650.750 | 230
P=1592 | X=0185.830-0210.390 | Y=0647.190-0656.510 | Quán
P=1592 | X=0287.860-0350.120 | Y=0647.190-0656.510 | Lợi - Phú Hòa
P=1592 | X=0107.090-0372.220 | Y=0663.310-0674.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1592 | X=0107.090-0385.100 | Y=0674.830-0686.070 | đoạn từ Giáp ranh xã Định Quán đến Đường Ngã ba Phú Lợi -
P=1592 | X=0095.330-0355.480 | Y=0685.590-0697.590 | 9 Phú Hòa có hiện trạng là đường nhựa, bê tông xi măng;
P=1592 | X=0441.050-0457.690 | Y=0685.590-0694.910 | 160
P=1592 | X=0505.150-0521.790 | Y=0685.590-0694.910 | 150
P=1592 | X=0107.090-0338.170 | Y=0703.890-0715.130 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1593 | X=0107.090-0384.260 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1593 | X=0107.090-0372.220 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1593 | X=0107.090-0385.100 | Y=0108.260-0119.500 | đoạn từ Giáp ranh xã Định Quán đến Đường Ngã ba Phú Lợi -
P=1593 | X=0107.090-0355.450 | Y=0119.810-0131.050 | Phú Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1593 | X=0092.660-0338.640 | Y=0137.330-0151.410 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1593 | X=0441.050-0457.690 | Y=0142.090-0151.410 | 130
P=1593 | X=0505.150-0521.790 | Y=0142.090-0151.410 | 100
P=1593 | X=0107.090-0360.380 | Y=0154.850-0166.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1593 | X=0107.090-0202.040 | Y=0166.370-0177.610 | >500m đến ≤1.000m.
P=1593 | X=0107.090-0330.260 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1593 | X=0107.090-0372.220 | Y=0201.670-0212.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1593 | X=0107.090-0385.100 | Y=0213.190-0224.430 | đoạn từ Giáp ranh xã Định Quán đến Đường Ngã ba Phú Lợi -
P=1593 | X=0107.090-0355.450 | Y=0224.710-0235.950 | Phú Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1593 | X=0092.660-0103.780 | Y=0238.350-0247.670 | 11
P=1593 | X=0446.810-0457.930 | Y=0238.350-0247.670 | 90
P=1593 | X=0510.910-0522.030 | Y=0238.350-0247.670 | 55
P=1593 | X=0107.090-0348.180 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1593 | X=0107.090-0149.230 | Y=0255.630-0264.950 | >1.000m.
P=1593 | X=0107.090-0330.730 | Y=0271.270-0282.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1593 | X=0107.090-0380.600 | Y=0289.300-0300.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1593 | X=0107.090-0369.110 | Y=0300.820-0312.060 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Định Quán đến Đường
P=1593 | X=0107.090-0371.720 | Y=0312.340-0323.580 | Ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường nhựa, bê
P=1593 | X=0092.660-0167.250 | Y=0323.860-0335.300 | 12 tông xi măng:
P=1593 | X=0441.050-0457.690 | Y=0325.980-0335.300 | 160
P=1593 | X=0505.150-0521.790 | Y=0325.980-0335.300 | 150
P=1593 | X=0107.090-0338.170 | Y=0341.380-0352.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1593 | X=0107.090-0384.260 | Y=0358.900-0370.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1593 | X=0107.090-0380.600 | Y=0376.920-0388.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1593 | X=0107.090-0369.110 | Y=0388.200-0399.440 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Định Quán đến Đường
P=1593 | X=0107.090-0371.720 | Y=0399.720-0410.960 | Ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường nhựa, bê
P=1593 | X=0107.090-0167.250 | Y=0411.240-0422.480 | tông xi măng:
P=1593 | X=0092.660-0338.640 | Y=0428.000-0440.000 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1593 | X=0441.050-0457.690 | Y=0428.000-0437.320 | 130
P=1593 | X=0505.150-0521.790 | Y=0428.000-0437.320 | 100
P=1593 | X=0107.090-0360.380 | Y=0446.280-0457.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1593 | X=0107.090-0202.040 | Y=0457.820-0469.060 | >500m đến ≤1.000m.
P=1593 | X=0107.090-0330.260 | Y=0475.340-0486.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1593 | X=0107.090-0380.600 | Y=0493.340-0504.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1593 | X=0107.090-0369.110 | Y=0504.860-0516.100 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Định Quán đến Đường
P=1593 | X=0107.090-0371.720 | Y=0516.380-0527.620 | Ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường nhựa, bê
P=1593 | X=0107.090-0167.250 | Y=0527.900-0539.140 | tông xi măng:
P=1593 | X=0092.660-0103.780 | Y=0535.810-0545.130 | 14
P=1593 | X=0446.810-0457.930 | Y=0535.810-0545.130 | 90
P=1593 | X=0510.910-0522.030 | Y=0535.810-0545.130 | 55
P=1593 | X=0107.090-0348.180 | Y=0545.450-0556.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1593 | X=0107.090-0149.230 | Y=0558.850-0568.170 | >1.000m.
P=1593 | X=0107.090-0330.730 | Y=0574.250-0585.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1593 | X=0287.860-0374.620 | Y=0594.130-0603.450 | Hết ranh trụ sở ban
P=1593 | X=0185.830-0273.270 | Y=0598.010-0609.250 | Đường Ngã ba Phú
P=1593 | X=0092.660-0155.650 | Y=0605.650-0614.970 | 15 Quốc lộ 20
P=1593 | X=0287.860-0389.260 | Y=0605.650-0614.970 | chỉ huy quân sự huyện
P=1593 | X=0441.050-0457.690 | Y=0605.650-0614.970 | 270
P=1593 | X=0505.150-0521.790 | Y=0605.650-0614.970 | 230
P=1593 | X=0185.830-0248.070 | Y=0611.410-0620.730 | Lợi - Phú Hòa
P=1593 | X=0287.860-0358.200 | Y=0615.290-0626.530 | Định Quán (Cũ)
P=1593 | X=0107.090-0372.220 | Y=0633.310-0644.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1593 | X=0107.090-0385.950 | Y=0644.830-0656.070 | đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến Hết ranh trụ sở
P=1593 | X=0107.090-0371.950 | Y=0656.350-0667.590 | ban chỉ huy quân sự huyện Định Quán (Cũ) có hiện trạng là
P=1593 | X=0092.660-0242.870 | Y=0667.870-0679.310 | 16 đường nhựa, bê tông xi măng:
P=1593 | X=0441.050-0457.690 | Y=0669.990-0679.310 | 160
P=1593 | X=0505.150-0521.790 | Y=0669.990-0679.310 | 150
P=1593 | X=0107.090-0338.170 | Y=0685.390-0696.630 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1593 | X=0107.090-0384.260 | Y=0702.930-0714.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1594 | X=0107.090-0372.220 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1594 | X=0107.090-0385.950 | Y=0090.260-0101.500 | đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến Hết ranh trụ sở
P=1594 | X=0107.090-0371.950 | Y=0101.780-0113.020 | ban chỉ huy quân sự huyện Định Quán (Cũ) có hiện trạng là
P=1594 | X=0107.090-0242.840 | Y=0113.300-0124.540 | đường nhựa, bê tông xi măng:
P=1594 | X=0092.660-0338.640 | Y=0129.850-0142.090 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1594 | X=0441.050-0457.690 | Y=0129.850-0139.170 | 130
P=1594 | X=0505.150-0521.790 | Y=0129.850-0139.170 | 100
P=1594 | X=0107.090-0360.380 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1594 | X=0107.090-0202.040 | Y=0159.650-0170.890 | >500m đến ≤1.000m.
P=1594 | X=0107.090-0330.260 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1594 | X=0107.090-0372.220 | Y=0195.170-0206.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1594 | X=0107.090-0385.950 | Y=0206.710-0217.950 | đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến Hết ranh trụ sở
P=1594 | X=0107.090-0371.950 | Y=0218.230-0229.470 | ban chỉ huy quân sự huyện Định Quán (Cũ) có hiện trạng là
P=1594 | X=0107.090-0242.840 | Y=0229.750-0240.990 | đường nhựa, bê tông xi măng:
P=1594 | X=0092.660-0103.780 | Y=0237.630-0246.950 | 18
P=1594 | X=0446.810-0457.930 | Y=0237.630-0246.950 | 90
P=1594 | X=0510.910-0522.030 | Y=0237.630-0246.950 | 55
P=1594 | X=0107.090-0348.200 | Y=0247.270-0258.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1594 | X=0107.090-0149.230 | Y=0260.670-0269.990 | >1.000m.
P=1594 | X=0107.090-0330.730 | Y=0276.310-0287.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1594 | X=0107.090-0380.600 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1594 | X=0107.090-0378.710 | Y=0305.860-0317.100 | ra Quốc lộ 20 đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến
P=1594 | X=0107.090-0383.970 | Y=0317.380-0328.620 | Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán (Cũ) có
P=1594 | X=0092.660-0300.700 | Y=0328.900-0340.340 | 19 hiện trạng là đường nhựa, bê tông xi măng:
P=1594 | X=0441.050-0457.690 | Y=0331.020-0340.340 | 160
P=1594 | X=0505.150-0521.790 | Y=0331.020-0340.340 | 150
P=1594 | X=0107.090-0338.170 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1594 | X=0107.090-0384.260 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1594 | X=0107.090-0380.600 | Y=0381.720-0392.960 | Các tuyến đường giao thông không đầu nói trực tiếp và thông
P=1594 | X=0107.090-0378.710 | Y=0393.240-0404.480 | ra Quốc lộ 20 đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến
P=1594 | X=0107.090-0382.280 | Y=0404.760-0416.000 | hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán (Cũ) có
P=1594 | X=0107.090-0300.700 | Y=0416.280-0427.520 | hiện trạng là đường nhựa, bê tông xi măng:
P=1594 | X=0092.660-0338.640 | Y=0433.040-0445.040 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1594 | X=0441.050-0457.690 | Y=0433.040-0442.360 | 130
P=1594 | X=0505.150-0521.790 | Y=0433.040-0442.360 | 100
P=1594 | X=0107.090-0360.380 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1594 | X=0107.090-0202.040 | Y=0462.860-0474.100 | >500m đến ≤1.000m.
P=1594 | X=0107.090-0330.260 | Y=0480.380-0491.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1594 | X=0107.090-0380.600 | Y=0498.380-0509.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1594 | X=0107.090-0378.710 | Y=0509.900-0521.140 | ra Quốc lộ 20 đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến
P=1594 | X=0107.090-0382.280 | Y=0521.420-0532.660 | hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán (Cũ) có
P=1594 | X=0107.090-0300.740 | Y=0532.970-0544.210 | hiện trạng là đường nhựa, bê tông xi măng:
P=1594 | X=0092.660-0103.780 | Y=0540.850-0550.170 | 21
P=1594 | X=0446.810-0457.930 | Y=0540.850-0550.170 | 90
P=1594 | X=0510.910-0522.030 | Y=0540.850-0550.170 | 55
P=1594 | X=0107.090-0348.180 | Y=0550.250-0561.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1594 | X=0107.090-0149.230 | Y=0563.650-0572.970 | >1.000m.
P=1594 | X=0107.090-0330.730 | Y=0579.290-0590.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1594 | X=0185.830-0272.580 | Y=0599.170-0608.490 | Hết ranh trụ sở ban
P=1594 | X=0092.660-0155.650 | Y=0610.690-0620.010 | 22 Quốc lộ 20
P=1594 | X=0185.830-0354.660 | Y=0610.690-0620.010 | chỉ huy quân sự huyện Ngã ba Km118
P=1594 | X=0441.050-0457.690 | Y=0610.690-0620.010 | 270
P=1594 | X=0505.150-0521.790 | Y=0610.690-0620.010 | 230
P=1594 | X=0185.830-0256.150 | Y=0620.350-0631.590 | Định Quán (Cũ)
P=1594 | X=0107.090-0372.220 | Y=0638.350-0649.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1594 | X=0107.090-0385.640 | Y=0649.870-0661.110 | đoạn từ Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1594 | X=0107.090-0384.450 | Y=0661.390-0672.630 | (Cũ) đến Ngã ba Km118 có hiện trạng là đường nhựa, bê tông
P=1594 | X=0092.660-0144.920 | Y=0672.910-0684.350 | 23 xi măng:
P=1594 | X=0441.050-0457.690 | Y=0675.030-0684.350 | 160
P=1594 | X=0505.150-0521.790 | Y=0675.030-0684.350 | 150
P=1594 | X=0107.090-0338.170 | Y=0690.430-0701.670 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1594 | X=0107.090-0384.290 | Y=0707.970-0719.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1595 | X=0107.090-0372.220 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1595 | X=0107.090-0385.640 | Y=0090.260-0101.500 | đoạn từ Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1595 | X=0107.090-0384.450 | Y=0101.780-0113.020 | (Cũ) đến Ngã ba Km118 có hiện trạng là đường nhựa, bê tông
P=1595 | X=0107.090-0144.920 | Y=0113.300-0124.540 | xi măng:
P=1595 | X=0092.660-0338.640 | Y=0129.850-0142.090 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1595 | X=0441.050-0457.690 | Y=0129.850-0139.170 | 130
P=1595 | X=0505.150-0521.790 | Y=0129.850-0139.170 | 100
P=1595 | X=0107.090-0360.380 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1595 | X=0107.090-0202.040 | Y=0159.650-0170.890 | >500m đến ≤1.000m.
P=1595 | X=0107.090-0330.260 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1595 | X=0107.090-0372.220 | Y=0195.170-0206.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1595 | X=0107.090-0385.640 | Y=0206.710-0217.950 | đoạn từ Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1595 | X=0107.090-0384.450 | Y=0218.230-0229.470 | (Cũ) đến Ngã ba Km118 có hiện trạng là đường nhựa, bê tông
P=1595 | X=0107.090-0144.920 | Y=0229.750-0240.990 | xi măng:
P=1595 | X=0092.660-0103.780 | Y=0237.630-0246.950 | 25
P=1595 | X=0446.810-0457.930 | Y=0237.630-0246.950 | 90
P=1595 | X=0510.910-0522.030 | Y=0237.630-0246.950 | 55
P=1595 | X=0107.090-0348.180 | Y=0247.270-0258.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1595 | X=0107.090-0149.230 | Y=0260.670-0269.990 | >1.000m.
P=1595 | X=0107.090-0330.730 | Y=0276.310-0287.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1595 | X=0107.090-0380.600 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1595 | X=0107.090-0367.610 | Y=0305.860-0317.100 | ra Quốc lộ 20 đoạn từ Hết ranh trụ sở ban chỉ huy quân sự
P=1595 | X=0107.090-0367.630 | Y=0317.380-0328.620 | huyện Định Quán (Cũ) đến Ngã ba Km118 có hiện trạng là
P=1595 | X=0092.660-0242.840 | Y=0328.900-0340.340 | 26 đường nhựa, bê tông xi măng:
P=1595 | X=0441.050-0457.690 | Y=0331.020-0340.340 | 160
P=1595 | X=0505.150-0521.790 | Y=0331.020-0340.340 | 150
P=1595 | X=0107.090-0338.170 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1595 | X=0107.090-0384.260 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1595 | X=0107.090-0380.600 | Y=0381.720-0392.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1595 | X=0107.090-0367.610 | Y=0393.240-0404.480 | ra Quốc lộ 20 đoạn từ Hết ranh trụ sở ban chỉ huy quân sự
P=1595 | X=0107.090-0367.630 | Y=0404.760-0416.000 | huyện Định Quán (Cũ) đến Ngã ba Km118 có hiện trạng là
P=1595 | X=0107.090-0242.840 | Y=0416.280-0427.520 | đường nhựa, bê tông xi măng:
P=1595 | X=0092.660-0338.640 | Y=0433.040-0445.040 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1595 | X=0441.050-0457.690 | Y=0433.040-0442.360 | 130
P=1595 | X=0505.150-0521.790 | Y=0433.040-0442.360 | 100
P=1595 | X=0107.090-0360.380 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1595 | X=0107.090-0202.040 | Y=0462.860-0474.100 | >500m đến ≤1.000m.
P=1595 | X=0107.090-0330.260 | Y=0480.380-0491.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1595 | X=0107.090-0380.600 | Y=0498.380-0509.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1595 | X=0107.090-0367.610 | Y=0509.900-0521.140 | ra Quốc lộ 20 đoạn từ Hết ranh trụ sở ban chỉ huy quân sự
P=1595 | X=0107.090-0367.630 | Y=0521.420-0532.660 | huyện Định Quán (Cũ) đến Ngã ba Km118 có hiện trạng là
P=1595 | X=0107.090-0242.840 | Y=0532.970-0544.210 | đường nhựa, bê tông xi măng:
P=1595 | X=0092.660-0103.780 | Y=0540.850-0550.170 | 28
P=1595 | X=0446.810-0457.930 | Y=0540.850-0550.170 | 90
P=1595 | X=0510.910-0522.030 | Y=0540.850-0550.170 | 55
P=1595 | X=0107.090-0348.180 | Y=0550.250-0561.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1595 | X=0107.090-0149.230 | Y=0563.650-0572.970 | >1.000m.
P=1595 | X=0107.090-0330.730 | Y=0579.290-0590.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1595 | X=0092.660-0155.650 | Y=0599.170-0608.490 | 29 Quốc lộ 20
P=1595 | X=0185.830-0252.630 | Y=0599.170-0608.490 | Ngã ba Km118
P=1595 | X=0287.860-0385.840 | Y=0599.170-0608.490 | Giáp ranh xã Tân Phú
P=1595 | X=0441.050-0457.690 | Y=0599.170-0608.490 | 270
P=1595 | X=0505.150-0521.790 | Y=0599.170-0608.490 | 230
P=1595 | X=0107.090-0372.220 | Y=0615.290-0626.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1595 | X=0107.090-0366.470 | Y=0626.830-0638.070 | đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân Phú có hiện
