TABLE=038 | AREA=Xã Bình Minh | SECTION=agricultural | SEGMENTS=2
P=1263 | X=0117.170-0402.980 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1263 | X=0117.170-0340.810 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1263 | X=0117.170-0402.430 | Y=0515.420-0526.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1263 | X=0117.170-0393.590 | Y=0526.940-0538.180 | Quốc lộ 1 đoạn từ Ngã ba Trị An đến Nhà thờ Bùi Chu có hiện
P=1263 | X=0117.170-0288.950 | Y=0538.250-0549.490 | trạng là đường nhựa, bê tông xi măng:
P=1263 | X=0100.610-0106.210 | Y=0546.130-0555.450 | 5
P=1263 | X=0453.050-0469.690 | Y=0546.130-0555.450 | 500
P=1263 | X=0505.390-0522.030 | Y=0546.130-0555.450 | 450
P=1263 | X=0117.170-0348.250 | Y=0555.770-0567.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1263 | X=0117.170-0394.360 | Y=0573.290-0584.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1263 | X=0117.170-0402.430 | Y=0591.050-0602.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1263 | X=0117.170-0393.590 | Y=0602.570-0613.810 | Quốc lộ 1 đoạn từ Ngã ba Trị An đến Nhà thờ Bùi Chu có hiện
P=1263 | X=0117.170-0288.950 | Y=0614.090-0625.330 | trạng là đường nhựa, bê tông xi măng:
P=1263 | X=0117.170-0348.720 | Y=0631.630-0642.870 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1263 | X=0100.610-0106.210 | Y=0636.390-0645.710 | 6
P=1263 | X=0453.050-0469.690 | Y=0636.390-0645.710 | 400
P=1263 | X=0505.390-0522.030 | Y=0636.390-0645.710 | 350
P=1263 | X=0117.170-0404.060 | Y=0649.150-0660.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1263 | X=0117.170-0178.290 | Y=0660.670-0671.910 | đến ≤1.000m.
P=1263 | X=0117.170-0340.350 | Y=0678.190-0689.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1263 | X=0117.170-0402.430 | Y=0695.950-0707.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1263 | X=0100.610-0106.210 | Y=0703.620-0712.940 | 7
P=1263 | X=0453.050-0469.690 | Y=0703.620-0712.940 | 290
P=1263 | X=0505.390-0522.030 | Y=0703.620-0712.940 | 260
P=1263 | X=0117.170-0393.590 | Y=0707.490-0718.730 | Quốc lộ 1 đoạn từ Ngã ba Trị An đến Nhà thờ Bùi Chu có hiện
P=1264 | X=0117.170-0288.950 | Y=0072.500-0083.740 | trạng là đường nhựa, bê tông xi măng:
P=1264 | X=0117.170-0402.980 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1264 | X=0117.170-0340.810 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1264 | X=0315.240-0398.850 | Y=0125.330-0136.570 | UBND xã Bắc Sơn
P=1264 | X=0100.610-0106.210 | Y=0132.970-0142.290 | 8
P=1264 | X=0117.170-0160.210 | Y=0132.970-0142.290 | Quốc lộ 1
P=1264 | X=0223.030-0297.540 | Y=0132.970-0142.290 | Nhà thờ Bùi Chu
P=1264 | X=0453.050-0469.690 | Y=0132.970-0142.290 | 730
P=1264 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 650
P=1264 | X=0315.240-0332.520 | Y=0136.850-0148.090 | (cũ)
P=1264 | X=0117.170-0414.170 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1264 | X=0117.170-0388.530 | Y=0166.130-0177.370 | Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có hiện trạng là
P=1264 | X=0117.170-0252.980 | Y=0177.410-0188.650 | đường nhựa, bê tông xi măng:
P=1264 | X=0100.610-0106.210 | Y=0185.290-0194.610 | 9
P=1264 | X=0453.050-0469.690 | Y=0185.290-0194.610 | 500
P=1264 | X=0505.390-0522.030 | Y=0185.290-0194.610 | 450
P=1264 | X=0117.170-0348.250 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1264 | X=0117.170-0382.080 | Y=0212.470-0223.710 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1264 | X=0117.170-0414.170 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1264 | X=0117.170-0388.530 | Y=0241.750-0252.990 | Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có hiện trạng là
P=1264 | X=0117.170-0252.950 | Y=0253.270-0264.510 | đường nhựa, bê tông xi măng:
P=1264 | X=0097.970-0348.720 | Y=0270.790-0284.870 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1264 | X=0453.050-0469.690 | Y=0275.550-0284.870 | 400
P=1264 | X=0505.390-0522.030 | Y=0275.550-0284.870 | 350
P=1264 | X=0117.170-0404.060 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1264 | X=0117.170-0178.290 | Y=0299.860-0311.100 | đến ≤1.000m.
P=1264 | X=0117.170-0340.340 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1264 | X=0117.170-0414.170 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1264 | X=0117.170-0388.530 | Y=0346.660-0357.900 | Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có hiện trạng là
P=1264 | X=0117.170-0252.940 | Y=0357.940-0369.180 | đường nhựa, bê tông xi măng:
P=1264 | X=0097.970-0109.090 | Y=0365.820-0375.140 | 11
P=1264 | X=0453.050-0469.690 | Y=0365.820-0375.140 | 290
P=1264 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 260
P=1264 | X=0117.170-0402.980 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1264 | X=0117.170-0340.810 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1264 | X=0117.170-0402.430 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1264 | X=0117.170-0413.460 | Y=0422.280-0433.520 | Quốc lộ 1 đoạn từ Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có
P=1264 | X=0117.170-0310.810 | Y=0433.800-0445.040 | hiện trạng là đường nhựa, bê tông xi măng:
P=1264 | X=0097.970-0109.090 | Y=0441.680-0451.000 | 12
P=1264 | X=0453.050-0469.690 | Y=0441.680-0451.000 | 500
P=1264 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 450
P=1264 | X=0117.170-0348.250 | Y=0451.340-0462.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1264 | X=0117.170-0394.360 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1264 | X=0117.170-0402.430 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1264 | X=0117.170-0413.460 | Y=0498.140-0509.380 | Quốc lộ 1 đoạn từ Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có
P=1264 | X=0117.170-0310.810 | Y=0509.660-0520.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=1264 | X=0097.970-0348.720 | Y=0527.180-0541.260 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1264 | X=0453.050-0469.690 | Y=0531.940-0541.260 | 400
P=1264 | X=0505.390-0522.030 | Y=0531.940-0541.260 | 350
P=1264 | X=0117.170-0404.060 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1264 | X=0117.170-0178.290 | Y=0556.010-0567.250 | đến ≤1.000m.
P=1264 | X=0117.170-0340.340 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1264 | X=0117.170-0402.430 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1264 | X=0117.170-0413.460 | Y=0602.810-0614.050 | Quốc lộ 1 đoạn từ Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có
P=1264 | X=0117.170-0310.840 | Y=0614.330-0625.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=1264 | X=0097.970-0109.090 | Y=0622.230-0631.550 | 14
P=1264 | X=0453.050-0469.690 | Y=0622.230-0631.550 | 290
P=1264 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 260
P=1264 | X=0117.170-0402.980 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1264 | X=0117.170-0340.810 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1264 | X=0223.030-0306.650 | Y=0667.150-0678.390 | UBND xã Bắc Sơn
P=1264 | X=0315.240-0375.050 | Y=0672.910-0684.150 | Cầu Suối Đĩa
P=1264 | X=0097.970-0160.210 | Y=0674.790-0684.110 | 15 Quốc lộ 1
P=1264 | X=0453.050-0469.690 | Y=0674.790-0684.110 | 730
P=1264 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 650
P=1264 | X=0223.030-0240.310 | Y=0678.670-0689.910 | (cũ)
P=1264 | X=0117.170-0414.170 | Y=0696.430-0707.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1264 | X=0097.970-0109.090 | Y=0704.100-0713.420 | 16
P=1264 | X=0453.050-0469.690 | Y=0704.100-0713.420 | 500
P=1264 | X=0505.390-0522.030 | Y=0704.100-0713.420 | 450
P=1264 | X=0117.170-0406.300 | Y=0707.970-0719.210 | UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện trạng là đường
P=1265 | X=0117.170-0220.280 | Y=0072.500-0083.740 | nhựa, bê tông xi măng:
P=1265 | X=0117.170-0348.250 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1265 | X=0117.170-0382.080 | Y=0107.540-0118.780 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1265 | X=0117.170-0414.170 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1265 | X=0117.170-0406.300 | Y=0136.850-0148.090 | UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện trạng là đường
P=1265 | X=0117.170-0220.280 | Y=0148.370-0159.610 | nhựa, bê tông xi măng:
P=1265 | X=0097.970-0348.720 | Y=0165.650-0179.970 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1265 | X=0453.050-0469.690 | Y=0170.650-0179.970 | 400
P=1265 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 350
P=1265 | X=0117.170-0404.060 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1265 | X=0117.170-0178.290 | Y=0194.690-0205.930 | đến ≤1.000m.
P=1265 | X=0117.170-0340.340 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1265 | X=0117.170-0414.170 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1265 | X=0117.170-0406.300 | Y=0241.510-0252.750 | UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện trạng là đường
P=1265 | X=0117.170-0220.280 | Y=0253.030-0264.270 | nhựa, bê tông xi măng:
P=1265 | X=0097.970-0109.090 | Y=0260.910-0270.230 | 18
P=1265 | X=0453.050-0469.690 | Y=0260.910-0270.230 | 290
P=1265 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 260
P=1265 | X=0117.170-0402.980 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1265 | X=0117.170-0340.810 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1265 | X=0117.170-0402.430 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1265 | X=0117.170-0398.590 | Y=0317.380-0328.620 | Quốc lộ 1 đoạn từ UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có
P=1265 | X=0117.170-0310.810 | Y=0328.900-0340.140 | hiện trạng là đường nhựa, bê tông xi măng:
P=1265 | X=0097.970-0109.090 | Y=0336.780-0346.100 | 19
P=1265 | X=0453.050-0469.690 | Y=0336.780-0346.100 | 500
P=1265 | X=0505.390-0522.030 | Y=0336.780-0346.100 | 450
P=1265 | X=0117.170-0348.250 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1265 | X=0117.170-0394.360 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1265 | X=0117.170-0402.430 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1265 | X=0117.170-0398.590 | Y=0393.000-0404.240 | Quốc lộ 1 đoạn từ UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có
P=1265 | X=0117.170-0310.810 | Y=0404.520-0415.760 | hiện trạng là đường nhựa, bê tông xi măng:
P=1265 | X=0097.970-0348.730 | Y=0422.040-0436.360 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1265 | X=0453.050-0469.690 | Y=0427.040-0436.360 | 400
P=1265 | X=0505.390-0522.030 | Y=0427.040-0436.360 | 350
P=1265 | X=0117.170-0404.060 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1265 | X=0117.170-0178.290 | Y=0451.100-0462.340 | đến ≤1.000m.
P=1265 | X=0117.170-0340.340 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1265 | X=0117.170-0402.430 | Y=0486.380-0497.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1265 | X=0117.170-0398.590 | Y=0497.900-0509.140 | Quốc lộ 1 đoạn từ UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có
P=1265 | X=0117.170-0310.810 | Y=0509.420-0520.660 | hiện trạng là đường nhựa, bê tông xi măng:
P=1265 | X=0097.970-0109.090 | Y=0517.300-0526.620 | 21
P=1265 | X=0453.050-0469.690 | Y=0517.300-0526.620 | 290
P=1265 | X=0505.390-0522.030 | Y=0517.300-0526.620 | 260
P=1265 | X=0117.170-0402.980 | Y=0526.940-0538.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1265 | X=0117.170-0340.810 | Y=0544.250-0555.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1265 | X=0315.240-0399.320 | Y=0562.010-0573.250 | Đường Võ Nguyên
P=1265 | X=0223.030-0282.870 | Y=0567.770-0579.010 | Cầu Suối Đĩa
P=1265 | X=0097.970-0160.210 | Y=0569.650-0578.970 | 22 Quốc lộ 1
P=1265 | X=0453.050-0469.690 | Y=0569.650-0578.970 | 730
P=1265 | X=0505.390-0522.030 | Y=0569.650-0578.970 | 650
P=1265 | X=0315.240-0336.670 | Y=0575.410-0584.730 | Giáp
P=1265 | X=0117.170-0414.170 | Y=0591.290-0602.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1265 | X=0117.170-0410.870 | Y=0602.810-0614.050 | Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện trạng là đường
P=1265 | X=0117.170-0220.280 | Y=0614.330-0625.570 | nhựa, bê tông xi măng:
P=1265 | X=0097.970-0109.090 | Y=0622.230-0631.550 | 23
P=1265 | X=0453.050-0469.690 | Y=0622.230-0631.550 | 500
P=1265 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 450
P=1265 | X=0117.170-0348.250 | Y=0631.870-0643.110 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1265 | X=0117.170-0382.080 | Y=0649.390-0660.630 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1265 | X=0117.170-0414.170 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1265 | X=0117.170-0410.870 | Y=0678.670-0689.910 | Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện trạng là đường
P=1265 | X=0097.970-0220.280 | Y=0689.190-0701.430 | 24 nhựa, bê tông xi măng:
P=1265 | X=0453.050-0469.690 | Y=0689.190-0698.510 | 400
P=1265 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 350
P=1265 | X=0117.170-0348.720 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1266 | X=0117.170-0404.060 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1266 | X=0117.170-0178.300 | Y=0090.020-0101.260 | đến ≤1.000m.
P=1266 | X=0117.170-0340.340 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1266 | X=0117.170-0414.170 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1266 | X=0117.170-0410.870 | Y=0136.850-0148.090 | Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện trạng là đường
P=1266 | X=0117.170-0220.280 | Y=0148.370-0159.610 | nhựa, bê tông xi măng:
P=1266 | X=0097.970-0109.090 | Y=0156.250-0165.570 | 25
P=1266 | X=0453.050-0469.690 | Y=0156.250-0165.570 | 290
P=1266 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 260
P=1266 | X=0117.170-0402.980 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1266 | X=0117.170-0340.810 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1266 | X=0117.170-0402.430 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1266 | X=0117.170-0403.140 | Y=0212.470-0223.710 | Quốc lộ 1 đoạn từ Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có
P=1266 | X=0117.170-0310.810 | Y=0223.990-0235.230 | hiện trạng là đường nhựa, bê tông xi măng:
P=1266 | X=0097.970-0109.090 | Y=0231.870-0241.190 | 26
P=1266 | X=0453.050-0469.690 | Y=0231.870-0241.190 | 500
P=1266 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 450
P=1266 | X=0117.170-0348.250 | Y=0241.510-0252.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1266 | X=0117.170-0394.360 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1266 | X=0117.170-0402.430 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1266 | X=0117.170-0403.140 | Y=0288.340-0299.580 | Quốc lộ 1 đoạn từ Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có
P=1266 | X=0117.170-0310.810 | Y=0299.860-0311.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=1266 | X=0097.970-0348.720 | Y=0317.380-0331.460 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1266 | X=0453.050-0469.690 | Y=0322.140-0331.460 | 400
P=1266 | X=0505.390-0522.030 | Y=0322.140-0331.460 | 350
P=1266 | X=0117.170-0404.060 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1266 | X=0117.170-0178.290 | Y=0346.420-0357.660 | đến ≤1.000m.
P=1266 | X=0117.170-0340.340 | Y=0363.700-0374.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1266 | X=0117.170-0402.460 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1266 | X=0117.170-0403.140 | Y=0393.000-0404.240 | Quốc lộ 1 đoạn từ Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có
P=1266 | X=0117.170-0310.810 | Y=0404.520-0415.760 | hiện trạng là đường nhựa, bê tông xi măng:
P=1266 | X=0097.970-0109.090 | Y=0412.400-0421.720 | 28
P=1266 | X=0453.050-0469.690 | Y=0412.400-0421.720 | 290
P=1266 | X=0505.390-0522.030 | Y=0412.400-0421.720 | 260
P=1266 | X=0117.170-0402.980 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1266 | X=0117.170-0340.810 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1266 | X=0223.030-0401.510 | Y=0457.340-0468.580 | Đường Võ Nguyên Giáp ranh xã Trảng
P=1266 | X=0097.970-0160.210 | Y=0464.980-0474.300 | 29 Quốc lộ 1
P=1266 | X=0453.050-0469.690 | Y=0464.980-0474.300 | 730
P=1266 | X=0505.390-0522.030 | Y=0464.980-0474.300 | 650
P=1266 | X=0223.030-0244.460 | Y=0470.740-0480.060 | Giáp
P=1266 | X=0315.240-0335.870 | Y=0470.740-0480.060 | Bom
P=1266 | X=0117.170-0414.170 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1266 | X=0117.170-0391.900 | Y=0498.140-0509.380 | Đường Võ Nguyên Giáp đến Giáp ranh xã Trảng Bom có hiện
P=1266 | X=0117.170-0288.950 | Y=0509.660-0520.900 | trạng là đường nhựa, bê tông xi măng:
P=1266 | X=0097.970-0109.090 | Y=0517.540-0526.860 | 30
P=1266 | X=0453.050-0469.690 | Y=0517.540-0526.860 | 500
P=1266 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 450
P=1266 | X=0117.170-0348.250 | Y=0527.180-0538.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1266 | X=0117.170-0382.080 | Y=0544.490-0555.730 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1266 | X=0117.170-0414.170 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1266 | X=0117.170-0391.900 | Y=0573.770-0585.010 | Đường Võ Nguyên Giáp đến Giáp ranh xã Trảng Bom có hiện
P=1266 | X=0117.170-0288.950 | Y=0585.290-0596.530 | trạng là đường nhựa, bê tông xi măng:
P=1266 | X=0097.970-0348.730 | Y=0602.810-0617.130 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1266 | X=0453.050-0469.690 | Y=0607.810-0617.130 | 400
P=1266 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 350
