TABLE=088 | AREA=Xã Đắk Ơ | SECTION=agricultural | SEGMENTS=1
P=2114 | X=0093.380-0282.470 | Y=0125.330-0136.570 | 4 Đường ĐT 741 thửa đất số 51 thuộc tờ
P=2114 | X=0391.820-0408.460 | Y=0127.210-0136.530 | 252
P=2114 | X=0431.450-0448.090 | Y=0127.210-0136.530 | 202
P=2114 | X=0471.290-0487.930 | Y=0127.210-0136.530 | 161
P=2114 | X=0511.150-0522.270 | Y=0127.210-0136.530 | 49
P=2114 | X=0295.080-0334.280 | Y=0132.970-0142.290 | trạm y tế
P=2114 | X=0178.390-0236.100 | Y=0136.850-0148.090 | bản đồ số 62
P=2114 | X=0295.080-0357.090 | Y=0156.730-0166.050 | Hết ranh thửa
P=2114 | X=0295.080-0362.620 | Y=0166.370-0177.610 | đất số 58, thửa
P=2114 | X=0093.380-0275.940 | Y=0172.130-0183.370 | 5 Đường ĐT 741 Trường học, trạm y tế
P=2114 | X=0391.820-0408.460 | Y=0174.010-0183.330 | 252
P=2114 | X=0431.450-0448.090 | Y=0174.010-0183.330 | 202
P=2114 | X=0471.290-0487.930 | Y=0174.010-0183.330 | 161
P=2114 | X=0511.150-0522.270 | Y=0174.010-0183.330 | 49
P=2114 | X=0295.080-0369.020 | Y=0177.650-0188.890 | đất số 463 thuộc
P=2114 | X=0295.080-0365.000 | Y=0189.170-0200.410 | tờ bản đồ số 46
P=2114 | X=0295.080-0357.090 | Y=0209.070-0218.390 | Hết ranh thửa
P=2114 | X=0178.390-0286.830 | Y=0212.950-0224.190 | Hết ranh thửa đất số 58,
P=2114 | X=0295.080-0362.620 | Y=0218.710-0229.950 | đất số 17, thửa
P=2114 | X=0093.380-0287.990 | Y=0224.470-0235.710 | 6 Đường ĐT 741 thửa đất số 463 thuộc tờ
P=2114 | X=0391.820-0408.460 | Y=0226.350-0235.670 | 252
P=2114 | X=0431.450-0448.090 | Y=0226.350-0235.670 | 202
P=2114 | X=0471.290-0487.930 | Y=0226.350-0235.670 | 161
P=2114 | X=0511.150-0522.270 | Y=0226.350-0235.670 | 49
P=2114 | X=0295.080-0363.500 | Y=0230.230-0241.470 | đất số 87 thuộc
P=2114 | X=0178.390-0236.100 | Y=0235.990-0247.230 | bản đồ số 46
P=2114 | X=0295.080-0365.000 | Y=0241.750-0252.990 | tờ bản đồ số 41
P=2114 | X=0178.390-0286.830 | Y=0259.750-0270.990 | Hết ranh thửa đất số 17,
P=2114 | X=0295.080-0367.640 | Y=0267.390-0276.710 | Giáp ranh xã Bù
P=2114 | X=0093.380-0282.470 | Y=0271.270-0282.510 | 7 Đường ĐT 741 thửa đất số 87 thuộc tờ
P=2114 | X=0391.820-0408.460 | Y=0273.150-0282.470 | 252
P=2114 | X=0431.450-0448.090 | Y=0273.150-0282.470 | 202
P=2114 | X=0471.290-0487.930 | Y=0273.150-0282.470 | 161
P=2114 | X=0511.150-0522.270 | Y=0273.150-0282.470 | 49
P=2114 | X=0295.080-0333.090 | Y=0278.910-0288.230 | Gia Mập
P=2114 | X=0178.390-0236.100 | Y=0282.820-0294.060 | bản đồ số 41
P=2114 | X=0295.080-0357.090 | Y=0302.700-0312.020 | Hết ranh thửa
P=2114 | X=0102.770-0172.930 | Y=0312.340-0323.580 | Đường huyện 3
P=2114 | X=0295.080-0356.900 | Y=0312.340-0323.580 | đất số 121, tờ
P=2114 | X=0102.770-0286.830 | Y=0323.860-0335.100 | (Ngã tư chợ đi Hết ranh thửa đất số 29,
P=2114 | X=0295.080-0352.760 | Y=0323.860-0335.100 | bản đồ số 50
P=2114 | X=0093.380-0098.980 | Y=0331.500-0340.820 | 8
P=2114 | X=0391.820-0408.460 | Y=0331.500-0340.820 | 112
P=2114 | X=0437.210-0448.330 | Y=0331.500-0340.820 | 90
P=2114 | X=0477.050-0488.170 | Y=0331.500-0340.820 | 72
P=2114 | X=0511.150-0522.270 | Y=0331.500-0340.820 | 49
P=2114 | X=0102.770-0248.340 | Y=0335.380-0346.620 | thôn 6 xã Đắk tờ bản đồ số 49
P=2114 | X=0295.080-0365.260 | Y=0335.380-0346.620 | đến thửa đất số
P=2114 | X=0102.770-0114.770 | Y=0346.900-0358.140 | Ơ)
P=2114 | X=0295.080-0360.230 | Y=0346.900-0358.140 | 561, tờ bản đồ
P=2114 | X=0295.080-0319.400 | Y=0360.060-0369.380 | số 24
P=2114 | X=0102.770-0292.350 | Y=0376.200-0387.440 | Đường huyện 3 Hết ranh thửa đất số 121,
P=2114 | X=0102.770-0361.890 | Y=0387.720-0398.960 | (Ngã tư chợ đi tờ bản đồ số 50 đến thửa Ngã ba Đường
P=2114 | X=0093.380-0098.980 | Y=0395.360-0404.680 | 9
P=2114 | X=0391.820-0408.460 | Y=0395.360-0404.680 | 112
P=2114 | X=0437.210-0448.330 | Y=0395.360-0404.680 | 90
P=2114 | X=0477.050-0488.170 | Y=0395.360-0404.680 | 72
P=2114 | X=0511.150-0522.270 | Y=0395.360-0404.680 | 49
P=2114 | X=0102.770-0343.640 | Y=0399.240-0410.480 | thôn 6 xã Đắk đất số 561, tờ bản đồ số vào Mỏ Đá
P=2114 | X=0102.770-0114.770 | Y=0410.760-0422.000 | Ơ)
P=2114 | X=0178.390-0189.510 | Y=0412.640-0421.960 | 24
P=2114 | X=0102.770-0172.930 | Y=0428.760-0440.000 | Đường huyện 3
P=2114 | X=0102.770-0280.980 | Y=0440.280-0451.520 | (Ngã tư chợ đi Ngã ba Đường vào Mỏ
P=2114 | X=0295.080-0366.910 | Y=0442.160-0451.480 | Ranh giới xã Bù
P=2114 | X=0090.500-0101.620 | Y=0447.920-0457.240 | 10
P=2114 | X=0391.820-0408.460 | Y=0447.920-0457.240 | 112
P=2114 | X=0437.210-0448.330 | Y=0447.920-0457.240 | 90
P=2114 | X=0477.050-0488.170 | Y=0447.920-0457.240 | 72
P=2114 | X=0511.150-0522.270 | Y=0447.920-0457.240 | 49
P=2114 | X=0102.770-0191.190 | Y=0451.820-0463.060 | thôn 6 xã Đắk Đá
P=2114 | X=0295.080-0333.090 | Y=0453.700-0463.020 | Gia Mập
P=2114 | X=0102.770-0114.770 | Y=0463.340-0474.580 | Ơ)
P=2114 | X=0102.770-0164.530 | Y=0481.340-0492.580 | Đường huyện
P=2114 | X=0295.080-0357.090 | Y=0483.220-0492.540 | Hết ranh thửa
P=2114 | X=0102.770-0362.620 | Y=0492.860-0504.100 | 11 (Ngã tư chợ Hết ranh thửa đất số 3, tờ đất số 18, thửa
P=2114 | X=0090.500-0101.620 | Y=0500.500-0509.820 | 11
P=2114 | X=0391.820-0408.460 | Y=0500.500-0509.820 | 112
P=2114 | X=0437.210-0448.330 | Y=0500.500-0509.820 | 90
P=2114 | X=0477.050-0488.170 | Y=0500.500-0509.820 | 72
P=2114 | X=0511.150-0522.270 | Y=0500.500-0509.820 | 49
P=2114 | X=0102.770-0236.100 | Y=0504.380-0515.620 | đi thôn Bù Bưng, bản đồ số 59
P=2114 | X=0295.080-0369.020 | Y=0504.380-0515.620 | đất số 233 thuộc
P=2114 | X=0295.080-0365.000 | Y=0515.900-0527.140 | tờ bản đồ số 39
P=2114 | X=0102.770-0139.490 | Y=0517.780-0527.100 | thôn 10)
P=2114 | X=0102.770-0164.530 | Y=0533.930-0545.170 | Đường huyện
P=2114 | X=0178.390-0286.830 | Y=0539.690-0550.930 | Hết ranh thửa đất số 18,
P=2114 | X=0102.770-0170.600 | Y=0545.450-0556.690 | 11 (Ngã tư chợ
P=2114 | X=0295.080-0349.160 | Y=0545.450-0556.690 | Giáp đường
P=2114 | X=0178.390-0287.990 | Y=0551.210-0562.450 | thửa đất số 233 thuộc tờ
P=2114 | X=0090.500-0101.620 | Y=0553.090-0562.410 | 12
P=2114 | X=0391.820-0408.460 | Y=0553.090-0562.410 | 112
P=2114 | X=0437.210-0448.330 | Y=0553.090-0562.410 | 90
P=2114 | X=0477.050-0488.170 | Y=0553.090-0562.410 | 72
P=2114 | X=0511.150-0522.270 | Y=0553.090-0562.410 | 49
P=2114 | X=0102.770-0178.040 | Y=0556.970-0568.210 | đi thôn Bù Bưng,
P=2114 | X=0295.080-0370.050 | Y=0558.850-0568.170 | tuần tra biên giới
P=2114 | X=0178.390-0236.100 | Y=0562.490-0573.730 | bản đồ số 39
P=2114 | X=0102.770-0139.490 | Y=0570.130-0579.450 | thôn 10)
P=2114 | X=0102.770-0164.530 | Y=0586.250-0597.490 | Đường huyện
P=2114 | X=0090.500-0267.980 | Y=0597.770-0609.010 | 13 01 (Đường thôn Giáp đường ĐT 741
P=2114 | X=0295.080-0358.040 | Y=0599.650-0608.970 | Ngã ba thôn 3
P=2114 | X=0391.820-0408.460 | Y=0599.650-0608.970 | 112
P=2114 | X=0437.210-0448.330 | Y=0599.650-0608.970 | 90
P=2114 | X=0477.050-0488.170 | Y=0599.650-0608.970 | 72
P=2114 | X=0511.150-0522.270 | Y=0599.650-0608.970 | 49
P=2114 | X=0102.770-0148.610 | Y=0611.170-0620.490 | 9 - thôn 3)
P=2114 | X=0102.770-0164.530 | Y=0627.310-0638.550 | Đường huyện
P=2114 | X=0295.080-0349.160 | Y=0633.070-0644.310 | Giáp đường
P=2114 | X=0090.500-0241.350 | Y=0638.830-0650.070 | 14 01 (Đường thôn Ngã ba thôn 3
P=2114 | X=0391.820-0408.460 | Y=0640.710-0650.030 | 112
P=2114 | X=0437.210-0448.330 | Y=0640.710-0650.030 | 90
P=2114 | X=0477.050-0488.170 | Y=0640.710-0650.030 | 72
P=2114 | X=0511.150-0522.270 | Y=0640.710-0650.030 | 49
P=2114 | X=0295.080-0370.050 | Y=0646.470-0655.790 | tuần tra biên giới
P=2114 | X=0102.770-0148.610 | Y=0652.230-0661.550 | 9 - thôn 3)
P=2114 | X=0102.770-0166.600 | Y=0668.350-0679.590 | Đường Đắk Ơ
P=2114 | X=0295.080-0346.770 | Y=0668.350-0679.590 | Đến ngã ba
P=2114 | X=0090.500-0160.130 | Y=0679.870-0691.110 | 15 06 (thôn Đắk
P=2114 | X=0178.390-0268.000 | Y=0679.870-0691.110 | Giáp đường ĐT 741
P=2114 | X=0295.080-0357.230 | Y=0679.870-0691.110 | đường Đắk Ơ
P=2114 | X=0391.820-0408.460 | Y=0681.750-0691.070 | 112
P=2114 | X=0437.210-0448.330 | Y=0681.750-0691.070 | 90
P=2114 | X=0477.050-0488.170 | Y=0681.750-0691.070 | 72
P=2114 | X=0511.150-0522.270 | Y=0681.750-0691.070 | 49
P=2114 | X=0102.770-0163.460 | Y=0691.390-0702.630 | Lim đi thôn 4)
P=2114 | X=0295.080-0306.200 | Y=0693.270-0702.590 | 12
P=2115 | X=0295.080-0346.770 | Y=0078.740-0089.980 | Đến ngã ba
P=2115 | X=0102.770-0166.600 | Y=0084.500-0095.740 | Đường Đắk Ơ
P=2115 | X=0178.390-0267.980 | Y=0090.260-0101.500 | Giáp đường ĐT 741
P=2115 | X=0295.080-0357.230 | Y=0090.260-0101.500 | đường Đắk Ơ
P=2115 | X=0090.500-0101.620 | Y=0092.140-0101.460 | 16
P=2115 | X=0391.820-0408.460 | Y=0092.140-0101.460 | 112
P=2115 | X=0437.210-0448.330 | Y=0092.140-0101.460 | 90
P=2115 | X=0477.050-0488.170 | Y=0092.140-0101.460 | 72
P=2115 | X=0511.150-0522.270 | Y=0092.140-0101.460 | 49
P=2115 | X=0102.770-0113.890 | Y=0097.900-0107.220 | 14
P=2115 | X=0295.080-0306.200 | Y=0103.660-0112.980 | 12
P=2115 | X=0102.770-0147.970 | Y=0121.690-0131.010 | Các tuyến
P=2115 | X=0178.390-0286.500 | Y=0125.570-0136.810 | Các tuyến đường nội bộ
P=2115 | X=0102.770-0160.130 | Y=0131.330-0142.570 | đường thuộc
P=2115 | X=0178.390-0281.860 | Y=0138.970-0148.290 | thuộc cụm CT36, CT43
P=2115 | X=0102.770-0171.990 | Y=0144.730-0154.050 | Khu Quy hoạch
P=2115 | X=0090.500-0101.620 | Y=0150.490-0159.810 | 17
P=2115 | X=0178.390-0293.140 | Y=0150.490-0159.810 | (Khu Quy hoạch chi tiết tỷ
P=2115 | X=0391.820-0408.460 | Y=0150.490-0159.810 | 112
P=2115 | X=0437.210-0448.330 | Y=0150.490-0159.810 | 90
P=2115 | X=0477.050-0488.170 | Y=0150.490-0159.810 | 72
P=2115 | X=0511.150-0522.270 | Y=0150.490-0159.810 | 49
P=2115 | X=0102.770-0153.010 | Y=0156.250-0165.570 | chi tiết tỷ lệ
P=2115 | X=0178.390-0275.420 | Y=0162.010-0171.330 | lệ 1 /500 trung tâm xã
P=2115 | X=0102.770-0172.830 | Y=0167.530-0176.850 | 1/500 trung tâm
P=2115 | X=0178.390-0211.020 | Y=0171.410-0182.650 | Đắk Ơ)
P=2115 | X=0102.770-0145.480 | Y=0177.170-0188.410 | xã Đắk Ơ
P=2115 | X=0178.390-0286.500 | Y=0195.170-0206.410 | Các tuyến đường nội bộ
P=2115 | X=0102.770-0147.970 | Y=0202.830-0212.150 | Các tuyến
P=2115 | X=0178.390-0284.580 | Y=0208.590-0217.910 | thuộc cụm CT08, CT09,
P=2115 | X=0102.770-0160.130 | Y=0212.470-0223.710 | đường thuộc
P=2115 | X=0178.390-0265.620 | Y=0220.110-0229.430 | CT14, CT15, CT16,
P=2115 | X=0102.770-0171.990 | Y=0225.870-0235.190 | Khu Quy hoạch
P=2115 | X=0090.500-0101.620 | Y=0231.630-0240.950 | 18
P=2115 | X=0178.390-0293.120 | Y=0231.630-0240.950 | CT33, CT34, CT37, CT39
P=2115 | X=0391.820-0408.460 | Y=0231.630-0240.950 | 112
P=2115 | X=0437.210-0448.330 | Y=0231.630-0240.950 | 90
P=2115 | X=0477.050-0488.170 | Y=0231.630-0240.950 | 72
P=2115 | X=0511.150-0522.270 | Y=0231.630-0240.950 | 49
P=2115 | X=0102.770-0153.010 | Y=0237.390-0246.710 | chi tiết tỷ lệ
P=2115 | X=0178.390-0293.140 | Y=0243.150-0252.470 | (Khu Quy hoạch chi tiết tỷ
P=2115 | X=0102.770-0172.830 | Y=0248.910-0258.230 | 1/500 trung tâm
P=2115 | X=0178.390-0293.140 | Y=0252.790-0264.030 | lệ 1/500 trung tâm xã Đắk
P=2115 | X=0102.770-0145.480 | Y=0258.550-0269.790 | xã Đắk Ơ
P=2115 | X=0178.390-0190.390 | Y=0264.310-0275.550 | Ơ)
P=2115 | X=0102.770-0147.970 | Y=0284.220-0293.540 | Các tuyến
P=2115 | X=0102.770-0160.130 | Y=0293.860-0305.100 | đường thuộc
P=2115 | X=0102.770-0286.500 | Y=0305.380-0316.620 | Khu Quy hoạch Các tuyến đường nội bộ
P=2115 | X=0090.500-0101.620 | Y=0313.020-0322.340 | 19
P=2115 | X=0391.820-0408.460 | Y=0313.020-0322.340 | 112
P=2115 | X=0437.210-0448.330 | Y=0313.020-0322.340 | 90
P=2115 | X=0477.050-0488.170 | Y=0313.020-0322.340 | 72
P=2115 | X=0511.150-0522.270 | Y=0313.020-0322.340 | 49
P=2115 | X=0102.770-0153.010 | Y=0318.780-0328.100 | chi tiết tỷ lệ
P=2115 | X=0178.390-0207.270 | Y=0318.780-0328.100 | còn lại
P=2115 | X=0102.770-0172.830 | Y=0330.060-0339.380 | 1/500 trung tâm
P=2115 | X=0102.770-0145.480 | Y=0339.700-0350.940 | xã Đắk Ơ
P=2115 | X=0102.770-0147.970 | Y=0359.580-0368.900 | Các tuyến
P=2115 | X=0090.500-0228.630 | Y=0369.240-0380.480 | 20 đường nhựa, bê Toàn tuyến
P=2115 | X=0397.580-0408.700 | Y=0371.120-0380.440 | 60
P=2115 | X=0437.210-0448.330 | Y=0371.120-0380.440 | 48
P=2115 | X=0477.050-0488.170 | Y=0371.120-0380.440 | 38
P=2115 | X=0511.150-0522.270 | Y=0371.120-0380.440 | 38
P=2115 | X=0102.770-0153.970 | Y=0382.640-0391.960 | tông còn lại
P=2115 | X=0102.770-0147.970 | Y=0400.640-0409.960 | Các tuyến
P=2115 | X=0090.500-0101.620 | Y=0406.400-0415.720 | 21
P=2115 | X=0178.390-0228.630 | Y=0406.400-0415.720 | Toàn tuyến
P=2115 | X=0397.580-0408.700 | Y=0406.400-0415.720 | 60
P=2115 | X=0437.210-0448.330 | Y=0406.400-0415.720 | 48
P=2115 | X=0477.050-0488.170 | Y=0406.400-0415.720 | 38
P=2115 | X=0511.150-0522.270 | Y=0406.400-0415.720 | 38
P=2115 | X=0102.770-0164.540 | Y=0410.280-0421.520 | đường còn lại
