TABLE=017 | AREA=Xã Đại Phước | SECTION=agricultural | SEGMENTS=1
P=0518 | X=0126.050-0412.940 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0518 | X=0126.050-0187.170 | Y=0107.780-0119.020 | đến ≤1.000m.
P=0518 | X=0126.050-0349.220 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0518 | X=0126.050-0409.890 | Y=0143.330-0154.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái
P=0518 | X=0126.050-0403.430 | Y=0154.850-0166.090 | Tổ (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã Nhơn Trạch đến
P=0518 | X=0126.050-0409.670 | Y=0166.370-0177.610 | Ngã ba đường Trần Văn Trà và đường Lý Thái Tổ có hiện trạng
P=0518 | X=0126.050-0272.380 | Y=0177.650-0188.890 | là đường nhựa, bê tông xi măng:
P=0518 | X=0104.930-0110.530 | Y=0180.010-0189.330 | 4
P=0518 | X=0453.530-0470.170 | Y=0180.010-0189.330 | 250
P=0518 | X=0505.390-0522.030 | Y=0180.010-0189.330 | 220
P=0518 | X=0126.050-0411.860 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0518 | X=0126.050-0349.690 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0518 | X=0126.050-0411.310 | Y=0230.710-0241.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0518 | X=0126.050-0398.120 | Y=0242.230-0253.470 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã
P=0518 | X=0126.050-0409.890 | Y=0253.750-0264.990 | Nhơn Trạch đến Ngã ba đường Trần Văn Trà và đường Lý Thái
P=0518 | X=0126.050-0347.290 | Y=0265.270-0276.510 | Tổ có hiện trạng là đường nhựa, bê tông xi măng:
P=0518 | X=0104.930-0110.530 | Y=0267.390-0276.710 | 5
P=0518 | X=0453.530-0470.170 | Y=0267.390-0276.710 | 500
P=0518 | X=0505.390-0522.030 | Y=0267.390-0276.710 | 450
P=0518 | X=0126.050-0357.130 | Y=0282.820-0294.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0518 | X=0126.050-0403.240 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0518 | X=0126.050-0411.310 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0518 | X=0126.050-0398.120 | Y=0329.860-0341.100 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã
P=0518 | X=0126.050-0409.890 | Y=0341.380-0352.620 | Nhơn Trạch đến Ngã ba đường Trần Văn Trà và đường Lý Thái
P=0518 | X=0126.050-0347.290 | Y=0352.900-0364.140 | Tổ có hiện trạng là đường nhựa, bê tông xi măng:
P=0518 | X=0104.930-0110.530 | Y=0369.440-0378.760 | 6
P=0518 | X=0453.530-0470.170 | Y=0369.440-0378.760 | 370
P=0518 | X=0505.390-0522.030 | Y=0369.440-0378.760 | 330
P=0518 | X=0126.050-0357.600 | Y=0370.200-0381.440 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0518 | X=0126.050-0412.940 | Y=0387.720-0398.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0518 | X=0126.050-0187.170 | Y=0399.240-0410.480 | đến ≤1.000m.
P=0518 | X=0126.050-0349.220 | Y=0416.760-0428.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0518 | X=0126.050-0411.340 | Y=0434.760-0446.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0518 | X=0126.050-0398.140 | Y=0446.280-0457.520 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã
P=0518 | X=0126.050-0409.890 | Y=0457.820-0469.060 | Nhơn Trạch đến Ngã ba đường Trần Văn Trà và đường Lý Thái
P=0518 | X=0126.050-0347.290 | Y=0469.340-0480.580 | Tổ có hiện trạng là đường nhựa, bê tông xi măng:
P=0518 | X=0104.930-0110.530 | Y=0471.460-0480.780 | 7
P=0518 | X=0453.530-0470.170 | Y=0471.460-0480.780 | 250
P=0518 | X=0505.390-0522.030 | Y=0471.460-0480.780 | 220
P=0518 | X=0126.050-0411.860 | Y=0486.860-0498.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0518 | X=0126.050-0349.690 | Y=0504.380-0515.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0518 | X=0126.050-0207.990 | Y=0522.380-0533.620 | Đường Lý Thái Tổ
P=0518 | X=0224.470-0300.170 | Y=0522.380-0533.620 | Đường Trần Văn
P=0518 | X=0104.930-0110.530 | Y=0530.020-0539.340 | 8
P=0518 | X=0312.360-0364.750 | Y=0530.020-0539.340 | Phà Cát Lái
P=0518 | X=0453.530-0470.170 | Y=0530.020-0539.340 | 730
P=0518 | X=0505.390-0522.030 | Y=0530.020-0539.340 | 670
P=0518 | X=0126.050-0239.660 | Y=0533.930-0545.170 | (Đường tỉnh 769 cũ) Trà
P=0518 | X=0126.050-0409.890 | Y=0551.930-0563.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái
P=0518 | X=0126.050-0403.900 | Y=0563.450-0574.690 | Tổ (Đường tỉnh 769 cũ) đoạn từ Đường Trần Văn Trà đến Phà
P=0518 | X=0126.050-0367.450 | Y=0574.970-0586.210 | Cát Lái có hiện trạng là đường nhựa, bê tông xi măng:
P=0518 | X=0104.930-0110.530 | Y=0582.850-0592.170 | 9
P=0518 | X=0453.530-0470.170 | Y=0582.850-0592.170 | 500
P=0518 | X=0505.390-0522.030 | Y=0582.850-0592.170 | 450
P=0518 | X=0126.050-0357.130 | Y=0592.250-0603.490 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0518 | X=0126.050-0403.240 | Y=0609.770-0621.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0518 | X=0126.050-0409.890 | Y=0627.790-0639.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái
P=0518 | X=0126.050-0403.900 | Y=0639.310-0650.550 | Tổ (Đường tỉnh 769 cũ) đoạn từ Đường Trần Văn Trà đến Phà
P=0518 | X=0126.050-0367.450 | Y=0650.830-0662.070 | Cát Lái có hiện trạng là đường nhựa, bê tông xi măng:
P=0518 | X=0102.290-0113.410 | Y=0664.470-0673.790 | 10
P=0518 | X=0453.530-0470.170 | Y=0664.470-0673.790 | 370
P=0518 | X=0505.390-0522.030 | Y=0664.470-0673.790 | 330
P=0518 | X=0126.050-0357.600 | Y=0668.350-0679.590 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0518 | X=0126.050-0412.940 | Y=0685.870-0697.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0518 | X=0126.050-0187.170 | Y=0697.390-0708.630 | đến ≤1.000m.
P=0519 | X=0126.050-0349.220 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0519 | X=0126.050-0409.890 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái
P=0519 | X=0126.050-0403.900 | Y=0108.260-0119.500 | Tổ (Đường tỉnh 769 cũ) đoạn từ Đường Trần Văn Trà đến Phà
P=0519 | X=0126.050-0367.450 | Y=0119.810-0131.050 | Cát Lái có hiện trạng là đường nhựa, bê tông xi măng:
P=0519 | X=0102.290-0113.410 | Y=0127.690-0137.010 | 11
P=0519 | X=0453.530-0470.170 | Y=0127.690-0137.010 | 250
P=0519 | X=0505.390-0522.030 | Y=0127.690-0137.010 | 220
P=0519 | X=0126.050-0411.860 | Y=0137.330-0148.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0519 | X=0126.050-0349.690 | Y=0154.850-0166.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0519 | X=0126.050-0411.310 | Y=0172.850-0184.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0519 | X=0126.050-0395.750 | Y=0184.370-0195.610 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Đường Trần
P=0519 | X=0126.050-0415.180 | Y=0195.650-0206.890 | Văn Trà đến Phà Cát Lái có hiện trạng là đường nhựa, bê tông xi
P=0519 | X=0126.050-0154.050 | Y=0207.190-0218.430 | măng:
P=0519 | X=0102.290-0113.410 | Y=0209.310-0218.630 | 12
P=0519 | X=0453.530-0470.170 | Y=0209.310-0218.630 | 500
P=0519 | X=0505.390-0522.030 | Y=0209.310-0218.630 | 450
P=0519 | X=0126.050-0357.180 | Y=0224.710-0235.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0519 | X=0126.050-0403.250 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0519 | X=0126.050-0411.310 | Y=0260.230-0271.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0519 | X=0126.050-0395.750 | Y=0271.750-0282.990 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Đường Trần
P=0519 | X=0126.050-0415.180 | Y=0283.300-0294.540 | Văn Trà đến Phà Cát Lái có hiện trạng là đường nhựa, bê tông xi
P=0519 | X=0126.050-0154.050 | Y=0294.820-0306.060 | măng:
P=0519 | X=0102.290-0113.410 | Y=0311.340-0320.660 | 13
P=0519 | X=0453.530-0470.170 | Y=0311.340-0320.660 | 370
P=0519 | X=0505.390-0522.030 | Y=0311.340-0320.660 | 330
P=0519 | X=0126.050-0357.600 | Y=0312.340-0323.580 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0519 | X=0126.050-0412.940 | Y=0329.860-0341.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0519 | X=0126.050-0187.170 | Y=0341.380-0352.620 | đến ≤1.000m.
P=0519 | X=0126.050-0349.220 | Y=0358.900-0370.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0519 | X=0126.050-0411.340 | Y=0376.920-0388.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0519 | X=0126.050-0395.750 | Y=0388.200-0399.440 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Đường Trần
P=0519 | X=0126.050-0415.180 | Y=0399.720-0410.960 | Văn Trà đến Phà Cát Lái có hiện trạng là đường nhựa, bê tông xi
P=0519 | X=0126.050-0154.050 | Y=0411.240-0422.480 | măng:
P=0519 | X=0102.290-0113.410 | Y=0413.360-0422.680 | 14
P=0519 | X=0453.530-0470.170 | Y=0413.360-0422.680 | 250
P=0519 | X=0505.390-0522.030 | Y=0413.360-0422.680 | 220
P=0519 | X=0126.050-0411.860 | Y=0428.760-0440.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0519 | X=0126.050-0349.690 | Y=0446.280-0457.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0519 | X=0223.750-0302.490 | Y=0464.300-0475.540 | Đường Trần Nam
P=0519 | X=0318.120-0406.700 | Y=0466.180-0475.500 | Ngã ba Lý Thái Tổ -
P=0519 | X=0126.050-0219.500 | Y=0470.060-0481.300 | Đường Trần Văn Trà
P=0519 | X=0102.290-0113.410 | Y=0471.940-0481.260 | 15
P=0519 | X=0453.530-0470.170 | Y=0471.940-0481.260 | 730
P=0519 | X=0505.390-0522.030 | Y=0471.940-0481.260 | 670
P=0519 | X=0318.120-0377.230 | Y=0475.820-0487.060 | Trần Văn Trà
P=0519 | X=0223.750-0249.990 | Y=0477.700-0487.020 | Trung
P=0519 | X=0126.050-0397.910 | Y=0493.820-0505.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần
P=0519 | X=0126.050-0414.230 | Y=0505.340-0516.580 | Văn Trà đoạn từ Đường Trần Nam Trung đến Ngã ba Lý Thái Tổ
P=0519 | X=0126.050-0400.620 | Y=0516.860-0528.100 | - Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0519 | X=0102.290-0113.410 | Y=0524.740-0534.060 | 16
P=0519 | X=0453.530-0470.170 | Y=0524.740-0534.060 | 500
P=0519 | X=0505.390-0522.030 | Y=0524.740-0534.060 | 450
P=0519 | X=0126.050-0357.130 | Y=0534.410-0545.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0519 | X=0126.050-0403.240 | Y=0551.930-0563.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0519 | X=0126.050-0397.910 | Y=0569.930-0581.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần
P=0519 | X=0126.050-0414.220 | Y=0581.450-0592.690 | Văn Trà đoạn từ Đường Trần Nam Trung đến Ngã ba Lý Thái Tổ
P=0519 | X=0126.050-0400.600 | Y=0592.970-0604.210 | - Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0519 | X=0126.050-0357.600 | Y=0610.250-0621.490 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0519 | X=0102.290-0113.410 | Y=0615.250-0624.570 | 17
P=0519 | X=0453.530-0470.170 | Y=0615.250-0624.570 | 370
P=0519 | X=0505.390-0522.030 | Y=0615.250-0624.570 | 330
P=0519 | X=0126.050-0412.940 | Y=0627.790-0639.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0519 | X=0126.050-0187.170 | Y=0639.310-0650.550 | đến ≤1.000m.
P=0519 | X=0126.050-0349.220 | Y=0656.830-0668.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0519 | X=0126.050-0397.910 | Y=0674.830-0686.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần
P=0519 | X=0126.050-0414.230 | Y=0686.350-0697.590 | Văn Trà đoạn từ Đường Trần Nam Trung đến Ngã ba Lý Thái Tổ
P=0519 | X=0102.290-0113.410 | Y=0688.230-0697.550 | 18
P=0519 | X=0453.530-0470.170 | Y=0688.230-0697.550 | 250
P=0519 | X=0505.390-0522.030 | Y=0688.230-0697.550 | 220
P=0519 | X=0126.050-0400.600 | Y=0697.870-0709.110 | - Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0520 | X=0126.050-0411.860 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0520 | X=0126.050-0349.690 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0520 | X=0126.050-0411.310 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0520 | X=0126.050-0407.750 | Y=0125.810-0137.050 | Đường Trần Văn Trà đoạn từ Đường Trần Nam Trung đến Ngã
P=0520 | X=0126.050-0401.980 | Y=0137.330-0148.570 | ba Lý Thái Tổ - Trần Văn Trà có hiện trạng là đường nhựa, bê
P=0520 | X=0126.050-0186.210 | Y=0148.850-0160.090 | tông xi măng:
P=0520 | X=0102.290-0113.410 | Y=0150.970-0160.290 | 19
P=0520 | X=0453.530-0470.170 | Y=0150.970-0160.290 | 500
P=0520 | X=0505.390-0522.030 | Y=0150.970-0160.290 | 450
P=0520 | X=0126.050-0357.130 | Y=0166.370-0177.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0520 | X=0126.050-0403.240 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5tn, cách đường giao thông ≤500m.
P=0520 | X=0126.050-0411.340 | Y=0201.670-0212.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0520 | X=0126.050-0407.750 | Y=0213.190-0224.430 | Đường Trần Văn Trà đoạn từ Đường Trần Nam Trung đến Ngã
P=0520 | X=0126.050-0401.980 | Y=0224.710-0235.950 | ba Lý Thái Tổ - Trần Văn Trà có hiện trạng là đường nhựa, bê
P=0520 | X=0126.050-0186.210 | Y=0236.230-0247.470 | tông xi măng:
P=0520 | X=0102.290-0113.410 | Y=0252.990-0262.310 | 20
P=0520 | X=0453.530-0470.170 | Y=0252.990-0262.310 | 370
P=0520 | X=0505.390-0522.030 | Y=0252.990-0262.310 | 330
P=0520 | X=0126.050-0357.600 | Y=0253.750-0264.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0520 | X=0126.050-0412.940 | Y=0271.270-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0520 | X=0126.050-0187.170 | Y=0282.820-0294.060 | đến ≤1.000m.
P=0520 | X=0126.050-0349.220 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0520 | X=0126.050-0411.310 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0520 | X=0126.050-0407.750 | Y=0329.860-0341.100 | Đường Trần Văn Trà đoạn từ Đường Trần Nam Trung đến Ngã
P=0520 | X=0126.050-0401.980 | Y=0341.380-0352.620 | ba Lý Thái Tổ - Trần Văn Trà có hiện trạng là đường nhựa, bê
P=0520 | X=0126.050-0186.210 | Y=0352.900-0364.140 | tông xi măng:
P=0520 | X=0102.290-0113.410 | Y=0355.020-0364.340 | 21
P=0520 | X=0453.530-0470.170 | Y=0355.020-0364.340 | 250
P=0520 | X=0505.390-0522.030 | Y=0355.020-0364.340 | 220
P=0520 | X=0126.050-0411.860 | Y=0370.200-0381.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0520 | X=0126.050-0349.690 | Y=0387.720-0398.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0520 | X=0223.750-0317.250 | Y=0405.720-0416.960 | Ranh xã Nhơn Trạch
P=0520 | X=0318.120-0411.570 | Y=0411.480-0422.720 | Đường Trần Văn Trà
P=0520 | X=0102.290-0113.410 | Y=0413.360-0422.680 | 22
P=0520 | X=0126.050-0201.270 | Y=0413.360-0422.680 | Quách Thị Trang
P=0520 | X=0453.530-0470.170 | Y=0413.360-0422.680 | 730
P=0520 | X=0505.390-0522.030 | Y=0413.360-0422.680 | 670
P=0520 | X=0223.750-0296.340 | Y=0417.240-0428.480 | và xã Phước An
P=0520 | X=0126.050-0389.260 | Y=0435.240-0446.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Quách Thị
P=0520 | X=0126.050-0414.470 | Y=0446.760-0458.000 | Trang đoạn từ Ranh xã Nhơn Trạch và xã Phước An đến Đường
P=0520 | X=0126.050-0394.830 | Y=0458.300-0469.540 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0520 | X=0102.290-0113.410 | Y=0466.180-0475.500 | 23
P=0520 | X=0453.530-0470.170 | Y=0466.180-0475.500 | 500
P=0520 | X=0505.390-0522.030 | Y=0466.180-0475.500 | 450
P=0520 | X=0126.050-0357.130 | Y=0475.820-0487.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0520 | X=0126.050-0403.240 | Y=0493.340-0504.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0520 | X=0126.050-0389.260 | Y=0511.340-0522.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quách Thị
P=0520 | X=0126.050-0414.470 | Y=0522.860-0534.100 | Trang đoạn từ Ranh xã Nhơn Trạch và xã Phước An đến Đường
P=0520 | X=0126.050-0394.830 | Y=0534.410-0545.650 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0520 | X=0126.050-0357.600 | Y=0551.930-0563.170 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0520 | X=0102.290-0113.410 | Y=0556.690-0566.010 | 24
P=0520 | X=0453.530-0470.170 | Y=0556.690-0566.010 | 370
P=0520 | X=0505.390-0522.030 | Y=0556.690-0566.010 | 330
P=0520 | X=0126.050-0412.940 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0520 | X=0126.050-0187.170 | Y=0580.970-0592.210 | đến ≤1.000m.
P=0520 | X=0126.050-0349.220 | Y=0598.250-0609.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0520 | X=0126.050-0389.260 | Y=0616.270-0627.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quách Thị
P=0520 | X=0126.050-0414.470 | Y=0627.790-0639.030 | Trang đoạn từ Ranh xã Nhơn Trạch và xã Phước An đến Đường
P=0520 | X=0126.050-0394.830 | Y=0639.310-0650.550 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0520 | X=0102.290-0113.410 | Y=0647.190-0656.510 | 25
P=0520 | X=0453.530-0470.170 | Y=0647.190-0656.510 | 250
P=0520 | X=0505.390-0522.030 | Y=0647.190-0656.510 | 220
P=0520 | X=0126.050-0411.860 | Y=0656.830-0668.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0520 | X=0126.050-0349.690 | Y=0674.350-0685.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0520 | X=0126.050-0411.310 | Y=0692.350-0703.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0520 | X=0102.290-0113.410 | Y=0699.990-0709.310 | 26
P=0520 | X=0453.530-0470.170 | Y=0699.990-0709.310 | 500
P=0520 | X=0505.390-0522.030 | Y=0699.990-0709.310 | 450
P=0520 | X=0126.050-0409.900 | Y=0703.890-0715.130 | Quách Thị Trang đoạn từ Ranh xã Nhơn Trạch và xã Phước An
P=0521 | X=0126.050-0407.980 | Y=0072.740-0083.980 | đến Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông
P=0521 | X=0126.050-0163.880 | Y=0084.260-0095.500 | xi măng:
P=0521 | X=0126.050-0357.130 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0521 | X=0126.050-0403.240 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0521 | X=0126.050-0411.310 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0521 | X=0126.050-0409.900 | Y=0148.850-0160.090 | Quách Thị Trang đoạn từ Ranh xã Nhơn Trạch và xã Phước An
P=0521 | X=0126.050-0407.980 | Y=0160.370-0171.610 | đến Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông
P=0521 | X=0126.050-0163.880 | Y=0171.650-0182.890 | xi măng:
P=0521 | X=0102.290-0113.410 | Y=0188.410-0197.730 | 27
P=0521 | X=0453.530-0470.170 | Y=0188.410-0197.730 | 370
P=0521 | X=0505.390-0522.030 | Y=0188.410-0197.730 | 330
P=0521 | X=0126.050-0357.600 | Y=0189.170-0200.410 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0521 | X=0126.050-0412.940 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0521 | X=0126.050-0187.170 | Y=0218.230-0229.470 | đến ≤1.000m.
P=0521 | X=0126.050-0349.220 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0521 | X=0126.050-0411.310 | Y=0253.750-0264.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0521 | X=0126.050-0409.900 | Y=0265.270-0276.510 | Quách Thị Trang đoạn từ Ranh xã Nhơn Trạch và xã Phước An
