TABLE=023 | AREA=Phường Bình Lộc | SECTION=agricultural | SEGMENTS=1
P=0715 | X=0106.610-0426.300 | Y=0148.370-0159.610 | Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình Lộc có hiện trạng là
P=0715 | X=0106.610-0242.360 | Y=0159.650-0170.890 | đường nhựa, bê tông xi măng:
P=0715 | X=0095.330-0331.010 | Y=0177.170-0191.490 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0715 | X=0457.850-0474.020 | Y=0182.170-0191.490 | 320
P=0715 | X=0506.350-0522.520 | Y=0182.170-0191.490 | 260
P=0715 | X=0106.610-0416.140 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0715 | X=0106.610-0139.650 | Y=0206.230-0217.470 | ≤600m.
P=0715 | X=0106.610-0331.010 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0715 | X=0106.610-0403.480 | Y=0241.510-0252.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0715 | X=0106.610-0426.440 | Y=0253.030-0264.270 | Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình Lộc có hiện trạng là
P=0715 | X=0106.610-0242.360 | Y=0264.550-0275.790 | đường nhựa, bê tông xi măng:
P=0715 | X=0095.330-0100.930 | Y=0272.430-0281.750 | 4
P=0715 | X=0457.850-0474.020 | Y=0272.430-0281.750 | 240
P=0715 | X=0506.350-0522.520 | Y=0272.430-0281.750 | 210
P=0715 | X=0106.610-0385.950 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0715 | X=0106.610-0331.230 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0715 | X=0106.610-0418.330 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=0715 | X=0106.610-0424.710 | Y=0328.900-0340.140 | lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình Lộc có
P=0715 | X=0106.610-0300.180 | Y=0340.420-0351.660 | hiện trạng là đường nhựa, bê tông xi măng:
P=0715 | X=0095.330-0100.930 | Y=0348.300-0357.620 | 5
P=0715 | X=0457.850-0474.020 | Y=0348.300-0357.620 | 400
P=0715 | X=0506.350-0522.520 | Y=0348.300-0357.620 | 320
P=0715 | X=0106.610-0330.520 | Y=0357.700-0368.940 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0715 | X=0106.610-0385.720 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0715 | X=0106.610-0418.460 | Y=0393.000-0404.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=0715 | X=0106.610-0424.640 | Y=0404.520-0415.760 | lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình Lộc có
P=0715 | X=0106.610-0300.180 | Y=0416.040-0427.280 | hiện trạng là đường nhựa, bê tông xi măng:
P=0715 | X=0095.330-0331.000 | Y=0433.560-0447.880 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0715 | X=0457.850-0474.020 | Y=0438.560-0447.880 | 320
P=0715 | X=0506.350-0522.520 | Y=0438.560-0447.880 | 260
P=0715 | X=0106.610-0416.140 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0715 | X=0106.610-0139.650 | Y=0462.620-0473.860 | ≤600m.
P=0715 | X=0106.610-0331.010 | Y=0480.140-0491.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0715 | X=0106.610-0418.330 | Y=0497.900-0509.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=0715 | X=0106.610-0424.640 | Y=0509.420-0520.660 | lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình Lộc có
P=0715 | X=0106.610-0300.180 | Y=0520.940-0532.180 | hiện trạng là đường nhựa, bê tông xi măng:
P=0715 | X=0095.330-0100.930 | Y=0528.820-0538.140 | 7
P=0715 | X=0457.850-0474.020 | Y=0528.820-0538.140 | 240
P=0715 | X=0506.350-0522.520 | Y=0528.820-0538.140 | 210
P=0715 | X=0106.610-0385.950 | Y=0538.250-0549.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0715 | X=0106.610-0334.370 | Y=0555.770-0567.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0715 | X=0244.900-0324.210 | Y=0573.530-0584.770 | Giáp ranh xã Dầu
P=0715 | X=0095.330-0189.270 | Y=0579.290-0590.530 | 8 Đường 21 tháng 4
P=0715 | X=0338.520-0408.930 | Y=0579.290-0590.530 | Đường tỉnh 770
P=0715 | X=0457.850-0474.020 | Y=0581.170-0590.490 | 600
P=0715 | X=0506.350-0522.520 | Y=0581.170-0590.490 | 490
P=0715 | X=0244.900-0265.060 | Y=0586.930-0596.250 | Giây
P=0715 | X=0106.610-0404.960 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21 tháng 4
P=0715 | X=0106.610-0409.380 | Y=0614.330-0625.570 | đoạn từ Giáp ranh xã Dầu Giây đến Đường tỉnh 770 có hiện trạng là
P=0715 | X=0106.610-0242.360 | Y=0625.870-0637.110 | đường nhựa, bê tông xi măng:
P=0715 | X=0095.330-0100.930 | Y=0633.750-0643.070 | 9
P=0715 | X=0457.850-0474.020 | Y=0633.750-0643.070 | 400
P=0715 | X=0506.350-0522.520 | Y=0633.750-0643.070 | 320
P=0715 | X=0106.610-0330.520 | Y=0643.390-0654.630 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0715 | X=0106.610-0385.720 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0715 | X=0106.610-0404.960 | Y=0678.670-0689.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21 tháng 4
P=0715 | X=0092.900-0409.370 | Y=0690.190-0701.430 | 10 đoạn từ Giáp ranh xã Dầu Giây đến Đường tỉnh 770 có hiện trạng là
P=0715 | X=0457.850-0474.020 | Y=0692.070-0701.390 | 320
P=0715 | X=0506.350-0522.520 | Y=0692.070-0701.390 | 260
P=0715 | X=0106.610-0242.360 | Y=0701.730-0712.970 | đường nhựa, bê tông xi măng:
P=0716 | X=0106.610-0331.000 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0716 | X=0106.610-0416.140 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0716 | X=0106.610-0139.650 | Y=0107.540-0118.780 | ≤600m.
P=0716 | X=0106.610-0331.010 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0716 | X=0106.610-0404.970 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21 tháng 4
P=0716 | X=0106.610-0409.370 | Y=0154.370-0165.610 | đoạn từ Giáp ranh xã Dầu Giây đến Đường tỉnh 770 có hiện trạng là
P=0716 | X=0106.610-0242.360 | Y=0165.650-0176.890 | đường nhựa, bê tông xi măng:
P=0716 | X=0092.900-0103.780 | Y=0173.530-0182.850 | 11
P=0716 | X=0457.850-0474.020 | Y=0173.530-0182.850 | 240
P=0716 | X=0506.350-0522.520 | Y=0173.530-0182.850 | 210
P=0716 | X=0106.610-0385.950 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0716 | X=0106.610-0331.230 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0716 | X=0106.610-0426.090 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0716 | X=0106.610-0423.310 | Y=0229.990-0241.230 | 21 tháng 4 đoạn từ Giáp ranh xã Dầu Giây đến Đường tỉnh 770 có hiện
P=0716 | X=0106.610-0278.350 | Y=0241.510-0252.750 | trạng là đường nhựa, bê tông xi măng:
P=0716 | X=0092.900-0103.780 | Y=0249.390-0258.710 | 12
P=0716 | X=0457.850-0474.020 | Y=0249.390-0258.710 | 400
P=0716 | X=0506.350-0522.520 | Y=0249.390-0258.710 | 320
P=0716 | X=0106.610-0330.520 | Y=0259.030-0270.270 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0716 | X=0106.610-0385.720 | Y=0276.550-0287.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0716 | X=0106.610-0426.090 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0716 | X=0106.610-0423.310 | Y=0305.860-0317.100 | 21 tháng 4 đoạn từ Giáp ranh xã Dầu Giây đến Đường tỉnh 770 có hiện
P=0716 | X=0106.610-0278.350 | Y=0317.380-0328.620 | trạng là đường nhựa, bê tông xi măng:
P=0716 | X=0092.900-0331.000 | Y=0334.900-0348.980 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0716 | X=0457.850-0474.020 | Y=0339.660-0348.980 | 320
P=0716 | X=0506.350-0522.520 | Y=0339.660-0348.980 | 260
P=0716 | X=0106.610-0416.140 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0716 | X=0106.610-0139.650 | Y=0363.700-0374.940 | ≤600m.
P=0716 | X=0106.610-0331.010 | Y=0381.240-0392.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0716 | X=0106.610-0426.090 | Y=0399.000-0410.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0716 | X=0106.610-0423.310 | Y=0410.520-0421.760 | 21 tháng 4 đoạn từ Giáp ranh xã Dầu Giây đến Đường tỉnh 770 có hiện
P=0716 | X=0106.610-0278.350 | Y=0422.040-0433.280 | trạng là đường nhựa, bê tông xi măng:
P=0716 | X=0092.900-0103.780 | Y=0429.920-0439.240 | 14
P=0716 | X=0457.850-0474.020 | Y=0429.920-0439.240 | 240
P=0716 | X=0506.350-0522.520 | Y=0429.920-0439.240 | 210
P=0716 | X=0106.610-0385.950 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0716 | X=0106.610-0334.370 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0716 | X=0338.520-0405.970 | Y=0474.860-0486.100 | Đường Võ Duy
P=0716 | X=0092.900-0189.270 | Y=0480.620-0491.860 | 15 Đường 21 tháng 4
P=0716 | X=0244.900-0315.290 | Y=0480.620-0491.860 | Đường tỉnh 770
P=0716 | X=0457.850-0474.020 | Y=0482.500-0491.820 | 600
P=0716 | X=0506.350-0522.520 | Y=0482.500-0491.820 | 490
P=0716 | X=0338.520-0370.040 | Y=0486.380-0497.620 | Dương
P=0716 | X=0106.610-0404.990 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21 tháng 4
P=0716 | X=0106.610-0409.300 | Y=0515.660-0526.900 | đoạn từ Đường tỉnh 770 đến Đường Võ Duy Dương có hiện trạng là
P=0716 | X=0106.610-0242.360 | Y=0527.180-0538.420 | đường nhựa, bê tông xi măng:
P=0716 | X=0092.900-0103.780 | Y=0535.090-0544.410 | 16
P=0716 | X=0457.850-0474.020 | Y=0535.090-0544.410 | 400
P=0716 | X=0506.350-0522.510 | Y=0535.090-0544.410 | 320
P=0716 | X=0106.610-0330.520 | Y=0544.490-0555.730 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0716 | X=0106.610-0385.720 | Y=0562.010-0573.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0716 | X=0106.610-0404.960 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21 tháng 4
P=0716 | X=0106.610-0409.300 | Y=0591.290-0602.530 | đoạn từ Đường tỉnh 770 đến Đường Võ Duy Dương có hiện trạng là
P=0716 | X=0106.610-0242.360 | Y=0602.810-0614.050 | đường nhựa, bê tông xi măng:
P=0716 | X=0092.900-0331.000 | Y=0620.350-0634.670 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0716 | X=0457.850-0474.020 | Y=0625.350-0634.670 | 320
P=0716 | X=0506.350-0522.520 | Y=0625.350-0634.670 | 260
P=0716 | X=0106.610-0416.140 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0716 | X=0106.610-0139.650 | Y=0649.390-0660.630 | ≤600m.
P=0716 | X=0106.610-0331.010 | Y=0666.910-0678.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0716 | X=0106.610-0407.740 | Y=0684.670-0695.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21 tháng 4
P=0716 | X=0092.900-0406.530 | Y=0696.190-0707.430 | 18 đoạn từ Đường tỉnh 770 đến Đường Võ Duy Dương có hiện trạng là
P=0716 | X=0457.850-0474.020 | Y=0698.070-0707.390 | 240
P=0716 | X=0506.350-0522.520 | Y=0698.070-0707.390 | 210
P=0716 | X=0106.610-0240.950 | Y=0707.730-0718.970 | đường nhựa, bê tông xi măng:
P=0717 | X=0106.610-0385.950 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0717 | X=0106.610-0331.230 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0717 | X=0106.610-0426.090 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0717 | X=0106.610-0423.250 | Y=0125.330-0136.570 | 21 tháng 4 đoạn từ Đường tỉnh 770 đến Đường Võ Duy Dương có hiện
P=0717 | X=0106.610-0278.390 | Y=0136.850-0148.090 | trạng là đường nhựa, bê tông xi măng:
P=0717 | X=0092.900-0103.780 | Y=0144.730-0154.050 | 19
P=0717 | X=0457.850-0474.020 | Y=0144.730-0154.050 | 400
P=0717 | X=0506.350-0522.520 | Y=0144.730-0154.050 | 320
P=0717 | X=0106.610-0330.520 | Y=0154.370-0165.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0717 | X=0106.610-0385.720 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0717 | X=0106.610-0426.090 | Y=0189.410-0200.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0717 | X=0106.610-0423.330 | Y=0200.950-0212.190 | 21 tháng 4 đoạn từ Đường tỉnh 770 đến Đường Võ Duy Dương có hiện
P=0717 | X=0106.610-0278.350 | Y=0212.470-0223.710 | trạng là đường nhựa, bê tông xi măng:
P=0717 | X=0092.900-0331.000 | Y=0229.990-0244.310 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0717 | X=0457.850-0474.020 | Y=0234.990-0244.310 | 320
P=0717 | X=0506.350-0522.520 | Y=0234.990-0244.310 | 260
P=0717 | X=0106.610-0416.140 | Y=0247.510-0258.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0717 | X=0106.610-0139.650 | Y=0259.030-0270.270 | ≤600m.
P=0717 | X=0106.610-0331.010 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0717 | X=0106.610-0426.150 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0717 | X=0106.610-0423.250 | Y=0305.860-0317.100 | 21 tháng 4 đoạn từ Đường tỉnh 770 đến Đường Võ Duy Dương có hiện
P=0717 | X=0106.610-0278.350 | Y=0317.380-0328.620 | trạng là đường nhựa, bê tông xi măng:
P=0717 | X=0092.900-0103.780 | Y=0325.260-0334.580 | 21
P=0717 | X=0457.850-0474.020 | Y=0325.260-0334.580 | 240
P=0717 | X=0506.350-0522.510 | Y=0325.260-0334.580 | 210
P=0717 | X=0106.610-0385.950 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0717 | X=0106.610-0334.370 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0717 | X=0338.520-0426.170 | Y=0369.960-0381.200 | Đường Xuân Bình -
P=0717 | X=0244.900-0310.030 | Y=0371.840-0381.160 | Giáp khu công
P=0717 | X=0092.900-0194.040 | Y=0375.720-0386.960 | 22 Đường Võ Văn Tần
P=0717 | X=0457.850-0474.020 | Y=0377.600-0386.920 | 600
P=0717 | X=0506.350-0522.520 | Y=0377.600-0386.920 | 490
P=0717 | X=0244.900-0381.100 | Y=0381.480-0392.720 | nghiệp Long Khánh Xuân Lập
P=0717 | X=0106.610-0410.470 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Văn Tần
P=0717 | X=0106.610-0407.420 | Y=0410.760-0422.000 | đoạn từ Giáp khu công nghiệp Long Khánh đến Đường Xuân Bình -
P=0717 | X=0106.610-0359.050 | Y=0422.280-0433.520 | Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0717 | X=0092.900-0103.780 | Y=0430.160-0439.480 | 23
P=0717 | X=0457.850-0474.020 | Y=0430.160-0439.480 | 400
P=0717 | X=0506.350-0522.520 | Y=0430.160-0439.480 | 320
P=0717 | X=0106.610-0330.520 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0717 | X=0106.610-0385.720 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0717 | X=0106.610-0410.470 | Y=0475.100-0486.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Văn Tần
P=0717 | X=0106.610-0407.420 | Y=0486.620-0497.860 | đoạn từ Giáp khu công nghiệp Long Khánh đến Đường Xuân Bình -
P=0717 | X=0106.610-0358.980 | Y=0498.140-0509.380 | Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0717 | X=0092.900-0331.000 | Y=0515.660-0529.740 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0717 | X=0457.850-0474.020 | Y=0520.420-0529.740 | 320
P=0717 | X=0506.350-0522.520 | Y=0520.420-0529.740 | 260
P=0717 | X=0106.610-0416.140 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0717 | X=0106.610-0139.650 | Y=0544.490-0555.730 | ≤600m.
P=0717 | X=0106.610-0331.010 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0717 | X=0106.610-0410.510 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Văn Tần
P=0717 | X=0106.610-0407.420 | Y=0591.290-0602.530 | đoạn từ Giáp khu công nghiệp Long Khánh đến Đường Xuân Bình -
P=0717 | X=0106.610-0358.980 | Y=0602.810-0614.050 | Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0717 | X=0092.900-0103.780 | Y=0610.690-0620.010 | 25
P=0717 | X=0457.850-0474.020 | Y=0610.690-0620.010 | 240
P=0717 | X=0506.350-0522.520 | Y=0610.690-0620.010 | 210
P=0717 | X=0106.610-0385.950 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0717 | X=0106.610-0331.230 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0717 | X=0106.610-0426.090 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0717 | X=0106.610-0407.390 | Y=0667.150-0678.390 | Võ Văn Tần đoạn từ Giáp khu công nghiệp Long Khánh đến Đường
P=0717 | X=0092.900-0414.680 | Y=0677.670-0689.910 | 26 Xuân Bình - Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0717 | X=0457.850-0474.020 | Y=0677.670-0686.990 | 400
P=0717 | X=0506.350-0522.520 | Y=0677.670-0686.990 | 320
P=0717 | X=0106.610-0330.520 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0718 | X=0106.610-0385.720 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0718 | X=0106.610-0426.090 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0718 | X=0106.610-0407.390 | Y=0107.780-0119.020 | Võ Văn Tần đoạn từ Giáp khu công nghiệp Long Khánh đến Đường
P=0718 | X=0106.610-0414.740 | Y=0119.330-0130.570 | Xuân Bình - Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0718 | X=0092.900-0331.000 | Y=0136.850-0150.930 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0718 | X=0457.850-0474.020 | Y=0141.610-0150.930 | 320
P=0718 | X=0506.350-0522.520 | Y=0141.610-0150.930 | 260
P=0718 | X=0106.610-0416.140 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0718 | X=0106.610-0139.650 | Y=0165.650-0176.890 | ≤600m.
P=0718 | X=0106.610-0331.010 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0718 | X=0106.610-0426.190 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0718 | X=0106.610-0407.390 | Y=0212.470-0223.710 | Võ Văn Tần đoạn từ Giáp khu công nghiệp Long Khánh đến Đường
P=0718 | X=0106.610-0414.680 | Y=0223.990-0235.230 | Xuân Bình - Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0718 | X=0092.900-0103.780 | Y=0231.870-0241.190 | 28
P=0718 | X=0457.850-0474.020 | Y=0231.870-0241.190 | 240
P=0718 | X=0506.350-0522.510 | Y=0231.870-0241.190 | 210
P=0718 | X=0106.610-0385.950 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0718 | X=0106.610-0334.370 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0718 | X=0244.900-0312.330 | Y=0276.790-0288.030 | Đường Võ Duy
P=0718 | X=0092.900-0239.690 | Y=0282.580-0293.820 | 29 Đường Xuân Bình - Xuân Lập
P=0718 | X=0338.520-0425.970 | Y=0282.580-0293.820 | Đường Võ Văn Tần
P=0718 | X=0457.850-0474.020 | Y=0284.460-0293.780 | 600
P=0718 | X=0506.350-0522.520 | Y=0284.460-0293.780 | 490
P=0718 | X=0244.900-0276.420 | Y=0288.340-0299.580 | Dương
P=0718 | X=0106.610-0410.540 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bình -
P=0718 | X=0106.610-0413.810 | Y=0317.620-0328.860 | Xuân Lập đoạn từ Đường Võ Duy Dương đến Đường Võ Văn Tần có
P=0718 | X=0106.610-0300.180 | Y=0329.140-0340.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=0718 | X=0092.900-0103.780 | Y=0337.020-0346.340 | 30
P=0718 | X=0457.850-0474.020 | Y=0337.020-0346.340 | 400
P=0718 | X=0506.350-0522.520 | Y=0337.020-0346.340 | 320
P=0718 | X=0106.610-0330.520 | Y=0346.660-0357.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0718 | X=0106.610-0385.720 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0718 | X=0106.610-0410.540 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bình -
P=0718 | X=0106.610-0413.810 | Y=0393.240-0404.480 | Xuân Lập đoạn từ Đường Võ Duy Dương đến Đường Võ Văn Tần có
P=0718 | X=0106.610-0300.220 | Y=0404.760-0416.000 | hiện trạng là đường nhựa, bê tông xi măng:
P=0718 | X=0092.900-0331.000 | Y=0422.280-0436.600 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0718 | X=0457.850-0474.020 | Y=0427.280-0436.600 | 320
P=0718 | X=0506.350-0522.520 | Y=0427.280-0436.600 | 260
P=0718 | X=0106.610-0416.140 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0718 | X=0106.610-0139.650 | Y=0451.340-0462.580 | ≤600m.
P=0718 | X=0106.610-0331.010 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0718 | X=0106.610-0410.540 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bình -
