TABLE=019 | AREA=Phường Long Khánh | SECTION=agricultural | SEGMENTS=1
P=0573 | X=0116.210-0405.780 | Y=0522.380-0533.620 | Đường Hồng Thập Tự đoạn từ Ngã ba Đường Võ Duy Dương và
P=0573 | X=0116.210-0401.010 | Y=0533.930-0545.170 | Đường Lương Đình Của đến Đường 21 tháng 4 có hiện trạng là
P=0573 | X=0116.210-0251.980 | Y=0545.450-0556.690 | đường nhựa, bê tông xi măng:
P=0573 | X=0100.130-0105.730 | Y=0561.970-0571.290 | 6
P=0573 | X=0459.290-0475.930 | Y=0561.970-0571.290 | 420
P=0573 | X=0505.390-0522.030 | Y=0561.970-0571.290 | 310
P=0573 | X=0116.210-0339.380 | Y=0562.970-0574.210 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0573 | X=0116.210-0403.100 | Y=0580.250-0591.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0573 | X=0116.210-0169.170 | Y=0591.770-0603.010 | đến ≤600m.
P=0573 | X=0116.210-0339.380 | Y=0609.290-0620.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0573 | X=0116.210-0401.470 | Y=0627.310-0638.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0573 | X=0116.210-0405.780 | Y=0638.830-0650.070 | Đường Hồng Thập Tự đoạn từ Ngã ba Đường Võ Duy Dương và
P=0573 | X=0116.210-0401.010 | Y=0650.350-0661.590 | Đường Lương Đình Của đến Đường 21 tháng 4 có hiện trạng là
P=0573 | X=0116.210-0251.980 | Y=0661.870-0673.110 | đường nhựa, bê tông xi măng:
P=0573 | X=0100.130-0105.730 | Y=0663.990-0673.310 | 7
P=0573 | X=0459.290-0475.930 | Y=0663.990-0673.310 | 340
P=0573 | X=0505.390-0522.030 | Y=0663.990-0673.310 | 250
P=0573 | X=0116.210-0393.640 | Y=0679.390-0690.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0573 | X=0116.210-0342.500 | Y=0696.910-0708.150 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0574 | X=0116.210-0200.310 | Y=0078.740-0089.980 | Đường Hồng Thập
P=0574 | X=0214.150-0296.120 | Y=0084.500-0095.740 | Đường 21 tháng 4
P=0574 | X=0312.600-0404.850 | Y=0084.500-0095.740 | Đường Hùng Vương
P=0574 | X=0100.130-0105.730 | Y=0086.380-0095.700 | 8
P=0574 | X=0459.290-0475.930 | Y=0086.380-0095.700 | 800
P=0574 | X=0505.390-0522.030 | Y=0086.380-0095.700 | 540
P=0574 | X=0116.210-0129.190 | Y=0092.140-0101.460 | Tự
P=0574 | X=0116.210-0391.190 | Y=0108.260-0119.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng
P=0574 | X=0116.210-0404.360 | Y=0119.810-0131.050 | Thập Tự đoạn từ Đường 21 tháng 4 đến Đường Hùng Vương có
P=0574 | X=0116.210-0309.850 | Y=0131.330-0142.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=0574 | X=0100.130-0105.730 | Y=0139.210-0148.530 | 9
P=0574 | X=0459.290-0475.930 | Y=0139.210-0148.530 | 510
P=0574 | X=0505.390-0522.030 | Y=0139.210-0148.530 | 360
P=0574 | X=0116.210-0341.780 | Y=0148.850-0160.090 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0574 | X=0116.210-0393.400 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0574 | X=0116.210-0391.190 | Y=0184.370-0195.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng
P=0574 | X=0116.210-0404.360 | Y=0195.650-0206.890 | Thập Tự đoạn từ Đường 21 tháng 4 đến Đường Hùng Vương có
P=0574 | X=0116.210-0309.850 | Y=0207.190-0218.430 | hiện trạng là đường nhựa, bê tông xi măng:
P=0574 | X=0097.250-0342.250 | Y=0224.710-0239.030 | 10 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0574 | X=0459.290-0475.930 | Y=0229.710-0239.030 | 420
P=0574 | X=0505.390-0522.030 | Y=0229.710-0239.030 | 310
P=0574 | X=0116.210-0403.110 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0574 | X=0116.210-0169.170 | Y=0253.750-0264.990 | đến ≤600m.
P=0574 | X=0116.210-0339.380 | Y=0271.270-0282.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0574 | X=0116.210-0391.190 | Y=0289.300-0300.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng
P=0574 | X=0116.210-0404.360 | Y=0300.820-0312.060 | Thập Tự đoạn từ Đường 21 tháng 4 đến Đường Hùng Vương có
P=0574 | X=0116.210-0309.850 | Y=0312.340-0323.580 | hiện trạng là đường nhựa, bê tông xi măng:
P=0574 | X=0097.250-0108.370 | Y=0320.220-0329.540 | 11
P=0574 | X=0459.290-0475.930 | Y=0320.220-0329.540 | 340
P=0574 | X=0505.390-0522.030 | Y=0320.220-0329.540 | 250
P=0574 | X=0116.210-0393.640 | Y=0329.860-0341.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0574 | X=0116.210-0339.850 | Y=0347.380-0358.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0574 | X=0116.210-0401.470 | Y=0365.400-0376.640 | Các tuyến đường giao thông không đầu nối trực tiếp và thông ra
P=0574 | X=0116.210-0391.420 | Y=0376.920-0388.160 | Đường Hồng Thập Tự đoạn từ Đường 21 tháng 4 đến Đường
P=0574 | X=0116.210-0383.800 | Y=0388.200-0399.440 | Hùng Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0574 | X=0097.250-0108.370 | Y=0396.080-0405.400 | 12
P=0574 | X=0459.290-0475.930 | Y=0396.080-0405.400 | 510
P=0574 | X=0505.390-0522.030 | Y=0396.080-0405.400 | 360
P=0574 | X=0116.210-0341.780 | Y=0405.720-0416.960 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0574 | X=0116.210-0393.400 | Y=0423.240-0434.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0574 | X=0116.210-0401.470 | Y=0441.240-0452.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0574 | X=0116.210-0391.420 | Y=0452.780-0464.020 | Đường Hồng Thập Tự đoạn từ Đường 21 tháng 4 đến Đường
P=0574 | X=0116.210-0383.790 | Y=0464.300-0475.540 | Hùng Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0574 | X=0097.250-0342.250 | Y=0481.820-0496.140 | 13 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0574 | X=0459.290-0475.930 | Y=0486.820-0496.140 | 420
P=0574 | X=0505.390-0522.030 | Y=0486.820-0496.140 | 310
P=0574 | X=0116.210-0403.100 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0574 | X=0116.210-0169.170 | Y=0510.860-0522.100 | đến ≤600m.
P=0574 | X=0116.210-0339.380 | Y=0528.380-0539.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0574 | X=0116.210-0401.470 | Y=0546.410-0557.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0574 | X=0116.210-0391.420 | Y=0557.930-0569.170 | Đường Hồng Thập Tự đoạn từ Đường 21 tháng 4 đến Đường
P=0574 | X=0116.210-0383.790 | Y=0569.450-0580.690 | Hùng Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0574 | X=0097.250-0108.370 | Y=0577.330-0586.650 | 14
P=0574 | X=0459.290-0475.930 | Y=0577.330-0586.650 | 340
P=0574 | X=0505.390-0522.030 | Y=0577.330-0586.650 | 250
P=0574 | X=0116.210-0393.640 | Y=0586.970-0598.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0574 | X=0116.210-0342.500 | Y=0604.250-0615.490 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0574 | X=0116.210-0200.310 | Y=0622.270-0633.510 | Đường Hồng Thập
P=0574 | X=0316.680-0380.620 | Y=0622.270-0633.510 | Đường Hồ Thị
P=0574 | X=0211.510-0303.790 | Y=0628.030-0639.270 | Đường Hùng Vương
P=0574 | X=0097.250-0108.370 | Y=0629.910-0639.230 | 15
P=0574 | X=0459.290-0475.930 | Y=0629.910-0639.230 | 800
P=0574 | X=0505.390-0522.030 | Y=0629.910-0639.230 | 540
P=0574 | X=0316.680-0348.430 | Y=0633.790-0645.030 | Hương
P=0574 | X=0116.210-0129.190 | Y=0635.670-0644.990 | Tự
P=0574 | X=0116.210-0391.190 | Y=0651.790-0663.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng
P=0574 | X=0116.210-0407.490 | Y=0663.310-0674.550 | Thập Tự đoạn từ Đường Hùng Vương đến Đường Hồ Thị Hương
P=0574 | X=0097.250-0323.060 | Y=0674.070-0686.070 | 16 có hiện trạng là đường nhựa, bê tông xi măng:
P=0574 | X=0459.290-0475.930 | Y=0674.070-0683.390 | 510
P=0574 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 360
P=0574 | X=0116.210-0339.120 | Y=0692.350-0703.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0575 | X=0116.210-0393.400 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0575 | X=0116.210-0391.190 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng
P=0575 | X=0116.210-0407.490 | Y=0108.260-0119.500 | Thập Tự đoạn từ Đường Hùng Vương đến Đường Hồ Thị Hương
P=0575 | X=0116.210-0323.060 | Y=0119.810-0131.050 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0575 | X=0097.250-0342.250 | Y=0137.330-0151.410 | 17 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0575 | X=0459.290-0475.930 | Y=0142.090-0151.410 | 420
P=0575 | X=0505.390-0522.030 | Y=0142.090-0151.410 | 310
P=0575 | X=0116.210-0403.100 | Y=0154.850-0166.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0575 | X=0116.210-0169.170 | Y=0166.370-0177.610 | đến ≤600m.
P=0575 | X=0116.210-0339.380 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0575 | X=0116.210-0391.190 | Y=0201.670-0212.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng
P=0575 | X=0116.210-0407.490 | Y=0213.190-0224.430 | Thập Tự đoạn từ Đường Hùng Vương đến Đường Hồ Thị Hương
P=0575 | X=0116.210-0323.060 | Y=0224.710-0235.950 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0575 | X=0097.250-0108.370 | Y=0232.590-0241.910 | 18
P=0575 | X=0459.290-0475.930 | Y=0232.590-0241.910 | 340
P=0575 | X=0505.390-0522.030 | Y=0232.590-0241.910 | 250
P=0575 | X=0116.210-0393.640 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0575 | X=0116.210-0339.850 | Y=0259.750-0270.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0575 | X=0116.210-0401.510 | Y=0277.750-0288.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0575 | X=0116.210-0401.990 | Y=0289.300-0300.540 | Đường Hồng Thập Tự đoạn từ Đường Hùng Vương đến Đường
P=0575 | X=0116.210-0389.790 | Y=0300.820-0312.060 | Hồ Thị Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0575 | X=0097.250-0108.370 | Y=0308.700-0318.020 | 19
P=0575 | X=0459.290-0475.930 | Y=0308.700-0318.020 | 510
P=0575 | X=0505.390-0522.030 | Y=0308.700-0318.020 | 360
P=0575 | X=0116.210-0341.780 | Y=0318.340-0329.580 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0575 | X=0116.210-0393.400 | Y=0335.860-0347.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0575 | X=0116.210-0401.470 | Y=0353.860-0365.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0575 | X=0116.210-0401.990 | Y=0365.400-0376.640 | Đường Hồng Thập Tự đoạn từ Đường Hùng Vương đến Đường
P=0575 | X=0116.210-0389.790 | Y=0376.920-0388.160 | Hồ Thị Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0575 | X=0097.250-0342.250 | Y=0394.200-0408.520 | 20 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0575 | X=0459.290-0475.930 | Y=0399.200-0408.520 | 420
P=0575 | X=0505.390-0522.030 | Y=0399.200-0408.520 | 310
P=0575 | X=0116.210-0403.100 | Y=0411.720-0422.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0575 | X=0116.210-0169.170 | Y=0423.240-0434.480 | đến ≤600m.
P=0575 | X=0116.210-0339.380 | Y=0440.760-0452.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0575 | X=0116.210-0401.470 | Y=0458.780-0470.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0575 | X=0116.210-0401.990 | Y=0470.300-0481.540 | Đường Hồng Thập Tự đoạn từ Đường Hùng Vương đến Đường
P=0575 | X=0116.210-0389.790 | Y=0481.820-0493.060 | Hồ Thị Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0575 | X=0097.250-0108.370 | Y=0489.700-0499.020 | 21
P=0575 | X=0459.290-0475.930 | Y=0489.700-0499.020 | 340
P=0575 | X=0505.390-0522.030 | Y=0489.700-0499.020 | 250
P=0575 | X=0116.210-0393.640 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0575 | X=0116.210-0342.500 | Y=0516.860-0528.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0575 | X=0097.250-0401.990 | Y=0534.890-0546.130 | 22 Đường Hoàng Diệu Đường Hồ Thị Hương Đường Ngô Quyền
P=0575 | X=0459.290-0475.930 | Y=0536.770-0546.090 | 800
P=0575 | X=0505.390-0522.030 | Y=0536.770-0546.090 | 540
P=0575 | X=0116.210-0396.690 | Y=0552.890-0564.130 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0575 | X=0116.210-0395.740 | Y=0564.410-0575.650 | Diệu đoạn từ Đường Hồ Thị Hương đến Đường Ngô Quyền có
P=0575 | X=0116.210-0309.850 | Y=0575.930-0587.170 | hiện trạng là đường nhựa, bê tông xi măng:
P=0575 | X=0097.250-0108.370 | Y=0583.810-0593.130 | 23
P=0575 | X=0459.290-0475.930 | Y=0583.810-0593.130 | 510
P=0575 | X=0505.390-0522.030 | Y=0583.810-0593.130 | 360
P=0575 | X=0116.210-0341.780 | Y=0593.450-0604.690 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0575 | X=0116.210-0393.400 | Y=0610.970-0622.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0575 | X=0116.210-0396.720 | Y=0628.990-0640.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0575 | X=0116.210-0395.740 | Y=0640.270-0651.510 | Diệu đoạn từ Đường Hồ Thị Hương đến Đường Ngô Quyền có
P=0575 | X=0116.210-0309.850 | Y=0651.790-0663.030 | hiện trạng là đường nhựa, bê tông xi măng:
P=0575 | X=0097.250-0108.370 | Y=0665.430-0674.750 | 24
P=0575 | X=0459.290-0475.930 | Y=0665.430-0674.750 | 420
P=0575 | X=0505.390-0522.030 | Y=0665.430-0674.750 | 310
P=0575 | X=0116.210-0342.250 | Y=0669.310-0680.550 | - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0575 | X=0116.210-0403.100 | Y=0686.830-0698.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0575 | X=0116.210-0169.170 | Y=0698.350-0709.590 | đến ≤600m.
P=0576 | X=0116.210-0339.390 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0576 | X=0116.210-0396.690 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0576 | X=0116.210-0395.740 | Y=0108.260-0119.500 | Diệu đoạn từ Đường Hồ Thị Hương đến Đường Ngô Quyền có
P=0576 | X=0116.210-0309.850 | Y=0119.810-0131.050 | hiện trạng là đường nhựa, bê tông xi măng:
P=0576 | X=0097.250-0108.370 | Y=0127.690-0137.010 | 25
P=0576 | X=0459.290-0475.930 | Y=0127.690-0137.010 | 340
P=0576 | X=0505.390-0522.030 | Y=0127.690-0137.010 | 250
P=0576 | X=0116.210-0393.640 | Y=0137.330-0148.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0576 | X=0116.210-0339.850 | Y=0154.850-0166.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0576 | X=0116.210-0401.470 | Y=0172.850-0184.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0576 | X=0116.210-0395.740 | Y=0184.370-0195.610 | Đường Hoàng Diệu đoạn từ Đường Hồ Thị Hương đến Đường
P=0576 | X=0116.210-0376.360 | Y=0195.650-0206.890 | Ngô Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0576 | X=0097.250-0108.370 | Y=0203.550-0212.870 | 26
P=0576 | X=0459.290-0475.930 | Y=0203.550-0212.870 | 510
P=0576 | X=0505.390-0522.030 | Y=0203.550-0212.870 | 360
P=0576 | X=0116.210-0341.780 | Y=0213.190-0224.430 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0576 | X=0116.210-0393.400 | Y=0230.710-0241.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0576 | X=0116.210-0401.470 | Y=0248.710-0259.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0576 | X=0116.210-0395.740 | Y=0260.230-0271.470 | Đường Hoàng Diệu đoạn từ Đường Hồ Thị Hương đến Đường
P=0576 | X=0116.210-0376.360 | Y=0271.750-0282.990 | Ngô Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0576 | X=0097.250-0342.250 | Y=0289.300-0303.620 | 27 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0576 | X=0459.290-0475.930 | Y=0294.300-0303.620 | 420
P=0576 | X=0505.390-0522.030 | Y=0294.300-0303.620 | 310
P=0576 | X=0116.210-0403.100 | Y=0306.820-0318.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0576 | X=0116.210-0169.170 | Y=0318.340-0329.580 | đến ≤600m.
P=0576 | X=0116.210-0339.380 | Y=0335.860-0347.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0576 | X=0116.210-0401.470 | Y=0353.860-0365.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0576 | X=0116.210-0395.740 | Y=0365.400-0376.640 | Đường Hoàng Diệu đoạn từ Đường Hồ Thị Hương đến Đường
P=0576 | X=0116.210-0376.360 | Y=0376.920-0388.160 | Ngô Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0576 | X=0097.250-0108.370 | Y=0384.800-0394.120 | 28
P=0576 | X=0459.290-0475.930 | Y=0384.800-0394.120 | 340
P=0576 | X=0505.390-0522.030 | Y=0384.800-0394.120 | 250
P=0576 | X=0116.210-0393.640 | Y=0394.200-0405.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0576 | X=0116.210-0342.500 | Y=0411.720-0422.960 | - Cổ bề rộng <3m, cách đường giao thông > 200m.
P=0576 | X=0316.680-0380.620 | Y=0429.720-0440.960 | Đường Hồ Thị
P=0576 | X=0097.250-0191.900 | Y=0435.480-0446.720 | 29 Đường Trần Phú
P=0576 | X=0211.510-0303.790 | Y=0435.480-0446.720 | Đường Hùng Vương
P=0576 | X=0459.290-0475.930 | Y=0437.360-0446.680 | 800
P=0576 | X=0505.390-0522.030 | Y=0437.360-0446.680 | 540
P=0576 | X=0316.680-0348.430 | Y=0441.240-0452.480 | Hương
P=0576 | X=0116.210-0408.700 | Y=0459.260-0470.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Phú
P=0576 | X=0116.210-0401.510 | Y=0470.780-0482.020 | đoạn từ Đường Hùng Vương đến Đường Hồ Thị Hương có hiện
P=0576 | X=0116.210-0287.990 | Y=0482.300-0493.540 | trạng là đường nhựa, bê tông xi măng:
P=0576 | X=0097.250-0108.370 | Y=0490.180-0499.500 | 30
P=0576 | X=0459.290-0475.930 | Y=0490.180-0499.500 | 510
P=0576 | X=0505.390-0522.030 | Y=0490.180-0499.500 | 360
P=0576 | X=0116.210-0341.780 | Y=0499.820-0511.060 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0576 | X=0116.210-0393.400 | Y=0517.340-0528.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0576 | X=0116.210-0408.700 | Y=0535.370-0546.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Phú
