TABLE=037 | AREA=Xã Bàu Hàm | SECTION=agricultural | SEGMENTS=2
P=1245 | X=0117.170-0401.590 | Y=0188.690-0199.930 | đến Đường vào Công ty Đông Nhi có hiện trạng là đường nhựa,
P=1245 | X=0117.170-0191.250 | Y=0200.230-0211.470 | bê tông xi măng:
P=1245 | X=0100.850-0106.450 | Y=0216.990-0226.310 | 6
P=1245 | X=0453.050-0469.690 | Y=0216.990-0226.310 | 310
P=1245 | X=0505.630-0522.270 | Y=0216.990-0226.310 | 290
P=1245 | X=0117.170-0348.720 | Y=0217.750-0228.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1245 | X=0117.170-0404.060 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1245 | X=0117.170-0178.290 | Y=0246.790-0258.030 | đến ≤1.000m.
P=1245 | X=0117.170-0340.360 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1245 | X=0117.170-0402.430 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1245 | X=0117.170-0411.250 | Y=0293.620-0304.860 | Đường Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom
P=1245 | X=0117.170-0401.590 | Y=0305.140-0316.380 | đến Đường vào Công ty Đông Nhi có hiện trạng là đường nhựa,
P=1245 | X=0117.170-0191.250 | Y=0316.660-0327.900 | bê tông xi măng:
P=1245 | X=0100.850-0106.450 | Y=0318.780-0328.100 | 7
P=1245 | X=0453.050-0469.690 | Y=0318.780-0328.100 | 220
P=1245 | X=0505.630-0522.270 | Y=0318.780-0328.100 | 200
P=1245 | X=0117.170-0402.980 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1245 | X=0117.170-0340.810 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1245 | X=0117.170-0207.430 | Y=0369.240-0380.480 | Đường Trảng Bom -
P=1245 | X=0223.030-0311.130 | Y=0369.240-0380.480 | Đường vào Công ty
P=1245 | X=0315.240-0385.420 | Y=0375.000-0386.240 | Ngã tư Tân Lập
P=1245 | X=0100.850-0106.450 | Y=0376.880-0386.200 | 8
P=1245 | X=0453.050-0469.690 | Y=0376.880-0386.200 | 570
P=1245 | X=0505.630-0522.270 | Y=0376.880-0386.200 | 500
P=1245 | X=0223.030-0264.630 | Y=0380.760-0392.000 | Đông Nhi
P=1245 | X=0117.170-0169.080 | Y=0382.640-0391.960 | Thanh Bình
P=1245 | X=0117.170-0394.550 | Y=0398.520-0409.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1245 | X=0117.170-0411.350 | Y=0410.040-0421.280 | Bom - Thanh Bình đoạn từ Đường vào Công ty Đông Nhi đến Ngã
P=1245 | X=0117.170-0375.630 | Y=0421.560-0432.800 | tư Tân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1245 | X=0100.850-0106.450 | Y=0429.440-0438.760 | 9
P=1245 | X=0453.050-0469.690 | Y=0429.440-0438.760 | 400
P=1245 | X=0505.630-0522.270 | Y=0429.440-0438.760 | 350
P=1245 | X=0117.170-0348.250 | Y=0439.080-0450.320 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1245 | X=0117.170-0382.080 | Y=0456.620-0467.860 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1245 | X=0117.170-0394.550 | Y=0474.380-0485.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1245 | X=0117.170-0411.350 | Y=0485.900-0497.140 | Bom - Thanh Bình đoạn từ Đường vào Công ty Đông Nhi đến Ngã
P=1245 | X=0117.170-0375.630 | Y=0497.420-0508.660 | tư Tân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1245 | X=0097.970-0348.720 | Y=0514.940-0529.020 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1245 | X=0453.050-0469.690 | Y=0519.700-0529.020 | 310
P=1245 | X=0505.630-0522.270 | Y=0519.700-0529.020 | 290
P=1245 | X=0117.170-0404.060 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1245 | X=0117.170-0178.290 | Y=0543.770-0555.010 | đến ≤1.000m.
P=1245 | X=0117.170-0340.340 | Y=0561.290-0572.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1245 | X=0117.170-0394.550 | Y=0579.050-0590.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1245 | X=0117.170-0411.350 | Y=0590.570-0601.810 | Bom - Thanh Bình đoạn từ Đường vào Công ty Đông Nhi đến Ngã
P=1245 | X=0117.170-0375.630 | Y=0602.090-0613.330 | tư Tân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1245 | X=0097.970-0109.090 | Y=0609.970-0619.290 | 11
P=1245 | X=0453.050-0469.690 | Y=0609.970-0619.290 | 220
P=1245 | X=0505.630-0522.270 | Y=0609.970-0619.290 | 200
P=1245 | X=0117.170-0402.980 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1245 | X=0117.170-0340.810 | Y=0637.150-0648.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1245 | X=0117.170-0402.430 | Y=0654.910-0666.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1245 | X=0117.170-0389.630 | Y=0666.430-0677.670 | Đường Trảng Bom - Thanh Bình đoạn từ Đường vào Công ty
P=1245 | X=0097.970-0398.140 | Y=0677.950-0692.030 | 12 Đông Nhi đến Ngã tư Tân Lập có hiện trạng là đường nhựa, bê
P=1245 | X=0453.050-0469.690 | Y=0682.710-0692.030 | 400
P=1245 | X=0505.630-0522.270 | Y=0682.710-0692.030 | 350
P=1245 | X=0117.170-0177.330 | Y=0689.470-0700.710 | tông xi măng:
P=1245 | X=0117.170-0348.250 | Y=0706.770-0718.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1246 | X=0117.170-0394.360 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1246 | X=0117.170-0402.430 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1246 | X=0117.170-0389.620 | Y=0107.780-0119.020 | Đường Trảng Bom - Thanh Bình đoạn từ Đường vào Công ty
P=1246 | X=0117.170-0398.140 | Y=0119.330-0130.570 | Đông Nhi đến Ngã tư Tân Lập có hiện trạng là đường nhựa, bê
P=1246 | X=0117.170-0177.330 | Y=0130.850-0142.090 | tông xi măng:
P=1246 | X=0097.970-0348.720 | Y=0147.370-0159.610 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1246 | X=0453.050-0469.690 | Y=0147.370-0156.690 | 310
P=1246 | X=0505.630-0522.270 | Y=0147.370-0156.690 | 290
P=1246 | X=0117.170-0404.060 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1246 | X=0117.170-0178.290 | Y=0177.170-0188.410 | đến ≤1.000m.
P=1246 | X=0117.170-0340.340 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1246 | X=0117.170-0402.430 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1246 | X=0117.170-0389.630 | Y=0223.990-0235.230 | Đường Trảng Bom - Thanh Bình đoạn từ Đường vào Công ty
P=1246 | X=0117.170-0398.140 | Y=0235.510-0246.750 | Đông Nhi đến Ngã tư Tân Lập có hiện trạng là đường nhựa, bê
P=1246 | X=0097.970-0177.330 | Y=0247.030-0258.470 | 14 tông xi măng:
P=1246 | X=0453.050-0469.690 | Y=0249.150-0258.470 | 220
P=1246 | X=0505.630-0522.270 | Y=0249.150-0258.470 | 200
P=1246 | X=0117.170-0403.000 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1246 | X=0117.170-0340.810 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1246 | X=0315.240-0412.040 | Y=0299.860-0311.100 | Đường liên ấp Lợi Hà
P=1246 | X=0315.240-0385.130 | Y=0313.260-0322.580 | - Tân Thành, từ
P=1246 | X=0117.170-0207.430 | Y=0317.140-0328.380 | Đường Trảng Bom -
P=1246 | X=0223.030-0293.220 | Y=0322.900-0334.140 | Ngã tư Tân Lập
P=1246 | X=0315.240-0403.820 | Y=0322.900-0334.140 | đường Trảng Bom -
P=1246 | X=0097.970-0109.090 | Y=0324.780-0334.100 | 15
P=1246 | X=0453.050-0469.690 | Y=0324.780-0334.100 | 570
P=1246 | X=0505.630-0522.270 | Y=0324.780-0334.100 | 500
P=1246 | X=0117.170-0169.080 | Y=0330.540-0339.860 | Thanh Bình
P=1246 | X=0315.240-0386.620 | Y=0334.420-0345.660 | Thanh Bình đến
P=1246 | X=0315.240-0371.500 | Y=0345.700-0356.940 | Hương lộ 24
P=1246 | X=0117.170-0394.550 | Y=0363.460-0374.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1246 | X=0117.170-0411.820 | Y=0375.000-0386.240 | Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến Đường liên ấp Lợi
P=1246 | X=0117.170-0412.550 | Y=0386.520-0397.760 | Hà - Tân Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ
P=1246 | X=0097.970-0337.940 | Y=0398.040-0409.480 | 16 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1246 | X=0453.050-0469.690 | Y=0400.160-0409.480 | 400
P=1246 | X=0505.630-0522.270 | Y=0400.160-0409.480 | 350
P=1246 | X=0117.170-0348.250 | Y=0415.560-0426.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1246 | X=0117.170-0382.080 | Y=0433.080-0444.320 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1246 | X=0117.170-0394.550 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1246 | X=0117.170-0411.820 | Y=0462.380-0473.620 | Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến Đường liên ấp Lợi
P=1246 | X=0117.170-0412.550 | Y=0473.900-0485.140 | Hà - Tân Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ
P=1246 | X=0117.170-0337.940 | Y=0485.420-0496.660 | 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1246 | X=0097.970-0348.720 | Y=0501.940-0514.180 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1246 | X=0453.050-0469.690 | Y=0501.940-0511.260 | 310
P=1246 | X=0505.630-0522.270 | Y=0501.940-0511.260 | 290
P=1246 | X=0117.170-0404.060 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1246 | X=0117.170-0178.290 | Y=0531.740-0542.980 | đến ≤1.000m.
P=1246 | X=0117.170-0340.340 | Y=0549.290-0560.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1246 | X=0117.170-0394.550 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1246 | X=0117.170-0411.820 | Y=0578.570-0589.810 | Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến Đường liên ấp Lợi
P=1246 | X=0117.170-0412.550 | Y=0590.090-0601.330 | Hà - Tân Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ
P=1246 | X=0097.970-0337.940 | Y=0601.610-0613.050 | 18 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1246 | X=0453.050-0469.690 | Y=0603.730-0613.050 | 220
P=1246 | X=0505.630-0522.270 | Y=0603.730-0613.050 | 200
P=1246 | X=0117.170-0402.980 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1246 | X=0117.170-0340.810 | Y=0636.670-0647.910 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1246 | X=0117.170-0402.430 | Y=0654.430-0665.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1246 | X=0117.170-0391.190 | Y=0665.950-0677.190 | Đường Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến
P=1246 | X=0097.970-0408.230 | Y=0677.470-0688.710 | 19 Đường liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh
P=1246 | X=0453.050-0469.690 | Y=0679.350-0688.670 | 400
P=1246 | X=0505.630-0522.270 | Y=0679.350-0688.670 | 350
P=1246 | X=0117.170-0394.990 | Y=0688.750-0699.990 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi
P=1246 | X=0117.170-0145.170 | Y=0700.290-0711.530 | măng:
P=1247 | X=0117.170-0348.250 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1247 | X=0117.170-0394.360 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1247 | X=0117.170-0402.430 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1247 | X=0117.170-0391.190 | Y=0125.330-0136.570 | Đường Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến
P=1247 | X=0117.170-0408.230 | Y=0136.850-0148.090 | Đường liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh
P=1247 | X=0117.170-0394.990 | Y=0148.370-0159.610 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi
P=1247 | X=0117.170-0145.170 | Y=0159.650-0170.890 | măng:
P=1247 | X=0097.970-0109.090 | Y=0170.650-0179.970 | 20
P=1247 | X=0453.050-0469.690 | Y=0170.650-0179.970 | 310
P=1247 | X=0505.630-0522.270 | Y=0170.650-0179.970 | 290
P=1247 | X=0117.170-0348.720 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1247 | X=0117.170-0404.060 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1247 | X=0117.170-0178.290 | Y=0206.230-0217.470 | đến ≤1.000m.
P=1247 | X=0117.170-0340.340 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1247 | X=0117.170-0402.430 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1247 | X=0117.170-0391.190 | Y=0253.030-0264.270 | Đường Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến
P=1247 | X=0117.170-0408.230 | Y=0264.550-0275.790 | Đường liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh
P=1247 | X=0117.170-0394.990 | Y=0276.070-0287.310 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi
P=1247 | X=0097.970-0109.090 | Y=0283.980-0293.300 | 21
P=1247 | X=0453.050-0469.690 | Y=0283.980-0293.300 | 220
P=1247 | X=0505.630-0522.270 | Y=0283.980-0293.300 | 200
P=1247 | X=0117.170-0145.170 | Y=0287.620-0298.860 | măng:
P=1247 | X=0117.170-0402.980 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1247 | X=0117.170-0340.810 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1247 | X=0223.030-0304.040 | Y=0340.420-0351.660 | Đường liên ấp Lợi
P=1247 | X=0223.030-0308.310 | Y=0353.580-0362.900 | Hà - Tân Thành, từ
P=1247 | X=0117.170-0207.430 | Y=0357.460-0368.700 | Đường Trảng Bom -
P=1247 | X=0223.030-0357.800 | Y=0363.220-0374.460 | đường Trảng Bom - Hồ Trị An
P=1247 | X=0097.970-0109.090 | Y=0365.100-0374.420 | 22
P=1247 | X=0453.050-0469.690 | Y=0365.100-0374.420 | 570
P=1247 | X=0505.630-0522.270 | Y=0365.100-0374.420 | 500
P=1247 | X=0117.170-0169.080 | Y=0370.880-0380.200 | Thanh Bình
P=1247 | X=0223.030-0294.420 | Y=0374.760-0386.000 | Thanh Bình đến
P=1247 | X=0223.030-0279.300 | Y=0386.280-0397.520 | Hương lộ 24
P=1247 | X=0117.170-0394.550 | Y=0404.040-0415.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1247 | X=0117.170-0407.450 | Y=0415.560-0426.800 | Bom - Thanh Bình đoạn từ Đường liên ấp Lợi Hà - Tân Thành, từ
P=1247 | X=0117.170-0403.190 | Y=0427.080-0438.320 | đường Trảng Bom - Thanh Bình đến Hương lộ 24 đến Hồ Trị An
P=1247 | X=0097.970-0324.020 | Y=0438.600-0450.040 | 23 có hiện trạng là đường nhựa, bê tông xi măng:
P=1247 | X=0453.050-0469.690 | Y=0440.720-0450.040 | 400
P=1247 | X=0505.630-0522.270 | Y=0440.720-0450.040 | 350
P=1247 | X=0117.170-0348.250 | Y=0456.140-0467.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1247 | X=0117.170-0382.080 | Y=0473.660-0484.900 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1247 | X=0117.170-0394.550 | Y=0491.420-0502.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1247 | X=0117.170-0407.450 | Y=0502.940-0514.180 | Bom - Thanh Bình đoạn từ Đường liên ấp Lợi Hà - Tân Thành, từ
P=1247 | X=0117.170-0403.190 | Y=0514.220-0525.460 | đường Trảng Bom - Thanh Bình đến Hương lộ 24 đến Hồ Trị An
P=1247 | X=0117.170-0324.020 | Y=0525.740-0536.980 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1247 | X=0097.970-0348.720 | Y=0542.530-0554.530 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1247 | X=0453.050-0469.690 | Y=0542.530-0551.850 | 310
P=1247 | X=0505.630-0522.270 | Y=0542.530-0551.850 | 290
P=1247 | X=0117.170-0404.060 | Y=0560.810-0572.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1247 | X=0117.170-0178.290 | Y=0572.330-0583.570 | đến ≤1.000m.
P=1247 | X=0117.170-0340.340 | Y=0589.850-0601.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1247 | X=0117.170-0394.550 | Y=0607.610-0618.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1247 | X=0117.170-0407.450 | Y=0619.150-0630.390 | Bom - Thanh Bình đoạn từ Đường liên ấp Lợi Hà - Tân Thành, từ
P=1247 | X=0117.170-0403.190 | Y=0630.670-0641.910 | đường Trảng Bom - Thanh Bình đến Hương lộ 24 đến Hồ Trị An
P=1247 | X=0097.970-0324.020 | Y=0642.190-0653.630 | 25 có hiện trạng là đường nhựa, bê tông xi măng:
P=1247 | X=0453.050-0469.690 | Y=0644.310-0653.630 | 220
P=1247 | X=0505.630-0522.270 | Y=0644.310-0653.630 | 200
P=1247 | X=0117.170-0402.980 | Y=0659.710-0670.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1247 | X=0117.170-0340.810 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1247 | X=0117.170-0402.430 | Y=0694.750-0705.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1247 | X=0097.970-0109.090 | Y=0702.420-0711.740 | 26
P=1247 | X=0453.050-0469.690 | Y=0702.420-0711.740 | 400
P=1247 | X=0505.630-0522.270 | Y=0702.420-0711.740 | 350
P=1247 | X=0117.170-0404.540 | Y=0706.290-0717.530 | Đường Trảng Bom - Thanh Bình đoạn từ Đường liên ấp Lợi Hà -
P=1248 | X=0117.170-0404.620 | Y=0072.500-0083.740 | Tân Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ 24
P=1248 | X=0117.170-0388.590 | Y=0084.020-0095.260 | đến Hồ Trị An có hiện trạng là đường nhựa, bê tông xi măng:
P=1248 | X=0117.170-0348.250 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1248 | X=0117.170-0394.360 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1248 | X=0117.170-0402.430 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1248 | X=0117.170-0404.540 | Y=0148.370-0159.610 | Đường Trảng Bom - Thanh Bình đoạn từ Đường liên ấp Lợi Hà -
P=1248 | X=0117.170-0404.620 | Y=0159.650-0170.890 | Tân Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ 24
P=1248 | X=0117.170-0388.590 | Y=0171.170-0182.410 | đến Hồ Trị An có hiện trạng là đường nhựa, bê tông xi măng:
P=1248 | X=0097.970-0348.720 | Y=0187.930-0199.930 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1248 | X=0453.050-0469.690 | Y=0187.930-0197.250 | 310
