TABLE=064 | AREA=Phường Phước Long | SECTION=agricultural | SEGMENTS=1
P=2017 | X=0472.490-0489.130 | Y=0581.410-0590.730 | 188
P=2017 | X=0109.490-0121.330 | Y=0587.170-0596.490 | Tổ
P=2017 | X=0187.750-0217.130 | Y=0587.170-0596.490 | Hoàng
P=2017 | X=0295.320-0324.210 | Y=0587.170-0596.490 | Phong
P=2017 | X=0109.490-0176.770 | Y=0603.290-0614.530 | Đường Lý Thái
P=2017 | X=0187.750-0361.630 | Y=0609.050-0620.290 | Đường Lê Hồng Phong Cầu An Lương
P=2017 | X=0093.860-0104.980 | Y=0610.930-0620.250 | 31
P=2017 | X=0394.940-0411.580 | Y=0610.930-0620.250 | 294
P=2017 | X=0433.850-0450.490 | Y=0610.930-0620.250 | 235
P=2017 | X=0472.490-0489.130 | Y=0610.930-0620.250 | 188
P=2017 | X=0109.490-0121.330 | Y=0616.690-0626.010 | Tổ
P=2017 | X=0109.490-0175.810 | Y=0632.830-0644.070 | Đường Lê Văn
P=2017 | X=0187.750-0362.760 | Y=0632.830-0644.070 | Giao đường Đinh Tiên Giao đường Lý
P=2017 | X=0093.860-0104.980 | Y=0640.470-0649.790 | 32
P=2017 | X=0394.940-0411.580 | Y=0640.470-0649.790 | 294
P=2017 | X=0433.850-0450.490 | Y=0640.470-0649.790 | 235
P=2017 | X=0472.490-0489.130 | Y=0640.470-0649.790 | 188
P=2017 | X=0109.490-0135.570 | Y=0646.230-0655.550 | Duyệt
P=2017 | X=0187.750-0217.130 | Y=0646.230-0655.550 | Hoàng
P=2017 | X=0295.320-0329.490 | Y=0646.230-0655.550 | Thái Tổ
P=2017 | X=0109.490-0175.810 | Y=0662.350-0673.590 | Đường Lê Văn
P=2017 | X=0187.750-0338.370 | Y=0668.110-0679.350 | Giao đường Lý Thái Tổ Hết tuyến
P=2017 | X=0093.860-0104.980 | Y=0669.990-0679.310 | 33
P=2017 | X=0394.940-0411.580 | Y=0669.990-0679.310 | 294
P=2017 | X=0433.850-0450.490 | Y=0669.990-0679.310 | 235
P=2017 | X=0472.490-0489.130 | Y=0669.990-0679.310 | 188
P=2017 | X=0109.490-0135.570 | Y=0675.750-0685.070 | Duyệt
P=2017 | X=0109.490-0372.710 | Y=0691.870-0703.110 | Đường Nguyễn Giao đường Đinh Tiên Giao đường Trần
P=2017 | X=0093.860-0104.980 | Y=0699.510-0708.830 | 34
P=2017 | X=0394.940-0411.580 | Y=0699.510-0708.830 | 294
P=2017 | X=0433.850-0450.490 | Y=0699.510-0708.830 | 235
P=2017 | X=0472.490-0489.130 | Y=0699.510-0708.830 | 188
P=2017 | X=0109.490-0147.240 | Y=0703.410-0714.650 | Văn Trỗi
P=2017 | X=0187.750-0217.130 | Y=0705.300-0714.620 | Hoàng
P=2017 | X=0295.320-0345.080 | Y=0705.300-0714.620 | Quốc Toản
P=2018 | X=0295.320-0360.450 | Y=0078.740-0089.980 | Ngã ba đường
P=2018 | X=0109.490-0164.930 | Y=0084.500-0095.740 | Đường Hàm
P=2018 | X=0187.750-0269.700 | Y=0090.260-0101.500 | Đường Lý Thái Tổ
P=2018 | X=0093.860-0104.980 | Y=0092.140-0101.460 | 35
P=2018 | X=0295.320-0364.040 | Y=0092.140-0101.460 | Trần Phú và Lê
P=2018 | X=0394.940-0411.580 | Y=0092.140-0101.460 | 294
P=2018 | X=0433.850-0450.490 | Y=0092.140-0101.460 | 235
P=2018 | X=0472.490-0489.130 | Y=0092.140-0101.460 | 188
P=2018 | X=0109.490-0129.980 | Y=0097.900-0107.220 | Nghi
P=2018 | X=0295.320-0342.040 | Y=0101.780-0113.020 | Văn Duyệt
P=2018 | X=0295.320-0349.400 | Y=0121.690-0131.010 | Ngã ba giao
P=2018 | X=0109.490-0176.390 | Y=0125.570-0136.810 | Đường Xô Viết
P=2018 | X=0187.750-0282.950 | Y=0125.570-0136.810 | Từ thửa đất số 56, tờ
P=2018 | X=0295.320-0354.120 | Y=0131.330-0142.570 | đường Phạm
P=2018 | X=0093.860-0104.980 | Y=0133.210-0142.530 | 36
P=2018 | X=0394.940-0411.580 | Y=0133.210-0142.530 | 294
P=2018 | X=0433.850-0450.490 | Y=0133.210-0142.530 | 235
P=2018 | X=0472.490-0489.130 | Y=0133.210-0142.530 | 188
P=2018 | X=0109.490-0156.360 | Y=0137.090-0148.330 | Nghệ Tĩnh
P=2018 | X=0187.750-0239.940 | Y=0137.090-0148.330 | bản đồ số 9
P=2018 | X=0295.320-0341.470 | Y=0144.730-0154.050 | Hồng Thái
P=2018 | X=0109.490-0176.390 | Y=0160.850-0172.090 | Đường Xô Viết
P=2018 | X=0187.750-0281.620 | Y=0160.850-0172.090 | Ngã ba đường Phạm
P=2018 | X=0295.320-0366.050 | Y=0160.850-0172.090 | Thửa đất số 13,
P=2018 | X=0093.860-0104.980 | Y=0168.490-0177.810 | 37
P=2018 | X=0394.940-0411.580 | Y=0168.490-0177.810 | 294
P=2018 | X=0433.850-0450.490 | Y=0168.490-0177.810 | 235
P=2018 | X=0472.490-0489.130 | Y=0168.490-0177.810 | 188
P=2018 | X=0109.490-0156.360 | Y=0172.370-0183.610 | Nghệ Tĩnh
P=2018 | X=0295.320-0365.240 | Y=0172.370-0183.610 | tờ bản đồ số 01
P=2018 | X=0187.750-0233.900 | Y=0174.250-0183.570 | Hồng Thái
P=2018 | X=0109.490-0362.220 | Y=0190.370-0201.610 | Đường Nguyễn Từ Thửa đất số 371, tờ Đường Xô Viết
P=2018 | X=0093.860-0104.980 | Y=0198.010-0207.330 | 38
P=2018 | X=0394.940-0411.580 | Y=0198.010-0207.330 | 294
P=2018 | X=0433.850-0450.490 | Y=0198.010-0207.330 | 235
P=2018 | X=0472.490-0489.130 | Y=0198.010-0207.330 | 188
P=2018 | X=0109.490-0144.070 | Y=0201.670-0212.910 | Văn Cừ
P=2018 | X=0187.750-0245.460 | Y=0201.670-0212.910 | bản đồ số 04
