TABLE=042 | AREA=Xã Thống Nhất | SECTION=agricultural | SEGMENTS=1
P=1476 | X=0118.130-0403.940 | Y=0090.260-0101.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1476 | X=0118.130-0341.770 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1476 | X=0118.130-0430.010 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1476 | X=0118.130-0421.420 | Y=0137.330-0148.570 | lộ 20 đoạn từ Giáp ranh xã Gia Kiệm đến Đường Vườn Xoài có hiện
P=1476 | X=0118.130-0289.910 | Y=0148.850-0160.090 | trạng là đường nhựa, bê tông xi măng:
P=1476 | X=0101.090-0106.690 | Y=0156.730-0166.050 | 5
P=1476 | X=0463.850-0480.490 | Y=0156.730-0166.050 | 500
P=1476 | X=0505.390-0522.030 | Y=0156.730-0166.050 | 450
P=1476 | X=0118.130-0349.210 | Y=0166.370-0177.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1476 | X=0118.130-0395.320 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1476 | X=0118.130-0430.010 | Y=0201.670-0212.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1476 | X=0118.130-0421.420 | Y=0213.190-0224.430 | lộ 20 đoạn từ Giáp ranh xã Gia Kiệm đến Đường Vườn Xoài có hiện
P=1476 | X=0118.130-0289.910 | Y=0224.710-0235.950 | trạng là đường nhựa, bê tông xi măng:
P=1476 | X=0118.130-0349.680 | Y=0242.230-0253.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1476 | X=0101.090-0106.690 | Y=0247.230-0256.550 | 6
P=1476 | X=0463.850-0480.490 | Y=0247.230-0256.550 | 400
P=1476 | X=0505.390-0522.030 | Y=0247.230-0256.550 | 350
P=1476 | X=0118.130-0424.550 | Y=0259.750-0270.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1476 | X=0118.130-0159.810 | Y=0271.270-0282.510 | ≤1.000m.
P=1476 | X=0118.130-0341.300 | Y=0288.820-0300.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1476 | X=0118.130-0430.010 | Y=0306.820-0318.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1476 | X=0118.130-0421.420 | Y=0318.340-0329.580 | lộ 20 đoạn từ Giáp ranh xã Gia Kiệm đến Đường Vườn Xoài có hiện
P=1476 | X=0118.130-0289.910 | Y=0329.860-0341.100 | trạng là đường nhựa, bê tông xi măng:
P=1476 | X=0101.090-0106.690 | Y=0337.740-0347.060 | 7
P=1476 | X=0463.850-0480.490 | Y=0337.740-0347.060 | 290
P=1476 | X=0505.390-0522.030 | Y=0337.740-0347.060 | 250
P=1476 | X=0118.130-0403.940 | Y=0347.380-0358.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1476 | X=0118.130-0341.770 | Y=0364.900-0376.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1476 | X=0350.520-0422.390 | Y=0382.920-0394.160 | Đường vào Nhà
P=1476 | X=0259.060-0422.060 | Y=0394.200-0405.440 | Đường Vườn Xoài văn hóa ấp Đức
P=1476 | X=0101.090-0106.690 | Y=0396.080-0405.400 | 8
P=1476 | X=0118.130-0166.690 | Y=0396.080-0405.400 | Quốc lộ 20
P=1476 | X=0463.850-0480.490 | Y=0396.080-0405.400 | 730
P=1476 | X=0505.390-0522.030 | Y=0396.080-0405.400 | 670
P=1476 | X=0350.520-0381.090 | Y=0407.600-0416.920 | Long 3
P=1476 | X=0118.130-0420.650 | Y=0423.720-0434.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1476 | X=0118.130-0415.660 | Y=0435.240-0446.480 | Đường Vườn Xoài đến Đường vào Nhà văn hóa ấp Đức Long 3 có
P=1476 | X=0118.130-0311.770 | Y=0446.760-0458.000 | hiện trạng là đường nhựa, bê tông xi măng:
P=1476 | X=0101.090-0106.690 | Y=0454.660-0463.980 | 9
P=1476 | X=0463.850-0480.490 | Y=0454.660-0463.980 | 500
P=1476 | X=0505.390-0522.030 | Y=0454.660-0463.980 | 450
P=1476 | X=0118.130-0349.210 | Y=0464.300-0475.540 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1476 | X=0118.130-0395.320 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1476 | X=0118.130-0420.650 | Y=0499.820-0511.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1476 | X=0118.130-0415.660 | Y=0511.340-0522.580 | Đường Vườn Xoài đến Đường vào Nhà văn hóa ấp Đức Long 3 có
P=1476 | X=0118.130-0311.770 | Y=0522.860-0534.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=1476 | X=0098.210-0349.680 | Y=0540.410-0554.490 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1476 | X=0463.850-0480.490 | Y=0545.170-0554.490 | 400
P=1476 | X=0505.390-0522.030 | Y=0545.170-0554.490 | 350
P=1476 | X=0118.130-0424.550 | Y=0557.930-0569.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1476 | X=0118.130-0159.810 | Y=0569.450-0580.690 | ≤1.000m.
P=1476 | X=0118.130-0341.300 | Y=0586.970-0598.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1476 | X=0118.130-0420.650 | Y=0604.970-0616.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1476 | X=0118.130-0415.660 | Y=0616.270-0627.510 | Đường Vườn Xoài đến Đường vào Nhà văn hóa ấp Đức Long 3 có
P=1476 | X=0118.130-0311.770 | Y=0627.790-0639.030 | hiện trạng là đường nhựa, bê tông xi măng:
P=1476 | X=0098.210-0109.330 | Y=0635.670-0644.990 | 11
P=1476 | X=0463.850-0480.490 | Y=0635.670-0644.990 | 290
P=1476 | X=0505.390-0522.030 | Y=0635.670-0644.990 | 250
P=1476 | X=0118.130-0403.940 | Y=0645.310-0656.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1476 | X=0118.130-0341.770 | Y=0662.830-0674.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1476 | X=0118.130-0430.010 | Y=0680.830-0692.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1476 | X=0098.210-0430.730 | Y=0692.350-0703.590 | 12 lộ 20 đoạn từ Đường Vườn Xoài đến Đường vào Nhà văn hóa ấp Đức
P=1476 | X=0463.850-0480.490 | Y=0694.230-0703.550 | 500
P=1476 | X=0505.390-0522.030 | Y=0694.230-0703.550 | 450
P=1476 | X=0118.130-0358.340 | Y=0703.890-0715.130 | Long 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=1477 | X=0118.130-0349.210 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1477 | X=0118.130-0395.320 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1477 | X=0118.130-0430.010 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1477 | X=0118.130-0430.730 | Y=0125.810-0137.050 | lộ 20 đoạn từ Đường Vườn Xoài đến Đường vào Nhà văn hóa ấp Đức
P=1477 | X=0118.130-0358.340 | Y=0137.330-0148.570 | Long 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=1477 | X=0098.210-0349.680 | Y=0154.850-0168.930 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1477 | X=0463.850-0480.490 | Y=0159.610-0168.930 | 400
P=1477 | X=0505.390-0522.030 | Y=0159.610-0168.930 | 350
P=1477 | X=0118.130-0424.550 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1477 | X=0118.130-0159.810 | Y=0183.650-0194.890 | ≤1.000m.
P=1477 | X=0118.130-0341.300 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1477 | X=0118.130-0430.010 | Y=0219.190-0230.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1477 | X=0118.130-0430.730 | Y=0230.710-0241.950 | lộ 20 đoạn từ Đường Vườn Xoài đến Đường vào Nhà văn hóa ấp Đức
P=1477 | X=0118.130-0358.340 | Y=0242.230-0253.470 | Long 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=1477 | X=0098.210-0109.330 | Y=0250.110-0259.430 | 14
P=1477 | X=0463.850-0480.490 | Y=0250.110-0259.430 | 290
P=1477 | X=0505.390-0522.030 | Y=0250.110-0259.430 | 250
P=1477 | X=0118.130-0403.940 | Y=0259.750-0270.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1477 | X=0118.130-0341.770 | Y=0277.270-0288.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1477 | X=0350.520-0431.520 | Y=0295.300-0306.540 | Đường song hành
P=1477 | X=0259.060-0349.870 | Y=0301.060-0312.300 | Đường vào Nhà văn
P=1477 | X=0350.520-0434.170 | Y=0306.820-0318.060 | phía Đông Quốc lộ
P=1477 | X=0098.210-0166.690 | Y=0308.700-0318.020 | 15 Quốc lộ 20
P=1477 | X=0463.850-0480.490 | Y=0308.700-0318.020 | 730
P=1477 | X=0505.390-0522.030 | Y=0308.700-0318.020 | 670
P=1477 | X=0259.060-0344.840 | Y=0312.580-0323.820 | hóa ấp Đức Long 3
P=1477 | X=0350.520-0361.640 | Y=0320.220-0329.540 | 20
P=1477 | X=0118.130-0420.650 | Y=0336.340-0347.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1477 | X=0118.130-0422.610 | Y=0347.860-0359.100 | Đường vào Nhà văn hóa ấp Đức Long 3 đến Đường song hành phía
P=1477 | X=0118.130-0402.980 | Y=0359.380-0370.620 | Đông Quốc lộ 20 có hiện trạng là đường nhựa, bê tông xi măng:
P=1477 | X=0098.210-0109.330 | Y=0367.280-0376.600 | 16
P=1477 | X=0463.850-0480.490 | Y=0367.280-0376.600 | 500
P=1477 | X=0505.390-0522.030 | Y=0367.280-0376.600 | 450
P=1477 | X=0118.130-0349.210 | Y=0376.920-0388.160 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1477 | X=0118.130-0395.320 | Y=0394.200-0405.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1477 | X=0118.130-0420.650 | Y=0412.200-0423.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1477 | X=0118.130-0422.610 | Y=0423.720-0434.960 | Đường vào Nhà văn hóa ấp Đức Long 3 đến Đường song hành phía
P=1477 | X=0118.130-0402.980 | Y=0435.240-0446.480 | Đông Quốc lộ 20 có hiện trạng là đường nhựa, bê tông xi măng:
P=1477 | X=0098.210-0349.680 | Y=0452.780-0467.100 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1477 | X=0463.850-0480.490 | Y=0457.780-0467.100 | 400
P=1477 | X=0505.390-0522.030 | Y=0457.780-0467.100 | 350
P=1477 | X=0118.130-0424.550 | Y=0470.300-0481.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1477 | X=0118.130-0159.810 | Y=0481.820-0493.060 | ≤1.000m.
P=1477 | X=0118.130-0341.300 | Y=0499.340-0510.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1477 | X=0118.130-0420.650 | Y=0517.340-0528.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1477 | X=0118.130-0422.610 | Y=0528.860-0540.100 | Đường vào Nhà văn hóa ấp Đức Long 3 đến Đường song hành phía
P=1477 | X=0118.130-0403.020 | Y=0540.410-0551.650 | Đông Quốc lộ 20 có hiện trạng là đường nhựa, bê tông xi măng:
P=1477 | X=0098.210-0109.330 | Y=0548.290-0557.610 | 18
P=1477 | X=0463.850-0480.490 | Y=0548.290-0557.610 | 290
P=1477 | X=0505.390-0522.030 | Y=0548.290-0557.610 | 250
P=1477 | X=0118.130-0403.940 | Y=0557.930-0569.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1477 | X=0118.130-0341.770 | Y=0575.450-0586.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1477 | X=0118.130-0430.010 | Y=0593.450-0604.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1477 | X=0118.130-0412.790 | Y=0604.970-0616.210 | lộ 20 đoạn từ Đường vào Nhà văn hóa ấp Đức Long 3 đến Đường
P=1477 | X=0118.130-0434.130 | Y=0616.270-0627.510 | song hành phía Đông Quốc lộ 20 có hiện trạng là đường nhựa, bê tông
P=1477 | X=0098.210-0155.960 | Y=0627.790-0639.230 | 19 xi măng:
P=1477 | X=0463.850-0480.490 | Y=0629.910-0639.230 | 500
P=1477 | X=0505.390-0522.030 | Y=0629.910-0639.230 | 450
P=1477 | X=0118.130-0349.210 | Y=0645.310-0656.550 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1477 | X=0118.130-0395.320 | Y=0662.830-0674.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1477 | X=0118.130-0430.010 | Y=0680.830-0692.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1477 | X=0098.210-0412.790 | Y=0692.350-0703.590 | 20 lộ 20 đoạn từ Đường vào Nhà văn hóa ấp Đức Long 3 đến Đường
P=1477 | X=0463.850-0480.490 | Y=0694.230-0703.550 | 400
P=1477 | X=0505.390-0522.030 | Y=0694.230-0703.550 | 350
P=1477 | X=0118.130-0434.130 | Y=0703.890-0715.130 | song hành phía Đông Quốc lộ 20 có hiện trạng là đường nhựa, bê tông
P=1478 | X=0118.130-0155.960 | Y=0072.740-0083.980 | xi măng:
P=1478 | X=0118.130-0349.680 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1478 | X=0118.130-0424.550 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1478 | X=0118.130-0159.810 | Y=0119.330-0130.570 | ≤1.000m.
P=1478 | X=0118.130-0341.300 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1478 | X=0118.130-0430.010 | Y=0154.850-0166.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1478 | X=0118.130-0412.790 | Y=0166.370-0177.610 | lộ 20 đoạn từ Đường vào Nhà văn hóa ấp Đức Long 3 đến Đường
P=1478 | X=0118.130-0434.170 | Y=0177.650-0188.890 | song hành phía Đông Quốc lộ 20 có hiện trạng là đường nhựa, bê tông
P=1478 | X=0098.210-0155.960 | Y=0189.170-0200.610 | 21 xi măng:
P=1478 | X=0463.850-0480.490 | Y=0191.290-0200.610 | 290
P=1478 | X=0505.390-0522.030 | Y=0191.290-0200.610 | 250
P=1478 | X=0118.130-0403.940 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1478 | X=0118.130-0341.770 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1478 | X=0259.060-0340.040 | Y=0242.230-0253.470 | Đường song hành
P=1478 | X=0350.520-0419.000 | Y=0249.870-0259.190 | Giáp ranh chùa
P=1478 | X=0259.060-0342.680 | Y=0253.750-0264.990 | phía Đông Quốc lộ
P=1478 | X=0098.210-0166.690 | Y=0255.630-0264.950 | 22 Quốc lộ 20
P=1478 | X=0463.850-0480.490 | Y=0255.630-0264.950 | 270
P=1478 | X=0505.390-0522.030 | Y=0255.630-0264.950 | 230
P=1478 | X=0350.520-0392.740 | Y=0261.390-0270.710 | Trúc Lâm
P=1478 | X=0259.060-0270.180 | Y=0267.150-0276.470 | 20
P=1478 | X=0118.130-0420.650 | Y=0283.300-0294.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1478 | X=0118.130-0434.970 | Y=0294.820-0306.060 | Đường song hành phía Đông Quốc lộ 20 đến Giáp ranh chùa Trúc Lâm
P=1478 | X=0118.130-0324.980 | Y=0306.340-0317.580 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1478 | X=0098.210-0109.330 | Y=0314.220-0323.540 | 23
P=1478 | X=0463.850-0480.490 | Y=0314.220-0323.540 | 160
P=1478 | X=0505.390-0522.030 | Y=0314.220-0323.540 | 150
P=1478 | X=0118.130-0349.210 | Y=0323.860-0335.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1478 | X=0118.130-0395.320 | Y=0341.380-0352.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1478 | X=0118.130-0420.650 | Y=0359.380-0370.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1478 | X=0118.130-0434.970 | Y=0370.920-0382.160 | Đường song hành phía Đông Quốc lộ 20 đến Giáp ranh chùa Trúc Lâm
P=1478 | X=0118.130-0324.980 | Y=0382.200-0393.440 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1478 | X=0098.210-0349.680 | Y=0399.720-0414.040 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1478 | X=0463.850-0480.490 | Y=0404.720-0414.040 | 130
P=1478 | X=0505.390-0522.030 | Y=0404.720-0414.040 | 100
P=1478 | X=0118.130-0424.550 | Y=0417.240-0428.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1478 | X=0118.130-0159.810 | Y=0428.760-0440.000 | ≤1.000m.
P=1478 | X=0118.130-0341.300 | Y=0446.280-0457.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1478 | X=0118.130-0420.650 | Y=0464.300-0475.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1478 | X=0118.130-0434.970 | Y=0475.820-0487.060 | Đường song hành phía Đông Quốc lộ 20 đến Giáp ranh chùa Trúc Lâm
P=1478 | X=0118.130-0324.980 | Y=0487.340-0498.580 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1478 | X=0098.210-0109.330 | Y=0495.220-0504.540 | 25
P=1478 | X=0469.610-0480.730 | Y=0495.220-0504.540 | 90
P=1478 | X=0511.150-0522.270 | Y=0495.220-0504.540 | 50
P=1478 | X=0118.130-0403.940 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1478 | X=0118.130-0341.770 | Y=0522.380-0533.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1478 | X=0118.130-0430.010 | Y=0540.410-0551.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1478 | X=0118.130-0427.410 | Y=0551.930-0563.170 | lộ 20 đoạn từ Đường song hành phía Đông Quốc lộ 20 đến Giáp ranh
P=1478 | X=0118.130-0394.360 | Y=0563.450-0574.690 | chùa Trúc Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1478 | X=0098.210-0109.330 | Y=0571.330-0580.650 | 26
P=1478 | X=0463.850-0480.490 | Y=0571.330-0580.650 | 160
P=1478 | X=0505.390-0522.030 | Y=0571.330-0580.650 | 150
P=1478 | X=0118.130-0349.210 | Y=0580.970-0592.210 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1478 | X=0118.130-0395.320 | Y=0598.250-0609.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1478 | X=0118.130-0430.010 | Y=0616.270-0627.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1478 | X=0118.130-0427.410 | Y=0627.790-0639.030 | lộ 20 đoạn từ Đường song hành phía Đông Quốc lộ 20 đến Giáp ranh
P=1478 | X=0118.130-0394.360 | Y=0639.310-0650.550 | chùa Trúc Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1478 | X=0098.210-0349.680 | Y=0656.830-0671.150 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1478 | X=0463.850-0480.490 | Y=0661.830-0671.150 | 130
P=1478 | X=0505.390-0522.030 | Y=0661.830-0671.150 | 100
P=1478 | X=0118.130-0424.550 | Y=0674.350-0685.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1478 | X=0118.130-0159.810 | Y=0685.870-0697.110 | ≤1.000m.
P=1478 | X=0118.130-0341.300 | Y=0703.410-0714.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1479 | X=0118.130-0430.010 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1479 | X=0118.130-0427.410 | Y=0090.260-0101.500 | lộ 20 đoạn từ Đường song hành phía Đông Quốc lộ 20 đến Giáp ranh
P=1479 | X=0118.130-0394.360 | Y=0101.780-0113.020 | chùa Trúc Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1479 | X=0098.210-0109.330 | Y=0109.660-0118.980 | 28
P=1479 | X=0469.610-0480.730 | Y=0109.660-0118.980 | 90
P=1479 | X=0511.150-0522.270 | Y=0109.660-0118.980 | 50
P=1479 | X=0118.130-0403.940 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1479 | X=0118.130-0341.770 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1479 | X=0259.060-0327.540 | Y=0156.730-0166.050 | Giáp ranh chùa
P=1479 | X=0350.520-0435.800 | Y=0160.610-0171.850 | Hết chợ Túc Trưng
P=1479 | X=0098.210-0166.690 | Y=0162.490-0171.810 | 29 Quốc lộ 20
P=1479 | X=0463.850-0480.490 | Y=0162.490-0171.810 | 270
P=1479 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 230
P=1479 | X=0259.060-0301.280 | Y=0168.250-0177.570 | Trúc Lâm
P=1479 | X=0118.130-0420.650 | Y=0184.370-0195.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1479 | X=0118.130-0410.130 | Y=0195.650-0206.890 | Giáp ranh chùa Trúc Lâm đến Hết chợ Túc Trưng có hiện trạng là
P=1479 | X=0118.130-0253.900 | Y=0207.190-0218.430 | đường nhựa, bê tông xi măng:
P=1479 | X=0098.210-0109.330 | Y=0215.070-0224.390 | 30
P=1479 | X=0463.850-0480.490 | Y=0215.070-0224.390 | 160
P=1479 | X=0505.390-0522.030 | Y=0215.070-0224.390 | 150
P=1479 | X=0118.130-0349.210 | Y=0224.710-0235.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1479 | X=0118.130-0395.320 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
