TABLE=056 | AREA=Phường Bình Phước | SECTION=agricultural | SEGMENTS=1
P=1851 | X=0121.730-0218.550 | Y=0438.600-0449.840 | Đường Phú Riềng Đỏ
P=1851 | X=0103.010-0108.610 | Y=0440.480-0449.800 | 9
P=1851 | X=0414.860-0431.500 | Y=0440.480-0449.800 | 800
P=1851 | X=0459.530-0476.170 | Y=0440.480-0449.800 | 640
P=1851 | X=0505.390-0522.030 | Y=0440.480-0449.800 | 380
P=1851 | X=0320.760-0377.100 | Y=0444.360-0455.600 | Thường Kiệt
P=1851 | X=0250.900-0270.670 | Y=0446.240-0455.560 | Xoài
P=1851 | X=0250.900-0296.020 | Y=0462.140-0473.380 | Đường Lý
P=1851 | X=0320.760-0389.230 | Y=0462.140-0473.380 | Đường Trương
P=1851 | X=0121.730-0218.550 | Y=0467.900-0479.140 | Đường Phú Riềng Đỏ
P=1851 | X=0100.130-0111.250 | Y=0469.780-0479.100 | 10
P=1851 | X=0414.860-0431.500 | Y=0469.780-0479.100 | 800
P=1851 | X=0459.530-0476.170 | Y=0469.780-0479.100 | 640
P=1851 | X=0505.390-0522.030 | Y=0469.780-0479.100 | 380
P=1851 | X=0250.900-0307.240 | Y=0473.660-0484.900 | Thường Kiệt
P=1851 | X=0320.760-0368.140 | Y=0473.660-0484.900 | Công Định
P=1851 | X=0320.760-0378.690 | Y=0491.420-0502.660 | Đường Cách
P=1851 | X=0250.900-0319.370 | Y=0497.180-0508.420 | Đường Trương
P=1851 | X=0121.730-0218.550 | Y=0502.940-0514.180 | Đường Phú Riềng Đỏ
P=1851 | X=0100.130-0111.250 | Y=0504.820-0514.140 | 11
P=1851 | X=0320.760-0377.010 | Y=0504.820-0514.140 | Mạng Tháng
P=1851 | X=0414.860-0431.500 | Y=0504.820-0514.140 | 800
P=1851 | X=0459.530-0476.170 | Y=0504.820-0514.140 | 640
P=1851 | X=0505.390-0522.030 | Y=0504.820-0514.140 | 380
P=1851 | X=0250.900-0298.260 | Y=0508.460-0519.700 | Công Định
P=1851 | X=0320.760-0340.670 | Y=0516.100-0525.420 | Tám
P=1851 | X=0320.760-0375.910 | Y=0531.980-0543.220 | Hết ranh đất
P=1851 | X=0250.900-0308.830 | Y=0537.770-0549.010 | Đường Cách
P=1851 | X=0320.760-0384.250 | Y=0545.410-0554.730 | Trung tâm Sát
P=1851 | X=0121.730-0218.550 | Y=0549.290-0560.530 | Đường Phú Riềng Đỏ
P=1851 | X=0100.130-0111.250 | Y=0551.170-0560.490 | 12
P=1851 | X=0250.900-0307.150 | Y=0551.170-0560.490 | Mạng Tháng
P=1851 | X=0414.860-0431.500 | Y=0551.170-0560.490 | 800
P=1851 | X=0459.530-0476.170 | Y=0551.170-0560.490 | 640
P=1851 | X=0505.390-0522.030 | Y=0551.170-0560.490 | 380
P=1851 | X=0320.760-0391.630 | Y=0556.930-0566.250 | Hạch lái xe Cao
P=1851 | X=0250.900-0270.810 | Y=0562.690-0572.010 | Tám
P=1851 | X=0320.760-0333.080 | Y=0568.450-0577.770 | Su
P=1851 | X=0250.900-0311.560 | Y=0584.330-0595.570 | Giáp ranh đất
P=1851 | X=0320.760-0364.760 | Y=0591.970-0601.290 | Giáp ranh
P=1851 | X=0250.900-0314.390 | Y=0597.730-0607.050 | Trung tâm Sát
P=1851 | X=0121.730-0218.550 | Y=0601.610-0612.850 | Đường Phú Riềng Đỏ
P=1851 | X=0320.760-0374.630 | Y=0601.610-0612.850 | huyện Đồng
P=1851 | X=0100.130-0111.250 | Y=0603.490-0612.810 | 13
P=1851 | X=0414.860-0431.500 | Y=0603.490-0612.810 | 800
P=1851 | X=0459.530-0476.170 | Y=0603.490-0612.810 | 640
P=1851 | X=0505.390-0522.030 | Y=0603.490-0612.810 | 380
P=1851 | X=0250.900-0300.650 | Y=0609.250-0618.570 | Hạch lái xe
P=1851 | X=0320.760-0358.670 | Y=0613.130-0624.370 | Phú (cũ)
P=1851 | X=0250.900-0284.350 | Y=0620.790-0630.110 | Cao Su
P=1851 | X=0250.900-0308.370 | Y=0636.670-0647.910 | Ngã tư Đồng
P=1851 | X=0320.760-0369.130 | Y=0636.670-0647.910 | Đường Nơ
P=1851 | X=0121.730-0218.550 | Y=0642.430-0653.670 | Đường Phú Riềng Đỏ
P=1851 | X=0100.130-0111.250 | Y=0644.310-0653.630 | 14
P=1851 | X=0414.860-0431.500 | Y=0644.310-0653.630 | 800
P=1851 | X=0459.530-0476.170 | Y=0644.310-0653.630 | 640
P=1851 | X=0505.390-0522.030 | Y=0644.310-0653.630 | 380
P=1851 | X=0250.900-0270.670 | Y=0650.070-0659.390 | Xoài
P=1851 | X=0320.760-0371.970 | Y=0650.070-0659.390 | Trang Long
P=1851 | X=0250.900-0299.270 | Y=0665.950-0677.190 | Đường Nơ
P=1851 | X=0320.760-0379.170 | Y=0665.950-0677.190 | Đường Hùng
P=1851 | X=0121.730-0218.550 | Y=0671.710-0682.950 | Đường Phú Riềng Đỏ
P=1851 | X=0100.130-0111.250 | Y=0673.590-0682.910 | 15
P=1851 | X=0414.860-0431.500 | Y=0673.590-0682.910 | 800
P=1851 | X=0459.530-0476.170 | Y=0673.590-0682.910 | 640
P=1851 | X=0505.390-0522.030 | Y=0673.590-0682.910 | 380
P=1851 | X=0320.760-0352.040 | Y=0677.470-0688.710 | Vương
P=1851 | X=0250.900-0302.110 | Y=0679.350-0688.670 | Trang Long
P=1851 | X=0250.900-0309.310 | Y=0695.230-0706.470 | Đường Hùng
P=1851 | X=0320.760-0375.910 | Y=0695.230-0706.470 | Hết ranh đất
P=1851 | X=0121.730-0218.550 | Y=0700.770-0712.010 | Đường Phú Riềng Đỏ
P=1851 | X=0100.130-0111.250 | Y=0702.660-0711.980 | 16
P=1851 | X=0414.860-0431.500 | Y=0702.660-0711.980 | 800
P=1851 | X=0459.530-0476.170 | Y=0702.660-0711.980 | 640
P=1851 | X=0505.390-0522.030 | Y=0702.660-0711.980 | 380
P=1851 | X=0250.900-0282.180 | Y=0706.530-0717.770 | Vương
P=1851 | X=0320.760-0379.820 | Y=0708.420-0717.740 | Chi cục Kiểm
P=1852 | X=0320.760-0379.390 | Y=0074.380-0083.700 | lâm tỉnh Bình
P=1852 | X=0320.760-0371.400 | Y=0084.020-0095.260 | Phước (cũ)
P=1852 | X=0250.900-0311.560 | Y=0101.780-0113.020 | Giáp ranh đất
P=1852 | X=0250.900-0378.220 | Y=0115.180-0124.500 | Chi cục Kiểm Giáp ranh xã
P=1852 | X=0121.730-0218.550 | Y=0119.090-0130.330 | Đường Phú Riềng Đỏ
P=1852 | X=0100.130-0111.250 | Y=0120.970-0130.290 | 17
P=1852 | X=0414.860-0431.500 | Y=0120.970-0130.290 | 800
P=1852 | X=0459.530-0476.170 | Y=0120.970-0130.290 | 640
P=1852 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 380
P=1852 | X=0250.900-0388.200 | Y=0124.850-0136.090 | lâm tỉnh Bình Tiến Hưng (cũ)
P=1852 | X=0250.900-0301.540 | Y=0136.370-0147.610 | Phước (cũ)
P=1852 | X=0250.900-0303.300 | Y=0154.130-0165.370 | Đường Phú
P=1852 | X=0320.760-0388.270 | Y=0154.130-0165.370 | Đường Võ Văn
P=1852 | X=0121.730-0236.760 | Y=0159.650-0170.890 | Đường An Dương Vương
P=1852 | X=0100.130-0111.250 | Y=0161.530-0170.850 | 18
P=1852 | X=0414.860-0431.500 | Y=0161.530-0170.850 | 430
P=1852 | X=0459.530-0476.170 | Y=0161.530-0170.850 | 340
P=1852 | X=0505.390-0522.030 | Y=0161.530-0170.850 | 200
P=1852 | X=0250.900-0292.740 | Y=0165.410-0176.650 | Riềng Đỏ
P=1852 | X=0320.760-0338.120 | Y=0167.290-0176.610 | Tần
P=1852 | X=0250.900-0389.980 | Y=0183.170-0194.410 | Đường Võ Văn Đường Quốc lộ
P=1852 | X=0121.730-0236.760 | Y=0188.930-0200.170 | Đường An Dương Vương
P=1852 | X=0100.130-0111.250 | Y=0190.810-0200.130 | 19
P=1852 | X=0414.860-0431.500 | Y=0190.810-0200.130 | 430
P=1852 | X=0459.530-0476.170 | Y=0190.810-0200.130 | 340
P=1852 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 200
P=1852 | X=0250.900-0268.260 | Y=0196.570-0205.890 | Tần
P=1852 | X=0320.760-0331.880 | Y=0196.570-0205.890 | 14
P=1852 | X=0250.900-0296.590 | Y=0212.470-0223.710 | Đường Lê
P=1852 | X=0320.760-0376.060 | Y=0212.470-0223.710 | Đường Trần
P=1852 | X=0121.730-0205.840 | Y=0218.230-0229.470 | Đường Bạch Đằng
P=1852 | X=0100.130-0111.250 | Y=0220.110-0229.430 | 20
P=1852 | X=0414.860-0431.500 | Y=0220.110-0229.430 | 430
P=1852 | X=0459.530-0476.170 | Y=0220.110-0229.430 | 340
P=1852 | X=0505.390-0522.030 | Y=0220.110-0229.430 | 200
P=1852 | X=0250.900-0274.740 | Y=0225.870-0235.190 | Duẩn
P=1852 | X=0320.760-0374.380 | Y=0225.870-0235.190 | Quang Diệu
P=1852 | X=0250.900-0306.200 | Y=0241.750-0252.990 | Đường Trần
P=1852 | X=0320.760-0389.260 | Y=0241.750-0252.990 | Đường Trường
P=1852 | X=0121.730-0205.830 | Y=0247.510-0258.750 | Đường Bạch Đằng
P=1852 | X=0100.130-0111.250 | Y=0249.390-0258.710 | 21
P=1852 | X=0414.860-0431.500 | Y=0249.390-0258.710 | 430
P=1852 | X=0459.530-0476.170 | Y=0249.390-0258.710 | 340
P=1852 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 200
P=1852 | X=0250.900-0304.520 | Y=0255.150-0264.470 | Quang Diệu
P=1852 | X=0320.760-0347.000 | Y=0255.150-0264.470 | Chinh
P=1852 | X=0250.900-0303.300 | Y=0271.030-0282.270 | Đường Phú
P=1852 | X=0320.760-0379.180 | Y=0271.030-0282.270 | Đường Đặng
P=1852 | X=0121.730-0213.280 | Y=0276.790-0288.030 | Đường Bùi Thị Xuân
P=1852 | X=0100.130-0111.250 | Y=0278.670-0287.990 | 22
P=1852 | X=0414.860-0431.500 | Y=0278.670-0287.990 | 430
P=1852 | X=0459.530-0476.170 | Y=0278.670-0287.990 | 340
P=1852 | X=0505.390-0522.030 | Y=0278.670-0287.990 | 200
P=1852 | X=0250.900-0292.740 | Y=0282.580-0293.820 | Riềng Đỏ
P=1852 | X=0320.760-0359.230 | Y=0284.460-0293.780 | Thai Mai
P=1852 | X=0250.900-0309.320 | Y=0300.340-0311.580 | Đường Đặng
P=1852 | X=0320.760-0368.140 | Y=0300.340-0311.580 | Đường Hồ
P=1852 | X=0121.730-0213.280 | Y=0306.100-0317.340 | Đường Bùi Thị Xuân
P=1852 | X=0100.130-0111.250 | Y=0307.980-0317.300 | 23
P=1852 | X=0414.860-0431.500 | Y=0307.980-0317.300 | 430
P=1852 | X=0459.530-0476.170 | Y=0307.980-0317.300 | 340
P=1852 | X=0505.390-0522.030 | Y=0307.980-0317.300 | 200
P=1852 | X=0320.760-0378.440 | Y=0311.860-0323.100 | Xuân Hương
P=1852 | X=0250.900-0289.370 | Y=0313.740-0323.060 | Thai Mai
P=1852 | X=0250.900-0306.200 | Y=0329.620-0340.860 | Đường Trần
P=1852 | X=0320.760-0365.880 | Y=0329.620-0340.860 | Đường Lý
P=1852 | X=0121.730-0219.980 | Y=0335.380-0346.620 | Đường Đặng Trần Thi
P=1852 | X=0100.130-0111.250 | Y=0337.260-0346.580 | 24
P=1852 | X=0414.860-0431.500 | Y=0337.260-0346.580 | 430
P=1852 | X=0459.530-0476.170 | Y=0337.260-0346.580 | 340
P=1852 | X=0505.390-0522.030 | Y=0337.260-0346.580 | 200
P=1852 | X=0250.900-0297.080 | Y=0341.140-0352.380 | Hưng Đạo
P=1852 | X=0320.760-0377.100 | Y=0341.140-0352.380 | Thường Kiệt
P=1852 | X=0250.900-0306.200 | Y=0358.900-0370.140 | Đường Trần
P=1852 | X=0320.760-0373.650 | Y=0358.900-0370.140 | Đường Cao
P=1852 | X=0121.730-0219.980 | Y=0364.660-0375.900 | Đường Đặng Trần Thi
P=1852 | X=0100.130-0111.250 | Y=0366.540-0375.860 | 25
P=1852 | X=0414.860-0431.500 | Y=0366.540-0375.860 | 430
P=1852 | X=0459.530-0476.170 | Y=0366.540-0375.860 | 340
P=1852 | X=0505.390-0522.030 | Y=0366.540-0375.860 | 200
P=1852 | X=0250.900-0297.080 | Y=0370.200-0381.440 | Hưng Đạo
P=1852 | X=0320.760-0364.450 | Y=0372.080-0381.400 | Xuân Huy
P=1852 | X=0250.900-0302.320 | Y=0387.960-0399.200 | Ngã tư Bàu
P=1852 | X=0320.760-0368.120 | Y=0387.960-0399.200 | Đường Cù
P=1852 | X=0121.730-0189.010 | Y=0393.720-0404.960 | Đường ĐT 753
P=1852 | X=0100.130-0111.250 | Y=0395.600-0404.920 | 26
P=1852 | X=0414.860-0431.500 | Y=0395.600-0404.920 | 800
P=1852 | X=0459.530-0476.170 | Y=0395.600-0404.920 | 640
P=1852 | X=0505.390-0522.030 | Y=0395.600-0404.920 | 380
P=1852 | X=0250.900-0271.050 | Y=0401.360-0410.680 | Trúc
P=1852 | X=0320.760-0366.920 | Y=0401.360-0410.680 | Chính Lan
P=1852 | X=0250.900-0298.260 | Y=0417.240-0428.480 | Đường Cù
P=1852 | X=0121.730-0189.010 | Y=0423.000-0434.240 | Đường ĐT 753
P=1852 | X=0100.130-0111.250 | Y=0424.880-0434.200 | 27
P=1852 | X=0320.760-0377.030 | Y=0424.880-0434.200 | Cầu Rạt nhỏ
P=1852 | X=0414.860-0431.500 | Y=0424.880-0434.200 | 800
P=1852 | X=0459.530-0476.170 | Y=0424.880-0434.200 | 640
P=1852 | X=0505.390-0522.030 | Y=0424.880-0434.200 | 380
P=1852 | X=0250.900-0297.060 | Y=0430.640-0439.960 | Chính Lan
P=1852 | X=0320.760-0374.860 | Y=0448.400-0457.720 | Cầu Rạt lớn
P=1852 | X=0320.760-0365.960 | Y=0459.940-0469.260 | (giáp ranh
P=1852 | X=0121.730-0189.010 | Y=0463.820-0475.060 | Đường ĐT 753
P=1852 | X=0100.130-0111.250 | Y=0465.700-0475.020 | 28
P=1852 | X=0250.900-0307.170 | Y=0465.700-0475.020 | Cầu Rạt nhỏ
P=1852 | X=0414.860-0431.500 | Y=0465.700-0475.020 | 800
P=1852 | X=0459.530-0476.170 | Y=0465.700-0475.020 | 640
P=1852 | X=0505.390-0522.030 | Y=0465.700-0475.020 | 380
P=1852 | X=0320.760-0374.630 | Y=0469.580-0480.820 | huyện Đồng
P=1852 | X=0320.760-0362.020 | Y=0481.100-0492.340 | Phú (cũ))
P=1852 | X=0250.900-0376.060 | Y=0498.860-0510.100 | Đường 6 tháng Đường Trần
P=1852 | X=0121.730-0209.680 | Y=0504.620-0515.860 | Đường Hà Huy Tập
P=1852 | X=0100.130-0111.250 | Y=0506.500-0515.820 | 29
P=1852 | X=0414.860-0431.500 | Y=0506.500-0515.820 | 430
P=1852 | X=0459.530-0476.170 | Y=0506.500-0515.820 | 340
P=1852 | X=0505.390-0522.030 | Y=0506.500-0515.820 | 200
P=1852 | X=0320.760-0366.940 | Y=0510.380-0521.620 | Hưng Đạo
P=1852 | X=0250.900-0256.500 | Y=0512.260-0521.580 | 1
P=1852 | X=0250.900-0306.200 | Y=0528.140-0539.380 | Đường Trần
P=1852 | X=0320.760-0381.260 | Y=0528.140-0539.380 | Đường Phạm
P=1852 | X=0121.730-0209.680 | Y=0533.930-0545.170 | Đường Hà Huy Tập
P=1852 | X=0100.130-0111.250 | Y=0535.810-0545.130 | 30
P=1852 | X=0414.860-0431.500 | Y=0535.810-0545.130 | 430
P=1852 | X=0459.530-0476.170 | Y=0535.810-0545.130 | 340
P=1852 | X=0505.390-0522.030 | Y=0535.810-0545.130 | 200
P=1852 | X=0250.900-0297.080 | Y=0539.690-0550.930 | Hưng Đạo
P=1852 | X=0320.760-0357.560 | Y=0539.690-0550.930 | Đình Hổ
P=1852 | X=0250.900-0389.230 | Y=0557.450-0568.690 | Đường Quốc lộ Đường Trương
P=1852 | X=0121.730-0216.360 | Y=0563.210-0574.450 | Đường Hai Bà Trưng
P=1852 | X=0100.130-0111.250 | Y=0565.090-0574.410 | 31
P=1852 | X=0414.860-0431.500 | Y=0565.090-0574.410 | 430
P=1852 | X=0459.530-0476.170 | Y=0565.090-0574.410 | 340
P=1852 | X=0505.390-0522.030 | Y=0565.090-0574.410 | 200
P=1852 | X=0320.760-0368.140 | Y=0568.970-0580.210 | Công Định
P=1852 | X=0250.900-0262.020 | Y=0570.850-0580.170 | 14
P=1852 | X=0250.900-0386.380 | Y=0586.490-0597.730 | Đường Trương Đường Bùi Thị
P=1852 | X=0121.730-0216.360 | Y=0592.250-0603.490 | Đường Hai Bà Trưng
P=1852 | X=0100.130-0111.250 | Y=0594.130-0603.450 | 32
P=1852 | X=0414.860-0431.500 | Y=0594.130-0603.450 | 430
P=1852 | X=0459.530-0476.170 | Y=0594.130-0603.450 | 340
P=1852 | X=0505.390-0522.030 | Y=0594.130-0603.450 | 200
P=1852 | X=0250.900-0298.260 | Y=0598.010-0609.250 | Công Định
P=1852 | X=0320.760-0343.890 | Y=0599.890-0609.210 | Xuân
P=1852 | X=0250.900-0298.280 | Y=0615.770-0627.010 | Đường Hồ
P=1852 | X=0320.760-0389.740 | Y=0615.770-0627.010 | Đường Nguyễn
P=1852 | X=0121.730-0200.510 | Y=0621.550-0632.790 | Đường Hàm Nghi
P=1852 | X=0100.130-0111.250 | Y=0623.430-0632.750 | 33
P=1852 | X=0414.860-0431.500 | Y=0623.430-0632.750 | 430
P=1852 | X=0459.530-0476.170 | Y=0623.430-0632.750 | 340
P=1852 | X=0505.390-0522.030 | Y=0623.430-0632.750 | 200
P=1852 | X=0250.900-0308.580 | Y=0627.310-0638.550 | Xuân Hương
P=1852 | X=0320.760-0371.860 | Y=0629.190-0638.510 | Bỉnh Khiêm
P=1852 | X=0250.900-0389.260 | Y=0645.070-0656.310 | Đường Nguyễn Đường Trường
P=1852 | X=0121.730-0200.510 | Y=0650.830-0662.070 | Đường Hàm Nghi
P=1852 | X=0100.130-0111.250 | Y=0652.710-0662.030 | 34
P=1852 | X=0414.860-0431.500 | Y=0652.710-0662.030 | 430
P=1852 | X=0459.530-0476.170 | Y=0652.710-0662.030 | 340
P=1852 | X=0505.390-0522.030 | Y=0652.710-0662.030 | 200
P=1852 | X=0250.900-0302.000 | Y=0658.470-0667.790 | Bỉnh Khiêm
P=1852 | X=0320.760-0347.000 | Y=0658.470-0667.790 | Chinh
P=1852 | X=0250.900-0376.200 | Y=0674.350-0685.590 | Đường Trường Đường Hàm
P=1852 | X=0121.730-0229.590 | Y=0680.110-0691.350 | Đường Hồ Xuân Hương
P=1852 | X=0100.130-0111.250 | Y=0681.990-0691.310 | 35
P=1852 | X=0414.860-0431.500 | Y=0681.990-0691.310 | 430
P=1852 | X=0459.530-0476.170 | Y=0681.990-0691.310 | 340
P=1852 | X=0505.390-0522.030 | Y=0681.990-0691.310 | 200
P=1852 | X=0250.900-0277.140 | Y=0687.750-0697.070 | Chinh
P=1852 | X=0320.760-0341.250 | Y=0687.750-0697.070 | Nghi
P=1852 | X=0121.730-0229.590 | Y=0703.650-0714.890 | Đường Hồ Xuân Hương
P=1852 | X=0250.900-0306.340 | Y=0703.650-0714.890 | Đường Hàm
P=1852 | X=0320.760-0366.450 | Y=0703.650-0714.890 | Đường Lê
P=1852 | X=0100.130-0111.250 | Y=0705.540-0714.860 | 36
P=1852 | X=0414.860-0431.500 | Y=0705.540-0714.860 | 430
P=1852 | X=0459.530-0476.170 | Y=0705.540-0714.860 | 340
