TABLE=002 | AREA=Phường Trấn Biên | SECTION=agricultural | SEGMENTS=1
P=0020 | X=0098.690-0336.260 | Y=0644.590-0658.910 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0020 | X=0468.890-0485.530 | Y=0649.590-0658.910 | 860
P=0020 | X=0505.390-0522.030 | Y=0649.590-0658.910 | 570
P=0020 | X=0113.090-0419.510 | Y=0662.110-0673.350 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0020 | X=0113.090-0146.610 | Y=0673.630-0684.870 | ≤600m.
P=0020 | X=0113.090-0336.260 | Y=0691.150-0702.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0021 | X=0113.090-0432.730 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0021 | X=0113.090-0449.050 | Y=0090.020-0101.260 | Nguyễn Tri Phương đoạn từ Cầu Rạch Cát đến Cầu Ghềnh có hiện trạng là
P=0021 | X=0113.090-0248.860 | Y=0101.540-0112.780 | đường nhựa, bê tông xi măng:
P=0021 | X=0098.690-0104.290 | Y=0109.420-0118.740 | 7
P=0021 | X=0468.890-0485.530 | Y=0109.420-0118.740 | 670
P=0021 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 450
P=0021 | X=0113.090-0390.520 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0021 | X=0113.090-0339.380 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0021 | X=0252.580-0333.080 | Y=0154.370-0165.610 | Đường Nguyễn Ái
P=0021 | X=0346.680-0438.500 | Y=0154.370-0165.610 | Đường Nguyễn Bỉnh
P=0021 | X=0098.690-0223.830 | Y=0160.130-0171.370 | 8 Đường Huỳnh Văn Nghệ
P=0021 | X=0460.730-0485.780 | Y=0162.010-0171.330 | 1.500
P=0021 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 970
P=0021 | X=0252.580-0276.580 | Y=0167.530-0176.850 | Quốc
P=0021 | X=0346.680-0374.980 | Y=0167.530-0176.850 | Khiêm
P=0021 | X=0113.090-0440.410 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0021 | X=0113.090-0438.010 | Y=0194.930-0206.170 | đoạn từ Đường Nguyễn Ái Quốc đến Đường Nguyễn Bỉnh Khiêm có hiện
P=0021 | X=0113.090-0284.910 | Y=0206.470-0217.710 | trạng là đường nhựa, bê tông xi măng:
P=0021 | X=0098.690-0104.290 | Y=0214.350-0223.670 | 9
P=0021 | X=0460.730-0485.780 | Y=0214.350-0223.670 | 1.030
P=0021 | X=0505.390-0522.030 | Y=0214.350-0223.670 | 680
P=0021 | X=0113.090-0336.000 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0021 | X=0113.090-0390.280 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0021 | X=0113.090-0440.410 | Y=0259.270-0270.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0021 | X=0113.090-0438.010 | Y=0270.790-0282.030 | đoạn từ Đường Nguyễn Ái Quốc đến Đường Nguyễn Bỉnh Khiêm có hiện
P=0021 | X=0113.090-0284.870 | Y=0282.340-0293.580 | trạng là đường nhựa, bê tông xi măng:
P=0021 | X=0096.050-0336.260 | Y=0299.860-0313.940 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0021 | X=0468.890-0485.530 | Y=0304.620-0313.940 | 860
P=0021 | X=0505.390-0522.030 | Y=0304.620-0313.940 | 570
P=0021 | X=0113.090-0419.510 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0021 | X=0113.090-0146.610 | Y=0328.900-0340.140 | ≤600m.
P=0021 | X=0113.090-0336.260 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0021 | X=0113.090-0440.410 | Y=0363.940-0375.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0021 | X=0113.090-0438.010 | Y=0375.480-0386.720 | đoạn từ Đường Nguyễn Ái Quốc đến Đường Nguyễn Bỉnh Khiêm có hiện
P=0021 | X=0113.090-0284.870 | Y=0387.000-0398.240 | trạng là đường nhựa, bê tông xi măng:
P=0021 | X=0096.050-0107.170 | Y=0394.880-0404.200 | 11
P=0021 | X=0468.890-0485.530 | Y=0394.880-0404.200 | 670
P=0021 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 450
P=0021 | X=0113.090-0390.520 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0021 | X=0113.090-0336.730 | Y=0422.040-0433.280 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0021 | X=0113.090-0432.730 | Y=0439.800-0451.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0021 | X=0113.090-0427.690 | Y=0451.340-0462.580 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Ái Quốc đến Đường Nguyễn
P=0021 | X=0113.090-0373.700 | Y=0462.860-0474.100 | Bỉnh Khiêm có hiện trạng là đường nhựa, bê tông xi măng:
P=0021 | X=0096.050-0107.170 | Y=0470.740-0480.060 | 12
P=0021 | X=0460.730-0485.780 | Y=0470.740-0480.060 | 1.030
P=0021 | X=0505.390-0522.030 | Y=0470.740-0480.060 | 680
P=0021 | X=0113.090-0336.000 | Y=0480.380-0491.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0021 | X=0113.090-0390.280 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0021 | X=0113.090-0432.730 | Y=0515.660-0526.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0021 | X=0113.090-0427.690 | Y=0527.180-0538.420 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Ái Quốc đến Đường Nguyễn
P=0021 | X=0113.090-0373.700 | Y=0538.490-0549.730 | Bỉnh Khiêm có hiện trạng là đường nhựa, bê tông xi măng:
P=0021 | X=0096.050-0336.260 | Y=0556.010-0570.330 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0021 | X=0468.890-0485.530 | Y=0561.010-0570.330 | 860
P=0021 | X=0505.390-0522.030 | Y=0561.010-0570.330 | 570
P=0021 | X=0113.090-0419.510 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0021 | X=0113.090-0146.610 | Y=0585.050-0596.290 | ≤600m.
P=0021 | X=0113.090-0336.260 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0021 | X=0113.090-0432.730 | Y=0620.350-0631.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0021 | X=0113.090-0427.690 | Y=0631.870-0643.110 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Ái Quốc đến Đường Nguyễn
P=0021 | X=0113.090-0373.700 | Y=0643.390-0654.630 | Bỉnh Khiêm có hiện trạng là đường nhựa, bê tông xi măng:
P=0021 | X=0096.050-0107.170 | Y=0651.270-0660.590 | 14
P=0021 | X=0468.890-0485.530 | Y=0651.270-0660.590 | 670
P=0021 | X=0505.390-0522.030 | Y=0651.270-0660.590 | 450
P=0021 | X=0113.090-0390.520 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0021 | X=0113.090-0339.380 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0021 | X=0252.580-0344.370 | Y=0696.190-0707.430 | Đường Nguyễn Bỉnh
P=0021 | X=0096.050-0223.830 | Y=0701.970-0713.210 | 15 Đường Huỳnh Văn Nghệ
P=0021 | X=0346.680-0446.080 | Y=0701.970-0713.210 | Đường Ngô Thì Nhậm
P=0021 | X=0460.730-0485.780 | Y=0703.860-0713.180 | 1.500
P=0021 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 970
P=0021 | X=0252.580-0280.880 | Y=0709.620-0718.940 | Khiêm
P=0022 | X=0113.090-0440.410 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0022 | X=0113.090-0430.100 | Y=0090.020-0101.260 | đoạn từ Đường Nguyễn Bỉnh Khiêm đến Đường Ngô Thì Nhậm có hiện
P=0022 | X=0113.090-0284.870 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=0022 | X=0096.050-0107.170 | Y=0109.420-0118.740 | 16
P=0022 | X=0460.730-0485.780 | Y=0109.420-0118.740 | 1.030
P=0022 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 680
P=0022 | X=0113.090-0336.000 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0022 | X=0113.090-0390.280 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0022 | X=0113.090-0440.410 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0022 | X=0113.090-0430.100 | Y=0165.650-0176.890 | đoạn từ Đường Nguyễn Bỉnh Khiêm đến Đường Ngô Thì Nhậm có hiện
P=0022 | X=0113.090-0284.870 | Y=0177.170-0188.410 | trạng là đường nhựa, bê tông xi măng:
P=0022 | X=0096.050-0336.260 | Y=0194.690-0209.030 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0022 | X=0468.890-0485.530 | Y=0199.710-0209.030 | 860
P=0022 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 570
P=0022 | X=0113.090-0419.510 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0022 | X=0113.090-0146.610 | Y=0223.750-0234.990 | ≤600m.
P=0022 | X=0113.090-0336.260 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0022 | X=0113.090-0440.410 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0022 | X=0113.090-0430.100 | Y=0270.550-0281.790 | đoạn từ Đường Nguyễn Bỉnh Khiêm đến Đường Ngô Thì Nhậm có hiện
P=0022 | X=0113.090-0284.870 | Y=0282.100-0293.340 | trạng là đường nhựa, bê tông xi măng:
P=0022 | X=0096.050-0107.170 | Y=0289.980-0299.300 | 18
P=0022 | X=0468.890-0485.530 | Y=0289.980-0299.300 | 670
P=0022 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 450
P=0022 | X=0113.090-0390.520 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0022 | X=0113.090-0336.730 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0022 | X=0113.090-0432.730 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0022 | X=0113.090-0444.290 | Y=0346.420-0357.660 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Bỉnh Khiêm đến Đường Ngô Thì
P=0022 | X=0113.090-0349.450 | Y=0357.700-0368.940 | Nhậm có hiện trạng là đường nhựa, bê tông xi măng:
P=0022 | X=0096.050-0107.170 | Y=0365.580-0374.900 | 19
P=0022 | X=0460.730-0485.780 | Y=0365.580-0374.900 | 1.030
P=0022 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 680
P=0022 | X=0113.090-0336.000 | Y=0375.240-0386.480 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0022 | X=0113.090-0390.280 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0022 | X=0113.090-0432.730 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0022 | X=0113.090-0444.290 | Y=0422.040-0433.280 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Bỉnh Khiêm đến Đường Ngô Thì
P=0022 | X=0113.090-0349.450 | Y=0433.560-0444.800 | Nhậm có hiện trạng là đường nhựa, bê tông xi măng:
P=0022 | X=0096.050-0336.260 | Y=0451.100-0465.180 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0022 | X=0468.890-0485.530 | Y=0455.860-0465.180 | 860
P=0022 | X=0505.390-0522.030 | Y=0455.860-0465.180 | 570
P=0022 | X=0113.090-0419.510 | Y=0468.620-0479.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0022 | X=0113.090-0146.610 | Y=0480.140-0491.380 | ≤600m.
P=0022 | X=0113.090-0336.260 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0022 | X=0113.090-0432.730 | Y=0515.420-0526.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0022 | X=0113.090-0444.290 | Y=0526.940-0538.180 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Bỉnh Khiêm đến Đường Ngô Thì
P=0022 | X=0113.090-0349.480 | Y=0538.250-0549.490 | Nhậm có hiện trạng là đường nhựa, bê tông xi măng:
P=0022 | X=0096.050-0107.170 | Y=0546.130-0555.450 | 21
P=0022 | X=0468.890-0485.530 | Y=0546.130-0555.450 | 670
P=0022 | X=0505.390-0522.030 | Y=0546.130-0555.450 | 450
P=0022 | X=0113.090-0390.520 | Y=0555.770-0567.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0022 | X=0113.090-0339.380 | Y=0573.290-0584.530 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0022 | X=0252.580-0322.570 | Y=0591.050-0602.290 | Đường Ngô Thì
P=0022 | X=0346.680-0430.070 | Y=0591.050-0602.290 | Đường Võ Trường
P=0022 | X=0096.050-0223.830 | Y=0596.810-0608.050 | 22 Đường Huỳnh Văn Nghệ
P=0022 | X=0460.730-0485.780 | Y=0598.690-0608.010 | 1.500
P=0022 | X=0505.390-0522.030 | Y=0598.690-0608.010 | 970
P=0022 | X=0252.580-0279.220 | Y=0604.450-0613.770 | Nhậm
P=0022 | X=0346.680-0369.580 | Y=0604.450-0613.770 | Toản
P=0022 | X=0113.090-0440.410 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0022 | X=0113.090-0441.610 | Y=0631.870-0643.110 | đoạn từ Đường Ngô Thì Nhậm đến Đường Võ Trường Toản có hiện trạng
P=0022 | X=0113.090-0259.420 | Y=0643.390-0654.630 | là đường nhựa, bê tông xi măng:
P=0022 | X=0096.050-0107.170 | Y=0651.270-0660.590 | 23
P=0022 | X=0460.730-0485.780 | Y=0651.270-0660.590 | 1.030
P=0022 | X=0505.390-0522.030 | Y=0651.270-0660.590 | 680
P=0022 | X=0113.090-0336.000 | Y=0660.910-0672.150 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0022 | X=0113.090-0390.280 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0022 | X=0113.090-0440.410 | Y=0696.190-0707.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0022 | X=0096.050-0107.170 | Y=0703.860-0713.180 | 24
P=0022 | X=0468.890-0485.530 | Y=0703.860-0713.180 | 860
P=0022 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 570
P=0022 | X=0113.090-0441.610 | Y=0707.730-0718.970 | đoạn từ Đường Ngô Thì Nhậm đến Đường Võ Trường Toản có hiện trạng
P=0023 | X=0113.090-0259.420 | Y=0072.500-0083.740 | là đường nhựa, bê tông xi măng:
P=0023 | X=0113.090-0336.260 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0023 | X=0113.090-0419.510 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0023 | X=0113.090-0146.610 | Y=0119.090-0130.330 | ≤600m.
P=0023 | X=0113.090-0336.260 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0023 | X=0113.090-0440.410 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0023 | X=0113.090-0441.610 | Y=0165.650-0176.890 | đoạn từ Đường Ngô Thì Nhậm đến Đường Võ Trường Toản có hiện trạng
P=0023 | X=0113.090-0259.420 | Y=0177.170-0188.410 | là đường nhựa, bê tông xi măng:
P=0023 | X=0096.050-0107.170 | Y=0185.050-0194.370 | 25
P=0023 | X=0468.890-0485.530 | Y=0185.050-0194.370 | 670
P=0023 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 450
P=0023 | X=0113.090-0390.520 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0023 | X=0113.090-0336.730 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0023 | X=0113.090-0432.730 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0023 | X=0113.090-0434.420 | Y=0241.510-0252.750 | Huỳnh Văn Nghệ đoạn từ Đường Ngô Thì Nhậm đến Đường Võ Trường
P=0023 | X=0113.090-0345.620 | Y=0253.030-0264.270 | Toản có hiện trạng là đường nhựa, bê tông xi măng:
P=0023 | X=0096.050-0107.170 | Y=0260.910-0270.230 | 26
P=0023 | X=0460.730-0485.780 | Y=0260.910-0270.230 | 1.030
P=0023 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 680
P=0023 | X=0113.090-0336.000 | Y=0270.550-0281.790 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0023 | X=0113.090-0390.280 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0023 | X=0113.090-0432.730 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0023 | X=0113.090-0434.420 | Y=0317.380-0328.620 | Huỳnh Văn Nghệ đoạn từ Đường Ngô Thì Nhậm đến Đường Võ Trường
P=0023 | X=0113.090-0345.610 | Y=0328.900-0340.140 | Toản có hiện trạng là đường nhựa, bê tông xi măng:
P=0023 | X=0096.050-0336.260 | Y=0346.420-0360.500 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0023 | X=0468.890-0485.530 | Y=0351.180-0360.500 | 860
P=0023 | X=0505.390-0522.030 | Y=0351.180-0360.500 | 570
P=0023 | X=0113.090-0419.510 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0023 | X=0113.090-0146.610 | Y=0375.240-0386.480 | ≤600m.
P=0023 | X=0113.090-0336.260 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0023 | X=0113.090-0432.730 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0023 | X=0113.090-0434.420 | Y=0422.040-0433.280 | Huỳnh Văn Nghệ đoạn từ Đường Ngô Thì Nhậm đến Đường Võ Trường
P=0023 | X=0113.090-0345.610 | Y=0433.560-0444.800 | Toản có hiện trạng là đường nhựa, bê tông xi măng:
P=0023 | X=0096.050-0107.170 | Y=0441.440-0450.760 | 28
P=0023 | X=0468.890-0485.530 | Y=0441.440-0450.760 | 670
P=0023 | X=0505.390-0522.030 | Y=0441.440-0450.760 | 450
P=0023 | X=0113.090-0390.520 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0023 | X=0113.090-0339.380 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0023 | X=0252.580-0335.970 | Y=0486.380-0497.620 | Đường Võ Trường
P=0023 | X=0096.050-0223.830 | Y=0492.140-0503.380 | 29 Đường Huỳnh Văn Nghệ
P=0023 | X=0346.680-0417.810 | Y=0494.020-0503.340 | Ngã ba Gạc Nai
P=0023 | X=0460.730-0485.780 | Y=0494.020-0503.340 | 1.500
P=0023 | X=0505.390-0522.030 | Y=0494.020-0503.340 | 970
P=0023 | X=0252.580-0275.460 | Y=0499.780-0509.100 | Toản
P=0023 | X=0113.090-0440.410 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0023 | X=0113.090-0424.050 | Y=0527.180-0538.420 | đoạn từ Đường Võ Trường Toản đến Ngã ba Gạc Nai có hiện trạng là
P=0023 | X=0113.090-0248.900 | Y=0538.490-0549.730 | đường nhựa, bê tông xi măng:
P=0023 | X=0096.050-0107.170 | Y=0546.370-0555.690 | 30
P=0023 | X=0460.730-0485.780 | Y=0546.370-0555.690 | 1.030
P=0023 | X=0505.390-0522.030 | Y=0546.370-0555.690 | 680
P=0023 | X=0113.090-0336.000 | Y=0556.010-0567.250 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0023 | X=0113.090-0390.280 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0023 | X=0113.090-0440.410 | Y=0591.290-0602.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn Nghệ
P=0023 | X=0113.090-0424.050 | Y=0602.810-0614.050 | đoạn từ Đường Võ Trường Toản đến Ngã ba Gạc Nai có hiện trạng là
