TABLE=067 | AREA=Xã Đồng Tâm | SECTION=agricultural | SEGMENTS=1
P=2028 | X=0287.140-0356.760 | Y=0294.340-0305.580 | Hết đường B3 -
P=2028 | X=0199.990-0208.870 | Y=0301.980-0311.300 | 2)
P=2028 | X=0287.140-0373.660 | Y=0305.860-0317.100 | ranh giữa ấp Cầu 2
P=2028 | X=0287.140-0369.100 | Y=0317.380-0328.620 | và ấp Đồng Tiến 4
P=2028 | X=0287.140-0361.880 | Y=0328.900-0340.140 | (bên phải đường
P=2028 | X=0287.140-0339.000 | Y=0342.060-0351.380 | Quốc lộ 14)
P=2028 | X=0199.990-0273.500 | Y=0358.180-0369.420 | Giáp ranh Nghĩa
P=2028 | X=0199.990-0268.030 | Y=0369.720-0380.960 | trang liệt sĩ tỉnh
P=2028 | X=0287.140-0365.480 | Y=0375.480-0386.720 | Đường bê tông đi
P=2028 | X=0199.990-0283.580 | Y=0381.240-0392.480 | hướng đi xã Nghĩa
P=2028 | X=0287.140-0356.360 | Y=0387.000-0398.240 | vào Đội 4 - Khu
P=2028 | X=0199.990-0266.770 | Y=0392.760-0404.000 | Trưng (bên trái
P=2028 | X=0287.140-0361.900 | Y=0398.520-0409.760 | dân cư kiểu mẫu
P=2028 | X=0199.990-0284.500 | Y=0404.280-0415.520 | đường Quốc lộ 14)
P=2028 | X=0098.210-0195.510 | Y=0410.040-0421.280 | 2 Đường Quốc lộ 14
P=2028 | X=0287.140-0355.880 | Y=0410.040-0421.280 | ấp Đồng Tiến 4
P=2028 | X=0392.060-0408.700 | Y=0411.920-0421.240 | 252
P=2028 | X=0429.290-0445.930 | Y=0411.920-0421.240 | 202
P=2028 | X=0466.970-0483.610 | Y=0411.920-0421.240 | 161
P=2028 | X=0511.150-0522.270 | Y=0411.920-0421.240 | 64
P=2028 | X=0199.990-0269.620 | Y=0415.800-0427.040 | Hết đường B3 -
P=2028 | X=0287.140-0357.800 | Y=0421.560-0432.800 | (hết thửa đất số
P=2028 | X=0199.990-0286.490 | Y=0427.320-0438.560 | ranh giữa ấp Câu 2
P=2028 | X=0287.140-0359.980 | Y=0433.080-0444.320 | 39, tờ bản đồ số
P=2028 | X=0199.990-0281.940 | Y=0438.840-0450.080 | và ấp Đồng Tiến 4
P=2028 | X=0287.140-0307.060 | Y=0446.480-0455.800 | 122)
P=2028 | X=0199.990-0274.740 | Y=0450.380-0461.620 | (bên phải đường
P=2028 | X=0199.990-0251.860 | Y=0463.780-0473.100 | Quốc lộ 14)
P=2028 | X=0287.140-0369.100 | Y=0479.900-0491.140 | Hết ranh đất Công
P=2028 | X=0287.140-0370.210 | Y=0493.300-0502.620 | ty TNHH Nam Anh
P=2028 | X=0199.990-0357.800 | Y=0500.060-0514.180 | Đường bê tông đi (hết thửa đất số
P=2028 | X=0199.990-0269.220 | Y=0511.580-0522.820 | vào Đội 4 - Khu
P=2028 | X=0287.140-0359.980 | Y=0514.220-0525.460 | 51, tờ bản đồ số
P=2028 | X=0199.990-0307.060 | Y=0523.100-0536.940 | dân cư kiểu mẫu 101)
P=2028 | X=0098.210-0268.740 | Y=0534.650-0545.890 | 3 Đường Quốc lộ 14 ấp Đồng Tiến 4
P=2028 | X=0392.060-0408.700 | Y=0536.530-0545.850 | 252
P=2028 | X=0429.290-0445.930 | Y=0536.530-0545.850 | 202
P=2028 | X=0466.970-0483.610 | Y=0536.530-0545.850 | 161
P=2028 | X=0511.150-0522.270 | Y=0536.530-0545.850 | 64
P=2028 | X=0199.990-0360.830 | Y=0543.290-0557.410 | (Hết thửa đất số Hết ranh đất cây
P=2028 | X=0199.990-0361.180 | Y=0554.810-0568.930 | 39, tờ bản đồ số xăng Cường Đại
P=2028 | X=0287.140-0367.990 | Y=0566.330-0577.570 | Phát (hết thửa đất
P=2028 | X=0199.990-0219.910 | Y=0571.090-0580.410 | 122)
P=2028 | X=0287.140-0367.660 | Y=0577.850-0589.090 | số 4, tờ bản đồ số
P=2028 | X=0287.140-0307.060 | Y=0591.250-0600.570 | 100)
P=2028 | X=0199.990-0281.940 | Y=0607.370-0618.610 | Hết ranh đất Công
P=2028 | X=0199.990-0283.060 | Y=0620.790-0630.110 | ty TNHH Nam Anh
P=2028 | X=0199.990-0270.660 | Y=0630.430-0641.670 | (hết thửa đất số
P=2028 | X=0287.140-0355.160 | Y=0633.310-0644.550 | Đường bê tông
P=2028 | X=0199.990-0371.270 | Y=0641.950-0656.070 | 51, tờ bản đồ số vào đội 5, ấp Đồng
P=2028 | X=0098.210-0219.910 | Y=0655.350-0667.590 | 4 Đường Quốc lộ 14 101)
P=2028 | X=0287.140-0372.220 | Y=0656.350-0667.590 | Tâm 4 (thửa đất số
P=2028 | X=0392.060-0408.700 | Y=0658.230-0667.550 | 252
P=2028 | X=0429.290-0445.930 | Y=0658.230-0667.550 | 202
P=2028 | X=0466.970-0483.610 | Y=0658.230-0667.550 | 161
P=2028 | X=0511.150-0522.270 | Y=0658.230-0667.550 | 64
P=2028 | X=0199.990-0365.500 | Y=0667.870-0681.990 | Hết ranh đất cây 238, tờ bản đồ số
P=2028 | X=0199.990-0307.060 | Y=0681.270-0693.510 | xăng Cường Đại 241)
P=2028 | X=0199.990-0280.830 | Y=0693.790-0705.030 | Phát (hết thửa đất
P=2028 | X=0199.990-0280.500 | Y=0705.330-0716.570 | số 4, tờ bản đồ số
P=2029 | X=0199.990-0219.910 | Y=0074.620-0083.940 | 100)
P=2029 | X=0199.990-0271.870 | Y=0090.740-0101.980 | Hết ranh trường
P=2029 | X=0199.990-0265.140 | Y=0102.260-0113.500 | Tiểu học Đồng
P=2029 | X=0199.990-0365.710 | Y=0113.780-0125.020 | Tâm (thửa đất số Hết ranh Nhà văn
P=2029 | X=0199.990-0367.070 | Y=0125.330-0136.570 | 298, tờ bản đồ số hóa ấp Đồng Tâm
P=2029 | X=0098.210-0268.510 | Y=0136.850-0148.090 | 5 Đường Quốc lộ 14 229) Đường bê
P=2029 | X=0287.140-0360.950 | Y=0138.730-0148.050 | 5 (Hết ranh thửa
P=2029 | X=0392.060-0408.700 | Y=0138.730-0148.050 | 252
P=2029 | X=0429.290-0445.930 | Y=0138.730-0148.050 | 202
P=2029 | X=0466.970-0483.610 | Y=0138.730-0148.050 | 161
P=2029 | X=0511.150-0522.270 | Y=0138.730-0148.050 | 47
P=2029 | X=0199.990-0368.380 | Y=0148.370-0159.610 | tông vào đội 5, ấp đất số 105, tờ bản
P=2029 | X=0199.990-0334.200 | Y=0159.650-0170.890 | Đồng Tâm 4 (thửa đồ số 186)
P=2029 | X=0199.990-0281.220 | Y=0171.170-0182.410 | đất số 238, tờ bản
P=2029 | X=0199.990-0247.060 | Y=0182.690-0193.930 | đồ số 241)
P=2029 | X=0199.990-0278.540 | Y=0200.710-0211.950 | Hết ranh Nhà văn
P=2029 | X=0199.990-0279.930 | Y=0212.230-0223.470 | hóa ấp Đồng Tâm
P=2029 | X=0287.140-0344.580 | Y=0219.870-0229.190 | Giáp ranh xã
P=2029 | X=0098.210-0273.790 | Y=0223.750-0234.990 | 6 Đường Quốc lộ 14 5 (Hết ranh thửa
P=2029 | X=0392.060-0408.700 | Y=0225.630-0234.950 | 252
P=2029 | X=0429.290-0445.930 | Y=0225.630-0234.950 | 202
P=2029 | X=0466.970-0483.610 | Y=0225.630-0234.950 | 161
P=2029 | X=0511.150-0522.270 | Y=0225.630-0234.950 | 47
P=2029 | X=0287.140-0342.890 | Y=0229.510-0240.750 | Nghĩa Trung
P=2029 | X=0199.990-0281.220 | Y=0235.270-0246.510 | đất số 105, tờ bản
P=2029 | X=0199.990-0247.060 | Y=0246.790-0258.030 | đồ số 186)
P=2029 | X=0199.990-0283.620 | Y=0264.790-0276.030 | Giáp ranh Phường
P=2029 | X=0098.210-0179.890 | Y=0270.550-0281.790 | 7 Đường ĐT 753
P=2029 | X=0392.060-0408.700 | Y=0272.430-0281.750 | 252
P=2029 | X=0429.290-0445.930 | Y=0272.430-0281.750 | 202
P=2029 | X=0466.970-0483.610 | Y=0272.430-0281.750 | 161
P=2029 | X=0511.150-0522.270 | Y=0272.430-0281.750 | 54
P=2029 | X=0199.990-0254.020 | Y=0276.310-0287.550 | Bình Phước
P=2029 | X=0199.990-0267.990 | Y=0294.340-0305.580 | Đường bê tông
P=2029 | X=0199.990-0284.790 | Y=0305.860-0317.100 | giáp ranh cây xăng
P=2029 | X=0098.210-0179.890 | Y=0317.380-0328.620 | 8 Đường ĐT 753
P=2029 | X=0199.990-0280.990 | Y=0319.260-0328.580 | Nhật Quang (thửa
P=2029 | X=0392.060-0408.700 | Y=0319.260-0328.580 | 252
P=2029 | X=0429.290-0445.930 | Y=0319.260-0328.580 | 202
P=2029 | X=0466.970-0483.610 | Y=0319.260-0328.580 | 161
P=2029 | X=0511.150-0522.270 | Y=0319.260-0328.580 | 54
P=2029 | X=0199.990-0275.700 | Y=0328.900-0340.140 | đất số 63, tờ bản
P=2029 | X=0199.990-0241.540 | Y=0340.180-0351.420 | đồ số 45)
P=2029 | X=0098.210-0186.530 | Y=0358.180-0369.420 | 9 Đường ĐT 753B
P=2029 | X=0199.990-0248.580 | Y=0360.060-0369.380 | Quốc lộ 14
P=2029 | X=0392.060-0408.700 | Y=0360.060-0369.380 | 252
P=2029 | X=0429.290-0445.930 | Y=0360.060-0369.380 | 202
P=2029 | X=0466.970-0483.610 | Y=0360.060-0369.380 | 161
P=2029 | X=0511.150-0522.270 | Y=0360.060-0369.380 | 47
P=2029 | X=0095.570-0186.530 | Y=0376.200-0387.440 | 10 Đường ĐT 753B
P=2029 | X=0199.990-0255.780 | Y=0376.200-0387.440 | Đoạn còn lại
P=2029 | X=0392.060-0408.700 | Y=0378.080-0387.400 | 252
P=2029 | X=0429.290-0445.930 | Y=0378.080-0387.400 | 202
P=2029 | X=0466.490-0483.130 | Y=0378.080-0387.400 | 161
P=2029 | X=0511.150-0522.270 | Y=0378.080-0387.400 | 47
P=2029 | X=0112.610-0193.820 | Y=0394.200-0405.440 | Đường giao thông
P=2029 | X=0112.610-0192.630 | Y=0405.720-0416.960 | nông thôn đấu nối
P=2029 | X=0112.610-0199.590 | Y=0417.240-0428.480 | trục đường Quốc lộ
P=2029 | X=0112.610-0183.030 | Y=0428.760-0440.000 | 14 đoạn từ giáp
P=2029 | X=0112.610-0194.520 | Y=0440.280-0451.520 | ranh phường Bình
P=2029 | X=0112.610-0198.870 | Y=0451.820-0463.060 | Phước (Cầu 2) đến
P=2029 | X=0112.610-0178.920 | Y=0463.340-0474.580 | hết ranh Nghĩa
P=2029 | X=0112.610-0180.640 | Y=0474.860-0486.100 | trang liệt sĩ tỉnh
P=2029 | X=0095.570-0181.810 | Y=0486.380-0497.620 | 11 hướng đi xã Bù
P=2029 | X=0199.990-0250.260 | Y=0488.260-0497.580 | Toàn tuyến
P=2029 | X=0392.060-0408.700 | Y=0488.260-0497.580 | 195
P=2029 | X=0429.290-0445.930 | Y=0488.260-0497.580 | 156
P=2029 | X=0466.490-0483.130 | Y=0488.260-0497.580 | 125
P=2029 | X=0511.150-0522.270 | Y=0488.260-0497.580 | 64
P=2029 | X=0112.610-0176.040 | Y=0497.900-0509.140 | Đăng (bên trái
P=2029 | X=0112.610-0180.150 | Y=0509.420-0520.660 | đường Quốc lộ
P=2029 | X=0112.610-0194.560 | Y=0520.940-0532.180 | 14); hết đường B3
P=2029 | X=0112.610-0196.720 | Y=0532.220-0543.460 | - ranh giữa ấp Cầu
P=2029 | X=0112.610-0194.550 | Y=0543.770-0555.010 | 2 và ấp Đồng Tiến
P=2029 | X=0112.610-0195.510 | Y=0555.290-0566.530 | 4 (bên phải đường
P=2029 | X=0112.610-0192.850 | Y=0568.690-0578.010 | Quốc lộ 14)] trong
P=2029 | X=0112.610-0175.470 | Y=0580.210-0589.530 | phạm vi 200m
P=2029 | X=0112.610-0193.820 | Y=0596.330-0607.570 | Đường giao thông
P=2029 | X=0112.610-0192.630 | Y=0607.850-0619.090 | nông thôn đấu nối
P=2029 | X=0112.610-0199.590 | Y=0619.390-0630.630 | trục đường Quốc lộ
P=2029 | X=0095.570-0106.690 | Y=0627.030-0636.350 | 12
P=2029 | X=0199.990-0250.260 | Y=0627.030-0636.350 | Toàn tuyến
P=2029 | X=0392.060-0408.700 | Y=0627.030-0636.350 | 195
P=2029 | X=0429.290-0445.930 | Y=0627.030-0636.350 | 156
P=2029 | X=0466.490-0483.130 | Y=0627.030-0636.350 | 125
P=2029 | X=0511.150-0522.270 | Y=0627.030-0636.350 | 47
P=2029 | X=0112.610-0187.260 | Y=0630.910-0642.150 | 14 (đoạn còn lại)
P=2029 | X=0112.610-0173.400 | Y=0644.310-0653.630 | trong phạm vi
P=2029 | X=0112.610-0137.570 | Y=0655.830-0665.150 | 200m
P=2029 | X=0112.610-0195.510 | Y=0671.950-0683.190 | Đường ĐH Cây số
P=2029 | X=0112.610-0186.630 | Y=0683.470-0694.710 | 9 (đường kết nối
P=2029 | X=0095.570-0106.690 | Y=0691.110-0700.430 | 13
P=2029 | X=0199.990-0250.260 | Y=0691.110-0700.430 | Toàn tuyến
P=2029 | X=0392.060-0408.700 | Y=0691.110-0700.430 | 195
P=2029 | X=0429.290-0445.930 | Y=0691.110-0700.430 | 156
P=2029 | X=0466.490-0483.130 | Y=0691.110-0700.430 | 125
P=2029 | X=0511.150-0522.270 | Y=0691.110-0700.430 | 64
P=2029 | X=0112.610-0191.920 | Y=0696.630-0705.950 | ngang Quốc lộ 14
P=2029 | X=0112.610-0191.430 | Y=0706.290-0717.530 | với ĐT 755 và nối
P=2030 | X=0112.610-0184.470 | Y=0072.740-0083.980 | ĐT 753) đấu nối
P=2030 | X=0112.610-0199.590 | Y=0084.260-0095.500 | trục đường Quốc lộ
P=2030 | X=0112.610-0187.340 | Y=0097.660-0106.980 | 14 trong phạm vi
P=2030 | X=0112.610-0137.570 | Y=0109.180-0118.500 | 200m
P=2030 | X=0112.610-0195.510 | Y=0125.330-0136.570 | Đường ĐH Cây số
P=2030 | X=0112.610-0186.630 | Y=0136.850-0148.090 | 9 (đường kết nối
P=2030 | X=0112.610-0191.920 | Y=0150.250-0159.570 | ngang Quốc lộ 14
P=2030 | X=0112.610-0191.430 | Y=0159.650-0170.890 | với ĐT 755 và nối
P=2030 | X=0095.570-0106.690 | Y=0167.290-0176.610 | 14
P=2030 | X=0199.990-0250.260 | Y=0167.290-0176.610 | Toàn tuyến
P=2030 | X=0392.060-0408.700 | Y=0167.290-0176.610 | 195
P=2030 | X=0429.290-0445.930 | Y=0167.290-0176.610 | 156
P=2030 | X=0466.490-0483.130 | Y=0167.290-0176.610 | 125
P=2030 | X=0511.150-0522.270 | Y=0167.290-0176.610 | 64
P=2030 | X=0112.610-0184.470 | Y=0171.170-0182.410 | ĐT 753) đẩu nối
P=2030 | X=0112.610-0199.590 | Y=0182.690-0193.930 | trục đường Quốc lộ
P=2030 | X=0112.610-0189.020 | Y=0196.090-0205.410 | 14 ngoài phạm vi
P=2030 | X=0112.610-0137.570 | Y=0207.630-0216.950 | 200m
P=2030 | X=0112.610-0190.720 | Y=0223.750-0234.990 | Các tuyến đường
P=2030 | X=0112.610-0173.330 | Y=0237.150-0246.470 | trong khu quy
P=2030 | X=0095.570-0250.260 | Y=0248.670-0257.990 | 15 hoạch Trung tâm Toàn tuyến
P=2030 | X=0392.060-0408.700 | Y=0248.670-0257.990 | 195
P=2030 | X=0429.290-0445.930 | Y=0248.670-0257.990 | 156
P=2030 | X=0466.490-0483.130 | Y=0248.670-0257.990 | 125
P=2030 | X=0511.150-0522.270 | Y=0248.670-0257.990 | 47
P=2030 | X=0112.610-0175.820 | Y=0260.190-0269.510 | hành chính xã
P=2030 | X=0112.610-0159.160 | Y=0269.830-0281.070 | Đồng Tâm
P=2030 | X=0199.990-0273.910 | Y=0287.860-0299.100 | Đường ĐT 753B
P=2030 | X=0112.610-0285.150 | Y=0299.380-0310.620 | Đường Lam Sơn - (giáp ranh thửa đất
P=2030 | X=0095.570-0106.690 | Y=0307.020-0316.340 | 16
P=2030 | X=0392.060-0408.700 | Y=0307.020-0316.340 | 195
P=2030 | X=0429.290-0445.930 | Y=0307.020-0316.340 | 156
P=2030 | X=0466.490-0483.130 | Y=0307.020-0316.340 | 125
P=2030 | X=0511.150-0522.270 | Y=0307.020-0316.340 | 47
P=2030 | X=0112.610-0163.250 | Y=0310.900-0322.140 | Tân Phước
P=2030 | X=0199.990-0286.260 | Y=0310.900-0322.140 | số 26, tờ bản đồ số
P=2030 | X=0199.990-0219.910 | Y=0324.060-0333.380 | 254)
P=2030 | X=0112.610-0188.320 | Y=0340.180-0351.420 | Đường ĐH Đồng
P=2030 | X=0095.570-0106.690 | Y=0347.820-0357.140 | 17
P=2030 | X=0199.990-0248.580 | Y=0347.820-0357.140 | Quốc lộ 14
P=2030 | X=0392.060-0408.700 | Y=0347.820-0357.140 | 195
P=2030 | X=0429.290-0445.930 | Y=0347.820-0357.140 | 156
P=2030 | X=0466.490-0483.130 | Y=0347.820-0357.140 | 125
P=2030 | X=0511.150-0522.270 | Y=0347.820-0357.140 | 47
P=2030 | X=0112.610-0187.110 | Y=0353.580-0362.900 | Tâm - Thuận Lợi
P=2030 | X=0112.610-0188.320 | Y=0369.720-0380.960 | Đường ĐH Đồng
P=2030 | X=0199.990-0255.780 | Y=0375.480-0386.720 | Đoạn còn lại
P=2030 | X=0095.570-0106.690 | Y=0377.360-0386.680 | 18
P=2030 | X=0392.060-0408.700 | Y=0377.360-0386.680 | 195
P=2030 | X=0429.290-0445.930 | Y=0377.360-0386.680 | 156
P=2030 | X=0466.490-0483.130 | Y=0377.360-0386.680 | 125
P=2030 | X=0511.150-0522.270 | Y=0377.360-0386.680 | 47
P=2030 | X=0112.610-0187.110 | Y=0383.120-0392.440 | Tâm - Thuận Lợi
P=2030 | X=0112.610-0193.820 | Y=0399.240-0410.480 | Đường giao thông
P=2030 | X=0112.610-0192.630 | Y=0410.760-0422.000 | nông thôn đấu nối
P=2030 | X=0095.570-0106.690 | Y=0418.400-0427.720 | 19
P=2030 | X=0199.990-0250.260 | Y=0418.400-0427.720 | Toàn tuyến
P=2030 | X=0392.060-0408.700 | Y=0418.400-0427.720 | 195
P=2030 | X=0429.290-0445.930 | Y=0418.400-0427.720 | 156
P=2030 | X=0466.490-0483.130 | Y=0418.400-0427.720 | 125
P=2030 | X=0511.150-0522.270 | Y=0418.400-0427.720 | 54
P=2030 | X=0112.610-0197.650 | Y=0422.280-0433.520 | trục đường ĐT 753
P=2030 | X=0112.610-0175.470 | Y=0435.680-0445.000 | phạm vi 200m
P=2030 | X=0112.610-0175.580 | Y=0451.820-0463.060 | Đường Thanh
P=2030 | X=0112.610-0186.120 | Y=0463.340-0474.580 | Niên, đường ĐH
P=2030 | X=0112.610-0195.990 | Y=0474.860-0486.100 | Tân Phước - Đồng
P=2030 | X=0095.570-0250.260 | Y=0486.380-0497.620 | 20 Tiến (cũ) đấu nối Toàn tuyến
P=2030 | X=0392.060-0408.700 | Y=0488.260-0497.580 | 195
P=2030 | X=0429.290-0445.930 | Y=0488.260-0497.580 | 156
P=2030 | X=0466.490-0483.130 | Y=0488.260-0497.580 | 125
P=2030 | X=0511.150-0522.270 | Y=0488.260-0497.580 | 54
P=2030 | X=0112.610-0197.650 | Y=0497.900-0509.140 | trục đường ĐT 753
P=2030 | X=0112.610-0173.400 | Y=0511.300-0520.620 | trong phạm vi
P=2030 | X=0112.610-0137.570 | Y=0522.820-0532.140 | 500m
P=2030 | X=0112.610-0175.580 | Y=0538.970-0550.210 | Đường Thanh
P=2030 | X=0112.610-0186.120 | Y=0550.250-0561.490 | Niên, đường ĐH
P=2030 | X=0112.610-0195.990 | Y=0561.770-0573.010 | Tân Phước - Đồng
P=2030 | X=0095.570-0250.260 | Y=0573.290-0584.530 | 21 Tiến (cũ) đấu nối Toàn tuyến
P=2030 | X=0392.060-0408.700 | Y=0575.170-0584.490 | 195
P=2030 | X=0429.290-0445.930 | Y=0575.170-0584.490 | 156
P=2030 | X=0466.490-0483.130 | Y=0575.170-0584.490 | 125
P=2030 | X=0511.150-0522.270 | Y=0575.170-0584.490 | 54
P=2030 | X=0112.610-0197.650 | Y=0584.810-0596.050 | trục đường ĐT 753
P=2030 | X=0112.610-0175.080 | Y=0598.210-0607.530 | ngoài phạm vi
P=2030 | X=0112.610-0137.570 | Y=0609.730-0619.050 | 500m
P=2030 | X=0112.610-0282.950 | Y=0625.870-0637.110 | Đường Đồng Tiến - Thửa đất số 28, tờ
P=2030 | X=0095.570-0106.690 | Y=0633.510-0642.830 | 22
P=2030 | X=0392.060-0408.700 | Y=0633.510-0642.830 | 195
P=2030 | X=0429.290-0445.930 | Y=0633.510-0642.830 | 156
P=2030 | X=0466.490-0483.130 | Y=0633.510-0642.830 | 125
P=2030 | X=0511.150-0522.270 | Y=0633.510-0642.830 | 54
P=2030 | X=0112.610-0170.670 | Y=0637.390-0648.630 | Tân Phú (cũ)
P=2030 | X=0199.990-0263.220 | Y=0637.390-0648.630 | bản đồ số 270
P=2030 | X=0112.610-0193.820 | Y=0655.390-0666.630 | Đường giao thông
P=2030 | X=0095.570-0106.690 | Y=0663.030-0672.350 | 23
P=2030 | X=0199.990-0250.260 | Y=0663.030-0672.350 | Toàn tuyến
P=2030 | X=0392.060-0408.700 | Y=0663.030-0672.350 | 195
P=2030 | X=0429.290-0445.930 | Y=0663.030-0672.350 | 156
P=2030 | X=0466.490-0483.130 | Y=0663.030-0672.350 | 125
P=2030 | X=0511.150-0522.270 | Y=0663.030-0672.350 | 64
P=2030 | X=0112.610-0173.190 | Y=0668.790-0678.110 | liên xã còn lại
P=2030 | X=0112.610-0193.820 | Y=0684.910-0696.150 | Đường giao thông
P=2030 | X=0095.570-0180.640 | Y=0698.310-0707.630 | 24 có hành lang lộ
P=2030 | X=0199.990-0250.260 | Y=0698.310-0707.630 | Toàn tuyến
P=2030 | X=0392.060-0408.700 | Y=0698.310-0707.630 | 195
P=2030 | X=0429.290-0445.930 | Y=0698.310-0707.630 | 156
P=2030 | X=0466.490-0483.130 | Y=0698.310-0707.630 | 125
P=2030 | X=0511.150-0522.270 | Y=0698.310-0707.630 | 54
P=2030 | X=0112.610-0183.270 | Y=0709.860-0719.180 | giới 14m trở lên
P=2031 | X=0112.610-0190.720 | Y=0072.740-0083.980 | tính từ tim đường
P=2031 | X=0112.610-0193.820 | Y=0090.740-0101.980 | Đường giao thông
P=2031 | X=0112.610-0180.640 | Y=0104.140-0113.460 | có hành lang lộ
P=2031 | X=0095.570-0106.690 | Y=0109.900-0119.220 | 25
P=2031 | X=0199.990-0250.260 | Y=0109.900-0119.220 | Toàn tuyến
P=2031 | X=0392.060-0408.700 | Y=0109.900-0119.220 | 195
P=2031 | X=0429.290-0445.930 | Y=0109.900-0119.220 | 156
P=2031 | X=0466.490-0483.130 | Y=0109.900-0119.220 | 125
P=2031 | X=0511.150-0522.270 | Y=0109.900-0119.220 | 54
P=2031 | X=0112.610-0183.670 | Y=0115.660-0124.980 | giới từ 10 - 14m
P=2031 | X=0112.610-0190.720 | Y=0125.330-0136.570 | tính từ tim đường
P=2031 | X=0112.610-0193.820 | Y=0143.330-0154.570 | Đường giao thông
P=2031 | X=0112.610-0199.110 | Y=0154.850-0166.090 | liên thôn, liên ấp có
P=2031 | X=0095.570-0106.690 | Y=0162.490-0171.810 | 26
P=2031 | X=0199.990-0250.260 | Y=0162.490-0171.810 | Toàn tuyến
P=2031 | X=0392.060-0408.700 | Y=0162.490-0171.810 | 113
P=2031 | X=0435.050-0446.170 | Y=0162.490-0171.810 | 90
P=2031 | X=0472.250-0483.370 | Y=0162.490-0171.810 | 72
P=2031 | X=0511.150-0522.270 | Y=0162.490-0171.810 | 47
P=2031 | X=0112.610-0190.560 | Y=0168.250-0177.570 | kết cấu trải nhựa,
P=2031 | X=0112.610-0149.410 | Y=0179.530-0188.850 | bê Tông
P=2031 | X=0112.610-0193.820 | Y=0195.650-0206.890 | Đường giao thông
P=2031 | X=0095.570-0250.260 | Y=0207.190-0218.430 | 27 liên thôn, liên ấp Toàn tuyến
P=2031 | X=0392.060-0408.700 | Y=0209.070-0218.390 | 113
P=2031 | X=0435.050-0446.170 | Y=0209.070-0218.390 | 90
P=2031 | X=0472.250-0483.370 | Y=0209.070-0218.390 | 72
P=2031 | X=0511.150-0522.270 | Y=0209.070-0218.390 | 47
P=2031 | X=0112.610-0141.490 | Y=0220.590-0229.910 | còn lại
P=2031 | X=0112.610-0190.720 | Y=0236.710-0247.950 | Các tuyến đường
P=2031 | X=0095.570-0250.260 | Y=0250.110-0259.430 | 28 giao thông còn lại Toàn tuyến
P=2031 | X=0392.060-0408.700 | Y=0250.110-0259.430 | 113
P=2031 | X=0435.050-0446.170 | Y=0250.110-0259.430 | 90
P=2031 | X=0472.250-0483.370 | Y=0250.110-0259.430 | 72
P=2031 | X=0511.150-0522.270 | Y=0250.110-0259.430 | 47
