TABLE=036 | AREA=Xã An Viễn | SECTION=agricultural | SEGMENTS=2
P=1230 | X=0117.170-0348.720 | Y=0445.080-0456.320 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1230 | X=0117.170-0404.060 | Y=0462.620-0473.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1230 | X=0117.170-0178.290 | Y=0474.140-0485.380 | đến ≤1.000m.
P=1230 | X=0117.170-0340.340 | Y=0491.660-0502.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1230 | X=0117.170-0402.430 | Y=0509.420-0520.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1230 | X=0117.170-0413.020 | Y=0520.940-0532.180 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1230 | X=0117.170-0412.780 | Y=0532.220-0543.460 | Vườn Ngô đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
P=1230 | X=0117.170-0145.170 | Y=0543.770-0555.010 | măng:
P=1230 | X=0100.610-0106.210 | Y=0545.890-0555.210 | 7
P=1230 | X=0453.050-0469.690 | Y=0545.890-0555.210 | 290
P=1230 | X=0505.390-0522.030 | Y=0545.890-0555.210 | 250
P=1230 | X=0117.170-0390.730 | Y=0561.290-0572.530 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1230 | X=0117.170-0340.810 | Y=0578.810-0590.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1230 | X=0117.170-0187.340 | Y=0596.570-0607.810 | Đường tỉnh 777
P=1230 | X=0315.240-0403.870 | Y=0602.330-0613.570 | Hết khu dân cư Tân
P=1230 | X=0117.170-0209.110 | Y=0608.090-0619.330 | (đường Trảng Bom -
P=1230 | X=0223.030-0270.740 | Y=0608.090-0619.330 | Đường sắt
P=1230 | X=0100.610-0106.210 | Y=0609.970-0619.290 | 8
P=1230 | X=0453.050-0469.690 | Y=0609.970-0619.290 | 730
P=1230 | X=0505.390-0522.030 | Y=0609.970-0619.290 | 670
P=1230 | X=0315.240-0401.750 | Y=0613.850-0625.090 | Hưng và Tân Thịnh
P=1230 | X=0117.170-0173.820 | Y=0621.510-0630.830 | Long Thành)
P=1230 | X=0117.170-0403.910 | Y=0637.390-0648.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1230 | X=0117.170-0413.020 | Y=0648.910-0660.150 | (đường Trảng Bom - Long Thành) đoạn từ Đường sắt đến Hết khu
P=1230 | X=0117.170-0404.380 | Y=0660.430-0671.670 | dân cư Tân Hưng và Tân Thịnh có hiện trạng là đường nhựa, bê
P=1230 | X=0117.170-0177.330 | Y=0671.950-0683.190 | tông xi măng:
P=1230 | X=0100.610-0106.210 | Y=0674.070-0683.390 | 9
P=1230 | X=0453.050-0469.690 | Y=0674.070-0683.390 | 500
P=1230 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 450
P=1230 | X=0117.170-0348.250 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1230 | X=0117.170-0394.360 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1231 | X=0117.170-0403.910 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1231 | X=0117.170-0413.020 | Y=0090.020-0101.260 | (đường Trảng Bom - Long Thành) đoạn từ Đường sắt đến Hết khu
P=1231 | X=0117.170-0404.380 | Y=0101.540-0112.780 | dân cư Tân Hưng và Tân Thịnh có hiện trạng là đường nhựa, bê
P=1231 | X=0117.170-0177.330 | Y=0113.060-0124.300 | tông xi măng:
P=1231 | X=0097.970-0348.720 | Y=0129.610-0141.850 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1231 | X=0453.050-0469.690 | Y=0129.610-0138.930 | 400
P=1231 | X=0505.390-0522.030 | Y=0129.610-0138.930 | 350
P=1231 | X=0117.170-0404.060 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1231 | X=0117.170-0181.150 | Y=0159.410-0170.650 | đến ≤ 1.000m.
P=1231 | X=0117.170-0340.340 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1231 | X=0117.170-0403.910 | Y=0194.690-0205.930 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1231 | X=0117.170-0413.020 | Y=0206.230-0217.470 | (đường Trảng Bom - Long Thành) đoạn từ Đường sắt đến Hết khu
P=1231 | X=0117.170-0404.380 | Y=0217.750-0228.990 | dân cư Tân Hưng và Tân Thịnh có hiện trạng là đường nhựa, bê
P=1231 | X=0097.970-0177.330 | Y=0229.270-0240.710 | 11 tông xi măng:
P=1231 | X=0453.050-0469.690 | Y=0231.390-0240.710 | 290
P=1231 | X=0505.390-0522.030 | Y=0231.390-0240.710 | 250
P=1231 | X=0117.170-0390.730 | Y=0246.790-0258.030 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1231 | X=0117.170-0340.810 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1231 | X=0117.170-0402.430 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1231 | X=0117.170-0413.020 | Y=0293.620-0304.860 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1231 | X=0117.170-0401.730 | Y=0305.140-0316.380 | sắt đến Hết khu dân cư Tân Hưng và Tân Thịnh có hiện trạng là
P=1231 | X=0097.970-0252.940 | Y=0316.660-0328.100 | 12 đường nhựa, bê tông xi măng:
P=1231 | X=0453.050-0469.690 | Y=0318.780-0328.100 | 500
P=1231 | X=0505.390-0522.030 | Y=0318.780-0328.100 | 450
P=1231 | X=0117.170-0348.250 | Y=0333.940-0345.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1231 | X=0117.170-0394.360 | Y=0351.460-0362.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1231 | X=0117.170-0402.430 | Y=0369.240-0380.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1231 | X=0117.170-0413.020 | Y=0380.760-0392.000 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1231 | X=0117.170-0401.730 | Y=0392.280-0403.520 | sắt đến Hết khu dân cư Tân Hưng và Tân Thịnh có hiện trạng là
P=1231 | X=0117.170-0252.940 | Y=0403.800-0415.040 | đường nhựa, bê tông xi măng:
P=1231 | X=0097.970-0348.720 | Y=0420.560-0432.560 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1231 | X=0453.050-0469.690 | Y=0420.560-0429.880 | 400
P=1231 | X=0505.390-0522.030 | Y=0420.560-0429.880 | 350
P=1231 | X=0117.170-0404.060 | Y=0438.840-0450.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1231 | X=0117.170-0178.290 | Y=0450.380-0461.620 | đến ≤1.000m.
P=1231 | X=0117.170-0340.340 | Y=0467.900-0479.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1231 | X=0117.170-0402.430 | Y=0485.660-0496.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1231 | X=0117.170-0413.020 | Y=0497.180-0508.420 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1231 | X=0117.170-0401.730 | Y=0508.460-0519.700 | sắt đến Hết khu dân cư Tân Hưng và Tân Thịnh có hiện trạng là
P=1231 | X=0097.970-0252.940 | Y=0519.980-0531.420 | 14 đường nhựa, bê tông xi măng:
P=1231 | X=0453.050-0469.690 | Y=0522.100-0531.420 | 290
P=1231 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 250
P=1231 | X=0117.170-0402.980 | Y=0537.530-0548.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1231 | X=0117.170-0340.810 | Y=0555.050-0566.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1231 | X=0117.170-0187.340 | Y=0572.810-0584.050 | Đường tỉnh 777
P=1231 | X=0223.030-0311.690 | Y=0578.570-0589.810 | Hết khu dân cư Tân
P=1231 | X=0097.970-0209.110 | Y=0584.330-0595.570 | 15 (đường Trảng Bom -
P=1231 | X=0315.240-0370.290 | Y=0586.210-0595.530 | Sông Buông
P=1231 | X=0453.050-0469.690 | Y=0586.210-0595.530 | 730
P=1231 | X=0505.390-0522.030 | Y=0586.210-0595.530 | 670
P=1231 | X=0223.030-0309.570 | Y=0590.090-0601.330 | Hưng và Tân Thịnh
P=1231 | X=0117.170-0173.820 | Y=0597.730-0607.050 | Long Thành)
P=1231 | X=0117.170-0403.910 | Y=0613.610-0624.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1231 | X=0117.170-0396.910 | Y=0625.150-0636.390 | (đường Trảng Bom - Long Thành) đoạn từ Hết khu dân cư Tân
P=1231 | X=0117.170-0413.590 | Y=0636.670-0647.910 | Hưng và Tân Thịnh đến Sông Buông có hiện trạng là đường nhựa,
P=1231 | X=0097.970-0191.250 | Y=0648.190-0659.630 | 16 bê tông xi măng:
P=1231 | X=0453.050-0469.690 | Y=0650.310-0659.630 | 500
P=1231 | X=0505.390-0522.030 | Y=0650.310-0659.630 | 450
P=1231 | X=0117.170-0348.250 | Y=0665.710-0676.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1231 | X=0117.170-0394.360 | Y=0683.230-0694.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1231 | X=0097.970-0403.910 | Y=0700.770-0712.010 | 17 Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1231 | X=0453.050-0469.690 | Y=0702.660-0711.980 | 400
P=1231 | X=0505.390-0522.030 | Y=0702.660-0711.980 | 350
P=1232 | X=0117.170-0396.910 | Y=0072.500-0083.740 | (đường Trảng Bom - Long Thành) đoạn từ Hết khu dân cư Tân
P=1232 | X=0117.170-0413.590 | Y=0084.020-0095.260 | Hưng và Tân Thịnh đến Sông Buông có hiện trạng là đường nhựa,
P=1232 | X=0117.170-0191.250 | Y=0095.540-0106.780 | bê tông xi măng:
P=1232 | X=0117.170-0348.720 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1232 | X=0117.170-0404.060 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1232 | X=0117.170-0178.290 | Y=0142.130-0153.370 | đến ≤1.000m.
P=1232 | X=0117.170-0340.340 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1232 | X=0117.170-0403.910 | Y=0177.170-0188.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1232 | X=0117.170-0396.910 | Y=0188.690-0199.930 | (đường Trảng Bom - Long Thành) đoạn từ Hết khu dân cư Tân
P=1232 | X=0117.170-0413.590 | Y=0200.230-0211.470 | Hưng và Tân Thịnh đến Sông Buông có hiện trạng là đường nhựa,
P=1232 | X=0097.970-0191.250 | Y=0211.750-0223.190 | 18 bê tông xi măng:
P=1232 | X=0453.050-0469.690 | Y=0213.870-0223.190 | 290
P=1232 | X=0505.390-0522.030 | Y=0213.870-0223.190 | 250
P=1232 | X=0117.170-0390.730 | Y=0229.270-0240.510 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1232 | X=0117.170-0340.810 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1232 | X=0117.170-0402.430 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1232 | X=0117.170-0397.020 | Y=0276.070-0287.310 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Hết
P=1232 | X=0117.170-0388.780 | Y=0287.620-0298.860 | khu dân cư Tân Hưng và Tân Thịnh đến Sông Buông có hiện
P=1232 | X=0097.970-0288.950 | Y=0299.140-0310.580 | 19 trạng là đường nhựa, bê tông xi măng:
P=1232 | X=0453.050-0469.690 | Y=0301.260-0310.580 | 500
P=1232 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 450
P=1232 | X=0117.170-0348.250 | Y=0316.660-0327.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1232 | X=0117.170-0394.360 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1232 | X=0117.170-0402.430 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1232 | X=0117.170-0397.020 | Y=0363.220-0374.460 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Hết
P=1232 | X=0117.170-0388.780 | Y=0374.760-0386.000 | khu dân cư Tân Hưng và Tân Thịnh đến Sông Buông có hiện
P=1232 | X=0117.170-0288.950 | Y=0386.280-0397.520 | trạng là đường nhựa, bê tông xi măng:
P=1232 | X=0097.970-0348.720 | Y=0403.040-0415.040 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1232 | X=0453.050-0469.690 | Y=0403.040-0412.360 | 400
P=1232 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 350
P=1232 | X=0117.170-0404.060 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1232 | X=0117.170-0178.290 | Y=0432.840-0444.080 | đến ≤1.000m.
P=1232 | X=0117.170-0340.340 | Y=0450.380-0461.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1232 | X=0117.170-0402.430 | Y=0468.140-0479.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1232 | X=0117.170-0397.020 | Y=0479.660-0490.900 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Hết
P=1232 | X=0117.170-0388.780 | Y=0491.180-0502.420 | khu dân cư Tân Hưng và Tân Thịnh đến Sông Buông có hiện
P=1232 | X=0097.970-0288.950 | Y=0502.460-0514.140 | 21 trạng là đường nhựa, bê tông xi măng:
P=1232 | X=0453.050-0469.690 | Y=0504.820-0514.140 | 290
P=1232 | X=0505.390-0522.030 | Y=0504.820-0514.140 | 250
P=1232 | X=0117.170-0390.760 | Y=0519.980-0531.220 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1232 | X=0117.170-0340.810 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1232 | X=0117.170-0187.340 | Y=0555.290-0566.530 | Đường tỉnh 777
P=1232 | X=0315.240-0390.440 | Y=0561.050-0572.290 | Ngã ba cây xăng
P=1232 | X=0097.970-0209.110 | Y=0566.810-0578.050 | 22 (đường Trảng Bom -
P=1232 | X=0223.030-0278.080 | Y=0568.690-0578.010 | Sông Buông
P=1232 | X=0453.050-0469.690 | Y=0568.690-0578.010 | 730
P=1232 | X=0505.390-0522.030 | Y=0568.690-0578.010 | 670
P=1232 | X=0315.240-0365.020 | Y=0572.570-0583.810 | Xuân Dũng
P=1232 | X=0117.170-0173.820 | Y=0580.210-0589.530 | Long Thành)
P=1232 | X=0117.170-0403.910 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1232 | X=0117.170-0404.150 | Y=0607.610-0618.850 | (đường Trảng Bom - Long Thành) đoạn từ Sông Buông đến Ngã
P=1232 | X=0117.170-0403.150 | Y=0619.150-0630.390 | ba cây xăng Xuân Dũng có hiện trạng là đường nhựa, bê tông xi
P=1232 | X=0097.970-0145.170 | Y=0630.670-0642.110 | 23 măng:
P=1232 | X=0453.050-0469.690 | Y=0632.790-0642.110 | 500
P=1232 | X=0505.390-0522.030 | Y=0632.790-0642.110 | 450
P=1232 | X=0117.170-0348.250 | Y=0648.190-0659.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1232 | X=0117.170-0382.080 | Y=0665.710-0676.950 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1232 | X=0117.170-0403.910 | Y=0683.470-0694.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1232 | X=0097.970-0404.150 | Y=0694.750-0705.990 | 24 (đường Trảng Bom - Long Thành) đoạn từ Sông Buông đến Ngã
P=1232 | X=0453.050-0469.690 | Y=0696.630-0705.950 | 400
P=1232 | X=0505.390-0522.030 | Y=0696.630-0705.950 | 350
P=1232 | X=0117.170-0403.150 | Y=0706.290-0717.530 | ba cây xăng Xuân Dũng có hiện trạng là đường nhựa, bê tông xi
P=1233 | X=0117.170-0145.170 | Y=0072.500-0083.740 | măng:
P=1233 | X=0117.170-0348.720 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1233 | X=0117.170-0404.060 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1233 | X=0117.170-0178.290 | Y=0119.090-0130.330 | đến ≤1.000m.
P=1233 | X=0117.170-0340.340 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1233 | X=0117.170-0403.910 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1233 | X=0117.170-0404.150 | Y=0165.650-0176.890 | (đường Trảng Bom - Long Thành) đoạn từ Sông Buông đến Ngã
P=1233 | X=0117.170-0403.170 | Y=0177.170-0188.410 | ba cây xăng Xuân Dũng có hiện trạng là đường nhựa, bê tông xi
P=1233 | X=0097.970-0145.170 | Y=0188.690-0200.130 | 25 măng:
P=1233 | X=0453.050-0469.690 | Y=0190.810-0200.130 | 290
P=1233 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 250
P=1233 | X=0117.170-0402.980 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1233 | X=0117.170-0340.810 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1233 | X=0117.170-0402.430 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1233 | X=0117.170-0404.860 | Y=0253.030-0264.270 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Sông
P=1233 | X=0117.170-0400.300 | Y=0264.550-0275.790 | Buông đến Ngã ba cây xăng Xuân Dũng có hiện trạng là đường
P=1233 | X=0097.970-0220.280 | Y=0276.070-0287.510 | 26 nhựa, bê tông xi măng:
P=1233 | X=0453.050-0469.690 | Y=0278.190-0287.510 | 500
P=1233 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 450
P=1233 | X=0117.170-0348.250 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1233 | X=0117.170-0394.360 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1233 | X=0117.170-0402.430 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1233 | X=0117.170-0404.870 | Y=0340.420-0351.660 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Sông
P=1233 | X=0117.170-0400.300 | Y=0351.700-0362.940 | Buông đến Ngã ba cây xăng Xuân Dũng có hiện trạng là đường
P=1233 | X=0117.170-0220.280 | Y=0363.220-0374.460 | nhựa, bê tông xi măng:
P=1233 | X=0097.970-0348.720 | Y=0380.000-0392.000 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1233 | X=0453.050-0469.690 | Y=0380.000-0389.320 | 400
P=1233 | X=0505.390-0522.030 | Y=0380.000-0389.320 | 350
P=1233 | X=0117.170-0404.060 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1233 | X=0117.170-0178.290 | Y=0409.800-0421.040 | đến ≤1.000m.
P=1233 | X=0117.170-0340.340 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1233 | X=0117.170-0402.430 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1233 | X=0117.170-0404.870 | Y=0456.620-0467.860 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Sông
P=1233 | X=0117.170-0400.300 | Y=0468.140-0479.380 | Buông đến Ngã ba cây xăng Xuân Dũng có hiện trạng là đường
P=1233 | X=0097.970-0220.280 | Y=0479.660-0491.100 | 28 nhựa, bê tông xi măng:
P=1233 | X=0453.050-0469.690 | Y=0481.780-0491.100 | 290
P=1233 | X=0505.390-0522.030 | Y=0481.780-0491.100 | 250
P=1233 | X=0117.170-0402.980 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1233 | X=0117.170-0340.810 | Y=0514.460-0525.700 | - Có bề rộng <3m, cách đường giao thông >200m.
