TABLE=027 | AREA=Xã Xuân Bắc | SECTION=agricultural | SEGMENTS=1
P=0938 | X=0111.170-0411.630 | Y=0707.490-0718.730 | Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0939 | X=0111.170-0342.720 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0939 | X=0111.170-0417.590 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0939 | X=0111.170-0152.850 | Y=0107.540-0118.780 | ≤1.000m.
P=0939 | X=0111.170-0334.340 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0939 | X=0111.170-0396.430 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0939 | X=0111.170-0413.750 | Y=0154.370-0165.610 | Đường tỉnh 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp Trường
P=0939 | X=0111.170-0411.630 | Y=0165.650-0176.890 | Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0939 | X=0097.730-0103.330 | Y=0173.530-0182.850 | 7
P=0939 | X=0463.850-0474.970 | Y=0173.530-0182.850 | 90
P=0939 | X=0511.150-0522.270 | Y=0173.530-0182.850 | 50
P=0939 | X=0111.170-0396.980 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0939 | X=0111.170-0334.810 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0939 | X=0245.140-0409.180 | Y=0218.470-0229.710 | Giáp Trường Tiểu Hết giáo xứ Suối
P=0939 | X=0097.730-0181.340 | Y=0224.230-0235.470 | 8 Đường tỉnh 763
P=0939 | X=0458.090-0474.730 | Y=0226.110-0235.430 | 270
P=0939 | X=0505.390-0522.030 | Y=0226.110-0235.430 | 230
P=0939 | X=0245.140-0313.880 | Y=0231.870-0241.190 | học Võ Thị Sáu
P=0939 | X=0334.680-0353.010 | Y=0231.870-0241.190 | Nho
P=0939 | X=0111.170-0422.860 | Y=0247.750-0258.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0939 | X=0111.170-0406.040 | Y=0259.270-0270.510 | từ Giáp Trường Tiểu học Võ Thị Sáu đến Hết giáo xứ Suối Nho có
P=0939 | X=0111.170-0304.780 | Y=0270.790-0282.030 | hiện trạng là đường nhựa, bê tông xi măng:
P=0939 | X=0097.730-0103.330 | Y=0278.670-0287.990 | 9
P=0939 | X=0458.090-0474.730 | Y=0278.670-0287.990 | 160
P=0939 | X=0505.390-0522.030 | Y=0278.670-0287.990 | 150
P=0939 | X=0111.170-0342.250 | Y=0288.340-0299.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0939 | X=0111.170-0388.360 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0939 | X=0111.170-0422.860 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0939 | X=0111.170-0406.040 | Y=0335.140-0346.380 | từ Giáp Trường Tiểu học Võ Thị Sáu đến Hết giáo xứ Suối Nho có
P=0939 | X=0111.170-0304.780 | Y=0346.660-0357.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=0939 | X=0095.060-0342.720 | Y=0363.940-0378.280 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0939 | X=0458.090-0474.730 | Y=0368.960-0378.280 | 130
P=0939 | X=0505.390-0522.030 | Y=0368.960-0378.280 | 100
P=0939 | X=0111.170-0417.590 | Y=0381.480-0392.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0939 | X=0111.170-0152.850 | Y=0393.000-0404.240 | ≤1.000m.
P=0939 | X=0111.170-0334.340 | Y=0410.520-0421.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0939 | X=0111.170-0422.860 | Y=0428.280-0439.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0939 | X=0111.170-0406.040 | Y=0439.800-0451.040 | từ Giáp Trường Tiểu học Võ Thị Sáu đến Hết giáo xứ Suối Nho có
P=0939 | X=0111.170-0304.780 | Y=0451.340-0462.580 | hiện trạng là đường nhựa, bê tông xi măng:
P=0939 | X=0095.060-0106.180 | Y=0459.220-0468.540 | 11
P=0939 | X=0463.850-0474.970 | Y=0459.220-0468.540 | 90
P=0939 | X=0511.150-0522.270 | Y=0459.220-0468.540 | 50
P=0939 | X=0111.170-0396.980 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0939 | X=0111.170-0334.810 | Y=0486.380-0497.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0939 | X=0111.170-0396.430 | Y=0504.140-0515.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0939 | X=0111.170-0410.230 | Y=0515.660-0526.900 | Đường tỉnh 763 đoạn từ Giáp Trường Tiểu học Võ Thị Sáu đến Hết
P=0939 | X=0111.170-0398.190 | Y=0527.180-0538.420 | giáo xứ Suối Nho có hiện trạng là đường nhựa, bê tông xi măng:
P=0939 | X=0095.060-0106.180 | Y=0535.090-0544.410 | 12
P=0939 | X=0458.090-0474.730 | Y=0535.090-0544.410 | 160
P=0939 | X=0505.390-0522.030 | Y=0535.090-0544.410 | 150
P=0939 | X=0111.170-0342.290 | Y=0544.490-0555.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0939 | X=0111.170-0388.360 | Y=0562.010-0573.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0939 | X=0111.170-0396.430 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0939 | X=0111.170-0410.230 | Y=0591.290-0602.530 | Đường tỉnh 763 đoạn từ Giáp Trường Tiểu học Võ Thị Sáu đến Hết
P=0939 | X=0111.170-0398.220 | Y=0602.810-0614.050 | giáo xứ Suối Nho có hiện trạng là đường nhựa, bê tông xi măng:
P=0939 | X=0095.060-0342.720 | Y=0620.350-0634.670 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0939 | X=0458.090-0474.730 | Y=0625.350-0634.670 | 130
P=0939 | X=0505.390-0522.030 | Y=0625.350-0634.670 | 100
P=0939 | X=0111.170-0417.590 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0939 | X=0111.170-0152.850 | Y=0649.390-0660.630 | ≤1.000m.
P=0939 | X=0111.170-0334.340 | Y=0666.910-0678.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0939 | X=0111.170-0396.430 | Y=0684.670-0695.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0939 | X=0095.060-0410.230 | Y=0696.190-0707.430 | 14 Đường tỉnh 763 đoạn từ Giáp Trường Tiểu học Võ Thị Sáu đến Hết
P=0939 | X=0463.850-0474.970 | Y=0698.070-0707.390 | 90
P=0939 | X=0511.150-0522.270 | Y=0698.070-0707.390 | 50
P=0939 | X=0111.170-0398.190 | Y=0707.730-0718.970 | giáo xứ Suối Nho có hiện trạng là đường nhựa, bê tông xi măng:
P=0940 | X=0111.170-0396.980 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0940 | X=0111.170-0334.810 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0940 | X=0334.680-0414.870 | Y=0113.780-0125.020 | Đường tổ 2 ấp 3B
P=0940 | X=0245.140-0319.640 | Y=0115.660-0124.980 | Hết giáo xứ Suối
P=0940 | X=0095.060-0181.340 | Y=0119.570-0130.810 | 15 Đường tỉnh 763
P=0940 | X=0458.090-0474.730 | Y=0121.450-0130.770 | 270
P=0940 | X=0505.390-0522.030 | Y=0121.450-0130.770 | 230
P=0940 | X=0245.140-0263.470 | Y=0127.210-0136.530 | Nho
P=0940 | X=0334.680-0391.580 | Y=0127.210-0136.530 | xã Xuân Bắc
P=0940 | X=0111.170-0422.860 | Y=0143.090-0154.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0940 | X=0111.170-0416.150 | Y=0154.610-0165.850 | từ Hết giáo xứ Suối Nho đến Đường tổ 2 ấp 3B xã Xuân Bắc có hiện
P=0940 | X=0111.170-0282.950 | Y=0166.130-0177.370 | trạng là đường nhựa, bê tông xi măng:
P=0940 | X=0095.060-0106.180 | Y=0174.010-0183.330 | 16
P=0940 | X=0458.090-0474.730 | Y=0174.010-0183.330 | 160
P=0940 | X=0505.390-0522.030 | Y=0174.010-0183.330 | 150
P=0940 | X=0111.170-0342.250 | Y=0183.410-0194.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0940 | X=0111.170-0388.360 | Y=0200.950-0212.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0940 | X=0111.170-0422.860 | Y=0218.710-0229.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0940 | X=0111.170-0416.150 | Y=0230.230-0241.470 | từ Hết giáo xứ Suối Nho đến Đường tổ 2 ấp 3B xã Xuân Bắc có hiện
P=0940 | X=0111.170-0282.980 | Y=0241.750-0252.990 | trạng là đường nhựa, bê tông xi măng:
P=0940 | X=0095.060-0342.720 | Y=0259.270-0273.590 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0940 | X=0458.090-0474.730 | Y=0264.270-0273.590 | 130
P=0940 | X=0505.390-0522.030 | Y=0264.270-0273.590 | 100
P=0940 | X=0111.170-0417.590 | Y=0276.790-0288.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0940 | X=0111.170-0152.850 | Y=0288.340-0299.580 | ≤1.000m.
P=0940 | X=0111.170-0334.340 | Y=0305.860-0317.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0940 | X=0111.170-0422.860 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0940 | X=0111.170-0416.150 | Y=0335.140-0346.380 | từ Hết giáo xứ Suối Nho đến Đường tổ 2 ấp 3B xã Xuân Bắc có hiện
P=0940 | X=0111.170-0282.950 | Y=0346.660-0357.900 | trạng là đường nhựa, bê tông xi măng:
P=0940 | X=0095.060-0106.180 | Y=0354.540-0363.860 | 18
P=0940 | X=0463.850-0474.970 | Y=0354.540-0363.860 | 90
P=0940 | X=0511.150-0522.270 | Y=0354.540-0363.860 | 50
P=0940 | X=0111.170-0396.980 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0940 | X=0111.170-0334.810 | Y=0381.480-0392.720 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0940 | X=0111.170-0396.430 | Y=0399.240-0410.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0940 | X=0111.170-0419.190 | Y=0410.760-0422.000 | Đường tỉnh 763 đoạn từ Hết giáo xứ Suối Nho đến Đường tổ 2 ấp 3B
P=0940 | X=0111.170-0377.560 | Y=0422.280-0433.520 | xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0940 | X=0095.060-0106.180 | Y=0430.160-0439.480 | 19
P=0940 | X=0458.090-0474.730 | Y=0430.160-0439.480 | 160
P=0940 | X=0505.390-0522.030 | Y=0430.160-0439.480 | 150
P=0940 | X=0111.170-0342.250 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0940 | X=0111.170-0388.370 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0940 | X=0111.170-0396.430 | Y=0475.100-0486.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0940 | X=0111.170-0419.190 | Y=0486.620-0497.860 | Đường tỉnh 763 đoạn từ Hết giáo xứ Suối Nho đến Đường tổ 2 ấp 3B
P=0940 | X=0111.170-0377.560 | Y=0498.140-0509.380 | xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0940 | X=0095.060-0342.720 | Y=0515.660-0529.740 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0940 | X=0458.090-0474.730 | Y=0520.420-0529.740 | 130
P=0940 | X=0505.390-0522.030 | Y=0520.420-0529.740 | 100
P=0940 | X=0111.170-0417.590 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0940 | X=0111.170-0152.850 | Y=0544.490-0555.730 | ≤1.000m.
P=0940 | X=0111.170-0334.340 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0940 | X=0111.170-0396.430 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0940 | X=0111.170-0419.190 | Y=0591.290-0602.530 | Đường tỉnh 763 đoạn từ Hết giáo xứ Suối Nho đến Đường tổ 2 ấp 3B
P=0940 | X=0111.170-0377.560 | Y=0602.810-0614.050 | xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0940 | X=0095.060-0106.180 | Y=0610.690-0620.010 | 21
P=0940 | X=0463.850-0474.970 | Y=0610.690-0620.010 | 90
P=0940 | X=0511.150-0522.270 | Y=0610.690-0620.010 | 50
P=0940 | X=0111.170-0396.980 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0940 | X=0111.170-0334.810 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0940 | X=0245.140-0418.040 | Y=0655.630-0666.870 | Đường tổ 2 ấp 3B Giáp ranh xã Xuân
P=0940 | X=0095.060-0181.340 | Y=0661.390-0672.630 | 22 Đường tỉnh 763
P=0940 | X=0458.090-0474.730 | Y=0663.270-0672.590 | 530
P=0940 | X=0505.390-0522.030 | Y=0663.270-0672.590 | 400
P=0940 | X=0245.140-0302.040 | Y=0669.030-0678.350 | xã Xuân Bắc
P=0940 | X=0334.680-0350.760 | Y=0669.030-0678.350 | Lộc
P=0940 | X=0111.170-0422.860 | Y=0684.910-0696.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0940 | X=0095.060-0422.870 | Y=0696.430-0707.670 | 23 từ Đường tổ 2 ấp 3B xã Xuân Bắc đến Giáp ranh xã Xuân Lộc có hiện
P=0940 | X=0458.090-0474.730 | Y=0698.310-0707.630 | 380
P=0940 | X=0505.390-0522.030 | Y=0698.310-0707.630 | 250
P=0940 | X=0111.170-0282.950 | Y=0707.970-0719.210 | trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0111.170-0342.250 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0941 | X=0111.170-0388.360 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0941 | X=0111.170-0422.860 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0941 | X=0111.170-0422.870 | Y=0125.330-0136.570 | từ Đường tổ 2 ấp 3B xã Xuân Bắc đến Giáp ranh xã Xuân Lộc có hiện
P=0941 | X=0111.170-0282.950 | Y=0136.850-0148.090 | trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0095.060-0342.720 | Y=0154.370-0168.450 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0941 | X=0458.090-0474.730 | Y=0159.130-0168.450 | 310
P=0941 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 200
P=0941 | X=0111.170-0417.590 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0941 | X=0111.170-0152.850 | Y=0183.170-0194.410 | ≤1.000m.
P=0941 | X=0111.170-0334.340 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0941 | X=0111.170-0422.860 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0941 | X=0111.170-0422.860 | Y=0229.990-0241.230 | từ Đường tổ 2 ấp 3B xã Xuân Bắc đến Giáp ranh xã Xuân Lộc có hiện
P=0941 | X=0111.170-0282.950 | Y=0241.510-0252.750 | trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0095.060-0106.180 | Y=0249.390-0258.710 | 25
P=0941 | X=0458.090-0474.730 | Y=0249.390-0258.710 | 220
P=0941 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 140
P=0941 | X=0111.170-0396.980 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0941 | X=0111.170-0334.810 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0941 | X=0111.170-0396.430 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0941 | X=0111.170-0404.140 | Y=0305.860-0317.100 | Đường tỉnh 763 đoạn từ Đường tổ 2 ấp 3B xã Xuân Bắc đến Giáp
P=0941 | X=0111.170-0399.150 | Y=0317.380-0328.620 | ranh xã Xuân Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0095.060-0106.180 | Y=0325.260-0334.580 | 26
P=0941 | X=0458.090-0474.730 | Y=0325.260-0334.580 | 380
P=0941 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 250
P=0941 | X=0111.170-0342.250 | Y=0334.900-0346.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0941 | X=0111.170-0388.360 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0941 | X=0111.170-0396.430 | Y=0369.960-0381.200 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0941 | X=0111.170-0404.140 | Y=0381.480-0392.720 | Đường tỉnh 763 đoạn từ Đường tổ 2 ấp 3B xã Xuân Bắc đến Giáp
P=0941 | X=0111.170-0399.150 | Y=0393.000-0404.240 | ranh xã Xuân Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0095.060-0342.720 | Y=0410.520-0424.840 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0941 | X=0458.090-0474.730 | Y=0415.520-0424.840 | 310
P=0941 | X=0505.390-0522.030 | Y=0415.520-0424.840 | 200
P=0941 | X=0111.170-0417.590 | Y=0428.040-0439.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0941 | X=0111.170-0152.850 | Y=0439.560-0450.800 | ≤1.000m.
P=0941 | X=0111.170-0334.340 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0941 | X=0111.170-0396.430 | Y=0474.860-0486.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0941 | X=0111.170-0404.140 | Y=0486.380-0497.620 | Đường tỉnh 763 đoạn từ Đường tổ 2 ấp 3B xã Xuân Bắc đến Giáp
P=0941 | X=0111.170-0399.150 | Y=0497.900-0509.140 | ranh xã Xuân Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0095.060-0106.180 | Y=0505.780-0515.100 | 28
P=0941 | X=0458.090-0474.730 | Y=0505.780-0515.100 | 220
P=0941 | X=0505.390-0522.030 | Y=0505.780-0515.100 | 140
P=0941 | X=0111.170-0396.980 | Y=0515.420-0526.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0941 | X=0111.170-0334.810 | Y=0532.970-0544.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0941 | X=0111.170-0220.230 | Y=0550.490-0561.730 | Đường Xuân Bắc - Long
P=0941 | X=0334.680-0417.100 | Y=0550.490-0561.730 | Giáp ranh phường
P=0941 | X=0245.140-0315.310 | Y=0556.250-0567.490 | Đường tỉnh 763
P=0941 | X=0095.060-0106.180 | Y=0558.130-0567.450 | 29
P=0941 | X=0458.090-0474.730 | Y=0558.130-0567.450 | 470
P=0941 | X=0505.390-0522.030 | Y=0558.130-0567.450 | 330
P=0941 | X=0111.170-0140.060 | Y=0563.890-0573.210 | Khánh
P=0941 | X=0334.680-0375.560 | Y=0563.890-0573.210 | Bảo Vinh
P=0941 | X=0111.170-0411.740 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bắc -
P=0941 | X=0111.170-0423.340 | Y=0591.290-0602.530 | Long Khánh đoạn từ Đường tỉnh 763 đến Giáp ranh phường Bảo Vinh
P=0941 | X=0111.170-0318.020 | Y=0602.810-0614.050 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0095.060-0106.180 | Y=0610.690-0620.010 | 30
P=0941 | X=0458.090-0474.730 | Y=0610.690-0620.010 | 330
P=0941 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 200
P=0941 | X=0111.170-0342.250 | Y=0620.350-0631.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0941 | X=0111.170-0388.360 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0941 | X=0111.170-0411.740 | Y=0655.630-0666.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bắc -
P=0941 | X=0111.170-0423.340 | Y=0667.150-0678.390 | Long Khánh đoạn từ Đường tỉnh 763 đến Giáp ranh phường Bảo Vinh
