TABLE=022 | AREA=Phường Hàng Gòn | SECTION=agricultural | SEGMENTS=1
P=0702 | X=0104.930-0393.380 | Y=0468.620-0479.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0702 | X=0104.930-0337.200 | Y=0486.140-0497.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0702 | X=0104.930-0400.780 | Y=0503.900-0515.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0702 | X=0104.930-0413.720 | Y=0515.420-0526.660 | Đường 21 tháng 4 đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã ba Tân
P=0702 | X=0104.930-0354.170 | Y=0526.940-0538.180 | Phong có hiện trạng là đường nhựa, bê tông xi măng:
P=0702 | X=0094.340-0099.940 | Y=0534.850-0544.170 | 5
P=0702 | X=0451.370-0468.010 | Y=0534.850-0544.170 | 400
P=0702 | X=0505.390-0522.030 | Y=0534.850-0544.170 | 320
P=0702 | X=0104.930-0336.470 | Y=0544.250-0555.490 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0702 | X=0104.930-0392.890 | Y=0561.770-0573.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0702 | X=0104.930-0400.780 | Y=0579.530-0590.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0702 | X=0104.930-0413.720 | Y=0591.050-0602.290 | Đường 21 tháng 4 đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã ba Tân
P=0702 | X=0104.930-0354.170 | Y=0602.570-0613.810 | Phong có hiện trạng là đường nhựa, bê tông xi măng:
P=0702 | X=0094.340-0336.730 | Y=0620.110-0634.430 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0702 | X=0451.370-0468.010 | Y=0625.110-0634.430 | 320
P=0702 | X=0505.390-0522.030 | Y=0625.110-0634.430 | 260
P=0702 | X=0104.930-0403.280 | Y=0637.630-0648.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0702 | X=0104.930-0159.280 | Y=0649.150-0660.390 | đến ≤600m.
P=0702 | X=0104.930-0336.710 | Y=0666.670-0677.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0702 | X=0104.930-0400.780 | Y=0684.430-0695.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0702 | X=0094.340-0413.720 | Y=0695.950-0707.190 | 7 Đường 21 tháng 4 đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã ba Tân
P=0702 | X=0451.370-0468.010 | Y=0697.830-0707.150 | 240
P=0702 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 210
P=0702 | X=0104.930-0354.590 | Y=0707.490-0718.730 | Phong có hiện trạng là đường nhựa, bê tông xi măng:
P=0703 | X=0104.930-0393.380 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0703 | X=0104.930-0340.090 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0703 | X=0104.930-0212.740 | Y=0113.780-0125.020 | Đường Lê Hồng Phong
P=0703 | X=0322.440-0409.480 | Y=0121.450-0130.770 | Giáp ranh xã Xuân
P=0703 | X=0094.340-0220.230 | Y=0125.330-0136.570 | 8 (đường Xuân Tân - Xuân
P=0703 | X=0234.340-0317.460 | Y=0125.330-0136.570 | Đường 21 tháng 4
P=0703 | X=0451.370-0468.010 | Y=0127.210-0136.530 | 600
P=0703 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 490
P=0703 | X=0322.440-0343.620 | Y=0131.090-0142.330 | Định
P=0703 | X=0104.930-0129.140 | Y=0136.850-0148.090 | Định)
P=0703 | X=0104.930-0404.830 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Hồng
P=0703 | X=0104.930-0408.730 | Y=0166.130-0177.370 | Phong (đường Xuân Tân - Xuân Định) đoạn từ Đường 21 tháng 4
P=0703 | X=0104.930-0413.530 | Y=0177.410-0188.650 | đến Giáp ranh xã Xuân Định có hiện trạng là đường nhựa, bê tông
P=0703 | X=0094.340-0144.130 | Y=0188.930-0200.370 | 9 xi măng:
P=0703 | X=0451.370-0468.010 | Y=0191.050-0200.370 | 400
P=0703 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 320
P=0703 | X=0104.930-0336.470 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0703 | X=0104.930-0392.890 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0703 | X=0104.930-0404.830 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Hồng
P=0703 | X=0104.930-0408.730 | Y=0253.270-0264.510 | Phong (đường Xuân Tân - Xuân Định) đoạn từ Đường 21 tháng 4
P=0703 | X=0104.930-0413.530 | Y=0264.790-0276.030 | đến Giáp ranh xã Xuân Định có hiện trạng là đường nhựa, bê tông
P=0703 | X=0104.930-0144.130 | Y=0276.310-0287.550 | xi măng:
P=0703 | X=0091.700-0336.730 | Y=0292.860-0305.100 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0703 | X=0451.370-0468.010 | Y=0292.860-0302.180 | 320
P=0703 | X=0505.390-0522.030 | Y=0292.860-0302.180 | 260
P=0703 | X=0104.930-0403.280 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0703 | X=0104.930-0159.280 | Y=0322.900-0334.140 | đến ≤600m.
P=0703 | X=0104.930-0336.710 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0703 | X=0104.930-0404.830 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Hồng
P=0703 | X=0104.930-0408.740 | Y=0369.480-0380.720 | Phong (đường Xuân Tân - Xuân Định) đoạn từ Đường 21 tháng 4
P=0703 | X=0104.930-0413.530 | Y=0381.000-0392.240 | đến Giáp ranh xã Xuân Định có hiện trạng là đường nhựa, bê tông
P=0703 | X=0091.700-0144.130 | Y=0392.520-0403.960 | 11 xi măng:
P=0703 | X=0451.370-0468.010 | Y=0394.640-0403.960 | 240
P=0703 | X=0505.390-0522.030 | Y=0394.640-0403.960 | 210
P=0703 | X=0104.930-0393.380 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0703 | X=0104.930-0337.200 | Y=0427.560-0438.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0703 | X=0104.930-0400.540 | Y=0445.320-0456.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0703 | X=0104.930-0397.600 | Y=0456.860-0468.100 | Đường Lê Hồng Phong (đường Xuân Tân - Xuân Định) đoạn từ
P=0703 | X=0104.930-0399.850 | Y=0468.380-0479.620 | Đường 21 tháng 4 đến Giáp ranh xã Xuân Định có hiện trạng là
P=0703 | X=0091.700-0246.640 | Y=0479.900-0491.340 | 12 đường nhựa, bê tông xi măng:
P=0703 | X=0451.370-0468.010 | Y=0482.020-0491.340 | 400
P=0703 | X=0505.390-0522.030 | Y=0482.020-0491.340 | 320
P=0703 | X=0104.930-0336.470 | Y=0497.420-0508.660 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0703 | X=0104.930-0392.890 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0703 | X=0104.930-0400.540 | Y=0532.490-0543.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0703 | X=0104.930-0397.600 | Y=0544.010-0555.250 | Đường Lê Hồng Phong (đường Xuân Tân - Xuân Định) đoạn từ
P=0703 | X=0104.930-0399.850 | Y=0555.530-0566.770 | Đường 21 tháng 4 đến Giáp ranh xã Xuân Định có hiện trạng là
P=0703 | X=0104.930-0246.640 | Y=0567.050-0578.290 | đường nhựa, bê tông xi măng:
P=0703 | X=0091.700-0336.730 | Y=0583.810-0595.810 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0703 | X=0451.370-0468.010 | Y=0583.810-0593.130 | 320
P=0703 | X=0505.390-0522.030 | Y=0583.810-0593.130 | 260
P=0703 | X=0104.930-0403.280 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0703 | X=0104.930-0159.280 | Y=0613.610-0624.850 | đến ≤600m.
P=0703 | X=0104.930-0336.710 | Y=0631.150-0642.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0703 | X=0104.930-0400.540 | Y=0648.910-0660.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0703 | X=0104.930-0397.600 | Y=0660.430-0671.670 | Đường Lê Hồng Phong (đường Xuân Tân - Xuân Định) đoạn từ
P=0703 | X=0091.700-0399.850 | Y=0671.950-0686.030 | 14 Đường 21 tháng 4 đến Giáp ranh xã Xuân Định có hiện trạng là
P=0703 | X=0451.370-0468.010 | Y=0676.710-0686.030 | 240
P=0703 | X=0505.390-0522.030 | Y=0676.710-0686.030 | 210
P=0703 | X=0104.930-0246.640 | Y=0683.470-0694.710 | đường nhựa, bê tông xi măng:
P=0703 | X=0104.930-0393.380 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0704 | X=0104.930-0340.090 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0704 | X=0104.930-0213.970 | Y=0096.260-0107.500 | Đường từ tổ 31B đi khu
P=0704 | X=0234.340-0317.250 | Y=0096.260-0107.500 | Tuyến đường qua
P=0704 | X=0322.440-0413.610 | Y=0102.020-0113.260 | Đường Nguyễn Trãi
P=0704 | X=0091.700-0102.820 | Y=0103.900-0113.220 | 15
P=0704 | X=0451.370-0468.010 | Y=0103.900-0113.220 | 600
P=0704 | X=0505.390-0522.030 | Y=0103.900-0113.220 | 490
P=0704 | X=0234.340-0299.900 | Y=0107.780-0119.020 | khu đô thị mới
P=0704 | X=0104.930-0141.480 | Y=0109.660-0118.980 | Bàu Tra
P=0704 | X=0104.930-0407.420 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ tổ 31B
P=0704 | X=0104.930-0385.190 | Y=0137.090-0148.330 | đi khu Bàu Tra đoạn từ Tuyến đường qua khu đô thị mới đến
P=0704 | X=0104.930-0385.270 | Y=0148.610-0159.850 | Đường Nguyễn Trãi có hiện trạng là đường nhựa, bê tông xi
P=0704 | X=0091.700-0133.840 | Y=0160.130-0171.570 | 16 măng:
P=0704 | X=0451.370-0468.010 | Y=0162.250-0171.570 | 400
P=0704 | X=0505.390-0522.030 | Y=0162.250-0171.570 | 320
P=0704 | X=0104.930-0336.470 | Y=0177.410-0188.650 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0704 | X=0104.930-0392.890 | Y=0194.930-0206.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0704 | X=0104.930-0407.420 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ tổ 31B
P=0704 | X=0104.930-0385.190 | Y=0224.230-0235.470 | đi khu Bàu Tra đoạn từ Tuyến đường qua khu đô thị mới đến
P=0704 | X=0104.930-0385.550 | Y=0235.750-0246.990 | Đường Nguyễn Trãi có hiện trạng là đường nhựa, bê tông xi
P=0704 | X=0104.930-0133.840 | Y=0247.270-0258.510 | măng:
P=0704 | X=0091.700-0336.730 | Y=0263.790-0276.030 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0704 | X=0451.370-0468.010 | Y=0263.790-0273.110 | 320
P=0704 | X=0505.390-0522.030 | Y=0263.790-0273.110 | 260
P=0704 | X=0104.930-0403.280 | Y=0282.340-0293.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0704 | X=0104.930-0159.280 | Y=0293.860-0305.100 | đến ≤600m.
P=0704 | X=0104.930-0336.710 | Y=0311.380-0322.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0704 | X=0104.930-0407.420 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ tổ 31B
P=0704 | X=0104.930-0385.190 | Y=0340.660-0351.900 | đi khu Bàu Tra đoạn từ Tuyến đường qua khu đô thị mới đến
P=0704 | X=0104.930-0385.270 | Y=0351.940-0363.180 | Đường Nguyễn Trãi có hiện trạng là đường nhựa, bê tông xi
P=0704 | X=0091.700-0133.840 | Y=0363.460-0374.900 | 18 măng:
P=0704 | X=0451.370-0468.010 | Y=0365.580-0374.900 | 240
P=0704 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 210
P=0704 | X=0104.930-0393.380 | Y=0381.000-0392.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0704 | X=0104.930-0337.200 | Y=0398.520-0409.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0704 | X=0104.930-0400.780 | Y=0416.280-0427.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0704 | X=0104.930-0411.820 | Y=0427.800-0439.040 | Đường từ tổ 31B đi khu Bàu Tra đoạn từ Tuyến đường qua khu đô
P=0704 | X=0104.930-0406.950 | Y=0439.320-0450.560 | thị mới đến Đường Nguyễn Trãi có hiện trạng là đường nhựa, bê
P=0704 | X=0091.700-0167.360 | Y=0450.860-0462.300 | 19 tông xi măng:
P=0704 | X=0451.370-0468.010 | Y=0452.980-0462.300 | 400
P=0704 | X=0505.390-0522.030 | Y=0452.980-0462.300 | 320
P=0704 | X=0104.930-0336.470 | Y=0468.380-0479.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0704 | X=0104.930-0392.890 | Y=0485.900-0497.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0704 | X=0104.930-0400.780 | Y=0503.660-0514.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0704 | X=0104.930-0411.820 | Y=0515.180-0526.420 | Đường từ tổ 31B đi khu Bàu Tra đoạn từ Tuyến đường qua khu đô
P=0704 | X=0104.930-0406.950 | Y=0526.460-0537.700 | thị mới đến Đường Nguyễn Trãi có hiện trạng là đường nhựa, bê
P=0704 | X=0104.930-0167.360 | Y=0538.010-0549.250 | tông xi măng:
P=0704 | X=0091.700-0336.730 | Y=0554.770-0566.770 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0704 | X=0451.370-0468.010 | Y=0554.770-0564.090 | 320
P=0704 | X=0505.390-0522.030 | Y=0554.770-0564.090 | 260
P=0704 | X=0104.930-0403.280 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0704 | X=0104.930-0159.280 | Y=0584.570-0595.810 | đến ≤600m.
P=0704 | X=0104.930-0336.710 | Y=0602.090-0613.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0704 | X=0104.930-0400.780 | Y=0619.870-0631.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0704 | X=0104.930-0411.820 | Y=0631.390-0642.630 | Đường từ tổ 31B đi khu Bàu Tra đoạn từ Tuyến đường qua khu đô
P=0704 | X=0104.930-0406.950 | Y=0642.910-0654.150 | thị mới đến Đường Nguyễn Trãi có hiện trạng là đường nhựa, bê
P=0704 | X=0091.700-0167.360 | Y=0654.430-0665.870 | 21 tông xi măng:
P=0704 | X=0451.370-0468.010 | Y=0656.550-0665.870 | 240
P=0704 | X=0505.390-0522.030 | Y=0656.550-0665.870 | 210
P=0704 | X=0104.930-0393.380 | Y=0671.950-0683.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0704 | X=0104.930-0340.090 | Y=0689.470-0700.710 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0704 | X=0091.700-0208.920 | Y=0707.250-0718.490 | 22 Đường Tân Mỹ - Nhân
P=0704 | X=0234.340-0284.100 | Y=0707.250-0718.490 | Quốc lộ 56
P=0704 | X=0322.440-0409.480 | Y=0709.140-0718.460 | Giáp ranh xã Xuân
P=0704 | X=0451.370-0468.010 | Y=0709.140-0718.460 | 500
P=0704 | X=0505.390-0522.030 | Y=0709.140-0718.460 | 400
P=0705 | X=0104.930-0132.350 | Y=0072.500-0083.740 | Nghĩa
P=0705 | X=0322.440-0343.620 | Y=0072.500-0083.740 | Định
P=0705 | X=0104.930-0405.980 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Mỹ -
P=0705 | X=0104.930-0401.020 | Y=0101.780-0113.020 | Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp ranh xã Xuân Định có
P=0705 | X=0104.930-0307.240 | Y=0113.300-0124.540 | hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0091.700-0102.820 | Y=0121.210-0130.530 | 23
P=0705 | X=0451.370-0468.010 | Y=0121.210-0130.530 | 320
P=0705 | X=0505.390-0522.030 | Y=0121.210-0130.530 | 250
P=0705 | X=0104.930-0345.110 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0705 | X=0104.930-0392.890 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0705 | X=0104.930-0405.980 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Mỹ -
P=0705 | X=0104.930-0401.020 | Y=0177.410-0188.650 | Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp ranh xã Xuân Định có
P=0705 | X=0104.930-0307.630 | Y=0188.930-0200.170 | hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0091.700-0345.350 | Y=0206.470-0220.790 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0705 | X=0451.370-0468.010 | Y=0211.470-0220.790 | 260
P=0705 | X=0505.390-0522.030 | Y=0211.470-0220.790 | 210
P=0705 | X=0104.930-0403.280 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0705 | X=0104.930-0167.680 | Y=0235.510-0246.750 | đến ≤1.000m.
P=0705 | X=0104.930-0336.710 | Y=0253.030-0264.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0705 | X=0104.930-0405.980 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Mỹ -
P=0705 | X=0104.930-0401.020 | Y=0282.340-0293.580 | Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp ranh xã Xuân Định có
P=0705 | X=0104.930-0307.240 | Y=0293.860-0305.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0091.700-0102.820 | Y=0301.740-0311.060 | 25
P=0705 | X=0451.370-0468.010 | Y=0301.740-0311.060 | 170
P=0705 | X=0505.390-0522.030 | Y=0301.740-0311.060 | 140
P=0705 | X=0104.930-0401.790 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0705 | X=0104.930-0337.200 | Y=0328.900-0340.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0705 | X=0104.930-0400.780 | Y=0346.660-0357.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0705 | X=0104.930-0414.300 | Y=0357.940-0369.180 | Đường Tân Mỹ - Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp ranh xã
P=0705 | X=0104.930-0373.090 | Y=0369.480-0380.720 | Xuân Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0091.700-0102.820 | Y=0377.360-0386.680 | 26
P=0705 | X=0451.370-0468.010 | Y=0377.360-0386.680 | 320
P=0705 | X=0505.390-0522.030 | Y=0377.360-0386.680 | 250
P=0705 | X=0104.930-0345.110 | Y=0387.000-0398.240 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0705 | X=0104.930-0392.890 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0705 | X=0104.930-0400.780 | Y=0422.280-0433.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0705 | X=0104.930-0414.300 | Y=0433.800-0445.040 | Đường Tân Mỹ - Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp ranh xã
P=0705 | X=0104.930-0373.090 | Y=0445.320-0456.560 | Xuân Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0091.700-0345.350 | Y=0462.860-0476.940 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0705 | X=0451.370-0468.010 | Y=0467.620-0476.940 | 260
P=0705 | X=0505.390-0522.030 | Y=0467.620-0476.940 | 210
P=0705 | X=0104.930-0403.280 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0705 | X=0104.930-0167.680 | Y=0491.900-0503.140 | đến ≤1.000m.
P=0705 | X=0104.930-0336.710 | Y=0509.420-0520.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0705 | X=0104.930-0400.780 | Y=0527.180-0538.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0705 | X=0104.930-0414.300 | Y=0538.490-0549.730 | Đường Tân Mỹ - Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp ranh xã
P=0705 | X=0104.930-0373.260 | Y=0550.010-0561.250 | Xuân Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0091.700-0102.820 | Y=0557.890-0567.210 | 28
P=0705 | X=0451.370-0468.010 | Y=0557.890-0567.210 | 170
P=0705 | X=0505.390-0522.030 | Y=0557.890-0567.210 | 140
P=0705 | X=0104.930-0401.790 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0705 | X=0104.930-0337.200 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0705 | X=0104.930-0219.720 | Y=0602.810-0614.050 | Đường Xuân Tân - Hàng
P=0705 | X=0322.440-0409.140 | Y=0602.810-0614.050 | Ranh giới xã Hàng
P=0705 | X=0234.340-0284.100 | Y=0608.570-0619.810 | Quốc lộ 56
P=0705 | X=0091.700-0102.820 | Y=0610.450-0619.770 | 29
P=0705 | X=0451.370-0468.010 | Y=0610.450-0619.770 | 500
P=0705 | X=0505.390-0522.030 | Y=0610.450-0619.770 | 400
P=0705 | X=0322.440-0355.400 | Y=0614.330-0625.570 | Gòn cũ
P=0705 | X=0104.930-0123.970 | Y=0616.210-0625.530 | Gòn
P=0705 | X=0104.930-0417.020 | Y=0632.110-0643.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tân -
P=0705 | X=0104.930-0404.380 | Y=0643.630-0654.870 | Hàng Gòn đoạn từ Quốc lộ 56 đến Ranh giới xã Hàng Gòn cũ có
P=0705 | X=0104.930-0307.240 | Y=0655.150-0666.390 | hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0091.700-0102.820 | Y=0663.030-0672.350 | 30
P=0705 | X=0451.370-0468.010 | Y=0663.030-0672.350 | 320
P=0705 | X=0505.390-0522.030 | Y=0663.030-0672.350 | 250
