TABLE=063 | AREA=Phường Phước Bình | SECTION=agricultural | SEGMENTS=1
P=2003 | X=0309.240-0420.540 | Y=0486.620-0497.860 | bản đồ số 14 và thửa đất
P=2003 | X=0197.830-0303.790 | Y=0492.380-0503.620 | 190, tờ bản đồ số 14 và
P=2003 | X=0309.240-0401.020 | Y=0498.140-0509.380 | số 154, tờ bản đồ số
P=2003 | X=0197.830-0296.840 | Y=0503.900-0515.140 | thửa đất số 12, tờ bản
P=2003 | X=0309.240-0329.160 | Y=0511.540-0520.860 | 140)
P=2003 | X=0197.830-0244.900 | Y=0515.420-0526.660 | đồ số 140)
P=2003 | X=0197.830-0300.200 | Y=0533.450-0544.690 | Ngã ba đường Nguyễn
P=2003 | X=0309.240-0396.070 | Y=0541.090-0550.410 | Ngã ba Nguyễn Tất
P=2003 | X=0197.830-0284.100 | Y=0544.970-0556.210 | Tất Thành - Đường
P=2003 | X=0309.240-0415.420 | Y=0550.490-0561.730 | Thành - Đường Nguyễn
P=2003 | X=0197.830-0293.160 | Y=0556.250-0567.490 | Thích Quảng Đức (từ
P=2003 | X=0108.290-0194.640 | Y=0562.010-0573.250 | Đường Nguyễn Tất
P=2003 | X=0309.240-0415.660 | Y=0563.890-0573.210 | Thái Học (hết ranh thửa
P=2003 | X=0197.830-0305.780 | Y=0567.770-0579.010 | ranh thửa đất số 240, tờ
P=2003 | X=0096.050-0101.650 | Y=0569.650-0578.970 | 5
P=2003 | X=0437.690-0454.330 | Y=0569.650-0578.970 | 420
P=2003 | X=0471.530-0488.170 | Y=0569.650-0578.970 | 336
P=2003 | X=0505.390-0522.030 | Y=0569.650-0578.970 | 269
P=2003 | X=0309.240-0417.580 | Y=0573.530-0584.770 | đất số 283, tờ bản đồ số
P=2003 | X=0108.290-0136.700 | Y=0575.410-0584.730 | Thành
P=2003 | X=0197.830-0292.750 | Y=0579.290-0590.530 | bản đồ số 14 và thửa
P=2003 | X=0309.240-0409.270 | Y=0585.050-0596.290 | 14 và thửa đất số 270,
P=2003 | X=0197.830-0300.680 | Y=0590.810-0602.050 | đất số 62, tờ bản đồ số
P=2003 | X=0309.240-0387.980 | Y=0596.570-0607.810 | tờ bản đồ số 114)
P=2003 | X=0197.830-0217.750 | Y=0604.210-0613.530 | 140)
P=2003 | X=0197.830-0284.670 | Y=0622.230-0631.550 | Ngã ba Nguyễn Tất
P=2003 | X=0309.240-0396.070 | Y=0622.230-0631.550 | Ngã ba Nguyễn Tất
P=2003 | X=0197.830-0414.460 | Y=0631.870-0643.110 | Thành - Đường Nguyễn Thành - Đường bê tông
P=2003 | X=0108.290-0411.350 | Y=0643.390-0654.630 | Đường Nguyễn Tất Thái Học (từ ranh thửa khu phố (hết ranh thửa
P=2003 | X=0096.050-0101.650 | Y=0651.030-0660.350 | 6
P=2003 | X=0437.690-0454.330 | Y=0651.030-0660.350 | 420
P=2003 | X=0471.530-0488.170 | Y=0651.030-0660.350 | 336
P=2003 | X=0505.390-0522.030 | Y=0651.030-0660.350 | 269
P=2003 | X=0197.830-0417.580 | Y=0654.910-0666.150 | đất số 154, tờ bản đồ số đất số 146, tờ bản đồ số
P=2003 | X=0108.290-0136.700 | Y=0656.790-0666.110 | Thành
P=2003 | X=0197.830-0415.950 | Y=0666.430-0677.670 | 13 và thửa đất số 271, 16 và thửa đất số 24, tờ
P=2003 | X=0197.830-0276.580 | Y=0677.950-0689.190 | tờ bản đồ số 114)
P=2003 | X=0309.240-0375.740 | Y=0677.950-0689.190 | bản đồ số 118)
P=2003 | X=0108.290-0284.670 | Y=0695.950-0707.190 | Đường Nguyễn Tất Ngã ba Nguyễn Tất
P=2003 | X=0096.050-0101.650 | Y=0703.620-0712.940 | 7
P=2003 | X=0309.240-0410.100 | Y=0703.620-0712.940 | Giáp ranh xã Bình Tân
P=2003 | X=0437.690-0454.330 | Y=0703.620-0712.940 | 420
P=2003 | X=0471.530-0488.170 | Y=0703.620-0712.940 | 336
P=2003 | X=0505.390-0522.030 | Y=0703.620-0712.940 | 269
P=2003 | X=0197.830-0303.060 | Y=0707.490-0718.730 | Thành - Đường bê tông
P=2003 | X=0108.290-0136.700 | Y=0709.380-0718.700 | Thành
P=2004 | X=0197.830-0295.410 | Y=0074.620-0083.940 | khu phố (từ ranh thửa
P=2004 | X=0197.830-0300.680 | Y=0084.260-0095.500 | đất số 57, tờ bản đồ số
P=2004 | X=0197.830-0304.570 | Y=0095.780-0107.020 | 16 và thửa đất số 29, tờ
P=2004 | X=0197.830-0264.340 | Y=0107.300-0118.540 | bản đồ số 118)
P=2004 | X=0197.830-0284.670 | Y=0127.210-0136.530 | Ngã ba Nguyễn Tất
P=2004 | X=0309.240-0408.780 | Y=0131.090-0142.330 | Đường Đinh Văn Chất
P=2004 | X=0197.830-0297.500 | Y=0136.850-0148.090 | Thành - đường 3/2 (từ
P=2004 | X=0309.240-0408.790 | Y=0142.610-0153.850 | và đường bê tông (hết
P=2004 | X=0108.290-0184.690 | Y=0148.370-0159.610 | Đường 3 tháng 2
P=2004 | X=0197.830-0305.780 | Y=0148.370-0159.610 | ranh thửa đất số 131, tờ
P=2004 | X=0309.240-0411.630 | Y=0154.130-0165.370 | ranh thửa đất số 16, tờ
P=2004 | X=0096.050-0101.650 | Y=0156.010-0165.330 | 8
P=2004 | X=0437.690-0454.330 | Y=0156.010-0165.330 | 420
P=2004 | X=0471.530-0488.170 | Y=0156.010-0165.330 | 336
P=2004 | X=0505.390-0522.030 | Y=0156.010-0165.330 | 269
P=2004 | X=0108.290-0182.210 | Y=0159.650-0170.890 | (Đường ĐT 759)
P=2004 | X=0197.830-0292.750 | Y=0159.650-0170.890 | bản đồ số 52 và thửa
P=2004 | X=0309.240-0420.540 | Y=0165.410-0176.650 | bản đồ số 52 và thửa đất
P=2004 | X=0197.830-0306.200 | Y=0171.170-0182.410 | đất số 139, tờ bản đồ số
P=2004 | X=0309.240-0412.700 | Y=0176.930-0188.170 | số 91, tờ bản đồ số 53)
P=2004 | X=0197.830-0212.230 | Y=0184.570-0193.890 | 53)
P=2004 | X=0197.830-0297.400 | Y=0200.710-0211.950 | Đường Đinh Văn Chất
P=2004 | X=0309.240-0421.180 | Y=0206.470-0217.710 | Đường Đoàn Nhữ Hài và
P=2004 | X=0197.830-0293.170 | Y=0212.230-0223.470 | và đường bê tông (từ
P=2004 | X=0309.240-0418.300 | Y=0217.990-0229.230 | đường bê tông (hết ranh
P=2004 | X=0108.290-0184.690 | Y=0223.750-0234.990 | Đường 3 tháng 2
P=2004 | X=0197.830-0305.780 | Y=0223.750-0234.990 | ranh thửa đất số 170, tờ
P=2004 | X=0309.240-0413.980 | Y=0229.510-0240.750 | thửa đất số 140, tờ bản
P=2004 | X=0096.050-0101.650 | Y=0231.390-0240.710 | 9
P=2004 | X=0437.690-0454.330 | Y=0231.390-0240.710 | 420
P=2004 | X=0471.530-0488.170 | Y=0231.390-0240.710 | 336
P=2004 | X=0505.390-0522.030 | Y=0231.390-0240.710 | 269
P=2004 | X=0108.290-0182.210 | Y=0235.270-0246.510 | (Đường ĐT 759)
P=2004 | X=0197.830-0292.750 | Y=0235.270-0246.510 | bản đồ số 11 và thửa
P=2004 | X=0309.240-0414.460 | Y=0241.030-0252.270 | đồ số 11 và thửa đất số
P=2004 | X=0197.830-0300.680 | Y=0246.790-0258.030 | đất số 14, tờ bản đồ số
P=2004 | X=0309.240-0399.260 | Y=0252.550-0263.790 | 25, tờ bản đồ số 49)
P=2004 | X=0197.830-0212.230 | Y=0260.190-0269.510 | 52)
P=2004 | X=0197.830-0296.340 | Y=0276.310-0287.550 | Đường Đoàn Nhữ Hài
P=2004 | X=0197.830-0293.170 | Y=0287.860-0299.100 | và đường bê tông (từ
P=2004 | X=0309.240-0421.180 | Y=0293.620-0304.860 | Đường Hoàng Lệ Kha và
P=2004 | X=0197.830-0305.780 | Y=0299.380-0310.620 | ranh thửa đất số 111, tờ
P=2004 | X=0309.240-0407.580 | Y=0305.140-0316.380 | đường Tú Xương (hết
P=2004 | X=0108.290-0184.690 | Y=0310.900-0322.140 | Đường 3 tháng 2
P=2004 | X=0197.830-0292.750 | Y=0310.900-0322.140 | bản đồ số 11 và thửa
P=2004 | X=0309.240-0406.110 | Y=0316.660-0327.900 | ranh thửa đất số 2, tờ
P=2004 | X=0093.380-0104.500 | Y=0318.540-0327.860 | 10
P=2004 | X=0437.690-0454.330 | Y=0318.540-0327.860 | 420
P=2004 | X=0471.530-0488.170 | Y=0318.540-0327.860 | 336
P=2004 | X=0505.390-0522.030 | Y=0318.540-0327.860 | 269
P=2004 | X=0108.290-0182.210 | Y=0322.180-0333.420 | (Đường ĐT 759)
P=2004 | X=0197.830-0300.680 | Y=0322.180-0333.420 | đất số 22, tờ bản đồ số
P=2004 | X=0309.240-0420.540 | Y=0327.940-0339.180 | bản đồ số 35 và thửa đất
P=2004 | X=0197.830-0289.540 | Y=0335.580-0344.900 | 49 ); không bao gồm
P=2004 | X=0309.240-0406.940 | Y=0339.460-0350.700 | số 1, tờ bản đồ số 43)
P=2004 | X=0197.830-0302.600 | Y=0345.220-0356.460 | thửa đất số 139, tờ bản
P=2004 | X=0197.830-0236.100 | Y=0356.740-0367.980 | đồ số 11
P=2004 | X=0197.830-0400.060 | Y=0374.760-0386.000 | Đường Hoàng Lệ Kha Khu quy hoạch KDC
P=2004 | X=0197.830-0413.990 | Y=0386.280-0397.520 | và đường Tú Xương (từ Long Điền và Nghĩa địa
P=2004 | X=0108.290-0184.690 | Y=0397.800-0409.040 | Đường 3 tháng 2
P=2004 | X=0197.830-0421.180 | Y=0397.800-0409.040 | ranh thửa đất số 117, tờ Long Điền (hết ranh thửa
P=2004 | X=0093.380-0104.500 | Y=0405.440-0414.760 | 11
P=2004 | X=0437.690-0454.330 | Y=0405.440-0414.760 | 420
P=2004 | X=0471.530-0488.170 | Y=0405.440-0414.760 | 336
P=2004 | X=0505.390-0522.030 | Y=0405.440-0414.760 | 269
P=2004 | X=0108.290-0182.210 | Y=0409.320-0420.560 | (Đường ĐT 759)
P=2004 | X=0197.830-0292.750 | Y=0409.320-0420.560 | bản đồ số 28 và thửa
P=2004 | X=0309.240-0414.940 | Y=0409.320-0420.560 | đất số 1, tờ bản đồ số 4
P=2004 | X=0197.830-0402.030 | Y=0420.840-0432.080 | đất số 108, tờ bản đồ số và thửa đất số 11, tờ
P=2004 | X=0309.240-0370.220 | Y=0432.360-0443.600 | bản đồ số 20)
P=2004 | X=0197.830-0212.230 | Y=0434.240-0443.560 | 28)
P=2004 | X=0309.240-0409.900 | Y=0450.380-0461.620 | Ngã ba đường ĐT 759
P=2004 | X=0309.240-0411.590 | Y=0461.900-0473.140 | và đường nhựa hướng
P=2004 | X=0197.830-0288.660 | Y=0475.300-0484.620 | Khu quy hoạch KDC
P=2004 | X=0309.240-0416.370 | Y=0475.300-0484.620 | về Phú Châu + (Bên trái
P=2004 | X=0197.830-0416.390 | Y=0484.940-0496.180 | Long Điền và Nghĩa địa tuyến + 194m hướng xã
P=2004 | X=0108.290-0405.830 | Y=0496.220-0507.460 | Đường ĐT 759 (Xã Long Điền (từ ranh thửa Đa Kia (hết ranh thửa
P=2004 | X=0093.380-0104.500 | Y=0503.860-0513.180 | 12
P=2004 | X=0437.690-0454.330 | Y=0503.860-0513.180 | 224
P=2004 | X=0471.530-0488.170 | Y=0503.860-0513.180 | 179
P=2004 | X=0505.390-0522.030 | Y=0503.860-0513.180 | 143
P=2004 | X=0108.290-0167.310 | Y=0507.740-0518.980 | Bình Sơn cũ)
P=2004 | X=0197.830-0417.580 | Y=0507.740-0518.980 | đất số 59, tờ bản đồ số đất số 249, tờ bản đồ số
P=2004 | X=0197.830-0406.780 | Y=0519.260-0530.500 | 54 và thửa đất số 170, 87) và Bên phải tuyến
P=2004 | X=0197.830-0271.060 | Y=0530.780-0542.020 | tờ bản đồ số 87)
P=2004 | X=0309.240-0417.190 | Y=0530.780-0542.020 | giáp đường bê tông (hết
P=2004 | X=0309.240-0411.630 | Y=0542.330-0553.570 | ranh thửa đất số 35, tờ
P=2004 | X=0309.240-0373.580 | Y=0553.850-0565.090 | bản đồ số 75))
P=2004 | X=0197.830-0298.500 | Y=0571.850-0583.090 | Ngã ba đường ĐT 759
P=2004 | X=0197.830-0300.190 | Y=0583.370-0594.610 | và đường nhựa hướng
P=2004 | X=0197.830-0304.930 | Y=0596.770-0606.090 | về Phú Châu + (Bên trái
P=2004 | X=0197.830-0419.580 | Y=0606.410-0617.650 | tuyến + 194m hướng xã Giáp ranh xã Đa Kia (hết
P=2004 | X=0108.290-0411.630 | Y=0617.950-0629.190 | Đường ĐT 759 (Xã Đa Kia (từ ranh thửa đất ranh thửa đất số 15, tờ
P=2004 | X=0093.380-0104.500 | Y=0625.590-0634.910 | 13
P=2004 | X=0437.690-0454.330 | Y=0625.590-0634.910 | 224
P=2004 | X=0471.530-0488.170 | Y=0625.590-0634.910 | 179
P=2004 | X=0505.390-0522.030 | Y=0625.590-0634.910 | 143
P=2004 | X=0108.290-0167.310 | Y=0629.470-0640.710 | Bình Sơn cũ)
P=2004 | X=0197.830-0420.540 | Y=0629.470-0640.710 | số 33, tờ bản đồ số 54) bản đồ số 54 và thửa đất
P=2004 | X=0197.830-0412.700 | Y=0640.750-0651.990 | và Bên phải tuyến giáp số 16, tờ bản đồ số 54)
P=2004 | X=0197.830-0302.590 | Y=0652.270-0663.510 | đường bê tông (từ ranh
P=2004 | X=0197.830-0296.840 | Y=0663.790-0675.030 | thửa đất số 29, tờ bản
P=2004 | X=0197.830-0242.740 | Y=0675.310-0686.550 | đồ số 54))
P=2004 | X=0108.290-0194.710 | Y=0693.310-0704.550 | Đường Long Bình -
P=2004 | X=0309.240-0407.070 | Y=0693.310-0704.550 | Hết thửa đất số 31, tờ
P=2004 | X=0197.830-0304.010 | Y=0699.070-0710.310 | Ngã ba giao với ĐT 759
P=2004 | X=0093.380-0104.500 | Y=0700.950-0710.270 | 14
P=2004 | X=0437.690-0454.330 | Y=0700.950-0710.270 | 140
P=2004 | X=0471.530-0488.170 | Y=0700.950-0710.270 | 112
P=2004 | X=0511.150-0522.270 | Y=0700.950-0710.270 | 90
P=2004 | X=0108.290-0190.630 | Y=0704.850-0716.090 | Bình Sơn (đoạn 1)
P=2004 | X=0309.240-0405.350 | Y=0704.850-0716.090 | bản đồ số 84 của ông
P=2005 | X=0309.240-0393.350 | Y=0072.740-0083.980 | Nguyễn Đình Tuấn
P=2005 | X=0309.240-0412.820 | Y=0092.620-0101.940 | Giáp ranh xã Bình Tân;
P=2005 | X=0197.830-0295.670 | Y=0096.500-0107.740 | Hết thửa đất số 31, tờ
P=2005 | X=0108.290-0194.710 | Y=0102.260-0113.500 | Đường Long Bình -
P=2005 | X=0309.240-0405.390 | Y=0102.260-0113.500 | hết thửa đất số 14, tờ
P=2005 | X=0197.830-0293.950 | Y=0108.020-0119.260 | bản đồ số 84 của ông
P=2005 | X=0093.380-0104.500 | Y=0109.900-0119.220 | 15
P=2005 | X=0437.690-0454.330 | Y=0109.900-0119.220 | 140
P=2005 | X=0471.530-0488.170 | Y=0109.900-0119.220 | 112
P=2005 | X=0511.150-0522.270 | Y=0109.900-0119.220 | 90
P=2005 | X=0108.290-0190.630 | Y=0113.780-0125.020 | Bình Sơn (đoạn 2)
P=2005 | X=0309.240-0405.350 | Y=0113.780-0125.020 | bản đồ số 82 của ông
P=2005 | X=0197.830-0281.940 | Y=0119.570-0130.810 | Nguyễn Đình Tuấn
P=2005 | X=0309.240-0391.900 | Y=0127.210-0136.530 | Hoàng Hoàng Hào
P=2005 | X=0309.240-0414.310 | Y=0143.330-0154.570 | Đến hết thửa đất số 01,
P=2005 | X=0108.290-0192.860 | Y=0149.090-0160.330 | Đường Long Hưng
P=2005 | X=0309.240-0417.590 | Y=0154.850-0166.090 | tờ bản đồ số 107 của bà
P=2005 | X=0093.380-0104.500 | Y=0156.730-0166.050 | 16
P=2005 | X=0197.830-0298.690 | Y=0156.730-0166.050 | Giáp ranh xã Bình Tân
P=2005 | X=0437.690-0454.330 | Y=0156.730-0166.050 | 140
P=2005 | X=0471.530-0488.170 | Y=0156.730-0166.050 | 112
P=2005 | X=0511.150-0522.270 | Y=0156.730-0166.050 | 90
P=2005 | X=0108.290-0156.840 | Y=0160.610-0171.850 | - Bình Sơn
P=2005 | X=0309.240-0386.700 | Y=0168.250-0177.570 | Phạm Thị Nguyệt
P=2005 | X=0108.290-0189.500 | Y=0184.370-0195.610 | Đường giao thông
P=2005 | X=0108.290-0193.590 | Y=0195.650-0206.890 | đấu nối trục đường
P=2005 | X=0093.380-0104.500 | Y=0203.310-0212.630 | 17
P=2005 | X=0197.830-0248.100 | Y=0203.310-0212.630 | Toàn tuyến
P=2005 | X=0437.690-0454.330 | Y=0203.310-0212.630 | 140
P=2005 | X=0471.530-0488.170 | Y=0203.310-0212.630 | 112
P=2005 | X=0511.150-0522.270 | Y=0203.310-0212.630 | 90
P=2005 | X=0108.290-0179.170 | Y=0209.070-0218.390 | DT 759 phạm vi
P=2005 | X=0108.290-0133.250 | Y=0220.590-0229.910 | 200m
P=2005 | X=0309.240-0396.220 | Y=0236.710-0247.950 | Ngã ba giao đường
P=2005 | X=0309.240-0413.260 | Y=0248.230-0259.470 | Trường Chính - Đường
P=2005 | X=0197.830-0284.820 | Y=0253.990-0265.230 | Ngã ba giao đường
P=2005 | X=0309.240-0409.660 | Y=0259.750-0270.990 | Độc lập (hết ranh thửa
P=2005 | X=0093.380-0180.150 | Y=0265.510-0276.750 | 18 Đường Độc Lập
P=2005 | X=0197.830-0286.900 | Y=0267.390-0276.710 | Nguyễn Tất Thành -
P=2005 | X=0437.690-0454.330 | Y=0267.390-0276.710 | 294
P=2005 | X=0471.530-0488.170 | Y=0267.390-0276.710 | 235
P=2005 | X=0505.390-0522.030 | Y=0267.390-0276.710 | 188
P=2005 | X=0309.240-0417.580 | Y=0271.270-0282.510 | đất số 683, tờ bản đồ số
P=2005 | X=0197.830-0269.700 | Y=0277.030-0288.270 | Đường Độc Lập
P=2005 | X=0309.240-0415.950 | Y=0282.820-0294.060 | 44 và thửa đất số 44, tờ
P=2005 | X=0309.240-0375.740 | Y=0294.340-0305.580 | bản đồ số 110)
P=2005 | X=0309.240-0416.780 | Y=0312.340-0323.580 | Ngã ba giao đường Độc
P=2005 | X=0197.830-0284.820 | Y=0323.860-0335.100 | Ngã ba giao đường
P=2005 | X=0309.240-0421.020 | Y=0323.860-0335.100 | Lập - Đường Nguyễn Tất
P=2005 | X=0197.830-0407.950 | Y=0335.380-0346.620 | Trường Chinh - Đường Thành và Ngã ba giao
P=2005 | X=0197.830-0293.710 | Y=0346.900-0358.140 | Độc lập (từ ranh thửa
P=2005 | X=0309.240-0399.340 | Y=0346.900-0358.140 | đường Độc Lập - Lê
P=2005 | X=0093.380-0180.150 | Y=0352.660-0363.900 | 19 Đường Độc Lập
P=2005 | X=0437.690-0454.330 | Y=0354.540-0363.860 | 294
P=2005 | X=0471.530-0488.170 | Y=0354.540-0363.860 | 235
P=2005 | X=0505.390-0522.030 | Y=0354.540-0363.860 | 188
P=2005 | X=0197.830-0398.380 | Y=0358.180-0369.420 | đất số 682, tờ bản đồ số Trọng Tấn (hết ranh
P=2005 | X=0197.830-0413.980 | Y=0369.720-0380.960 | 44 và thửa đất số 37, tờ thửa đất số 156, tờ bản
P=2005 | X=0197.830-0264.340 | Y=0381.240-0392.480 | bản đồ số 110)
P=2005 | X=0309.240-0414.460 | Y=0381.240-0392.480 | đồ số 31 và thửa đất số
P=2005 | X=0309.240-0399.260 | Y=0392.760-0404.000 | 2, tờ bản đồ số 110)
P=2005 | X=0093.380-0292.020 | Y=0410.760-0422.000 | 20 Đường Phạm Hùng Giáp đường Độc Lập
P=2005 | X=0309.240-0413.100 | Y=0410.760-0422.000 | Đường Lý Thường Kiệt
P=2005 | X=0437.690-0454.330 | Y=0412.640-0421.960 | 294
P=2005 | X=0471.530-0488.170 | Y=0412.640-0421.960 | 235
P=2005 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 188
P=2005 | X=0108.290-0196.240 | Y=0428.760-0440.000 | Đường Lương Định
P=2005 | X=0093.380-0104.500 | Y=0436.400-0445.720 | 21
P=2005 | X=0197.830-0248.100 | Y=0436.400-0445.720 | Toàn tuyến
P=2005 | X=0437.690-0454.330 | Y=0436.400-0445.720 | 294
P=2005 | X=0471.530-0488.170 | Y=0436.400-0445.720 | 235
P=2005 | X=0505.390-0522.030 | Y=0436.400-0445.720 | 188
P=2005 | X=0108.290-0126.610 | Y=0442.160-0451.480 | Của
P=2005 | X=0108.290-0186.770 | Y=0458.300-0469.540 | Đường Phan Huy
P=2005 | X=0093.380-0104.500 | Y=0465.940-0475.260 | 22
P=2005 | X=0197.830-0248.100 | Y=0465.940-0475.260 | Toàn tuyến
P=2005 | X=0437.690-0454.330 | Y=0465.940-0475.260 | 294
P=2005 | X=0471.530-0488.170 | Y=0465.940-0475.260 | 235
