TABLE=083 | AREA=Xã Đắk Nhau | SECTION=agricultural | SEGMENTS=1
P=2093 | X=0287.860-0346.750 | Y=0198.490-0207.810 | Ngã ba Nùng
P=2093 | X=0387.260-0398.380 | Y=0198.490-0207.810 | 98
P=2093 | X=0430.730-0441.850 | Y=0198.490-0207.810 | 78
P=2093 | X=0473.930-0485.050 | Y=0198.490-0207.810 | 62
P=2093 | X=0511.150-0522.270 | Y=0198.490-0207.810 | 25
P=2093 | X=0102.770-0168.610 | Y=0202.390-0213.630 | Bo - Đắk Nhau
P=2093 | X=0203.830-0216.150 | Y=0204.270-0213.590 | Bo
P=2093 | X=0287.860-0343.730 | Y=0220.390-0231.630 | Hết thửa đất
P=2093 | X=0102.770-0189.380 | Y=0225.910-0237.150 | Đường liên xã Bom
P=2093 | X=0093.380-0098.980 | Y=0233.550-0242.870 | 8
P=2093 | X=0203.830-0262.720 | Y=0233.550-0242.870 | Ngã ba Nùng
P=2093 | X=0287.860-0347.000 | Y=0233.550-0242.870 | số 93, tờ bản
P=2093 | X=0387.260-0398.380 | Y=0233.550-0242.870 | 98
P=2093 | X=0430.730-0441.850 | Y=0233.550-0242.870 | 78
P=2093 | X=0473.930-0485.050 | Y=0233.550-0242.870 | 62
P=2093 | X=0511.150-0522.270 | Y=0233.550-0242.870 | 25
P=2093 | X=0102.770-0168.610 | Y=0237.430-0248.670 | Bo - Đắk Nhau
P=2093 | X=0287.860-0326.120 | Y=0243.190-0254.430 | đồ số 51
P=2093 | X=0203.830-0272.820 | Y=0261.190-0272.430 | Hết thửa đất số
P=2093 | X=0287.860-0343.730 | Y=0261.190-0272.430 | Hết thửa đất
P=2093 | X=0102.770-0150.690 | Y=0266.950-0278.190 | Đường ĐT
P=2093 | X=0203.830-0276.660 | Y=0272.710-0283.950 | 93, tờ bản đồ số
P=2093 | X=0093.380-0098.980 | Y=0274.590-0283.910 | 9
P=2093 | X=0287.860-0347.000 | Y=0274.590-0283.910 | số 27, tờ bản
P=2093 | X=0387.260-0398.380 | Y=0274.590-0283.910 | 98
P=2093 | X=0430.730-0441.850 | Y=0274.590-0283.910 | 78
P=2093 | X=0473.930-0485.050 | Y=0274.590-0283.910 | 62
P=2093 | X=0511.150-0522.270 | Y=0274.590-0283.910 | 32
P=2093 | X=0102.770-0153.970 | Y=0280.350-0289.670 | 760B.Nhựa
P=2093 | X=0287.860-0326.120 | Y=0284.260-0295.500 | đồ số 49
P=2093 | X=0203.830-0214.950 | Y=0286.140-0295.460 | 51
P=2093 | X=0203.830-0272.820 | Y=0302.260-0313.500 | Hết thửa đất số
P=2093 | X=0287.860-0343.730 | Y=0302.260-0313.500 | Hết thửa đất
P=2093 | X=0102.770-0150.690 | Y=0308.020-0319.260 | Đường ĐT
P=2093 | X=0203.830-0276.660 | Y=0313.780-0325.020 | 27, tờ bản đồ số
P=2093 | X=0090.500-0101.620 | Y=0315.660-0324.980 | 10
P=2093 | X=0287.860-0352.520 | Y=0315.660-0324.980 | số 191, tờ bản
P=2093 | X=0387.260-0398.380 | Y=0315.660-0324.980 | 98
P=2093 | X=0430.730-0441.850 | Y=0315.660-0324.980 | 78
P=2093 | X=0473.930-0485.050 | Y=0315.660-0324.980 | 62
P=2093 | X=0511.150-0522.270 | Y=0315.660-0324.980 | 32
P=2093 | X=0102.770-0153.970 | Y=0321.420-0330.740 | 760B.Nhựa
P=2093 | X=0287.860-0326.120 | Y=0325.300-0336.540 | đồ số 46
P=2093 | X=0203.830-0214.950 | Y=0327.180-0336.500 | 49
P=2093 | X=0203.830-0343.730 | Y=0343.300-0354.540 | Hết thửa đất số Hết thửa đất
P=2093 | X=0102.770-0150.690 | Y=0349.060-0360.300 | Đường ĐT
P=2093 | X=0203.830-0352.520 | Y=0354.820-0366.060 | 191, tờ bản đồ số số 180, tờ bản
P=2093 | X=0090.500-0101.620 | Y=0356.700-0366.020 | 11
P=2093 | X=0387.260-0398.380 | Y=0356.700-0366.020 | 98
P=2093 | X=0430.730-0441.850 | Y=0356.700-0366.020 | 78
P=2093 | X=0473.930-0485.050 | Y=0356.700-0366.020 | 62
P=2093 | X=0511.150-0522.270 | Y=0356.700-0366.020 | 32
P=2093 | X=0102.770-0153.970 | Y=0362.460-0371.780 | 760B.Nhựa
P=2093 | X=0287.860-0326.120 | Y=0366.360-0377.600 | đồ số 47
P=2093 | X=0203.830-0214.950 | Y=0368.240-0377.560 | 46
P=2093 | X=0203.830-0343.730 | Y=0384.360-0395.600 | Hết thửa đất số Hết thửa đất
P=2093 | X=0102.770-0150.690 | Y=0390.120-0401.360 | Đường ĐT
P=2093 | X=0203.830-0352.520 | Y=0395.880-0407.120 | 180, tờ bản đồ số số 209, tờ bản
P=2093 | X=0090.500-0101.620 | Y=0397.760-0407.080 | 12
P=2093 | X=0387.260-0398.380 | Y=0397.760-0407.080 | 98
P=2093 | X=0430.730-0441.850 | Y=0397.760-0407.080 | 78
P=2093 | X=0473.930-0485.050 | Y=0397.760-0407.080 | 62
P=2093 | X=0511.150-0522.270 | Y=0397.760-0407.080 | 32
P=2093 | X=0102.770-0153.970 | Y=0403.520-0412.840 | 760B.Nhựa
P=2093 | X=0287.860-0326.120 | Y=0407.400-0418.640 | đồ số 34
P=2093 | X=0203.830-0214.950 | Y=0409.280-0418.600 | 47
P=2093 | X=0203.830-0343.730 | Y=0425.400-0436.640 | Hết thửa đất số Hết thửa đất
P=2093 | X=0090.500-0176.690 | Y=0436.920-0448.160 | 13 Đường ĐT 760B
P=2093 | X=0203.830-0352.520 | Y=0436.920-0448.160 | 209, tờ bản đồ số số 165, tờ bản
P=2093 | X=0387.260-0398.380 | Y=0438.800-0448.120 | 98
P=2093 | X=0430.730-0441.850 | Y=0438.800-0448.120 | 78
P=2093 | X=0473.930-0485.050 | Y=0438.800-0448.120 | 62
P=2093 | X=0511.150-0522.270 | Y=0438.800-0448.120 | 32
P=2093 | X=0287.860-0326.120 | Y=0448.200-0459.440 | đồ số 34
P=2093 | X=0203.830-0214.950 | Y=0450.080-0459.400 | 34
P=2093 | X=0203.830-0272.820 | Y=0466.220-0477.460 | Hết thửa đất số
P=2093 | X=0287.860-0345.300 | Y=0473.860-0483.180 | Giáp ranh xã
P=2093 | X=0090.500-0176.700 | Y=0477.740-0488.980 | 14 Đường ĐT 760B
P=2093 | X=0203.830-0282.180 | Y=0477.740-0488.980 | 165, tờ bản đồ số
P=2093 | X=0387.260-0398.380 | Y=0479.620-0488.940 | 98
P=2093 | X=0430.730-0441.850 | Y=0479.620-0488.940 | 78
P=2093 | X=0473.930-0485.050 | Y=0479.620-0488.940 | 62
P=2093 | X=0511.150-0522.270 | Y=0479.620-0488.940 | 32
P=2093 | X=0287.860-0326.840 | Y=0483.500-0494.740 | Thọ Sơn
P=2093 | X=0203.830-0214.950 | Y=0491.140-0500.460 | 34
P=2093 | X=0287.860-0341.960 | Y=0507.260-0518.500 | Thửa đất số
P=2093 | X=0102.770-0184.480 | Y=0513.020-0524.260 | Đường thâm nhập
P=2093 | X=0203.830-0286.790 | Y=0513.020-0524.260 | Thửa đất số 35, tờ
P=2093 | X=0287.860-0353.010 | Y=0518.780-0530.020 | 132, tờ bản đồ
P=2093 | X=0090.500-0101.620 | Y=0520.660-0529.980 | 15
P=2093 | X=0387.260-0398.380 | Y=0520.660-0529.980 | 65
P=2093 | X=0430.730-0441.850 | Y=0520.660-0529.980 | 52
P=2093 | X=0473.930-0485.050 | Y=0520.660-0529.980 | 42
P=2093 | X=0511.150-0522.270 | Y=0520.660-0529.980 | 25
P=2093 | X=0203.830-0261.540 | Y=0524.540-0535.780 | bản đồ số 53
P=2093 | X=0102.770-0126.130 | Y=0526.420-0535.740 | nhựa
P=2093 | X=0287.860-0312.200 | Y=0532.180-0541.500 | số 51
P=2093 | X=0203.830-0267.510 | Y=0548.330-0559.570 | Đường liên xã
P=2093 | X=0203.830-0266.260 | Y=0559.850-0571.090 | Bom Bo - Đắk
P=2093 | X=0287.860-0341.960 | Y=0559.850-0571.090 | Thửa đất số
P=2093 | X=0102.770-0184.480 | Y=0565.610-0576.850 | Đường thâm nhập
P=2093 | X=0203.830-0274.590 | Y=0571.370-0582.610 | Nhau (Thửa đất
P=2093 | X=0287.860-0347.490 | Y=0571.370-0582.610 | 27, tờ bản đồ
P=2093 | X=0090.500-0101.620 | Y=0573.250-0582.570 | 16
P=2093 | X=0387.260-0398.380 | Y=0573.250-0582.570 | 65
P=2093 | X=0430.730-0441.850 | Y=0573.250-0582.570 | 52
P=2093 | X=0473.930-0485.050 | Y=0573.250-0582.570 | 42
P=2093 | X=0511.150-0522.270 | Y=0573.250-0582.570 | 25
P=2093 | X=0102.770-0126.130 | Y=0579.010-0588.330 | nhựa
P=2093 | X=0203.830-0276.230 | Y=0584.770-0594.090 | số 120 và 62, tờ
P=2093 | X=0287.860-0312.200 | Y=0584.770-0594.090 | số 15
P=2093 | X=0203.830-0264.820 | Y=0594.410-0605.650 | bản đồ số 24)
P=2093 | X=0203.830-0343.730 | Y=0612.410-0623.650 | Đường ĐT 760B Hết thửa đất
P=2093 | X=0102.770-0184.480 | Y=0618.190-0629.430 | Đường thâm nhập
P=2093 | X=0203.830-0347.000 | Y=0623.950-0635.190 | (Thửa đất số 208, số 22, tờ bản
P=2093 | X=0090.500-0101.620 | Y=0625.830-0635.150 | 17
P=2093 | X=0387.260-0398.380 | Y=0625.830-0635.150 | 65
P=2093 | X=0430.730-0441.850 | Y=0625.830-0635.150 | 52
P=2093 | X=0473.930-0485.050 | Y=0625.830-0635.150 | 42
P=2093 | X=0511.150-0522.270 | Y=0625.830-0635.150 | 25
P=2093 | X=0102.770-0126.130 | Y=0631.590-0640.910 | nhựa
P=2093 | X=0203.830-0326.120 | Y=0635.470-0646.710 | tờ bản đồ số 49) đồ số 13
P=2093 | X=0203.830-0272.820 | Y=0653.470-0664.710 | Hết thửa đất số
P=2093 | X=0287.860-0346.370 | Y=0653.470-0664.710 | Đầu thửa đất
P=2093 | X=0102.770-0184.480 | Y=0659.230-0670.470 | Đường thâm nhập
P=2093 | X=0203.830-0276.660 | Y=0664.750-0675.990 | 22, tờ bản đồ số
P=2093 | X=0090.500-0101.620 | Y=0666.630-0675.950 | 18
P=2093 | X=0287.860-0347.000 | Y=0666.630-0675.950 | số 19, tờ bản
P=2093 | X=0387.260-0398.380 | Y=0666.630-0675.950 | 65
P=2093 | X=0430.730-0441.850 | Y=0666.630-0675.950 | 52
P=2093 | X=0473.930-0485.050 | Y=0666.630-0675.950 | 42
P=2093 | X=0511.150-0522.270 | Y=0666.630-0675.950 | 25
P=2093 | X=0102.770-0126.130 | Y=0672.390-0681.710 | nhựa
P=2093 | X=0287.860-0326.120 | Y=0676.270-0687.510 | đồ số 42
P=2093 | X=0203.830-0214.950 | Y=0678.150-0687.470 | 13
P=2093 | X=0102.770-0184.480 | Y=0694.270-0705.510 | Đường thâm nhập
P=2093 | X=0203.830-0275.700 | Y=0694.270-0705.510 | Đầu thửa đất số
P=2093 | X=0287.860-0319.640 | Y=0694.270-0705.510 | Đường
P=2093 | X=0090.500-0101.620 | Y=0701.940-0711.260 | 19
P=2093 | X=0387.260-0398.380 | Y=0701.940-0711.260 | 65
P=2093 | X=0430.730-0441.850 | Y=0701.940-0711.260 | 52
P=2093 | X=0473.930-0485.050 | Y=0701.940-0711.260 | 42
P=2093 | X=0511.150-0522.270 | Y=0701.940-0711.260 | 25
P=2093 | X=0203.830-0276.660 | Y=0705.810-0717.050 | 19, tờ bản đồ số
P=2093 | X=0287.860-0354.920 | Y=0705.810-0717.050 | ĐT760B (Thửa
P=2093 | X=0102.770-0126.130 | Y=0707.700-0717.020 | nhựa
P=2094 | X=0287.860-0349.700 | Y=0072.740-0083.980 | đất số 182, tờ
P=2094 | X=0203.830-0214.950 | Y=0074.620-0083.940 | 42
P=2094 | X=0287.860-0348.840 | Y=0084.260-0095.500 | bản đồ số 47)
P=2094 | X=0287.860-0341.960 | Y=0102.260-0113.500 | Thửa đất số
P=2094 | X=0102.770-0184.480 | Y=0108.020-0119.260 | Đường thâm nhập
P=2094 | X=0203.830-0280.110 | Y=0108.020-0119.260 | Thửa đất số 203,
P=2094 | X=0287.860-0353.010 | Y=0113.780-0125.020 | 401, tờ bản đồ
P=2094 | X=0090.500-0101.620 | Y=0115.660-0124.980 | 20
P=2094 | X=0387.260-0398.380 | Y=0115.660-0124.980 | 65
P=2094 | X=0430.730-0441.850 | Y=0115.660-0124.980 | 52
P=2094 | X=0473.930-0485.050 | Y=0115.660-0124.980 | 42
P=2094 | X=0511.150-0522.270 | Y=0115.660-0124.980 | 25
P=2094 | X=0203.830-0273.780 | Y=0119.570-0130.810 | tờ bản đồ số 49
P=2094 | X=0102.770-0126.130 | Y=0121.450-0130.770 | nhựa
P=2094 | X=0287.860-0312.200 | Y=0127.210-0136.530 | số 02
P=2094 | X=0287.860-0341.960 | Y=0143.330-0154.570 | Thửa đất số
P=2094 | X=0102.770-0184.480 | Y=0149.090-0160.330 | Đường thâm nhập
P=2094 | X=0203.830-0286.790 | Y=0149.090-0160.330 | Thửa đất số 60, tờ
P=2094 | X=0287.860-0353.010 | Y=0154.850-0166.090 | 132, tờ bản đồ
P=2094 | X=0090.500-0101.620 | Y=0156.730-0166.050 | 21
P=2094 | X=0387.260-0398.380 | Y=0156.730-0166.050 | 65
P=2094 | X=0430.730-0441.850 | Y=0156.730-0166.050 | 52
P=2094 | X=0473.930-0485.050 | Y=0156.730-0166.050 | 42
P=2094 | X=0511.150-0522.270 | Y=0156.730-0166.050 | 25
P=2094 | X=0203.830-0261.540 | Y=0160.610-0171.850 | bản đồ số 02
P=2094 | X=0102.770-0126.130 | Y=0162.490-0171.810 | nhựa
P=2094 | X=0287.860-0312.200 | Y=0168.250-0177.570 | số 48
P=2094 | X=0287.860-0341.960 | Y=0184.370-0195.610 | Thửa đất số
P=2094 | X=0102.770-0184.480 | Y=0190.130-0201.370 | Đường thâm nhập
P=2094 | X=0203.830-0286.790 | Y=0190.130-0201.370 | Thửa đất số 66, tờ
P=2094 | X=0287.860-0347.490 | Y=0195.650-0206.890 | 22, tờ bản đồ
P=2094 | X=0090.500-0101.620 | Y=0197.530-0206.850 | 22
P=2094 | X=0387.260-0398.380 | Y=0197.530-0206.850 | 65
P=2094 | X=0430.730-0441.850 | Y=0197.530-0206.850 | 52
P=2094 | X=0473.930-0485.050 | Y=0197.530-0206.850 | 42
P=2094 | X=0511.150-0522.270 | Y=0197.530-0206.850 | 25
P=2094 | X=0203.830-0261.540 | Y=0201.430-0212.670 | bản đồ số 14
P=2094 | X=0102.770-0126.130 | Y=0203.310-0212.630 | nhựa
P=2094 | X=0287.860-0312.200 | Y=0209.070-0218.390 | số 13
P=2094 | X=0287.860-0341.960 | Y=0225.190-0236.430 | Thửa đất số
P=2094 | X=0102.770-0184.480 | Y=0230.950-0242.190 | Đường thâm nhập
P=2094 | X=0203.830-0286.790 | Y=0230.950-0242.190 | Thửa đất số 93, tờ
P=2094 | X=0287.860-0353.010 | Y=0236.710-0247.950 | 348, tờ bản đồ
P=2094 | X=0090.500-0101.620 | Y=0238.590-0247.910 | 23
P=2094 | X=0387.260-0398.380 | Y=0238.590-0247.910 | 65
P=2094 | X=0430.730-0441.850 | Y=0238.590-0247.910 | 52
P=2094 | X=0473.930-0485.050 | Y=0238.590-0247.910 | 42
P=2094 | X=0511.150-0522.270 | Y=0238.590-0247.910 | 25
P=2094 | X=0203.830-0261.540 | Y=0242.470-0253.710 | bản đồ số 14
P=2094 | X=0102.770-0126.130 | Y=0244.350-0253.670 | nhựa
P=2094 | X=0287.860-0312.200 | Y=0250.110-0259.430 | số 14
P=2094 | X=0287.860-0341.960 | Y=0266.230-0277.470 | Thửa đất số
P=2094 | X=0203.830-0280.110 | Y=0271.990-0283.230 | Thửa đất số 305,
P=2094 | X=0090.500-0196.960 | Y=0277.750-0288.990 | 24 Đường bê tông nhựa
P=2094 | X=0287.860-0347.490 | Y=0277.750-0288.990 | 75, tờ bản đồ
P=2094 | X=0387.260-0398.380 | Y=0279.630-0288.950 | 65
P=2094 | X=0430.730-0441.850 | Y=0279.630-0288.950 | 52
P=2094 | X=0473.930-0485.050 | Y=0279.630-0288.950 | 42
P=2094 | X=0511.150-0522.270 | Y=0279.630-0288.950 | 25
P=2094 | X=0203.830-0273.780 | Y=0283.540-0294.780 | tờ bản đồ số 02
P=2094 | X=0287.860-0312.200 | Y=0291.180-0300.500 | số 05
P=2094 | X=0102.770-0180.880 | Y=0307.300-0318.540 | Các tuyến đường
P=2094 | X=0090.500-0101.620 | Y=0314.940-0324.260 | 25
P=2094 | X=0203.830-0254.100 | Y=0314.940-0324.260 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0314.940-0324.260 | 65
P=2094 | X=0430.730-0441.850 | Y=0314.940-0324.260 | 52
P=2094 | X=0473.930-0485.050 | Y=0314.940-0324.260 | 42
P=2094 | X=0511.150-0522.270 | Y=0314.940-0324.260 | 32
P=2094 | X=0102.770-0196.950 | Y=0320.700-0330.020 | nhựa, bê tông còn lại
P=2094 | X=0102.770-0199.600 | Y=0336.820-0348.060 | Các tuyến đường còn
P=2094 | X=0090.500-0101.620 | Y=0344.460-0353.780 | 26
P=2094 | X=0203.830-0254.100 | Y=0344.460-0353.780 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0344.460-0353.780 | 65
P=2094 | X=0430.730-0441.850 | Y=0344.460-0353.780 | 52
P=2094 | X=0473.930-0485.050 | Y=0344.460-0353.780 | 42
P=2094 | X=0511.150-0522.270 | Y=0344.460-0353.780 | 25
P=2094 | X=0102.770-0112.930 | Y=0350.220-0359.540 | lại
P=2094 | X=0102.770-0198.600 | Y=0366.360-0377.600 | Ngã ba thôn 2 đi thôn
P=2094 | X=0102.770-0175.510 | Y=0377.880-0389.120 | 5 (Đối diện điểm
P=2094 | X=0090.500-0101.620 | Y=0385.520-0394.840 | 27
P=2094 | X=0203.830-0254.100 | Y=0385.520-0394.840 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0385.520-0394.840 | 65
P=2094 | X=0430.730-0441.850 | Y=0385.520-0394.840 | 52
P=2094 | X=0473.930-0485.050 | Y=0385.520-0394.840 | 42
P=2094 | X=0511.150-0522.270 | Y=0385.520-0394.840 | 32
P=2094 | X=0102.770-0203.650 | Y=0389.400-0400.640 | trường mẫu giáo Đội 3
P=2094 | X=0102.770-0176.700 | Y=0400.920-0412.160 | Trung đoàn 719)
P=2094 | X=0102.770-0195.730 | Y=0418.920-0430.160 | Ngã ba thôn 3 đi ngã
P=2094 | X=0090.500-0101.620 | Y=0426.560-0435.880 | 28
P=2094 | X=0203.830-0254.100 | Y=0426.560-0435.880 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0426.560-0435.880 | 65
P=2094 | X=0430.730-0441.850 | Y=0426.560-0435.880 | 52
P=2094 | X=0473.930-0485.050 | Y=0426.560-0435.880 | 42
P=2094 | X=0511.150-0522.270 | Y=0426.560-0435.880 | 32
P=2094 | X=0102.770-0191.890 | Y=0432.080-0441.400 | ba Tuấn Linh thôn 4
P=2094 | X=0102.770-0201.170 | Y=0450.080-0459.400 | Ngã ba ông Xây (Bom
P=2094 | X=0090.500-0101.620 | Y=0455.860-0465.180 | 29
P=2094 | X=0203.830-0254.100 | Y=0455.860-0465.180 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0455.860-0465.180 | 98
P=2094 | X=0430.730-0441.850 | Y=0455.860-0465.180 | 78
P=2094 | X=0473.930-0485.050 | Y=0455.860-0465.180 | 62
P=2094 | X=0511.150-0522.270 | Y=0455.860-0465.180 | 32
P=2094 | X=0102.770-0184.620 | Y=0459.740-0470.980 | Bo đến dốc ngầm)
P=2094 | X=0102.770-0180.130 | Y=0477.740-0488.980 | Ngã ba Cây xăng
P=2094 | X=0090.500-0254.100 | Y=0489.260-0500.500 | 30 Chung Chiều đến nhà Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0491.140-0500.460 | 65
P=2094 | X=0430.730-0441.850 | Y=0491.140-0500.460 | 52
P=2094 | X=0473.930-0485.050 | Y=0491.140-0500.460 | 42
P=2094 | X=0511.150-0522.270 | Y=0491.140-0500.460 | 32
P=2094 | X=0102.770-0169.090 | Y=0500.780-0512.020 | văn hóa thôn 5
P=2094 | X=0102.770-0199.120 | Y=0518.780-0530.020 | Ngã ba Bảy Liếm đến
P=2094 | X=0090.500-0101.620 | Y=0526.420-0535.740 | 31
P=2094 | X=0203.830-0254.100 | Y=0526.420-0535.740 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0526.420-0535.740 | 65
P=2094 | X=0430.730-0441.850 | Y=0526.420-0535.740 | 52
P=2094 | X=0473.930-0485.050 | Y=0526.420-0535.740 | 42
P=2094 | X=0511.150-0522.270 | Y=0526.420-0535.740 | 32
P=2094 | X=0102.770-0183.720 | Y=0532.180-0541.500 | ngã ba tổ 4 thôn 2
